                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018dabb108 (__TEXT,__text) non-external _au_assemble
000000018dac4ea4 (__TEXT,__text) external _au_to_opaque
000000018dac5160 (__TEXT,__text) external _au_to_path
000000018dac55a4 (__TEXT,__text) external _au_to_process
000000018dac522c (__TEXT,__text) external _au_to_process32
000000018dac55a8 (__TEXT,__text) external _au_to_process32_ex
000000018dac53c8 (__TEXT,__text) external _au_to_process64
000000018dac57fc (__TEXT,__text) external _au_to_process64_ex
000000018dac5a8c (__TEXT,__text) external _au_to_process_ex
000000018dac5c10 (__TEXT,__text) external _au_to_return
000000018dac5a90 (__TEXT,__text) external _au_to_return32
000000018dac5b40 (__TEXT,__text) external _au_to_return64
000000018dac5c14 (__TEXT,__text) external _au_to_seq
000000018dac6094 (__TEXT,__text) external _au_to_sock_inet
000000018dac5fe4 (__TEXT,__text) external _au_to_sock_inet128
000000018dac5f44 (__TEXT,__text) external _au_to_sock_inet32
000000018dac5e6c (__TEXT,__text) external _au_to_sock_unix
000000018dac5cb4 (__TEXT,__text) external _au_to_socket_ex
000000018dac6994 (__TEXT,__text) non-external _au_to_strings
000000018dac6410 (__TEXT,__text) external _au_to_subject
000000018dac6098 (__TEXT,__text) external _au_to_subject32
000000018dac6414 (__TEXT,__text) external _au_to_subject32_ex
000000018dac6234 (__TEXT,__text) external _au_to_subject64
000000018dac665c (__TEXT,__text) external _au_to_subject64_ex
000000018dac68e0 (__TEXT,__text) external _au_to_subject_ex
000000018dac5094 (__TEXT,__text) external _au_to_text
000000018dac7330 (__TEXT,__text) external _au_to_trailer
000000018dac6ae4 (__TEXT,__text) external _au_to_zonename
000000018dac7740 (__TEXT,__text) external _au_user_mask
000000018dabaf84 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001ec0d7c58 (__DATA,__bss) non-external _audit_free_q
000000018dac8d4c (__TEXT,__text) external _audit_get_car
000000018dac89f8 (__TEXT,__text) external _audit_get_class
000000018dac7c04 (__TEXT,__text) external _audit_get_cond
000000018dac8d5c (__TEXT,__text) external _audit_get_ctlmode
000000018dac8d3c (__TEXT,__text) external _audit_get_cwd
000000018dac8da8 (__TEXT,__text) external _audit_get_expire_after
000000018dac8b28 (__TEXT,__text) external _audit_get_fsize
000000018dac8960 (__TEXT,__text) external _audit_get_kaudit
000000018dac8a90 (__TEXT,__text) external _audit_get_kmask
000000018dac8c0c (__TEXT,__text) external _audit_get_pinfo
000000018dac8c58 (__TEXT,__text) external _audit_get_pinfo_addr
000000018dac8670 (__TEXT,__text) external _audit_get_policy
000000018dac87e8 (__TEXT,__text) external _audit_get_qctrl
000000018dac8760 (__TEXT,__text) external _audit_get_sflags
000000018dac87a0 (__TEXT,__text) external _audit_get_sflags_mask
000000018dabada8 (__TEXT,__text) external _audit_get_sinfo_addr
000000018dac8ca4 (__TEXT,__text) external _audit_get_stat
00000001ec0d7c50 (__DATA,__bss) non-external _audit_rec_count
000000018dac8950 (__TEXT,__text) external _audit_send_trigger
000000018dac8a44 (__TEXT,__text) external _audit_set_class
000000018dac85f8 (__TEXT,__text) external _audit_set_cond
000000018dac8b74 (__TEXT,__text) external _audit_set_fsize
000000018dac89ac (__TEXT,__text) external _audit_set_kaudit
000000018dac8adc (__TEXT,__text) external _audit_set_kmask
000000018dac8bc0 (__TEXT,__text) external _audit_set_pmask
000000018dac86e8 (__TEXT,__text) external _audit_set_policy
000000018dac889c (__TEXT,__text) external _audit_set_qctrl
000000018dac8770 (__TEXT,__text) external _audit_set_sflags
000000018dac87c4 (__TEXT,__text) external _audit_set_sflags_mask
000000018dac8cf0 (__TEXT,__text) external _audit_set_stat
000000018dac7dac (__TEXT,__text) non-external _audit_set_terminal_host
000000018dac7c7c (__TEXT,__text) external _audit_set_terminal_id
000000018dac7e70 (__TEXT,__text) external _audit_set_terminal_id_ex
000000018dac7cd0 (__TEXT,__text) non-external _audit_set_terminal_port
000000018dac78dc (__TEXT,__text) external _audit_submit
000000018daba680 (__TEXT,__text) external _audit_token_to_asid
000000018daba6c0 (__TEXT,__text) external _audit_token_to_au32
000000018daba6a0 (__TEXT,__text) external _audit_token_to_auid
000000018daba6a8 (__TEXT,__text) external _audit_token_to_egid
000000018daba690 (__TEXT,__text) external _audit_token_to_euid
000000018daba688 (__TEXT,__text) external _audit_token_to_pid
000000018daba6b8 (__TEXT,__text) external _audit_token_to_pidversion
000000018daba6b0 (__TEXT,__text) external _audit_token_to_rgid
000000018daba698 (__TEXT,__text) external _audit_token_to_ruid
000000018dac7ec4 (__TEXT,__text) external _audit_write
000000018dac8274 (__TEXT,__text) external _audit_write_failure
000000018dac8380 (__TEXT,__text) external _audit_write_failure_ex
000000018dac8570 (__TEXT,__text) external _audit_write_failure_na
000000018dac85b4 (__TEXT,__text) external _audit_write_failure_na_ex
000000018dac848c (__TEXT,__text) external _audit_write_failure_self
000000018dac8080 (__TEXT,__text) external _audit_write_success
000000018dac8134 (__TEXT,__text) external _audit_write_success_ex
000000018dac81e8 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018dac33cc (__TEXT,__text) non-external _be64dec
000000018dac9358 (__TEXT,__const) non-external _bsm_domains
00000001e84e86f0 (__DATA_CONST,__const) non-external _bsm_errnos
000000018dac95e0 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018dac9580 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018dac4528 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018dac3908 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018dabbe5c (__TEXT,__text) external _endac
000000018dabb9ac (__TEXT,__text) external _endauclass
000000018dabc988 (__TEXT,__text) external _endauevent
000000018dac7430 (__TEXT,__text) external _endauuser
00000001ec0d8338 (__DATA,__bss) non-external _ev_cache
000000018dabcdd4 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018dabe910 (__TEXT,__text) non-external _fetch_arb_tok
000000018dabd860 (__TEXT,__text) non-external _fetch_arg32_tok
000000018dabd8e4 (__TEXT,__text) non-external _fetch_arg64_tok
000000018dabd968 (__TEXT,__text) non-external _fetch_attr32_tok
000000018dabda2c (__TEXT,__text) non-external _fetch_attr64_tok
000000018dabe9a0 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018dabdb74 (__TEXT,__text) non-external _fetch_execarg_tok
000000018dabdb74 (__TEXT,__text) non-external _fetch_execenv_tok
000000018dabdb20 (__TEXT,__text) non-external _fetch_exit_tok
000000018dabdc0c (__TEXT,__text) non-external _fetch_file_tok
000000018dabd408 (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018dabd340 (__TEXT,__text) non-external _fetch_header32_tok
000000018dabd680 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018dabd588 (__TEXT,__text) non-external _fetch_header64_tok
000000018dabea38 (__TEXT,__text) non-external _fetch_identity_tok
000000018dabdd04 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018dabdda4 (__TEXT,__text) non-external _fetch_ip_tok
000000018dabdeb0 (__TEXT,__text) non-external _fetch_ipc_tok
000000018dabdf00 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018dabe9a0 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018dabdc94 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018dabdfe0 (__TEXT,__text) non-external _fetch_process32_tok
000000018dabe0f4 (__TEXT,__text) non-external _fetch_process32ex_tok
000000018dabe274 (__TEXT,__text) non-external _fetch_process64_tok
000000018dabe3b8 (__TEXT,__text) non-external _fetch_process64ex_tok
000000018dabdeb0 (__TEXT,__text) non-external _fetch_return32_tok
000000018dabe540 (__TEXT,__text) non-external _fetch_return64_tok
000000018dabe740 (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018dabe62c (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018dabe698 (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018dabe590 (__TEXT,__text) non-external _fetch_socket_tok
000000018dabe7ac (__TEXT,__text) non-external _fetch_socketex32_tok
000000018dabdfe0 (__TEXT,__text) non-external _fetch_subject32_tok
000000018dabe0f4 (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018dabe274 (__TEXT,__text) non-external _fetch_subject64_tok
000000018dabe3b8 (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018dabd808 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001ec0d8330 (__DATA,__bss) non-external _firsttime
000000018dac4314 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001ec0d7e40 (__DATA,__bss) non-external _fp
00000001ec0d7f48 (__DATA,__bss) non-external _fp
00000001ec0d8058 (__DATA,__bss) non-external _fp
00000001ec0d8348 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018dabbeb0 (__TEXT,__text) external _getacdir
000000018dabc5d8 (__TEXT,__text) external _getacexpire
000000018dabc14c (__TEXT,__text) external _getacfilesz
000000018dabc2f4 (__TEXT,__text) external _getacflg
000000018dabc528 (__TEXT,__text) external _getachost
000000018dabc0c8 (__TEXT,__text) external _getacmin
000000018dabc3a4 (__TEXT,__text) external _getacna
000000018dabc454 (__TEXT,__text) external _getacpol
000000018dabc504 (__TEXT,__text) external _getacsflagsmask
000000018dabb75c (__TEXT,__text) external _getauclassent
00000001ec0d7d50 (__DATA,__bss) non-external _getauclassent.c
00000001ec0d7d08 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001ec0d7d00 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001ec0d7d68 (__DATA,__bss) non-external _getauclassent.cp
000000018dabb5bc (__TEXT,__text) external _getauclassent_r
000000018dabb604 (__TEXT,__text) non-external _getauclassent_r_locked
000000018dabb8b4 (__TEXT,__text) external _getauclassnam
00000001ec0d7dc0 (__DATA,__bss) non-external _getauclassnam.c
00000001ec0d7d78 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001ec0d7d70 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018dabb828 (__TEXT,__text) external _getauclassnam_r
000000018dabb970 (__TEXT,__text) external _getauclassnum
00000001ec0d7e28 (__DATA,__bss) non-external _getauclassnum.c
00000001ec0d7de0 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001ec0d7dd8 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018dabb8f0 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018dabcf04 (__TEXT,__text) external _getauditflagsbin
000000018dabd06c (__TEXT,__text) external _getauditflagschar
000000018dabcaa0 (__TEXT,__text) external _getauevent
00000001ec0d80b0 (__DATA,__bss) non-external _getauevent.e
00000001ec0d807e (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001ec0d8060 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018dabc9dc (__TEXT,__text) external _getauevent_r
000000018dabcbd0 (__TEXT,__text) external _getauevnam
00000001ec0d8120 (__DATA,__bss) non-external _getauevnam.e
00000001ec0d80ee (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001ec0d80d0 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018dabcae0 (__TEXT,__text) external _getauevnam_r
000000018dabcdc4 (__TEXT,__text) external _getauevnonam
00000001ec0d8228 (__DATA,__bss) non-external _getauevnonam.event
000000018dabcd40 (__TEXT,__text) external _getauevnonam_r
00000001ec0d8200 (__DATA,__bss) non-external _getauevnonam_r.e
00000001ec0d8220 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001ec0d81ce (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001ec0d81b0 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018dabccfc (__TEXT,__text) external _getauevnum
00000001ec0d8190 (__DATA,__bss) non-external _getauevnum.e
00000001ec0d815e (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001ec0d8140 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018dabcc14 (__TEXT,__text) external _getauevnum_r
000000018dac761c (__TEXT,__text) external _getauuserent
00000001ec0d8388 (__DATA,__bss) non-external _getauuserent.u
00000001ec0d8350 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018dac7484 (__TEXT,__text) external _getauuserent_r
000000018dac74cc (__TEXT,__text) non-external _getauuserent_r_locked
000000018dac7710 (__TEXT,__text) external _getauusernam
00000001ec0d83d8 (__DATA,__bss) non-external _getauusernam.u
00000001ec0d83a0 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018dac7688 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018dac7804 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018dabbf5c (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001ec0d7e48 (__DATA,__bss) non-external _linestr
00000001ec0d7f58 (__DATA,__bss) non-external _linestr
00000001ec0d822a (__DATA,__bss) non-external _linestr
00000001ec0d83f0 (__DATA,__bss) non-external _linestr
000000018dac4244 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001ec0d7ad0 (__DATA,__data) non-external _mutex
00000001ec0d7b10 (__DATA,__data) non-external _mutex
00000001ec0d7b50 (__DATA,__data) non-external _mutex
00000001ec0d7b90 (__DATA,__data) non-external _mutex
00000001ec0d7bd0 (__DATA,__data) non-external _mutex
00000001ec0d7c10 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001ec0d7c60 (__DATA,__bss) non-external _open_desc_table
000000018dac37a4 (__TEXT,__text) non-external _print_event
000000018dac3ec8 (__TEXT,__text) non-external _print_group
000000018dac3bac (__TEXT,__text) non-external _print_ip_ex_address
000000018dac3fe0 (__TEXT,__text) non-external _print_ipctype
000000018dac3f4c (__TEXT,__text) non-external _print_mem
000000018dac407c (__TEXT,__text) non-external _print_retval
000000018dac3874 (__TEXT,__text) non-external _print_sec32
000000018dac3c98 (__TEXT,__text) non-external _print_sec64
000000018dac3d28 (__TEXT,__text) non-external _print_string
000000018dac33d8 (__TEXT,__text) non-external _print_tok_type
000000018dac3e44 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018dabbd88 (__TEXT,__text) external _setac
000000018dabbdcc (__TEXT,__text) non-external _setac_locked
00000001ec0d7f50 (__DATA,__bss) non-external _setac_locked.lastctime
000000018dabb7d8 (__TEXT,__text) external _setauclass
000000018dabc938 (__TEXT,__text) external _setauevent
000000018dac73e0 (__TEXT,__text) external _setauuser
000000018dabc7b4 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001ec0d8340 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
