0000000246118a98 (__TEXT,__text) non-external _Done_iODBC
000000024610cff0 (__TEXT,__text) external _SQLColumnPrivilegesW
000000024610c998 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000024610d464 (__TEXT,__text) external _SQLColumns
000000024610d648 (__TEXT,__text) external _SQLColumnsA
000000024610d82c (__TEXT,__text) external _SQLColumnsW
000000024610d1d4 (__TEXT,__text) non-external _SQLColumns_Internal
00000002461110e8 (__TEXT,__text) external _SQLConnect
0000000246111888 (__TEXT,__text) external _SQLConnectA
00000002461119e8 (__TEXT,__text) external _SQLConnectW
0000000246111248 (__TEXT,__text) non-external _SQLConnect_Internal
000000024613751c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
0000000246127294 (__TEXT,__text) external _SQLCopyDesc
000000024611cf60 (__TEXT,__text) external _SQLDataSources
000000024611d0a8 (__TEXT,__text) external _SQLDataSourcesA
000000024611d1f0 (__TEXT,__text) external _SQLDataSourcesW
000000024611cb00 (__TEXT,__text) non-external _SQLDataSources_Internal
0000000256cfd400 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
0000000256cfd420 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
0000000256cfd428 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
0000000246121644 (__TEXT,__text) external _SQLDescribeCol
0000000246121838 (__TEXT,__text) external _SQLDescribeColA
0000000246121a2c (__TEXT,__text) external _SQLDescribeColW
0000000246121394 (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000000246115dc8 (__TEXT,__text) external _SQLDescribeParam
00000002461140b8 (__TEXT,__text) external _SQLDisconnect
0000000246113334 (__TEXT,__text) external _SQLDriverConnect
00000002461134b0 (__TEXT,__text) external _SQLDriverConnectA
000000024611362c (__TEXT,__text) external _SQLDriverConnectW
0000000246111b48 (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000246137548 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
0000000246137574 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000024611d7f8 (__TEXT,__text) external _SQLDrivers
000000024611d940 (__TEXT,__text) external _SQLDriversA
000000024611da88 (__TEXT,__text) external _SQLDriversW
000000024611d410 (__TEXT,__text) non-external _SQLDrivers_Internal
0000000256cfd404 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
0000000256cfd430 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
0000000256cfd438 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000246127fe0 (__TEXT,__text) external _SQLEndTran
0000000246119214 (__TEXT,__text) external _SQLError
000000024611933c (__TEXT,__text) external _SQLErrorA
0000000246119464 (__TEXT,__text) external _SQLErrorW
00000002461152d0 (__TEXT,__text) external _SQLExecDirect
0000000246115420 (__TEXT,__text) external _SQLExecDirectA
0000000246115570 (__TEXT,__text) external _SQLExecDirectW
0000000246115078 (__TEXT,__text) non-external _SQLExecDirect_Internal
0000000246114db0 (__TEXT,__text) external _SQLExecute
00000002461164b4 (__TEXT,__text) external _SQLExtendedFetch
00000002461161fc (__TEXT,__text) external _SQLFetch
0000000246128290 (__TEXT,__text) external _SQLFetchScroll
0000000246116044 (__TEXT,__text) non-external _SQLFetch_Internal
000000024610dd60 (__TEXT,__text) external _SQLForeignKeys
000000024610e01c (__TEXT,__text) external _SQLForeignKeysA
000000024610e2d8 (__TEXT,__text) external _SQLForeignKeysW
000000024610da10 (__TEXT,__text) non-external _SQLForeignKeys_Internal
0000000246117170 (__TEXT,__text) external _SQLFreeConnect
00000002461170c8 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000002461189ec (__TEXT,__text) external _SQLFreeEnv
0000000246118960 (__TEXT,__text) non-external _SQLFreeEnv_Internal
0000000246122a84 (__TEXT,__text) external _SQLFreeHandle
000000024611b96c (__TEXT,__text) external _SQLFreeStmt
000000024611b764 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00000002461340d0 (__TEXT,__text) non-external _SQLGetConfigMode
00000002461253c0 (__TEXT,__text) external _SQLGetConnectAttr
0000000246125870 (__TEXT,__text) external _SQLGetConnectAttrA
00000002461259c4 (__TEXT,__text) external _SQLGetConnectAttrW
0000000246125514 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000000246117f9c (__TEXT,__text) external _SQLGetConnectOption
00000002461180c8 (__TEXT,__text) external _SQLGetConnectOptionA
00000002461181f4 (__TEXT,__text) external _SQLGetConnectOptionW
0000000246120a64 (__TEXT,__text) external _SQLGetCursorName
0000000246120bcc (__TEXT,__text) external _SQLGetCursorNameA
0000000246120d34 (__TEXT,__text) external _SQLGetCursorNameW
0000000246120844 (__TEXT,__text) non-external _SQLGetCursorName_Internal
0000000246116638 (__TEXT,__text) external _SQLGetData
0000000246125d84 (__TEXT,__text) external _SQLGetDescField
0000000246125ef8 (__TEXT,__text) external _SQLGetDescFieldA
000000024612606c (__TEXT,__text) external _SQLGetDescFieldW
0000000246125b18 (__TEXT,__text) non-external _SQLGetDescField_Internal
00000002461269b8 (__TEXT,__text) external _SQLGetDescRec
0000000246126bec (__TEXT,__text) external _SQLGetDescRecA
0000000246126e20 (__TEXT,__text) external _SQLGetDescRecW
0000000246126790 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000024611ad58 (__TEXT,__text) external _SQLGetDiagField
000000024611ae64 (__TEXT,__text) external _SQLGetDiagFieldA
000000024611af70 (__TEXT,__text) external _SQLGetDiagFieldW
0000000246119f18 (__TEXT,__text) non-external _SQLGetDiagField_Internal
0000000246119bb8 (__TEXT,__text) external _SQLGetDiagRec
0000000246119cd8 (__TEXT,__text) external _SQLGetDiagRecA
0000000246119df8 (__TEXT,__text) external _SQLGetDiagRecW
000000024611958c (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00000002461231c0 (__TEXT,__text) external _SQLGetEnvAttr
000000024611e698 (__TEXT,__text) external _SQLGetFunctions
000000024611e29c (__TEXT,__text) external _SQLGetInfo
000000024611e3f0 (__TEXT,__text) external _SQLGetInfoA
000000024611e544 (__TEXT,__text) external _SQLGetInfoW
000000024611dca8 (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000246136f64 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000246136fb0 (__TEXT,__text) non-external _SQLGetKeywordValueW
0000000246136a88 (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000246136c88 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
0000000246123a44 (__TEXT,__text) external _SQLGetStmtAttr
0000000246123bbc (__TEXT,__text) external _SQLGetStmtAttrA
0000000246123d34 (__TEXT,__text) external _SQLGetStmtAttrW
00000002461233a4 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000024611c1b4 (__TEXT,__text) external _SQLGetStmtOption
000000024611c300 (__TEXT,__text) external _SQLGetStmtOptionA
000000024611bfd4 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000024610ac38 (__TEXT,__text) external _SQLGetTypeInfo
000000024610ad78 (__TEXT,__text) external _SQLGetTypeInfoA
000000024610aeb8 (__TEXT,__text) external _SQLGetTypeInfoW
000000024610aa78 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00000002461169b0 (__TEXT,__text) external _SQLMoreResults
00000002461144a8 (__TEXT,__text) external _SQLNativeSql
0000000246114614 (__TEXT,__text) external _SQLNativeSqlA
0000000246114780 (__TEXT,__text) external _SQLNativeSqlW
0000000246114240 (__TEXT,__text) non-external _SQLNativeSql_Internal
0000000246115bc0 (__TEXT,__text) external _SQLNumParams
0000000246121180 (__TEXT,__text) external _SQLNumResultCols
0000000246115938 (__TEXT,__text) external _SQLParamData
000000024611fd9c (__TEXT,__text) external _SQLParamOptions
000000024611f010 (__TEXT,__text) external _SQLPrepare
000000024611f160 (__TEXT,__text) external _SQLPrepareA
000000024611f2b0 (__TEXT,__text) external _SQLPrepareW
000000024611ee00 (__TEXT,__text) non-external _SQLPrepare_Internal
000000024610e7c0 (__TEXT,__text) external _SQLPrimaryKeys
000000024610e968 (__TEXT,__text) external _SQLPrimaryKeysA
000000024610eb10 (__TEXT,__text) external _SQLPrimaryKeysW
000000024610e594 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000024610ef48 (__TEXT,__text) external _SQLProcedureColumns
000000024610f12c (__TEXT,__text) external _SQLProcedureColumnsA
000000024610f310 (__TEXT,__text) external _SQLProcedureColumnsW
000000024610ecb8 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000024610f720 (__TEXT,__text) external _SQLProcedures
000000024610f8c8 (__TEXT,__text) external _SQLProceduresA
000000024610fa70 (__TEXT,__text) external _SQLProceduresW
000000024610f4f4 (__TEXT,__text) non-external _SQLProcedures_Internal
00000002461156c0 (__TEXT,__text) external _SQLPutData
0000000246133770 (__TEXT,__text) non-external _SQLReadFileDSN
0000000246133900 (__TEXT,__text) non-external _SQLReadFileDSNW
0000000246120e9c (__TEXT,__text) external _SQLRowCount
0000000246136ffc (__TEXT,__text) non-external _SQLSetConfigMode
0000000246124dcc (__TEXT,__text) external _SQLSetConnectAttr
0000000246125138 (__TEXT,__text) external _SQLSetConnectAttrA
000000024612527c (__TEXT,__text) external _SQLSetConnectAttrW
0000000246124f10 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
0000000246117810 (__TEXT,__text) external _SQLSetConnectOption
000000024611793c (__TEXT,__text) external _SQLSetConnectOptionA
0000000246117a68 (__TEXT,__text) external _SQLSetConnectOptionW
000000024611f5ac (__TEXT,__text) external _SQLSetCursorName
000000024611f6fc (__TEXT,__text) external _SQLSetCursorNameA
000000024611f84c (__TEXT,__text) external _SQLSetCursorNameW
000000024611f400 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000024612637c (__TEXT,__text) external _SQLSetDescField
00000002461264d8 (__TEXT,__text) external _SQLSetDescFieldA
0000000246126634 (__TEXT,__text) external _SQLSetDescFieldW
00000002461261e0 (__TEXT,__text) non-external _SQLSetDescField_Internal
0000000246127054 (__TEXT,__text) external _SQLSetDescRec
0000000246122fac (__TEXT,__text) external _SQLSetEnvAttr
00000002461230cc (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00000002461374d8 (__TEXT,__text) non-external _SQLSetKeywordValue
00000002461374e4 (__TEXT,__text) non-external _SQLSetKeywordValueW
00000002461204b0 (__TEXT,__text) external _SQLSetParam
0000000246116db0 (__TEXT,__text) external _SQLSetPos
000000024612004c (__TEXT,__text) external _SQLSetScrollOptions
0000000246124994 (__TEXT,__text) external _SQLSetStmtAttr
0000000246124afc (__TEXT,__text) external _SQLSetStmtAttrA
0000000246124c64 (__TEXT,__text) external _SQLSetStmtAttrW
0000000246123eac (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000024611bab8 (__TEXT,__text) external _SQLSetStmtOption
000000024611be88 (__TEXT,__text) external _SQLSetStmtOptionA
000000024611bc04 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000024610b284 (__TEXT,__text) external _SQLSpecialColumns
000000024610b4c4 (__TEXT,__text) external _SQLSpecialColumnsA
000000024610b704 (__TEXT,__text) external _SQLSpecialColumnsW
000000024610aff8 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000024610bbb0 (__TEXT,__text) external _SQLStatistics
000000024610bd94 (__TEXT,__text) external _SQLStatisticsA
000000024610bf78 (__TEXT,__text) external _SQLStatisticsW
000000024610b944 (__TEXT,__text) non-external _SQLStatistics_Internal
000000024610fe44 (__TEXT,__text) external _SQLTablePrivileges
000000024610ffec (__TEXT,__text) external _SQLTablePrivilegesA
0000000246110194 (__TEXT,__text) external _SQLTablePrivilegesW
000000024610fc18 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000024610c3ec (__TEXT,__text) external _SQLTables
000000024610c5d0 (__TEXT,__text) external _SQLTablesA
000000024610c7b4 (__TEXT,__text) external _SQLTablesW
000000024610c15c (__TEXT,__text) non-external _SQLTables_Internal
000000024611862c (__TEXT,__text) external _SQLTransact
0000000246118320 (__TEXT,__text) non-external _SQLTransact_Internal
00000002461341dc (__TEXT,__text) non-external _SQLValidDSN
0000000246134264 (__TEXT,__text) non-external _SQLValidDSNW
0000000246133508 (__TEXT,__text) non-external _SQLWriteFileDSN
00000002461335c4 (__TEXT,__text) non-external _SQLWriteFileDSNW
0000000246137194 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000024613732c (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000024611cef4 (__TEXT,__text) non-external _SectSorter
0000000246134124 (__TEXT,__text) non-external _ValidDSN
0000000246134184 (__TEXT,__text) non-external _ValidDSNW
000000024613705c (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000246122e70 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002461353ac (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
0000000256cfd470 (__DATA,__common) non-external __iodbc_env_counter
0000000246133ae4 (__TEXT,__text) non-external __iodbcadm_getinifile
000000024611c8e0 (__TEXT,__text) non-external __iodbcdm_BindColumn
000000024611c9e4 (__TEXT,__text) non-external __iodbcdm_ConvBindData
0000000246116330 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000024611b710 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
0000000246117b94 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
0000000246121058 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000024611b930 (__TEXT,__text) non-external __iodbcdm_RemoveBind
0000000246117258 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
0000000246110588 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
0000000246116c4c (__TEXT,__text) non-external __iodbcdm_SetPos
000000024611c97c (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000024611c65c (__TEXT,__text) non-external __iodbcdm_alloc_param
0000000256cfd478 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000024611ca98 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000024610ab60 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000024610abd4 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
0000000246135a7c (__TEXT,__text) non-external __iodbcdm_cfg_commit
0000000246134d00 (__TEXT,__text) non-external __iodbcdm_cfg_done
0000000246135550 (__TEXT,__text) non-external __iodbcdm_cfg_find
00000002461351dc (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
0000000246134c54 (__TEXT,__text) non-external __iodbcdm_cfg_init
000000024611ebbc (__TEXT,__text) non-external __iodbcdm_cfg_init_str
0000000246135cfc (__TEXT,__text) non-external __iodbcdm_cfg_next_section
0000000246135484 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000024611ec40 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000024611ea8c (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
0000000246134d44 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
0000000246135458 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
0000000246112fe4 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
0000000246135d44 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00000002461352bc (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000024611ecb8 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
0000000246135644 (__TEXT,__text) non-external __iodbcdm_cfg_write
0000000246133d58 (__TEXT,__text) non-external __iodbcdm_check_for_string
0000000246112d84 (__TEXT,__text) non-external __iodbcdm_con_settracing
000000024611c700 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000024611c7f0 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
0000000246112ea8 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
0000000246114c98 (__TEXT,__text) non-external __iodbcdm_dllclose
0000000246114d08 (__TEXT,__text) non-external __iodbcdm_dllerror
0000000246114be0 (__TEXT,__text) non-external __iodbcdm_dllopen
0000000246114bdc (__TEXT,__text) non-external __iodbcdm_dllproc
0000000246114d3c (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00000002461107f4 (__TEXT,__text) non-external __iodbcdm_driverload
0000000246110e4c (__TEXT,__text) non-external __iodbcdm_driverunload
000000024611b618 (__TEXT,__text) non-external __iodbcdm_dropstmt
0000000246117794 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00000002461103a8 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
0000000246118a9c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
0000000246114a90 (__TEXT,__text) non-external __iodbcdm_getInfo_init
0000000246133e30 (__TEXT,__text) non-external __iodbcdm_getdsnfile
0000000246114b7c (__TEXT,__text) non-external __iodbcdm_getproc
0000000256cfd418 (__DATA,__bss) non-external __iodbcdm_initialized
0000000246135f5c (__TEXT,__text) non-external __iodbcdm_list_entries
0000000246135e90 (__TEXT,__text) non-external __iodbcdm_list_sections
0000000246121328 (__TEXT,__text) non-external __iodbcdm_map_c_type
00000002461212bc (__TEXT,__text) non-external __iodbcdm_map_sql_type
00000002461148ec (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000024611033c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00000002461374f0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
0000000246112b48 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
0000000246113224 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
0000000246110474 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
0000000246113168 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
0000000246118acc (__TEXT,__text) non-external __iodbcdm_pushsqlerr
0000000246133dbc (__TEXT,__text) non-external __iodbcdm_remove_quotes
0000000246114d0c (__TEXT,__text) non-external __iodbcdm_safe_unload
0000000246118b44 (__TEXT,__text) non-external __iodbcdm_sqlerror
0000000246134034 (__TEXT,__text) non-external __iodbcdm_strlcat
0000000246133fd8 (__TEXT,__text) non-external __iodbcdm_strlcpy
0000000246118420 (__TEXT,__text) non-external __iodbcdm_transact
0000000253c6bfb8 (__DATA_CONST,__const) non-external __mask_CONVERT
0000000253c6cb90 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
0000000253c6cc38 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
0000000253c6c078 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
0000000253c6c108 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
0000000253c6c740 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
0000000253c6c778 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
0000000253c6c478 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
0000000253c6c7c8 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
0000000253c6c7e0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
0000000253c6c800 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
0000000253c6c520 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
0000000253c6c828 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
0000000253c6c840 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
0000000253c6bf90 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
0000000253c6bfa0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
0000000253c6c450 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
0000000253c6c870 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
0000000253c6c8b8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
0000000253c6c8d8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
0000000253c6c8e8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
0000000253c6c938 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
0000000253c6c958 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
0000000253c6c9d0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
0000000253c6c9e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
0000000253c6ca08 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
0000000253c6ca20 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
0000000253c6caa0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
0000000253c6cad0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
0000000253c6cae0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
0000000253c6caf0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
0000000253c6cb00 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
0000000253c6cb20 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
0000000253c6cb40 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
0000000253c6cb60 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
0000000253c6cb70 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
0000000253c6cab8 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
0000000253c6c0c0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
0000000253c6c5a8 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
0000000253c6c560 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
0000000253c6c588 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
0000000253c6ccc8 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
0000000253c6cce0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
0000000253c6cda0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
0000000253c6c5c0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
0000000253c6c468 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
0000000253c6c5e0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
0000000253c6c130 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
0000000253c6c1f8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
0000000253c6cdc0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
0000000253c6c210 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
0000000253c6c220 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
0000000253c6c5f8 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
0000000253c6cde0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
0000000253c6cdf8 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
0000000253c6c668 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
0000000253c6c638 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
0000000253c6ce18 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
0000000253c6c238 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
0000000253c6c260 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
0000000253c6ce70 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
0000000253c6ce90 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
0000000253c6ceb8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
0000000253c6cee0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
0000000253c6cf50 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
0000000253c6cf88 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
0000000253c6d000 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
0000000253c6d058 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
0000000253c6d0d8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
0000000253c6d100 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
0000000253c6d148 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
0000000253c6ce48 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
0000000253c6d170 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
0000000253c6c688 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
0000000253c6c290 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
