                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffd0b8325ab (__TEXT,__text) external __crypt_blowfish_rn
00007ffd0b82ded5 (__TEXT,__text) external _apr_brigade_to_iovec
00007ffd0b82e4e0 (__TEXT,__text) external _apr_brigade_vprintf
00007ffd0b82df6c (__TEXT,__text) external _apr_brigade_vputstrs
00007ffd0b82dd7b (__TEXT,__text) external _apr_brigade_write
00007ffd0b82e06c (__TEXT,__text) external _apr_brigade_writev
00007ffd0b82e757 (__TEXT,__text) external _apr_bucket_alloc
00007ffd0b82e654 (__TEXT,__text) external _apr_bucket_alloc_create
00007ffd0b82e6c9 (__TEXT,__text) external _apr_bucket_alloc_create_ex
00007ffd0b82e724 (__TEXT,__text) external _apr_bucket_alloc_destroy
00007ffd0b82e643 (__TEXT,__text) external _apr_bucket_copy_notimpl
00007ffd0b82e64e (__TEXT,__text) external _apr_bucket_destroy_noop
00007ffd0b82e865 (__TEXT,__text) external _apr_bucket_eos_create
00007ffd0b82e842 (__TEXT,__text) external _apr_bucket_eos_make
00007ffd0b82e927 (__TEXT,__text) external _apr_bucket_file_create
00007ffd0b82e9b3 (__TEXT,__text) external _apr_bucket_file_enable_mmap
00007ffd0b82e8c2 (__TEXT,__text) external _apr_bucket_file_make
00007ffd0b82ecfe (__TEXT,__text) external _apr_bucket_flush_create
00007ffd0b82ecdb (__TEXT,__text) external _apr_bucket_flush_make
00007ffd0b82e80d (__TEXT,__text) external _apr_bucket_free
00007ffd0b82ee01 (__TEXT,__text) external _apr_bucket_heap_create
00007ffd0b82ed5b (__TEXT,__text) external _apr_bucket_heap_make
00007ffd0b82f560 (__TEXT,__text) external _apr_bucket_immortal_create
00007ffd0b82f53c (__TEXT,__text) external _apr_bucket_immortal_make
00007ffd0b82ef23 (__TEXT,__text) external _apr_bucket_mmap_create
00007ffd0b82eea0 (__TEXT,__text) external _apr_bucket_mmap_make
00007ffd0b82f0ad (__TEXT,__text) external _apr_bucket_pipe_create
00007ffd0b82f08c (__TEXT,__text) external _apr_bucket_pipe_make
00007ffd0b82f349 (__TEXT,__text) external _apr_bucket_pool_create
00007ffd0b82f272 (__TEXT,__text) external _apr_bucket_pool_make
00007ffd0b82e625 (__TEXT,__text) external _apr_bucket_setaside_noop
00007ffd0b82e62d (__TEXT,__text) external _apr_bucket_setaside_notimpl
00007ffd0b82f448 (__TEXT,__text) external _apr_bucket_shared_copy
00007ffd0b82f462 (__TEXT,__text) external _apr_bucket_shared_destroy
00007ffd0b82f46f (__TEXT,__text) external _apr_bucket_shared_make
00007ffd0b82f42c (__TEXT,__text) external _apr_bucket_shared_split
00007ffd0b82f48a (__TEXT,__text) external _apr_bucket_simple_copy
00007ffd0b82f4d1 (__TEXT,__text) external _apr_bucket_simple_split
00007ffd0b82f6a4 (__TEXT,__text) external _apr_bucket_socket_create
00007ffd0b82f683 (__TEXT,__text) external _apr_bucket_socket_make
00007ffd0b82e638 (__TEXT,__text) external _apr_bucket_split_notimpl
00007ffd0b82f5e0 (__TEXT,__text) external _apr_bucket_transient_create
00007ffd0b82f5bc (__TEXT,__text) external _apr_bucket_transient_make
00007ffd417a84a0 (__DATA_CONST,__const) external _apr_bucket_type_eos
00007ffd417a84d8 (__DATA_CONST,__const) external _apr_bucket_type_file
00007ffd417a8510 (__DATA_CONST,__const) external _apr_bucket_type_flush
00007ffd417a8548 (__DATA_CONST,__const) external _apr_bucket_type_heap
00007ffd417a8628 (__DATA_CONST,__const) external _apr_bucket_type_immortal
00007ffd417a8580 (__DATA_CONST,__const) external _apr_bucket_type_mmap
00007ffd417a85b8 (__DATA_CONST,__const) external _apr_bucket_type_pipe
00007ffd417a85f0 (__DATA_CONST,__const) external _apr_bucket_type_pool
00007ffd417a8698 (__DATA_CONST,__const) external _apr_bucket_type_socket
00007ffd417a8660 (__DATA_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
00007ffd433c22d0 (__DATA,__common) external _apr_current_hooking_module
00007ffd0b83a798 (__TEXT,__text) external _apr_date_checkmask
00007ffd0b83a89c (__TEXT,__text) external _apr_date_parse_http
00007ffd0b83ac48 (__TEXT,__text) external _apr_date_parse_rfc
00007ffd0b8352a8 (__TEXT,__text) external _apr_dbd_check_conn
00007ffd0b8352c9 (__TEXT,__text) external _apr_dbd_close
00007ffd0b835b93 (__TEXT,__text) external _apr_dbd_datum_get
00007ffd0b8352b9 (__TEXT,__text) external _apr_dbd_error
00007ffd0b83542c (__TEXT,__text) external _apr_dbd_escape
00007ffd0b83520a (__TEXT,__text) external _apr_dbd_get_driver
00007ffd0b835409 (__TEXT,__text) external _apr_dbd_get_entry
00007ffd0b835419 (__TEXT,__text) external _apr_dbd_get_name
00007ffd0b8353f2 (__TEXT,__text) external _apr_dbd_get_row
00007ffd0b8350fa (__TEXT,__text) external _apr_dbd_init
00007ffd0b8350d8 (__TEXT,__text) external _apr_dbd_mutex_lock
00007ffd0b8350e9 (__TEXT,__text) external _apr_dbd_mutex_unlock
00007ffd0b83537d (__TEXT,__text) external _apr_dbd_name
00007ffd0b835386 (__TEXT,__text) external _apr_dbd_native_handle
00007ffd0b8353d6 (__TEXT,__text) external _apr_dbd_num_cols
00007ffd0b8353e4 (__TEXT,__text) external _apr_dbd_num_tuples
00007ffd0b8352d7 (__TEXT,__text) external _apr_dbd_open
00007ffd0b83523d (__TEXT,__text) external _apr_dbd_open_ex
00007ffd0b835a0e (__TEXT,__text) external _apr_dbd_pbquery
00007ffd0b835a2b (__TEXT,__text) external _apr_dbd_pbselect
00007ffd0b835884 (__TEXT,__text) external _apr_dbd_pquery
00007ffd0b835443 (__TEXT,__text) external _apr_dbd_prepare
00007ffd0b8358a6 (__TEXT,__text) external _apr_dbd_pselect
00007ffd0b835a50 (__TEXT,__text) external _apr_dbd_pvbquery
00007ffd0b835af2 (__TEXT,__text) external _apr_dbd_pvbselect
00007ffd0b8358cb (__TEXT,__text) external _apr_dbd_pvquery
00007ffd0b83596d (__TEXT,__text) external _apr_dbd_pvselect
00007ffd0b8353a8 (__TEXT,__text) external _apr_dbd_query
00007ffd0b8353bc (__TEXT,__text) external _apr_dbd_select
00007ffd0b835394 (__TEXT,__text) external _apr_dbd_set_dbname
00007ffd417a8880 (__DATA_CONST,__const) external _apr_dbd_sqlite3_driver
00007ffd0b835330 (__TEXT,__text) external _apr_dbd_transaction_end
00007ffd0b835359 (__TEXT,__text) external _apr_dbd_transaction_mode_get
00007ffd0b83536a (__TEXT,__text) external _apr_dbd_transaction_mode_set
00007ffd0b8352e4 (__TEXT,__text) external _apr_dbd_transaction_start
00007ffd0b835cf3 (__TEXT,__text) external _apr_dbm_close
00007ffd0b835d1d (__TEXT,__text) external _apr_dbm_delete
00007ffd0b835d2c (__TEXT,__text) external _apr_dbm_exists
00007ffd0b835cff (__TEXT,__text) external _apr_dbm_fetch
00007ffd0b835d3b (__TEXT,__text) external _apr_dbm_firstkey
00007ffd0b835d59 (__TEXT,__text) external _apr_dbm_freedatum
00007ffd0b835ded (__TEXT,__text) external _apr_dbm_get_usednames
00007ffd0b835d9e (__TEXT,__text) external _apr_dbm_get_usednames_ex
00007ffd0b835d68 (__TEXT,__text) external _apr_dbm_geterror
00007ffd0b835d4a (__TEXT,__text) external _apr_dbm_nextkey
00007ffd0b835c85 (__TEXT,__text) external _apr_dbm_open
00007ffd0b835bab (__TEXT,__text) external _apr_dbm_open_ex
00007ffd0b835d0e (__TEXT,__text) external _apr_dbm_store
00007ffd417a86d0 (__DATA_CONST,__const) external _apr_dbm_type_sdbm
00007ffd433c22c8 (__DATA,__common) external _apr_debug_module_hooks
00007ffd0b837bf0 (__TEXT,__text) external _apr_dynamic_fn_register
00007ffd0b837bbc (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get$INODE64 (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
00007ffd433c22c0 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
00007ffd433c22b8 (__DATA,__common) external _apr_hook_debug_current
00007ffd433c22b0 (__DATA,__common) external _apr_hook_debug_enabled
00007ffd0b837967 (__TEXT,__text) external _apr_hook_debug_show
00007ffd0b837916 (__TEXT,__text) external _apr_hook_deregister_all
00007ffd433c22a8 (__DATA,__common) external _apr_hook_global_pool
00007ffd0b83746a (__TEXT,__text) external _apr_hook_sort_all
00007ffd0b837420 (__TEXT,__text) external _apr_hook_sort_register
00007ffd0b840950 (__TEXT,__text) external _apr_ldap_get_option
00007ffd0b84091f (__TEXT,__text) external _apr_ldap_info
00007ffd0b84087a (__TEXT,__text) external _apr_ldap_init
00007ffd0b837c51 (__TEXT,__text) external _apr_ldap_is_ldap_url
00007ffd0b837d81 (__TEXT,__text) external _apr_ldap_is_ldapi_url
00007ffd0b837d3f (__TEXT,__text) external _apr_ldap_is_ldaps_url
00007ffd0b840ca4 (__TEXT,__text) external _apr_ldap_rebind_add
00007ffd0b840c48 (__TEXT,__text) external _apr_ldap_rebind_init
00007ffd0b840d8a (__TEXT,__text) external _apr_ldap_rebind_remove
00007ffd0b8409d8 (__TEXT,__text) external _apr_ldap_set_option
00007ffd0b840872 (__TEXT,__text) external _apr_ldap_ssl_deinit
00007ffd0b8407c8 (__TEXT,__text) external _apr_ldap_ssl_init
00007ffd0b8384a7 (__TEXT,__text) external _apr_ldap_url_parse
00007ffd0b837dc3 (__TEXT,__text) external _apr_ldap_url_parse_ext
00007ffd0b830103 (__TEXT,__text) external _apr_md4
00007ffd0b830044 (__TEXT,__text) external _apr_md4_final
00007ffd0b82f852 (__TEXT,__text) external _apr_md4_init
00007ffd0b82f86e (__TEXT,__text) external _apr_md4_set_xlate
00007ffd0b82f8ab (__TEXT,__text) external _apr_md4_update
00007ffd0b830469 (__TEXT,__text) external _apr_md5
00007ffd0b8304d3 (__TEXT,__text) external _apr_md5_encode
00007ffd0b8303a0 (__TEXT,__text) external _apr_md5_final
00007ffd0b83016b (__TEXT,__text) external _apr_md5_init
00007ffd0b830187 (__TEXT,__text) external _apr_md5_set_xlate
00007ffd0b8301c4 (__TEXT,__text) external _apr_md5_update
00007ffd0b838d65 (__TEXT,__text) external _apr_memcache_add
00007ffd0b8396bf (__TEXT,__text) external _apr_memcache_add_multget_key
00007ffd0b8384e8 (__TEXT,__text) external _apr_memcache_add_server
00007ffd0b8389ef (__TEXT,__text) external _apr_memcache_create
00007ffd0b83957c (__TEXT,__text) external _apr_memcache_decr
00007ffd0b8391f1 (__TEXT,__text) external _apr_memcache_delete
00007ffd0b838730 (__TEXT,__text) external _apr_memcache_disable_server
00007ffd0b83871b (__TEXT,__text) external _apr_memcache_enable_server
00007ffd0b8386bc (__TEXT,__text) external _apr_memcache_find_server
00007ffd0b838515 (__TEXT,__text) external _apr_memcache_find_server_hash
00007ffd0b838534 (__TEXT,__text) external _apr_memcache_find_server_hash_default
00007ffd0b838dbf (__TEXT,__text) external _apr_memcache_getp
00007ffd0b838ad6 (__TEXT,__text) external _apr_memcache_hash
00007ffd0b838a50 (__TEXT,__text) external _apr_memcache_hash_crc32
00007ffd0b838a8f (__TEXT,__text) external _apr_memcache_hash_default
00007ffd0b839399 (__TEXT,__text) external _apr_memcache_incr
00007ffd0b839748 (__TEXT,__text) external _apr_memcache_multgetp
00007ffd0b838d92 (__TEXT,__text) external _apr_memcache_replace
00007ffd0b838764 (__TEXT,__text) external _apr_memcache_server_create
00007ffd0b838b2d (__TEXT,__text) external _apr_memcache_set
00007ffd0b83a063 (__TEXT,__text) external _apr_memcache_stats
00007ffd0b839595 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
00007ffd0b837aa2 (__TEXT,__text) external _apr_optional_hook_add
00007ffd0b837a68 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
00007ffd0b8313bb (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
00007ffd0b835e4b (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
00007ffd0b83b4c0 (__TEXT,__text) external _apr_queue_create
00007ffd0b83b8c5 (__TEXT,__text) external _apr_queue_interrupt_all
00007ffd0b83b741 (__TEXT,__text) external _apr_queue_pop
00007ffd0b83b5b7 (__TEXT,__text) external _apr_queue_push
00007ffd0b83b738 (__TEXT,__text) external _apr_queue_size
00007ffd0b83b903 (__TEXT,__text) external _apr_queue_term
00007ffd0b83b81f (__TEXT,__text) external _apr_queue_trypop
00007ffd0b83b693 (__TEXT,__text) external _apr_queue_trypush
00007ffd0b83bce9 (__TEXT,__text) external _apr_reslist_acquire
00007ffd0b83bf39 (__TEXT,__text) external _apr_reslist_acquired_count
00007ffd0b83bfa8 (__TEXT,__text) external _apr_reslist_cleanup_order_set
00007ffd0b83bac0 (__TEXT,__text) external _apr_reslist_create
00007ffd0b83bcd2 (__TEXT,__text) external _apr_reslist_destroy
00007ffd0b83bf65 (__TEXT,__text) external _apr_reslist_invalidate
00007ffd0b83b942 (__TEXT,__text) external _apr_reslist_maintain
00007ffd0b83be75 (__TEXT,__text) external _apr_reslist_release
00007ffd0b83bf2f (__TEXT,__text) external _apr_reslist_timeout_set
00007ffd0b83c7bb (__TEXT,__text) external _apr_rmm_addr_get
00007ffd0b83c2bc (__TEXT,__text) external _apr_rmm_attach
00007ffd0b83c620 (__TEXT,__text) external _apr_rmm_calloc
00007ffd0b83c18c (__TEXT,__text) external _apr_rmm_destroy
00007ffd0b83c337 (__TEXT,__text) external _apr_rmm_detach
00007ffd0b83c7c8 (__TEXT,__text) external _apr_rmm_free
00007ffd0b83bff8 (__TEXT,__text) external _apr_rmm_init
00007ffd0b83c33f (__TEXT,__text) external _apr_rmm_malloc
00007ffd0b83c7ae (__TEXT,__text) external _apr_rmm_offset_get
00007ffd0b83c940 (__TEXT,__text) external _apr_rmm_overhead_get
00007ffd0b83c714 (__TEXT,__text) external _apr_rmm_realloc
00007ffd0b8362ea (__TEXT,__text) external _apr_sdbm_close
00007ffd0b83656b (__TEXT,__text) external _apr_sdbm_delete
00007ffd0b83633c (__TEXT,__text) external _apr_sdbm_fetch
00007ffd0b836a13 (__TEXT,__text) external _apr_sdbm_firstkey
00007ffd0b836c80 (__TEXT,__text) external _apr_sdbm_lock
00007ffd0b836aea (__TEXT,__text) external _apr_sdbm_nextkey
00007ffd0b83615a (__TEXT,__text) external _apr_sdbm_open
00007ffd0b83661e (__TEXT,__text) external _apr_sdbm_rdonly
00007ffd0b836674 (__TEXT,__text) external _apr_sdbm_store
00007ffd0b836d4b (__TEXT,__text) external _apr_sdbm_unlock
00007ffd0b8324d0 (__TEXT,__text) external _apr_sha1_base64
00007ffd0b8323dc (__TEXT,__text) external _apr_sha1_final
00007ffd0b83158f (__TEXT,__text) external _apr_sha1_init
00007ffd0b8323d2 (__TEXT,__text) external _apr_sha1_update
00007ffd0b8315b0 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
00007ffd0b83d8e6 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
00007ffd0b83edfc (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
00007ffd0b83d44c (__TEXT,__text) external _apr_thread_pool_busy_count
00007ffd0b83c951 (__TEXT,__text) external _apr_thread_pool_create
00007ffd0b83cf65 (__TEXT,__text) external _apr_thread_pool_destroy
00007ffd0b83d45a (__TEXT,__text) external _apr_thread_pool_idle_count
00007ffd0b83d48c (__TEXT,__text) external _apr_thread_pool_idle_max_get
00007ffd0b83d4a0 (__TEXT,__text) external _apr_thread_pool_idle_max_set
00007ffd0b83d496 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
00007ffd0b83d57a (__TEXT,__text) external _apr_thread_pool_idle_wait_set
00007ffd0b83cf75 (__TEXT,__text) external _apr_thread_pool_push
00007ffd0b83d197 (__TEXT,__text) external _apr_thread_pool_schedule
00007ffd0b83d438 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
00007ffd0b83d615 (__TEXT,__text) external _apr_thread_pool_task_owner_get
00007ffd0b83d2aa (__TEXT,__text) external _apr_thread_pool_tasks_cancel
00007ffd0b83d42e (__TEXT,__text) external _apr_thread_pool_tasks_count
00007ffd0b83d46e (__TEXT,__text) external _apr_thread_pool_tasks_high_count
00007ffd0b83d464 (__TEXT,__text) external _apr_thread_pool_tasks_run_count
00007ffd0b83d588 (__TEXT,__text) external _apr_thread_pool_thread_max_get
00007ffd0b83d592 (__TEXT,__text) external _apr_thread_pool_thread_max_set
00007ffd0b83d442 (__TEXT,__text) external _apr_thread_pool_threads_count
00007ffd0b83d478 (__TEXT,__text) external _apr_thread_pool_threads_high_count
00007ffd0b83d482 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
00007ffd0b83d5fd (__TEXT,__text) external _apr_thread_pool_threshold_get
00007ffd0b83d607 (__TEXT,__text) external _apr_thread_pool_threshold_set
00007ffd0b83d29a (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
00007ffd0b83ddef (__TEXT,__text) external _apr_uri_parse
00007ffd0b83e200 (__TEXT,__text) external _apr_uri_parse_hostinfo
00007ffd0b83db3c (__TEXT,__text) external _apr_uri_port_of_scheme
00007ffd0b83db86 (__TEXT,__text) external _apr_uri_unparse
00007ffd0b834c8e (__TEXT,__text) external _apr_uuid_format
00007ffd0b834b43 (__TEXT,__text) external _apr_uuid_get
00007ffd0b834d36 (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
00007ffd0b83e67e (__TEXT,__text) external _apr_xlate_close
00007ffd0b83e5ad (__TEXT,__text) external _apr_xlate_conv_buffer
00007ffd0b83e661 (__TEXT,__text) external _apr_xlate_conv_byte
00007ffd0b83e2f9 (__TEXT,__text) external _apr_xlate_open
00007ffd0b83e599 (__TEXT,__text) external _apr_xlate_sb_get
00007ffd0b83f657 (__TEXT,__text) external _apr_xml_empty_elem
00007ffd0b83e783 (__TEXT,__text) external _apr_xml_insert_uri
00007ffd0b83ed5c (__TEXT,__text) external _apr_xml_parse_file
00007ffd0b83e695 (__TEXT,__text) external _apr_xml_parser_create
00007ffd0b83ec5e (__TEXT,__text) external _apr_xml_parser_done
00007ffd0b83ebff (__TEXT,__text) external _apr_xml_parser_feed
00007ffd0b83ecb8 (__TEXT,__text) external _apr_xml_parser_geterror
00007ffd0b83ef24 (__TEXT,__text) external _apr_xml_quote_elem
00007ffd0b83ee42 (__TEXT,__text) external _apr_xml_quote_string
00007ffd0b83efbb (__TEXT,__text) external _apr_xml_to_text
00007ffd0b83712c (__TEXT,__text) external _apu__sdbm_chkpage
00007ffd0b836f5b (__TEXT,__text) external _apu__sdbm_delpair
00007ffd0b836ee0 (__TEXT,__text) external _apu__sdbm_duppair
00007ffd0b836d84 (__TEXT,__text) external _apu__sdbm_fitpair
00007ffd0b836f03 (__TEXT,__text) external _apu__sdbm_getnkey
