00000001e790d40c (__TEXT,__text) non-external _DiToMD5
00000001e791f974 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e791f9a0 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e791f9cc (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e791f9f8 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e791fa24 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e791fa50 (__TEXT,__text) non-external _IOUserServerMain.cold.9
000000021e9c3420 (__AUTH_CONST,__const) external _IOUserServer_Class
000000021cf235c0 (__DATA_DIRTY,__common) external _IOVMPageSize
000000021e9c35d0 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e790d5f0 (__TEXT,__text) external _MD5Final
00000001e790d344 (__TEXT,__text) external _MD5Init
00000001e790d570 (__TEXT,__text) non-external _MD5ToDi
00000001e790d480 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
000000021e9c3780 (__AUTH_CONST,__const) external _OSAction_Class
000000021e9c3140 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
000000021e9c4880 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e78fc69c (__TEXT,__text) external _OSArrayAppendValue
00000001e78fc21c (__TEXT,__text) external _OSArrayApply
00000001e78fc1b4 (__TEXT,__text) external _OSArrayCreate
00000001e78fb694 (__TEXT,__text) external _OSArrayGetCount
00000001e78fc744 (__TEXT,__text) external _OSArrayGetStringValue
00000001e78fc7f4 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e78fc6d0 (__TEXT,__text) external _OSArrayGetValue
00000001e78fc694 (__TEXT,__text) external _OSArrayReplaceValue
00000001e78fc770 (__TEXT,__text) external _OSArraySetStringValue
00000001e78fc8fc (__TEXT,__text) external _OSArraySetUInt64Value
00000001e78fc4bc (__TEXT,__text) external _OSArraySetValue
000000021e9c3930 (__AUTH_CONST,__const) external _OSArray_Class
000000021e9c3a28 (__AUTH_CONST,__const) external _OSBoolean_Class
000000021e9c3b20 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e78fa1f0 (__TEXT,__text) external _OSCollectionTypeID
00000001e792088c (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e78fa120 (__TEXT,__text) external _OSCollectionTypeName
00000001e7920834 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
000000021e9c3c18 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e78ff908 (__TEXT,__text) external _OSCollectionsInitialize
000000021e9c3d10 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e78fa278 (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e79208e4 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e78fd3a8 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e7920f6c (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e78fd27c (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e78fb4d0 (__TEXT,__text) external _OSDataAppendBytes
00000001e78fb420 (__TEXT,__text) external _OSDataCreate
00000001e7920af4 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001e78fb3b4 (__TEXT,__text) external _OSDataGetBytes
00000001e78fb368 (__TEXT,__text) external _OSDataGetBytesPtr
00000001e78fb3a4 (__TEXT,__text) external _OSDataGetLength
000000021e9c3e70 (__AUTH_CONST,__const) external _OSData_Class
00000001e78fb6a0 (__TEXT,__text) external _OSDictionaryApply
00000001e78fb620 (__TEXT,__text) external _OSDictionaryCreate
00000001e78fb688 (__TEXT,__text) external _OSDictionaryGetCount
00000001e78fbe5c (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e78fc068 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e78fbdb8 (__TEXT,__text) external _OSDictionaryGetValue
00000001e78fbfe4 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e78fc134 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e78fb9ec (__TEXT,__text) external _OSDictionarySetValue
000000021e9c3f68 (__AUTH_CONST,__const) external _OSDictionary_Class
000000021e9c4060 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e78fb5ac (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e78fb584 (__TEXT,__text) external _OSNumberGetUInt64Value
000000021e9c4158 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e78fd9b0 (__TEXT,__text) external _OSObjectLog
00000001e78fa180 (__TEXT,__text) external _OSObjectRelease
00000001e78fa15c (__TEXT,__text) external _OSObjectRetain
000000021e9c4250 (__AUTH_CONST,__const) external _OSObject_Class
000000021e9c4400 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e78ee288 (__TEXT,__text) external _OSReportWithBacktrace
00000001e78fd4e0 (__TEXT,__text) external _OSSerializationGetBytes
000000021e9c44f8 (__AUTH_CONST,__const) external _OSSerialization_Class
000000021e9c45f0 (__AUTH_CONST,__const) external _OSSet_Class
00000001e78fad38 (__TEXT,__text) external _OSStringCreate
00000001e79209c0 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e79209ec (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001e7920a18 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001e78face0 (__TEXT,__text) external _OSStringGetLength
00000001e78faca4 (__TEXT,__text) external _OSStringGetStringPtr
000000021e9c46e8 (__AUTH_CONST,__const) external _OSString_Class
00000001e78edd10 (__TEXT,__text) external _OSSynchronizeIO
000000021a9fd438 (__DATA,__bss) non-external _OSUniqueStrings
00000001e78ee6e0 (__TEXT,__text) external _PE_i_can_has_debugger
00000001e790d974 (__TEXT,__text) external _SHA1Final
00000001e790d6c4 (__TEXT,__text) external _SHA1Init
00000001e790d8f8 (__TEXT,__text) non-external _SHA1ToDi
00000001e790d808 (__TEXT,__text) external _SHA1Update
00000001e790e4bc (__TEXT,__text) external _SHA256_Final
00000001e790e41c (__TEXT,__text) external _SHA256_Init
00000001e7921a50 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001e790e46c (__TEXT,__text) external _SHA256_Update
00000001e790e5a0 (__TEXT,__text) external _SHA384_Final
00000001e790e500 (__TEXT,__text) external _SHA384_Init
00000001e7921a78 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001e790e550 (__TEXT,__text) external _SHA384_Update
00000001e790e684 (__TEXT,__text) external _SHA512_Final
00000001e790e5e4 (__TEXT,__text) external _SHA512_Init
00000001e7921aa0 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001e790e634 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e78ef300 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001e790e6c8 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000021e9c47e0 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
000000021a9fd408 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e78ef664 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e791ed28 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e791ed54 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001e78f1430 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e791f56c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e791f598 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e791f5c4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e791f5f0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e791f61c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e78f0274 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e791f128 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e791f154 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e791f180 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e791f1ac (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e791f1fc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001e78ef970 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e791ee04 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e78fc6ac (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e78ff89c (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e78ef4c0 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e791eca4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e791ecd0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e791ecfc (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e78fc820 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e78fc8d0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e78fc84c (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e78ef6c4 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e78fccfc (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e7920e0c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e7920e38 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e7920e64 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e7920e90 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e7920ebc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e7920ee8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001e78ed85c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e78ed9a0 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e78efcb8 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001e791ee5c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001e78efe38 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e78f1ba4 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e78ef42c (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e78ef378 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e78fd4fc (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e7920f98 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e78ef864 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e791edac (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e791edd8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001e78fa234 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e79208b8 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e78fa1a4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e7920860 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e78ec650 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e78fb300 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e78fc97c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e7920ba4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e7920bd0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e7920bfc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e7920c28 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e7920c54 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e78fb2c8 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e78fb560 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e78fcac0 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e7920c80 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e7920cac (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e7920cd8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e78f1524 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001e791f648 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001e791f674 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001e78f1b64 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e78f0d28 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e791d31c (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e78ed724 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e78eeb58 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001e791ec20 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001e78f9f7c (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e791d0c0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e78feaac (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e79226c0 (__TEXT,__const) non-external __ZL11yytranslate
00000001e791e954 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e791c998 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e791d1e0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e791d4bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e791d53c (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e78fb074 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001e78fb024 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001e7920a44 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001e791dd74 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e790ecc0 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e7913df8 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e78f8bb0 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e79205a0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e79205cc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e79205f8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e791d160 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e7913b78 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e78f3118 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e791fe94 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e791fec0 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e791feec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e791ff18 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e7911a34 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e7913810 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e791c238 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e791d29c (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e78f17e4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e791f6a0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e791f6cc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e791f6f8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e791f724 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e78f26e8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e791fc18 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e791fc44 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e791fc70 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e791fc9c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e78f9960 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e79206d4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e7920700 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e792072c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e7920758 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e7920784 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e79207b0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e79207dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
000000021a9fd420 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e790ede0 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e791a8a0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001e791b97c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001e791d260 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001e78f1998 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001e78f1a00 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
