00007ffc4140f658 (__DATA,__bss) non-external _A
00007ffc0fc4a4b1 (__TEXT,__text) non-external _check_domain
00007ffc0fc5eb47 (__TEXT,__text) non-external _chunk_clone
00007ffc0fc61b02 (__TEXT,__text) external _cmark_arena_pop
00007ffc0fc61a5a (__TEXT,__text) external _cmark_arena_push
00007ffc0fc61b80 (__TEXT,__text) external _cmark_arena_reset
00007ffc0fc5fb3c (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffc0fc5ae69 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffc0fc5addc (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffc0fc5ad09 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffc0fc6227d (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffc0fc6229e (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffc0fc4bd2c (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffc0fc62cf0 (__TEXT,__const) non-external _cmark_ctype_class
00007ffc0fc594dc (__TEXT,__text) external _cmark_enable_safety_checks
00007ffc41406d80 (__DATA,__const) non-external _cmark_entities
00007ffc0fc4a8ce (__TEXT,__text) external _cmark_find_syntax_extension
00007ffc0fc5639e (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffc0fc61ffe (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffc0fc5640f (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffc0fc61cfb (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffc0fc4799a (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffc0fc56485 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffc0fc6136e (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffc0fc6145d (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffc0fc6148e (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffc0fc6134b (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffc0fc61410 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffc0fc48ce3 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffc0fc613b7 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffc0fc614c0 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffc0fc614ec (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffc0fc6138f (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffc0fc61433 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffc0fc48c91 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffc0fc59584 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffc0fc5e6df (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffc0fc5e70d (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffc0fc5e6fa (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffc0fc5e791 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffc0fc5e79b (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffc0fc5e6e8 (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffc0fc5e717 (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffc0fc5e41e (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffc0fc5e40d (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffc0fc5e3e5 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffc0fc62858 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffc0fc5e4ce (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffc0fc5e551 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffc0fc5e55b (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffc0fc6289e (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffc0fc5e6f1 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffc0fc5e42f (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffc0fc6287b (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffc0fc5ae9c (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffc0fc5aebe (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffc0fc48c3e (__TEXT,__text) external _cmark_isalnum
00007ffc0fc48c77 (__TEXT,__text) external _cmark_isalpha
00007ffc0fc48c5d (__TEXT,__text) external _cmark_isdigit
00007ffc0fc48c24 (__TEXT,__text) external _cmark_ispunct
00007ffc0fc48c0a (__TEXT,__text) external _cmark_isspace
00007ffc0fc4bc4c (__TEXT,__text) external _cmark_iter_free
00007ffc0fc4bd19 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffc0fc4bd0f (__TEXT,__text) external _cmark_iter_get_node
00007ffc0fc4bd22 (__TEXT,__text) external _cmark_iter_get_root
00007ffc0fc4bc04 (__TEXT,__text) external _cmark_iter_new
00007ffc0fc4bc57 (__TEXT,__text) external _cmark_iter_next
00007ffc0fc61fb8 (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffc0fc4bcfe (__TEXT,__text) external _cmark_iter_reset
00007ffc0fc4a862 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffc0fc4cc6f (__TEXT,__text) external _cmark_llist_append
00007ffc0fc4ccfb (__TEXT,__text) external _cmark_llist_free
00007ffc0fc4ccb9 (__TEXT,__text) external _cmark_llist_free_full
00007ffc0fc57249 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffc0fc566f5 (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffc0fc5658d (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffc0fc5673a (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffc0fc479a7 (__TEXT,__text) external _cmark_markdown_to_html
00007ffc0fc5aafc (__TEXT,__text) external _cmark_node_append_child
00007ffc0fc5958a (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffc0fc5ab52 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffc0fc59bbe (__TEXT,__text) external _cmark_node_first_child
00007ffc0fc59719 (__TEXT,__text) external _cmark_node_free
00007ffc0fc5a4f6 (__TEXT,__text) external _cmark_node_get_attributes
00007ffc0fc59d94 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffc0fc5a93e (__TEXT,__text) external _cmark_node_get_end_column
00007ffc0fc5a92d (__TEXT,__text) external _cmark_node_get_end_line
00007ffc0fc5a09c (__TEXT,__text) external _cmark_node_get_fence_info
00007ffc0fc5a1e4 (__TEXT,__text) external _cmark_node_get_fenced
00007ffc0fc59ee5 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffc0fc5a055 (__TEXT,__text) external _cmark_node_get_item_index
00007ffc0fc59f7b (__TEXT,__text) external _cmark_node_get_list_delim
00007ffc0fc59fc6 (__TEXT,__text) external _cmark_node_get_list_start
00007ffc0fc5a00d (__TEXT,__text) external _cmark_node_get_list_tight
00007ffc0fc59f30 (__TEXT,__text) external _cmark_node_get_list_type
00007ffc0fc59c6a (__TEXT,__text) external _cmark_node_get_literal
00007ffc0fc5a63e (__TEXT,__text) external _cmark_node_get_on_enter
00007ffc0fc5a790 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffc0fc5a91c (__TEXT,__text) external _cmark_node_get_start_column
00007ffc0fc5a90b (__TEXT,__text) external _cmark_node_get_start_line
00007ffc0fc59ecb (__TEXT,__text) external _cmark_node_get_string_content
00007ffc0fc5a8e2 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffc0fc5a3a8 (__TEXT,__text) external _cmark_node_get_title
00007ffc0fc597f7 (__TEXT,__text) external _cmark_node_get_type
00007ffc0fc599d8 (__TEXT,__text) external _cmark_node_get_type_string
00007ffc0fc5a25a (__TEXT,__text) external _cmark_node_get_url
00007ffc0fc59c2a (__TEXT,__text) external _cmark_node_get_user_data
00007ffc0fc5a9f0 (__TEXT,__text) external _cmark_node_insert_after
00007ffc0fc5a973 (__TEXT,__text) external _cmark_node_insert_before
00007ffc0fc59bd0 (__TEXT,__text) external _cmark_node_last_child
00007ffc0fc59706 (__TEXT,__text) external _cmark_node_new
00007ffc0fc596e6 (__TEXT,__text) external _cmark_node_new_with_ext
00007ffc0fc596fa (__TEXT,__text) external _cmark_node_new_with_mem
00007ffc0fc59648 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffc0fc59b88 (__TEXT,__text) external _cmark_node_next
00007ffc0fc59be2 (__TEXT,__text) external _cmark_node_nth_child
00007ffc0fc4bec5 (__TEXT,__text) external _cmark_node_own
00007ffc0fc59bac (__TEXT,__text) external _cmark_node_parent
00007ffc0fc59c15 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffc0fc5aaa6 (__TEXT,__text) external _cmark_node_prepend_child
00007ffc0fc59b9a (__TEXT,__text) external _cmark_node_previous
00007ffc0fc5aa6d (__TEXT,__text) external _cmark_node_replace
00007ffc0fc5a57e (__TEXT,__text) external _cmark_node_set_attributes
00007ffc0fc5a124 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffc0fc5a220 (__TEXT,__text) external _cmark_node_set_fenced
00007ffc0fc59f04 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffc0fc5a074 (__TEXT,__text) external _cmark_node_set_item_index
00007ffc0fc59f9a (__TEXT,__text) external _cmark_node_set_list_delim
00007ffc0fc59fe5 (__TEXT,__text) external _cmark_node_set_list_start
00007ffc0fc5a02d (__TEXT,__text) external _cmark_node_set_list_tight
00007ffc0fc59f4f (__TEXT,__text) external _cmark_node_set_list_type
00007ffc0fc59d9d (__TEXT,__text) external _cmark_node_set_literal
00007ffc0fc5a6cd (__TEXT,__text) external _cmark_node_set_on_enter
00007ffc0fc5a81f (__TEXT,__text) external _cmark_node_set_on_exit
00007ffc0fc59ed5 (__TEXT,__text) external _cmark_node_set_string_content
00007ffc0fc5a8f4 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffc0fc5a433 (__TEXT,__text) external _cmark_node_set_title
00007ffc0fc59809 (__TEXT,__text) external _cmark_node_set_type
00007ffc0fc5a2e5 (__TEXT,__text) external _cmark_node_set_url
00007ffc0fc59c3c (__TEXT,__text) external _cmark_node_set_user_data
00007ffc0fc59c53 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffc0fc5a94f (__TEXT,__text) external _cmark_node_unlink
00007ffc0fc5e748 (__TEXT,__text) external _cmark_node_unput
00007ffc0fc579e0 (__TEXT,__text) external _cmark_parse_document
00007ffc0fc572b5 (__TEXT,__text) external _cmark_parse_file
00007ffc0fc5aee0 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffc0fc622bf (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffc0fc623fa (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffc0fc6241d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffc0fc62440 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffc0fc62463 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffc0fc62486 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffc0fc624a9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffc0fc624cc (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffc0fc624ef (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffc0fc62512 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffc0fc62535 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffc0fc622e2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffc0fc62305 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffc0fc62328 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffc0fc6234b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffc0fc6236e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffc0fc62391 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffc0fc623b4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffc0fc623d7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffc0fc5e1c3 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffc0fc627a9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffc0fc627cc (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffc0fc627ef (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffc0fc62812 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffc0fc62835 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffc0fc5dab7 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffc0fc6257b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffc0fc6259e (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffc0fc625c1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffc0fc625e4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffc0fc62607 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffc0fc6262a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffc0fc6264d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffc0fc58ceb (__TEXT,__text) external _cmark_parser_add_child
00007ffc0fc58dc3 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffc0fc56f70 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffc0fc5721b (__TEXT,__text) non-external _cmark_parser_dispose
00007ffc0fc57a35 (__TEXT,__text) external _cmark_parser_feed
00007ffc0fc57a41 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffc0fc5752d (__TEXT,__text) external _cmark_parser_finish
00007ffc0fc5719d (__TEXT,__text) external _cmark_parser_free
00007ffc0fc58caa (__TEXT,__text) external _cmark_parser_get_column
00007ffc0fc58cb3 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffc0fc58cbc (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffc0fc58cc5 (__TEXT,__text) external _cmark_parser_get_indent
00007ffc0fc58ce2 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffc0fc58c98 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffc0fc58ca1 (__TEXT,__text) external _cmark_parser_get_offset
00007ffc0fc58eb0 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffc0fc58cd8 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffc0fc58cce (__TEXT,__text) external _cmark_parser_is_blank
00007ffc0fc5718c (__TEXT,__text) external _cmark_parser_new
00007ffc0fc57021 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffc0fc57079 (__TEXT,__text) non-external _cmark_parser_reset
00007ffc0fc58ea3 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffc0fc4b789 (__TEXT,__text) external _cmark_plugin_free
00007ffc0fc4b769 (__TEXT,__text) external _cmark_plugin_new
00007ffc0fc4b73f (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffc0fc4b7b9 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffc0fc56d72 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffc0fc620a8 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffc0fc56e39 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffc0fc620c9 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffc0fc56ed9 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffc0fc59519 (__TEXT,__text) external _cmark_register_node_flag
00007ffc0fc62233 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffc0fc62258 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffc4140f300 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffc0fc4a75d (__TEXT,__text) external _cmark_register_plugin
00007ffc0fc4a808 (__TEXT,__text) external _cmark_release_plugins
00007ffc0fc4a998 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffc0fc4a94f (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffc0fc4a978 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffc0fc46848 (__TEXT,__text) external _cmark_render_commonmark
00007ffc0fc46871 (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffc0fc479d8 (__TEXT,__text) external _cmark_render_html
00007ffc0fc479e5 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffc0fc61f06 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffc0fc4c0e0 (__TEXT,__text) external _cmark_render_latex
00007ffc0fc4c102 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffc0fc490cc (__TEXT,__text) external _cmark_render_man
00007ffc0fc490ee (__TEXT,__text) external _cmark_render_man_with_mem
00007ffc0fc5f5b8 (__TEXT,__text) external _cmark_render_plaintext
00007ffc0fc5f5e1 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffc0fc5eba0 (__TEXT,__text) external _cmark_render_xml
00007ffc0fc5ebad (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffc0fc5ace0 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffc4140f510 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffc0fc5ae73 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffc4140f310 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffc4140f664 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffc0fc5685e (__TEXT,__text) external _cmark_strbuf_clear
00007ffc0fc56a90 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffc0fc569d5 (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffc0fc62087 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffc0fc56a5a (__TEXT,__text) external _cmark_strbuf_detach
