00007ff81b703805 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81b70cc95 (__TEXT,__text) non-external +[CalRecurrenceEnd recurrenceEndWithOccurrenceCount:]
00007ff81b70bfba (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromDate:isDateOnly:isFloating:]
00007ff81b70bf99 (__TEXT,__text) non-external +[CalRecurrenceRule iCalendarValueFromRecurrenceType:]
00007ff81b70e4b9 (__TEXT,__text) non-external +[CalTask task]
00007ff81b70a11b (__TEXT,__text) non-external -[CalAlarm .cxx_destruct]
00007ff81b704342 (__TEXT,__text) non-external -[CalAlarm absoluteTrigger]
00007ff81b704358 (__TEXT,__text) non-external -[CalAlarm acknowledged]
00007ff81b7042b4 (__TEXT,__text) non-external -[CalAlarm action]
00007ff81b70a058 (__TEXT,__text) non-external -[CalAlarm copyWithZone:]
00007ff81b70414c (__TEXT,__text) non-external -[CalAlarm description]
00007ff81b70a0ca (__TEXT,__text) non-external -[CalAlarm ekAlarm]
00007ff81b704316 (__TEXT,__text) non-external -[CalAlarm emailAddress]
00007ff81b709a8e (__TEXT,__text) non-external -[CalAlarm hash]
00007ff81b709792 (__TEXT,__text) non-external -[CalAlarm initWithEKAlarm:]
00007ff81b70381e (__TEXT,__text) non-external -[CalAlarm init]
00007ff81b709aa4 (__TEXT,__text) non-external -[CalAlarm isEqual:]
00007ff81b70a0e5 (__TEXT,__text) non-external -[CalAlarm relatedToString]
00007ff81b7098b7 (__TEXT,__text) non-external -[CalAlarm relatedTo]
00007ff81b70432c (__TEXT,__text) non-external -[CalAlarm relativeTrigger]
00007ff81b7099d8 (__TEXT,__text) non-external -[CalAlarm setAbsoluteTrigger:]
00007ff81b709824 (__TEXT,__text) non-external -[CalAlarm setAcknowledged:]
00007ff81b709920 (__TEXT,__text) non-external -[CalAlarm setAction:]
00007ff81b70a0d4 (__TEXT,__text) non-external -[CalAlarm setEkAlarm:]
00007ff81b709926 (__TEXT,__text) non-external -[CalAlarm setEmailAddress:]
00007ff81b70983a (__TEXT,__text) non-external -[CalAlarm setRelatedTo:]
00007ff81b70a0ef (__TEXT,__text) non-external -[CalAlarm setRelatedToString:]
00007ff81b709968 (__TEXT,__text) non-external -[CalAlarm setRelativeTrigger:]
00007ff81b70993c (__TEXT,__text) non-external -[CalAlarm setSound:]
00007ff81b70a10a (__TEXT,__text) non-external -[CalAlarm setUnsavedRelateToDictionary:]
00007ff81b709952 (__TEXT,__text) non-external -[CalAlarm setUrl:]
00007ff81b704300 (__TEXT,__text) non-external -[CalAlarm sound]
00007ff81b7099ee (__TEXT,__text) non-external -[CalAlarm triggerDateRelativeTo:]
00007ff81b70a100 (__TEXT,__text) non-external -[CalAlarm unsavedRelateToDictionary]
00007ff81b7042ea (__TEXT,__text) non-external -[CalAlarm url]
00007ff81b704f6b (__TEXT,__text) non-external -[CalAttendee .cxx_destruct]
00007ff81b7048b1 (__TEXT,__text) non-external -[CalAttendee address]
00007ff81b7048c7 (__TEXT,__text) non-external -[CalAttendee commonName]
00007ff81b704ede (__TEXT,__text) non-external -[CalAttendee copyWithZone:]
00007ff81b7047d7 (__TEXT,__text) non-external -[CalAttendee description]
00007ff81b704f50 (__TEXT,__text) non-external -[CalAttendee ekParticipant]
00007ff81b704bee (__TEXT,__text) non-external -[CalAttendee hash]
00007ff81b704b5c (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00007ff81b704c04 (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff81b704f5a (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00007ff81b7048dd (__TEXT,__text) non-external -[CalAttendee status]
00007ff81b709782 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00007ff81b704105 (__TEXT,__text) non-external -[CalCalendar color]
00007ff81b7096fd (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff81b703f63 (__TEXT,__text) non-external -[CalCalendar description]
00007ff81b709767 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff81b709234 (__TEXT,__text) non-external -[CalCalendar hash]
00007ff81b709160 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff81b709065 (__TEXT,__text) non-external -[CalCalendar init]
00007ff81b703260 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff81b70924a (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff81b7040ba (__TEXT,__text) non-external -[CalCalendar notes]
00007ff81b709208 (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff81b709771 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff81b70921e (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff81b7091f2 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff81b7040a4 (__TEXT,__text) non-external -[CalCalendar title]
00007ff81b70411b (__TEXT,__text) non-external -[CalCalendar type]
00007ff81b703276 (__TEXT,__text) non-external -[CalCalendar uid]
00007ff81b70e491 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff81b70d417 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff81b70d50b (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff81b703c4d (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff81b703be3 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff81b70e3f1 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff81b703b8b (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff81b703a16 (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff81b70e45b (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff81b70d3b7 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff81b70e3db (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff81b70d21b (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff81b70d984 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff81b70d3cd (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff81b703bb7 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff81b70d635 (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff81b70d685 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff81b70d7af (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff81b70d367 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff81b70e465 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff81b70d3d5 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff81b70d401 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff81b70e480 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff81b70d3eb (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff81b70e0e9 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff81b703ba1 (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff81b703b75 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff81b70e476 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff81b703bcd (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff81b70903c (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff81b70709f (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff81b7070b3 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff81b7052bb (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff81b702f2b (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff81b7052b0 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff81b705ee0 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff81b709021 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff81b70561e (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff81b70539a (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff81b7072d9 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff81b705a1e (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff81b704fca (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff81b704f8f (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff81b707ab3 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff81b706500 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff81b706dfe (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff81b7073ed (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff81b705efc (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff81b706917 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff81b70902b (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff81b70593f (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff81b70571b (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff81b70af42 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff81b7045b8 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff81b70a234 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff81b703874 (__TEXT,__text) non-external -[CalEvent description]
00007ff81b70a210 (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff81b704477 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff81b70a167 (__TEXT,__text) non-external -[CalEvent init]
00007ff81b7044c7 (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff81b70ad25 (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff81b70a2c5 (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff81b704427 (__TEXT,__text) non-external -[CalEvent location]
00007ff81b70ad6a (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff81b70436e (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff81b70450c (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff81b70a222 (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff81b70af2e (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff81b70acbc (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff81b70aa98 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff81b70aae2 (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff81b70ab4b (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff81b70ac53 (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff81b70a8e4 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff81b70328c (__TEXT,__text) non-external -[CalEvent startDate]
00007ff81b70cc38 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff81b70cb29 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff81b70cbf1 (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff81b70c99b (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff81b70cc1d (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff81b70ca56 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff81b70c909 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff81b70ca6c (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff81b70cc27 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff81b70cc07 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff81b704b49 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff81b704a85 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff81b70499a (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff81b704adb (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff81b704a71 (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff81b704a5c (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff81b70d20b (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff81b70cf89 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff81b70cd04 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff81b70d1f0 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff81b70d1c4 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff81b70ce25 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff81b70d132 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff81b70cfe8 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff81b70d096 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff81b70ce3b (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff81b70d1da (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff81b70d1fa (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff81b70cccb (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff81b70c8f9 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff81b70bf2f (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff81b703546 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff81b70331a (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff81b70490e (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff81b70c8de (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff81b70c8d6 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff81b70ba44 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff81b70afe7 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff81b70b42a (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff81b70b5e4 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff81b70b4ef (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff81b70b0a9 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff81b70b16e (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff81b70af55 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff81b70b71c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff81b70b8df (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff81b70b7e1 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff81b70ba5a (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff81b703785 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff81b70355c (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff81b70379b (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff81b703304 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff81b7032dc (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff81b70c8e8 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff81b70c0bd (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff81b70ed2a (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff81b70e62e (__TEXT,__text) non-external -[CalTask completedDate]
00007ff81b70e9ca (__TEXT,__text) non-external -[CalTask description]
00007ff81b70e6e7 (__TEXT,__text) non-external -[CalTask dueDate]
00007ff81b70e57b (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff81b70e4d2 (__TEXT,__text) non-external -[CalTask init]
00007ff81b70e59f (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff81b70eacb (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff81b70e830 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff81b70e7a0 (__TEXT,__text) non-external -[CalTask priority]
00007ff81b70e67e (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff81b70e737 (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff81b70e58d (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff81b70ed16 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff81b70e5e4 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff81b70e7e4 (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff81b710228 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff81b71023c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff81b710250 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff84281d800 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff84281d808 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff84281d810 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff84281d818 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff84281d690 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff84281d6b0 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff84281d698 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff84281d6a8 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff84281d6b8 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff84281d688 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff84281d6a0 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff84281d758 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff84281d790 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff84281d798 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff84281d7b8 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff84281d7a0 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff84281d7a8 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff84281d7b0 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff84281d7c0 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff84281d7c8 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff84281d718 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff84281d700 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff81b710440 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff84281d740 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff84281d720 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff84281d708 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff84281d730 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff84281d748 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff84281d858 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff84281d728 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff84281d710 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff84281d738 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff84281d750 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff843e5d170 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff843e5d080 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff843e5d120 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff843e5d300 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff843e5d0d0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff843e5d1c0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff843e5d260 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff843e5d030 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
                 (undefined) external _OBJC_CLASS_$_CalRecurrenceDayOfWeek (from CalendarFoundation)
00007ff843e5d2b0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff843e5d210 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff843e5d350 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff843e5cfe0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff843e5cfe8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff843e5cff0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff843e5cfc8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff843e5cfd8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff843e5d018 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff843e5d020 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff843e5cfd0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff843e5cff8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff843e5d008 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff843e5cfc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff843e5d010 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00007ff843e5d000 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00007ff843e5d028 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00007ff843e5d198 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAlarm
