000000020d171b4c (__TEXT,__text) non-external _Done_iODBC
000000020d17018c (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000020d171aa0 (__TEXT,__text) external _SQLFreeEnv
000000020d171a14 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000020d17bb14 (__TEXT,__text) external _SQLFreeHandle
000000020d174a08 (__TEXT,__text) external _SQLFreeStmt
000000020d174800 (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000020d18d07c (__TEXT,__text) non-external _SQLGetConfigMode
000000020d17e438 (__TEXT,__text) external _SQLGetConnectAttr
000000020d17e8e8 (__TEXT,__text) external _SQLGetConnectAttrA
000000020d17ea3c (__TEXT,__text) external _SQLGetConnectAttrW
000000020d17e58c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000020d171050 (__TEXT,__text) external _SQLGetConnectOption
000000020d17117c (__TEXT,__text) external _SQLGetConnectOptionA
000000020d1712a8 (__TEXT,__text) external _SQLGetConnectOptionW
000000020d179af0 (__TEXT,__text) external _SQLGetCursorName
000000020d179c58 (__TEXT,__text) external _SQLGetCursorNameA
000000020d179dc0 (__TEXT,__text) external _SQLGetCursorNameW
000000020d1798fc (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000020d16f6fc (__TEXT,__text) external _SQLGetData
000000020d17edfc (__TEXT,__text) external _SQLGetDescField
000000020d17ef70 (__TEXT,__text) external _SQLGetDescFieldA
000000020d17f0e4 (__TEXT,__text) external _SQLGetDescFieldW
000000020d17eb90 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000020d17fa00 (__TEXT,__text) external _SQLGetDescRec
000000020d17fc34 (__TEXT,__text) external _SQLGetDescRecA
000000020d17fe68 (__TEXT,__text) external _SQLGetDescRecW
000000020d17f808 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000020d173de0 (__TEXT,__text) external _SQLGetDiagField
000000020d173eec (__TEXT,__text) external _SQLGetDiagFieldA
000000020d173ff8 (__TEXT,__text) external _SQLGetDiagFieldW
000000020d172f84 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000020d172c24 (__TEXT,__text) external _SQLGetDiagRec
000000020d172d44 (__TEXT,__text) external _SQLGetDiagRecA
000000020d172e64 (__TEXT,__text) external _SQLGetDiagRecW
000000020d172644 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000020d17c254 (__TEXT,__text) external _SQLGetEnvAttr
000000020d17774c (__TEXT,__text) external _SQLGetFunctions
000000020d177350 (__TEXT,__text) external _SQLGetInfo
000000020d1774a4 (__TEXT,__text) external _SQLGetInfoA
000000020d1775f8 (__TEXT,__text) external _SQLGetInfoW
000000020d176d4c (__TEXT,__text) non-external _SQLGetInfo_Internal
000000020d18fef0 (__TEXT,__text) non-external _SQLGetKeywordValue
000000020d18ff3c (__TEXT,__text) non-external _SQLGetKeywordValueW
000000020d18fa34 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000020d18fc34 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000020d17cacc (__TEXT,__text) external _SQLGetStmtAttr
000000020d17cc44 (__TEXT,__text) external _SQLGetStmtAttrA
000000020d17cdbc (__TEXT,__text) external _SQLGetStmtAttrW
000000020d17c438 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000020d175250 (__TEXT,__text) external _SQLGetStmtOption
000000020d17539c (__TEXT,__text) external _SQLGetStmtOptionA
000000020d175070 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000020d163ce8 (__TEXT,__text) external _SQLGetTypeInfo
000000020d163e28 (__TEXT,__text) external _SQLGetTypeInfoA
000000020d163f68 (__TEXT,__text) external _SQLGetTypeInfoW
000000020d163b28 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000020d16fa74 (__TEXT,__text) external _SQLMoreResults
000000020d16d564 (__TEXT,__text) external _SQLNativeSql
000000020d16d6d0 (__TEXT,__text) external _SQLNativeSqlA
000000020d16d83c (__TEXT,__text) external _SQLNativeSqlW
000000020d16d2f0 (__TEXT,__text) non-external _SQLNativeSql_Internal
000000020d16ec80 (__TEXT,__text) external _SQLNumParams
000000020d17a20c (__TEXT,__text) external _SQLNumResultCols
000000020d16e9f8 (__TEXT,__text) external _SQLParamData
000000020d178e54 (__TEXT,__text) external _SQLParamOptions
000000020d1780c0 (__TEXT,__text) external _SQLPrepare
000000020d178210 (__TEXT,__text) external _SQLPrepareA
000000020d178360 (__TEXT,__text) external _SQLPrepareW
000000020d177eac (__TEXT,__text) non-external _SQLPrepare_Internal
000000020d16788c (__TEXT,__text) external _SQLPrimaryKeys
000000020d167a34 (__TEXT,__text) external _SQLPrimaryKeysA
000000020d167bdc (__TEXT,__text) external _SQLPrimaryKeysW
000000020d16765c (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000020d168018 (__TEXT,__text) external _SQLProcedureColumns
000000020d1681fc (__TEXT,__text) external _SQLProcedureColumnsA
000000020d1683e0 (__TEXT,__text) external _SQLProcedureColumnsW
000000020d167d84 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000020d1687f4 (__TEXT,__text) external _SQLProcedures
000000020d16899c (__TEXT,__text) external _SQLProceduresA
000000020d168b44 (__TEXT,__text) external _SQLProceduresW
000000020d1685c4 (__TEXT,__text) non-external _SQLProcedures_Internal
000000020d16e780 (__TEXT,__text) external _SQLPutData
000000020d18c770 (__TEXT,__text) non-external _SQLReadFileDSN
000000020d18c8f8 (__TEXT,__text) non-external _SQLReadFileDSNW
000000020d179f28 (__TEXT,__text) external _SQLRowCount
000000020d18ff88 (__TEXT,__text) non-external _SQLSetConfigMode
000000020d17de44 (__TEXT,__text) external _SQLSetConnectAttr
000000020d17e1b0 (__TEXT,__text) external _SQLSetConnectAttrA
000000020d17e2f4 (__TEXT,__text) external _SQLSetConnectAttrW
000000020d17df88 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000020d1708dc (__TEXT,__text) external _SQLSetConnectOption
000000020d170a08 (__TEXT,__text) external _SQLSetConnectOptionA
000000020d170b34 (__TEXT,__text) external _SQLSetConnectOptionW
000000020d178664 (__TEXT,__text) external _SQLSetCursorName
000000020d1787b4 (__TEXT,__text) external _SQLSetCursorNameA
000000020d178904 (__TEXT,__text) external _SQLSetCursorNameW
000000020d1784b0 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000020d17f3f4 (__TEXT,__text) external _SQLSetDescField
000000020d17f550 (__TEXT,__text) external _SQLSetDescFieldA
000000020d17f6ac (__TEXT,__text) external _SQLSetDescFieldW
000000020d17f258 (__TEXT,__text) non-external _SQLSetDescField_Internal
000000020d18009c (__TEXT,__text) external _SQLSetDescRec
000000020d17c040 (__TEXT,__text) external _SQLSetEnvAttr
000000020d17c160 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000020d190438 (__TEXT,__text) non-external _SQLSetKeywordValue
000000020d190444 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000020d179568 (__TEXT,__text) external _SQLSetParam
000000020d16fe74 (__TEXT,__text) external _SQLSetPos
000000020d179104 (__TEXT,__text) external _SQLSetScrollOptions
000000020d17da0c (__TEXT,__text) external _SQLSetStmtAttr
000000020d17db74 (__TEXT,__text) external _SQLSetStmtAttrA
000000020d17dcdc (__TEXT,__text) external _SQLSetStmtAttrW
000000020d17cf34 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000020d174b54 (__TEXT,__text) external _SQLSetStmtOption
000000020d174f24 (__TEXT,__text) external _SQLSetStmtOptionA
000000020d174ca0 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000020d164338 (__TEXT,__text) external _SQLSpecialColumns
000000020d164578 (__TEXT,__text) external _SQLSpecialColumnsA
000000020d1647b8 (__TEXT,__text) external _SQLSpecialColumnsW
000000020d1640a8 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000020d164c68 (__TEXT,__text) external _SQLStatistics
000000020d164e4c (__TEXT,__text) external _SQLStatisticsA
000000020d165030 (__TEXT,__text) external _SQLStatisticsW
000000020d1649f8 (__TEXT,__text) non-external _SQLStatistics_Internal
000000020d168f1c (__TEXT,__text) external _SQLTablePrivileges
000000020d1690c4 (__TEXT,__text) external _SQLTablePrivilegesA
000000020d16926c (__TEXT,__text) external _SQLTablePrivilegesW
000000020d168cec (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000020d1654a8 (__TEXT,__text) external _SQLTables
000000020d16568c (__TEXT,__text) external _SQLTablesA
000000020d165870 (__TEXT,__text) external _SQLTablesW
000000020d165214 (__TEXT,__text) non-external _SQLTables_Internal
000000020d1716e0 (__TEXT,__text) external _SQLTransact
000000020d1713d4 (__TEXT,__text) non-external _SQLTransact_Internal
000000020d18d188 (__TEXT,__text) non-external _SQLValidDSN
000000020d18d210 (__TEXT,__text) non-external _SQLValidDSNW
000000020d18c534 (__TEXT,__text) non-external _SQLWriteFileDSN
000000020d18c5f0 (__TEXT,__text) non-external _SQLWriteFileDSNW
000000020d190120 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000020d1902b8 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000020d175f9c (__TEXT,__text) non-external _SectSorter
000000020d18d0d0 (__TEXT,__text) non-external _ValidDSN
000000020d18d130 (__TEXT,__text) non-external _ValidDSNW
000000020d18ffe8 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000020d17bf00 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
000000020d18e364 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000021ba981a0 (__DATA,__common) non-external __iodbc_env_counter
000000020d18cab0 (__TEXT,__text) non-external __iodbcadm_getinifile
000000020d17597c (__TEXT,__text) non-external __iodbcdm_BindColumn
000000020d175a7c (__TEXT,__text) non-external __iodbcdm_ConvBindData
000000020d16f3f4 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000020d1747ac (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
000000020d170c60 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000020d17a0e4 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000020d1749cc (__TEXT,__text) non-external __iodbcdm_RemoveBind
000000020d170324 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000020d169660 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
000000020d16fd10 (__TEXT,__text) non-external __iodbcdm_SetPos
000000020d175a14 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000020d1756f8 (__TEXT,__text) non-external __iodbcdm_alloc_param
000000021ba981a8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000020d175b44 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000020d163c10 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000020d163c84 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000020d18ea28 (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000020d18dcb8 (__TEXT,__text) non-external __iodbcdm_cfg_done
000000020d18e508 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000020d18e194 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000020d18dc0c (__TEXT,__text) non-external __iodbcdm_cfg_init
000000020d177c68 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
000000020d18eca8 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
000000020d18e43c (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000020d177cec (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000020d177b38 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000020d18dcfc (__TEXT,__text) non-external __iodbcdm_cfg_refresh
000000020d18e410 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000020d16c0a8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
000000020d18ecf0 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000020d18e274 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000020d177d64 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000020d18e5fc (__TEXT,__text) non-external __iodbcdm_cfg_write
000000020d18cd04 (__TEXT,__text) non-external __iodbcdm_check_for_string
000000020d16be48 (__TEXT,__text) non-external __iodbcdm_con_settracing
000000020d17579c (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000020d17588c (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000020d16bf6c (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000020d16dd54 (__TEXT,__text) non-external __iodbcdm_dllclose
000000020d16ddc4 (__TEXT,__text) non-external __iodbcdm_dllerror
000000020d16dc9c (__TEXT,__text) non-external __iodbcdm_dllopen
000000020d16dc98 (__TEXT,__text) non-external __iodbcdm_dllproc
000000020d16ddf8 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000020d1698cc (__TEXT,__text) non-external __iodbcdm_driverload
000000020d169f24 (__TEXT,__text) non-external __iodbcdm_driverunload
000000020d1746ac (__TEXT,__text) non-external __iodbcdm_dropstmt
000000020d170860 (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000020d169480 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000020d171b50 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000020d16db4c (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000020d18cddc (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000020d16dc38 (__TEXT,__text) non-external __iodbcdm_getproc
000000021ba98148 (__DATA,__bss) non-external __iodbcdm_initialized
000000020d18ef08 (__TEXT,__text) non-external __iodbcdm_list_entries
000000020d18ee3c (__TEXT,__text) non-external __iodbcdm_list_sections
000000020d17a3b4 (__TEXT,__text) non-external __iodbcdm_map_c_type
000000020d17a348 (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000020d16d9a8 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000020d169414 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000020d190450 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000020d16bc0c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000020d16c2e8 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000020d16954c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000020d16c22c (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
000000020d171b80 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000020d18cd68 (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000020d16ddc8 (__TEXT,__text) non-external __iodbcdm_safe_unload
000000020d171bf8 (__TEXT,__text) non-external __iodbcdm_sqlerror
000000020d18cfe0 (__TEXT,__text) non-external __iodbcdm_strlcat
000000020d18cf84 (__TEXT,__text) non-external __iodbcdm_strlcpy
000000020d1714d4 (__TEXT,__text) non-external __iodbcdm_transact
000000021858bb40 (__DATA_CONST,__const) non-external __mask_CONVERT
000000021858c718 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
000000021858c7c0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
000000021858bc00 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
000000021858bc90 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
000000021858c2c8 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
000000021858c300 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
000000021858c000 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
000000021858c350 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
000000021858c368 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
000000021858c388 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
000000021858c0a8 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
000000021858c3b0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
000000021858c3c8 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
000000021858bb18 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
000000021858bb28 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
000000021858bfd8 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
000000021858c3f8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
000000021858c440 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
000000021858c460 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
000000021858c470 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
000000021858c4c0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
000000021858c4e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
000000021858c558 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
000000021858c568 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
000000021858c590 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
000000021858c5a8 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
000000021858c628 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
000000021858c658 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
000000021858c668 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
000000021858c678 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
000000021858c688 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
000000021858c6a8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
000000021858c6c8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
000000021858c6e8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
000000021858c6f8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
000000021858c640 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
000000021858bc48 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
000000021858c130 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
000000021858c0e8 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
000000021858c110 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
000000021858c850 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
000000021858c868 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
000000021858c928 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
000000021858c148 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
000000021858bff0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
000000021858c168 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
000000021858bcb8 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
000000021858bd80 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
000000021858c948 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
000000021858bd98 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
000000021858bda8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
000000021858c180 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
000000021858c968 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
000000021858c980 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
000000021858c1f0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
000000021858c1c0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
000000021858c9a0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
000000021858bdc0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
000000021858bde8 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
000000021858c9f8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
000000021858ca18 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
000000021858ca40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
000000021858ca68 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
000000021858cad8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
000000021858cb10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
000000021858cb88 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
000000021858cbe0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
000000021858cc60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
000000021858cc88 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
000000021858ccd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
000000021858c9d0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
000000021858ccf8 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
000000021858c210 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
