00007ff80b7b1dfe (__TEXT,__text) non-external _Annihilate
00007ff80b7bc2bc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80b7be866 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80b7bc39d (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80b7bc384 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80b7b7cb8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80b7be82b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80b7be79b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80b7be634 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80b7be722 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80b7bc2f0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80b7bc408 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80b7b7a38 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80b7b7a45 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80b7b2a81 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80b7a3a65 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80b7a5978 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80b7a37e8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80b7a3937 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80b7aa9a4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80b7a6a7b (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80b7a3a3b (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80b7a3740 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80b7aa9b7 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80b7aaa29 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80b7baacc (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80b7c1207 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80b7e3bec (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80b7b1d0a (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80b7b1ec7 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80b7ccd11 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80b7c5397 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80b7c6041 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80b7c46ed (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80b7c50a1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80b7c5d4b (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80b7c43f7 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80b7c55a9 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80b7c6253 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80b7c48ff (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80b7c5426 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80b7c60d0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80b7c477c (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80b7b7b0a (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80b7b2a6d (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80b7f23ae (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80b7cccad (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80b7b1bb1 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80b7c7187 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80b7e592d (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80b7f3eed (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80b7c1cbb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80b7d22f4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80b7d2848 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80b7d1da0 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80b819370 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80b7b7b6d (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80b7c19c5 (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80b7b1ed4 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80b7b2abc (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80b7cdfb1 (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80b84d538 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80b84d532 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80b84d520 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80b7ce9ec (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80b7d0fc1 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80b7b1690 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b7effc2 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80b7d05f6 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80b7d13bd (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80b7ccd1e (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80b7b7b1e (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80b7b1d4e (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80b7c2003 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80b7c74db (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80b7c71aa (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80b7cf72b (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80b7b197d (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80b7d0929 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80b7b1745 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80b7d0861 (__TEXT,__text) non-external _BuildHistograms
00007ff80b7f9380 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80b7f9480 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80b7aaa34 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80b7b1c42 (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80b7f2c59 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80b7c9025 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80b7f48c4 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80b7ba448 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80b7d58c4 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80b7d69ca (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80b7e00a7 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80b7d7693 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80b7db37a (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80b7dc7af (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80b7ddc79 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80b7d8960 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80b7df293 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80b7e10f5 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80b7d9e4f (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80b7e2215 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80b7f9270 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80b7bc8c4 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80b7ba5d0 (__TEXT,__text) non-external _DecodeContextMap
00007ff80b7bd3fe (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80b7bce5e (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80b7b9178 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80b7b977a (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80b7b1610 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80b7cfc43 (__TEXT,__text) non-external _EncodeContextMap
00007ff80b7a6bb0 (__TEXT,__text) non-external _EncodeData
00007ff80b7c8e34 (__TEXT,__text) non-external _EvaluateNode
00007ff80b8193f0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b856a50 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b86f500 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80b7aadb7 (__TEXT,__text) non-external _GetBrotliStorage
00007ff80b7aae25 (__TEXT,__text) non-external _GetHashTable
00007ff80b7f9170 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80b86f9b0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80b7f90f0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80b7c83da (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80b7a6a99 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80b7bc4af (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80b7c3722 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80b7c36d8 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80b7c3603 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80b7aad53 (__TEXT,__text) non-external _PrepareH54
00007ff80b7aacec (__TEXT,__text) non-external _PrepareH6
00007ff80b7bab70 (__TEXT,__text) non-external _ProcessCommands
00007ff80b7b9951 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80b7bc565 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80b7bd08f (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80b7bcaa9 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80b7bc413 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80b7bb690 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80b7b9020 (__TEXT,__text) non-external _SaveErrorCode
00007ff80b7ca59e (__TEXT,__text) non-external _SetCost
00007ff80b7ccf39 (__TEXT,__text) non-external _Shift
00007ff80b7aaa7a (__TEXT,__text) non-external _ShouldCompress
00007ff80b7f9280 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80b7b1d89 (__TEXT,__text) non-external _SortPointers
00007ff80b7f9840 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80b84e2b0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80b84e0b0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80b7cf5e2 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80b7d0cf6 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80b7d026e (__TEXT,__text) non-external _StoreSymbol
00007ff80b7d0425 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80b7cfa10 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80b7d1547 (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80b7c858e (__TEXT,__text) non-external _UpdateNodes
00007ff80b7bc288 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80b7b9034 (__TEXT,__text) non-external _WriteRingBuffer
00007ff80b7c844c (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff8422e2178 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b7bfa1b (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80b855400 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80b84d890 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80b7f9590 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80b855600 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80b7f20e8 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80b79b983 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80b7999a0 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80b7f1fbe (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80b7f2318 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80b799854 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80b7be8d4 (__TEXT,__text) non-external (was a private external) _adler32_combine
00007ff80b7be9bf (__TEXT,__text) non-external (was a private external) _adler32_combine64
00007ff80b7be8de (__TEXT,__text) non-external _adler32_combine_
00007ff80b7a3230 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80b79985e (__TEXT,__text) non-external (was a private external) _adler32_z
00007ff80b855df0 (__TEXT,__const) non-external _base_dist
00007ff80b855d70 (__TEXT,__const) non-external _base_length
00007ff80b7f2296 (__TEXT,__text) non-external _bi_flush
00007ff80b79d3c8 (__TEXT,__text) non-external _bi_windup
00007ff80b855d50 (__TEXT,__const) non-external _bl_order
00007ff80b84d600 (__TEXT,__const) non-external _breverse.brev8
00007ff80b7f05c5 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80b7f05fa (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80b7f0636 (__TEXT,__text) non-external (was a private external) _brotli_stream_decode
00007ff80b7f0675 (__TEXT,__text) non-external (was a private external) _brotli_stream_encode
00007ff80b7f07d5 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80b7f06f8 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80b7f06d9 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80b79c3a5 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80b79cfbd (__TEXT,__text) non-external _compress_block
00007ff80b79f21c (__TEXT,__text) external _compression_decode_buffer
00007ff80b79f13e (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80b7e5c36 (__TEXT,__text) external _compression_encode_buffer
00007ff80b7e5b2f (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80b79d582 (__TEXT,__text) external _compression_stream_destroy
00007ff80b7c1115 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80b7c10bf (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80b7c1077 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80b7c0ff5 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80b799280 (__TEXT,__text) external _compression_stream_init
00007ff80b7c0faf (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80b7c116b (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80b799f42 (__TEXT,__text) external _compression_stream_process
00007ff80b79f88f (__TEXT,__text) external _compression_stream_reinit
00007ff8422e29f0 (__DATA,__const) non-external _configuration_table
00007ff80b7d3e5a (__TEXT,__text) external _cosmix_codec_decode
00007ff80b7d3494 (__TEXT,__text) external _cosmix_codec_encode
00007ff80b7d3d73 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80b7d4962 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80b7d47d7 (__TEXT,__text) external _cosmix_codec_map
00007ff80b7d491a (__TEXT,__text) external _cosmix_codec_unmap
00007ff80b7d43ff (__TEXT,__text) external _cosmix_model_create
00007ff80b7d4539 (__TEXT,__text) external _cosmix_model_destroy
00007ff80b7d4562 (__TEXT,__text) external _cosmix_model_save_codec
00007ff80b7d2d9c (__TEXT,__text) external _cosmix_model_update
00007ff80b7f0084 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80b7f033f (__TEXT,__text) non-external (was a private external) _crc32_combine
00007ff80b7f0568 (__TEXT,__text) non-external (was a private external) _crc32_combine64
00007ff80b7f0349 (__TEXT,__text) non-external _crc32_combine_
00007ff80b84e310 (__TEXT,__const) non-external _crc_table
00007ff80b7b7a52 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80b7f8a9a (__TEXT,__text) non-external (was a private external) _debug_verify_offsets
00007ff80b79a13b (__TEXT,__text) non-external (was a private external) _deflate
00007ff80b7f8221 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80b7f8329 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80b79d497 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80b799448 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80b7f7f47 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80b7f80fa (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80b7f80c5 (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80b799704 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80b7f7f71 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80b7f80a0 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80b7f81ed (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80b856ca0 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80b7f86d7 (__TEXT,__text) non-external _deflate_fast
00007ff80b79b06a (__TEXT,__text) non-external _deflate_slow
00007ff80b7f8519 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80b7cda12 (__TEXT,__text) non-external _emitMatch
00007ff80b855d00 (__TEXT,__const) non-external _extra_blbits
00007ff80b855c80 (__TEXT,__const) non-external _extra_dbits
00007ff80b855c00 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80b79b55b (__TEXT,__text) non-external _fill_window
00007ff80b79d438 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80b856950 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80b855ed0 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80b856010 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80b7f0077 (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80b7c7145 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80b7be9c9 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80b7be9e1 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80b7be9f5 (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80b7c7111 (__TEXT,__text) non-external (was a private external) _get_real_time
                 (undefined) external _gettimeofday (from libSystem)
00007ff80b7c3940 (__TEXT,__text) non-external _header_fetch_from_payload
00007ff80b7f1f36 (__TEXT,__text) non-external _init_quantization_lut
00007ff80b7b7aec (__TEXT,__text) non-external (was a private external) _join_thread
00007ff80b817860 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
00007ff80b7f8f90 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00007ff80b7f8ff0 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00007ff8422e1fb0 (__DATA,__const) non-external _kBrotliDictionary
00007ff80b7f9860 (__TEXT,__const) non-external _kBrotliDictionaryData
00007ff80b7f8ed0 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00007ff80b7f8f30 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00007ff80b856cf0 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
00007ff80b819340 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00007ff8422e29a0 (__DATA,__const) non-external _kBrotliTransforms
00007ff80b7f9640 (__TEXT,__const) non-external _kCmdHistoSeed
00007ff80b817980 (__TEXT,__const) non-external _kCmdLut
00007ff80b84aad0 (__TEXT,__const) non-external _kCodeLengthBits
00007ff80b817940 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00007ff80b84aab0 (__TEXT,__const) non-external _kCodeLengthDepth
00007ff80b817960 (__TEXT,__const) non-external _kCodeLengthPrefixLength
00007ff80b817970 (__TEXT,__const) non-external _kCodeLengthPrefixValue
00007ff80b8191f0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
00007ff80b8191b0 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00007ff80b819690 (__TEXT,__const) non-external _kDistanceCacheIndex
00007ff80b8196d0 (__TEXT,__const) non-external _kDistanceCacheOffset
00007ff80b8190f0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
00007ff80b8190d0 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
00007ff80b819160 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
00007ff80b819140 (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00007ff80b84b620 (__TEXT,__const) non-external _kNonZeroRepsBits
00007ff80b84ab20 (__TEXT,__const) non-external _kNonZeroRepsDepth
00007ff80b8486e0 (__TEXT,__const) non-external _kPrefixSuffix
00007ff80b8487c0 (__TEXT,__const) non-external _kPrefixSuffixMap
00007ff80b7f8dd0 (__TEXT,__const) non-external _kReverseBits
00007ff80b84cee0 (__TEXT,__const) non-external _kStaticCommandCodeBits
00007ff80b84cc20 (__TEXT,__const) non-external _kStaticCommandCodeDepth
00007ff80b819770 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00007ff80b867500 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00007ff80b857500 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
00007ff80b829770 (__TEXT,__const) non-external _kStaticDictionaryWords
