                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff814b3329e (__TEXT,__text) non-external _alone_decode
00007ff814b2b994 (__TEXT,__text) non-external _length_encoder_reset
00007ff814b2ba57 (__TEXT,__text) non-external _length_update_prices
00007ff814b38564 (__TEXT,__text) non-external _lz_decode
00007ff814b38702 (__TEXT,__text) non-external _lz_decoder_end
00007ff814b2cc42 (__TEXT,__text) non-external _lz_encode
00007ff814b30dd3 (__TEXT,__text) non-external _lz_encoder_end
00007ff814b2bc27 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff814b3672c (__TEXT,__text) non-external _lz_encoder_set_out_limit
00007ff814b366d1 (__TEXT,__text) non-external _lz_encoder_update
00007ff814b36172 (__TEXT,__text) non-external _lzip_decode
00007ff814b365a8 (__TEXT,__text) non-external _lzip_decoder_end
00007ff814b365d0 (__TEXT,__text) non-external _lzip_decoder_get_check
00007ff814b365db (__TEXT,__text) non-external _lzip_decoder_memconfig
00007ff814b460e0 (__TEXT,__const) non-external _lzma12_mf_map
00007ff814b460b0 (__TEXT,__const) non-external _lzma12_mode_map
00007ff8417ee130 (__DATA_CONST,__const) non-external _lzma12_optmap
00007ff814b3d8fc (__TEXT,__text) non-external _lzma2_decode
00007ff814b3dc0c (__TEXT,__text) non-external _lzma2_decoder_end
00007ff814b3d7d5 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff814b2ce4f (__TEXT,__text) non-external _lzma2_encode
00007ff814b30e38 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff814b2b4ad (__TEXT,__text) non-external _lzma2_encoder_init
00007ff814b3d61d (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff814b41f08 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff814b41ee0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff814b2a7f0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff814b30fd6 (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00007ff814b335a5 (__TEXT,__text) external _lzma_alone_decoder
00007ff814b331b4 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff814b31c69 (__TEXT,__text) external _lzma_alone_encoder
00007ff814b33604 (__TEXT,__text) external _lzma_auto_decoder
00007ff814b31f67 (__TEXT,__text) external _lzma_block_buffer_bound
00007ff814b31f23 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
00007ff814b33908 (__TEXT,__text) external _lzma_block_buffer_decode
00007ff814b31fab (__TEXT,__text) external _lzma_block_buffer_encode
00007ff814b3117c (__TEXT,__text) external _lzma_block_compressed_size
00007ff814b33e91 (__TEXT,__text) external _lzma_block_decoder
00007ff814b33a4d (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff814b3257c (__TEXT,__text) external _lzma_block_encoder
00007ff814b2ae56 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff814b33eeb (__TEXT,__text) external _lzma_block_header_decode
00007ff814b2c671 (__TEXT,__text) external _lzma_block_header_encode
00007ff814b2acae (__TEXT,__text) external _lzma_block_header_size
00007ff814b311d9 (__TEXT,__text) external _lzma_block_total_size
00007ff814b3225c (__TEXT,__text) external _lzma_block_uncomp_encode
00007ff814b2c793 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff814b2c610 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff814b35f37 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff814b2afc1 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff814b2afa3 (__TEXT,__text) external _lzma_check_is_supported
00007ff814b42080 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff814b3021c (__TEXT,__text) external _lzma_check_size
00007ff814b42090 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff814b2db38 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff814b2c060 (__TEXT,__text) external _lzma_code
00007ff814b32bd5 (__TEXT,__text) external _lzma_cputhreads
00007ff814b2a9f4 (__TEXT,__text) external _lzma_crc32
00007ff814b420a0 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff814b35f64 (__TEXT,__text) external _lzma_crc64
00007ff814b440a0 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff814b39bfe (__TEXT,__text) non-external _lzma_decode
00007ff814b481d0 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff814b3d3d6 (__TEXT,__text) non-external _lzma_decoder_init
00007ff814b3d11c (__TEXT,__text) non-external _lzma_decoder_reset
00007ff814b3d3b2 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff814b3f6fb (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff814b3f84d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff814b3f9f6 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff814b3f87d (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff814b3fa80 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff814b3f9c8 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff814b325d8 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff814b340c1 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff814b2a528 (__TEXT,__text) external _lzma_easy_encoder
00007ff814b3264b (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff814b2a56f (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff814b41e0f (__TEXT,__text) non-external _lzma_encode
00007ff814b3887b (__TEXT,__text) non-external _lzma_encoder_init
00007ff814b30d08 (__TEXT,__text) external _lzma_end
00007ff814b461d0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff814b39120 (__TEXT,__text) external _lzma_file_info_decoder
00007ff814b39192 (__TEXT,__text) non-external _lzma_file_info_decoder_init
00007ff814b3426b (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff814b329d9 (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff814b343a7 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff814b2c819 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff814b2ad98 (__TEXT,__text) external _lzma_filter_flags_size
00007ff814b2be80 (__TEXT,__text) external _lzma_filters_copy
00007ff814b311f4 (__TEXT,__text) external _lzma_filters_free
00007ff814b32a05 (__TEXT,__text) external _lzma_filters_update
00007ff814b42046 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff814b2be58 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff814b31090 (__TEXT,__text) external _lzma_get_check
00007ff814b31069 (__TEXT,__text) external _lzma_get_progress
00007ff814b42040 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff814b30239 (__TEXT,__text) external _lzma_index_append
00007ff814b30830 (__TEXT,__text) external _lzma_index_block_count
00007ff814b348f0 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff814b32c3c (__TEXT,__text) external _lzma_index_buffer_encode
00007ff814b3161a (__TEXT,__text) external _lzma_index_cat
00007ff814b3153c (__TEXT,__text) external _lzma_index_checks
00007ff814b34891 (__TEXT,__text) external _lzma_index_decoder
00007ff814b3443c (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
00007ff814b318ab (__TEXT,__text) external _lzma_index_dup
00007ff814b32be2 (__TEXT,__text) external _lzma_index_encoder
00007ff814b304e4 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff814b2a826 (__TEXT,__text) external _lzma_index_end
00007ff814b314ba (__TEXT,__text) external _lzma_index_file_size
00007ff814b34ab6 (__TEXT,__text) external _lzma_index_hash_append
00007ff814b34c10 (__TEXT,__text) external _lzma_index_hash_decode
00007ff814b34a82 (__TEXT,__text) external _lzma_index_hash_end
00007ff814b34a08 (__TEXT,__text) external _lzma_index_hash_init
00007ff814b34a8c (__TEXT,__text) external _lzma_index_hash_size
00007ff814b2a85f (__TEXT,__text) external _lzma_index_init
00007ff814b3058d (__TEXT,__text) external _lzma_index_iter_init
00007ff814b31b20 (__TEXT,__text) external _lzma_index_iter_locate
00007ff814b3083a (__TEXT,__text) external _lzma_index_iter_next
00007ff814b31b09 (__TEXT,__text) external _lzma_index_iter_rewind
00007ff814b313ae (__TEXT,__text) external _lzma_index_memusage
00007ff814b31412 (__TEXT,__text) external _lzma_index_memused
00007ff814b30c35 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff814b31393 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff814b30c58 (__TEXT,__text) external _lzma_index_size
00007ff814b31473 (__TEXT,__text) external _lzma_index_stream_count
00007ff814b31555 (__TEXT,__text) external _lzma_index_stream_flags
00007ff814b315b3 (__TEXT,__text) external _lzma_index_stream_padding
00007ff814b31486 (__TEXT,__text) external _lzma_index_stream_size
00007ff814b3147c (__TEXT,__text) external _lzma_index_total_size
00007ff814b31532 (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff814b383b2 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff814b3874b (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff814b2b269 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff814b36666 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff814b36607 (__TEXT,__text) external _lzma_lzip_decoder
00007ff814b36050 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
00007ff814b3d600 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
00007ff814b3d7c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff814b3d880 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff814b2b258 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff814b3d5e5 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff814b3d891 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff814b2c9ab (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff814b39b88 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff814b3d3c5 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff814b3d4ee (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff814b3d4db (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff814b2d204 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff814b2b5d8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff814b3886a (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff814b3889b (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff814b2b748 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff814b3d490 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff814b301d7 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff814b38d8c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff814b2e04c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff814b2a5a6 (__TEXT,__text) external _lzma_lzma_preset
00007ff814b461ca (__TEXT,__const) non-external _lzma_lzma_preset.depths
00007ff814b461c0 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
00007ff814b3d530 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff814b38920 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff814b38988 (__TEXT,__text) non-external _lzma_lzma_set_out_limit
00007ff814b310f2 (__TEXT,__text) external _lzma_memlimit_get
00007ff814b31139 (__TEXT,__text) external _lzma_memlimit_set
00007ff814b310ab (__TEXT,__text) external _lzma_memusage
00007ff814b36d03 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff814b36d97 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff814b36e19 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff814b36f91 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff814b2fa12 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff814b2dbf4 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff814b2f975 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff814b3676e (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff814b369bd (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff814b36a50 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff814b36c51 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff814b36750 (__TEXT,__text) external _lzma_mf_is_supported
00007ff814b35135 (__TEXT,__text) external _lzma_microlzma_decoder
00007ff814b32684 (__TEXT,__text) external _lzma_microlzma_encoder
00007ff814b38975 (__TEXT,__text) external _lzma_mode_is_supported
00007ff814b32b3e (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
00007ff814b2a77f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff814b2b1f9 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff814b31038 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff814b389e1 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
00007ff814b38a28 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
00007ff814b38d58 (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
00007ff814b38b93 (__TEXT,__text) non-external (was a private external) _lzma_outq_end
00007ff814b38c45 (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
00007ff814b38ab3 (__TEXT,__text) non-external (was a private external) _lzma_outq_init
00007ff814b38c9f (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
00007ff814b389b0 (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
00007ff814b38bc6 (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
00007ff814b38cbf (__TEXT,__text) non-external (was a private external) _lzma_outq_read
00007ff814b31389 (__TEXT,__text) external _lzma_physmem
00007ff814b34352 (__TEXT,__text) external _lzma_properties_decode
00007ff814b2c96a (__TEXT,__text) external _lzma_properties_encode
00007ff814b2adeb (__TEXT,__text) external _lzma_properties_size
00007ff814b340fa (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff814b328d8 (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff814b2b008 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff814b312f8 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff814b342d7 (__TEXT,__text) external _lzma_raw_decoder
00007ff814b342c3 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff814b3433e (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff814b32ad5 (__TEXT,__text) external _lzma_raw_encoder
00007ff814b2aff1 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff814b32ac1 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff814b48210 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff814b3d6b5 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
00007ff814b3d692 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
00007ff814b40587 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff814b40564 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff814b4064a (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff814b40627 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff814b3fac7 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff814b403d2 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff814b403af (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff814b402cf (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff814b402ac (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff814b40053 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff814b4003e (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff814b40024 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff814b41d11 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff814b41cee (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff814b4010e (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff814b400b6 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff814b375cf (__TEXT,__text) external _lzma_str_from_filters
00007ff814b37a7d (__TEXT,__text) external _lzma_str_list_filters
00007ff814b370b1 (__TEXT,__text) external _lzma_str_to_filters
00007ff814b32d03 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff814b34f98 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff814b32d2c (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff814b35c7c (__TEXT,__text) external _lzma_stream_decoder
00007ff814b35508 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff814b3dc34 (__TEXT,__text) external _lzma_stream_decoder_mt
00007ff814b2a698 (__TEXT,__text) external _lzma_stream_encoder
00007ff814b4073c (__TEXT,__text) external _lzma_stream_encoder_mt
00007ff814b40ade (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
00007ff814b31bdc (__TEXT,__text) external _lzma_stream_flags_compare
00007ff814b35d61 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff814b30c82 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff814b35cdb (__TEXT,__text) external _lzma_stream_header_decode
00007ff814b2a995 (__TEXT,__text) external _lzma_stream_header_encode
00007ff814b2a6fb (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff814b31250 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
00007ff814b30fbc (__TEXT,__text) external _lzma_version_number
00007ff814b30fc7 (__TEXT,__text) external _lzma_version_string
00007ff814b35dda (__TEXT,__text) external _lzma_vli_decode
00007ff814b2c8ba (__TEXT,__text) external _lzma_vli_encode
00007ff814b2ae37 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
00007ff814b2fe79 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff814b35283 (__TEXT,__text) non-external _microlzma_decode
00007ff814b354e5 (__TEXT,__text) non-external _microlzma_decoder_end
00007ff814b351b2 (__TEXT,__text) non-external _microlzma_decoder_init
00007ff814b327fb (__TEXT,__text) non-external _microlzma_encode
00007ff814b328b7 (__TEXT,__text) non-external _microlzma_encoder_end
00007ff814b326da (__TEXT,__text) non-external _microlzma_encoder_init
00007ff814b38b31 (__TEXT,__text) non-external _move_head_to_cache
00007ff814b2de0a (__TEXT,__text) non-external _move_pos
00007ff814b37051 (__TEXT,__text) non-external _normalize
00007ff814b3800c (__TEXT,__text) non-external _parse_bcj
00007ff814b38023 (__TEXT,__text) non-external _parse_delta
00007ff814b37fab (__TEXT,__text) non-external _parse_lzma12
00007ff814b38047 (__TEXT,__text) non-external _parse_options
00007ff814b402f2 (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
00007ff814b2de38 (__TEXT,__text) non-external _rc_encode
00007ff814b3efd4 (__TEXT,__text) non-external _read_output_and_wait
00007ff814b39b09 (__TEXT,__text) non-external _reverse_seek
00007ff814b3fc38 (__TEXT,__text) non-external _simple_code
00007ff814b3ff5f (__TEXT,__text) non-external _simple_coder_end
00007ff814b3ff8c (__TEXT,__text) non-external _simple_coder_update
00007ff814b41d34 (__TEXT,__text) non-external _sparc_code
00007ff814b37a34 (__TEXT,__text) non-external _str_append_str
00007ff814b37ed8 (__TEXT,__text) non-external _str_append_u32
00007ff814b46180 (__TEXT,__const) non-external _str_append_u32.suffixes
00007ff814b35685 (__TEXT,__text) non-external _stream_decode
00007ff814b3df74 (__TEXT,__text) non-external _stream_decode_mt
00007ff814b35c04 (__TEXT,__text) non-external _stream_decoder_end
00007ff814b35c38 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff814b35c44 (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff814b3ecdc (__TEXT,__text) non-external _stream_decoder_mt_end
00007ff814b3ed36 (__TEXT,__text) non-external _stream_decoder_mt_get_check
00007ff814b3edd6 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
00007ff814b3dc8e (__TEXT,__text) non-external _stream_decoder_mt_init
00007ff814b3ed42 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
00007ff814b2c316 (__TEXT,__text) non-external _stream_encode
00007ff814b42050 (__TEXT,__const) non-external _stream_encode.convert
00007ff814b40c50 (__TEXT,__text) non-external _stream_encode_mt
00007ff814b30d60 (__TEXT,__text) non-external _stream_encoder_end
00007ff814b3300a (__TEXT,__text) non-external _stream_encoder_init
00007ff814b414bc (__TEXT,__text) non-external _stream_encoder_mt_end
00007ff814b4079c (__TEXT,__text) non-external _stream_encoder_mt_init
00007ff814b415f0 (__TEXT,__text) non-external _stream_encoder_mt_update
00007ff814b2ab32 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
00007ff814b3ee8c (__TEXT,__text) non-external _threads_end
00007ff814b416c8 (__TEXT,__text) non-external _threads_end
00007ff814b3ef6b (__TEXT,__text) non-external _threads_stop
00007ff814b4178d (__TEXT,__text) non-external _threads_stop
00007ff814b30f2e (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
00007ff814b30eee (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff814b3f47c (__TEXT,__text) non-external _worker_decoder
00007ff814b3f441 (__TEXT,__text) non-external _worker_enable_partial_update
00007ff814b41c96 (__TEXT,__text) non-external _worker_error
00007ff814b41894 (__TEXT,__text) non-external _worker_start
