00007ff90e98dd66 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90e990c64 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff90e986e77 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff90e990afa (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff90e990b64 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff90e98cd95 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff90e991325 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff90e99137f (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff90e980066 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90e980180 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff90e97e78c (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff90e978949 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff90e98eca8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff90e978335 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:]
00007ff90e98eb1c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.1
00007ff90e98ebb5 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.2
00007ff90e98ec4e (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.3
00007ff90e977e2c (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff90e98eb04 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00007ff90e978186 (__TEXT,__text) non-external +[SPFilePolicy getAllowedUrls]
00007ff90e9862b7 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff90e980824 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff90e97657a (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff90e97fc67 (__TEXT,__text) non-external +[SPLog downloads]
00007ff90e99025e (__TEXT,__text) non-external +[SPLog downloads].cold.1
00007ff90e97fae3 (__TEXT,__text) non-external +[SPLog exec]
00007ff90e9901fe (__TEXT,__text) non-external +[SPLog exec].cold.1
00007ff90e97fe14 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff90e97fa21 (__TEXT,__text) non-external +[SPLog generic]
00007ff90e9901ce (__TEXT,__text) non-external +[SPLog generic].cold.1
00007ff90e97fa82 (__TEXT,__text) non-external +[SPLog kext]
00007ff90e9901e6 (__TEXT,__text) non-external +[SPLog kext].cold.1
00007ff90e97fb44 (__TEXT,__text) non-external +[SPLog measurements]
00007ff90e990216 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00007ff90e97fc06 (__TEXT,__text) non-external +[SPLog sampling]
00007ff90e990246 (__TEXT,__text) non-external +[SPLog sampling].cold.1
00007ff90e97fe08 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff90e97fba5 (__TEXT,__text) non-external +[SPLog signposts]
00007ff90e99022e (__TEXT,__text) non-external +[SPLog signposts].cold.1
00007ff90e97fcc8 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff90e990276 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00007ff90e989788 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff90e988fb0 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff90e988117 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff90e990f91 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff90e987f53 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff90e987f35 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff90e98859b (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff90e9880d4 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff90e987f71 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff90e98c4ee (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff90e975c88 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00007ff90e977d2b (__TEXT,__text) non-external +[SPScriptScanEvaluation supportsSecureCoding]
00007ff90e97777a (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff90e9776a0 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff90e977560 (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff90e9773a5 (__TEXT,__text) non-external -[AKELData init]
00007ff90e977741 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff90e977667 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff90e97714b (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff90e977651 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff90e98e1c7 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff90e98e13f (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff90e98e1ed (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff90e98e1d9 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff90e98e191 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff90e98e1e3 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff90e97e058 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff90e97d754 (__TEXT,__text) non-external -[BundleData dealloc]
00007ff90e98fddd (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff90e97dc66 (__TEXT,__text) non-external -[BundleData doReload]
00007ff90e97e014 (__TEXT,__text) non-external -[BundleData forceReload]
00007ff90e97d7ef (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff90e97d746 (__TEXT,__text) non-external -[BundleData init]
00007ff90e97e030 (__TEXT,__text) non-external -[BundleData isSigned]
00007ff90e97dca2 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff90e97dfb2 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff90e97d95b (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff90e98fe3b (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff90e98fe6f (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff90e97e04e (__TEXT,__text) non-external -[BundleData timestamp]
00007ff90e97e026 (__TEXT,__text) non-external -[BundleData url]
00007ff90e97e044 (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff90e97e03a (__TEXT,__text) non-external -[BundleData version]
00007ff90e98db2b (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff90e98dae6 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff90e98da52 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff90e98daf9 (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff90e98d9a1 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff90e98daf0 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff90e98db03 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff90e98cf70 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff90e978fc5 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff90e978f4d (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff90e978f1b (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff90e978eb7 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff90e978ee9 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff90e978f93 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff90e978f57 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff90e978f25 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff90e978ec1 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff90e978ef3 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff90e978f9d (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff90e978f89 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff90e978f7f (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff90e98c3c1 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff90e98bdf3 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00007ff90e98c21c (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff90e98b006 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff90e98b0b9 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff90e98b47f (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff90e98b540 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff90e98b393 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff90e98c24e (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff90e98b7c7 (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00007ff90e98c07a (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00007ff90e9912c9 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00007ff90e98a62c (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff90e98bac2 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff90e98b301 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff90e98c230 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff90e98bd6c (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00007ff90e98bd0c (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00007ff90e98b1bf (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff90e98a695 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff90e99101f (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff90e9910a8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff90e991123 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff90e991156 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff90e991189 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff90e991204 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff90e98a61e (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff90e98c261 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff90e98c10a (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00007ff90e98c26e (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00007ff90e98c2c6 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff90e98c332 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00007ff90e98b8d6 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff90e98c2a0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff90e98b782 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff90e98c2ad (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff90e98b84d (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff90e98af5f (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff90e98c244 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff90e98c328 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff90e98c226 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff90e98c1fe (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff90e98c212 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff90e98c304 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff90e98b892 (__TEXT,__text) non-external -[PolicyScanTarget quarantineFlags]
00007ff90e98b9aa (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff90e98bb52 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff90e98c2f7 (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00007ff90e98c258 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff90e98c31c (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00007ff90e98c2eb (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00007ff90e98c2df (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00007ff90e98c27b (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00007ff90e98c2d3 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff90e98c33f (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00007ff90e98c2ba (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff90e98c310 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff90e98c358 (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00007ff90e98c294 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff90e98c393 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00007ff90e98b6c1 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff90e98b2c4 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff90e98b1ec (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff90e98b600 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff90e98bb8e (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00007ff90e98c34b (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00007ff90e98c287 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff90e98c1f4 (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff90e98c386 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00007ff90e98c23a (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff90e98c208 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff90e975868 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00007ff90e9752e1 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00007ff90e975836 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00007ff90e975804 (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00007ff90e975552 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00007ff90e975473 (__TEXT,__text) non-external -[ProvenanceEntry description]
00007ff90e97570a (__TEXT,__text) non-external -[ProvenanceEntry flags]
00007ff90e97536a (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00007ff90e97573c (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00007ff90e975840 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00007ff90e97580e (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00007ff90e975714 (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00007ff90e975746 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00007ff90e9757dc (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00007ff90e9757aa (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00007ff90e9756e2 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00007ff90e975778 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00007ff90e9757d2 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00007ff90e9757a0 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00007ff90e9756d8 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00007ff90e97576e (__TEXT,__text) non-external -[ProvenanceEntry url]
00007ff90e98e117 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00007ff90e98e002 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00007ff90e98df31 (__TEXT,__text) non-external -[SPBundleProtection init]
00007ff90e98e044 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00007ff90e9791ba (__TEXT,__text) non-external -[SPCodeEvaluationProxy .cxx_destruct]
00007ff90e9790df (__TEXT,__text) non-external -[SPCodeEvaluationProxy dealloc]
00007ff90e97900e (__TEXT,__text) non-external -[SPCodeEvaluationProxy init]
00007ff90e979121 (__TEXT,__text) non-external -[SPCodeEvaluationProxy showXProtectBlockedPrompt:forUser:error:]
00007ff90e98e9d0 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff90e98e960 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff90e98e836 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff90e98e765 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff90e98e878 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff90e98e936 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff90e98e9bd (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff90e98e9b2 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff90e98e8a4 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff90e98e9c5 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff90e9805cd (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff90e9805a5 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff90e9805b9 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff90e980395 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff90e98057d (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff90e98018b (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff90e97fe64 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90e97fe56 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff90e9805c3 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff90e980587 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff90e9805af (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff90e980591 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff90e98059b (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff90e98418d (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff90e982e27 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff90e982d40 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperOverrideForPersistentIdentifier:error:]
00007ff90e982c59 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff90e9838c3 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00007ff90e982bf4 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff90e982937 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff90e9826bd (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff90e982847 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff90e983002 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff90e983496 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00007ff90e98377d (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00007ff90e983292 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff90e982618 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff90e9830e9 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff90e983581 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00007ff90e983808 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00007ff90e982be7 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff90e9835db (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00007ff90e982707 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff90e9826ff (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff90e982f0e (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff90e98397e (__TEXT,__text) non-external -[SPExecutionPolicy setDownloadURL:andDataURL:forURL:]
00007ff90e983567 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00007ff90e98334d (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00007ff90e9836c2 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00007ff90e98271d (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff90e9831d0 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff90e97f6ae (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff90e97ecba (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff90e98fecc (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff90e98ff53 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff90e98ffda (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff90e990073 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff90e99010c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff90e990166 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff90e99019a (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff90e97f9fb (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff90e97f7a2 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00007ff90e98260a (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00007ff90e98259e (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
00007ff90e98253a (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject initWithParent:]
00007ff90e9825e3 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject parent]
00007ff90e9825f9 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject setParent:]
00007ff90e97ec71 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
