000000019306a708 (__TEXT,__text) non-external +[CalAlarm alarm]
000000019306c00c (__TEXT,__text) non-external -[CalAttendee ekParticipant]
000000019306bcf4 (__TEXT,__text) non-external -[CalAttendee hash]
000000019306bc54 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
000000019306bcfc (__TEXT,__text) non-external -[CalAttendee isEqual:]
000000019306c014 (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
000000019306ba74 (__TEXT,__text) non-external -[CalAttendee status]
000000019306f8a4 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
000000019306b3c0 (__TEXT,__text) non-external -[CalCalendar color]
000000019306f834 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
000000019306b238 (__TEXT,__text) non-external -[CalCalendar description]
000000019306f890 (__TEXT,__text) non-external -[CalCalendar ekCalendar]
000000019306f424 (__TEXT,__text) non-external -[CalCalendar hash]
000000019306f384 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
000000019306f2a4 (__TEXT,__text) non-external -[CalCalendar init]
0000000193069a10 (__TEXT,__text) non-external -[CalCalendar isEditable]
000000019306f42c (__TEXT,__text) non-external -[CalCalendar isEqual:]
000000019306b368 (__TEXT,__text) non-external -[CalCalendar notes]
0000000193069a08 (__TEXT,__text) non-external -[CalCalendar setColor:]
000000019306f898 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
0000000193069a00 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00000001930699f8 (__TEXT,__text) non-external -[CalCalendar setTitle:]
000000019306b360 (__TEXT,__text) non-external -[CalCalendar title]
000000019306b3c8 (__TEXT,__text) non-external -[CalCalendar type]
0000000193069f7c (__TEXT,__text) non-external -[CalCalendar uid]
0000000193073394 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
000000019306a824 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00000001930726c4 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
000000019306b038 (__TEXT,__text) non-external -[CalCalendarItem alarms]
000000019306afc8 (__TEXT,__text) non-external -[CalCalendarItem calendar]
0000000193073310 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
000000019306afa8 (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
000000019306ae58 (__TEXT,__text) non-external -[CalCalendarItem description]
000000019307336c (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00000001930726b4 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
0000000193073308 (__TEXT,__text) non-external -[CalCalendarItem hash]
0000000193072588 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
0000000193072a5c (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00000001930726bc (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
000000019306afb8 (__TEXT,__text) non-external -[CalCalendarItem notes]
00000001930727bc (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
0000000193072810 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
0000000193072908 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
000000019306a8fc (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
0000000193073374 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
000000019306a054 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
0000000193069f84 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
0000000193073388 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
000000019306a05c (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
0000000193073064 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
000000019306afb0 (__TEXT,__text) non-external -[CalCalendarItem title]
000000019306afa0 (__TEXT,__text) non-external -[CalCalendarItem uid]
0000000193073380 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
000000019306afc0 (__TEXT,__text) non-external -[CalCalendarItem url]
000000019306f268 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
000000019306d818 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
000000019306d820 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
000000019306c2e4 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00000001930697ac (__TEXT,__text) non-external -[CalCalendarStore calendars]
000000019306c2e0 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
000000019306ca9c (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
000000019306f254 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
000000019306c3d0 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
0000000193069d74 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
000000019306d9b4 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
000000019306c788 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
000000019306c07c (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
000000019306c03c (__TEXT,__text) non-external -[CalCalendarStore init]
000000019306e064 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
000000019306cf48 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
000000019306d5f0 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
000000019306dac4 (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
000000019306cab4 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
000000019306d268 (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
000000019306f25c (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
000000019306c69c (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
000000019306c4d8 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
0000000193070a44 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
000000019306b7e8 (__TEXT,__text) non-external -[CalEvent attendees]
000000019306ac48 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
000000019306acd0 (__TEXT,__text) non-external -[CalEvent description]
0000000193070198 (__TEXT,__text) non-external -[CalEvent ekEvent]
000000019306b6b8 (__TEXT,__text) non-external -[CalEvent endDate]
0000000193070100 (__TEXT,__text) non-external -[CalEvent init]
000000019306b710 (__TEXT,__text) non-external -[CalEvent isAllDay]
0000000193070894 (__TEXT,__text) non-external -[CalEvent isDetached]
00000001930701a0 (__TEXT,__text) non-external -[CalEvent isEqual:]
000000019306b660 (__TEXT,__text) non-external -[CalEvent location]
00000001930708d4 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
000000019306b5cc (__TEXT,__text) non-external -[CalEvent occurrence]
000000019306b750 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
000000019307019c (__TEXT,__text) non-external -[CalEvent setEKEvent:]
0000000193070a30 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
0000000193069ff0 (__TEXT,__text) non-external -[CalEvent setEndDate:]
000000019306a0c8 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
000000019306a064 (__TEXT,__text) non-external -[CalEvent setLocation:]
000000019306a234 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
0000000193069f8c (__TEXT,__text) non-external -[CalEvent setStartDate:]
00000001930706d4 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
000000019306a114 (__TEXT,__text) non-external -[CalEvent startDate]
0000000193071fe0 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
0000000193071ef8 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
0000000193071fbc (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
0000000193071d7c (__TEXT,__text) non-external -[CalNthWeekDay description]
0000000193071fcc (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
0000000193071e38 (__TEXT,__text) non-external -[CalNthWeekDay hash]
0000000193071cdc (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
0000000193071e40 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
0000000193071fd4 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
0000000193071fc4 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
000000019306bc40 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
000000019306bb70 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
0000000193069cb0 (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
000000019306bbcc (__TEXT,__text) non-external -[CalPredicate predicate]
000000019306bb5c (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
000000019306bb4c (__TEXT,__text) non-external -[CalPredicate subpredicate]
000000019307257c (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
0000000193072314 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00000001930720cc (__TEXT,__text) non-external -[CalRecurrenceEnd description]
0000000193072568 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
0000000193072558 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00000001930721d8 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00000001930724b8 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
0000000193072368 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
0000000193072418 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00000001930721e0 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
0000000193072560 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
0000000193072570 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
0000000193072090 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
0000000193071cd0 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
000000019306a2c0 (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
000000019306a4e8 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
000000019306a34c (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
000000019306bab0 (__TEXT,__text) non-external -[CalRecurrenceRule description]
0000000193071cbc (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
0000000193071cb4 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
0000000193071100 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
000000019306a16c (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
0000000193070af8 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
0000000193070cb4 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
0000000193070bc0 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
000000019306a950 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
000000019306aa38 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
0000000193070a58 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
0000000193070df0 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
0000000193070fac (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
0000000193070eb8 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
0000000193071108 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
000000019306a690 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
000000019306a4f0 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
000000019306a698 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
000000019306a344 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
000000019306a31c (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
0000000193071cc4 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
0000000193071674 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
0000000193073b9c (__TEXT,__text) non-external -[CalTask .cxx_destruct]
0000000193073534 (__TEXT,__text) non-external -[CalTask completedDate]
000000019307388c (__TEXT,__text) non-external -[CalTask description]
00000001930735f0 (__TEXT,__text) non-external -[CalTask dueDate]
00000001930734a0 (__TEXT,__text) non-external -[CalTask ekReminder]
0000000193073408 (__TEXT,__text) non-external -[CalTask init]
00000001930734a8 (__TEXT,__text) non-external -[CalTask isCompleted]
0000000193073980 (__TEXT,__text) non-external -[CalTask isEqual:]
0000000193073738 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00000001930736ac (__TEXT,__text) non-external -[CalTask priority]
000000019307358c (__TEXT,__text) non-external -[CalTask setCompletedDate:]
0000000193073648 (__TEXT,__text) non-external -[CalTask setDueDate:]
00000001930734a4 (__TEXT,__text) non-external -[CalTask setEKReminder:]
0000000193073b88 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00000001930734e8 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00000001930736ec (__TEXT,__text) non-external -[CalTask setPriority:]
0000000193075280 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
0000000193075294 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001930752a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001d465e470 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001d465e478 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001d465e480 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001d465e488 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001d465e330 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001d465e350 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001d465e338 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001d465e348 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001d465e358 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001d465e328 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001d465e340 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001d465e3f8 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001d465e400 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001d465e408 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001d465e428 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001d465e410 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001d465e418 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001d465e420 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001d465e430 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001d465e438 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001d465e3b8 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001d465e3a0 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00000001930752d0 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001d465e3e0 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001d465e3c0 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001d465e3a8 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001d465e3d0 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001d465e3e8 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001d465e500 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001d465e3c8 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001d465e3b0 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001d465e3d8 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001d465e3f0 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001db9ffe08 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001db9ffd18 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001db9ffdb8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001db9fff98 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001db9ffd68 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001db9ffe58 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001db9ffef8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001db9ffcc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
00000001db9fff48 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001db9ffea8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001db9fffe8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001d8fa96f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001d8fa96fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001d8fa9700 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001d8fa96ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001d8fa96f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001d8fa9714 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001d8fa9718 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001d8fa96f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001d8fa9704 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001d8fa970c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001d8fa96e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001d8fa9710 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001d8fa9708 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001d8fa971c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001db9ffe30 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001db9ffd40 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001db9ffde0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001db9fffc0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001db9ffd90 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001db9ffe80 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001db9fff20 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001db9ffcf0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001db9fff70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001db9ffed0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00000001dba00010 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
