                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
0000000199a69678 (__TEXT,__text) external _vDSP_DCT_CreateSetup
0000000199a4f754 (__TEXT,__text) external _vDSP_biquad_CreateSetup
0000000199a4fd5c (__TEXT,__text) external _vDSP_biquad_CreateSetupD
0000000199a4fcf0 (__TEXT,__text) external _vDSP_biquad_DestroySetup
0000000199a4ffd8 (__TEXT,__text) external _vDSP_biquad_DestroySetupD
0000000199a4f9a8 (__TEXT,__text) external _vDSP_biquad_SetCoefficientsDouble
0000000199a4fb58 (__TEXT,__text) external _vDSP_biquad_SetCoefficientsSingle
00000001999b1ea8 (__TEXT,__text) external _vDSP_biquadm
0000000199a0d928 (__TEXT,__text) external _vDSP_biquadmD
00000001999bca74 (__TEXT,__text) external _vDSP_biquadm_CopyState
0000000199a35bec (__TEXT,__text) external _vDSP_biquadm_CopyStateD
00000001999b7fe4 (__TEXT,__text) external _vDSP_biquadm_CreateSetup
0000000199a358d0 (__TEXT,__text) external _vDSP_biquadm_CreateSetupD
00000001999b90e0 (__TEXT,__text) external _vDSP_biquadm_DestroySetup
0000000199a35ba0 (__TEXT,__text) external _vDSP_biquadm_DestroySetupD
00000001999b7f94 (__TEXT,__text) external _vDSP_biquadm_ResetState
0000000199a35c1c (__TEXT,__text) external _vDSP_biquadm_ResetStateD
00000001999bd520 (__TEXT,__text) external _vDSP_biquadm_SetActiveFilters
00000001999b4ef8 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDouble
00000001999cd690 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsSingle
00000001999cd558 (__TEXT,__text) external _vDSP_biquadm_SetTargetsDouble
00000001999cd5fc (__TEXT,__text) external _vDSP_biquadm_SetTargetsSingle
00000001999cc90c (__TEXT,__text) external _vDSP_blkman_window
0000000199a056b4 (__TEXT,__text) external _vDSP_blkman_windowD
00000001999b5150 (__TEXT,__text) external _vDSP_conv
0000000199a10fec (__TEXT,__text) external _vDSP_convD
00000001999ba05c (__TEXT,__text) external _vDSP_create_fftsetup
00000001999fbf20 (__TEXT,__text) external _vDSP_create_fftsetupD
00000001999b0720 (__TEXT,__text) external _vDSP_ctoz
00000001999fc820 (__TEXT,__text) external _vDSP_ctozD
00000001999f7be8 (__TEXT,__text) external _vDSP_deq22
00000001999f8384 (__TEXT,__text) external _vDSP_deq22D
00000001999b0a8c (__TEXT,__text) external _vDSP_desamp
0000000199a47db8 (__TEXT,__text) external _vDSP_desampD
00000001999bc0c0 (__TEXT,__text) external _vDSP_destroy_fftsetup
00000001999fbdf0 (__TEXT,__text) external _vDSP_destroy_fftsetupD
0000000199a49d10 (__TEXT,__text) external _vDSP_distancesq
00000001999ba6f4 (__TEXT,__text) external _vDSP_distancesqD
00000001999bd0d0 (__TEXT,__text) external _vDSP_dotpr
00000001999cc80c (__TEXT,__text) external _vDSP_dotpr2
0000000199a3ebb0 (__TEXT,__text) external _vDSP_dotpr2D
00000001999cc88c (__TEXT,__text) external _vDSP_dotpr2_s1_15
00000001999cd0fc (__TEXT,__text) external _vDSP_dotpr2_s8_24
00000001999b9300 (__TEXT,__text) external _vDSP_dotprD
00000001999ce930 (__TEXT,__text) external _vDSP_dotpr_s1_15
00000001999d06e0 (__TEXT,__text) external _vDSP_dotpr_s8_24
0000000199a89054 (__TEXT,__text) external _vDSP_f3x3
0000000199a3e5a4 (__TEXT,__text) external _vDSP_f3x3D
0000000199a88f18 (__TEXT,__text) external _vDSP_f5x5
0000000199a37e44 (__TEXT,__text) external _vDSP_f5x5D
00000001999e6a60 (__TEXT,__text) external _vDSP_fft2d_zip
00000001999ee834 (__TEXT,__text) external _vDSP_fft2d_zipD
00000001999e6d44 (__TEXT,__text) external _vDSP_fft2d_zipt
0000000199a38ff8 (__TEXT,__text) external _vDSP_fft2d_ziptD
00000001999e6a98 (__TEXT,__text) external _vDSP_fft2d_zop
0000000199a064b0 (__TEXT,__text) external _vDSP_fft2d_zopD
00000001999e8a1c (__TEXT,__text) external _vDSP_fft2d_zopt
00000001999d08b4 (__TEXT,__text) external _vDSP_fft2d_zoptD
00000001999e8cc0 (__TEXT,__text) external _vDSP_fft2d_zrip
0000000199a11918 (__TEXT,__text) external _vDSP_fft2d_zripD
00000001999e94d8 (__TEXT,__text) external _vDSP_fft2d_zript
0000000199a1ffb0 (__TEXT,__text) external _vDSP_fft2d_zriptD
00000001999e8cf8 (__TEXT,__text) external _vDSP_fft2d_zrop
00000001999de130 (__TEXT,__text) external _vDSP_fft2d_zropD
00000001999e9514 (__TEXT,__text) external _vDSP_fft2d_zropt
0000000199a5a2ac (__TEXT,__text) external _vDSP_fft2d_zroptD
0000000199a384c4 (__TEXT,__text) external _vDSP_fft3_zop
00000001999ce3d8 (__TEXT,__text) external _vDSP_fft3_zopD
00000001999fc3ac (__TEXT,__text) external _vDSP_fft5_zop
0000000199a47e14 (__TEXT,__text) external _vDSP_fft5_zopD
00000001999f4e6c (__TEXT,__text) external _vDSP_fft_zip
0000000199a01d94 (__TEXT,__text) external _vDSP_fft_zipD
00000001999d3160 (__TEXT,__text) external _vDSP_fft_zipt
00000001999f2f50 (__TEXT,__text) external _vDSP_fft_ziptD
00000001999c0f48 (__TEXT,__text) external _vDSP_fft_zop
00000001999fcc04 (__TEXT,__text) external _vDSP_fft_zopD
0000000199a09a6c (__TEXT,__text) external _vDSP_fft_zopt
0000000199a48828 (__TEXT,__text) external _vDSP_fft_zoptD
00000001999c3390 (__TEXT,__text) external _vDSP_fft_zrip
0000000199a48834 (__TEXT,__text) external _vDSP_fft_zripD
0000000199a490a0 (__TEXT,__text) external _vDSP_fft_zript
0000000199a6e5e8 (__TEXT,__text) external _vDSP_fft_zriptD
00000001999c21fc (__TEXT,__text) external _vDSP_fft_zrop
00000001999fcc5c (__TEXT,__text) external _vDSP_fft_zropD
0000000199a40cf8 (__TEXT,__text) external _vDSP_fft_zropt
0000000199a0e028 (__TEXT,__text) external _vDSP_fft_zroptD
00000001999e9528 (__TEXT,__text) external _vDSP_fftm_zip
00000001999f2c24 (__TEXT,__text) external _vDSP_fftm_zipD
00000001999e992c (__TEXT,__text) external _vDSP_fftm_zipt
0000000199a5853c (__TEXT,__text) external _vDSP_fftm_ziptD
00000001999e9560 (__TEXT,__text) external _vDSP_fftm_zop
00000001999e0fa8 (__TEXT,__text) external _vDSP_fftm_zopD
00000001999e9e6c (__TEXT,__text) external _vDSP_fftm_zopt
0000000199a0539c (__TEXT,__text) external _vDSP_fftm_zoptD
00000001999e9e80 (__TEXT,__text) external _vDSP_fftm_zrip
00000001999ee934 (__TEXT,__text) external _vDSP_fftm_zripD
00000001999ea2bc (__TEXT,__text) external _vDSP_fftm_zript
0000000199a6fc6c (__TEXT,__text) external _vDSP_fftm_zriptD
00000001999e9eb8 (__TEXT,__text) external _vDSP_fftm_zrop
0000000199a37434 (__TEXT,__text) external _vDSP_fftm_zropD
00000001999ea2f8 (__TEXT,__text) external _vDSP_fftm_zropt
0000000199a37420 (__TEXT,__text) external _vDSP_fftm_zroptD
00000001999b9d3c (__TEXT,__text) external _vDSP_hamm_window
0000000199a096f0 (__TEXT,__text) external _vDSP_hamm_windowD
0000000199a82060 (__TEXT,__text) external _vDSP_hann_window
0000000199a19488 (__TEXT,__text) external _vDSP_hann_windowD
0000000199a88284 (__TEXT,__text) external _vDSP_imgfir
0000000199a700e0 (__TEXT,__text) external _vDSP_imgfirD
00000001999b6210 (__TEXT,__text) external _vDSP_maxmgv
00000001999f923c (__TEXT,__text) external _vDSP_maxmgvD
00000001999b3a2c (__TEXT,__text) external _vDSP_maxmgvi
00000001999fa4c0 (__TEXT,__text) external _vDSP_maxmgviD
00000001999b957c (__TEXT,__text) external _vDSP_maxv
00000001999f4314 (__TEXT,__text) external _vDSP_maxvD
00000001999c1478 (__TEXT,__text) external _vDSP_maxvi
00000001999fb00c (__TEXT,__text) external _vDSP_maxviD
0000000199a5cbfc (__TEXT,__text) external _vDSP_meamgv
0000000199a82450 (__TEXT,__text) external _vDSP_meamgvD
00000001999b1ba8 (__TEXT,__text) external _vDSP_meanv
0000000199a82a08 (__TEXT,__text) external _vDSP_meanvD
0000000199a44a90 (__TEXT,__text) external _vDSP_measqv
0000000199a3c174 (__TEXT,__text) external _vDSP_measqvD
00000001999f4538 (__TEXT,__text) external _vDSP_minmgv
00000001999f4878 (__TEXT,__text) external _vDSP_minmgvD
00000001999fa5d4 (__TEXT,__text) external _vDSP_minmgvi
00000001999fae64 (__TEXT,__text) external _vDSP_minmgviD
00000001999b8e68 (__TEXT,__text) external _vDSP_minv
00000001999b2480 (__TEXT,__text) external _vDSP_minvD
00000001999fb7b0 (__TEXT,__text) external _vDSP_minvi
00000001999fbce4 (__TEXT,__text) external _vDSP_minviD
00000001999ba414 (__TEXT,__text) external _vDSP_mmov
0000000199a09638 (__TEXT,__text) external _vDSP_mmovD
00000001999c3414 (__TEXT,__text) external _vDSP_mmul
0000000199a5227c (__TEXT,__text) external _vDSP_mmulD
00000001999ba73c (__TEXT,__text) external _vDSP_mtrans
00000001999d171c (__TEXT,__text) external _vDSP_mtransD
00000001999e6a28 (__TEXT,__text) external _vDSP_mvessq
00000001999da0d4 (__TEXT,__text) external _vDSP_mvessqD
0000000199a05cfc (__TEXT,__text) external _vDSP_normalize
00000001999f2ccc (__TEXT,__text) external _vDSP_normalizeD
00000001999f287c (__TEXT,__text) external _vDSP_nzcros
00000001999f2bac (__TEXT,__text) external _vDSP_nzcrosD
0000000199a09a78 (__TEXT,__text) external _vDSP_polar
0000000199a6e574 (__TEXT,__text) external _vDSP_polarD
0000000199a367d8 (__TEXT,__text) external _vDSP_rect
0000000199a4862c (__TEXT,__text) external _vDSP_rectD
0000000199a6e538 (__TEXT,__text) external _vDSP_rmsqv
0000000199a07980 (__TEXT,__text) external _vDSP_rmsqvD
00000001999c2e40 (__TEXT,__text) external _vDSP_svdiv
0000000199a069dc (__TEXT,__text) external _vDSP_svdivD
00000001999ad1b0 (__TEXT,__text) external _vDSP_sve
00000001999ad7a8 (__TEXT,__text) external _vDSP_sveD
0000000199a3bd84 (__TEXT,__text) external _vDSP_sve_svesq
0000000199a3bf80 (__TEXT,__text) external _vDSP_sve_svesqD
00000001999b4c90 (__TEXT,__text) external _vDSP_svemg
0000000199a42040 (__TEXT,__text) external _vDSP_svemgD
00000001999b1950 (__TEXT,__text) external _vDSP_svesq
0000000199a42108 (__TEXT,__text) external _vDSP_svesqD
0000000199a4404c (__TEXT,__text) external _vDSP_svs
0000000199a440f0 (__TEXT,__text) external _vDSP_svsD
0000000199a6fa18 (__TEXT,__text) external _vDSP_vaam
0000000199a034cc (__TEXT,__text) external _vDSP_vaamD
00000001999b4870 (__TEXT,__text) external _vDSP_vabs
00000001999f2da4 (__TEXT,__text) external _vDSP_vabsD
0000000199a02ce4 (__TEXT,__text) external _vDSP_vabsi
00000001999ad714 (__TEXT,__text) external _vDSP_vadd
00000001999ada54 (__TEXT,__text) external _vDSP_vaddD
0000000199a82490 (__TEXT,__text) external _vDSP_vaddi
0000000199a4a09c (__TEXT,__text) external _vDSP_vaddsub
0000000199a4a43c (__TEXT,__text) external _vDSP_vaddsubD
0000000199a012a8 (__TEXT,__text) external _vDSP_vam
0000000199a013d8 (__TEXT,__text) external _vDSP_vamD
0000000199a47bf0 (__TEXT,__text) external _vDSP_vasbm
0000000199a0de60 (__TEXT,__text) external _vDSP_vasbmD
00000001999c11d0 (__TEXT,__text) external _vDSP_vasm
0000000199a06ad8 (__TEXT,__text) external _vDSP_vasmD
0000000199a4a7f0 (__TEXT,__text) external _vDSP_vavlin
0000000199a6f51c (__TEXT,__text) external _vDSP_vavlinD
00000001999b83d0 (__TEXT,__text) external _vDSP_vclip
00000001999d9c04 (__TEXT,__text) external _vDSP_vclipD
0000000199a462c8 (__TEXT,__text) external _vDSP_vclipc
0000000199a59c64 (__TEXT,__text) external _vDSP_vclipcD
00000001999b0678 (__TEXT,__text) external _vDSP_vclr
00000001999f4e80 (__TEXT,__text) external _vDSP_vclrD
00000001999f2834 (__TEXT,__text) external _vDSP_vcmprs
00000001999fa478 (__TEXT,__text) external _vDSP_vcmprsD
00000001999bc1e0 (__TEXT,__text) external _vDSP_vdbcon
0000000199a0d938 (__TEXT,__text) external _vDSP_vdbconD
00000001999c1940 (__TEXT,__text) external _vDSP_vdist
0000000199a396cc (__TEXT,__text) external _vDSP_vdistD
00000001999b53e0 (__TEXT,__text) external _vDSP_vdiv
00000001999adf3c (__TEXT,__text) external _vDSP_vdivD
00000001999d7d38 (__TEXT,__text) external _vDSP_vdivi
00000001999b5af0 (__TEXT,__text) external _vDSP_vdpsp
00000001999f3820 (__TEXT,__text) external _vDSP_venvlp
0000000199a11b24 (__TEXT,__text) external _vDSP_venvlpD
00000001999d5860 (__TEXT,__text) external _vDSP_veqvi
00000001999b7730 (__TEXT,__text) external _vDSP_vfill
0000000199a06bd0 (__TEXT,__text) external _vDSP_vfillD
0000000199a015b4 (__TEXT,__text) external _vDSP_vfilli
0000000199a87ee4 (__TEXT,__text) external _vDSP_vfix16
00000001999f4d10 (__TEXT,__text) external _vDSP_vfix16D
0000000199a3c44c (__TEXT,__text) external _vDSP_vfix32
00000001999ddb60 (__TEXT,__text) external _vDSP_vfix32D
0000000199a04eb8 (__TEXT,__text) external _vDSP_vfix8
0000000199a5854c (__TEXT,__text) external _vDSP_vfix8D
0000000199a3ee58 (__TEXT,__text) external _vDSP_vfixr16
0000000199a26d1c (__TEXT,__text) external _vDSP_vfixr16D
00000001999d11f4 (__TEXT,__text) external _vDSP_vfixr32
0000000199a3c1ac (__TEXT,__text) external _vDSP_vfixr32D
0000000199a4ab20 (__TEXT,__text) external _vDSP_vfixr8
00000001999ce3ac (__TEXT,__text) external _vDSP_vfixr8D
0000000199a6fc3c (__TEXT,__text) external _vDSP_vfixru16
0000000199a487f8 (__TEXT,__text) external _vDSP_vfixru16D
0000000199a11af4 (__TEXT,__text) external _vDSP_vfixru32
00000001999e0f78 (__TEXT,__text) external _vDSP_vfixru32D
00000001999d08d0 (__TEXT,__text) external _vDSP_vfixru8
0000000199a3c1dc (__TEXT,__text) external _vDSP_vfixru8D
0000000199a4b0f8 (__TEXT,__text) external _vDSP_vfixu16
0000000199a58f6c (__TEXT,__text) external _vDSP_vfixu16D
00000001999ba5c4 (__TEXT,__text) external _vDSP_vfixu32
0000000199a01508 (__TEXT,__text) external _vDSP_vfixu32D
0000000199a4ae38 (__TEXT,__text) external _vDSP_vfixu8
0000000199a371c8 (__TEXT,__text) external _vDSP_vfixu8D
0000000199a88070 (__TEXT,__text) external _vDSP_vflt16
0000000199a85ad8 (__TEXT,__text) external _vDSP_vflt16D
0000000199a460b0 (__TEXT,__text) external _vDSP_vflt24
0000000199a408a4 (__TEXT,__text) external _vDSP_vflt32
0000000199a0a490 (__TEXT,__text) external _vDSP_vflt32D
0000000199a6f614 (__TEXT,__text) external _vDSP_vflt8
0000000199a11b88 (__TEXT,__text) external _vDSP_vflt8D
0000000199a44ac8 (__TEXT,__text) external _vDSP_vfltsm24
0000000199a0a540 (__TEXT,__text) external _vDSP_vfltsmu24
0000000199a0773c (__TEXT,__text) external _vDSP_vfltu16
0000000199a4b448 (__TEXT,__text) external _vDSP_vfltu16D
0000000199a3c28c (__TEXT,__text) external _vDSP_vfltu24
0000000199a1af1c (__TEXT,__text) external _vDSP_vfltu32
0000000199a50424 (__TEXT,__text) external _vDSP_vfltu32D
00000001999fb118 (__TEXT,__text) external _vDSP_vfltu8
0000000199a37bd8 (__TEXT,__text) external _vDSP_vfltu8D
00000001999c0fa0 (__TEXT,__text) external _vDSP_vfrac
0000000199a01644 (__TEXT,__text) external _vDSP_vfracD
0000000199a3d120 (__TEXT,__text) external _vDSP_vgathr
00000001999dd298 (__TEXT,__text) external _vDSP_vgathrD
00000001999f5bd4 (__TEXT,__text) external _vDSP_vgathra
0000000199a17c84 (__TEXT,__text) external _vDSP_vgathraD
0000000199a40434 (__TEXT,__text) external _vDSP_vgen
0000000199a48cdc (__TEXT,__text) external _vDSP_vgenD
0000000199a6a950 (__TEXT,__text) external _vDSP_vgenp
00000001999ee6e0 (__TEXT,__text) external _vDSP_vgenpD
00000001999fb6bc (__TEXT,__text) external _vDSP_viclip
0000000199a5cd98 (__TEXT,__text) external _vDSP_viclipD
0000000199a4b750 (__TEXT,__text) external _vDSP_vindex
0000000199a4f1c0 (__TEXT,__text) external _vDSP_vindexD
0000000199a4bf30 (__TEXT,__text) external _vDSP_vintb
0000000199a13988 (__TEXT,__text) external _vDSP_vintbD
0000000199a26b94 (__TEXT,__text) external _vDSP_vlim
0000000199a8236c (__TEXT,__text) external _vDSP_vlimD
0000000199a4f1f0 (__TEXT,__text) external _vDSP_vlint
0000000199a47070 (__TEXT,__text) external _vDSP_vlintD
00000001999b67e0 (__TEXT,__text) external _vDSP_vma
0000000199a079bc (__TEXT,__text) external _vDSP_vmaD
00000001999bd920 (__TEXT,__text) external _vDSP_vmax
00000001999adc38 (__TEXT,__text) external _vDSP_vmaxD
00000001999b3760 (__TEXT,__text) external _vDSP_vmaxmg
0000000199a6a818 (__TEXT,__text) external _vDSP_vmaxmgD
00000001999bf9f0 (__TEXT,__text) external _vDSP_vmin
00000001999b28dc (__TEXT,__text) external _vDSP_vminD
0000000199a36ce0 (__TEXT,__text) external _vDSP_vminmg
00000001999f4740 (__TEXT,__text) external _vDSP_vminmgD
00000001999b7a50 (__TEXT,__text) external _vDSP_vmma
0000000199a2ce64 (__TEXT,__text) external _vDSP_vmmaD
0000000199a355c0 (__TEXT,__text) external _vDSP_vmmsb
00000001999fb4f4 (__TEXT,__text) external _vDSP_vmmsbD
0000000199a3ea70 (__TEXT,__text) external _vDSP_vmsa
0000000199a07aec (__TEXT,__text) external _vDSP_vmsaD
0000000199a3eaac (__TEXT,__text) external _vDSP_vmsb
0000000199a07c84 (__TEXT,__text) external _vDSP_vmsbD
00000001999ad100 (__TEXT,__text) external _vDSP_vmul
00000001999ae55c (__TEXT,__text) external _vDSP_vmulD
0000000199a37508 (__TEXT,__text) external _vDSP_vnabs
0000000199a4f000 (__TEXT,__text) external _vDSP_vnabsD
00000001999c1194 (__TEXT,__text) external _vDSP_vneg
0000000199a07db4 (__TEXT,__text) external _vDSP_vnegD
00000001999c00b0 (__TEXT,__text) external _vDSP_vpoly
0000000199a49ae8 (__TEXT,__text) external _vDSP_vpolyD
0000000199a4bafc (__TEXT,__text) external _vDSP_vpythg
00000001999f2648 (__TEXT,__text) external _vDSP_vpythgD
0000000199a4c21c (__TEXT,__text) external _vDSP_vqint
0000000199a414c4 (__TEXT,__text) external _vDSP_vqintD
00000001999b64e0 (__TEXT,__text) external _vDSP_vramp
00000001999f5908 (__TEXT,__text) external _vDSP_vrampD
00000001999eead0 (__TEXT,__text) external _vDSP_vrampmul
00000001999d1bb0 (__TEXT,__text) external _vDSP_vrampmul2
00000001999f3884 (__TEXT,__text) external _vDSP_vrampmul2D
00000001999d2438 (__TEXT,__text) external _vDSP_vrampmul2_s1_15
00000001999d25f4 (__TEXT,__text) external _vDSP_vrampmul2_s8_24
0000000199a0999c (__TEXT,__text) external _vDSP_vrampmulD
00000001999d2ed4 (__TEXT,__text) external _vDSP_vrampmul_s1_15
00000001999d2ff0 (__TEXT,__text) external _vDSP_vrampmul_s8_24
0000000199a48d40 (__TEXT,__text) external _vDSP_vrampmuladd
00000001999d316c (__TEXT,__text) external _vDSP_vrampmuladd2
0000000199a36774 (__TEXT,__text) external _vDSP_vrampmuladd2D
00000001999d3b0c (__TEXT,__text) external _vDSP_vrampmuladd2_s1_15
00000001999d3ce0 (__TEXT,__text) external _vDSP_vrampmuladd2_s8_24
00000001999f33e0 (__TEXT,__text) external _vDSP_vrampmuladdD
00000001999d3f58 (__TEXT,__text) external _vDSP_vrampmuladd_s1_15
00000001999d177c (__TEXT,__text) external _vDSP_vrampmuladd_s8_24
0000000199a4ced0 (__TEXT,__text) external _vDSP_vrsum
0000000199a373d4 (__TEXT,__text) external _vDSP_vrsumD
0000000199a441cc (__TEXT,__text) external _vDSP_vrvrs
00000001999f7ba4 (__TEXT,__text) external _vDSP_vrvrsD
00000001999b4c50 (__TEXT,__text) external _vDSP_vsadd
00000001999b1be0 (__TEXT,__text) external _vDSP_vsaddD
0000000199a4d214 (__TEXT,__text) external _vDSP_vsaddi
0000000199a3eae8 (__TEXT,__text) external _vDSP_vsbm
0000000199a07f60 (__TEXT,__text) external _vDSP_vsbmD
0000000199a6ef9c (__TEXT,__text) external _vDSP_vsbsbm
0000000199a35f20 (__TEXT,__text) external _vDSP_vsbsbmD
00000001999bbdf4 (__TEXT,__text) external _vDSP_vsbsm
0000000199a08ba4 (__TEXT,__text) external _vDSP_vsbsmD
00000001999c33a4 (__TEXT,__text) external _vDSP_vsdiv
00000001999c190c (__TEXT,__text) external _vDSP_vsdivD
0000000199a13958 (__TEXT,__text) external _vDSP_vsdivi
00000001999f83f8 (__TEXT,__text) external _vDSP_vsimps
0000000199a1028c (__TEXT,__text) external _vDSP_vsimpsD
00000001999c3818 (__TEXT,__text) external _vDSP_vsma
00000001999b7634 (__TEXT,__text) external _vDSP_vsmaD
00000001999dce54 (__TEXT,__text) external _vDSP_vsmfix24
0000000199a58b58 (__TEXT,__text) external _vDSP_vsmfixu24
00000001999c33d8 (__TEXT,__text) external _vDSP_vsmsa
0000000199a08c9c (__TEXT,__text) external _vDSP_vsmsaD
00000001999b4284 (__TEXT,__text) external _vDSP_vsmsb
0000000199a08fac (__TEXT,__text) external _vDSP_vsmsbD
00000001999c1e24 (__TEXT,__text) external _vDSP_vsmsma
00000001999b26a8 (__TEXT,__text) external _vDSP_vsmsmaD
00000001999ad6b4 (__TEXT,__text) external _vDSP_vsmul
00000001999b22e4 (__TEXT,__text) external _vDSP_vsmulD
00000001999cda60 (__TEXT,__text) external _vDSP_vsort
0000000199a6fbe0 (__TEXT,__text) external _vDSP_vsortD
0000000199a82a40 (__TEXT,__text) external _vDSP_vsorti
0000000199a7a00c (__TEXT,__text) external _vDSP_vsortiD
00000001999b916c (__TEXT,__text) external _vDSP_vspdp
00000001999b14fc (__TEXT,__text) external _vDSP_vsq
0000000199a053b0 (__TEXT,__text) external _vDSP_vsqD
0000000199a055f8 (__TEXT,__text) external _vDSP_vssq
0000000199a05bb4 (__TEXT,__text) external _vDSP_vssqD
00000001999ad678 (__TEXT,__text) external _vDSP_vsub
00000001999add58 (__TEXT,__text) external _vDSP_vsubD
0000000199a559dc (__TEXT,__text) external _vDSP_vswap
0000000199a504d0 (__TEXT,__text) external _vDSP_vswapD
00000001999b7d58 (__TEXT,__text) external _vDSP_vswmax
00000001999c65b4 (__TEXT,__text) external _vDSP_vswmaxD
0000000199a4d758 (__TEXT,__text) external _vDSP_vswsum
0000000199a5486c (__TEXT,__text) external _vDSP_vswsumD
00000001999d597c (__TEXT,__text) external _vDSP_vtabi
00000001999ceb08 (__TEXT,__text) external _vDSP_vtabiD
