00007ff84004ab98 (__DATA,__data) non-external _C
00007ff8002b7abe (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff8002b7b16 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff8002b7b4d (__TEXT,__text) non-external __GBK_mbrtowc
00007ff8002b7c54 (__TEXT,__text) non-external __GBK_mbsinit
00007ff8002b7c15 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff8002b9243 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff8002b927a (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff8002b949b (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff8002b9353 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff80029a728 (__TEXT,__text) external __NSGetArgc
00007ff80029a71b (__TEXT,__text) external __NSGetArgv
00007ff80029a735 (__TEXT,__text) external __NSGetEnviron
00007ff80029a74f (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff80029a742 (__TEXT,__text) external __NSGetProgname
00007ff8400584c0 (__DATA,__common) external __PathLocale
00007ff8002e806b (__TEXT,__text) external __Read_RuneMagi
00007ff8002dec6f (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff8002decbc (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff8002dee9e (__TEXT,__text) non-external __UTF2_mbsinit
00007ff8002deeb8 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff8002dee18 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff8002df03f (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff8002baef8 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff8002baf45 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff8002bb1e2 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff8002bb1fc (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff8002bb12b (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff8002bb383 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff8002a789a (__TEXT,__text) external ___Balloc_D2A
00007ff8002a79ea (__TEXT,__text) external ___Bfree_D2A
00007ff8002abf60 (__TEXT,__text) external ___ULtod_D2A
00007ff800298266 (__TEXT,__text) external ____mb_cur_max
00007ff800298294 (__TEXT,__text) external ____mb_cur_max_l
00007ff8002b9fde (__TEXT,__text) external ____runetype
00007ff8002b9f32 (__TEXT,__text) external ____runetype_l
00007ff8002bae01 (__TEXT,__text) external ____tolower
00007ff8002bad5a (__TEXT,__text) external ____tolower_l
00007ff8002baed0 (__TEXT,__text) external ____toupper
00007ff8002bae29 (__TEXT,__text) external ____toupper_l
00007ff8002fd98f (__TEXT,__text) non-external (was a private external) ___abort
00007ff8002a1b22 (__TEXT,__text) external ___add_ovflpage
00007ff8002a18ac (__TEXT,__text) external ___addel
00007ff8002a84d7 (__TEXT,__text) external ___any_on_D2A
00007ff8002fccee (__TEXT,__text) external ___assert_rtn
00007ff8400583e8 (__DATA,__bss) non-external ___atexit
00007ff8002df488 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400583f0 (__DATA,__bss) non-external ___atexit_new_registration
00007ff8002a808a (__TEXT,__text) external ___b2d_D2A
00007ff8002a01db (__TEXT,__text) external ___big_delete
00007ff80029ff0c (__TEXT,__text) external ___big_insert
00007ff8002a0827 (__TEXT,__text) external ___big_keydata
00007ff8002a04b2 (__TEXT,__text) external ___big_return
00007ff8002a0994 (__TEXT,__text) external ___big_split
00007ff8002fe410 (__TEXT,__const) external ___bigtens_D2A
00007ff80029b07c (__TEXT,__text) external ___bt_close
00007ff80029ec0d (__TEXT,__text) external ___bt_cmp
00007ff80029ecad (__TEXT,__text) external ___bt_defcmp
00007ff80029ecf2 (__TEXT,__text) external ___bt_defpfx
00007ff80029b4dd (__TEXT,__text) external ___bt_delete
00007ff80029bafe (__TEXT,__text) external ___bt_dleaf
00007ff80029c9a4 (__TEXT,__text) external ___bt_fd
00007ff80029d88a (__TEXT,__text) non-external ___bt_first
00007ff80029cc77 (__TEXT,__text) external ___bt_free
00007ff80029c151 (__TEXT,__text) external ___bt_get
00007ff80029cca8 (__TEXT,__text) external ___bt_new
00007ff80029c227 (__TEXT,__text) external ___bt_open
00007ff80029be9b (__TEXT,__text) non-external ___bt_pdelete
00007ff80029b214 (__TEXT,__text) external ___bt_pgin
00007ff80029b39a (__TEXT,__text) external ___bt_pgout
00007ff80029ccfb (__TEXT,__text) external ___bt_put
00007ff80029c0cb (__TEXT,__text) non-external ___bt_relink
00007ff80029ea70 (__TEXT,__text) external ___bt_ret
00007ff80029d246 (__TEXT,__text) external ___bt_search
00007ff80029d480 (__TEXT,__text) external ___bt_seq
00007ff80029d840 (__TEXT,__text) external ___bt_setcur
00007ff80029da66 (__TEXT,__text) external ___bt_split
00007ff80029b145 (__TEXT,__text) external ___bt_sync
00007ff8002a0f7e (__TEXT,__text) external ___buf_free
00007ff8002a0f46 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff84004aba0 (__DATA,__data) non-external ___c_locale
00007ff8002edbba (__TEXT,__text) non-external ___calc_left_pad
00007ff80029fa96 (__TEXT,__text) external ___call_hash
00007ff84004bc30 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff8002fbfd1 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff8002fbfe3 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff8002fbfcb (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff8002fbff5 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff840058530 (__DATA,__common) external ___cleanup
00007ff8002a7f35 (__TEXT,__text) external ___cmp_D2A
00007ff8002b62cc (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff8002b6468 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff8002b65ee (__TEXT,__text) external ___collate_equiv_match
00007ff8002b6a20 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff8002b5b01 (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff84004b280 (__DATA,__data) external ___collate_load_error
00007ff8002b5201 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff84004d870 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff8002b5e14 (__TEXT,__text) external ___collate_lookup
00007ff8002b5bbe (__TEXT,__text) external ___collate_lookup_l
00007ff8002b5fd9 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff8002b5ed4 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff8002b6b4c (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff84004d878 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff84004d880 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff8002b58fc (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff8002b5ab9 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff8002b608f (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800291608 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff8002a845a (__TEXT,__text) external ___copybits_D2A
00007ff8002e74cf (__TEXT,__text) non-external ___cvt
00007ff840058458 (__DATA,__bss) non-external ___cvt.s
00007ff8002df615 (__TEXT,__text) external ___cxa_atexit
00007ff8002df844 (__TEXT,__text) external ___cxa_finalize
00007ff8002df641 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff8002a815c (__TEXT,__text) external ___d2b_D2A
00007ff8400584e0 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff80029edd9 (__TEXT,__text) non-external ___dberr
00007ff80029edb4 (__TEXT,__text) external ___dbpanic
00007ff8002a9b5a (__TEXT,__text) external ___decrement_D2A
00007ff84004b178 (__DATA,__data) external ___default_hash
00007ff8002a118c (__TEXT,__text) external ___delpair
00007ff8002ba65b (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff8002a7f7c (__TEXT,__text) external ___diff_D2A
00007ff84004d5c0 (__DATA,__bss) non-external ___dirhelper_func
00007ff8002a4ba8 (__TEXT,__text) external ___dtoa
00007ff840058550 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff8002dfb5a (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400583f4 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff8002dc393 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff8002c21ee (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff80029f959 (__TEXT,__text) external ___expand_table
00007ff84004f300 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff8002bef2a (__TEXT,__text) external ___fflush
00007ff8002bf334 (__TEXT,__text) external ___fgetwc
00007ff8002c29cc (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff8002a0326 (__TEXT,__text) external ___find_bigpair
00007ff8002a043f (__TEXT,__text) external ___find_last_page
00007ff8002c3f50 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff8002dfab7 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff8002fe5f0 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
00007ff8002b7647 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff8002b76f9 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff8002bffbf (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff8002c04cc (__TEXT,__text) external ___fread
00007ff8002a23f6 (__TEXT,__text) external ___free_ovflpage
00007ff8002a4a40 (__TEXT,__text) external ___freedtoa
00007ff8002921c4 (__TEXT,__text) non-external ___fts_open
00007ff8002a5a64 (__TEXT,__text) external ___gdtoa
00007ff840058490 (__DATA,__common) external ___gdtoa_locks
00007ff8002a0b29 (__TEXT,__text) external ___get_buf
00007ff8002b810e (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff8002b8614 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff8002b88f5 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff8002dbb67 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff8002ba4a2 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff8002a1eba (__TEXT,__text) external ___get_page
00007ff8002b021b (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff84004f2e0 (__DATA,__bss) non-external ___getevp.predicate
00007ff8002a6c80 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff84004a5c8 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff8002df213 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff80029ede4 (__TEXT,__text) external ___hash_open
00007ff8002a43fc (__TEXT,__text) external ___hdtoa
00007ff8002e7b95 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff8002fe300 (__TEXT,__const) external ___hexdig_D2A
00007ff8002a775c (__TEXT,__text) external ___hexdig_init_D2A
00007ff8002a7762 (__TEXT,__text) external ___hexnan_D2A
00007ff8002a7b69 (__TEXT,__text) external ___hi0bits_D2A
00007ff8002a4752 (__TEXT,__text) external ___hldtoa
00007ff8002a7bd5 (__TEXT,__text) external ___i2b_D2A
00007ff8002a233c (__TEXT,__text) external ___ibitmap
00007ff8002a9acf (__TEXT,__text) external ___increment_D2A
00007ff8002e5447 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff8002b9b6e (__TEXT,__text) external ___isctype
00007ff8002b9b05 (__TEXT,__text) external ___istype
00007ff8002b9ccc (__TEXT,__text) external ___istype_l
00007ff84004b1f9 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff8002b7ea1 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff8002e7e3c (__TEXT,__text) external ___ldtoa
00007ff80029a6b7 (__TEXT,__text) external ___libc_init
00007ff8002a7a3e (__TEXT,__text) external ___lo0bits_D2A
00007ff8002c2219 (__TEXT,__text) non-external ___loadevp
00007ff84004ab90 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff8002a1170 (__TEXT,__text) external ___log2
00007ff8002ff2a0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff8002a7e2e (__TEXT,__text) external ___lshift_D2A
00007ff8002b9ab4 (__TEXT,__text) external ___maskrune
00007ff8002b9c78 (__TEXT,__text) external ___maskrune_l
00007ff8002a841d (__TEXT,__text) external ___match_D2A
00007ff84004b288 (__DATA,__data) external ___mb_cur_max
00007ff84004b28c (__DATA,__data) external ___mb_sb_limit
00007ff8002d1b16 (__TEXT,__text) non-external ___mbsconv
00007ff8002b8de9 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff8002fc1ca (__TEXT,__text) external ___memccpy_chk
00007ff8002fc612 (__TEXT,__text) external ___memcpy_chk
00007ff8002fc165 (__TEXT,__text) external ___memmove_chk
00007ff8002fc021 (__TEXT,__text) external ___memset_chk
00007ff8002b7eb5 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff84004d888 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff8002b8131 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff84004d898 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff8002a7bf8 (__TEXT,__text) external ___mult_D2A
00007ff8002a7ac7 (__TEXT,__text) external ___multadd_D2A
00007ff8002be727 (__TEXT,__text) non-external ___nls_free_resources
00007ff8002fec71 (__TEXT,__const) non-external ___nogrouping
00007ff8002a49ff (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800297f90 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff8002b8637 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff84004d8a8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff8002ba6ec (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff8002b09ec (__TEXT,__text) external ___opendir2
00007ff8002b0ad2 (__TEXT,__text) non-external ___opendir_common
00007ff80029cbb8 (__TEXT,__text) external ___ovfl_delete
00007ff80029c9f1 (__TEXT,__text) external ___ovfl_get
00007ff80029cac6 (__TEXT,__text) external ___ovfl_put
00007ff8002cdca5 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff84004f328 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff84004f320 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff84004b860 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff8002b7c6d (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400584b0 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff84004b200 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff8002a7d21 (__TEXT,__text) external ___pow5mult_D2A
00007ff8002fe400 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff8002eace5 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff8002fdcc3 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff8002e907c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff8002fdb50 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff8002e9164 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff8002fdb74 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff8002e9c84 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff8002fdbba (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff8002e9f0a (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff8002fdbdb (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff8002eb442 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff8002fdd28 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff8002eb424 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff8002ea6ea (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff8002fdc5e (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff8002ea78b (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff8002fdc81 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff8002eaa22 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff8002fdca2 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff8002eae32 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff8002fdce6 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff8002eb173 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff8002fdd07 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff8002eb4cb (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff8002ebc7a (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff8002eb288 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff8002c715b (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff8002eb396 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff8002eb325 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff8002eb2bb (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff8002ead24 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff8002e9097 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff8002e919c (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff8002fdb97 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff8002e9ca7 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff8002e9f87 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff8002fdbfe (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff8002fdc3b (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff8002eb45d (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff8002eb42c (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff8002ea713 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff8002ea7a6 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff8002eaa54 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff8002eae4d (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff8002eb18e (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff8002afd07 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff84004d748 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff8002a205a (__TEXT,__text) external ___put_page
00007ff8002fed0f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff8002a4a61 (__TEXT,__text) external ___quorem_D2A
00007ff8002a837a (__TEXT,__text) external ___ratio_D2A
00007ff8002a2c3a (__TEXT,__text) external ___rec_close
00007ff8002a2f45 (__TEXT,__text) external ___rec_delete
00007ff8002a3051 (__TEXT,__text) external ___rec_dleaf
00007ff8002a39c4 (__TEXT,__text) external ___rec_fd
00007ff8002a34a1 (__TEXT,__text) external ___rec_fmap
00007ff8002a3245 (__TEXT,__text) external ___rec_fpipe
00007ff8002a3155 (__TEXT,__text) external ___rec_get
00007ff8002a3cd0 (__TEXT,__text) external ___rec_iput
00007ff8002a3679 (__TEXT,__text) external ___rec_open
00007ff8002a3a14 (__TEXT,__text) external ___rec_put
00007ff8002a426c (__TEXT,__text) external ___rec_ret
00007ff8002a3f0d (__TEXT,__text) external ___rec_search
00007ff8002a40b4 (__TEXT,__text) external ___rec_seq
00007ff8002a2cf6 (__TEXT,__text) external ___rec_sync
00007ff8002a35c2 (__TEXT,__text) external ___rec_vmap
00007ff8002a3373 (__TEXT,__text) external ___rec_vpipe
00007ff8002a1054 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff8002a7654 (__TEXT,__text) external ___rshift_D2A
00007ff8002a9c25 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00007ff8002a49c4 (__TEXT,__text) external ___rv_alloc_D2A
00007ff8002a82a6 (__TEXT,__text) external ___s2b_D2A
00007ff84004b380 (__DATA,__data) external ___sF
00007ff84004b550 (__DATA,__data) non-external ___sFX
00007ff8002c61b8 (__TEXT,__text) external ___sclose
00007ff84004dae0 (__DATA,__bss) non-external ___scounted
00007ff8400584c8 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff8002a9b8b (__TEXT,__text) external ___set_ones_D2A
00007ff8002e549c (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff8002ba7ff (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff84004da88 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff84004da90 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff8002edc49 (__TEXT,__text) non-external ___setup_vars
00007ff8002bfb95 (__TEXT,__text) external ___sflags
00007ff8002bedb9 (__TEXT,__text) external ___sflush
00007ff8002bf746 (__TEXT,__text) external ___sfp
00007ff8002bfad4 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff8002c12b9 (__TEXT,__text) external ___sfvwrite
00007ff84004b7f0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff8002bf906 (__TEXT,__text) external ___sinit
00007ff8002bef94 (__TEXT,__text) external ___slbexpand
00007ff8002c1f44 (__TEXT,__text) external ___smakebuf
00007ff8002fc217 (__TEXT,__text) external ___snprintf_chk
00007ff8002fc2b5 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff8002a12be (__TEXT,__text) external ___split_page
00007ff8002d2198 (__TEXT,__text) non-external ___sprint
00007ff8002fc479 (__TEXT,__text) external ___sprintf_chk
00007ff8002fc545 (__TEXT,__text) external ___sprintf_object_size_chk
00007ff8002c6188 (__TEXT,__text) external ___sread
00007ff8002c5890 (__TEXT,__text) external ___srefill
00007ff8002c56df (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff8002c5837 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff8002c5963 (__TEXT,__text) external ___srget
00007ff8002c61aa (__TEXT,__text) external ___sseek
00007ff8002df386 (__TEXT,__text) external ___stack_chk_fail
00007ff8400584f0 (__DATA,__common) external ___stack_chk_guard
00007ff84004b7d0 (__DATA,__data) external ___stderrp
00007ff84004b7c0 (__DATA,__data) external ___stdinp
00007ff84004f2f0 (__DATA,__bss) non-external ___stdout_evp
00007ff84004b7c8 (__DATA,__data) external ___stdoutp
00007ff8002fc424 (__TEXT,__text) external ___stpcpy_chk
00007ff8002fc624 (__TEXT,__text) external ___stpncpy_chk
00007ff8002fc360 (__TEXT,__text) external ___strcat_chk
00007ff8002a8283 (__TEXT,__text) external ___strcp_D2A
00007ff8002fc177 (__TEXT,__text) external ___strcpy_chk
00007ff84004dae8 (__DATA,__bss) non-external ___stream_max
00007ff8400583c8 (__DATA,__bss) non-external ___strerror_ebuf
00007ff8002fbefb (__TEXT,__text) external ___strlcat_chk
00007ff8002fc033 (__TEXT,__text) external ___strlcpy_chk
00007ff8002fc07e (__TEXT,__text) external ___strncat_chk
00007ff8002fc108 (__TEXT,__text) external ___strncpy_chk
00007ff8002a9f43 (__TEXT,__text) external ___strtodg
00007ff8002aba74 (__TEXT,__text) external ___strtopdd
00007ff8002fe680 (__TEXT,__const) non-external ___strtopdd.fpi0
00007ff8002abe3c (__TEXT,__text) external ___strtopx
00007ff84004b1c0 (__DATA,__data) non-external ___strtopx.fpi0
00007ff8002abff0 (__TEXT,__text) external ___sum_D2A
00007ff8002cdc77 (__TEXT,__text) external ___svfscanf
00007ff8002cb971 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff8002fed60 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff8002d5060 (__TEXT,__text) external ___swbuf
00007ff8002c213f (__TEXT,__text) external ___swhatbuf
00007ff8002c6199 (__TEXT,__text) external ___swrite
00007ff8002d5411 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___sysctlbyname (from libsystem_kernel)
00007ff84004baf8 (__DATA,__data) non-external ___systemfn_mutex
00007ff84004bbf0 (__DATA,__data) non-external ___systemfn_mutex
00007ff8002fe470 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff8002957b4 (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff8002955b8 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff8002dbb8a (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff8400583c0 (__DATA,__bss) non-external ___time_load_locale.cache
