                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00007ff8436b44b0 (__DATA,__data) external _CMFSSEAM_DEFAULT
00007ff8410f62e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.24
00007ff8410f6680 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.259
00007ff8410f6310 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.26
00007ff8410f73d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.26.852
00007ff8410f7400 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00007ff8410f6340 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00007ff8410f7430 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28.855
00007ff8410f6b10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.29
00007ff8410f62a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3
00007ff8410f6860 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.332
00007ff8410f69a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.377
00007ff8410f6c60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.596
00007ff8410f6db0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.629
00007ff8410f6ea0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.662
00007ff8410f7098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.3.793
00007ff8410f6370 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00007ff8410f63b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.31
00007ff8410f6740 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.316
00007ff8410f6b50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ff8410f7460 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32.856
00007ff8410f6800 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.322
00007ff8410f63e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.33
00007ff8410f7490 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.34
00007ff8410f6410 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35
00007ff8410f74c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35.861
00007ff8410f6440 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00007ff8410f74f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36.862
00007ff8410f7520 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00007ff8410f6940 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.370
00007ff8410f7550 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.39
00007ff8410f62c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4
00007ff8410f6880 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4.334
00007ff8410f6c90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4.597
00007ff8410f7100 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.4.808
00007ff8410f7580 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00007ff8410f75b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.42
00007ff8410f6a50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.445
00007ff8410f75e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00007ff8410f6a90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.453
00007ff8410f6ad0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.460
00007ff8410f7610 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00007ff8410f7640 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.48
00007ff8410f61c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5
00007ff8410f68b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5.357
00007ff8410f7130 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.5.806
00007ff8410f6b90 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.527
00007ff8410f7670 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.53
00007ff8410f76a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00007ff8410f76d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00007ff8410f7700 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.56
00007ff8410f6bd0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.561
00007ff8410f6780 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00007ff8410f68e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6.359
00007ff8410f6ee0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6.664
00007ff8410f7160 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6.817
00007ff8410f7730 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00007ff8410f7760 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.61
00007ff8410f6d20 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.617
00007ff8410f7790 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.62
00007ff8410f77c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.63
00007ff8410f77f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.64
00007ff8410f6650 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.65
00007ff8410f7820 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.65.879
00007ff8410f6e60 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.658
00007ff8410f6910 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7
00007ff8410f69e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7.387
00007ff8410f6cc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7.598
00007ff8410f7190 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.7.831
00007ff8410f6fe0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.738
00007ff8410f7008 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.760
00007ff8410f7850 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.77
00007ff8410f7038 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.784
00007ff8410f7880 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.79
00007ff8410f67a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8
00007ff8410f6cf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8.600
00007ff8410f71c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.8.833
00007ff8410f78b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.80
00007ff8410f70d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.804
00007ff8410f78e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.81
00007ff8410f7910 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.82
00007ff8410f7940 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00007ff8410f7970 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.88
00007ff8410f79a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.89
00007ff8410f66e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00007ff8410f6f10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9.665
00007ff8410f71f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9.832
00007ff8410f79e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.92
00007ff8410f7a10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.95
00007ff8410f6390 (__DATA_CONST,__const) non-external ___block_literal_global
00007ff8410f7a90 (__DATA_CONST,__const) non-external ___block_literal_global.108
00007ff8410f6f90 (__DATA_CONST,__const) non-external ___block_literal_global.14
00007ff8410f6b30 (__DATA_CONST,__const) non-external ___block_literal_global.30
00007ff8410f6760 (__DATA_CONST,__const) non-external ___block_literal_global.306
00007ff8410f6b70 (__DATA_CONST,__const) non-external ___block_literal_global.33
00007ff8410f69c0 (__DATA_CONST,__const) non-external ___block_literal_global.376
00007ff8410f6ec0 (__DATA_CONST,__const) non-external ___block_literal_global.4
00007ff8410f6a70 (__DATA_CONST,__const) non-external ___block_literal_global.444
00007ff8410f6ab0 (__DATA_CONST,__const) non-external ___block_literal_global.452
00007ff8410f6af0 (__DATA_CONST,__const) non-external ___block_literal_global.459
00007ff8410f6bb0 (__DATA_CONST,__const) non-external ___block_literal_global.526
00007ff8410f6e80 (__DATA_CONST,__const) non-external ___block_literal_global.654
00007ff8410f6a00 (__DATA_CONST,__const) non-external ___block_literal_global.8
00007ff8410f79c0 (__DATA_CONST,__const) non-external ___block_literal_global.898
00007ff8410f67c0 (__DATA_CONST,__const) non-external ___block_literal_global.9
                 (undefined) external ___bzero (from libsystem_platform)
00007ff80b98c53e (__TEXT,__text) non-external ___container_acquire_sandbox_extension_block_invoke
00007ff80b9864ca (__TEXT,__text) non-external ___container_bundle_copy_data_container_block_invoke
00007ff80b985a63 (__TEXT,__text) non-external ___container_bundle_copy_data_container_path_block_invoke
00007ff80b98a2e8 (__TEXT,__text) non-external ___container_copy_code_signing_info_for_identifier_block_invoke
00007ff80b98c31d (__TEXT,__text) non-external ___container_copy_from_path_block_invoke
00007ff80b97e93b (__TEXT,__text) non-external ___container_copy_info_block_invoke
00007ff80b9890dd (__TEXT,__text) non-external ___container_copy_info_value_for_key_block_invoke
00007ff80b97efa9 (__TEXT,__text) non-external ___container_copy_object_block_invoke
00007ff80b97e652 (__TEXT,__text) non-external ___container_copy_path_block_invoke
00007ff80b98bc2f (__TEXT,__text) non-external ___container_copy_persona_unique_strings_block_invoke
00007ff80b97ee51 (__TEXT,__text) non-external ___container_copy_sandbox_token_block_invoke
00007ff80b98c846 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke
00007ff80b98d0c5 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke_2
00007ff80b987549 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_current_user_block_invoke
00007ff80b987675 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_platform_block_invoke
00007ff80b987932 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_from_entitlements_4ls_block_invoke
00007ff80b9866a2 (__TEXT,__text) non-external ___container_create_or_lookup_for_current_user_block_invoke
00007ff80b986807 (__TEXT,__text) non-external ___container_create_or_lookup_for_platform_block_invoke
00007ff80b985077 (__TEXT,__text) non-external ___container_create_or_lookup_path_block_invoke
00007ff80b9851a5 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_current_user_block_invoke
00007ff80b98530a (__TEXT,__text) non-external ___container_create_or_lookup_path_for_platform_block_invoke
00007ff80b986d4e (__TEXT,__text) non-external ___container_create_or_lookup_system_group_paths_block_invoke
00007ff80b98b383 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_path_block_invoke
00007ff80b98b4f9 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_relative_path_block_invoke
00007ff80b98a04d (__TEXT,__text) non-external ___container_delete_all_container_content_block_invoke
00007ff80b989e9f (__TEXT,__text) non-external ___container_delete_all_data_container_content_for_current_user_block_invoke
00007ff80b988c7f (__TEXT,__text) non-external ___container_delete_array_of_containers_block_invoke
00007ff80b988b35 (__TEXT,__text) non-external ___container_delete_block_invoke
00007ff80b98b626 (__TEXT,__text) non-external ___container_delete_user_managed_assets_block_invoke
00007ff80b988883 (__TEXT,__text) non-external ___container_delete_with_class_and_identifier_for_current_user_block_invoke
00007ff80b989b90 (__TEXT,__text) non-external ___container_disk_usage_block_invoke
00007ff80b98be22 (__TEXT,__text) non-external ___container_flush_container_cache_block_invoke
00007ff80b98bff2 (__TEXT,__text) non-external ___container_flush_persona_cache_block_invoke
00007ff80b96b06f (__TEXT,__text) non-external ___container_frozenset_enumerate_matches_block_invoke
00007ff80b987e3b (__TEXT,__text) non-external ___container_get_all_with_class_for_current_user_block_invoke
00007ff80b987bda (__TEXT,__text) non-external ___container_group_container_identifiers_for_current_user_block_invoke
00007ff80b979256 (__TEXT,__text) non-external ___container_internal_get_first_boot_uuid_block_invoke
00007ff80b98a51e (__TEXT,__text) non-external ___container_invalidate_code_signing_cache_block_invoke
00007ff80b9797b5 (__TEXT,__text) non-external ___container_log_handle_for_category_block_invoke
00007ff80b980c28 (__TEXT,__text) non-external ___container_object_separate_from_query
00007ff80b972042 (__TEXT,__text) non-external ___container_operation_complete_background_tasks_block_invoke
00007ff80b971679 (__TEXT,__text) non-external ___container_operation_delete_array_block_invoke
00007ff80b97145c (__TEXT,__text) non-external ___container_operation_delete_block_invoke
00007ff80b971cc2 (__TEXT,__text) non-external ___container_operation_delete_reclaim_disk_space_block_invoke
00007ff80b96d864 (__TEXT,__text) non-external ___container_paths_context_set_class_block_invoke
00007ff80b96da5f (__TEXT,__text) non-external ___container_paths_context_set_flags_block_invoke
00007ff80b96db5e (__TEXT,__text) non-external ___container_paths_context_set_persona_unique_string_block_invoke
00007ff80b96d962 (__TEXT,__text) non-external ___container_paths_context_set_transient_block_invoke
00007ff80b96dca4 (__TEXT,__text) non-external ___container_paths_context_set_uid_block_invoke
00007ff80b96fd7f (__TEXT,__text) non-external ___container_paths_copy_container_root_path_for_context_block_invoke
00007ff80b970aef (__TEXT,__text) non-external ___container_paths_copy_uid_home_relative_block_invoke
00007ff80b9704d9 (__TEXT,__text) non-external ___container_paths_create_uid_home_relative_block_invoke
00007ff80b96e9b9 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke
00007ff80b96f4ae (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.23
00007ff80b96f9b2 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.25
00007ff80b96f6b1 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.29
00007ff80b96f73a (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke_2
00007ff80b983dc6 (__TEXT,__text) non-external ___container_perfect_hash_create_block_invoke
00007ff80b98a941 (__TEXT,__text) non-external ___container_perform_data_migration_block_invoke
00007ff80b98ab58 (__TEXT,__text) non-external ___container_perform_data_migration_for_current_user_block_invoke
00007ff80b98c125 (__TEXT,__text) non-external ___container_perform_with_client_context_block_invoke
00007ff80b9795e4 (__TEXT,__text) non-external ___container_persona_collect_all_ids_block_invoke
00007ff80b989919 (__TEXT,__text) non-external ___container_process_restored_container_block_invoke
00007ff80b984f4f (__TEXT,__text) non-external ___container_pwd_copy_user_home_path_block_invoke
00007ff80b984790 (__TEXT,__text) non-external ___container_pwd_for_name_block_invoke
00007ff80b984adc (__TEXT,__text) non-external ___container_pwd_for_uid_block_invoke
00007ff80b97dd37 (__TEXT,__text) non-external ___container_query_copy_block_invoke
00007ff80b97c531 (__TEXT,__text) non-external ___container_query_count_results_block_invoke
00007ff80b97d4f0 (__TEXT,__text) non-external ___container_query_get_single_result_block_invoke
00007ff80b97d2ca (__TEXT,__text) non-external ___container_query_iterate_results_sync_block_invoke
00007ff80b97d781 (__TEXT,__text) non-external ___container_query_iterate_results_with_identifier_sync_block_invoke
00007ff80b97dabb (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke
00007ff80b97dae3 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke.5
00007ff80b98937d (__TEXT,__text) non-external ___container_recreate_structure_block_invoke
00007ff80b973dd9 (__TEXT,__text) non-external ___container_references_add_block_invoke
00007ff80b9755a6 (__TEXT,__text) non-external ___container_references_iterate_by_group_sync_block_invoke
00007ff80b974a29 (__TEXT,__text) non-external ___container_references_iterate_by_owner_sync_block_invoke
00007ff80b973baa (__TEXT,__text) non-external ___container_references_operation_set_flags_block_invoke
00007ff80b974882 (__TEXT,__text) non-external ___container_references_remove_block_invoke
00007ff80b973529 (__TEXT,__text) non-external ___container_references_set_class_block_invoke
00007ff80b97397f (__TEXT,__text) non-external ___container_references_set_persona_unique_string_block_invoke
00007ff80b97385c (__TEXT,__text) non-external ___container_references_set_uid_block_invoke
00007ff80b9895ad (__TEXT,__text) non-external ___container_regenerate_uuid_block_invoke
00007ff80b98d201 (__TEXT,__text) non-external ___container_repair_user_data_block_invoke
00007ff80b987fd4 (__TEXT,__text) non-external ___container_replace_block_invoke
00007ff80b97ac62 (__TEXT,__text) non-external ___container_seam_fs_ensure_lazy_loaded_block_invoke
00007ff80b988667 (__TEXT,__text) non-external ___container_set_code_signing_info_for_identifier_block_invoke
00007ff80b98a688 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke
00007ff80b98a7e9 (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke_2
00007ff80b988e19 (__TEXT,__text) non-external ___container_set_info_value_block_invoke
00007ff80b96ba8d (__TEXT,__text) non-external ___container_set_test_lock_block_invoke
00007ff80b98acc4 (__TEXT,__text) non-external ___container_stage_shared_system_content_block_invoke
00007ff80b98219e (__TEXT,__text) non-external ___container_string_rom_create_block_invoke
00007ff80b98b870 (__TEXT,__text) non-external ___container_subdirectories_for_class_block_invoke
00007ff80b986b77 (__TEXT,__text) non-external ___container_system_group_path_for_identifier_block_invoke
00007ff80b9869a2 (__TEXT,__text) non-external ___container_system_path_for_identifier_block_invoke
00007ff80b96b8c8 (__TEXT,__text) non-external ___container_test_set_locks_and_restart_block_invoke
00007ff80b98af38 (__TEXT,__text) non-external ___container_user_managed_assets_path_block_invoke
00007ff80b98b20b (__TEXT,__text) non-external ___container_user_managed_assets_relative_path_block_invoke
00007ff80b972b05 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke
00007ff80b9732c0 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke_2
00007ff80b969ae0 (__TEXT,__text) non-external ___container_xpc_decode_create_container_object_array_block_invoke
00007ff80b975766 (__TEXT,__text) non-external ___container_xpc_send_message_block_invoke
00007ff80b975f6c (__TEXT,__text) non-external ___container_xpc_send_sync_message_block_invoke
00007ff8410f7000 (__DATA_CONST,__const) non-external ___containermanager_what
00007ff80b96fb34 (__TEXT,__text) non-external ___copy_helper_block_8_32b
00007ff80b96fb5e (__TEXT,__text) non-external ___copy_helper_block_8_32b40r
00007ff80b96f6b7 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r
00007ff80b96f3f9 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r56r
00007ff80b96b0dd (__TEXT,__text) non-external ___copy_helper_block_8_32r
00007ff80b969b50 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r
00007ff80b9708e6 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r
00007ff80b96fb4b (__TEXT,__text) non-external ___destroy_helper_block_8_32b
00007ff80b96fb96 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r
00007ff80b96f701 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r
00007ff80b96f455 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r56r
00007ff80b96b0f4 (__TEXT,__text) non-external ___destroy_helper_block_8_32r
00007ff80b969b88 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r
00007ff80b970930 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libsystem_kernel)
00007ff8436b4c10 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.notify_token
00007ff8436b4c18 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.onceToken
00007ff8436b4c08 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.queue
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
                 (undefined) external ___xpc_connection_set_logging (from libxpc)
00007ff80b975b28 (__TEXT,__text) non-external __block_invoke
00007ff80b985b3d (__TEXT,__text) non-external __common_bundle_lookup
00007ff80b98a96f (__TEXT,__text) non-external __common_perform_data_migration
00007ff80b98af72 (__TEXT,__text) non-external __common_user_managed_assets_path
00007ff80b973e20 (__TEXT,__text) non-external __container_add_remove
00007ff80b9884a0 (__TEXT,__text) non-external __container_async_reclaim_disk_space
00007ff8436b4c58 (__DATA,__bss) non-external __container_async_reclaim_disk_space.onceToken
00007ff8436b4c50 (__DATA,__bss) non-external __container_async_reclaim_disk_space.queue
00007ff80b981199 (__TEXT,__text) non-external __container_base64_decode
00007ff80b976534 (__TEXT,__text) non-external __container_entitlements_append_strings_to_array
00007ff80b9765aa (__TEXT,__text) external __container_init
00007ff80b9853eb (__TEXT,__text) non-external __container_legacy_lookup
00007ff80b986ee4 (__TEXT,__text) non-external __container_legacy_lookup_multiple
00007ff80b97a802 (__TEXT,__text) non-external __container_log_replication_enable_to_uid_relative_path
00007ff8436b491c (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.enabled
00007ff8436b4910 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.g_log_hook
00007ff8436b4918 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.lock
00007ff8436b44ac (__DATA,__data) non-external __container_log_replication_enable_to_uid_relative_path.log_fd
00007ff8436b4920 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.onceToken
00007ff8410f6570 (__DATA_CONST,__const) non-external __container_paths_definition_from_type.definitions
00007ff8410f6470 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._relative_paths
00007ff8410f64f0 (__DATA_CONST,__const) non-external __container_paths_get_volume_relative_path._transient_relative_paths
