00007ffb005712f2 (__TEXT,__text) non-external _DiToMD5
00007ffb00559e4d (__TEXT,__text) external _IOLockFree
00007ffb00559e63 (__TEXT,__text) external _IOLockLock
00007ffb00559e6d (__TEXT,__text) external _IOLockTryLock
00007ffb00559e77 (__TEXT,__text) external _IOLockUnlock
00007ffb00556f66 (__TEXT,__text) external _IOLog
00007ffb00556e26 (__TEXT,__text) external _IOLogBuffer
00007ffb00557004 (__TEXT,__text) external _IOLogv
00007ffb0055710d (__TEXT,__text) external _IOMalloc
00007ffb00557171 (__TEXT,__text) external _IOMallocData
00007ffb00557128 (__TEXT,__text) external _IOMallocTyped
00007ffb00557143 (__TEXT,__text) external _IOMallocZero
00007ffb0055718c (__TEXT,__text) external _IOMallocZeroData
00007ffb00557155 (__TEXT,__text) external _IOMallocZeroTyped
00007ffb40023908 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb40023ab8 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb0055724b (__TEXT,__text) external _IOParseBootArgNumber
00007ffb005576b5 (__TEXT,__text) external _IOParseBootArgString
00007ffb0055904d (__TEXT,__text) external _IORPCMessageFromMach
00007ffb00581ada (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb00581b0f (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb0055a080 (__TEXT,__text) external _IORWLockAlloc
00007ffb00581e57 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb0055a0b9 (__TEXT,__text) external _IORWLockFree
00007ffb0055a0e0 (__TEXT,__text) external _IORWLockRead
00007ffb00581e7a (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb0055a10c (__TEXT,__text) external _IORWLockUnlock
00007ffb00581ec0 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb0055a0f6 (__TEXT,__text) external _IORWLockWrite
00007ffb00581e9d (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb00559efa (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb00559f26 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffb00559fe8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb00581dee (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb00559f3c (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb00581d62 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb00581d85 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb0055a01c (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb00581e11 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb00581e34 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb00559f94 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb00581da8 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb00581dcb (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb00559e9e (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb00559eba (__TEXT,__text) external _IORecursiveLockFree
00007ffb00559ee6 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb00559ed0 (__TEXT,__text) external _IORecursiveLockLock
00007ffb00559ef0 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb00559edc (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb40023ee8 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb40023c68 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb400242f0 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb40024450 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb40024140 (__DATA_CONST,__const) external _IOService_Class
00007ffb40023d08 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb005571a8 (__TEXT,__text) external _IOSleep
00007ffb40023da8 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb0055a187 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb0055a122 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb0055a151 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb0055a166 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb400260c0 (__DATA_CONST,__const) external _IOThread_Class
00007ffb400245b0 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb40024760 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb0055a7c4 (__TEXT,__text) external _IOUserServerMain
00007ffb0058216a (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb005822a5 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb0058218d (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb005821b0 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb005821d3 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb005821f6 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb00582219 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb0058223c (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb0058225f (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb00582282 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb40024a40 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb442a6030 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb40024bf0 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb0057145b (__TEXT,__text) external _MD5Final
00007ffb00571270 (__TEXT,__text) external _MD5Init
00007ffb005713ef (__TEXT,__text) non-external _MD5ToDi
00007ffb0057134b (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb40024d50 (__DATA_CONST,__const) external _OSAction_Class
00007ffb40024800 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb40025e50 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb005633c0 (__TEXT,__text) external _OSArrayAppendValue
00007ffb00563035 (__TEXT,__text) external _OSArrayApply
00007ffb00562fee (__TEXT,__text) external _OSArrayCreate
00007ffb005626b2 (__TEXT,__text) external _OSArrayGetCount
00007ffb0056344e (__TEXT,__text) external _OSArrayGetStringValue
00007ffb005634be (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb005633f4 (__TEXT,__text) external _OSArrayGetValue
00007ffb005633b1 (__TEXT,__text) external _OSArrayReplaceValue
00007ffb00563479 (__TEXT,__text) external _OSArraySetStringValue
00007ffb00563584 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb00563211 (__TEXT,__text) external _OSArraySetValue
00007ffb40024f00 (__DATA_CONST,__const) external _OSArray_Class
00007ffb40024ff8 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb400250f0 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb0056137f (__TEXT,__text) external _OSCollectionTypeID
00007ffb00582e06 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb005612fc (__TEXT,__text) external _OSCollectionTypeName
00007ffb00582dc2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb400251e8 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb00565bfe (__TEXT,__text) external _OSCollectionsInitialize
00007ffb400252e0 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb005613e3 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb00582e4c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb00563ec1 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb0058337a (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb00563dd0 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb0056254f (__TEXT,__text) external _OSDataAppendBytes
00007ffb005624b9 (__TEXT,__text) external _OSDataCreate
00007ffb00582fec (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb00562465 (__TEXT,__text) external _OSDataGetBytes
00007ffb0056241c (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb00562454 (__TEXT,__text) external _OSDataGetLength
00007ffb40025440 (__DATA_CONST,__const) external _OSData_Class
00007ffb005626bf (__TEXT,__text) external _OSDictionaryApply
00007ffb0056265e (__TEXT,__text) external _OSDictionaryCreate
00007ffb005626a5 (__TEXT,__text) external _OSDictionaryGetCount
00007ffb00562d6d (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb00562f14 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb00562ce8 (__TEXT,__text) external _OSDictionaryGetValue
00007ffb00562ecf (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb00562fb0 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb0056297a (__TEXT,__text) external _OSDictionarySetValue
00007ffb40025538 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb40025630 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb00562608 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb005625e7 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb40025728 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb00564446 (__TEXT,__text) external _OSObjectLog
00007ffb00561337 (__TEXT,__text) external _OSObjectRelease
00007ffb0056132c (__TEXT,__text) external _OSObjectRetain
00007ffb40025820 (__DATA_CONST,__const) external _OSObject_Class
00007ffb400259d0 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb005576c4 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb00563fe6 (__TEXT,__text) external _OSSerializationGetBytes
00007ffb40025ac8 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb40025bc0 (__DATA_CONST,__const) external _OSSet_Class
00007ffb00561eb6 (__TEXT,__text) external _OSStringCreate
00007ffb00582efb (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb00582f1e (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb00582f3f (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb00561e6b (__TEXT,__text) external _OSStringGetLength
00007ffb00561e32 (__TEXT,__text) external _OSStringGetStringPtr
00007ffb40025cb8 (__DATA_CONST,__const) external _OSString_Class
00007ffb005571c2 (__TEXT,__text) external _OSSynchronizeIO
00007ffb40dfbb40 (__DATA,__bss) non-external _OSUniqueStrings
00007ffb005579ed (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb005716db (__TEXT,__text) external _SHA1Final
00007ffb005714f0 (__TEXT,__text) external _SHA1Init
00007ffb00571678 (__TEXT,__text) non-external _SHA1ToDi
00007ffb005715d3 (__TEXT,__text) external _SHA1Update
00007ffb00571ede (__TEXT,__text) external _SHA256_Final
00007ffb00571e6b (__TEXT,__text) external _SHA256_Init
00007ffb00583af0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb00571eab (__TEXT,__text) external _SHA256_Update
00007ffb00571f7c (__TEXT,__text) external _SHA384_Final
00007ffb00571f03 (__TEXT,__text) external _SHA384_Init
00007ffb00583b09 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb00571f49 (__TEXT,__text) external _SHA384_Update
00007ffb0057201a (__TEXT,__text) external _SHA512_Final
00007ffb00571fa1 (__TEXT,__text) external _SHA512_Init
00007ffb00583b22 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb00571fe7 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb0055850a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb0057203f (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb40025db0 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffb0055887a (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffb00581894 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffb005818b7 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffb0055a191 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffb00581ee3 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffb00581f06 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffb00581f29 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffb00581f4c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffb00581f6f (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffb0055928e (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffb00581bbe (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffb00581be1 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffb00581c04 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffb00581c27 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffb00558b24 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffb00581943 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffb005633d6 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffb00565ba8 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffb005586b8 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffb0058182b (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffb0058184e (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffb00581871 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffb005634e9 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffb00563559 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffb00563514 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffb005588cf (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffb005638e4 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffb00583262 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb00583285 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb005832a8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb005832cb (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffb005832ee (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffb00583311 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffb00556cde (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffb00556dd6 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffb00558de2 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffb00581987 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffb00558ed8 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffb0055a5a2 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffb0055862b (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffb00558593 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffb00564004 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffb0058339d (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffb00558a25 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffb005818fd (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffb00581920 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffb005613ac (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffb00582e29 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffb00561342 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffb00582de3 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffb00555b70 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffb005623cc (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffb005635c2 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffb00583078 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffb0058309b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffb005830be (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffb005830e1 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffb00583104 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffb00562398 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffb005625cb (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffb005636f9 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffb00583127 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffb0058314a (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffb0058316d (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffb0055a57a (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffb00559ca0 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffb0058051e (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffb00556bee (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffb00557df0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffb005817a7 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffb00560e94 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffb00580432 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffb005650be (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffb00583ff0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffb00581570 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffb0057fe5a (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffb005804a0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffb005805bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffb005805ec (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffb00562183 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffb00562141 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffb00582f62 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffb00580c34 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffb005724fe (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffb005777be (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffb0055fcd9 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffb00582b5f (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffb00582b82 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffb00582ba5 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffb00580470 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffb005776ce (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffb0055b8c2 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffb005825eb (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffb0058260e (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffb00582631 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffb00582654 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffb00574c1c (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffb0057743e (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffb0057f804 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffb005804ee (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffb0055a3ec (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffb00582087 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffb005820aa (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffb005820cd (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffb005820f0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffb0055b019 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffb005823f0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffb00582413 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffb00582436 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffb00582459 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffb005608af (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffb00582c54 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffb00582c77 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffb00582c9a (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffb00582cbd (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffb00582ce0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffb00582d03 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffb00582d26 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffb40dfbb18 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00007ffb0057256c (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007ffb0057e060 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007ffb0057ef5c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00007ffb005804d0 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00007ffb00560865 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00007ffb0055a286 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
