000000018bb22348 (__TEXT,__const) non-external _KW_ANY
000000018bb098c8 (__TEXT,__text) external _XML_SetEncoding
000000018bb0a728 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018bb0a770 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018bb0a6e0 (__TEXT,__text) external _XML_SetEndElementHandler
000000018bb0a7ac (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018bb0a81c (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018bb0a7c4 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018bb0a7d0 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018bb0a85c (__TEXT,__text) external _XML_SetHashSalt
000000018bb0a794 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018bb0a7b8 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018bb0a788 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018bb0a834 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018bb0a6f8 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018bb0a59c (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018bb0a7e8 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018bb0a71c (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018bb0a764 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018bb0a6d4 (__TEXT,__text) external _XML_SetStartElementHandler
000000018bb0a7a0 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018bb0a7f4 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018bb0a77c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018bb0a5c4 (__TEXT,__text) external _XML_SetUserData
000000018bb0a828 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018bb0ae84 (__TEXT,__text) external _XML_StopParser
000000018bb0a568 (__TEXT,__text) external _XML_UseForeignDTD
000000018bb0a55c (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018bb14c54 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018bb151dc (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018bb14c48 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018bb151d0 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018bb14c60 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018bb151e8 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018bb146a4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018bb153f4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018bb14d8c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018bb152a4 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018bb12474 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018bb125b4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018bb1469c (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018bb1464c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018bb14590 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018bb144e4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018bb0ce74 (__TEXT,__text) non-external _accountingDiffTolerated
000000018bb21488 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018bb0ea9c (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018bb214b4 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018bb0eae0 (__TEXT,__text) non-external _accountingReportStats
000000018bb11078 (__TEXT,__text) non-external _addBinding
000000018bb22132 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018bb22157 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018bb11380 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001dabaf160 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001dabafa70 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018bb1d1c8 (__TEXT,__text) non-external _ascii_toUtf8
000000018bb12c48 (__TEXT,__text) non-external _attlist0
000000018bb1360c (__TEXT,__text) non-external _attlist1
000000018bb136b0 (__TEXT,__text) non-external _attlist2
00000001d2036958 (__DATA_CONST,__const) non-external _attlist2.types
000000018bb13960 (__TEXT,__text) non-external _attlist3
000000018bb13af8 (__TEXT,__text) non-external _attlist4
000000018bb1390c (__TEXT,__text) non-external _attlist5
000000018bb13a28 (__TEXT,__text) non-external _attlist6
000000018bb13a88 (__TEXT,__text) non-external _attlist7
000000018bb137d0 (__TEXT,__text) non-external _attlist8
000000018bb139c8 (__TEXT,__text) non-external _attlist9
000000018bb1f474 (__TEXT,__text) non-external _big2_attributeValueTok
000000018bb1f00c (__TEXT,__text) non-external _big2_cdataSectionTok
000000018bb1fcac (__TEXT,__text) non-external _big2_charRefNumber
000000018bb20ca8 (__TEXT,__text) non-external _big2_checkPiTarget
000000018bb1dda4 (__TEXT,__text) non-external _big2_contentTok
00000001dabaedc0 (__AUTH_CONST,__const) non-external _big2_encoding
00000001dabaf6d0 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018bb1f5dc (__TEXT,__text) non-external _big2_entityValueTok
000000018bb1f88c (__TEXT,__text) non-external _big2_getAtts
000000018bb1f2a8 (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018bb1ffdc (__TEXT,__text) non-external _big2_isPublicId
000000018bb1f7a8 (__TEXT,__text) non-external _big2_nameLength
000000018bb1f75c (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018bb1fd8c (__TEXT,__text) non-external _big2_predefinedEntityName
000000018bb1d214 (__TEXT,__text) non-external _big2_prologTok
000000018bb22a8b (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018bb20b10 (__TEXT,__text) non-external _big2_scanComment
000000018bb202b8 (__TEXT,__text) non-external _big2_scanLit
000000018bb20894 (__TEXT,__text) non-external _big2_scanPercent
000000018bb20430 (__TEXT,__text) non-external _big2_scanPi
000000018bb20d44 (__TEXT,__text) non-external _big2_scanRef
000000018bb1f848 (__TEXT,__text) non-external _big2_skipS
000000018bb20224 (__TEXT,__text) non-external _big2_toUtf16
000000018bb20090 (__TEXT,__text) non-external _big2_toUtf8
000000018bb1fee0 (__TEXT,__text) non-external _big2_updatePosition
000000018bb11ae4 (__TEXT,__text) non-external _build_node
                 (undefined) external _bzero (from libSystem)
000000018bb10e80 (__TEXT,__text) non-external _cdataSectionProcessor
000000018bb14938 (__TEXT,__text) non-external _checkCharRefNumber
000000018bb13268 (__TEXT,__text) non-external _condSect0
000000018bb13340 (__TEXT,__text) non-external _condSect1
000000018bb133b0 (__TEXT,__text) non-external _condSect2
000000018bb0d7d0 (__TEXT,__text) non-external _contentProcessor
000000018bb122b8 (__TEXT,__text) non-external _copyEntityTable
000000018bb09938 (__TEXT,__text) non-external _copyString
000000018bb130e8 (__TEXT,__text) non-external _declClose
000000018bb0db60 (__TEXT,__text) non-external _defineAttribute
000000018bb10b9c (__TEXT,__text) non-external _doCdataSection
000000018bb0ee90 (__TEXT,__text) non-external _doContent
000000018bb0e350 (__TEXT,__text) non-external _doIgnoreSection
000000018bb14de8 (__TEXT,__text) non-external _doParseXmlDecl
000000018bb0b6bc (__TEXT,__text) non-external _doProlog
000000018bb22242 (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018bb2225f (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018bb22258 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018bb22248 (__TEXT,__const) non-external _doProlog.atypeID
000000018bb2224b (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018bb22251 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018bb22268 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018bb22270 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018bb2145c (__TEXT,__text) non-external _doProlog.cold.1
000000018bb22027 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018bb22029 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018bb2201d (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018bb126f4 (__TEXT,__text) non-external _doctype0
000000018bb12760 (__TEXT,__text) non-external _doctype1
000000018bb12b78 (__TEXT,__text) non-external _doctype2
000000018bb12b18 (__TEXT,__text) non-external _doctype3
000000018bb14468 (__TEXT,__text) non-external _doctype4
000000018bb12d68 (__TEXT,__text) non-external _doctype5
000000018bb12cac (__TEXT,__text) non-external _element0
000000018bb13b68 (__TEXT,__text) non-external _element1
000000018bb13c88 (__TEXT,__text) non-external _element2
000000018bb13dec (__TEXT,__text) non-external _element3
000000018bb14140 (__TEXT,__text) non-external _element4
000000018bb141a4 (__TEXT,__text) non-external _element5
000000018bb13e9c (__TEXT,__text) non-external _element6
000000018bb13fbc (__TEXT,__text) non-external _element7
00000001d20369c8 (__DATA_CONST,__const) non-external _encodings
00000001d2036a00 (__DATA_CONST,__const) non-external _encodingsNS
000000018bb12bd8 (__TEXT,__text) non-external _entity0
000000018bb12dc8 (__TEXT,__text) non-external _entity1
000000018bb1315c (__TEXT,__text) non-external _entity10
000000018bb12e28 (__TEXT,__text) non-external _entity2
000000018bb13470 (__TEXT,__text) non-external _entity3
000000018bb13410 (__TEXT,__text) non-external _entity4
000000018bb134d0 (__TEXT,__text) non-external _entity5
000000018bb135a4 (__TEXT,__text) non-external _entity6
000000018bb12f28 (__TEXT,__text) non-external _entity7
000000018bb13088 (__TEXT,__text) non-external _entity8
000000018bb13028 (__TEXT,__text) non-external _entity9
000000018bb0e868 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018bb11a40 (__TEXT,__text) non-external _entityTrackingReportStats
000000018bb214e0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018bb11e88 (__TEXT,__text) non-external _entityValueInitProcessor
000000018bb12184 (__TEXT,__text) non-external _entityValueProcessor
000000018bb10998 (__TEXT,__text) non-external _epilogProcessor
000000018bb12758 (__TEXT,__text) non-external _error
000000018bb0aacc (__TEXT,__text) non-external _errorProcessor
000000018bb1131c (__TEXT,__text) non-external _externalEntityContentProcessor
000000018bb0a3b0 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018bb11c5c (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018bb11d78 (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018bb0a42c (__TEXT,__text) non-external _externalParEntInitProcessor
000000018bb1204c (__TEXT,__text) non-external _externalParEntProcessor
000000018bb125cc (__TEXT,__text) non-external _externalSubset0
000000018bb131d8 (__TEXT,__text) non-external _externalSubset1
000000018bb150dc (__TEXT,__text) non-external _findEncoding
000000018bb15300 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018bb10938 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018bb0d8c4 (__TEXT,__text) non-external _getAttributeId
000000018bb0b42c (__TEXT,__text) non-external _getDebugLevel
000000018bb0d834 (__TEXT,__text) non-external _getElementType
000000018bb14cdc (__TEXT,__text) non-external _getEncodingIndex
00000001d2036998 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018bb0b5b0 (__TEXT,__text) non-external _handleUnknownEncoding
000000018bb0eb58 (__TEXT,__text) non-external _hash
000000018bb1224c (__TEXT,__text) non-external _hashTableDestroy
000000018bb0e4f4 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018bb22279 (__TEXT,__const) non-external _implicitContext
000000018bb1cfdc (__TEXT,__text) non-external _initScan
000000018bb14d60 (__TEXT,__text) non-external _initScanContent
000000018bb15284 (__TEXT,__text) non-external _initScanContentNS
000000018bb14d40 (__TEXT,__text) non-external _initScanProlog
000000018bb15264 (__TEXT,__text) non-external _initScanPrologNS
000000018bb14d80 (__TEXT,__text) non-external _initUpdatePosition
000000018bb0b4a4 (__TEXT,__text) non-external _initializeEncoding
000000018bb11820 (__TEXT,__text) non-external _internalEntityProcessor
000000018bb12878 (__TEXT,__text) non-external _internalSubset
00000001dabae680 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001dabaea20 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001dabae4b0 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001dabae850 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018bb18f9c (__TEXT,__text) non-external _isNever
00000001dabae2e0 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001dabaf330 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018bb17fdc (__TEXT,__text) non-external _latin1_toUtf16
000000018bb17f44 (__TEXT,__text) non-external _latin1_toUtf8
000000018bb1b378 (__TEXT,__text) non-external _little2_attributeValueTok
000000018bb1af10 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018bb1bbbc (__TEXT,__text) non-external _little2_charRefNumber
000000018bb1cba8 (__TEXT,__text) non-external _little2_checkPiTarget
000000018bb19d04 (__TEXT,__text) non-external _little2_contentTok
00000001dabaef90 (__AUTH_CONST,__const) non-external _little2_encoding
00000001dabaf8a0 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018bb1b4e0 (__TEXT,__text) non-external _little2_entityValueTok
000000018bb1b79c (__TEXT,__text) non-external _little2_getAtts
000000018bb1b1ac (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018bb1bee8 (__TEXT,__text) non-external _little2_isPublicId
000000018bb1b6ac (__TEXT,__text) non-external _little2_nameLength
000000018bb1b660 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018bb1bc98 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018bb19174 (__TEXT,__text) non-external _little2_prologTok
000000018bb1ca10 (__TEXT,__text) non-external _little2_scanComment
000000018bb1c1bc (__TEXT,__text) non-external _little2_scanLit
000000018bb1c790 (__TEXT,__text) non-external _little2_scanPercent
000000018bb1c334 (__TEXT,__text) non-external _little2_scanPi
000000018bb1cc44 (__TEXT,__text) non-external _little2_scanRef
000000018bb1b74c (__TEXT,__text) non-external _little2_skipS
000000018bb1c130 (__TEXT,__text) non-external _little2_toUtf16
000000018bb1bf9c (__TEXT,__text) non-external _little2_toUtf8
000000018bb1bdec (__TEXT,__text) non-external _little2_updatePosition
000000018bb0d41c (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018bb22958 (__TEXT,__const) non-external _namePages
000000018bb22358 (__TEXT,__const) non-external _namingBitmap
000000018bb0e5a4 (__TEXT,__text) non-external _nextScaffoldPart
000000018bb22858 (__TEXT,__const) non-external _nmstrtPages
000000018bb17524 (__TEXT,__text) non-external _normal_attributeValueTok
000000018bb17090 (__TEXT,__text) non-external _normal_cdataSectionTok
000000018bb17be8 (__TEXT,__text) non-external _normal_charRefNumber
000000018bb189b8 (__TEXT,__text) non-external _normal_checkPiTarget
000000018bb15f78 (__TEXT,__text) non-external _normal_contentTok
000000018bb1768c (__TEXT,__text) non-external _normal_entityValueTok
000000018bb178b4 (__TEXT,__text) non-external _normal_getAtts
000000018bb1734c (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018bb17e98 (__TEXT,__text) non-external _normal_isPublicId
000000018bb1782c (__TEXT,__text) non-external _normal_nameLength
000000018bb177e8 (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018bb17cc4 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018bb15418 (__TEXT,__text) non-external _normal_prologTok
000000018bb1880c (__TEXT,__text) non-external _normal_scanComment
000000018bb18030 (__TEXT,__text) non-external _normal_scanLit
000000018bb185c4 (__TEXT,__text) non-external _normal_scanPercent
000000018bb181e0 (__TEXT,__text) non-external _normal_scanPi
000000018bb18a3c (__TEXT,__text) non-external _normal_scanRef
000000018bb17878 (__TEXT,__text) non-external _normal_skipS
000000018bb17dac (__TEXT,__text) non-external _normal_updatePosition
000000018bb11c00 (__TEXT,__text) non-external _normalizeLines
000000018bb0d748 (__TEXT,__text) non-external _normalizePublicId
000000018bb12d10 (__TEXT,__text) non-external _notation0
000000018bb14224 (__TEXT,__text) non-external _notation1
000000018bb14364 (__TEXT,__text) non-external _notation2
000000018bb142fc (__TEXT,__text) non-external _notation3
000000018bb143c4 (__TEXT,__text) non-external _notation4
000000018bb21080 (__TEXT,__text) non-external _parsePseudoAttribute
000000018bb09184 (__TEXT,__text) non-external _parserCreate
000000018bb09790 (__TEXT,__text) non-external _parserInit
000000018bb0dadc (__TEXT,__text) non-external _poolAppend
000000018bb0a62c (__TEXT,__text) non-external _poolCopyString
000000018bb0a4fc (__TEXT,__text) non-external _poolDestroy
000000018bb0dc7c (__TEXT,__text) non-external _poolGrow
000000018bb0d3c0 (__TEXT,__text) non-external _poolStoreString
000000018bb0e6ac (__TEXT,__text) non-external _processInternalEntity
000000018bb0d0a4 (__TEXT,__text) non-external _processXmlDecl
000000018bb12498 (__TEXT,__text) non-external _prolog0
000000018bb125f0 (__TEXT,__text) non-external _prolog1
000000018bb12a60 (__TEXT,__text) non-external _prolog2
000000018bb0b3b0 (__TEXT,__text) non-external _prologInitProcessor
000000018bb0b528 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018bb0e9e4 (__TEXT,__text) non-external _reportComment
000000018bb0b1ec (__TEXT,__text) non-external _reportDefault
000000018bb0e8b4 (__TEXT,__text) non-external _reportProcessingInstruction
000000018bb09ee0 (__TEXT,__text) non-external _setContext
000000018bb10f7c (__TEXT,__text) non-external _setElementTypePrefix
000000018bb0ed38 (__TEXT,__text) non-external _sip24_final
000000018bb0ec48 (__TEXT,__text) non-external _sip24_update
000000018bb0ee44 (__TEXT,__text) non-external _sip_round
000000018bb0aa24 (__TEXT,__text) non-external _startParsing
000000018bb0de38 (__TEXT,__text) non-external _storeAttributeValue
000000018bb0ff10 (__TEXT,__text) non-external _storeAtts
000000018bb0dec8 (__TEXT,__text) non-external _storeEntityValue
000000018bb0fe40 (__TEXT,__text) non-external _storeRawNames
000000018bb1cf84 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018bb0b384 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018bb0b390 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018bb14a4c (__TEXT,__text) non-external _unknown_isInvalid
000000018bb14984 (__TEXT,__text) non-external _unknown_isName
000000018bb149e8 (__TEXT,__text) non-external _unknown_isNmstrt
000000018bb14b80 (__TEXT,__text) non-external _unknown_toUtf16
000000018bb14a80 (__TEXT,__text) non-external _unknown_toUtf8
000000018bb0b39c (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001dabaebf0 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001dabaf500 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018bb19038 (__TEXT,__text) non-external _utf8_isInvalid2
000000018bb1906c (__TEXT,__text) non-external _utf8_isInvalid3
000000018bb190f8 (__TEXT,__text) non-external _utf8_isInvalid4
000000018bb18f08 (__TEXT,__text) non-external _utf8_isName2
000000018bb18f4c (__TEXT,__text) non-external _utf8_isName3
000000018bb18fa4 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018bb18fe8 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018bb18dc0 (__TEXT,__text) non-external _utf8_toUtf16
000000018bb18d10 (__TEXT,__text) non-external _utf8_toUtf8
