000000020ccdbd60 (__DATA,__data) non-external _.compoundliteral
00000001e1c0bccc (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001e1c0c080 (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001e1c0e9a0 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001e1b41de8 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001e1b46f4c (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
0000000209f6be08 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001e1c8fb0c (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
000000020f5dbb50 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001e1c8f360 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
0000000209f6de48 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001e1c8fb1c (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001e1c8f310 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001e1c0b910 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001e1c6bd60 (__TEXT,__text) non-external _GetOpRegs
00000001e1c69c74 (__TEXT,__text) non-external _GetOrAddBlock
00000001e1c6eda4 (__TEXT,__text) non-external _GetRegChunk
00000001e1c68464 (__TEXT,__text) non-external _GetRegister
00000001e1c706ac (__TEXT,__text) non-external _GetRegisterIndicies
00000001e1c6ae14 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001e1c0b984 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001e1c7252c (__TEXT,__text) non-external _GetStreamArray
00000001e1c0bcb8 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001e1c0bb04 (__TEXT,__text) non-external _GrowAtomTable
000000020ccdbcd8 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001e1c662ac (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001e1c66230 (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001e1c663ac (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001e1c664fc (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001e1c664f4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001e1c6617c (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001e1c66448 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001e1c6667c (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001e1c665d4 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001e1c667bc (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001e1c66578 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001e1c0b9ac (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001e1c0beac (__TEXT,__text) non-external (was a private external) _InitCPP
00000001e1bf32e8 (__TEXT,__text) non-external (was a private external) _InitReg
00000001e1c0e94c (__TEXT,__text) non-external (was a private external) _InitScanner
00000001e1c689c4 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001e1c69238 (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001e1c68ab0 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001e1c6be9c (__TEXT,__text) non-external _IsBadUsage
00000001e1bf4840 (__TEXT,__text) non-external (was a private external) _Load
00000001e1c0b698 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001e1c0b774 (__TEXT,__text) non-external _LookUpAddStringHash
00000001e1c10b48 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001e1c10bbc (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001e1c0d8fc (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001e1c114f4 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001e1c109a0 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001e1c10c18 (__TEXT,__text) non-external (was a private external) _NewTokenStream
0000000209f6a3d0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
0000000209f6a070 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
0000000209f6a5f0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
0000000209f6a730 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
0000000209f6a230 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
0000000209f6a330 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
0000000209f6a830 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
0000000209f6a3a0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001e1b3d778 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001e1b3d4dc (__TEXT,__text) external _PPParserAttachStream
00000001e1b3d324 (__TEXT,__text) external _PPParserAttachString
00000001e1b45f7c (__TEXT,__text) external _PPParserBuildErrorString
00000001e1b3d240 (__TEXT,__text) external _PPParserCreate
00000001e1b3deb4 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001e1b44cbc (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001e1b3d3f8 (__TEXT,__text) external _PPParserFree
00000001e1b3db90 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001e1b46f34 (__TEXT,__text) external _PPParserGetErrorString
00000001e1b46f44 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001e1b3df08 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001e1b46f10 (__TEXT,__text) external _PPParserGetLimits
00000001e1b46f2c (__TEXT,__text) external _PPParserGetOptions
00000001e1b3dc9c (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001e1b3dfb4 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001e1b46f3c (__TEXT,__text) external _PPParserGetStream
00000001e1b3c098 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001e1b3c0d8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001e1b3c1a0 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001e1b3c124 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001e1b4607c (__TEXT,__text) non-external _PPParserInherit
00000001e1b3d298 (__TEXT,__text) external _PPParserInit
00000001e1b47060 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001e1b3d474 (__TEXT,__text) non-external _PPParserLabelsFree
00000001e1b3bcac (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001e1b3bcd4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001e1b3be5c (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001e1b3bf44 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001e1b3bde8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001e1b3bda8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001e1b3bed8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001e1b46ff4 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001e1b45060 (__TEXT,__text) external _PPParserParse
00000001e1b3ee30 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001e1b42be0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001e1b43f80 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001e1b44af8 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001e1b3e89c (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001e1b412f8 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001e1b41e28 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001e1b3e784 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001e1b42d58 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001e1b3e96c (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001e1b430dc (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001e1b426b0 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001e1b46e64 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001e1b3ebb0 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001e1b42a8c (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001e1b44864 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001e1b4404c (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001e1b461d4 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001e1b3e0c4 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001e1b41f64 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001e1b42580 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001e1b3f76c (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001e1b41174 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001e1b3ea70 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001e1b42864 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001e1b43490 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001e1b462b0 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001e1b4394c (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001e1b437b8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001e1b3f598 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001e1b43c60 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001e1b460c8 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001e1b3c3bc (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001e1b3d2e8 (__TEXT,__text) non-external (was a private external) _PPParserRemoveScope
00000001e1b3dc1c (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001e1b3de30 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001e1b3d07c (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001e1b3c1e0 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001e1b3cfd4 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001e1b3d1b0 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001e1b3d1f8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001e1b3d0d8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001e1b3d138 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveIdentifier
00000001e1b3d174 (__TEXT,__text) non-external (was a private external) _PPParserScopeRemoveMacro
00000001e1b46f18 (__TEXT,__text) external _PPParserSetLimits
00000001e1b46f08 (__TEXT,__text) external _PPParserSetPrefs
00000001e1b3d29c (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001e1b3ef98 (__TEXT,__text) non-external _PPParserValidateName
00000001e1c5f19c (__TEXT,__text) external _PPStreamAddAddressUsage
00000001e1c5f310 (__TEXT,__text) external _PPStreamAddAttribBinding
00000001e1c5f880 (__TEXT,__text) external _PPStreamAddConstant
00000001e1c5f77c (__TEXT,__text) external _PPStreamAddLabel
00000001e1c5f484 (__TEXT,__text) external _PPStreamAddOperation
00000001e1c5f978 (__TEXT,__text) external _PPStreamAddOption
00000001e1c5f38c (__TEXT,__text) external _PPStreamAddOutputBinding
00000001e1c5f218 (__TEXT,__text) external _PPStreamAddParamBinding
00000001e1c5f294 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001e1c5f8fc (__TEXT,__text) external _PPStreamAddRasterOp
00000001e1c5eed8 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001e1c5ef4c (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001e1c5f0a4 (__TEXT,__text) external _PPStreamAddTempUsage
00000001e1c5f120 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001e1c5f408 (__TEXT,__text) external _PPStreamAddTexImage
00000001e1c604ac (__TEXT,__text) external _PPStreamAttachStream
00000001e1c5e4c0 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001e1c60cb0 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001e1c5e5e0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001e1c5f07c (__TEXT,__text) non-external _PPStreamChunkCreate
00000001e1c5e4e8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001e1c5e85c (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001e1c5ebb0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001e1c5ec68 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001e1c5e6e0 (__TEXT,__text) external _PPStreamChunkListCreate
00000001e1c5e708 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001e1c5e894 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001e1c5ecd0 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001e1c5eab0 (__TEXT,__text) external _PPStreamChunkListGetStream
00000001e1c5e960 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001e1c5e8f4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001e1c5e9bc (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001e1c5ea18 (__TEXT,__text) external _PPStreamChunkListSort
00000001e1c60b84 (__TEXT,__text) external _PPStreamCompare
00000001e1c5ee00 (__TEXT,__text) external _PPStreamCreate
00000001e1c5efd0 (__TEXT,__text) external _PPStreamFree
00000001e1c5f9f4 (__TEXT,__text) external _PPStreamGetStream
00000001e1c6047c (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001e1c5f678 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001e1c5f56c (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001e1c5e4d4 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001e1c60d64 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001e1c5e4ac (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001e1c5f828 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001e1c613e8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001e1c612c8 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001e1b481e4 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001e1b48dd0 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001e1c60374 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001e1c5fd40 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001e1b48f60 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001e1b48ec8 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001e1c60458 (__TEXT,__text) external _PPStreamTokenAlloc
00000001e1b492bc (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001e1b496b8 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001e1b494fc (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001e1b495fc (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001e1c60478 (__TEXT,__text) external _PPStreamTokenFree
00000001e1b481a4 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001e1b48140 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001e1c8e528 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001e1c8e5e8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001e1c8e6b8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
0000000209f6abf8 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001e1b49778 (__TEXT,__text) external _PPStreamTokenValidateOptions
0000000209f6b930 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001e1c8f68c (__TEXT,__const) non-external _PROMOTIONS_110
00000001e1c8f690 (__TEXT,__const) non-external _PROMOTIONS_120
00000001e1c8f6c8 (__TEXT,__const) non-external _PROMOTIONS_400
00000001e1c8f6a0 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001e1c69e90 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001e1c69e08 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001e1c115b0 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001e1c10ef0 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001e1c71fbc (__TEXT,__text) non-external _RecordFunctionCall
00000001e1c10d7c (__TEXT,__text) non-external (was a private external) _RecordToken
00000001e1c688e4 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001e1c68824 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001e1c67000 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001e1c66f74 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001e1c69484 (__TEXT,__text) non-external (was a private external) _Registerify
00000001e1c68510 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001e1c69634 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001e1c69424 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001e1c66cc0 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001e1c67068 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001e1c670f8 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001e1c6e7f0 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001e1b46fac (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001e1c10edc (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001e1c0fc5c (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001e1c0fe60 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001e1c0e9fc (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001e1c10058 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001e1bf4758 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001e1c01c54 (__TEXT,__text) external _ShAttributeBindingRequest
00000001e1c01ba4 (__TEXT,__text) external _ShCleanup
00000001e1c0162c (__TEXT,__text) external _ShCompile
00000001e1c01254 (__TEXT,__text) external _ShConstructCompiler
00000001e1c012e0 (__TEXT,__text) external _ShConstructLinker
00000001e1c013a0 (__TEXT,__text) external _ShDestruct
00000001e1c01624 (__TEXT,__text) external _ShFinalize
00000001e1c02d18 (__TEXT,__text) external _ShFragDataBindingRequest
00000001e1c02448 (__TEXT,__text) external _ShGetActiveAttrib
00000001e1c02110 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001e1c020f8 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001e1c020bc (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001e1c03d34 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001e1c042f4 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001e1c0424c (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001e1c040f4 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001e1c03b98 (__TEXT,__text) external _ShGetActiveUniform
00000001e1c03480 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001e1c031ec (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001e1c036a8 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001e1c038e8 (__TEXT,__text) external _ShGetActiveUniformName
00000001e1c025c0 (__TEXT,__text) external _ShGetAttribLocation
00000001e1c0234c (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001e1c04398 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001e1c043b0 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001e1c02670 (__TEXT,__text) external _ShGetContextStateUniforms
00000001e1c02e9c (__TEXT,__text) external _ShGetFragDataLocation
00000001e1c01bb4 (__TEXT,__text) external _ShGetInfoLog
00000001e1c043c8 (__TEXT,__text) external _ShGetInteger
00000001e1c02938 (__TEXT,__text) external _ShGetLinkerPPStream
00000001e1c03e2c (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001e1c03e90 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001e1c030ac (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001e1c03ab0 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001e1c023c4 (__TEXT,__text) external _ShGetMaxAttributeLength
00000001e1c02c10 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001e1c01dd4 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001e1c03624 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001e1c03e1c (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001e1c03d98 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
