0000000180718840 (__TEXT,__text) external _OSAtomicAdd32
000000018071593c (__TEXT,__text) non-external __flush_reset
000000018071a812 (__TEXT,__cstring) non-external __h
0000000180718da4 (__TEXT,__text) external __longjmp
0000000180718578 (__TEXT,__text) non-external __os_alloc
000000018071a4f0 (__TEXT,__text) non-external __os_alloc.cold.1
0000000182778008 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180718528 (__TEXT,__text) external __os_alloc_once
0000000180718634 (__TEXT,__text) non-external __os_alloc_slow
000000018071a30c (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180717948 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180717998 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
000000018071796c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
000000018071798c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180718198 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001807181bc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001807181dc (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
000000018071a458 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180717900 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180717920 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
000000018071793c (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
000000018071a798 (__TEXT,__const) non-external __os_lock_type_base
00000001827d2bb0 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001827d2bd0 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001827d2c10 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001827d2bb0 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001827d2bb0 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001827d2bf0 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180717f2c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180717f54 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180717f74 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180717f94 (__TEXT,__text) external __os_nospin_lock_lock
0000000180717fb4 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001807180b0 (__TEXT,__text) external __os_nospin_lock_trylock
00000001807180cc (__TEXT,__text) external __os_nospin_lock_unlock
00000001807180e8 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001807182c4 (__TEXT,__text) external __os_once
0000000180718324 (__TEXT,__text) non-external __os_once_callout
0000000180718218 (__TEXT,__text) non-external __os_once_gate_broadcast
000000018071a430 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
000000018071a3e0 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
000000018071a408 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180718398 (__TEXT,__text) non-external __os_once_gate_wait
0000000180718764 (__TEXT,__text) external __os_semaphore_create
000000018071a518 (__TEXT,__text) non-external __os_semaphore_create.cold.1
000000018071a540 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001807187b8 (__TEXT,__text) external __os_semaphore_dispose
000000018071a568 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001807187e8 (__TEXT,__text) external __os_semaphore_signal
000000018071a590 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180718808 (__TEXT,__text) external __os_semaphore_wait
000000018071a5b8 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
000000018071a384 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180717a80 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
000000018071a334 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180717c28 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
000000018071a35c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180719a20 (__TEXT,__text) external __platform_bzero
0000000180718fd4 (__TEXT,__text) external __platform_memccpy
00000001807195a0 (__TEXT,__text) external __platform_memchr
00000001807196b0 (__TEXT,__text) external __platform_memcmp
0000000180719b60 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180719170 (__TEXT,__text) external __platform_memmove
0000000180719a80 (__TEXT,__text) external __platform_memset
0000000180719c60 (__TEXT,__text) external __platform_memset_pattern16
0000000180719c20 (__TEXT,__text) external __platform_memset_pattern4
0000000180719c40 (__TEXT,__text) external __platform_memset_pattern8
0000000180719e00 (__TEXT,__text) external __platform_strchr
0000000180719450 (__TEXT,__text) external __platform_strcmp
0000000180718f18 (__TEXT,__text) external __platform_strcpy
00000001827d2b28 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001807190d0 (__TEXT,__text) external __platform_strlcat
0000000180718f58 (__TEXT,__text) external __platform_strlcpy
00000001807198a0 (__TEXT,__text) external __platform_strlen
0000000180719910 (__TEXT,__text) external __platform_strncmp
0000000180719050 (__TEXT,__text) external __platform_strncpy
0000000180719800 (__TEXT,__text) external __platform_strnlen
0000000180718e90 (__TEXT,__text) external __platform_strstr
000000018071a198 (__TEXT,__text) non-external (was a private external) __setcontext
0000000180718d44 (__TEXT,__text) external __setjmp
0000000180718c74 (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180718c58 (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001807156d8 (__TEXT,__text) non-external __simple_asl_escape_key
000000018071574c (__TEXT,__text) non-external __simple_asl_escape_val
00000001807158d4 (__TEXT,__text) external __simple_asl_log
00000001807157f4 (__TEXT,__text) external __simple_asl_log_prog
0000000180715540 (__TEXT,__text) external __simple_asl_msg_new
000000018071558c (__TEXT,__text) external __simple_asl_msg_set
00000001807157ac (__TEXT,__text) external __simple_asl_send
0000000180716314 (__TEXT,__text) external __simple_dprintf
0000000180716668 (__TEXT,__text) external __simple_esappend
0000000180716588 (__TEXT,__text) external __simple_esprintf
0000000180715494 (__TEXT,__text) external __simple_getenv
0000000180716738 (__TEXT,__text) external __simple_put
0000000180716740 (__TEXT,__text) external __simple_putline
0000000180716340 (__TEXT,__text) external __simple_salloc
00000001807165fc (__TEXT,__text) external __simple_sappend
0000000180716788 (__TEXT,__text) external __simple_sfree
0000000180716550 (__TEXT,__text) external __simple_sprintf
00000001807165c8 (__TEXT,__text) external __simple_sresize
00000001807165b8 (__TEXT,__text) external __simple_string
00000001807158dc (__TEXT,__text) external __simple_vdprintf
0000000180716534 (__TEXT,__text) external __simple_vesprintf
000000018071650c (__TEXT,__text) external __simple_vsprintf
00000001807178ac (__TEXT,__text) external __spin_lock
00000001807178e0 (__TEXT,__text) external __spin_lock_try
00000001807178f8 (__TEXT,__text) external __spin_unlock
0000000182778000 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
000000018071770c (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
000000018071681c (__TEXT,__text) non-external _dec
0000000180719528 (__TEXT,__text) external _ffs
0000000180719540 (__TEXT,__text) external _ffsl
0000000180719540 (__TEXT,__text) external _ffsll
0000000180719558 (__TEXT,__text) external _fls
0000000180719568 (__TEXT,__text) external _flsl
0000000180719568 (__TEXT,__text) external _flsll
0000000182774978 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000018071a25c (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180716d20 (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
0000000180718e54 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180719f34 (__TEXT,__text) external _makecontext
0000000180718fd0 (__TEXT,__text) non-external (was a private external) _memset
0000000180716b4c (__TEXT,__text) non-external _oct
0000000180717734 (__TEXT,__text) external _os_lock_lock
0000000180717744 (__TEXT,__text) external _os_lock_trylock
0000000180717754 (__TEXT,__text) external _os_lock_unlock
0000000180717d30 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
000000018071a4a8 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180717d00 (__TEXT,__text) external _os_unfair_lock_assert_owner
000000018071a480 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180717a5c (__TEXT,__text) external _os_unfair_lock_lock
0000000180717cd4 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180717bd0 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180717bf0 (__TEXT,__text) external _os_unfair_lock_trylock
0000000180717c0c (__TEXT,__text) external _os_unfair_lock_unlock
0000000180717cec (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180717d7c (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180717d60 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180717db8 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180717e68 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180717dfc (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180717ee8 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
000000018071a4d0 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
000000018071a088 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
000000018071a130 (__TEXT,__text) external _setcontext
0000000180718e14 (__TEXT,__text) external _setjmp
0000000180718e48 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180718e08 (__TEXT,__text) external _sigsetjmp
00000001807178ac (__TEXT,__text) external _spin_lock
00000001807178e0 (__TEXT,__text) external _spin_lock_try
00000001807178f8 (__TEXT,__text) external _spin_unlock
0000000180719e78 (__TEXT,__text) external _swapcontext
0000000180717614 (__TEXT,__text) external _sys_cache_control
000000018071772c (__TEXT,__text) external _sys_dcache_flush
0000000180717660 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
000000018071707c (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180717260 (__TEXT,__text) non-external _ydec
