00000001804ac75c (__TEXT,__text) external _OSAtomicAdd32
00000001804abf20 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001ee595888 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000001804abd48 (__TEXT,__text) external ___libplatform_init
00000001804ad518 (__TEXT,__text) external ___os_log_simple_offset
00000001804ae880 (__TEXT,__text) external ___os_once_reset
00000001804abd98 (__TEXT,__text) non-external (was a private external) ___pfz_setup
00000001804b0168 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804b0138 (__TEXT,__const) non-external (was a private external) ___platformVersionString
00000001804ab8d0 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001804acaf0 (__TEXT,__text) non-external ___simple_bprintf
00000001804aeea8 (__TEXT,__text) external ___sme_memchr
00000001804aef70 (__TEXT,__text) external ___sme_memcpy
00000001804af044 (__TEXT,__text) external ___sme_memmove
00000001804af438 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
00000001804af590 (__TEXT,__text) external __ctx_done
00000001804af878 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001804addc4 (__TEXT,__text) non-external __enlarge
00000001804af9dc (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001804add1c (__TEXT,__text) non-external __flush
00000001804adcf0 (__TEXT,__text) non-external __flush_reset
00000001804b028e (__TEXT,__cstring) non-external __h
00000001804aa6e8 (__TEXT,__text) external __longjmp
00000001804a9bf8 (__TEXT,__text) non-external __os_alloc
00000001804afc48 (__TEXT,__text) non-external __os_alloc.cold.1
00000001ee595880 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001804a9bac (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804ac0fc (__TEXT,__text) non-external __os_alloc_slow
00000001804afa2c (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001804ac648 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001804ac684 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001804ac9a8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001804ac678 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001804ae81c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001804ae840 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001804ae860 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804afb78 (__TEXT,__text) non-external __os_lock_recursive_abort
00000001804ac794 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804ae5f4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001804ac7b4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001804b0188 (__TEXT,__const) non-external __os_lock_type_base
00000001ef61db28 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001ef61db48 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001ef61db88 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001ef61db28 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001ef61db28 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001ef61db68 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001804ac768 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001804ae7dc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
00000001804ae7fc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001804ad7ac (__TEXT,__text) external __os_log_simple
00000001804ad9a4 (__TEXT,__text) external __os_log_simple_parse
00000001804ad974 (__TEXT,__text) external __os_log_simple_parse_identifiers
00000001804ad908 (__TEXT,__text) external __os_log_simple_parse_message
00000001804ad8cc (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001804ad938 (__TEXT,__text) external __os_log_simple_parse_timestamp
00000001804ad894 (__TEXT,__text) external __os_log_simple_parse_type
00000001804adae0 (__TEXT,__text) external __os_log_simple_reinit_4launchd
00000001804af950 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
00000001804ad634 (__TEXT,__text) external __os_log_simple_send
00000001804ad86c (__TEXT,__text) external __os_log_simple_shim
00000001804aa5c0 (__TEXT,__text) external __os_nospin_lock_lock
00000001804abb7c (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001804aa5fc (__TEXT,__text) external __os_nospin_lock_trylock
00000001804aa5e0 (__TEXT,__text) external __os_nospin_lock_unlock
00000001804abc78 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001804a9a40 (__TEXT,__text) external __os_once
00000001804afc24 (__TEXT,__text) non-external __os_once.cold.1
00000001804a9a98 (__TEXT,__text) non-external __os_once_callout
00000001804abad0 (__TEXT,__text) non-external __os_once_gate_broadcast
00000001804afb50 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804afb00 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001804afb28 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001804ab940 (__TEXT,__text) non-external __os_once_gate_wait
00000001804ab850 (__TEXT,__text) external __os_semaphore_create
00000001804afc70 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001804afc98 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001804ab8a0 (__TEXT,__text) external __os_semaphore_dispose
00000001804afcc0 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001804ac828 (__TEXT,__text) external __os_semaphore_signal
00000001804afce8 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001804ac848 (__TEXT,__text) external __os_semaphore_wait
00000001804afd10 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001804afaa4 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001804aa274 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001804afa54 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001804ae634 (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
00000001804aa3e8 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804afa7c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
00000001804abf20 (__TEXT,__text) external __platform_bzero
00000001804aee20 (__TEXT,__text) external __platform_memccpy
00000001804a9d20 (__TEXT,__text) external __platform_memchr
00000001804a9e30 (__TEXT,__text) external __platform_memcmp
00000001804af380 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000001804ac250 (__TEXT,__text) external __platform_memmove
00000001804abf80 (__TEXT,__text) external __platform_memset
00000001804aa080 (__TEXT,__text) external __platform_memset_pattern16
00000001804aa040 (__TEXT,__text) external __platform_memset_pattern4
00000001804aa060 (__TEXT,__text) external __platform_memset_pattern8
00000001804ac540 (__TEXT,__text) external __platform_strchr
00000001804a9880 (__TEXT,__text) external __platform_strcmp
00000001804af170 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
00000001804a9cb0 (__TEXT,__text) external __platform_strcpy
00000001ef61daa0 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001804aa7d4 (__TEXT,__text) external __platform_strlcat
00000001804a9fac (__TEXT,__text) external __platform_strlcpy
00000001804a99e0 (__TEXT,__text) external __platform_strlen
00000001804a98f4 (__TEXT,__text) external __platform_strncmp
00000001804af270 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
00000001804aa51c (__TEXT,__text) external __platform_strncpy
00000001804a9940 (__TEXT,__text) external __platform_strnlen
00000001804aa494 (__TEXT,__text) external __platform_strstr
00000001804af7e4 (__TEXT,__text) non-external (was a private external) __setcontext
00000001804aa688 (__TEXT,__text) external __setjmp
00000001804ac5ec (__TEXT,__text) non-external (was a private external) __sigtramp
00000001804aca9c (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001804adb5c (__TEXT,__text) non-external __simple_asl_connect
00000001804ab5c0 (__TEXT,__text) non-external __simple_asl_connect_once
00000001804ab288 (__TEXT,__text) non-external __simple_asl_escape_key
00000001804ab2fc (__TEXT,__text) non-external __simple_asl_escape_val
00000001804adc0c (__TEXT,__text) external __simple_asl_get_fd
00000001804af978 (__TEXT,__text) non-external __simple_asl_get_fd.cold.1
00000001804ac054 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001804ac234 (__TEXT,__text) non-external __simple_asl_init_context
00000001804ab01c (__TEXT,__text) external __simple_asl_log
00000001804af9a4 (__TEXT,__text) non-external __simple_asl_log.cold.1
00000001804ab088 (__TEXT,__text) external __simple_asl_log_prog
00000001804ab0c8 (__TEXT,__text) external __simple_asl_msg_new
00000001804ab114 (__TEXT,__text) external __simple_asl_msg_set
00000001804ab3f8 (__TEXT,__text) external __simple_asl_send
00000001804add98 (__TEXT,__text) external __simple_dprintf
00000001804ad394 (__TEXT,__text) external __simple_esappend
00000001804ab258 (__TEXT,__text) external __simple_esprintf
00000001804abe70 (__TEXT,__text) external __simple_getenv
00000001804adf04 (__TEXT,__text) external __simple_put
00000001804adf0c (__TEXT,__text) external __simple_putline
00000001804aa870 (__TEXT,__text) external __simple_salloc
00000001804ab35c (__TEXT,__text) external __simple_sappend
00000001804aac90 (__TEXT,__text) external __simple_sfree
00000001804aa91c (__TEXT,__text) external __simple_sprintf
00000001804ab3c4 (__TEXT,__text) external __simple_sresize
00000001804aac80 (__TEXT,__text) external __simple_string
00000001804adc94 (__TEXT,__text) external __simple_vdprintf
00000001804acad4 (__TEXT,__text) external __simple_vesprintf
00000001804aa8f4 (__TEXT,__text) external __simple_vsprintf
00000001804ac5b8 (__TEXT,__text) external __spin_lock
00000001804ae5dc (__TEXT,__text) external __spin_lock_try
00000001804ac5d4 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001ee595878 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001804ae4e8 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804aad24 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001804a9b5c (__TEXT,__text) external _ffs
00000001804a9b74 (__TEXT,__text) external _ffsl
00000001804a9b74 (__TEXT,__text) external _ffsll
00000001804a9b8c (__TEXT,__text) external _fls
00000001804a9b9c (__TEXT,__text) external _flsl
00000001804a9b9c (__TEXT,__text) external _flsll
00000001ebf89248 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001804af8a8 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
00000001804aa954 (__TEXT,__text) non-external _hex
00000001804aa798 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
00000001804af5b8 (__TEXT,__text) external _makecontext
00000001804aee1c (__TEXT,__text) non-external (was a private external) _memset
00000001804adf54 (__TEXT,__text) non-external _oct
00000001804aebd8 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
00000001804aec90 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
00000001804aec38 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
00000001804aecb8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
00000001804aec68 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
00000001804aecbc (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
00000001804aed7c (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
00000001804aed1c (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
00000001804aeda8 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
00000001804aed50 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
00000001804ac63c (__TEXT,__text) external _os_lock_lock
00000001804ac99c (__TEXT,__text) external _os_lock_trylock
00000001804ac66c (__TEXT,__text) external _os_lock_unlock
00000001804ad4f4 (__TEXT,__text) external _os_log_simple_now
00000001804ad4f8 (__TEXT,__text) external _os_log_simple_type_from_asl
00000001804b0170 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001804aea38 (__TEXT,__text) external _os_sync_wait_on_address
00000001804ae89c (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
00000001804ae998 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
00000001804aeb50 (__TEXT,__text) external _os_sync_wake_by_address_all
00000001804aeac8 (__TEXT,__text) external _os_sync_wake_by_address_any
00000001804aa200 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001804afbc8 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001804a9b30 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001804afba0 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001804a9b08 (__TEXT,__text) external _os_unfair_lock_lock
00000001804ae728 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001804ae75c (__TEXT,__text) external _os_unfair_lock_lock_with_flags
00000001804a9800 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001804aa5a4 (__TEXT,__text) external _os_unfair_lock_trylock
00000001804ae610 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
00000001804a9824 (__TEXT,__text) external _os_unfair_lock_unlock
00000001804ae748 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001804a9840 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
00000001804ae780 (__TEXT,__text) external _os_unfair_recursive_lock_owned
00000001804ab80c (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001804aa618 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001804afbf0 (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
00000001804a9894 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001804ae79c (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001804afc04 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
00000001804af6e0 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
00000001804af77c (__TEXT,__text) external _setcontext
00000001804aa758 (__TEXT,__text) external _setjmp
00000001804aa78c (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001804aa74c (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001804ac5b8 (__TEXT,__text) external _spin_lock
00000001804ae5dc (__TEXT,__text) external _spin_lock_try
00000001804ac5d4 (__TEXT,__text) external _spin_unlock
00000001804af500 (__TEXT,__text) external _swapcontext
00000001804ae408 (__TEXT,__text) external _sys_cache_control
00000001804ae508 (__TEXT,__text) external _sys_dcache_flush
00000001804ae454 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
00000001804af930 (__TEXT,__text) external _timingsafe_enable_if_supported
00000001804af944 (__TEXT,__text) external _timingsafe_restore_if_supported
00000001804ab62c (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001804ae110 (__TEXT,__text) non-external _ydec
