00000001aca13258 (__TEXT,__text) non-external +[Caller current]
00000001aca128e8 (__TEXT,__text) non-external +[EvaluationRequest isApplePayPolicy:]
00000001aca107c0 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance]
00000001aca34f98 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance].cold.1
00000001aca0a720 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage]
00000001aca348b4 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage].cold.1
00000001aca09f64 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod activePersistentInstances]
00000001aca2e02c (__TEXT,__text) non-external +[LASIORemoteCall call]
00000001aca31068 (__TEXT,__text) non-external +[LASecureIO secureIO]
00000001aca1f878 (__TEXT,__text) non-external +[LASecureIOArchive createArchiveFromPath:]
00000001aca1f334 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:]
00000001aca1fc38 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.1
00000001aca1fd0c (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.2
00000001aca1fde0 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.3
00000001aca1feb4 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.4
00000001aca1ff88 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.5
00000001aca1dc08 (__TEXT,__text) non-external +[LASecureIOAsset asset]
00000001aca1d9a0 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:]
00000001aca1e310 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:].cold.1
00000001aca1dad4 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:]
00000001aca1e324 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:].cold.1
00000001aca1d844 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:]
00000001aca1e2fc (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:].cold.1
00000001aca1e9fc (__TEXT,__text) non-external +[LASecureIODisplay displayWidth]
00000001aca1eafc (__TEXT,__text) non-external +[LASecureIODisplay display]
00000001aca1e948 (__TEXT,__text) non-external +[LASecureIODisplay hasPhysicalESCKey]
00000001aca1e854 (__TEXT,__text) non-external +[LASecureIODisplay isDFRSupported]
00000001aca0d798 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance]
00000001aca34c58 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance].cold.1
00000001aca34788 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromCredentialType:]
00000001aca3475c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromNotification:]
00000001aca346f0 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromOperation:]
00000001aca34714 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromScene:]
00000001aca34738 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromUserInput:]
00000001aca200cc (__TEXT,__text) non-external +[LASecureIOScene scene]
00000001aca200f4 (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:]
00000001aca20568 (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:].cold.1
00000001aca26838 (__TEXT,__text) non-external +[LASecureIOServer getBootArgs]
00000001aca2662c (__TEXT,__text) non-external +[LASecureIOServer ignoreSceneDescriptionsSignature]
00000001aca26620 (__TEXT,__text) non-external +[LASecureIOServer ignoreWarsawInstructionSignature]
00000001aca26638 (__TEXT,__text) non-external +[LASecureIOServer isBootArgSet:]
00000001aca26614 (__TEXT,__text) non-external +[LASecureIOServer isTestingEnabled]
00000001aca2091c (__TEXT,__text) non-external +[LASecureIOServer server]
00000001aca1e338 (__TEXT,__text) non-external +[LASecureIOUtils dataFromHexString:]
00000001aca1e570 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:]
00000001aca1e770 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:].cold.1
00000001aca1e438 (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:]
00000001aca1e684 (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:].cold.1
00000001aca0a988 (__TEXT,__text) non-external +[NSDictionary(Merge) dictionaryByMerging:with:]
00000001aca0ac7c (__TEXT,__text) non-external +[PreflightCache sharedInstance]
00000001aca348c8 (__TEXT,__text) non-external +[PreflightCache sharedInstance].cold.1
00000001aca10ab0 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource]
00000001aca34fac (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource].cold.1
00000001aca0eee4 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance]
00000001aca34d54 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance].cold.1
00000001aca11a98 (__TEXT,__text) non-external +[Request current]
00000001aca11a20 (__TEXT,__text) non-external +[Request localRequest]
00000001aca118fc (__TEXT,__text) non-external +[Request requestFromCurrentConnection]
00000001aca35060 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.1
00000001aca35074 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.2
00000001aca13990 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance]
00000001aca35184 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance].cold.1
00000001aca0c3b8 (__TEXT,__text) non-external +[WatchMonitor sharedInstance]
00000001aca34a40 (__TEXT,__text) non-external +[WatchMonitor sharedInstance].cold.1
00000001aca09f1c (__TEXT,__text) non-external -[BiometryHelper _isTrustedAccessorySupported]
00000001aca1132c (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource initWithPreflightCache:]
00000001aca11428 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource invalidationReason]
00000001aca1136c (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource updateStatus]
00000001aca13908 (__TEXT,__text) non-external -[Caller .cxx_destruct]
00000001aca138c4 (__TEXT,__text) non-external -[Caller asid]
00000001aca13650 (__TEXT,__text) non-external -[Caller auditTokenData]
00000001aca138cc (__TEXT,__text) non-external -[Caller auditToken]
00000001aca13300 (__TEXT,__text) non-external -[Caller clientInfo]
00000001aca138dc (__TEXT,__text) non-external -[Caller connection]
00000001aca135ac (__TEXT,__text) non-external -[Caller description]
00000001aca138bc (__TEXT,__text) non-external -[Caller euid]
00000001aca13748 (__TEXT,__text) non-external -[Caller hasEntitlement:]
00000001aca1342c (__TEXT,__text) non-external -[Caller hash]
00000001aca13188 (__TEXT,__text) non-external -[Caller initWithConnection:]
00000001aca13370 (__TEXT,__text) non-external -[Caller isEqual:]
00000001aca1346c (__TEXT,__text) non-external -[Caller isEqualToAuditToken:]
00000001aca134c0 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:]
00000001aca3512c (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.1
00000001aca35140 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.2
00000001aca136d0 (__TEXT,__text) non-external -[Caller path]
00000001aca138b4 (__TEXT,__text) non-external -[Caller pid]
00000001aca13648 (__TEXT,__text) non-external -[Caller processId]
00000001aca13740 (__TEXT,__text) non-external -[Caller userId]
00000001aca14c8c (__TEXT,__text) non-external -[DaemonUtils serverQueue]
00000001aca11114 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource .cxx_destruct]
00000001aca11034 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource dealloc]
00000001aca10e04 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:]
00000001aca34fc0 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.1
00000001aca34fe8 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.2
00000001aca1108c (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource invalidationReason]
00000001aca11104 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource notificationName]
00000001aca130dc (__TEXT,__text) non-external -[DomainStateRequest .cxx_destruct]
00000001aca13074 (__TEXT,__text) non-external -[DomainStateRequest client]
00000001aca130bc (__TEXT,__text) non-external -[DomainStateRequest contextID]
00000001aca12ea8 (__TEXT,__text) non-external -[DomainStateRequest initWithOptions:client:contextID:]
00000001aca130cc (__TEXT,__text) non-external -[DomainStateRequest options]
00000001aca130a8 (__TEXT,__text) non-external -[DomainStateRequest setClient:]
00000001aca12fb8 (__TEXT,__text) non-external -[DomainStateRequest userID]
00000001aca12b40 (__TEXT,__text) non-external -[EvaluationRequest .cxx_destruct]
00000001aca129a0 (__TEXT,__text) non-external -[EvaluationRequest aclOperation]
00000001aca1297c (__TEXT,__text) non-external -[EvaluationRequest acl]
00000001aca128f4 (__TEXT,__text) non-external -[EvaluationRequest analyticsData]
00000001aca12af8 (__TEXT,__text) non-external -[EvaluationRequest analytics]
00000001aca129e8 (__TEXT,__text) non-external -[EvaluationRequest client]
00000001aca12938 (__TEXT,__text) non-external -[EvaluationRequest contextID]
00000001aca12a98 (__TEXT,__text) non-external -[EvaluationRequest customUI]
00000001aca12ab8 (__TEXT,__text) non-external -[EvaluationRequest evaluationUserId]
00000001aca12a30 (__TEXT,__text) non-external -[EvaluationRequest externalizedContext]
00000001aca12144 (__TEXT,__text) non-external -[EvaluationRequest initSimulatedForBiolockoutPreflight]
00000001aca12138 (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:contextID:]
00000001aca11f3c (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:uiDelegate:contextID:]
00000001aca1212c (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:contextID:]
00000001aca11da0 (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:uiDelegate:contextID:]
00000001aca12918 (__TEXT,__text) non-external -[EvaluationRequest isImmediateSuccess]
00000001aca127b4 (__TEXT,__text) non-external -[EvaluationRequest isInteractive]
00000001aca12808 (__TEXT,__text) non-external -[EvaluationRequest isPurposeApplePay]
00000001aca1285c (__TEXT,__text) non-external -[EvaluationRequest isPurposeInAppPayment]
00000001aca12840 (__TEXT,__text) non-external -[EvaluationRequest isPurposeSecureUIRecording]
00000001aca12824 (__TEXT,__text) non-external -[EvaluationRequest isPurposeUnlock]
00000001aca12894 (__TEXT,__text) non-external -[EvaluationRequest isRecoveringFromBiolockout]
00000001aca129c4 (__TEXT,__text) non-external -[EvaluationRequest options]
00000001aca12b1c (__TEXT,__text) non-external -[EvaluationRequest payload]
00000001aca1295c (__TEXT,__text) non-external -[EvaluationRequest policy]
00000001aca12a54 (__TEXT,__text) non-external -[EvaluationRequest purpose]
00000001aca12a74 (__TEXT,__text) non-external -[EvaluationRequest retryingForError]
00000001aca12ad8 (__TEXT,__text) non-external -[EvaluationRequest secureIntentRequested]
00000001aca1298c (__TEXT,__text) non-external -[EvaluationRequest setAcl:]
00000001aca129b0 (__TEXT,__text) non-external -[EvaluationRequest setAclOperation:]
00000001aca12b08 (__TEXT,__text) non-external -[EvaluationRequest setAnalytics:]
00000001aca12904 (__TEXT,__text) non-external -[EvaluationRequest setAnalyticsData:]
00000001aca12a1c (__TEXT,__text) non-external -[EvaluationRequest setClient:]
00000001aca12948 (__TEXT,__text) non-external -[EvaluationRequest setContextID:]
00000001aca12aa8 (__TEXT,__text) non-external -[EvaluationRequest setCustomUI:]
00000001aca12ac8 (__TEXT,__text) non-external -[EvaluationRequest setEvaluationUserId:]
00000001aca12a40 (__TEXT,__text) non-external -[EvaluationRequest setExternalizedContext:]
00000001aca12928 (__TEXT,__text) non-external -[EvaluationRequest setImmediateSuccess:]
00000001aca129d4 (__TEXT,__text) non-external -[EvaluationRequest setOptions:]
00000001aca12b2c (__TEXT,__text) non-external -[EvaluationRequest setPayload:]
00000001aca1296c (__TEXT,__text) non-external -[EvaluationRequest setPolicy:]
00000001aca12a64 (__TEXT,__text) non-external -[EvaluationRequest setPurpose:]
00000001aca12a84 (__TEXT,__text) non-external -[EvaluationRequest setRetryingForError:]
00000001aca12ae8 (__TEXT,__text) non-external -[EvaluationRequest setSecureIntentRequested:]
00000001aca12460 (__TEXT,__text) non-external -[EvaluationRequest shallowCopy]
00000001aca121c0 (__TEXT,__text) non-external -[EvaluationRequest updateOptions:]
00000001aca12738 (__TEXT,__text) non-external -[EvaluationRequest updatePayload:]
00000001aca10844 (__TEXT,__text) non-external -[InstalledAppsCache appNameForPid:bundleId:]
00000001aca109d0 (__TEXT,__text) non-external -[InstalledAppsCache binaryNameForPid:]
00000001aca10958 (__TEXT,__text) non-external -[InstalledAppsCache bundlePathForPid:stripXPCService:]
00000001aca108f0 (__TEXT,__text) non-external -[InstalledAppsCache pathForPid:]
00000001aca0ee60 (__TEXT,__text) non-external -[LAAnalytics .cxx_destruct]
00000001aca0ea7c (__TEXT,__text) non-external -[LAAnalytics _collect]
00000001aca34d2c (__TEXT,__text) non-external -[LAAnalytics _collect].cold.1
00000001aca0ee18 (__TEXT,__text) non-external -[LAAnalytics allowsMultipleCollections]
00000001aca0ec74 (__TEXT,__text) non-external -[LAAnalytics buildPayload]
00000001aca0ea0c (__TEXT,__text) non-external -[LAAnalytics collectIfNeeded]
00000001aca0ee08 (__TEXT,__text) non-external -[LAAnalytics eventName]
00000001aca0e990 (__TEXT,__text) non-external -[LAAnalytics initWithEventName:]
00000001aca0ec94 (__TEXT,__text) non-external -[LAAnalytics instanceToReplaceWithWhenRemovedFromStorage]
00000001aca0ec88 (__TEXT,__text) non-external -[LAAnalytics logLevel]
00000001aca0ec9c (__TEXT,__text) non-external -[LAAnalytics persistInStorage:]
00000001aca0ed38 (__TEXT,__text) non-external -[LAAnalytics removeFromStorage]
00000001aca0ee20 (__TEXT,__text) non-external -[LAAnalytics setAllowsMultipleCollections:]
00000001aca0ee54 (__TEXT,__text) non-external -[LAAnalytics setStorage:]
00000001aca0ec80 (__TEXT,__text) non-external -[LAAnalytics shouldCollect]
00000001aca0ee28 (__TEXT,__text) non-external -[LAAnalytics storage]
00000001aca0ee10 (__TEXT,__text) non-external -[LAAnalytics wasSent]
00000001aca0c3a8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation .cxx_destruct]
00000001aca0be3c (__TEXT,__text) non-external -[LAAnalyticsEvaluation _authenticationStartedForEvent:continuity:]
00000001aca0c0d4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _biometryAttempt:]
00000001aca0c264 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _passcodeAccepted:]
00000001aca0bfec (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationAttempt:event:]
00000001aca0bdd0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationHasEvent:]
00000001aca0c080 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationResult:event:]
00000001aca0be2c (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationStartedForEvent:]
00000001aca0c388 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationTypes]
00000001aca0c308 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryAttempts]
00000001aca0c318 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryFailures]
00000001aca0c328 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryNoMatches]
00000001aca0c338 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryResult]
00000001aca0c2f8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryStarted]
00000001aca0c0c4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType:]
00000001aca0c2d8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType]
00000001aca0b8a8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation buildPayload]
00000001aca0be34 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuityAuthenticationStartedForEvent:]
00000001aca0c398 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuity]
00000001aca0c0b4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation evaluationResult:]
00000001aca0b7d0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation initWithEvaluationRequest:]
00000001aca0c358 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeAttempts]
00000001aca0c368 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeFailures]
00000001aca0c378 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeResult]
00000001aca0c348 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeStarted]
00000001aca0c2c8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation policy]
00000001aca0c294 (__TEXT,__text) non-external -[LAAnalyticsEvaluation request]
00000001aca0c2e8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation result]
00000001aca0bdc8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation shouldCollect]
00000001aca0a8f0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod .cxx_destruct]
00000001aca0a8e0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometryAttempts]
00000001aca0a260 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:]
00000001aca3483c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:].cold.1
00000001aca0a4a0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod buildPayload]
00000001aca0a61c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod description]
00000001aca0a058 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod initWithPolicyGroup:]
00000001aca0a6cc (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod instanceToReplaceWithWhenRemovedFromStorage]
00000001aca0a8d0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodeCount]
00000001aca0a0b4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:]
00000001aca347b0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:].cold.1
00000001aca0a39c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policies]
00000001aca0a3d4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroupName]
00000001aca0a8c0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroup]
00000001aca0a498 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod shouldCollect]
00000001aca0a40c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod timeInterval]
00000001aca0e83c (__TEXT,__text) non-external -[LADFROwnerToken dealloc]
00000001aca2e27c (__TEXT,__text) non-external -[LASIORemoteCall .cxx_destruct]
00000001aca2e1e8 (__TEXT,__text) non-external -[LASIORemoteCall callID]
00000001aca2e210 (__TEXT,__text) non-external -[LASIORemoteCall command]
00000001aca2e054 (__TEXT,__text) non-external -[LASIORemoteCall init]
00000001aca2e270 (__TEXT,__text) non-external -[LASIORemoteCall payload]
00000001aca2e234 (__TEXT,__text) non-external -[LASIORemoteCall requestData]
00000001aca2e0dc (__TEXT,__text) non-external -[LASIORemoteCall requestPayload]
00000001aca2e248 (__TEXT,__text) non-external -[LASIORemoteCall responseData]
00000001aca2e25c (__TEXT,__text) non-external -[LASIORemoteCall responseError]
00000001aca2e1fc (__TEXT,__text) non-external -[LASIORemoteCall semaphore]
00000001aca2e1f4 (__TEXT,__text) non-external -[LASIORemoteCall setCallID:]
00000001aca2e218 (__TEXT,__text) non-external -[LASIORemoteCall setCommand:]
00000001aca2e240 (__TEXT,__text) non-external -[LASIORemoteCall setRequestData:]
00000001aca2e254 (__TEXT,__text) non-external -[LASIORemoteCall setResponseData:]
00000001aca2e268 (__TEXT,__text) non-external -[LASIORemoteCall setResponseError:]
00000001aca2e208 (__TEXT,__text) non-external -[LASIORemoteCall setSemaphore:]
00000001aca2e22c (__TEXT,__text) non-external -[LASIORemoteCall setVersion:]
00000001aca2e220 (__TEXT,__text) non-external -[LASIORemoteCall version]
00000001aca32ae8 (__TEXT,__text) non-external -[LASecureIO .cxx_destruct]
00000001aca32ab0 (__TEXT,__text) non-external -[LASecureIO delegate]
00000001aca328f0 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage]
00000001aca34200 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage].cold.1
00000001aca326d4 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:]
00000001aca33f98 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.1
00000001aca34068 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.2
00000001aca34134 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.3
00000001aca32aa0 (__TEXT,__text) non-external -[LASecureIO getSceneCountForOperation:]
00000001aca325d0 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion]
00000001aca33d30 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.1
00000001aca33e00 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.2
00000001aca33ecc (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.3
00000001aca31d98 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:]
00000001aca33474 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.1
00000001aca33540 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.2
00000001aca3360c (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.3
00000001aca336d8 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.4
00000001aca337a4 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.5
00000001aca311d0 (__TEXT,__text) non-external -[LASecureIO init]
00000001aca31fd8 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:]
00000001aca3384c (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.1
00000001aca33920 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.2
00000001aca31b6c (__TEXT,__text) non-external -[LASecureIO postNotification:]
00000001aca333a0 (__TEXT,__text) non-external -[LASecureIO postNotification:].cold.1
00000001aca324dc (__TEXT,__text) non-external -[LASecureIO readSceneDescriptionFromFile:]
00000001aca32adc (__TEXT,__text) non-external -[LASecureIO setDelegate:]
00000001aca31348 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:]
00000001aca32b4c (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.1
00000001aca32c38 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.2
00000001aca32d14 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.3
00000001aca32de0 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.4
00000001aca32eac (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.5
00000001aca323d8 (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:]
00000001aca33c5c (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:].cold.1
00000001aca32134 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:]
