00007fff7776868f (__TEXT,__text) external _AAArchiveStreamCancel
00007fff777943af (__TEXT,__text) external _AAHeaderClear
00007fff77793f64 (__TEXT,__text) external _AAHeaderClone
00007fff77793e7b (__TEXT,__text) external _AAHeaderCreate
00007fff777940e8 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007fff7779412f (__TEXT,__text) external _AAHeaderCreateWithPath
00007fff77793f27 (__TEXT,__text) external _AAHeaderDestroy
00007fff7779538b (__TEXT,__text) external _AAHeaderGetEncodedData
00007fff77795381 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007fff7779479f (__TEXT,__text) external _AAHeaderGetFieldBlob
00007fff777943d4 (__TEXT,__text) external _AAHeaderGetFieldCount
00007fff77794602 (__TEXT,__text) external _AAHeaderGetFieldHash
00007fff77794468 (__TEXT,__text) external _AAHeaderGetFieldKey
00007fff77794541 (__TEXT,__text) external _AAHeaderGetFieldString
00007fff777946e7 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007fff77794411 (__TEXT,__text) external _AAHeaderGetFieldType
00007fff777944bc (__TEXT,__text) external _AAHeaderGetFieldUInt
00007fff777943dc (__TEXT,__text) external _AAHeaderGetKeyIndex
00007fff77795377 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007fff7779417b (__TEXT,__text) external _AAHeaderRemoveField
00007fff777951a1 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007fff7779482c (__TEXT,__text) external _AAHeaderSetFieldFlag
00007fff77794de9 (__TEXT,__text) external _AAHeaderSetFieldHash
00007fff77794c17 (__TEXT,__text) external _AAHeaderSetFieldString
00007fff77794fd8 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007fff77794a42 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007fff7777daba (__TEXT,__text) external _AAMemoryInputStreamOpen
00007fff7778cba0 (__TEXT,__text) external _AAPathListCreate
00007fff7778cd33 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007fff7778cd04 (__TEXT,__text) external _AAPathListDestroy
00007fff7778e9ff (__TEXT,__text) external _AAPathListMerge
00007fff7778eb4c (__TEXT,__text) external _AAPathListNodeFirst
00007fff7778e8b7 (__TEXT,__text) external _AAPathListNodeGetPath
00007fff7778eb68 (__TEXT,__text) external _AAPathListNodeNext
00007fff7779b220 (__TEXT,__text) external _AASharedBufferPipeOpen
00007fff7779b0db (__TEXT,__text) external _AATempFileStreamOpen
00007fff7778bfdc (__TEXT,__text) external _AAThreadErrorContextEnter
00007fff7778bfe6 (__TEXT,__text) external _AAThreadErrorContextLeave
00007fff77785a19 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007fff77785e1b (__TEXT,__text) external _AEAAuthDataClear
00007fff77785504 (__TEXT,__text) external _AEAAuthDataCreate
00007fff777855a1 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007fff7778556d (__TEXT,__text) external _AEAAuthDataDestroy
00007fff77785f45 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007fff77785f3b (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007fff777858e8 (__TEXT,__text) external _AEAAuthDataGetEntry
00007fff777858e0 (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007fff77785e31 (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007fff77785bfd (__TEXT,__text) external _AEAAuthDataSetEntry
00007fff7778879f (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007fff7778867b (__TEXT,__text) external _AEAContextCreateWithProfile
00007fff77788723 (__TEXT,__text) external _AEAContextDestroy
00007fff77788cec (__TEXT,__text) external _AEAContextGetFieldBlob
00007fff77788c30 (__TEXT,__text) external _AEAContextGetFieldUInt
00007fff7778905c (__TEXT,__text) external _AEAContextSetFieldBlob
00007fff77789538 (__TEXT,__text) external _AEAContextSetFieldCallback
00007fff77788eb5 (__TEXT,__text) external _AEAContextSetFieldUInt
00007fff77770c21 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007fff777707c7 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007fff77770840 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007fff77770734 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007fff77779267 (__TEXT,__text) external _AEADecryptToFile
00007fff77772b30 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007fff7776b67a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007fff77776552 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007fff7777583a (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007fff77775e07 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007fff777720bf (__TEXT,__text) external _AEAKeychainGenerateItem
00007fff7777295e (__TEXT,__text) external _AEAKeychainHasItem
00007fff777727aa (__TEXT,__text) external _AEAKeychainLoadItem
00007fff77772a62 (__TEXT,__text) external _AEAKeychainRemoveItem
00007fff77772364 (__TEXT,__text) external _AEAKeychainStoreItem
00007fff7776fa20 (__TEXT,__text) external _AEAStreamSign
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007fff7777dde5 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007fff7777dd49 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007fff7777dca4 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007fff77783329 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007fff777832cc (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007fff777832e5 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007fff77783463 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007fff7778344f (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007fff77783459 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007fff777aa500 (__TEXT,__const) non-external _CKSUMTable
00007fff7779b8c9 (__TEXT,__text) non-external _CompressionConsumerProc
00007fff7779b72f (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007fff7779c478 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007fff7779b83f (__TEXT,__text) non-external _CompressionWorkerProc
00007fff777714c8 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007fff7777116c (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007fff777719db (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007fff77771c27 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007fff77771804 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007fff77771985 (__TEXT,__text) non-external _Digest_SHA256
00007fff777775b8 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007fff777771ec (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007fff777aa440 (__TEXT,__const) non-external _ECC65537_G
00007fff7777e2d1 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007fff777705b0 (__TEXT,__text) non-external _HKDFDerive
00007fff77771f29 (__TEXT,__text) non-external _HMACDerive_SHA256
00007fff77771eb8 (__TEXT,__text) non-external _HMACFinal_SHA256
00007fff77771e59 (__TEXT,__text) non-external _HMACInit_SHA256
00007fff77771ea0 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007fff77772006 (__TEXT,__text) non-external _HMACVerify_SHA256
00007fff7777852f (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007fff777782ae (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007fff77778410 (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007fff77778514 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007fff77778274 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007fff7777f796 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007fff7777fabc (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007fff7777faf3 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007fff7777f76f (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007fff7777f4d0 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007fff7777f5c7 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007fff7777f55e (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseCapacity
00007fff7777f5ed (__TEXT,__text) non-external (was a private external) _MemBufferTransmit
00007fff7777fc08 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreate
00007fff7777ff3d (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroy
00007fff7777ff4b (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroyWithStats
00007fff7778010a (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamWrite
00007fff7777f0f9 (__TEXT,__text) non-external (was a private external) _OECCStreamCreate
00007fff7777f2dd (__TEXT,__text) non-external (was a private external) _OECCStreamDestroy
00007fff7777f30c (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataPtr
00007fff7777f323 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataSize
00007fff7777f33a (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
00007fff7777f78d (__TEXT,__text) non-external (was a private external) _ONullStreamWrite
00007fff7776d42d (__TEXT,__text) non-external (was a private external) _PCompressCopyDecode
00007fff7776d403 (__TEXT,__text) non-external (was a private external) _PCompressCopyEncode
00007fff7776bac4 (__TEXT,__text) non-external (was a private external) _PCompressFilter
00007fff777685d4 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderDescription
00007fff777771d0 (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderFilter
00007fff777685ad (__TEXT,__text) non-external (was a private external) _PCompressGetDecoderKey
00007fff7776859c (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDecoder
00007fff77768580 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderDescription
00007fff777771b4 (__TEXT,__text) non-external (was a private external) _PCompressGetEncoderFilter
00007fff7776d47e (__TEXT,__text) non-external (was a private external) _PCompressLZ4Decode
00007fff7776d457 (__TEXT,__text) non-external (was a private external) _PCompressLZ4Encode
00007fff777701f0 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEDecode
00007fff777701c9 (__TEXT,__text) non-external (was a private external) _PCompressLZFSEEncode
00007fff77770217 (__TEXT,__text) non-external (was a private external) _PCompressLZMA6Encode
00007fff77770268 (__TEXT,__text) non-external (was a private external) _PCompressLZMADecode
00007fff777770b3 (__TEXT,__text) non-external (was a private external) _PCompressLZVNDecode
00007fff7777708c (__TEXT,__text) non-external (was a private external) _PCompressLZVNEncode
00007fff777770da (__TEXT,__text) non-external (was a private external) _PCompressZLIB5Encode
00007fff77777122 (__TEXT,__text) non-external (was a private external) _PCompressZLIBDecode
00007fff7777e59d (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixCommon
00007fff7777f0d1 (__TEXT,__text) non-external (was a private external) _ParallelArchiveECCFixFileSegment
00007fff777825f4 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCCompress
00007fff777822d8 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCGetMetadata
00007fff77781b4f (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamClose
00007fff7778159c (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamOpen
00007fff777818f0 (__TEXT,__text) non-external (was a private external) _ParallelCompressionAFSCStreamWrite
00007fff77777161 (__TEXT,__text) non-external (was a private external) _ParallelCompressionDecode
00007fff77785431 (__TEXT,__text) non-external (was a private external) _ParallelCompressionEnterThreadErrorContext
00007fff7778543b (__TEXT,__text) non-external (was a private external) _ParallelCompressionLeaveThreadErrorContext
00007fff77785445 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateError
00007fff77785461 (__TEXT,__text) non-external (was a private external) _ParallelCompressionUpdateWarning
00007fff777706f3 (__TEXT,__text) non-external _RNG
00007fff7779e50a (__TEXT,__text) non-external _RandomAccessDecompressStreamAbort
00007fff7779e314 (__TEXT,__text) non-external _RandomAccessDecompressStreamDestroy
00007fff7779e381 (__TEXT,__text) non-external _RandomAccessDecompressStreamGetBlock
00007fff7776baa8 (__TEXT,__text) non-external _RandomAccessDecryptionStreamAbort
00007fff7776b93b (__TEXT,__text) non-external _RandomAccessDecryptionStreamDestroy
00007fff7776ba2f (__TEXT,__text) non-external _RandomAccessDecryptionStreamGetBlock
00007fff77770f94 (__TEXT,__text) non-external _ScryptDerive_KEY256
                 (undefined) external _SecAccessControlCreateWithFlags (from Security)
                 (undefined) external _SecItemAdd (from Security)
                 (undefined) external _SecItemCopyMatching (from Security)
                 (undefined) external _SecItemDelete (from Security)
00007fff77776bbe (__TEXT,__text) non-external _SharedArrayEnqueue
00007fff777790a0 (__TEXT,__text) non-external _SharedArrayEnqueue
00007fff77781279 (__TEXT,__text) non-external _SharedArrayEnqueue
00007fff777788ab (__TEXT,__text) non-external _SharedArrayPush
00007fff7779f213 (__TEXT,__text) non-external _SharedArrayPush
00007fff77778d6a (__TEXT,__text) non-external (was a private external) _SharedBufferAbort
00007fff77778543 (__TEXT,__text) non-external (was a private external) _SharedBufferCreate
00007fff77778a06 (__TEXT,__text) non-external (was a private external) _SharedBufferDecRefCount
00007fff7777899a (__TEXT,__text) non-external (was a private external) _SharedBufferDestroy
00007fff77778a18 (__TEXT,__text) non-external (was a private external) _SharedBufferFillFromStream
00007fff77778e0e (__TEXT,__text) non-external (was a private external) _SharedBufferFlushToStream
00007fff7777920f (__TEXT,__text) non-external (was a private external) _SharedBufferRead
00007fff777791e9 (__TEXT,__text) non-external _SharedBufferReadFromBufferProc
00007fff777791a3 (__TEXT,__text) non-external (was a private external) _SharedBufferWrite
00007fff77779247 (__TEXT,__text) non-external _SharedBufferWriteToBufferProc
00007fff7777df24 (__TEXT,__text) non-external (was a private external) _StringTableAppend
00007fff7777e025 (__TEXT,__text) non-external (was a private external) _StringTableAppendTable
00007fff7777df10 (__TEXT,__text) non-external (was a private external) _StringTableClear
00007fff7777de0b (__TEXT,__text) non-external (was a private external) _StringTableCreate
00007fff7777dee1 (__TEXT,__text) non-external (was a private external) _StringTableDestroy
00007fff7777e2c9 (__TEXT,__text) non-external (was a private external) _StringTableSize
00007fff7777e122 (__TEXT,__text) non-external (was a private external) _StringTableSort
00007fff777803f6 (__TEXT,__text) non-external (was a private external) _ThreadPipelineCreate
00007fff77780e10 (__TEXT,__text) non-external (was a private external) _ThreadPipelineDestroy
00007fff7778137c (__TEXT,__text) non-external (was a private external) _ThreadPipelineGetWorker
00007fff7778149d (__TEXT,__text) non-external (was a private external) _ThreadPipelineRunWorker
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007fff7776b630 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007fff7776b650 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007fff869191e0 (__DATA,__data) non-external __dyld_private
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00007fff7778af0e (__TEXT,__text) non-external (was a private external) _aaBlobReserve
00007fff7779baac (__TEXT,__text) non-external _aaCompressionOutputStreamAbort
00007fff7779bab9 (__TEXT,__text) non-external _aaCompressionOutputStreamClose
00007fff7779b972 (__TEXT,__text) non-external _aaCompressionOutputStreamWrite
00007fff7778b343 (__TEXT,__text) non-external (was a private external) _aaComputeHashes
00007fff7779db18 (__TEXT,__text) non-external _aaDecompressionStreamAbort
00007fff7779d213 (__TEXT,__text) non-external _aaDecompressionStreamClose
00007fff7779d2c1 (__TEXT,__text) non-external _aaDecompressionStreamRead
00007fff7779d0c8 (__TEXT,__text) non-external _aaDecompressionStreamReadInput
00007fff7779cf3a (__TEXT,__text) non-external _aaDecompressionStreamRefill
00007fff777965f4 (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithEncodedData
00007fff7779693b (__TEXT,__text) non-external (was a private external) _aaEntryACLBlobInitWithPath
00007fff7778b8d6 (__TEXT,__text) non-external (was a private external) _aaEntryAttributesApplyToPath
00007fff7778b76c (__TEXT,__text) non-external (was a private external) _aaEntryAttributesInitWithHeader
00007fff7778b742 (__TEXT,__text) non-external (was a private external) _aaEntryTypeFromMode
00007fff77795395 (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithEncodedData
00007fff77795634 (__TEXT,__text) non-external (was a private external) _aaEntryXATBlobInitWithPath
00007fff77798079 (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithEncodedData
00007fff777980e7 (__TEXT,__text) non-external (was a private external) _aaEntryYECBlobInitWithPath
00007fff7779b037 (__TEXT,__text) non-external _aaFileStreamAbort
00007fff7779ada5 (__TEXT,__text) non-external _aaFileStreamClose
00007fff7779b001 (__TEXT,__text) non-external _aaFileStreamPRead
00007fff7779b01c (__TEXT,__text) non-external _aaFileStreamPWrite
00007fff7779afcb (__TEXT,__text) non-external _aaFileStreamRead
00007fff7779b044 (__TEXT,__text) non-external _aaFileStreamSeek
00007fff7779ad69 (__TEXT,__text) non-external (was a private external) _aaFileStreamTruncate
00007fff7779afe6 (__TEXT,__text) non-external _aaFileStreamWrite
00007fff7778b5c0 (__TEXT,__text) non-external (was a private external) _aaHeaderBlobArrayInitWithHeader
00007fff77792c20 (__TEXT,__text) non-external (was a private external) _aaHeaderInitWithEncodedData
00007fff777931d1 (__TEXT,__text) non-external (was a private external) _aaHeaderInitWithPath
00007fff7778afcd (__TEXT,__text) non-external (was a private external) _aaResolveKnownKey
00007fff7779c4b0 (__TEXT,__text) non-external (was a private external) _aaSequentialDecompressionIStreamOpen
00007fff7779b374 (__TEXT,__text) non-external _aaSharedBufferIStreamClose
00007fff7779b33b (__TEXT,__text) non-external _aaSharedBufferOStreamClose
00007fff7779b397 (__TEXT,__text) non-external _aaSharedBufferRead
00007fff7779b36a (__TEXT,__text) non-external _aaSharedBufferWrite
