00000001a41b7d90 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a41b8850 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a41a7338 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a41b1d38 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a41ae064 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a41a5c84 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a41ad31c (__TEXT,__text) non-external +[SPLog exec]
00000001a41ad664 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a41ad1e4 (__TEXT,__text) non-external +[SPLog generic]
00000001a41ad280 (__TEXT,__text) non-external +[SPLog kext]
00000001a41ad3b8 (__TEXT,__text) non-external +[SPLog measurements]
00000001a41ad658 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a41ad454 (__TEXT,__text) non-external +[SPLog signposts]
00000001a41ad4f0 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a41b49f8 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a41b442c (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a41b3948 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a41ba764 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a41b379c (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a41b3788 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001a41b3d3c (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001a41b3900 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001a41b37b0 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001a41b6804 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001a41a6e8c (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001a41a6db4 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001a41a6c58 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001a41a6ae4 (__TEXT,__text) non-external -[AKELData init]
00000001a41a6e50 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001a41a6d78 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001a41a68c0 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001a41a6d70 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001a41b8020 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001a41b7f74 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001a41b8034 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001a41b8024 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001a41b7fd8 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001a41b802c (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001a41abc54 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001a41ab3ec (__TEXT,__text) non-external -[BundleData dealloc]
00000001a41b9990 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001a41ab8c0 (__TEXT,__text) non-external -[BundleData doReload]
00000001a41abc28 (__TEXT,__text) non-external -[BundleData forceReload]
00000001a41ab488 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001a41ab3d0 (__TEXT,__text) non-external -[BundleData init]
00000001a41abc34 (__TEXT,__text) non-external -[BundleData isSigned]
00000001a41ab91c (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001a41abbbc (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001a41ab5e0 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001a41b9a00 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001a41b9a70 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001a41abc4c (__TEXT,__text) non-external -[BundleData timestamp]
00000001a41abc2c (__TEXT,__text) non-external -[BundleData url]
00000001a41abc44 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001a41abc3c (__TEXT,__text) non-external -[BundleData version]
00000001a41ac67c (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001a41ac658 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001a41ac5cc (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001a41ac668 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001a41ac51c (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001a41ac660 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001a41ac670 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001a41b71a8 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001a41a79f4 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001a41a79bc (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001a41a79a8 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001a41a7980 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001a41a7994 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001a41a79e0 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001a41a79c4 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001a41a79b0 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001a41a7988 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001a41a799c (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001a41a79e8 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001a41a79d8 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001a41a79d0 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001a41b66b4 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001a41b6624 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001a41b5d1c (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001a41b5dd8 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001a41b615c (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001a41b61f8 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001a41b6098 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001a41b664c (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001a41b5594 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001a41b656c (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001a41b600c (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001a41b6634 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001a41b5ef0 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001a41b55f8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001a41ba820 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001a41ba8b0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001a41ba928 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001a41ba96c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001a41ba9b0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001a41baa28 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001a41b5578 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001a41b665c (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001a41b668c (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001a41b6458 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001a41baaac (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00000001a41b6674 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001a41b63d0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001a41b667c (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001a41b6414 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001a41b5c80 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001a41b6644 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001a41b66ac (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001a41b662c (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001a41b660c (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001a41b661c (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001a41b669c (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001a41b651c (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001a41b6654 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001a41b6694 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001a41b6684 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001a41b66a4 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001a41b666c (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001a41b6334 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001a41b5fd0 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001a41b5f28 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001a41b6298 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001a41b6664 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001a41b6604 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001a41b663c (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001a41b6614 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001a41b85f8 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001a41b8584 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001a41b844c (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001a41b8398 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001a41b8498 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001a41b856c (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001a41b85e8 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001a41b85e0 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001a41b84b4 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001a41b85f0 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001a41addf8 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001a41addd8 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001a41adde8 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001a41adbf0 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001a41addb8 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001a41ad9dc (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001a41ad6c8 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a41ad6ac (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001a41addf0 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001a41addc0 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001a41adde0 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001a41addc8 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001a41addd0 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001a41b0268 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001a41afcf4 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001a41afc04 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001a41afb98 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001a41af980 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001a41af6d4 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001a41af884 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001a41afee0 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001a41b0198 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001a41af654 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001a41affd0 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001a41afb8c (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001a41af728 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001a41af720 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001a41afde4 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001a41af754 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001a41b00c0 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001a41ace38 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001a41ac688 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001a41b9b70 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001a41b9bb4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001a41b9c40 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001a41b9cac (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001a41b9d38 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001a41b9d7c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001a41b9e10 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001a41acf2c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001a41ac4ac (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001a41ac4a4 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001a41ac484 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00000001a41ac270 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00000001a41ac040 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00000001a41abee0 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00000001a41abec4 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00000001a41ac46c (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00000001a41ac49c (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00000001a41ac48c (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00000001a41ac494 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00000001a41ac474 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00000001a41ac47c (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00000001a41b5534 (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00000001a41b5234 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00000001a41b51e8 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00000001a41b5118 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00000001a41b5394 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00000001a41b5380 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00000001a41ae020 (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00000001a41adfb8 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00000001a41ade84 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00000001a41ae004 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00000001a41b20f8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00000001a41b20b8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00000001a41b20c8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00000001a41b1f08 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00000001a41b1d40 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00000001a41b1bc0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00000001a41b1ba4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00000001a41b20e8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00000001a41b20d8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00000001a41b20d0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00000001a41b20e0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00000001a41b20f0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00000001a41b20b0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00000001a41b20c0 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00000001a41af1a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00000001a41aeb24 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00000001a41ae534 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00000001a41ae60c (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00000001a41ae4e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00000001a41ae4dc (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00000001a41aeaec (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00000001a41af198 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00000001a41ae490 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00000001a41aef90 (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00000001a41ae15c (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00000001a41ae7bc (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00000001a41aedc4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00000001a41aeeb8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00000001a41aeb08 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00000001a41aec10 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00000001a41af17c (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00000001a41af160 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00000001a41af144 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00000001a41af128 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00000001a41ae6e4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00000001a41aece8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00000001a41af110 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00000001a41af0f8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00000001a41af020 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00000001a41aea10 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00000001a41ae904 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00000001a41b1ab4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00000001a41b1648 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00000001a41b186c (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00000001a41b1578 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00000001a41b14a8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00000001a41b1990 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00000001a41a6040 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00000001a41a5ff8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00000001a41a6000 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00000001a41a6018 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00000001a41a5ff4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00000001a41a6008 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00000001a41a5ea8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00000001a41a5a1c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a41a5ca0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a41a5b74 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
