                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffb0ac64545 (__TEXT,__text) external _PFCheckNATRule
00007ffb0ac65010 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb0ac63e85 (__TEXT,__text) non-external ___PFAddressCheck
00007ffb0ac63cc2 (__TEXT,__text) non-external ___PFDirCheck
00007ffb0ac63df3 (__TEXT,__text) non-external ___PFFamilyCheck
00007ffb0ac6465c (__TEXT,__text) non-external ___PFInterfaceExists
00007ffb404a02c8 (__DATA_CONST,__const) non-external ___PFManagerClass
00007ffb0ac618e1 (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00007ffb0ac61983 (__TEXT,__text) non-external ___PFManagerLogCreate
00007ffb0ac64dbd (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00007ffb0ac61c49 (__TEXT,__text) non-external ___PFManagerQueueCreate
00007ffb0ac62008 (__TEXT,__text) non-external ___PFManagerRegister
00007ffb0ac62021 (__TEXT,__text) non-external ___PFManagerRelease
00007ffb0ac64df5 (__TEXT,__text) non-external ___PFManagerRelease.cold.1
00007ffb0ac647bf (__TEXT,__text) non-external ___PFOperatorCheck
00007ffb0ac64891 (__TEXT,__text) non-external ___PFParseFlags
00007ffb0ac646ea (__TEXT,__text) non-external ___PFPortCheck
00007ffb0ac63d30 (__TEXT,__text) non-external ___PFProtocolCheck
00007ffb0ac5f8df (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00007ffb0ac5f64e (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00007ffb404a00f8 (__DATA_CONST,__const) non-external ___PFUserClass
00007ffb0ac5fe40 (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
00007ffb0ac60eae (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00007ffb0ac60fc1 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00007ffb0ac5faa8 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
00007ffb0ac5fc09 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00007ffb0ac60d1a (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00007ffb0ac5f46a (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00007ffb0ac60850 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00007ffb0ac60965 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00007ffb0ac5ff8e (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00007ffb0ac600a1 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00007ffb0ac60abe (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00007ffb0ac60b95 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00007ffb0ac5f967 (__TEXT,__text) non-external ___PFUserGetTransArray
00007ffb0ac606b9 (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00007ffb0ac603cb (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00007ffb0ac604a7 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00007ffb0ac61455 (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00007ffb0ac61189 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00007ffb0ac61262 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00007ffb0ac61528 (__TEXT,__text) non-external ___PFUserRegister
00007ffb0ac61541 (__TEXT,__text) non-external ___PFUserRelease
00007ffb0ac601ec (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00007ffb0ac5fca9 (__TEXT,__text) non-external ___PFUserRemoveTransArray
00007ffb0ac5f45d (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00007ffb0ac64c25 (__TEXT,__text) non-external ___PFXPCResponseHandler
00007ffb0ac615f0 (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00007ffb0ac61700 (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00007ffb0ac61608 (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00007ffb0ac6168f (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00007ffb0ac6161e (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00007ffb0ac616a5 (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00007ffb0ac61634 (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00007ffb0ac61716 (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00007ffb0ac64bb6 (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00007ffb0ac64d92 (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb4049fce8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb404a0328 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb404a0368 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.104
00007ffb4049fd18 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ffb4049fd48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.22
00007ffb4049fd78 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffb4049fda8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00007ffb4049fdd8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00007ffb4049fe08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00007ffb4049fe38 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.31
00007ffb4049fe68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffb4049fe98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35
00007ffb4049fec8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00007ffb4049fef8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00007ffb4049ff28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.39
00007ffb4049ff58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00007ffb4049ff88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.43
00007ffb4049ffb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00007ffb4049ffe8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00007ffb404a0018 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00007ffb404a0048 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.48
00007ffb404a0078 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.52
00007ffb404a0098 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.53
00007ffb404a00c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00007ffb404a0158 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.58
00007ffb404a0178 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.64
00007ffb404a01a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.66
00007ffb404a01d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.68
00007ffb404a0208 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.70
00007ffb404a0238 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.72
00007ffb404a0268 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.74
00007ffb404a0298 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.76
00007ffb404a0348 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb0ac64da6 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffb0ac5fd07 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ffb0ac5f508 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffb0ac5f700 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffb0ac5fc96 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffb0ac5fd3f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ffb0ac5f51f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffb0ac5f738 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
00007ffb41a7a338 (__DATA,__bss) non-external ___pfDictIdentifier
00007ffb41a7a350 (__DATA,__bss) non-external ___pfLog
00007ffb41a7a358 (__DATA,__bss) non-external ___pfLogError
00007ffb41a79ff0 (__DATA,__data) non-external ___pfLogInit
00007ffb41a7a348 (__DATA,__bss) non-external ___pfManager
00007ffb41a7a378 (__DATA,__bss) non-external ___pfManagerTypeID
00007ffb41a7a010 (__DATA,__data) non-external ___pfManagerTypeInit
00007ffb41a7a360 (__DATA,__bss) non-external ___pfQueue
00007ffb41a7a368 (__DATA,__bss) non-external ___pfQueueError
00007ffb41a7a000 (__DATA,__data) non-external ___pfQueueInit
00007ffb41a7a340 (__DATA,__bss) non-external ___pfUserTypeID
00007ffb41a79fe0 (__DATA,__data) non-external ___pfUserTypeInit
00007ffb41a7a370 (__DATA,__bss) non-external ___pfXpcQueue
00007ffb41a7a388 (__DATA,__bss) non-external ___pfconnection
00007ffb41a7a380 (__DATA,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
00007ffb41a7a128 (__DATA,__data) external _kPFAction
00007ffb41a7a110 (__DATA,__data) external _kPFAdaptiveFirewall
00007ffb41a7a098 (__DATA,__data) external _kPFAirDrop
00007ffb41a7a1c8 (__DATA,__data) external _kPFAllowOpts
00007ffb41a7a328 (__DATA,__data) external _kPFAny
00007ffb41a7a0a0 (__DATA,__data) external _kPFApplicationFirewall
00007ffb41a7a0b0 (__DATA,__data) external _kPFBase
00007ffb41a7a0d0 (__DATA,__data) external _kPFBase_nat64
00007ffb41a7a0d8 (__DATA,__data) external _kPFBase_nat66
00007ffb41a7a0c0 (__DATA,__data) external _kPFBase_v4
00007ffb41a7a0c8 (__DATA,__data) external _kPFBase_v6
00007ffb41a7a218 (__DATA,__data) external _kPFBytesIn
00007ffb41a7a220 (__DATA,__data) external _kPFBytesOut
00007ffb41a7a118 (__DATA,__data) external _kPFCustomFirewall
00007ffb41a7a108 (__DATA,__data) external _kPFDefaultFirewall
00007ffb41a7a138 (__DATA,__data) external _kPFDirection
00007ffb41a7a1d8 (__DATA,__data) external _kPFDummyNet
00007ffb41a7a1e0 (__DATA,__data) external _kPFExtFilter
00007ffb41a7a1e8 (__DATA,__data) external _kPFExtMap
00007ffb41a7a088 (__DATA,__data) external _kPFFTPProxy
00007ffb41a7a148 (__DATA,__data) external _kPFFamily
00007ffb41a7a190 (__DATA,__data) non-external (was a private external) _kPFFlagSet
00007ffb41a7a188 (__DATA,__data) external _kPFFlags
00007ffb41a7a160 (__DATA,__data) external _kPFFrom
00007ffb41a7a1a0 (__DATA,__data) external _kPFGroup
00007ffb41a7a0f0 (__DATA,__data) external _kPFHost_v4
00007ffb41a7a0f8 (__DATA,__data) external _kPFHost_v6
00007ffb41a7a1b0 (__DATA,__data) external _kPFICMP
00007ffb41a7a140 (__DATA,__data) external _kPFInterface
00007ffb41a7a070 (__DATA,__data) external _kPFInternetSharing
00007ffb41a7a1c0 (__DATA,__data) external _kPFKeepState
00007ffb41a7a1a8 (__DATA,__data) external _kPFLog
00007ffb41a7a100 (__DATA,__data) external _kPFMDNS
00007ffb41a7a200 (__DATA,__data) external _kPFMaxStates
00007ffb41a7a170 (__DATA,__data) external _kPFNATDest
00007ffb41a7a1f8 (__DATA,__data) external _kPFNATPass
00007ffb41a7a180 (__DATA,__data) external _kPFNATRDRAddress
00007ffb41a7a168 (__DATA,__data) external _kPFNATSrc
00007ffb41a7a078 (__DATA,__data) external _kPFNLC
00007ffb41a7a208 (__DATA,__data) external _kPFPacketsIn
00007ffb41a7a210 (__DATA,__data) external _kPFPacketsOut
00007ffb41a7a0b8 (__DATA,__data) external _kPFPortMapping
00007ffb41a7a150 (__DATA,__data) external _kPFProtocol
00007ffb41a7a158 (__DATA,__data) external _kPFQuick
00007ffb41a7a1f0 (__DATA,__data) external _kPFRTableID
00007ffb41a7a130 (__DATA,__data) external _kPFReturnOptions
00007ffb41a7a228 (__DATA,__data) external _kPFRuleID
00007ffb41a7a1b8 (__DATA,__data) external _kPFScrubOptions
00007ffb41a7a090 (__DATA,__data) external _kPFServerFirewall
00007ffb41a7a0e0 (__DATA,__data) external _kPFShared_v4
00007ffb41a7a0e8 (__DATA,__data) external _kPFShared_v6
00007ffb41a7a238 (__DATA,__data) external _kPFSubAddress
00007ffb41a7a230 (__DATA,__data) external _kPFSubAddressLabel
00007ffb41a7a318 (__DATA,__data) external _kPFSubDummyNetPipe
00007ffb41a7a320 (__DATA,__data) external _kPFSubDummyNetPipeType
00007ffb41a7a240 (__DATA,__data) external _kPFSubDynInterface
00007ffb41a7a288 (__DATA,__data) external _kPFSubGroupName
00007ffb41a7a2a0 (__DATA,__data) external _kPFSubGroupOperator
00007ffb41a7a298 (__DATA,__data) external _kPFSubHighGroupID
00007ffb41a7a258 (__DATA,__data) external _kPFSubHighPort
00007ffb41a7a278 (__DATA,__data) external _kPFSubHighUserID
00007ffb41a7a2c0 (__DATA,__data) external _kPFSubICMPCode
00007ffb41a7a2b8 (__DATA,__data) external _kPFSubICMPType
00007ffb41a7a2a8 (__DATA,__data) external _kPFSubLogFlags
00007ffb41a7a2b0 (__DATA,__data) external _kPFSubLogTo
00007ffb41a7a290 (__DATA,__data) external _kPFSubLowGroupID
00007ffb41a7a250 (__DATA,__data) external _kPFSubLowPort
00007ffb41a7a270 (__DATA,__data) external _kPFSubLowUserID
00007ffb41a7a248 (__DATA,__data) external _kPFSubNegated
00007ffb41a7a2f8 (__DATA,__data) external _kPFSubNotTagged
00007ffb41a7a260 (__DATA,__data) external _kPFSubPortOperator
00007ffb41a7a2e0 (__DATA,__data) external _kPFSubReturnICMP6Code
00007ffb41a7a2d8 (__DATA,__data) external _kPFSubReturnICMPCode
00007ffb41a7a2d0 (__DATA,__data) external _kPFSubReturnTTL
00007ffb41a7a2c8 (__DATA,__data) external _kPFSubReturnType
00007ffb41a7a300 (__DATA,__data) external _kPFSubScrubFlags
00007ffb41a7a310 (__DATA,__data) external _kPFSubScrubMaxMSS
00007ffb41a7a308 (__DATA,__data) external _kPFSubScrubMinTTL
00007ffb41a7a2e8 (__DATA,__data) external _kPFSubTag
00007ffb41a7a2f0 (__DATA,__data) external _kPFSubTagged
00007ffb41a7a268 (__DATA,__data) external _kPFSubUserName
00007ffb41a7a280 (__DATA,__data) external _kPFSubUserOperator
00007ffb41a7a1d0 (__DATA,__data) external _kPFTagDict
00007ffb41a7a0a8 (__DATA,__data) external _kPFThreadBR
00007ffb41a7a120 (__DATA,__data) external _kPFThreadBR_nat64
00007ffb41a7a178 (__DATA,__data) external _kPFTo
00007ffb41a7a330 (__DATA,__data) external _kPFUnknown
00007ffb41a7a198 (__DATA,__data) external _kPFUser
00007ffb41a7a080 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
00007ffb41a7a020 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
00007ffb41a7a040 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
00007ffb41a7a038 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
00007ffb41a7a068 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
00007ffb41a7a060 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
00007ffb41a7a058 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
00007ffb41a7a050 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
00007ffb41a7a048 (__DATA,__data) non-external (was a private external) _pfXPCKeyRuleArray
00007ffb41a7a030 (__DATA,__data) non-external (was a private external) _pfXPCKeyType
00007ffb41a7a028 (__DATA,__data) non-external (was a private external) _pfXPCService
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strndup (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strtol (from libSystem)
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _xpc_array_append_value (from libSystem)
                 (undefined) external _xpc_array_create (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_connection_cancel (from libSystem)
                 (undefined) external _xpc_connection_create_mach_service (from libSystem)
                 (undefined) external _xpc_connection_resume (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply_sync (from libSystem)
                 (undefined) external _xpc_connection_set_event_handler (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_bool (from libSystem)
                 (undefined) external _xpc_dictionary_get_string (from libSystem)
                 (undefined) external _xpc_dictionary_get_uint64 (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_bool (from libSystem)
                 (undefined) external _xpc_dictionary_set_data (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_dictionary_set_uint64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_value (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
                 (undefined) external _xpc_string_get_string_ptr (from libSystem)
                 (undefined) external _xpc_uint64_get_value (from libSystem)
