00007ffe07674052 (__TEXT,__text) non-external _Done_iODBC
00007ffe433a7230 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffe433a7250 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffe433a7258 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffe0767d415 (__TEXT,__text) external _SQLDescribeCol
00007ffe0767d5f7 (__TEXT,__text) external _SQLDescribeColA
00007ffe0767d7d9 (__TEXT,__text) external _SQLDescribeColW
00007ffe0767d15d (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffe076712a7 (__TEXT,__text) external _SQLDescribeParam
00007ffe0766f551 (__TEXT,__text) external _SQLDisconnect
00007ffe0766e5cf (__TEXT,__text) external _SQLDriverConnect
00007ffe0766e762 (__TEXT,__text) external _SQLDriverConnectA
00007ffe0766e8f5 (__TEXT,__text) external _SQLDriverConnectW
00007ffe0766cb7b (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffe07691ad7 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffe07691afa (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffe076793ca (__TEXT,__text) external _SQLDrivers
00007ffe076794f0 (__TEXT,__text) external _SQLDriversA
00007ffe07679616 (__TEXT,__text) external _SQLDriversW
00007ffe07678f9c (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffe433a7234 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffe433a7260 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffe433a7268 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffe07683fea (__TEXT,__text) external _SQLEndTran
00007ffe076749f2 (__TEXT,__text) external _SQLError
00007ffe07674ad7 (__TEXT,__text) external _SQLErrorA
00007ffe07674bbc (__TEXT,__text) external _SQLErrorW
00007ffe07670781 (__TEXT,__text) external _SQLExecDirect
00007ffe076708bd (__TEXT,__text) external _SQLExecDirectA
00007ffe076709f9 (__TEXT,__text) external _SQLExecDirectW
00007ffe07670528 (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffe0767026f (__TEXT,__text) external _SQLExecute
00007ffe076719fb (__TEXT,__text) external _SQLExtendedFetch
00007ffe07671751 (__TEXT,__text) external _SQLFetch
00007ffe076842b8 (__TEXT,__text) external _SQLFetchScroll
00007ffe07671584 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffe076689d1 (__TEXT,__text) external _SQLForeignKeys
00007ffe07668bd6 (__TEXT,__text) external _SQLForeignKeysA
00007ffe07668ddb (__TEXT,__text) external _SQLForeignKeysW
00007ffe0766860a (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffe076726f9 (__TEXT,__text) external _SQLFreeConnect
00007ffe07672659 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffe07673fd2 (__TEXT,__text) external _SQLFreeEnv
00007ffe07673f61 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffe0767e805 (__TEXT,__text) external _SQLFreeHandle
00007ffe076775c1 (__TEXT,__text) external _SQLFreeStmt
00007ffe07677381 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffe0768e6b5 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffe07681495 (__TEXT,__text) external _SQLGetConnectAttr
00007ffe076819a6 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffe07681aee (__TEXT,__text) external _SQLGetConnectAttrW
00007ffe076815dd (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffe076735f5 (__TEXT,__text) external _SQLGetConnectOption
00007ffe0767371b (__TEXT,__text) external _SQLGetConnectOptionA
00007ffe07673841 (__TEXT,__text) external _SQLGetConnectOptionW
00007ffe0767c87d (__TEXT,__text) external _SQLGetCursorName
00007ffe0767c9d5 (__TEXT,__text) external _SQLGetCursorNameA
00007ffe0767cb2d (__TEXT,__text) external _SQLGetCursorNameW
00007ffe0767c64d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffe07671b8d (__TEXT,__text) external _SQLGetData
00007ffe07681eb0 (__TEXT,__text) external _SQLGetDescField
00007ffe07682030 (__TEXT,__text) external _SQLGetDescFieldA
00007ffe076821b0 (__TEXT,__text) external _SQLGetDescFieldW
00007ffe07681c36 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffe07682ad3 (__TEXT,__text) external _SQLGetDescRec
00007ffe07682c85 (__TEXT,__text) external _SQLGetDescRecA
00007ffe07682e37 (__TEXT,__text) external _SQLGetDescRecW
00007ffe076828d2 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffe076768c8 (__TEXT,__text) external _SQLGetDiagField
00007ffe076769b0 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffe07676a98 (__TEXT,__text) external _SQLGetDiagFieldW
00007ffe0767574d (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffe07675480 (__TEXT,__text) external _SQLGetDiagRec
00007ffe0767556f (__TEXT,__text) external _SQLGetDiagRecA
00007ffe0767565e (__TEXT,__text) external _SQLGetDiagRecW
00007ffe07674ca1 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffe0767ef06 (__TEXT,__text) external _SQLGetEnvAttr
00007ffe0767a390 (__TEXT,__text) external _SQLGetFunctions
00007ffe07679f8b (__TEXT,__text) external _SQLGetInfo
00007ffe0767a0e2 (__TEXT,__text) external _SQLGetInfoA
00007ffe0767a239 (__TEXT,__text) external _SQLGetInfoW
00007ffe07679865 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffe076914af (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffe076914e8 (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffe07690ecd (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffe0769111f (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffe0767f8c0 (__TEXT,__text) external _SQLGetStmtAttr
00007ffe0767fa1e (__TEXT,__text) external _SQLGetStmtAttrA
00007ffe0767fb7c (__TEXT,__text) external _SQLGetStmtAttrW
00007ffe0767f0c0 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffe07677df3 (__TEXT,__text) external _SQLGetStmtOption
00007ffe07677f30 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffe07677be7 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffe076658c8 (__TEXT,__text) external _SQLGetTypeInfo
00007ffe076659f0 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffe07665b18 (__TEXT,__text) external _SQLGetTypeInfoW
00007ffe07665730 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffe07671f47 (__TEXT,__text) external _SQLMoreResults
00007ffe0766f97c (__TEXT,__text) external _SQLNativeSql
00007ffe0766faf8 (__TEXT,__text) external _SQLNativeSqlA
00007ffe0766fc74 (__TEXT,__text) external _SQLNativeSqlW
00007ffe0766f6b8 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffe07671099 (__TEXT,__text) external _SQLNumParams
00007ffe0767cf79 (__TEXT,__text) external _SQLNumResultCols
00007ffe07670ddf (__TEXT,__text) external _SQLParamData
00007ffe0767ba33 (__TEXT,__text) external _SQLParamOptions
00007ffe0767ac6b (__TEXT,__text) external _SQLPrepare
00007ffe0767ada7 (__TEXT,__text) external _SQLPrepareA
00007ffe0767aee3 (__TEXT,__text) external _SQLPrepareW
00007ffe0767aa54 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffe07669262 (__TEXT,__text) external _SQLPrimaryKeys
00007ffe07669418 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffe076695ce (__TEXT,__text) external _SQLPrimaryKeysW
00007ffe07668fe0 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffe07669a64 (__TEXT,__text) external _SQLProcedureColumns
00007ffe07669c35 (__TEXT,__text) external _SQLProcedureColumnsA
00007ffe07669e06 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffe07669784 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffe0766a259 (__TEXT,__text) external _SQLProcedures
00007ffe0766a40f (__TEXT,__text) external _SQLProceduresA
00007ffe0766a5c5 (__TEXT,__text) external _SQLProceduresW
00007ffe07669fd7 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffe07670b35 (__TEXT,__text) external _SQLPutData
00007ffe0768de85 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffe0768dff4 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffe0767cc85 (__TEXT,__text) external _SQLRowCount
00007ffe07691521 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffe07680eb7 (__TEXT,__text) external _SQLSetConnectAttr
00007ffe07681215 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffe07681355 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffe07680ff7 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffe07672e59 (__TEXT,__text) external _SQLSetConnectOption
00007ffe07672f7f (__TEXT,__text) external _SQLSetConnectOptionA
00007ffe076730a5 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffe0767b1dc (__TEXT,__text) external _SQLSetCursorName
00007ffe0767b31e (__TEXT,__text) external _SQLSetCursorNameA
00007ffe0767b460 (__TEXT,__text) external _SQLSetCursorNameW
00007ffe0767b01f (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffe076824c7 (__TEXT,__text) external _SQLSetDescField
00007ffe07682620 (__TEXT,__text) external _SQLSetDescFieldA
00007ffe07682779 (__TEXT,__text) external _SQLSetDescFieldW
00007ffe07682330 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffe07682fe9 (__TEXT,__text) external _SQLSetDescRec
00007ffe0767ed16 (__TEXT,__text) external _SQLSetEnvAttr
00007ffe0767ee33 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffe07691a61 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffe07691a72 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffe0767c240 (__TEXT,__text) external _SQLSetParam
00007ffe07672344 (__TEXT,__text) external _SQLSetPos
00007ffe0767bd47 (__TEXT,__text) external _SQLSetScrollOptions
00007ffe07680aac (__TEXT,__text) external _SQLSetStmtAttr
00007ffe07680c05 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffe07680d5e (__TEXT,__text) external _SQLSetStmtAttrW
00007ffe0767fcda (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffe076776f9 (__TEXT,__text) external _SQLSetStmtOption
00007ffe07677aab (__TEXT,__text) external _SQLSetStmtOptionA
00007ffe07677835 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffe07665f07 (__TEXT,__text) external _SQLSpecialColumns
00007ffe076660eb (__TEXT,__text) external _SQLSpecialColumnsA
00007ffe076662cf (__TEXT,__text) external _SQLSpecialColumnsW
00007ffe07665c40 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffe0766676b (__TEXT,__text) external _SQLStatistics
00007ffe0766694d (__TEXT,__text) external _SQLStatisticsA
00007ffe07666b2f (__TEXT,__text) external _SQLStatisticsW
00007ffe076664b3 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffe0766a9fd (__TEXT,__text) external _SQLTablePrivileges
00007ffe0766abb3 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffe0766ad69 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffe0766a77b (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffe07666ff1 (__TEXT,__text) external _SQLTables
00007ffe076671c2 (__TEXT,__text) external _SQLTablesA
00007ffe07667393 (__TEXT,__text) external _SQLTablesW
00007ffe07666d11 (__TEXT,__text) non-external _SQLTables_Internal
00007ffe07673c6e (__TEXT,__text) external _SQLTransact
00007ffe07673967 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffe0768e7a0 (__TEXT,__text) non-external _SQLValidDSN
00007ffe0768e7ff (__TEXT,__text) non-external _SQLValidDSNW
00007ffe0768dc1c (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffe0768dcc7 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffe07691682 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffe076918a3 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffe07678aaf (__TEXT,__text) non-external _SectSorter
00007ffe0768e702 (__TEXT,__text) non-external _ValidDSN
00007ffe0768e754 (__TEXT,__text) non-external _ValidDSNW
00007ffe07691578 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffe0767ebdc (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffe07670060 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffe07670080 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffe0768f853 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffe07690c62 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffe433a72a0 (__DATA,__common) non-external __iodbc_env_counter
00007ffe0768e1f4 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffe07678494 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffe0767856c (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffe0767186e (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffe0767732e (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffe076731cb (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffe0767ce50 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffe0767758b (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffe076727d8 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffe0766b175 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffe076721d8 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffe07678521 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffe07678268 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffe433a72a8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffe07678638 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffe0766582d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffe07665880 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffe0768ff41 (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffe0768f232 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffe0768f9d3 (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffe0768f688 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffe0768f17c (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffe0767a87a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffe076901ea (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffe0768f91f (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffe0767a8f7 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffe0767a770 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffe0768f263 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffe0768f8f9 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffe0766e2e0 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffe0769021c (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffe0768f752 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffe0767a943 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffe0768fadc (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffe0768e440 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffe0766e078 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffe076782f5 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffe076783c9 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffe0766e1a2 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffe076701b0 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffe076701fd (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffe07670106 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffe076700fc (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffe07670234 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffe0766b424 (__TEXT,__text) non-external __iodbcdm_driverload
00007ffe0766bbf8 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffe07677245 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffe07672dec (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffe0766af72 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffe07674058 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffe0766ff7a (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffe0768e4e6 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffe076700aa (__TEXT,__text) non-external __iodbcdm_getproc
00007ffe433a7248 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffe076903fa (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffe0769033a (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffe0767d101 (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffe0767d0a5 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffe0766fdf0 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffe0766af20 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffe07691a91 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffe0766de1c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffe0766e4d0 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffe0766b04c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffe0766e42e (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffe0767407b (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffe0768e48a (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffe07670207 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffe076740e8 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffe0768e637 (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffe0768e5e3 (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffe07673a4a (__TEXT,__text) non-external __iodbcdm_transact
00007ffe412552b0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffe41255f50 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffe41256000 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffe41255370 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffe41255410 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffe41255ab0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffe41255af0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffe412557c0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffe41255b40 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffe41255b60 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffe41255b80 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffe41255870 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffe41255bb0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffe41255bd0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffe41255280 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffe41255290 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffe41255790 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffe41255c00 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffe41255c50 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffe41255c70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffe41255c80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffe41255cd0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffe41255cf0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffe41255d70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffe41255d80 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffe41255db0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffe41255dd0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffe41255e50 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffe41255e90 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffe41255ea0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffe41255eb0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffe41255ec0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffe41255ee0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffe41255f00 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffe41255f20 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffe41255f30 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffe41255e70 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffe412553c0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffe41255900 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffe412558b0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffe412558e0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffe41256090 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffe412560b0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffe41256170 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffe41255920 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffe412557b0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffe41255940 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffe41255440 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffe41255510 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffe41256190 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffe41255530 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffe41255540 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffe41255960 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffe412561b0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffe412561d0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffe412559d0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffe412559a0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffe412561f0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
