00000002372d6a78 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002957be628 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00000002957be610 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00000002957be60c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00000002957be648 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00000002957be654 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00000002957be630 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00000002957be634 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00000002957be64c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00000002957be650 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00000002957be640 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00000002957be638 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00000002957be63c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00000002957be658 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00000002957be644 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00000002957be62c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
0000000298dff5d0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
0000000298dff620 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
0000000298dff710 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
0000000298dff6c0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
0000000298dff670 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000298dffa60 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
000000029b78d388 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
000000029b78d628 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
000000029b78d720 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000298dff480 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029b78d7f8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029b78d480 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00000002372dc048 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029b78d360 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
000000029b78d5c0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
000000029b78d6b8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029b78d510 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029b78d7b0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029b78d418 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
000000029b78d318 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
000000029b78d578 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
000000029b78d670 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029b78d4c8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029b78d768 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029b78d3d0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000029b78d840 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00000002372dc068 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002372dc1d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00000002372dc208 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00000002372dc3b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00000002372dc480 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00000002372dc570 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00000002372dc5c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
000000029b78d9d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
000000029b78dc80 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
000000029b78e0c8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
000000029b78dff8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
000000029b78da98 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
000000029b78dda8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
000000029b78e230 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
000000029b78e020 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
000000029b78df00 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
000000029b78d880 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000002372dc638 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000002372dc650 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000002372dc740 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000029b78d968 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
000000029b78d8c8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000029b78d970 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
000000029b78dbf0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
000000029b78de70 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
000000029b78e308 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
000000029b78e038 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
000000029b78df68 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
000000028ff0f660 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
000000028ff0f658 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
000000029b78d988 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
000000029b78dc38 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
000000029b78e080 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
000000029b78dfb0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
000000029b78deb8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00000002957be918 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000002957be8b8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000028ff0fc80 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00000002372d7ee4 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00000002372d80a4 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
00000002372d16f8 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00000002372d7ecc (__TEXT,__text) non-external ___Block_byref_object_copy_
00000002372d7edc (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
000000028ff0f5d8 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
000000029b78caa8 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002372d8000 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00000002372d8058 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00000002372bd848 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00000002372bdd3c (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00000002372bd7b4 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00000002372bda2c (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00000002372bda2c (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00000002372bd8d8 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
00000002372bbba0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
00000002372bede8 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00000002372d12bc (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00000002372cf168 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00000002372c65f4 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00000002372bdea8 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00000002372c6bec (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00000002372bdf44 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00000002372c6468 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
00000002372becf4 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00000002372c6600 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00000002372bd804 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00000002372bbbf4 (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
00000002372dcec0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00000002372ddf50 (__TEXT,__const) non-external ___unnamed_2
00000002372dd9b8 (__TEXT,__const) non-external ___unnamed_34
00000002372dca38 (__TEXT,__const) non-external ___unnamed_9
00000002372d5958 (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
000000028ff0f580 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
