000000021fe61d80 (__TEXT,__text) external _AAAFSCGetMetadata
000000021fe52578 (__TEXT,__text) external _AAHeaderSetFieldString
000000021fe52a44 (__TEXT,__text) external _AAHeaderSetFieldTimespec
000000021fe52360 (__TEXT,__text) external _AAHeaderSetFieldUInt
000000021fe60a50 (__TEXT,__text) external _AAMagicInputStreamOpen
000000021fe1c030 (__TEXT,__text) external _AAMemoryInputStreamOpen
000000021fe1c48c (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
000000021fe1c28c (__TEXT,__text) external _AAMemoryOutputStreamOpen
000000021fe01fe8 (__TEXT,__text) external _AAPathFilterAddRule
000000021fe024d4 (__TEXT,__text) external _AAPathFilterApply
000000021fe6d2e4 (__TEXT,__text) non-external _AAPathFilterApply.cold.1
000000021fe6d364 (__TEXT,__text) non-external _AAPathFilterApply.cold.2
000000021fe01e74 (__TEXT,__text) external _AAPathFilterCreate
000000021fe01f58 (__TEXT,__text) external _AAPathFilterDestroy
000000021fe49210 (__TEXT,__text) external _AAPathListCreate
000000021fe493e0 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
000000021fe4a99c (__TEXT,__text) external _AAPathListCreateWithPath
000000021fe49394 (__TEXT,__text) external _AAPathListDestroy
000000021fe4aee0 (__TEXT,__text) external _AAPathListGetNode
000000021fe4b01c (__TEXT,__text) external _AAPathListMerge
000000021fe4b198 (__TEXT,__text) external _AAPathListNodeFirst
000000021fe4ad60 (__TEXT,__text) external _AAPathListNodeGetPath
000000021fe4b1a8 (__TEXT,__text) external _AAPathListNodeNext
000000021fe12cb8 (__TEXT,__text) external _AARandomAccessByteStreamProcess
000000021fe43f60 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
000000021fe24190 (__TEXT,__text) external _AARangeInputStreamOpen
000000021fe168f4 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
000000021fe60880 (__TEXT,__text) external _AASharedBufferPipeOpen
000000021fe60d5c (__TEXT,__text) external _AATeeOutputStreamOpen
000000021fe60608 (__TEXT,__text) external _AATempFileStreamOpen
000000021fe60610 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
000000021fe33250 (__TEXT,__text) external _AATempStreamOpen
000000021fe33258 (__TEXT,__text) external _AATempStreamOpenWithDirectory
000000021fe42f60 (__TEXT,__text) external _AAThreadErrorContextEnter
000000021fe42f64 (__TEXT,__text) external _AAThreadErrorContextLeave
000000021fe055ec (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
000000021fe01514 (__TEXT,__text) external _AEAAuthDataAppendEntry
000000021fe01b80 (__TEXT,__text) external _AEAAuthDataClear
000000021fe00dec (__TEXT,__text) external _AEAAuthDataCreate
000000021fe00ed8 (__TEXT,__text) external _AEAAuthDataCreateWithContext
000000021fe00e60 (__TEXT,__text) external _AEAAuthDataDestroy
000000021fe01c94 (__TEXT,__text) external _AEAAuthDataGetEncodedData
000000021fe01c8c (__TEXT,__text) external _AEAAuthDataGetEncodedSize
000000021fe013bc (__TEXT,__text) external _AEAAuthDataGetEntry
000000021fe013b4 (__TEXT,__text) external _AEAAuthDataGetEntryCount
000000021fe01b90 (__TEXT,__text) external _AEAAuthDataRemoveEntry
000000021fe01888 (__TEXT,__text) external _AEAAuthDataSetEntry
000000021fe37034 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
000000021fe36f6c (__TEXT,__text) external _AEAContextCreateWithProfile
000000021fe15928 (__TEXT,__text) external _AEAContextDecryptAttributes
000000021fe36ed4 (__TEXT,__text) external _AEAContextDestroy
000000021fe37bd8 (__TEXT,__text) external _AEAContextGenerateFieldBlob
000000021fe37d84 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
000000021fe37408 (__TEXT,__text) external _AEAContextGetFieldBlob
000000021fe37314 (__TEXT,__text) external _AEAContextGetFieldUInt
000000021fe3786c (__TEXT,__text) external _AEAContextSetFieldBlob
000000021fe37d10 (__TEXT,__text) external _AEAContextSetFieldCallback
000000021fe37674 (__TEXT,__text) external _AEAContextSetFieldUInt
000000021fe07be4 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
000000021fe07768 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
000000021fe07808 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
000000021fe076b4 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
000000021fdfed24 (__TEXT,__text) external _AEADecryptAndExtract
000000021fe3e640 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
000000021fdfe7e0 (__TEXT,__text) external _AEADecryptAndExtractChunk
000000021fe3fe80 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
000000021fdf7444 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
000000021fe118d8 (__TEXT,__text) external _AEADecryptInPlace
000000021fe17dc8 (__TEXT,__text) external _AEADecryptToFile
000000021fe32548 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
000000021fe1786c (__TEXT,__text) external _AEADecryptToFileChunk
000000021fe331b0 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
000000021fe6ba20 (__TEXT,__text) external _AEADecryptToStream
000000021fe6b1cc (__TEXT,__text) external _AEADecryptToStreamChunk
000000021fe13544 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
000000021fe092f0 (__TEXT,__text) external _AEADecryptionInputStreamOpen
000000021fdfc7a8 (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
000000021fe11e18 (__TEXT,__text) external _AEAEncryptInPlace
000000021fe0cdcc (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
000000021fe0c18c (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
000000021fe0c750 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
000000021fe11fe4 (__TEXT,__text) external _AEAKeychainGenerateItem
000000021fe12924 (__TEXT,__text) external _AEAKeychainHasItem
000000021fe12760 (__TEXT,__text) external _AEAKeychainLoadItem
000000021fe12a3c (__TEXT,__text) external _AEAKeychainRemoveItem
000000021fe12294 (__TEXT,__text) external _AEAKeychainStoreItem
000000021fe04dc8 (__TEXT,__text) external _AEAStreamSign
000000021fe3544c (__TEXT,__text) non-external (was a private external) _BXDiff5
000000021fe0feb0 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
000000021fe35458 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
000000021fe1e4fc (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
000000021fe1f5f8 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
000000021fe1f644 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
000000021fe1f958 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
000000021fe1f960 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
000000021fe1f968 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
000000021fe1f970 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
000000021fe10a60 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
000000021fe10d1c (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
000000021fe0ff14 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
000000021fe10bac (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
000000021fe1c690 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
000000021fe1c5f0 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
000000021fe1c544 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
000000021fe13758 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
000000021fe1371c (__TEXT,__text) non-external _BlockDecryptionStreamClose
000000021fe1377c (__TEXT,__text) non-external _BlockDecryptionStreamPRead
000000021fe13af0 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
000000021fe2747c (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
000000021fe2741c (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
000000021fe2742c (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
000000021fe29540 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
000000021fe29538 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
000000021fe2953c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
000000021fe7fd2c (__TEXT,__const) non-external _CKSUMTable
000000021fe64f28 (__TEXT,__text) non-external _CompressionConsumerProc
000000021fe64d4c (__TEXT,__text) non-external _CompressionWorkerDataCreate
000000021fe65c2c (__TEXT,__text) non-external _CompressionWorkerDataDestroy
000000021fe64e90 (__TEXT,__text) non-external _CompressionWorkerProc
000000021fe0853c (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
000000021fe081b0 (__TEXT,__text) non-external _DHESender_ECDHE_P256
000000021fe08ab8 (__TEXT,__text) non-external _DSASign_ECDSA_P256
000000021fe08d24 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
000000021fe08894 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
000000021fe08a3c (__TEXT,__text) non-external _Digest_SHA256
000000021fe13dc0 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
000000021fe13afc (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
000000021fe7fb00 (__TEXT,__const) non-external _ECC65537_G
000000021fe1ce4c (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
000000021fe39028 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
000000021fe385e8 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
000000021fe07514 (__TEXT,__text) non-external _HKDFDerive
000000021fe090c4 (__TEXT,__text) non-external _HMACDerive_SHA256
000000021fe0904c (__TEXT,__text) non-external _HMACFinal_SHA256
000000021fe08f94 (__TEXT,__text) non-external _HMACInit_SHA256
000000021fe09020 (__TEXT,__text) non-external _HMACUpdate_SHA256
000000021fe091e8 (__TEXT,__text) non-external _HMACVerify_SHA256
000000021fe14d60 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
000000021fe14b10 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
000000021fe14c5c (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
000000021fe14d4c (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
000000021fe14ac8 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
000000021fe20df0 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
000000021fe20a24 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
000000021fe20d98 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
000000021fe20f14 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
000000021fe14d70 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
000000021fe15390 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
000000021fe15300 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
000000021fe1542c (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
000000021fe21c10 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
000000021fe21b20 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
000000021fe21c0c (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
000000021fe21b98 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
000000021fe2084c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
000000021fe3851c (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
000000021fe37f00 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
000000021fe20610 (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
000000021fe205ac (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
000000021fe2083c (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
000000021fe20844 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
000000021fe1ff20 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
000000021fe200e4 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
000000021fe20030 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
000000021fe201e0 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
000000021fe20294 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
000000021fe20350 (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
000000021fe20088 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
000000021fe20074 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
000000021fe20098 (__TEXT,__text) non-external (was a private external) _MemBufferGetFreePtr
000000021fe2007c (__TEXT,__text) non-external (was a private external) _MemBufferGetFreeSize
000000021fe1ffb4 (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseCapacity
000000021fe20168 (__TEXT,__text) non-external (was a private external) _MemBufferIncreaseSize
000000021fe20430 (__TEXT,__text) non-external (was a private external) _MemBufferTransmit
000000021fe21254 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamCreate
000000021fe21514 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroy
000000021fe21524 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamDestroyEx
000000021fe21714 (__TEXT,__text) non-external (was a private external) _OArchiveFileStreamWrite
000000021fe21c20 (__TEXT,__text) non-external (was a private external) _OBufferedStreamCreate
000000021fe21cfc (__TEXT,__text) non-external (was a private external) _OBufferedStreamDestroy
000000021fe21d54 (__TEXT,__text) non-external (was a private external) _OBufferedStreamWrite
000000021fe1dc80 (__TEXT,__text) non-external (was a private external) _OECCStreamCreate
000000021fe1de84 (__TEXT,__text) non-external (was a private external) _OECCStreamDestroy
000000021fe1ded0 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataPtr
000000021fe1dee8 (__TEXT,__text) non-external (was a private external) _OECCStreamGetDataSize
000000021fe1df00 (__TEXT,__text) non-external (was a private external) _OECCStreamWrite
000000021fe21050 (__TEXT,__text) non-external (was a private external) _OFileStreamCreateWithFilename
000000021fe21130 (__TEXT,__text) non-external (was a private external) _OFileStreamDestroy
000000021fe21180 (__TEXT,__text) non-external (was a private external) _OFileStreamWrite
000000021fe21a30 (__TEXT,__text) non-external (was a private external) _OMemStreamCreate
