00007ff80df1bd02 (__TEXT,__text) non-external _Annihilate
00007ff80df16e5e (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80df1853c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80df19c1a (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80df15780 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80df57294 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80df585e8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80df58e60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80df596d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80df59f50 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80df5a7c8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80df5b040 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80df5b8b8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80df5c1de (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80df574f8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80df57d70 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80df2dcc2 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80df46f88 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80df3a132 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80df2d249 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80df3a009 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80df227a8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80df22879 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80df22958 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80df22844 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80df26af5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80df26aec (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80df269cc (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80df29302 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80df26aae (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80df26a95 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80df2275c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80df292c7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80df29237 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80df290d8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80df291be (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80df26a00 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80df26b1c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80df224ea (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80df224f7 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80df1cfbe (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80df0e1a3 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80df0fe70 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80df0df28 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80df0e075 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80df13064 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80df10e3d (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80df0e179 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80df0de80 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80df13077 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80df130ed (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80df2533c (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80df2c1ba (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80df54eac (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80df1bc0e (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80df1bdcc (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80df3db50 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80df33f0c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80df34c0e (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80df3320a (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80df33c46 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80df34948 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80df32f44 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80df34122 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80df34e24 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80df33420 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80df33f9b (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80df34c9d (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80df33299 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80df225bc (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80df1cfaa (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80df601d0 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80df3daec (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80df1bab9 (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80df38113 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80df56b80 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80df61306 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80df2d4cb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80df43924 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80df43e74 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80df433e8 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80df87ea0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80df22620 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80df2d19f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80df1bdd9 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80df1cff9 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80df3ef4a (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80dfbc3f8 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80dfbc3f2 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80dfbc3e0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80df3f969 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80df42005 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80df1b378 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80df5cd55 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80df4165a (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80df4240f (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80df3db5d (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80df225d0 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80df1bc53 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80df2d8bb (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80df38468 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80df38136 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80df405c4 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80df1b887 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80df41996 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80df1b42e (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80df418ce (__TEXT,__text) non-external _BuildHistograms
00007ff80df67dd0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80df67ed0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80df130f8 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80df1bb4a (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80df60ab9 (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80df39f94 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80df6224b (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80df24d48 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80df4714c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80df480a6 (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80df51564 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80df48d7e (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80df4c953 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80df4dde1 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80df4f2b6 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80df49eab (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80df50816 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80df5251c (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80df4b3b0 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80df53568 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80df14364 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff80df67cc0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80df27120 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80df24ec2 (__TEXT,__text) non-external _DecodeContextMap
00007ff80df27c7f (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80df276d9 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80df23b61 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80df2412e (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80df1b2f8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80df40af3 (__TEXT,__text) non-external _EncodeContextMap
00007ff80df10f6e (__TEXT,__text) non-external _EncodeData
00007ff80df39db9 (__TEXT,__text) non-external _EvaluateNode
00007ff80df13c1a (__TEXT,__text) non-external _ExtendLastCommand
00007ff80df87f70 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80dfc58d0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80dfde3e0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80df13a5f (__TEXT,__text) non-external _GetBrotliStorage
00007ff80df13ad3 (__TEXT,__text) non-external _GetHashTable
00007ff80df615d4 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff80df6178f (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff80df61419 (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff80df67bc0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80dfde880 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80df67b40 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80df39353 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80df133b7 (__TEXT,__text) non-external _InitializeH6
00007ff80df10e5b (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80df26bcb (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80df2efa4 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80df2ef56 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80df2ee7b (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80df63e9d (__TEXT,__text) non-external _MapStaticContexts
00007ff80df13775 (__TEXT,__text) non-external _PrepareH35
00007ff80df1341e (__TEXT,__text) non-external _PrepareH4
00007ff80df13542 (__TEXT,__text) non-external _PrepareH40
00007ff80df135d8 (__TEXT,__text) non-external _PrepareH41
00007ff80df1366e (__TEXT,__text) non-external _PrepareH42
00007ff80df13485 (__TEXT,__text) non-external _PrepareH5
00007ff80df1370e (__TEXT,__text) non-external _PrepareH54
00007ff80df13877 (__TEXT,__text) non-external _PrepareH55
00007ff80df134d9 (__TEXT,__text) non-external _PrepareH6
00007ff80df13929 (__TEXT,__text) non-external _PrepareH65
00007ff80df253e1 (__TEXT,__text) non-external _ProcessCommands
00007ff80df242e9 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80df26dbc (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80df2790c (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80df27308 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80df26b27 (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80df25e78 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80df23a18 (__TEXT,__text) non-external _SaveErrorCode
00007ff80df3b5bb (__TEXT,__text) non-external _SetCost
00007ff80df3dd7e (__TEXT,__text) non-external _Shift
00007ff80df1313e (__TEXT,__text) non-external _ShouldCompress
00007ff80df5cb04 (__TEXT,__text) non-external _ShouldCompress
00007ff80df1b66c (__TEXT,__text) non-external _ShouldMergeBlock
00007ff80df67cd0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80df1bc8e (__TEXT,__text) non-external _SortPointers
00007ff80df682a0 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80df5ce0b (__TEXT,__text) non-external _StoreCommands
00007ff80dfbd160 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80dfbcf60 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80df4047d (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80df41d2d (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80df412d7 (__TEXT,__text) non-external _StoreSymbol
00007ff80df4148f (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80df408a8 (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80df4258e (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80df1b804 (__TEXT,__text) non-external _UpdateBits
00007ff80df13baa (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff80df3950f (__TEXT,__text) non-external _UpdateNodes
00007ff80df26998 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80df13e94 (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff80df23a2c (__TEXT,__text) non-external _WriteRingBuffer
00007ff80df393c5 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff80df884e0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff80df883f0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff8423fc8e0 (__DATA,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80df2aa8f (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80dfc42b0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff80dfbc740 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80df67fe0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80dfc44b0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80df5ff05 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80df06883 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80df04c43 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80df5fddc (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80df60135 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80df04b04 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80df0d970 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80dfc4ca0 (__TEXT,__const) non-external _base_dist
00007ff80dfc4c20 (__TEXT,__const) non-external _base_length
00007ff80df600b3 (__TEXT,__text) non-external _bi_flush
00007ff80df081c0 (__TEXT,__text) non-external _bi_windup
00007ff80dfc4c00 (__TEXT,__const) non-external _bl_order
00007ff80dfbc4c0 (__TEXT,__const) non-external _breverse.brev8
00007ff80df5e021 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80df5e056 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80df5e20d (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80df5e137 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80df5e092 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80df07227 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80df5dfaa (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff80df5d5c6 (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff80df5df32 (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff80df5da98 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff80df07db2 (__TEXT,__text) non-external _compress_block
00007ff80df0a049 (__TEXT,__text) external _compression_decode_buffer
00007ff80df09f45 (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80df56ee5 (__TEXT,__text) external _compression_encode_buffer
00007ff80df56d93 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80df08380 (__TEXT,__text) external _compression_stream_destroy
00007ff80df2c0c8 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80df2c072 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80df2c02a (__TEXT,__text) external _compression_stream_get_state_size
00007ff80df2bfa8 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80df04540 (__TEXT,__text) external _compression_stream_init
00007ff80df2bf5b (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80df2c11e (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80df05177 (__TEXT,__text) external _compression_stream_process
00007ff80df0a78f (__TEXT,__text) external _compression_stream_reinit
00007ff8423fd150 (__DATA,__const) non-external _configuration_table
00007ff80df32951 (__TEXT,__text) non-external _convert_row_16to8
00007ff80df328ec (__TEXT,__text) non-external _convert_row_8to16
00007ff80df3267f (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff80df3218c (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff80df32c13 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff80df329c7 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff80df31f6d (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff80df323c5 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff80df32b25 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff80df32a75 (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff80df329ba (__TEXT,__text) non-external _convert_row_copy16
00007ff80df3138a (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff80df31330 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff80df31ce0 (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff80df31aac (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff80df314ec (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff80df31e46 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff80df31bc9 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff80df317dd (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff80df4539d (__TEXT,__text) external _cosmix_codec_decode
00007ff80df44a37 (__TEXT,__text) external _cosmix_codec_encode
00007ff80df452b9 (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80df45e44 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80df45cb8 (__TEXT,__text) external _cosmix_codec_map
00007ff80df45dfc (__TEXT,__text) external _cosmix_codec_unmap
00007ff80df458e4 (__TEXT,__text) external _cosmix_model_create
00007ff80df45a03 (__TEXT,__text) external _cosmix_model_destroy
00007ff80df45a2c (__TEXT,__text) external _cosmix_model_save_codec
00007ff80df443c4 (__TEXT,__text) external _cosmix_model_update
00007ff80df5d29a (__TEXT,__text) non-external (was a private external) _crc32
00007ff80dfc5b80 (__TEXT,__const) non-external _crc32_lut4
00007ff80dfbd1c0 (__TEXT,__const) non-external _crc_table
00007ff80df2fac3 (__TEXT,__text) non-external _create_rectangle_within_image
00007ff80df22504 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80df0558f (__TEXT,__text) non-external (was a private external) _deflate
00007ff80df65b21 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80df660f1 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80df08295 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80df04706 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80df65842 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80df65a04 (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80df659cf (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80df049bd (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80df6586c (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80df659aa (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80df65aed (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80dfc5b20 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80df664ac (__TEXT,__text) non-external _deflate_fast
00007ff80df65c2e (__TEXT,__text) non-external _deflate_huff
00007ff80df65da8 (__TEXT,__text) non-external _deflate_rle
00007ff80df05f77 (__TEXT,__text) non-external _deflate_slow
00007ff80df662e6 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80df3e891 (__TEXT,__text) non-external _emitMatch
00007ff80dfc4bb0 (__TEXT,__const) non-external _extra_blbits
00007ff80dfc4b30 (__TEXT,__const) non-external _extra_dbits
00007ff80dfc4ab0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80df06455 (__TEXT,__text) non-external _fill_window
00007ff80df08231 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80df657f6 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fwrite (from libSystem)
00007ff80dfc57d0 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff80dfc4d50 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff80dfc4e90 (__TEXT,__const) non-external _getMSymbolFromValue.sym
00007ff80df313e4 (__TEXT,__text) non-external (was a private external) _get_conversion_set
00007ff80df5d28d (__TEXT,__text) non-external (was a private external) _get_crc_table
00007ff80df35d7e (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00007ff80df2f207 (__TEXT,__text) non-external _get_format_bits
00007ff80df2f061 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00007ff80df2f082 (__TEXT,__text) non-external (was a private external) _get_format_components
00007ff80df2f0fc (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00007ff80df2f3b1 (__TEXT,__text) non-external _get_format_plane_count
00007ff80df2f11d (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00007ff80df29930 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00007ff80df2996b (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
00007ff80df299ac (__TEXT,__text) non-external (was a private external) _get_pool_size
00007ff80df35d4a (__TEXT,__text) non-external (was a private external) _get_real_time
