00000001804f98bc (__TEXT,__text) external _OSAtomicAdd32
00000001804fcc48 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
00000001804f9920 (__TEXT,__text) external _OSMemoryBarrier
00000001804f9738 (__TEXT,__text) external _OSSpinLockLock
00000001804f9a80 (__TEXT,__text) external _OSSpinLockTry
00000001804f9754 (__TEXT,__text) external _OSSpinLockUnlock
00000001804fdde8 (__TEXT,__const) non-external _UUID_NULL
00000001804fdf40 (__TEXT,__cstring) non-external __0x
00000001804fdf1e (__TEXT,__cstring) non-external __H
00000001804fcd1c (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001804fcce8 (__TEXT,__text) non-external __OSAtomicDequeue_misalign_mte
00000001804fcc78 (__TEXT,__text) non-external __OSAtomicDequeue_mte
00000001804f7050 (__TEXT,__text) non-external __OSAtomicDequeue_plain
00000001804fcc50 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001804f9a00 (__TEXT,__text) external __OSSpinLockLockSlow
00000001804fc210 (__TEXT,__text) non-external __OSSpinLockLockYield
00000001804f9090 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001ec318048 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000001804f8ea4 (__TEXT,__text) external ___libplatform_init
00000001804fae5c (__TEXT,__text) external ___os_log_simple_offset
00000001804fc57c (__TEXT,__text) external ___os_once_reset
00000001804fbebc (__TEXT,__text) non-external (was a private external) ___os_security_config_init
00000001804fd564 (__TEXT,__text) non-external ___os_security_config_init.cold.1
00000001804fd584 (__TEXT,__text) non-external ___os_security_config_init.cold.2
00000001804fd5ac (__TEXT,__text) non-external ___os_security_config_init.cold.3
00000001804fd5d4 (__TEXT,__text) non-external ___os_security_config_init.cold.4
00000001804f8f08 (__TEXT,__text) non-external (was a private external) ___pfz_setup
00000001804fddd8 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804fdda0 (__TEXT,__const) non-external (was a private external) ___platformVersionString
00000001804f8a30 (__TEXT,__text) external ___platform_sigaction
00000001e9880000 (__DATA,__script_config) non-external (was a private external) ___restrictions_config
00000001ec318040 (__DATA_DIRTY,__data) non-external (was a private external) ___security_config
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001804f9c4c (__TEXT,__text) non-external ___simple_bprintf
00000001804fcdcc (__TEXT,__text) external ___sme_memchr
00000001804fcea0 (__TEXT,__text) external ___sme_memcpy
00000001804fcf80 (__TEXT,__text) external ___sme_memmove
00000001804fd088 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
00000001804fd1ec (__TEXT,__text) external __ctx_done
00000001804fad80 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001804fb70c (__TEXT,__text) non-external __enlarge
00000001804fd4ec (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000001804fb664 (__TEXT,__text) non-external __flush
00000001804fb634 (__TEXT,__text) non-external __flush_reset
00000001804fdf2f (__TEXT,__cstring) non-external __h
00000001804f77e4 (__TEXT,__text) external __longjmp
00000001804f6cf8 (__TEXT,__text) non-external __os_alloc
00000001804fd814 (__TEXT,__text) non-external __os_alloc.cold.1
00000001ec318050 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
00000001804f6cac (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804f926c (__TEXT,__text) non-external __os_alloc_slow
00000001804fd5fc (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
00000001804f97c8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
00000001804f9804 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
00000001804f9b04 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
00000001804f97f8 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
00000001804fc518 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
00000001804fc53c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
00000001804fc55c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804fd748 (__TEXT,__text) non-external __os_lock_recursive_abort
00000001804f98f4 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804fc2f0 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
00000001804f9914 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001804fddf8 (__TEXT,__const) non-external __os_lock_type_base
00000001ed97ff98 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001ed97ffb8 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001ed97fff8 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001ed97ff98 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001ed97ff98 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001ed97ffd8 (__AUTH_CONST,__const) external __os_lock_type_unfair
00000001804f98c8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
00000001804fc4d8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
00000001804fc4f8 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
00000001804fb0f0 (__TEXT,__text) external __os_log_simple
00000001804fb2e8 (__TEXT,__text) external __os_log_simple_parse
00000001804fb2b8 (__TEXT,__text) external __os_log_simple_parse_identifiers
00000001804fb24c (__TEXT,__text) external __os_log_simple_parse_message
00000001804fb210 (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001804fb27c (__TEXT,__text) external __os_log_simple_parse_timestamp
00000001804fb1d8 (__TEXT,__text) external __os_log_simple_parse_type
00000001804fb424 (__TEXT,__text) external __os_log_simple_reinit_4launchd
00000001804fd460 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
00000001804faf78 (__TEXT,__text) external __os_log_simple_send
00000001804fb1b0 (__TEXT,__text) external __os_log_simple_shim
00000001804f76bc (__TEXT,__text) external __os_nospin_lock_lock
00000001804f8cdc (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001804f76f8 (__TEXT,__text) external __os_nospin_lock_trylock
00000001804f76dc (__TEXT,__text) external __os_nospin_lock_unlock
00000001804f8dd4 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001804f6b40 (__TEXT,__text) external __os_once
00000001804fd7f4 (__TEXT,__text) non-external __os_once.cold.1
00000001804f6b98 (__TEXT,__text) non-external __os_once_callout
00000001804f8c30 (__TEXT,__text) non-external __os_once_gate_broadcast
00000001804fd720 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804fd6d0 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001804fd6f8 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001804f8aa0 (__TEXT,__text) non-external __os_once_gate_wait
00000001804f89b0 (__TEXT,__text) external __os_semaphore_create
00000001804fd83c (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001804fd864 (__TEXT,__text) non-external __os_semaphore_create.cold.2
00000001804f8a00 (__TEXT,__text) external __os_semaphore_dispose
00000001804fd88c (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
00000001804f9988 (__TEXT,__text) external __os_semaphore_signal
00000001804fd8b4 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
00000001804f99a8 (__TEXT,__text) external __os_semaphore_wait
00000001804fd8dc (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001804fd674 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001804f7374 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000001804fd624 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001804fc330 (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
00000001804f74e4 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804fd64c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
00000001804f9090 (__TEXT,__text) external __platform_bzero
00000001804fcd44 (__TEXT,__text) external __platform_memccpy
00000001804f6e20 (__TEXT,__text) external __platform_memchr
00000001804f6f30 (__TEXT,__text) external __platform_memcmp
00000001804fab20 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000001804f93c0 (__TEXT,__text) external __platform_memmove
00000001804f90f0 (__TEXT,__text) external __platform_memset
00000001804f7180 (__TEXT,__text) external __platform_memset_pattern16
00000001804f7140 (__TEXT,__text) external __platform_memset_pattern4
00000001804f7160 (__TEXT,__text) external __platform_memset_pattern8
00000001804f96c0 (__TEXT,__text) external __platform_strchr
00000001804f6940 (__TEXT,__text) external __platform_strcmp
00000001804fa790 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
00000001804fabf0 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$MTE
00000001804f6db0 (__TEXT,__text) external __platform_strcpy
00000001ed97ff10 (__AUTH_CONST,__const) non-external __platform_string_functions
00000001804f78ec (__TEXT,__text) external __platform_strlcat
00000001804f70ac (__TEXT,__text) external __platform_strlcpy
00000001804f6ae0 (__TEXT,__text) external __platform_strlen
00000001804f69d4 (__TEXT,__text) external __platform_strncmp
00000001804faa10 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
00000001804fa890 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$MTE
00000001804f7618 (__TEXT,__text) external __platform_strncpy
00000001804f6a40 (__TEXT,__text) external __platform_strnlen
00000001804f7590 (__TEXT,__text) external __platform_strstr
00000001804facec (__TEXT,__text) non-external (was a private external) __setcontext
00000001804f7784 (__TEXT,__text) external __setjmp
00000001804f976c (__TEXT,__text) non-external (was a private external) __sigtramp
00000001804f9bf8 (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001804fb4a0 (__TEXT,__text) non-external __simple_asl_connect
00000001804f8714 (__TEXT,__text) non-external __simple_asl_connect_once
00000001804f83d8 (__TEXT,__text) non-external __simple_asl_escape_key
00000001804f844c (__TEXT,__text) non-external __simple_asl_escape_val
00000001804fb550 (__TEXT,__text) external __simple_asl_get_fd
00000001804fd488 (__TEXT,__text) non-external __simple_asl_get_fd.cold.1
00000001804f91c4 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001804f93a4 (__TEXT,__text) non-external __simple_asl_init_context
00000001804f816c (__TEXT,__text) external __simple_asl_log
00000001804fd4b4 (__TEXT,__text) non-external __simple_asl_log.cold.1
00000001804f81d8 (__TEXT,__text) external __simple_asl_log_prog
00000001804f8218 (__TEXT,__text) external __simple_asl_msg_new
00000001804f8264 (__TEXT,__text) external __simple_asl_msg_set
00000001804f854c (__TEXT,__text) external __simple_asl_send
00000001804fb6e0 (__TEXT,__text) external __simple_dprintf
00000001804fa54c (__TEXT,__text) external __simple_esappend
00000001804f83a8 (__TEXT,__text) external __simple_esprintf
00000001804f8fe0 (__TEXT,__text) external __simple_getenv
00000001804fb848 (__TEXT,__text) external __simple_put
00000001804fb850 (__TEXT,__text) external __simple_putline
00000001804f7988 (__TEXT,__text) external __simple_salloc
00000001804f84ac (__TEXT,__text) external __simple_sappend
00000001804f7dbc (__TEXT,__text) external __simple_sfree
00000001804fb968 (__TEXT,__text) external __simple_snprintf
00000001804f7a30 (__TEXT,__text) external __simple_sprintf
00000001804f8518 (__TEXT,__text) external __simple_sresize
00000001804f7dac (__TEXT,__text) external __simple_string
00000001804fb5d8 (__TEXT,__text) external __simple_vdprintf
00000001804f9c30 (__TEXT,__text) external __simple_vesprintf
00000001804fb898 (__TEXT,__text) external __simple_vsnprintf
00000001804fd514 (__TEXT,__text) non-external __simple_vsnprintf.cold.1
00000001804f7a08 (__TEXT,__text) external __simple_vsprintf
00000001804fb948 (__TEXT,__text) non-external __snprintf_out_of_space
00000001804f9738 (__TEXT,__text) external __spin_lock
00000001804fc2d8 (__TEXT,__text) external __spin_lock_try
00000001804f9754 (__TEXT,__text) external __spin_unlock
00000001804fcc24 (__TEXT,__text) non-external _approx_timebase
                 (undefined) external _close (from libsystem_kernel)
00000001ec318058 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001804fa748 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804f7e50 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001804f6c5c (__TEXT,__text) external _ffs
00000001804f6c74 (__TEXT,__text) external _ffsl
00000001804f6c74 (__TEXT,__text) external _ffsll
00000001804f6c8c (__TEXT,__text) external _fls
00000001804f6c9c (__TEXT,__text) external _flsl
00000001804f6c9c (__TEXT,__text) external _flsll
00000001e9888000 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001804fadb0 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
00000001804f7a68 (__TEXT,__text) non-external _hex
00000001804f78b0 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
                 (undefined) external _mach_vm_protect (from libsystem_kernel)
00000001804fd214 (__TEXT,__text) external _makecontext
00000001804fcd40 (__TEXT,__text) non-external (was a private external) _memset
00000001804fb994 (__TEXT,__text) non-external _oct
00000001804fc8d4 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
00000001804fca00 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
00000001804fc934 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
00000001804fca40 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
00000001804fc9a0 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
00000001804fca44 (__TEXT,__text) external _os_apt_msg_async_task_stopped_4swift
00000001804fcb04 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_dev
00000001804fcaa4 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_dev_prodel0
00000001804fcb30 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_nop
00000001804fcad8 (__TEXT,__text) non-external _os_apt_msg_async_task_stopped_4swift_prodel0
00000001804fcb34 (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
00000001804fcbf4 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
00000001804fcb94 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
00000001804fcc20 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
00000001804fcbc8 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
00000001804f97bc (__TEXT,__text) external _os_lock_lock
00000001804f9af8 (__TEXT,__text) external _os_lock_trylock
00000001804f97ec (__TEXT,__text) external _os_lock_unlock
00000001804fae38 (__TEXT,__text) external _os_log_simple_now
00000001804fae3c (__TEXT,__text) external _os_log_simple_type_from_asl
00000001804fdde0 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001e9884000 (__DATA,__script_config) external _os_script_config_storage
00000001804fc114 (__TEXT,__text) external _os_security_config_get
00000001804fc138 (__TEXT,__text) external _os_security_config_get_for_proc
00000001804fc1b4 (__TEXT,__text) external _os_security_config_get_for_task
00000001804fc734 (__TEXT,__text) external _os_sync_wait_on_address
00000001804fc598 (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
00000001804fc694 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
00000001804fc84c (__TEXT,__text) external _os_sync_wake_by_address_all
00000001804fc7c4 (__TEXT,__text) external _os_sync_wake_by_address_any
00000001804f7300 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
00000001804fd798 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001804f6c30 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001804fd770 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
00000001804f6c08 (__TEXT,__text) external _os_unfair_lock_lock
00000001804fc424 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
00000001804fc458 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
00000001804f68c0 (__TEXT,__text) external _os_unfair_lock_lock_with_options
00000001804f76a0 (__TEXT,__text) external _os_unfair_lock_trylock
00000001804fc30c (__TEXT,__text) external _os_unfair_lock_trylock_with_options
00000001804f68e4 (__TEXT,__text) external _os_unfair_lock_unlock
00000001804fc444 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
00000001804f6900 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
00000001804fc47c (__TEXT,__text) external _os_unfair_recursive_lock_owned
00000001804f896c (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001804f7714 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
00000001804fd7c0 (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
00000001804f6974 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
00000001804fc498 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001804fd7d4 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
00000001804fd33c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
00000001804fd3d8 (__TEXT,__text) external _setcontext
00000001804f7854 (__TEXT,__text) external _setjmp
00000001804f78a4 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
00000001804f7848 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001804f9738 (__TEXT,__text) external _spin_lock
00000001804fc2d8 (__TEXT,__text) external _spin_lock_try
00000001804f9754 (__TEXT,__text) external _spin_unlock
00000001804fd15c (__TEXT,__text) external _swapcontext
00000001804fbe70 (__TEXT,__text) external _sys_cache_control
00000001804fa768 (__TEXT,__text) external _sys_dcache_flush
00000001804fa6b4 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
00000001804fd440 (__TEXT,__text) external _timingsafe_enable_if_supported
00000001804fd454 (__TEXT,__text) external _timingsafe_restore_if_supported
00000001804f8780 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001804fbb58 (__TEXT,__text) non-external _ydec
