00000001d9423598 (__DATA,__common) external _BC
00000001d94235a8 (__DATA,__common) external __nc_nulls_sent
00000001d9423238 (__DATA,__common) external __nc_oldnums
00000001a7006444 (__TEXT,__text) external __nc_ospeed
00000001a701c7a4 (__TEXT,__text) external __nc_outch
00000001a701ea2c (__TEXT,__text) external __nc_panelhook
00000001a700c06c (__TEXT,__text) external __nc_panic_mode
00000001a701ea48 (__TEXT,__text) external __nc_parse_entry
00000001a700564c (__TEXT,__text) external __nc_pathlast
00000001d9422ce0 (__DATA,__data) external __nc_prescreen
00000001a7020f8c (__TEXT,__text) external __nc_printf_string
00000001d9423478 (__DATA,__common) external __nc_progname
00000001a700c4d4 (__TEXT,__text) external __nc_push_token
00000001a7005500 (__TEXT,__text) external __nc_read_entry
00000001a700ae6c (__TEXT,__text) external __nc_read_entry_source
00000001a700597c (__TEXT,__text) external __nc_read_file_entry
00000001a7020538 (__TEXT,__text) external __nc_read_termcap_entry
00000001a7005b58 (__TEXT,__text) external __nc_read_termtype
00000001a7021328 (__TEXT,__text) external __nc_remove_key
00000001a70213ac (__TEXT,__text) external __nc_remove_string
00000001a700e0b4 (__TEXT,__text) external __nc_render
00000001a7010270 (__TEXT,__text) external __nc_reset_colors
00000001a700b480 (__TEXT,__text) external __nc_reset_input
00000001a700b478 (__TEXT,__text) external __nc_resolve_uses
00000001a700b004 (__TEXT,__text) external __nc_resolve_uses2
00000001a7019350 (__TEXT,__text) external __nc_ripoffline
00000001a7006e18 (__TEXT,__text) external __nc_rootname
00000001a7021180 (__TEXT,__text) external __nc_safe_strcat
00000001a70211f8 (__TEXT,__text) external __nc_safe_strcpy
00000001a7007214 (__TEXT,__text) external __nc_save_str
00000001d9423468 (__DATA,__common) external __nc_screen_chain
00000001a702453c (__TEXT,__text) external __nc_screen_init
00000001a7016328 (__TEXT,__text) external __nc_screen_of
00000001a7021dd0 (__TEXT,__text) external __nc_screen_resume
00000001a7024540 (__TEXT,__text) external __nc_screen_wrap
00000001a700d5d0 (__TEXT,__text) external __nc_scroll_oldhash
00000001a700c948 (__TEXT,__text) external __nc_scroll_optimize
00000001a701870c (__TEXT,__text) external __nc_scroll_window
00000001a7023380 (__TEXT,__text) external __nc_scrolln
00000001a7021074 (__TEXT,__text) external __nc_set_buffer
00000001a7006d14 (__TEXT,__text) external __nc_set_no_padding
00000001a7009d3c (__TEXT,__text) external __nc_set_source
00000001a701ceec (__TEXT,__text) external __nc_set_tty_mode
00000001a7009d4c (__TEXT,__text) external __nc_set_type
00000001a7025b90 (__TEXT,__text) external __nc_set_writedir
00000001a7018d5c (__TEXT,__text) external __nc_setupscreen
00000001a70050b8 (__TEXT,__text) external __nc_setupterm
00000001a701cab8 (__TEXT,__text) external __nc_signal_handler
00000001a701962c (__TEXT,__text) external __nc_slk_initialize
00000001d9423200 (__DATA,__common) external __nc_start_line
00000001a7021174 (__TEXT,__text) external __nc_str_copy
00000001a7021144 (__TEXT,__text) external __nc_str_init
00000001a7021160 (__TEXT,__text) external __nc_str_null
00000001d94231d0 (__DATA,__common) external __nc_suppress_warnings
00000001a701e3c0 (__TEXT,__text) external __nc_synchook
00000001d94231e0 (__DATA,__common) external __nc_syntax
00000001a7009f84 (__TEXT,__text) external __nc_syserr_abort
00000001d9423230 (__DATA,__common) external __nc_tail
00000001a700c520 (__TEXT,__text) external __nc_tic_dir
00000001a7009fd8 (__TEXT,__text) external __nc_tic_expand
00000001a7026a74 (__TEXT,__text) external __nc_tic_written
00000001a701d1f4 (__TEXT,__text) external __nc_timed_wait
00000001a702eeb8 (__TEXT,__const) external __nc_tinfo_fkeys
00000001a701c618 (__TEXT,__text) external __nc_tiparm
00000001a7009b1c (__TEXT,__text) external __nc_to_char
00000001a7009b20 (__TEXT,__text) external __nc_to_widechar
00000001a70069fc (__TEXT,__text) external __nc_tparm_analyze
00000001d94235a0 (__DATA,__common) external __nc_tparm_err
00000001d94235b8 (__DATA,__common) external __nc_tracing
00000001a700c0a0 (__TEXT,__text) external __nc_trans_string
00000001a70066c4 (__TEXT,__text) external __nc_trim_sgr0
00000001a7025348 (__TEXT,__text) external __nc_unctrl
00000001a701d658 (__TEXT,__text) external __nc_ungetch
00000001a70194d8 (__TEXT,__text) external __nc_unicode_locale
00000001a7019450 (__TEXT,__text) external __nc_update_screensize
00000001d9422bac (__DATA,__data) external __nc_user_definable
00000001a7025688 (__TEXT,__text) external __nc_visbuf
00000001a7025474 (__TEXT,__text) external __nc_visbuf2
00000001a7025698 (__TEXT,__text) external __nc_visbufn
00000001d94235b0 (__DATA,__common) external __nc_wacs
00000001a700e2ac (__TEXT,__text) external __nc_waddch_nosync
00000001a7009de4 (__TEXT,__text) external __nc_warning
00000001a700eeb4 (__TEXT,__text) external __nc_wchstrlen
00000001a701d4ac (__TEXT,__text) external __nc_wcrtomb
00000001a7011bc4 (__TEXT,__text) external __nc_wgetch
00000001a70072b0 (__TEXT,__text) external __nc_wrap_entry
00000001a7025dc8 (__TEXT,__text) external __nc_write_entry
                 (undefined) external _access (from libSystem)
00000001d9423240 (__DATA,__common) external _acs_map
00000001a702862c (__TEXT,__text) external _add_wch
00000001a7028640 (__TEXT,__text) external _add_wchnstr
00000001a7028658 (__TEXT,__text) external _add_wchstr
00000001a7026f1c (__TEXT,__text) external _addch
00000001a7026f30 (__TEXT,__text) external _addchnstr
00000001a7026f48 (__TEXT,__text) external _addchstr
00000001a7026f60 (__TEXT,__text) external _addnstr
00000001a7028670 (__TEXT,__text) external _addnwstr
00000001a7026f78 (__TEXT,__text) external _addstr
00000001a7028688 (__TEXT,__text) external _addwstr
00000001a701116c (__TEXT,__text) external _assume_default_colors
                 (undefined) external _atoi (from libSystem)
00000001a7026fd4 (__TEXT,__text) external _attr_get
00000001a7027004 (__TEXT,__text) external _attr_off
00000001a702701c (__TEXT,__text) external _attr_on
00000001a7027034 (__TEXT,__text) external _attr_set
00000001a7026f90 (__TEXT,__text) external _attroff
00000001a7026fa8 (__TEXT,__text) external _attron
00000001a7026fc0 (__TEXT,__text) external _attrset
00000001a7006d60 (__TEXT,__text) external _baudrate
00000001a700f318 (__TEXT,__text) external _beep
00000001a7027054 (__TEXT,__text) external _bkgd
00000001a7027068 (__TEXT,__text) external _bkgdset
00000001a70286a0 (__TEXT,__text) external _bkgrnd
00000001a70286b4 (__TEXT,__text) external _bkgrndset
00000001d54c6968 (__DATA_CONST,__const) external _boolcodes
00000001d54c7a70 (__DATA_CONST,__const) external _boolfnames
00000001d54c7908 (__DATA_CONST,__const) external _boolnames
00000001a702707c (__TEXT,__text) external _border
00000001a70286c8 (__TEXT,__text) external _border_set
00000001a70270cc (__TEXT,__text) external _box
00000001a7028718 (__TEXT,__text) external _box_set
                 (undefined) external _btowc (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
00000001a7010b34 (__TEXT,__text) external _can_change_color
00000001a70174c8 (__TEXT,__text) external _cbreak
                 (undefined) external _cfgetospeed (from libSystem)
                 (undefined) external _chdir (from libSystem)
00000001a7027108 (__TEXT,__text) external _chgat
00000001a7027128 (__TEXT,__text) external _clear
                 (undefined) external _clearerr (from libSystem)
00000001a701009c (__TEXT,__text) external _clearok
                 (undefined) external _close (from libSystem)
00000001a7027138 (__TEXT,__text) external _clrtobot
00000001a7027148 (__TEXT,__text) external _clrtoeol
00000001a7010bb8 (__TEXT,__text) external _color_content
00000001a7027158 (__TEXT,__text) external _color_set
00000001a701681c (__TEXT,__text) external _copywin
00000001d9423448 (__DATA,__common) external _cur_term
00000001a70165d0 (__TEXT,__text) external _curs_set
00000001d9423458 (__DATA,__common) external _curscr
00000001a7025468 (__TEXT,__text) external _curses_version
00000001a701cfe8 (__TEXT,__text) external _def_prog_mode
00000001a701cf7c (__TEXT,__text) external _def_shell_mode
00000001a700c6c0 (__TEXT,__text) external _define_key
00000001a7010f48 (__TEXT,__text) external _del_curterm
00000001a701c65c (__TEXT,__text) external _delay_output
00000001a7027178 (__TEXT,__text) external _delch
00000001a7027188 (__TEXT,__text) external _deleteln
00000001a7018b0c (__TEXT,__text) external _delscreen
00000001a7011088 (__TEXT,__text) external _delwin
00000001a7016208 (__TEXT,__text) external _derwin
00000001a70217c4 (__TEXT,__text) external _doupdate
00000001a701e6d4 (__TEXT,__text) external _dupwin
00000001a7011268 (__TEXT,__text) external _echo
00000001a7028754 (__TEXT,__text) external _echo_wchar
00000001a702719c (__TEXT,__text) external _echochar
00000001a701129c (__TEXT,__text) external _endwin
00000001a70271b0 (__TEXT,__text) external _erase
00000001a70136a8 (__TEXT,__text) external _erasechar
00000001a7011414 (__TEXT,__text) external _erasewchar
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001a7015a84 (__TEXT,__text) external _filter
00000001a7011484 (__TEXT,__text) external _flash
00000001a70136f0 (__TEXT,__text) external _flushinp
                 (undefined) external _fmtcheck (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001a7028768 (__TEXT,__text) external _get_wch
00000001a702877c (__TEXT,__text) external _get_wstr
00000001a70284ec (__TEXT,__text) external _getattrs
00000001a7028520 (__TEXT,__text) external _getbegx
00000001a7028534 (__TEXT,__text) external _getbegy
00000001a70271c0 (__TEXT,__text) external _getbkgd
00000001a7028794 (__TEXT,__text) external _getbkgrnd
00000001a700fef8 (__TEXT,__text) external _getcchar
00000001a70271c8 (__TEXT,__text) external _getch
00000001a70284f8 (__TEXT,__text) external _getcurx
00000001a702850c (__TEXT,__text) external _getcury
                 (undefined) external _getcwd (from libSystem)
                 (undefined) external _getenv (from libSystem)
00000001a7028548 (__TEXT,__text) external _getmaxx
00000001a7028560 (__TEXT,__text) external _getmaxy
00000001a7013848 (__TEXT,__text) external _getmouse
00000001a70287b8 (__TEXT,__text) external _getn_wstr
00000001a70271d8 (__TEXT,__text) external _getnstr
00000001a7028578 (__TEXT,__text) external _getparx
00000001a702858c (__TEXT,__text) external _getpary
                 (undefined) external _getpgrp (from libSystem)
                 (undefined) external _getpid (from libSystem)
00000001a70271f0 (__TEXT,__text) external _getstr
                 (undefined) external _gettimeofday (from libSystem)
00000001a7018290 (__TEXT,__text) external _getwin
00000001a7016434 (__TEXT,__text) external _halfdelay
00000001a7010b54 (__TEXT,__text) external _has_colors
00000001a701276c (__TEXT,__text) external _has_ic
00000001a70127c8 (__TEXT,__text) external _has_il
00000001a7016690 (__TEXT,__text) external _has_key
00000001a7027208 (__TEXT,__text) external _hline
00000001a70287d0 (__TEXT,__text) external _hline_set
00000001a70163e8 (__TEXT,__text) external _idcok
00000001a7016368 (__TEXT,__text) external _idlok
00000001a7012a90 (__TEXT,__text) external _immedok
00000001a70287e8 (__TEXT,__text) external _in_wch
00000001a70287fc (__TEXT,__text) external _in_wchnstr
00000001a7028814 (__TEXT,__text) external _in_wchstr
00000001a7027220 (__TEXT,__text) external _inch
00000001a7027230 (__TEXT,__text) external _inchnstr
00000001a7027248 (__TEXT,__text) external _inchstr
00000001a7010940 (__TEXT,__text) external _init_color
00000001a7010630 (__TEXT,__text) external _init_pair
00000001a7012c10 (__TEXT,__text) external _initscr
00000001a7027260 (__TEXT,__text) external _innstr
00000001a702882c (__TEXT,__text) external _innwstr
00000001a7028844 (__TEXT,__text) external _ins_nwstr
00000001a702885c (__TEXT,__text) external _ins_wch
00000001a7028870 (__TEXT,__text) external _ins_wstr
00000001a7027278 (__TEXT,__text) external _insch
00000001a702728c (__TEXT,__text) external _insdelln
00000001a70272a0 (__TEXT,__text) external _insertln
00000001a70272b4 (__TEXT,__text) external _insnstr
00000001a70272cc (__TEXT,__text) external _insstr
00000001a70272e4 (__TEXT,__text) external _instr
00000001a7017930 (__TEXT,__text) external _intrflush
00000001a7028888 (__TEXT,__text) external _inwstr
                 (undefined) external _ioctl (from libSystem)
00000001a70285ac (__TEXT,__text) external _is_cleared
00000001a70285b4 (__TEXT,__text) external _is_idcok
00000001a70285bc (__TEXT,__text) external _is_idlok
00000001a70285c4 (__TEXT,__text) external _is_immedok
00000001a70285cc (__TEXT,__text) external _is_keypad
00000001a70285d4 (__TEXT,__text) external _is_leaveok
00000001a701ae8c (__TEXT,__text) external _is_linetouched
00000001a70285dc (__TEXT,__text) external _is_nodelay
00000001a70285ec (__TEXT,__text) external _is_notimeout
00000001a70285f4 (__TEXT,__text) external _is_scrollok
00000001a70285fc (__TEXT,__text) external _is_syncok
00000001a7020a44 (__TEXT,__text) external _is_term_resized
00000001a701aec8 (__TEXT,__text) external _is_wintouched
                 (undefined) external _isatty (from libSystem)
00000001a7013680 (__TEXT,__text) external _isendwin
00000001a700d978 (__TEXT,__text) external _key_defined
00000001a7013750 (__TEXT,__text) external _key_name
00000001a700da30 (__TEXT,__text) external _keybound
00000001a7026f08 (__TEXT,__text) external _keyname
00000001a700da80 (__TEXT,__text) external _keyok
00000001a70164d4 (__TEXT,__text) external _keypad
                 (undefined) external _kill (from libSystem)
00000001a70136cc (__TEXT,__text) external _killchar
00000001a701144c (__TEXT,__text) external _killwchar
00000001a70137d0 (__TEXT,__text) external _leaveok
                 (undefined) external _link (from libSystem)
00000001a70137ec (__TEXT,__text) external _longname
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mblen (from libSystem)
                 (undefined) external _mbrtowc (from libSystem)
                 (undefined) external _mbtowc (from libSystem)
00000001a70170f8 (__TEXT,__text) external _mcprint
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001a7016578 (__TEXT,__text) external _meta
                 (undefined) external _mkdir (from libSystem)
00000001a702974c (__TEXT,__text) external _mouse_trafo
00000001a7013c1c (__TEXT,__text) external _mouseinterval
00000001a7013900 (__TEXT,__text) external _mousemask
00000001a70272fc (__TEXT,__text) external _move
00000001a702889c (__TEXT,__text) external _mvadd_wch
00000001a7028900 (__TEXT,__text) external _mvadd_wchnstr
00000001a7028978 (__TEXT,__text) external _mvadd_wchstr
00000001a7027314 (__TEXT,__text) external _mvaddch
00000001a7027378 (__TEXT,__text) external _mvaddchnstr
00000001a70273f0 (__TEXT,__text) external _mvaddchstr
00000001a7027458 (__TEXT,__text) external _mvaddnstr
00000001a70289e0 (__TEXT,__text) external _mvaddnwstr
00000001a70274d0 (__TEXT,__text) external _mvaddstr
00000001a7028a58 (__TEXT,__text) external _mvaddwstr
00000001a7027538 (__TEXT,__text) external _mvchgat
00000001a7014c24 (__TEXT,__text) external _mvcur
00000001a70275cc (__TEXT,__text) external _mvdelch
00000001a701e4b8 (__TEXT,__text) external _mvderwin
00000001a7028ac0 (__TEXT,__text) external _mvget_wch
00000001a7028b24 (__TEXT,__text) external _mvget_wstr
00000001a7027628 (__TEXT,__text) external _mvgetch
00000001a7028b8c (__TEXT,__text) external _mvgetn_wstr
00000001a7027684 (__TEXT,__text) external _mvgetnstr
00000001a70276fc (__TEXT,__text) external _mvgetstr
00000001a7027764 (__TEXT,__text) external _mvhline
00000001a7028c04 (__TEXT,__text) external _mvhline_set
00000001a7028c7c (__TEXT,__text) external _mvin_wch
00000001a7028ce0 (__TEXT,__text) external _mvin_wchnstr
00000001a7028d58 (__TEXT,__text) external _mvin_wchstr
00000001a70277dc (__TEXT,__text) external _mvinch
00000001a7027838 (__TEXT,__text) external _mvinchnstr
00000001a70278b0 (__TEXT,__text) external _mvinchstr
00000001a7027918 (__TEXT,__text) external _mvinnstr
00000001a7028dc0 (__TEXT,__text) external _mvinnwstr
00000001a7028e38 (__TEXT,__text) external _mvins_nwstr
00000001a7028eb0 (__TEXT,__text) external _mvins_wch
00000001a7028f14 (__TEXT,__text) external _mvins_wstr
00000001a7027990 (__TEXT,__text) external _mvinsch
00000001a70279f4 (__TEXT,__text) external _mvinsnstr
00000001a7027a6c (__TEXT,__text) external _mvinsstr
00000001a7027ad4 (__TEXT,__text) external _mvinstr
00000001a7028f7c (__TEXT,__text) external _mvinwstr
00000001a701730c (__TEXT,__text) external _mvprintw
00000001a70181d8 (__TEXT,__text) external _mvscanw
00000001a7027b3c (__TEXT,__text) external _mvvline
00000001a7028fe0 (__TEXT,__text) external _mvvline_set
00000001a7029058 (__TEXT,__text) external _mvwadd_wch
00000001a70290ac (__TEXT,__text) external _mvwadd_wchnstr
00000001a7029114 (__TEXT,__text) external _mvwadd_wchstr
00000001a7027bb4 (__TEXT,__text) external _mvwaddch
00000001a7027c08 (__TEXT,__text) external _mvwaddchnstr
00000001a7027c70 (__TEXT,__text) external _mvwaddchstr
00000001a7027cc8 (__TEXT,__text) external _mvwaddnstr
00000001a702916c (__TEXT,__text) external _mvwaddnwstr
00000001a7027d30 (__TEXT,__text) external _mvwaddstr
00000001a70291d4 (__TEXT,__text) external _mvwaddwstr
00000001a7027d88 (__TEXT,__text) external _mvwchgat
00000001a7027e0c (__TEXT,__text) external _mvwdelch
00000001a702922c (__TEXT,__text) external _mvwget_wch
00000001a7029280 (__TEXT,__text) external _mvwget_wstr
00000001a7027e58 (__TEXT,__text) external _mvwgetch
00000001a70292d8 (__TEXT,__text) external _mvwgetn_wstr
00000001a7027ea4 (__TEXT,__text) external _mvwgetnstr
00000001a7027f0c (__TEXT,__text) external _mvwgetstr
00000001a7027f64 (__TEXT,__text) external _mvwhline
00000001a7029340 (__TEXT,__text) external _mvwhline_set
00000001a7015990 (__TEXT,__text) external _mvwin
00000001a70293a8 (__TEXT,__text) external _mvwin_wch
00000001a70293fc (__TEXT,__text) external _mvwin_wchnstr
00000001a7029464 (__TEXT,__text) external _mvwin_wchstr
00000001a7027fcc (__TEXT,__text) external _mvwinch
00000001a7028018 (__TEXT,__text) external _mvwinchnstr
00000001a7028080 (__TEXT,__text) external _mvwinchstr
00000001a70280d8 (__TEXT,__text) external _mvwinnstr
00000001a70294bc (__TEXT,__text) external _mvwinnwstr
00000001a7029524 (__TEXT,__text) external _mvwins_nwstr
00000001a702958c (__TEXT,__text) external _mvwins_wch
00000001a70295e0 (__TEXT,__text) external _mvwins_wstr
00000001a7028140 (__TEXT,__text) external _mvwinsch
00000001a7028194 (__TEXT,__text) external _mvwinsnstr
00000001a70281fc (__TEXT,__text) external _mvwinsstr
00000001a7028254 (__TEXT,__text) external _mvwinstr
00000001a7029638 (__TEXT,__text) external _mvwinwstr
00000001a7017370 (__TEXT,__text) external _mvwprintw
00000001a701823c (__TEXT,__text) external _mvwscanw
00000001a70282ac (__TEXT,__text) external _mvwvline
00000001a702968c (__TEXT,__text) external _mvwvline_set
                 (undefined) external _nanosleep (from libSystem)
00000001a70159f8 (__TEXT,__text) external _napms
00000001a7016b50 (__TEXT,__text) external _newpad
00000001d9423460 (__DATA,__common) external _newscr
00000001a7015aa8 (__TEXT,__text) external _newterm
00000001a7015f14 (__TEXT,__text) external _newwin
00000001a7016334 (__TEXT,__text) external _nl
                 (undefined) external _nl_langinfo (from libSystem)
00000001a7017788 (__TEXT,__text) external _nocbreak
00000001a701648c (__TEXT,__text) external _nodelay
00000001a7011284 (__TEXT,__text) external _noecho
00000001a7015a98 (__TEXT,__text) external _nofilter
00000001a7016350 (__TEXT,__text) external _nonl
00000001a7017874 (__TEXT,__text) external _noqiflush
00000001a7017684 (__TEXT,__text) external _noraw
00000001a70164ac (__TEXT,__text) external _notimeout
00000001d54c6ad0 (__DATA_CONST,__const) external _numcodes
00000001d54c7d18 (__DATA_CONST,__const) external _numfnames
00000001d54c7bd8 (__DATA_CONST,__const) external _numnames
                 (undefined) external _open (from libSystem)
00000001d94235a6 (__DATA,__common) external _ospeed
00000001a7016758 (__TEXT,__text) external _overlay
00000001a7016814 (__TEXT,__text) external _overwrite
00000001a7010c44 (__TEXT,__text) external _pair_content
00000001a7017078 (__TEXT,__text) external _pecho_wchar
00000001a7016ff8 (__TEXT,__text) external _pechochar
                 (undefined) external _perror (from libSystem)
00000001a7016ca0 (__TEXT,__text) external _pnoutrefresh
00000001a7016c68 (__TEXT,__text) external _prefresh
00000001a7017248 (__TEXT,__text) external _printw
                 (undefined) external _putc (from libSystem)
00000001a701c814 (__TEXT,__text) external _putp
00000001a701843c (__TEXT,__text) external _putwin
00000001a70175c8 (__TEXT,__text) external _qiflush
00000001a70173c4 (__TEXT,__text) external _raw
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001a702831c (__TEXT,__text) external _redrawwin
00000001a702832c (__TEXT,__text) external _refresh
                 (undefined) external _remove (from libSystem)
00000001a701d038 (__TEXT,__text) external _reset_prog_mode
00000001a701d0ac (__TEXT,__text) external _reset_shell_mode
00000001a701d190 (__TEXT,__text) external _resetty
00000001a7020a8c (__TEXT,__text) external _resize_term
00000001a7020d20 (__TEXT,__text) external _resizeterm
00000001a701804c (__TEXT,__text) external _restartterm
00000001a70193a0 (__TEXT,__text) external _ripoffline
00000001a701d12c (__TEXT,__text) external _savetty
00000001a7018170 (__TEXT,__text) external _scanw
00000001a7018590 (__TEXT,__text) external _scr_dump
00000001a70185fc (__TEXT,__text) external _scr_init
00000001a701850c (__TEXT,__text) external _scr_restore
00000001a70186a8 (__TEXT,__text) external _scr_set
00000001a702833c (__TEXT,__text) external _scrl
00000001a7028350 (__TEXT,__text) external _scroll
00000001a70189e4 (__TEXT,__text) external _scrollok
                 (undefined) external _select (from libSystem)
00000001a70063c8 (__TEXT,__text) external _set_curterm
00000001a7011bb4 (__TEXT,__text) external _set_escdelay
00000001a70193f0 (__TEXT,__text) external _set_tabsize
