00007ffa0703c38c (__TEXT,__text) non-external +[Cube initialize]
00007ffa06f6b788 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00007ffa06f6a120 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00007ffa06f6c54b (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00007ffa06f6e1b8 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00007ffa06f6e95a (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00007ffa06f6e96e (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00007ffa06f6f9b4 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00007ffa06f6f9c8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00007ffa06f6ec7b (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00007ffa06f7046c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00007ffa06f70480 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00007ffa06f70948 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00007ffa06f723e3 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00007ffa06f726b1 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00007ffa06f72634 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00007ffa06f732e3 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00007ffa06f6c164 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00007ffa06f746eb (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00007ffa06f6afe7 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00007ffa06f6b01f (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00007ffa06f76d3d (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00007ffa06f7d384 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00007ffa06f7ec61 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00007ffa06f6deb9 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00007ffa06f6d2ed (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00007ffa06f6db16 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00007ffa06f6d8ad (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00007ffa06f85861 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00007ffa06f855af (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00007ffa06f852e3 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00007ffa06f85183 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00007ffa06f850da (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00007ffa06f85240 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00007ffa06f85054 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00007ffa06f84f02 (__TEXT,__text) non-external +[MCObjectBase initialize]
00007ffa06f857b1 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00007ffa06f86283 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00007ffa06f89298 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00007ffa06f8e4e9 (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00007ffa06f8edaf (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00007ffa06f94f2d (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00007ffa06f6c802 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00007ffa06f6d03f (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00007ffa06f6cb1d (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00007ffa06f6cd91 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00007ffa06fa12c5 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00007ffa06fa1d6f (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00007ffa06f9fb8e (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00007ffa06f9fc29 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00007ffa06f9fa62 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00007ffa06fa1027 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00007ffa06f9fbfb (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00007ffa06f9fb5e (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00007ffa06f9f8ec (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00007ffa06f9faf0 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00007ffa06f9fe0d (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00007ffa06fa007b (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00007ffa06fa0198 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00007ffa06fa09b1 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00007ffa06f9fef8 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00007ffa06f9f9aa (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00007ffa06f6bbae (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00007ffa06ffb11a (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00007ffa06ffadf5 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00007ffa06ffca9d (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00007ffa06ffcfe1 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00007ffa06ffa9ce (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00007ffa06f96758 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00007ffa06f969fe (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00007ffa06f972da (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00007ffa06f973cc (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00007ffa06f973fb (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00007ffa06f9716d (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00007ffa06f97586 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00007ffa06f97800 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00007ffa06f97791 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00007ffa06fea9c1 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00007ffa06fea96a (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00007ffa06fea909 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00007ffa06f98638 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00007ffa06f985cc (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00007ffa06fd497f (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00007ffa06fd4913 (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00007ffa070674a6 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00007ffa07067421 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00007ffa07069ad7 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00007ffa07069a52 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00007ffa06db0c46 (__TEXT,__text) non-external +[MPAction action]
00007ffa06db0c3b (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00007ffa06db34ca (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00007ffa06db34e3 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00007ffa06db2038 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00007ffa06db202d (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00007ffa06db43a4 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00007ffa06db7b70 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00007ffa06db811b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00007ffa06db815b (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00007ffa06db8110 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00007ffa06db85be (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00007ffa06db8608 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00007ffa06db85b3 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00007ffa06db9b02 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00007ffa06db9aba (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00007ffa06db9aaf (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00007ffa06db9602 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00007ffa06db963d (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00007ffa06db95f7 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00007ffa06dba9d7 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00007ffa06dba966 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00007ffa06dbaab1 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00007ffa06dbafcb (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00007ffa06dbafc0 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00007ffa06dbb23a (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00007ffa06dbb22f (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00007ffa06dbbbba (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00007ffa06dbbbaf (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00007ffa06db1b28 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00007ffa06db1b1d (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00007ffa06dbf3f4 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00007ffa06dbf3e8 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00007ffa06d9c3ba (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00007ffa06dc0194 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00007ffa06dc0483 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00007ffa06dc0320 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00007ffa06dc06a2 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00007ffa06dc0671 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00007ffa06dc0697 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00007ffa06dc2883 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00007ffa06dc2824 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00007ffa06e00f41 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00007ffa06e0373b (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00007ffa06e01a17 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00007ffa06e03f87 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00007ffa06e00694 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00007ffa06e00656 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00007ffa06e006d2 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00007ffa06e011dd (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00007ffa06e03c45 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00007ffa06e03cd1 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00007ffa06e01194 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00007ffa06e03b2d (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00007ffa06e034e2 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00007ffa06e03150 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00007ffa06e014c4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00007ffa06e0163a (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00007ffa06e01baf (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00007ffa06e02f76 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00007ffa06e00feb (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00007ffa06e007b0 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00007ffa06e0070a (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00007ffa06e039cd (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00007ffa06e041fa (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00007ffa06e01371 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00007ffa06e00c28 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00007ffa06e02ebb (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00007ffa06e01a5a (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00007ffa06e0157f (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00007ffa06e02765 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00007ffa06e02877 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00007ffa06e0280d (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00007ffa06e036c5 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00007ffa06e039ec (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00007ffa06e01973 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00007ffa06e03f68 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00007ffa06e02301 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00007ffa06e002ec (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00007ffa06e01ca8 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00007ffa06e01e21 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00007ffa06e02159 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00007ffa06e03ee0 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00007ffa06e04119 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00007ffa06e00b02 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00007ffa06e00b95 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00007ffa06e00a6d (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00007ffa06e00cbb (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00007ffa06e00825 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00007ffa06e00d71 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00007ffa06e00923 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00007ffa06e009d8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00007ffa06e01af6 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00007ffa06e02536 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00007ffa06e00e09 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00007ffa06e028ee (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00007ffa06e02a9c (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00007ffa06e0061e (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00007ffa06e01430 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00007ffa06e010de (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00007ffa06e037f9 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00007ffa06e01023 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00007ffa06e027a3 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00007ffa06e03e58 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00007ffa06e012b6 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00007ffa06e008e0 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00007ffa06e0211e (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00007ffa06e02c8b (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00007ffa06e02d4c (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00007ffa06e020e6 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00007ffa06e02bcf (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00007ffa06e02e78 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00007ffa06e0421b (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00007ffa06e0324c (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00007ffa06e02b5a (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00007ffa06e01f6a (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00007ffa06e01d69 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00007ffa06e02e40 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00007ffa06e03931 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00007ffa06e03393 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00007ffa06e032bf (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00007ffa06e03bb9 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00007ffa06e03773 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00007ffa06e02378 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00007ffa06e019ab (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00007ffa06e03870 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00007ffa06e040d8 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00007ffa06e038ab (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00007ffa06e03053 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00007ffa06e01bea (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00007ffa06e011a2 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00007ffa06e035b6 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00007ffa06e03a75 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00007ffa06e0202b (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00007ffa06e03d5d (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00007ffa06e023d5 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00007ffa06e026a7 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00007ffa06e025dc (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00007ffa06e02460 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
