00000002683c2888 (__TEXT,__text) non-external _Done_iODBC
00000002683c317c (__TEXT,__text) external _SQLErrorA
00000002683c32a4 (__TEXT,__text) external _SQLErrorW
00000002683bf01c (__TEXT,__text) external _SQLExecDirect
00000002683bf16c (__TEXT,__text) external _SQLExecDirectA
00000002683bf2bc (__TEXT,__text) external _SQLExecDirectW
00000002683bedb0 (__TEXT,__text) non-external _SQLExecDirect_Internal
00000002683beacc (__TEXT,__text) external _SQLExecute
00000002683c0268 (__TEXT,__text) external _SQLExtendedFetch
00000002683bff9c (__TEXT,__text) external _SQLFetch
00000002683d2184 (__TEXT,__text) external _SQLFetchScroll
00000002683bfdc8 (__TEXT,__text) non-external _SQLFetch_Internal
00000002683b7a34 (__TEXT,__text) external _SQLForeignKeys
00000002683b7d00 (__TEXT,__text) external _SQLForeignKeysA
00000002683b7fcc (__TEXT,__text) external _SQLForeignKeysW
00000002683b76e4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00000002683c0f48 (__TEXT,__text) external _SQLFreeConnect
00000002683c0ea0 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000002683c27dc (__TEXT,__text) external _SQLFreeEnv
00000002683c2744 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00000002683cc930 (__TEXT,__text) external _SQLFreeHandle
00000002683c5810 (__TEXT,__text) external _SQLFreeStmt
00000002683c5608 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00000002683ddfa0 (__TEXT,__text) non-external _SQLGetConfigMode
00000002683cf23c (__TEXT,__text) external _SQLGetConnectAttr
00000002683cf704 (__TEXT,__text) external _SQLGetConnectAttrA
00000002683cf858 (__TEXT,__text) external _SQLGetConnectAttrW
00000002683cf390 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00000002683c1d70 (__TEXT,__text) external _SQLGetConnectOption
00000002683c1e9c (__TEXT,__text) external _SQLGetConnectOptionA
00000002683c1fc8 (__TEXT,__text) external _SQLGetConnectOptionW
00000002683ca95c (__TEXT,__text) external _SQLGetCursorName
00000002683caac4 (__TEXT,__text) external _SQLGetCursorNameA
00000002683cac2c (__TEXT,__text) external _SQLGetCursorNameW
00000002683ca748 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000002683c03ec (__TEXT,__text) external _SQLGetData
00000002683cfc40 (__TEXT,__text) external _SQLGetDescField
00000002683cfdb4 (__TEXT,__text) external _SQLGetDescFieldA
00000002683cff28 (__TEXT,__text) external _SQLGetDescFieldW
00000002683cf9ac (__TEXT,__text) non-external _SQLGetDescField_Internal
00000002683d0880 (__TEXT,__text) external _SQLGetDescRec
00000002683d0ad8 (__TEXT,__text) external _SQLGetDescRecA
00000002683d0d30 (__TEXT,__text) external _SQLGetDescRecW
00000002683d064c (__TEXT,__text) non-external _SQLGetDescRec_Internal
00000002683c4b48 (__TEXT,__text) external _SQLGetDiagField
00000002683c4c54 (__TEXT,__text) external _SQLGetDiagFieldA
00000002683c4d60 (__TEXT,__text) external _SQLGetDiagFieldW
00000002683c3d6c (__TEXT,__text) non-external _SQLGetDiagField_Internal
00000002683c3a0c (__TEXT,__text) external _SQLGetDiagRec
00000002683c3b2c (__TEXT,__text) external _SQLGetDiagRecA
00000002683c3c4c (__TEXT,__text) external _SQLGetDiagRecW
00000002683c33cc (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00000002683cd04c (__TEXT,__text) external _SQLGetEnvAttr
00000002683c85c8 (__TEXT,__text) external _SQLGetFunctions
00000002683c81cc (__TEXT,__text) external _SQLGetInfo
00000002683c8320 (__TEXT,__text) external _SQLGetInfoA
00000002683c8474 (__TEXT,__text) external _SQLGetInfoW
00000002683c7b8c (__TEXT,__text) non-external _SQLGetInfo_Internal
00000002683e0e80 (__TEXT,__text) non-external _SQLGetKeywordValue
00000002683e0ecc (__TEXT,__text) non-external _SQLGetKeywordValueW
00000002683e0998 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00000002683e0b98 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00000002683cd8c0 (__TEXT,__text) external _SQLGetStmtAttr
00000002683cda38 (__TEXT,__text) external _SQLGetStmtAttrA
00000002683cdbb0 (__TEXT,__text) external _SQLGetStmtAttrW
00000002683cd230 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00000002683c6058 (__TEXT,__text) external _SQLGetStmtOption
00000002683c61a4 (__TEXT,__text) external _SQLGetStmtOptionA
00000002683c5e78 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00000002683b4978 (__TEXT,__text) external _SQLGetTypeInfo
00000002683b4ab8 (__TEXT,__text) external _SQLGetTypeInfoA
00000002683b4bf8 (__TEXT,__text) external _SQLGetTypeInfoW
00000002683b47b8 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00000002683c0770 (__TEXT,__text) external _SQLMoreResults
00000002683be1d4 (__TEXT,__text) external _SQLNativeSql
00000002683be340 (__TEXT,__text) external _SQLNativeSqlA
00000002683be4ac (__TEXT,__text) external _SQLNativeSqlW
00000002683bdf5c (__TEXT,__text) non-external _SQLNativeSql_Internal
00000002683bf958 (__TEXT,__text) external _SQLNumParams
00000002683cb08c (__TEXT,__text) external _SQLNumResultCols
00000002683bf6a0 (__TEXT,__text) external _SQLParamData
00000002683c9ce0 (__TEXT,__text) external _SQLParamOptions
00000002683c8f5c (__TEXT,__text) external _SQLPrepare
00000002683c90ac (__TEXT,__text) external _SQLPrepareA
00000002683c91fc (__TEXT,__text) external _SQLPrepareW
00000002683c8d34 (__TEXT,__text) non-external _SQLPrepare_Internal
00000002683b84c4 (__TEXT,__text) external _SQLPrimaryKeys
00000002683b866c (__TEXT,__text) external _SQLPrimaryKeysA
00000002683b8814 (__TEXT,__text) external _SQLPrimaryKeysW
00000002683b8298 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00000002683b8c4c (__TEXT,__text) external _SQLProcedureColumns
00000002683b8e28 (__TEXT,__text) external _SQLProcedureColumnsA
00000002683b9004 (__TEXT,__text) external _SQLProcedureColumnsW
00000002683b89bc (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00000002683b940c (__TEXT,__text) external _SQLProcedures
00000002683b95b4 (__TEXT,__text) external _SQLProceduresA
00000002683b975c (__TEXT,__text) external _SQLProceduresW
00000002683b91e0 (__TEXT,__text) non-external _SQLProcedures_Internal
00000002683bf40c (__TEXT,__text) external _SQLPutData
00000002683dd648 (__TEXT,__text) non-external _SQLReadFileDSN
00000002683dd7d8 (__TEXT,__text) non-external _SQLReadFileDSNW
00000002683cad94 (__TEXT,__text) external _SQLRowCount
00000002683e0f18 (__TEXT,__text) non-external _SQLSetConfigMode
00000002683cec38 (__TEXT,__text) external _SQLSetConnectAttr
00000002683cefb4 (__TEXT,__text) external _SQLSetConnectAttrA
00000002683cf0f8 (__TEXT,__text) external _SQLSetConnectAttrW
00000002683ced7c (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00000002683c15ec (__TEXT,__text) external _SQLSetConnectOption
00000002683c1718 (__TEXT,__text) external _SQLSetConnectOptionA
00000002683c1844 (__TEXT,__text) external _SQLSetConnectOptionW
00000002683c94f8 (__TEXT,__text) external _SQLSetCursorName
00000002683c9648 (__TEXT,__text) external _SQLSetCursorNameA
00000002683c9798 (__TEXT,__text) external _SQLSetCursorNameW
00000002683c934c (__TEXT,__text) non-external _SQLSetCursorName_Internal
00000002683d0238 (__TEXT,__text) external _SQLSetDescField
00000002683d0394 (__TEXT,__text) external _SQLSetDescFieldA
00000002683d04f0 (__TEXT,__text) external _SQLSetDescFieldW
00000002683d009c (__TEXT,__text) non-external _SQLSetDescField_Internal
00000002683d0f88 (__TEXT,__text) external _SQLSetDescRec
00000002683cce38 (__TEXT,__text) external _SQLSetEnvAttr
00000002683ccf58 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00000002683e13f4 (__TEXT,__text) non-external _SQLSetKeywordValue
00000002683e1400 (__TEXT,__text) non-external _SQLSetKeywordValueW
00000002683ca3c4 (__TEXT,__text) external _SQLSetParam
00000002683c0b78 (__TEXT,__text) external _SQLSetPos
00000002683c9f90 (__TEXT,__text) external _SQLSetScrollOptions
00000002683ce800 (__TEXT,__text) external _SQLSetStmtAttr
00000002683ce968 (__TEXT,__text) external _SQLSetStmtAttrA
00000002683cead0 (__TEXT,__text) external _SQLSetStmtAttrW
00000002683cdd28 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00000002683c595c (__TEXT,__text) external _SQLSetStmtOption
00000002683c5d2c (__TEXT,__text) external _SQLSetStmtOptionA
00000002683c5aa8 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00000002683b4fc4 (__TEXT,__text) external _SQLSpecialColumns
00000002683b5200 (__TEXT,__text) external _SQLSpecialColumnsA
00000002683b543c (__TEXT,__text) external _SQLSpecialColumnsW
00000002683b4d38 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00000002683b58e4 (__TEXT,__text) external _SQLStatistics
00000002683b5ac0 (__TEXT,__text) external _SQLStatisticsA
00000002683b5c9c (__TEXT,__text) external _SQLStatisticsW
00000002683b5678 (__TEXT,__text) non-external _SQLStatistics_Internal
00000002683b9b30 (__TEXT,__text) external _SQLTablePrivileges
00000002683b9cd8 (__TEXT,__text) external _SQLTablePrivilegesA
00000002683b9e80 (__TEXT,__text) external _SQLTablePrivilegesW
00000002683b9904 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00000002683b6108 (__TEXT,__text) external _SQLTables
00000002683b62e4 (__TEXT,__text) external _SQLTablesA
00000002683b64c0 (__TEXT,__text) external _SQLTablesW
00000002683b5e78 (__TEXT,__text) non-external _SQLTables_Internal
00000002683c2400 (__TEXT,__text) external _SQLTransact
00000002683c20f4 (__TEXT,__text) non-external _SQLTransact_Internal
00000002683de0b4 (__TEXT,__text) non-external _SQLValidDSN
00000002683de13c (__TEXT,__text) non-external _SQLValidDSNW
00000002683dd3e0 (__TEXT,__text) non-external _SQLWriteFileDSN
00000002683dd49c (__TEXT,__text) non-external _SQLWriteFileDSNW
00000002683e10b0 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00000002683e1248 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00000002683c6d94 (__TEXT,__text) non-external _SectSorter
00000002683ddff4 (__TEXT,__text) non-external _ValidDSN
00000002683de058 (__TEXT,__text) non-external _ValidDSNW
00000002683e0f78 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000002683cccfc (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
00000002683df280 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00000002683e06d0 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
0000000280cc0c70 (__DATA,__common) non-external __iodbc_env_counter
00000002683dd9c4 (__TEXT,__text) non-external __iodbcadm_getinifile
00000002683c6750 (__TEXT,__text) non-external __iodbcdm_BindColumn
00000002683c6868 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00000002683c00d0 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00000002683c55b4 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00000002683c1970 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00000002683caf50 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00000002683c57d4 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00000002683c1030 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00000002683ba278 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00000002683c0a00 (__TEXT,__text) non-external __iodbcdm_SetPos
00000002683c67fc (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00000002683c6500 (__TEXT,__text) non-external __iodbcdm_alloc_param
0000000280cc0c78 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00000002683c6928 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00000002683b48a0 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00000002683b4914 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00000002683df92c (__TEXT,__text) non-external __iodbcdm_cfg_commit
00000002683dec54 (__TEXT,__text) non-external __iodbcdm_cfg_done
00000002683df42c (__TEXT,__text) non-external __iodbcdm_cfg_find
00000002683df0b0 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00000002683deb8c (__TEXT,__text) non-external __iodbcdm_cfg_init
00000002683c8ae8 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00000002683dfbb0 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00000002683df360 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00000002683c8b7c (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00000002683c89b8 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00000002683dec98 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00000002683df334 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00000002683bccd8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00000002683dfbf8 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00000002683df190 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00000002683c8bf4 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00000002683df52c (__TEXT,__text) non-external __iodbcdm_cfg_write
00000002683ddc34 (__TEXT,__text) non-external __iodbcdm_check_for_string
00000002683bca7c (__TEXT,__text) non-external __iodbcdm_con_settracing
00000002683c6598 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00000002683c6674 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00000002683bcba0 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00000002683be9b0 (__TEXT,__text) non-external __iodbcdm_dllclose
00000002683bea24 (__TEXT,__text) non-external __iodbcdm_dllerror
00000002683be8e8 (__TEXT,__text) non-external __iodbcdm_dllopen
00000002683be8e4 (__TEXT,__text) non-external __iodbcdm_dllproc
00000002683bea58 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00000002683ba4f0 (__TEXT,__text) non-external __iodbcdm_driverload
00000002683bab58 (__TEXT,__text) non-external __iodbcdm_driverunload
00000002683c5490 (__TEXT,__text) non-external __iodbcdm_dropstmt
00000002683c1568 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00000002683ba098 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00000002683c288c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00000002683be7ac (__TEXT,__text) non-external __iodbcdm_getInfo_init
00000002683ddd0c (__TEXT,__text) non-external __iodbcdm_getdsnfile
00000002683be880 (__TEXT,__text) non-external __iodbcdm_getproc
0000000280cc0c18 (__DATA,__bss) non-external __iodbcdm_initialized
00000002683dfe10 (__TEXT,__text) non-external __iodbcdm_list_entries
00000002683dfd44 (__TEXT,__text) non-external __iodbcdm_list_sections
00000002683cb234 (__TEXT,__text) non-external __iodbcdm_map_c_type
00000002683cb1c8 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00000002683be618 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00000002683ba028 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00000002683e140c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00000002683bc840 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00000002683bcf10 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00000002683ba164 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00000002683bce54 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00000002683c28c0 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00000002683ddc98 (__TEXT,__text) non-external __iodbcdm_remove_quotes
00000002683bea28 (__TEXT,__text) non-external __iodbcdm_safe_unload
00000002683c2948 (__TEXT,__text) non-external __iodbcdm_sqlerror
00000002683ddf04 (__TEXT,__text) non-external __iodbcdm_strlcat
00000002683ddeb8 (__TEXT,__text) non-external __iodbcdm_strlcpy
00000002683c21f4 (__TEXT,__text) non-external __iodbcdm_transact
000000027bbf3b78 (__DATA_CONST,__const) non-external __mask_CONVERT
000000027bbf4750 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
000000027bbf47f8 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
000000027bbf3c38 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
000000027bbf3cc8 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
000000027bbf4300 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
000000027bbf4338 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
000000027bbf4038 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
000000027bbf4388 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
000000027bbf43a0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
000000027bbf43c0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
000000027bbf40e0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
000000027bbf43e8 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
000000027bbf4400 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
000000027bbf3b50 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
000000027bbf3b60 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
000000027bbf4010 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
000000027bbf4430 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
000000027bbf4478 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
000000027bbf4498 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
000000027bbf44a8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
000000027bbf44f8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
000000027bbf4518 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
000000027bbf4590 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
000000027bbf45a0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
000000027bbf45c8 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
000000027bbf45e0 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
000000027bbf4660 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
000000027bbf4690 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
000000027bbf46a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
000000027bbf46b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
000000027bbf46c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
000000027bbf46e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
000000027bbf4700 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
000000027bbf4720 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
000000027bbf4730 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
000000027bbf4678 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
000000027bbf3c80 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
000000027bbf4168 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
000000027bbf4120 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
000000027bbf4148 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
000000027bbf4888 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
000000027bbf48a0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
000000027bbf4960 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
000000027bbf4180 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
000000027bbf4028 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
000000027bbf41a0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
000000027bbf3cf0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
000000027bbf3db8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
000000027bbf4980 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
000000027bbf3dd0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
000000027bbf3de0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
000000027bbf41b8 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
000000027bbf49a0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
000000027bbf49b8 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
000000027bbf4228 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
000000027bbf41f8 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
000000027bbf49d8 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
000000027bbf3df8 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
000000027bbf3e20 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
000000027bbf4a30 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
000000027bbf4a50 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
000000027bbf4a78 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
000000027bbf4aa0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
000000027bbf4b10 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
000000027bbf4b48 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
000000027bbf4bc0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
000000027bbf4c18 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
000000027bbf4c98 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
