00000001ed8e6e80 (__TEXT,__text) non-external _DiToMD5
00000001ed8ca938 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001ed8f9140 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001ed8f916c (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001ed8ca83c (__TEXT,__text) external _IORecursiveLockAlloc
00000001ed8ca860 (__TEXT,__text) external _IORecursiveLockFree
00000001ed8ca87c (__TEXT,__text) external _IORecursiveLockHaveLock
00000001ed8ca870 (__TEXT,__text) external _IORecursiveLockLock
00000001ed8ca880 (__TEXT,__text) external _IORecursiveLockTryLock
00000001ed8ca878 (__TEXT,__text) external _IORecursiveLockUnlock
000000023638d138 (__AUTH_CONST,__const) external _IOReportLegend_Class
000000023638ceb8 (__AUTH_CONST,__const) external _IOReporter_Class
000000023638d768 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
000000023638d918 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
000000023638d5b8 (__AUTH_CONST,__const) external _IOService_Class
000000023638cf58 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001ed8c75a0 (__TEXT,__text) external _IOSleep
000000023638cff8 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001ed8cabf8 (__TEXT,__text) external _IOThreadLocalStorageGet
00000001ed8cab4c (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001ed8cab9c (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001ed8cabc4 (__TEXT,__text) external _IOThreadLocalStorageSet
000000023638f718 (__AUTH_CONST,__const) external _IOThread_Class
000000023638dac8 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
000000023638dc78 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001ed8cb2d0 (__TEXT,__text) external _IOUserServerMain
00000001ed8f95f8 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001ed8f9784 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001ed8f9624 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001ed8f9650 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001ed8f967c (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001ed8f96a8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001ed8f96d4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001ed8f9700 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001ed8f972c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001ed8f9758 (__TEXT,__text) non-external _IOUserServerMain.cold.9
000000023638dff8 (__AUTH_CONST,__const) external _IOUserServer_Class
0000000231b888c8 (__DATA_DIRTY,__common) external _IOVMPageSize
000000023638e1a8 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001ed8e7040 (__TEXT,__text) external _MD5Final
00000001ed8e6dd4 (__TEXT,__text) external _MD5Init
00000001ed8e6fc4 (__TEXT,__text) non-external _MD5ToDi
00000001ed8e6ef0 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
000000023638e358 (__AUTH_CONST,__const) external _OSAction_Class
000000023638dd18 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
000000023638f458 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001ed8d5ff0 (__TEXT,__text) external _OSArrayAppendValue
00000001ed8d5b58 (__TEXT,__text) external _OSArrayApply
00000001ed8d5af4 (__TEXT,__text) external _OSArrayCreate
00000001ed8d4fcc (__TEXT,__text) external _OSArrayGetCount
00000001ed8d6098 (__TEXT,__text) external _OSArrayGetStringValue
00000001ed8d6148 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001ed8d6024 (__TEXT,__text) external _OSArrayGetValue
00000001ed8d5fe8 (__TEXT,__text) external _OSArrayReplaceValue
00000001ed8d60c4 (__TEXT,__text) external _OSArraySetStringValue
00000001ed8d6250 (__TEXT,__text) external _OSArraySetUInt64Value
00000001ed8d5e00 (__TEXT,__text) external _OSArraySetValue
000000023638e508 (__AUTH_CONST,__const) external _OSArray_Class
000000023638e600 (__AUTH_CONST,__const) external _OSBoolean_Class
000000023638e6f8 (__AUTH_CONST,__const) external _OSBundle_Class
00000001ed8d3ba8 (__TEXT,__text) external _OSCollectionTypeID
00000001ed8fa5ec (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001ed8d3ad8 (__TEXT,__text) external _OSCollectionTypeName
00000001ed8fa594 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
000000023638e7f0 (__AUTH_CONST,__const) external _OSCollection_Class
00000001ed8d9250 (__TEXT,__text) external _OSCollectionsInitialize
000000023638e8e8 (__AUTH_CONST,__const) external _OSContainer_Class
00000001ed8d3c30 (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001ed8fa644 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001ed8d6cf4 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001ed8faccc (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001ed8d6bcc (__TEXT,__text) external _OSCreateSerializationFromObject
00000001ed8d4e10 (__TEXT,__text) external _OSDataAppendBytes
00000001ed8d4d64 (__TEXT,__text) external _OSDataCreate
00000001ed8fa854 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001ed8d4cf8 (__TEXT,__text) external _OSDataGetBytes
00000001ed8d4cac (__TEXT,__text) external _OSDataGetBytesPtr
00000001ed8d4ce8 (__TEXT,__text) external _OSDataGetLength
000000023638ea48 (__AUTH_CONST,__const) external _OSData_Class
00000001ed8d4fd8 (__TEXT,__text) external _OSDictionaryApply
00000001ed8d4f5c (__TEXT,__text) external _OSDictionaryCreate
00000001ed8d4fc0 (__TEXT,__text) external _OSDictionaryGetCount
00000001ed8d579c (__TEXT,__text) external _OSDictionaryGetStringValue
00000001ed8d59a8 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001ed8d56fc (__TEXT,__text) external _OSDictionaryGetValue
00000001ed8d5924 (__TEXT,__text) external _OSDictionarySetStringValue
00000001ed8d5a74 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001ed8d5328 (__TEXT,__text) external _OSDictionarySetValue
000000023638eb40 (__AUTH_CONST,__const) external _OSDictionary_Class
000000023638ec38 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001ed8d4eec (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001ed8d4ec4 (__TEXT,__text) external _OSNumberGetUInt64Value
000000023638ed30 (__AUTH_CONST,__const) external _OSNumber_Class
00000001ed8d72d0 (__TEXT,__text) external _OSObjectLog
00000001ed8d3b38 (__TEXT,__text) external _OSObjectRelease
00000001ed8d3b14 (__TEXT,__text) external _OSObjectRetain
000000023638ee28 (__AUTH_CONST,__const) external _OSObject_Class
000000023638efd8 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001ed8c7b28 (__TEXT,__text) external _OSReportWithBacktrace
00000001ed8d6e28 (__TEXT,__text) external _OSSerializationGetBytes
000000023638f0d0 (__AUTH_CONST,__const) external _OSSerialization_Class
000000023638f1c8 (__AUTH_CONST,__const) external _OSSet_Class
00000001ed8d4688 (__TEXT,__text) external _OSStringCreate
00000001ed8fa720 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001ed8fa74c (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001ed8fa778 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001ed8d4630 (__TEXT,__text) external _OSStringGetLength
00000001ed8d45f4 (__TEXT,__text) external _OSStringGetStringPtr
000000023638f2c0 (__AUTH_CONST,__const) external _OSString_Class
00000001ed8c75b0 (__TEXT,__text) external _OSSynchronizeIO
000000023060f740 (__DATA,__bss) non-external _OSUniqueStrings
00000001ed8c7f10 (__TEXT,__text) external _PE_i_can_has_debugger
00000001ed8e7368 (__TEXT,__text) external _SHA1Final
00000001ed8e70f8 (__TEXT,__text) external _SHA1Init
00000001ed8e72f0 (__TEXT,__text) non-external _SHA1ToDi
00000001ed8e721c (__TEXT,__text) external _SHA1Update
00000001ed8e7e54 (__TEXT,__text) external _SHA256_Final
00000001ed8e7db4 (__TEXT,__text) external _SHA256_Init
00000001ed8fb7b0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001ed8e7e04 (__TEXT,__text) external _SHA256_Update
00000001ed8e7f38 (__TEXT,__text) external _SHA384_Final
00000001ed8e7e98 (__TEXT,__text) external _SHA384_Init
00000001ed8fb7d8 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001ed8e7ee8 (__TEXT,__text) external _SHA384_Update
00000001ed8e801c (__TEXT,__text) external _SHA512_Final
00000001ed8e7f7c (__TEXT,__text) external _SHA512_Init
00000001ed8fb800 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001ed8e7fcc (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001ed8c8b28 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001ed8e8060 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000023638f3b8 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
000000023060f710 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001ed8c8e84 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001ed8f8ad8 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001ed8f8b04 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001ed8cabfc (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001ed8f92cc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001ed8f92f8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001ed8f9324 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001ed8f9350 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001ed8f937c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001ed8c9a5c (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001ed8f8ed8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001ed8f8f04 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001ed8f8f30 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001ed8f8f5c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001ed8c9170 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001ed8f8bb4 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001ed8d6000 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001ed8d91e8 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001ed8c8ce8 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001ed8f8a54 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001ed8f8a80 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001ed8f8aac (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001ed8d6174 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001ed8d6224 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001ed8d61a0 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001ed8c8ee4 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001ed8d6650 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001ed8fab6c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001ed8fab98 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001ed8fabc4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001ed8fabf0 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001ed8fac1c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001ed8fac48 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001ed8c7134 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001ed8c7278 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001ed8c94b0 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001ed8f8c0c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001ed8c9630 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001ed8cb048 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001ed8c8c54 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001ed8c8ba0 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001ed8d6e44 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001ed8facf8 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001ed8c9074 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001ed8f8b5c (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001ed8f8b88 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001ed8d3bec (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001ed8fa618 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001ed8d3b5c (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001ed8fa5c0 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001ed8c5fa4 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001ed8d4c44 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001ed8d62d0 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001ed8fa904 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001ed8fa930 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001ed8fa95c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001ed8fa988 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001ed8fa9b4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001ed8d4c0c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001ed8d4ea0 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001ed8d6414 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001ed8fa9e0 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001ed8faa0c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001ed8faa38 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001ed8cb008 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001ed8ca4f8 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001ed8f7254 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001ed8c7004 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001ed8c8384 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001ed8f89d0 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001ed8d364c (__TEXT,__text) non-external __ZL10uiomessagePv
00000001ed8f7064 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001ed8d83d8 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001ed8fc420 (__TEXT,__const) non-external __ZL11yytranslate
00000001ed8f8734 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001ed8f6970 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001ed8f7154 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001ed8f73ac (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001ed8f7414 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001ed8d49c0 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001ed8d4970 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001ed8fa7a4 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001ed8f7be4 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001ed8e8618 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001ed8ee1dc (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001ed8d1f9c (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001ed8fa2a8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001ed8fa2d4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001ed8fa300 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001ed8f70ec (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001ed8edfd4 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001ed8cc598 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001ed8f9b9c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001ed8f9bc8 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001ed8f9bf4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001ed8f9c20 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001ed8eb154 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001ed8edca8 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001ed8f626c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001ed8f71ec (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001ed8cae4c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001ed8f94dc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001ed8f9508 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001ed8f9534 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001ed8f9560 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001ed8cbb70 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001ed8f9920 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001ed8f994c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001ed8f9978 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001ed8f99a4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001ed8d304c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001ed8fa3dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001ed8fa408 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001ed8fa434 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001ed8fa460 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001ed8fa48c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001ed8fa4b8 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001ed8fa4e4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
000000023060f728 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001ed8e8708 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001ed8f497c (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001ed8f59d4 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001ed8f71bc (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
