0000000180c67df8 (__TEXT,__text) external _OSAtomicAdd32
0000000180c64140 (__TEXT,__text) external __simple_asl_msg_set
0000000180c64360 (__TEXT,__text) external __simple_asl_send
0000000180c64f00 (__TEXT,__text) external __simple_dprintf
0000000180c6525c (__TEXT,__text) external __simple_esappend
0000000180c65178 (__TEXT,__text) external __simple_esprintf
0000000180c64048 (__TEXT,__text) external __simple_getenv
0000000180c65334 (__TEXT,__text) external __simple_put
0000000180c6533c (__TEXT,__text) external __simple_putline
0000000180c64f2c (__TEXT,__text) external __simple_salloc
0000000180c651ec (__TEXT,__text) external __simple_sappend
0000000180c65384 (__TEXT,__text) external __simple_sfree
0000000180c654e8 (__TEXT,__text) external __simple_snprintf
0000000180c65140 (__TEXT,__text) external __simple_sprintf
0000000180c651b8 (__TEXT,__text) external __simple_sresize
0000000180c651a8 (__TEXT,__text) external __simple_string
0000000180c64490 (__TEXT,__text) external __simple_vdprintf
0000000180c65124 (__TEXT,__text) external __simple_vesprintf
0000000180c65418 (__TEXT,__text) external __simple_vsnprintf
0000000180c6a06c (__TEXT,__text) non-external __simple_vsnprintf.cold.1
0000000180c650fc (__TEXT,__text) external __simple_vsprintf
0000000180c654c8 (__TEXT,__text) non-external __snprintf_out_of_space
0000000180c668dc (__TEXT,__text) external __spin_lock
0000000180c66910 (__TEXT,__text) external __spin_lock_try
0000000180c66928 (__TEXT,__text) external __spin_unlock
0000000182cd4050 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
0000000180c664b4 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000180c65514 (__TEXT,__text) non-external _dec
0000000180c68fb8 (__TEXT,__text) external _ffs
0000000180c68fd0 (__TEXT,__text) external _ffsl
0000000180c68fd0 (__TEXT,__text) external _ffsll
0000000180c68fe8 (__TEXT,__text) external _fls
0000000180c68ff8 (__TEXT,__text) external _flsl
0000000180c68ff8 (__TEXT,__text) external _flsll
0000000182cce9c8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180c69f40 (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180c65a48 (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
0000000180c68490 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180c69c10 (__TEXT,__text) external _makecontext
0000000180c6860c (__TEXT,__text) non-external (was a private external) _memset
0000000180c65864 (__TEXT,__text) non-external _oct
0000000180c67b48 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
0000000180c67c00 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
0000000180c67ba8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
0000000180c67c28 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
0000000180c67bd8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
0000000180c67c2c (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
0000000180c67cec (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
0000000180c67c8c (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
0000000180c67d18 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
0000000180c67cc0 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
0000000180c66764 (__TEXT,__text) external _os_lock_lock
0000000180c66774 (__TEXT,__text) external _os_lock_trylock
0000000180c66784 (__TEXT,__text) external _os_lock_unlock
0000000180c66670 (__TEXT,__text) external _os_security_config_get
0000000180c6667c (__TEXT,__text) external _os_security_config_get_for_proc
0000000180c66708 (__TEXT,__text) external _os_security_config_get_for_task
0000000180c67764 (__TEXT,__text) external _os_sync_wait_on_address
0000000180c67624 (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
0000000180c676c4 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
0000000180c6787c (__TEXT,__text) external _os_sync_wake_by_address_all
0000000180c677f4 (__TEXT,__text) external _os_sync_wake_by_address_any
0000000180c66e94 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180c6a2bc (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180c66e68 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180c6a294 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180c66a8c (__TEXT,__text) external _os_unfair_lock_lock
0000000180c66e10 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180c66e44 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
0000000180c66c28 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180c66c4c (__TEXT,__text) external _os_unfair_lock_trylock
0000000180c66c68 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
0000000180c66d48 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180c66e30 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180c66edc (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180c66ec0 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180c6a1b0 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180c66f7c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180c6a2e4 (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
0000000180c66f1c (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180c66fec (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180c6a2f8 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180c69d6c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
0000000180c6a03c (__TEXT,__text) non-external _sb
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180c69e14 (__TEXT,__text) external _setcontext
0000000180c68450 (__TEXT,__text) external _setjmp
0000000180c68484 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180c68444 (__TEXT,__text) external _sigsetjmp
0000000180c668dc (__TEXT,__text) external _spin_lock
0000000180c66910 (__TEXT,__text) external _spin_lock_try
0000000180c66928 (__TEXT,__text) external _spin_unlock
0000000180c69b58 (__TEXT,__text) external _swapcontext
0000000180c663d4 (__TEXT,__text) external _sys_cache_control
0000000180c664d4 (__TEXT,__text) external _sys_dcache_flush
0000000180c66420 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180c69fc8 (__TEXT,__text) external _timingsafe_enable_if_supported
0000000180c6a020 (__TEXT,__text) external _timingsafe_restore_if_supported
0000000180c65dc4 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180c65fb8 (__TEXT,__text) non-external _ydec
