00007ff8400ac238 (__DATA,__bss) non-external _GlobalMajor
00007ff800b3626c (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff800b362dc (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff800b35314 (__TEXT,__text) external ___atomic_is_lock_free
00007ff800b35368 (__TEXT,__text) external ___atomic_load
00007ff800b35968 (__TEXT,__text) external ___atomic_load_1
00007ff800b35979 (__TEXT,__text) external ___atomic_load_2
00007ff800b3598b (__TEXT,__text) external ___atomic_load_4
00007ff800b35999 (__TEXT,__text) external ___atomic_load_8
00007ff800b35464 (__TEXT,__text) external ___atomic_store
00007ff800b359a8 (__TEXT,__text) external ___atomic_store_1
00007ff800b359ba (__TEXT,__text) external ___atomic_store_2
00007ff800b359cc (__TEXT,__text) external ___atomic_store_4
00007ff800b359dc (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff800b36410 (__TEXT,__text) external ___clzdi2
00007ff800b36440 (__TEXT,__text) external ___clzsi2
00007ff800b364b0 (__TEXT,__text) external ___clzti2
00007ff800b364ce (__TEXT,__text) external ___cmpdi2
00007ff800b364fa (__TEXT,__text) external ___cmpti2
00007ff800b3856c (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff800b3651b (__TEXT,__text) external ___ctzdi2
00007ff800b36539 (__TEXT,__text) external ___ctzsi2
00007ff800b3659d (__TEXT,__text) external ___ctzti2
00007ff800b365b8 (__TEXT,__text) external ___divdc3
00007ff800b36bec (__TEXT,__text) external ___divdi3
00007ff800b36c27 (__TEXT,__text) external ___divsc3
00007ff800b371d7 (__TEXT,__text) external ___divti3
00007ff800b37227 (__TEXT,__text) external ___divxc3
00007ff800b376f3 (__TEXT,__text) external ___extendhfsf2
00007ff800b37761 (__TEXT,__text) external ___ffsdi2
00007ff800b3777b (__TEXT,__text) external ___ffsti2
00007ff800b37797 (__TEXT,__text) external ___fixdfdi
00007ff800b377b8 (__TEXT,__text) external ___fixdfti
00007ff800b3786d (__TEXT,__text) external ___fixsfdi
00007ff800b3788b (__TEXT,__text) external ___fixsfti
00007ff800b3792d (__TEXT,__text) external ___fixunsdfdi
00007ff800b37970 (__TEXT,__text) external ___fixunsdfsi
00007ff800b379c5 (__TEXT,__text) external ___fixunsdfti
00007ff800b37a48 (__TEXT,__text) external ___fixunssfdi
00007ff800b37a8d (__TEXT,__text) external ___fixunssfsi
00007ff800b37ae3 (__TEXT,__text) external ___fixunssfti
00007ff800b37b5c (__TEXT,__text) external ___fixunsxfdi
00007ff800b37bec (__TEXT,__text) external ___fixunsxfsi
00007ff800b37c78 (__TEXT,__text) external ___fixunsxfti
00007ff800b37d41 (__TEXT,__text) external ___fixxfdi
00007ff800b37dec (__TEXT,__text) external ___fixxfti
00007ff800b37ee0 (__TEXT,__text) external ___floatdidf
00007ff800b37ee6 (__TEXT,__text) external ___floatdisf
00007ff800b37eec (__TEXT,__text) external ___floatdixf
00007ff800b37ef6 (__TEXT,__text) external ___floattidf
00007ff800b3800d (__TEXT,__text) external ___floattisf
00007ff800b380f8 (__TEXT,__text) external ___floattixf
00007ff800b38228 (__TEXT,__text) external ___floatundidf
00007ff800b38254 (__TEXT,__text) external ___floatundisf
00007ff800b38280 (__TEXT,__text) external ___floatundixf
00007ff800b38296 (__TEXT,__text) external ___floatuntidf
00007ff800b3839e (__TEXT,__text) external ___floatuntisf
00007ff800b38466 (__TEXT,__text) external ___floatuntixf
00007ff800b39ad8 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff800b3775c (__TEXT,__text) external ___gnu_h2f_ieee
00007ff800b35000 (__TEXT,__text) external ___isPlatformVersionAtLeast
00007ff800b39f18 (__TEXT,__text) non-external ___isPlatformVersionAtLeast.cold.1
00007ff800b38584 (__TEXT,__text) external ___lshrdi3
00007ff800b385b2 (__TEXT,__text) external ___lshrti3
00007ff800b385da (__TEXT,__text) external ___moddi3
00007ff800b38632 (__TEXT,__text) external ___modti3
00007ff800b386a1 (__TEXT,__text) external ___muldc3
00007ff800b38861 (__TEXT,__text) external ___muldi3
00007ff800b388e6 (__TEXT,__text) external ___mulodi4
00007ff800b3897d (__TEXT,__text) external ___mulosi4
00007ff800b389f6 (__TEXT,__text) external ___muloti4
00007ff800b38b02 (__TEXT,__text) external ___mulsc3
00007ff800b38ca1 (__TEXT,__text) external ___multi3
00007ff800b38d00 (__TEXT,__text) external ___mulvdi3
00007ff800b38e08 (__TEXT,__text) external ___mulvsi3
00007ff800b38ee6 (__TEXT,__text) external ___mulvti3
00007ff800b3906d (__TEXT,__text) external ___mulxc3
00007ff800b394a6 (__TEXT,__text) external ___negdi2
00007ff800b394ad (__TEXT,__text) external ___negti2
00007ff800b394b9 (__TEXT,__text) external ___negvdi2
00007ff800b394db (__TEXT,__text) external ___negvsi2
00007ff800b394fb (__TEXT,__text) external ___negvti2
00007ff800b3952d (__TEXT,__text) external ___paritydi2
00007ff800b3955c (__TEXT,__text) external ___paritysi2
00007ff800b39582 (__TEXT,__text) external ___parityti2
00007ff800b395b4 (__TEXT,__text) external ___popcountdi2
00007ff800b39616 (__TEXT,__text) external ___popcountsi2
00007ff800b3964f (__TEXT,__text) external ___popcountti2
00007ff800b396dd (__TEXT,__text) external ___powidf2
00007ff800b39731 (__TEXT,__text) external ___powisf2
00007ff800b39782 (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff800b397e0 (__TEXT,__text) external ___subvdi3
00007ff800b39828 (__TEXT,__text) external ___subvsi3
00007ff800b3986b (__TEXT,__text) external ___subvti3
00007ff800b398bf (__TEXT,__text) external ___truncdfhf2
00007ff800b399ec (__TEXT,__text) external ___truncsfhf2
00007ff800b39add (__TEXT,__text) external ___ucmpdi2
00007ff800b39b0c (__TEXT,__text) external ___ucmpti2
00007ff800b39b2d (__TEXT,__text) external ___udivdi3
00007ff800b39ba7 (__TEXT,__text) external ___udivmoddi4
00007ff800b39db7 (__TEXT,__text) external ___udivmodti4
00007ff800b39e77 (__TEXT,__text) external ___udivti3
00007ff800b39e7f (__TEXT,__text) external ___umoddi3
00007ff800b39ef5 (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
                 (undefined) external __os_once (from libsystem_platform)
00007ff800b36360 (__TEXT,__text) external _atomic_flag_clear
00007ff800b36365 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff800b36378 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff800b36380 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff800b363b4 (__TEXT,__text) external _atomic_signal_fence
00007ff800b363e0 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff800b35067 (__TEXT,__text) non-external _initializeAvailabilityCheck
00007ff8400ac250 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
                 (undefined) external _scalbnl (from libsystem_m)
                 (undefined) external _sscanf (from libsystem_c)
                 (undefined) external _uname (from libsystem_c)
00007ff800b3aaa0 (__TEXT,__const) non-external two
00007ff800b3aa70 (__TEXT,__const) non-external twop52
00007ff800b3aab0 (__TEXT,__const) non-external twop64
00007ff800b3aa90 (__TEXT,__const) non-external twop84
00007ff800b3aa80 (__TEXT,__const) non-external twop84_plus_twop52
