                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc00dfa58e (__TEXT,__text) external __Z13iex_debugTrapv
00007ffc00dfb935 (__TEXT,__const) weak external __ZTSN7Iex_2_39EnospcExcE
00007ffc00dfba19 (__TEXT,__const) weak external __ZTSN7Iex_2_39EnostrExcE
00007ffc00dfbb2a (__TEXT,__const) weak external __ZTSN7Iex_2_39EnosysExcE
00007ffc00dfb8f5 (__TEXT,__const) weak external __ZTSN7Iex_2_39EnottyExcE
00007ffc00dfba9b (__TEXT,__const) weak external __ZTSN7Iex_2_39EprotoExcE
00007ffc00dfb9af (__TEXT,__const) weak external __ZTSN7Iex_2_39ErangeExcE
00007ffc00dfb94a (__TEXT,__const) weak external __ZTSN7Iex_2_39EspipeExcE
00007ffc00dfbe63 (__TEXT,__const) weak external __ZTSN7Iex_2_39EstaleExcE
00007ffc00dfbb6c (__TEXT,__const) weak external __ZTSN7Iex_2_39EusersExcE
                 (undefined) external __ZTVN10__cxxabiv120__si_class_type_infoE (from libc++)
00007ffc405f0a10 (__DATA,__const) external __ZTVN7Iex_2_37BaseExcE
                 (undefined) external __ZTVSt12length_error (from libc++)
                 (undefined) weak external __ZdlPv (from libc++)
                 (undefined) weak external __Znwm (from libc++)
                 (undefined) external ___cxa_allocate_exception (from libc++)
                 (undefined) external ___cxa_call_unexpected (from libc++)
                 (undefined) external ___cxa_free_exception (from libc++)
                 (undefined) external ___cxa_throw (from libc++)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlen (from libSystem)
