00007ffa193adee0 (__TEXT,__text) external _AMFDRDecodeCertificate
00007ffa193b0483 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.2
00007ffa193b04a1 (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.3
00007ffa193b04bf (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.4
00007ffa193b04dd (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.5
00007ffa193b04fb (__TEXT,__text) non-external _AMFDRDecodeManifestBody.cold.6
00007ffa193aad12 (__TEXT,__text) external _AMFDRDecodeManifestBodyDestroy
00007ffa193aab03 (__TEXT,__text) external _AMFDRDecodeManifestBodyNext
00007ffa193b0519 (__TEXT,__text) non-external _AMFDRDecodeManifestBodyNext.cold.1
00007ffa193b0537 (__TEXT,__text) non-external _AMFDRDecodeManifestBodyNext.cold.2
00007ffa193af576 (__TEXT,__text) external _AMFDRDecodeMetaProperty
00007ffa193af1f1 (__TEXT,__text) external _AMFDRDecodeMetadata
00007ffa193aecf0 (__TEXT,__text) external _AMFDRDecodeMultiResponse
00007ffa193ae81d (__TEXT,__text) external _AMFDRDecodeMultiSealingResponse
00007ffa193aa564 (__TEXT,__text) external _AMFDRDecodeOfflineBlob
00007ffa193ae797 (__TEXT,__text) external _AMFDRDecodeParseDERLengthFromBuffer
00007ffa193add25 (__TEXT,__text) external _AMFDRDecodePublicKey
00007ffa193a7c9a (__TEXT,__text) external _AMFDRDecodeSealingRequest
00007ffa193aa6ca (__TEXT,__text) external _AMFDRDecodeTrustEvaluation
00007ffa193a725f (__TEXT,__text) external _AMFDRDecodeTrustObject
00007ffa193a9e59 (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuer
00007ffa193a9f94 (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuerNoRevocation
00007ffa193a9e68 (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions
00007ffa193b0445 (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions.cold.1
00007ffa193a9623 (__TEXT,__text) external _AMFDRDecodeVerifyMultiCombinedDataIntegrity
00007ffa193b042a (__TEXT,__text) non-external _AMFDRDecodeVerifyMultiCombinedDataIntegrity.cold.1
00007ffa193a7495 (__TEXT,__text) external _AMFDRDecodeVerifySealingManifest
00007ffa193b003e (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.1
00007ffa193b0153 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.10
00007ffa193b0171 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.11
00007ffa193b018f (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.12
00007ffa193b01ad (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.13
00007ffa193b01cb (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.14
00007ffa193b01e9 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.15
00007ffa193b0207 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.16
00007ffa193b005d (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.2
00007ffa193b007e (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.3
00007ffa193b009f (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.4
00007ffa193b00bd (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.5
00007ffa193b00db (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.6
00007ffa193b00f9 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.7
00007ffa193b0117 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.8
00007ffa193b0135 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.9
00007ffa193a7a4e (__TEXT,__text) external _AMFDRDecodeVerifySealingRequest
00007ffa193a8097 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest
00007ffa193b0225 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.1
00007ffa193b033a (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.10
00007ffa193b0358 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.11
00007ffa193b0376 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.12
00007ffa193b0394 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.13
00007ffa193b03b2 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.14
00007ffa193b03d0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.15
00007ffa193b03ee (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.16
00007ffa193b0244 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.2
00007ffa193b0265 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.3
00007ffa193b0286 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.4
00007ffa193b02a4 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.5
00007ffa193b02c2 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.6
00007ffa193b02e0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.7
00007ffa193b02fe (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.8
00007ffa193b031c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.9
00007ffa193a56d0 (__TEXT,__text) non-external (was a private external) _AMFDRTagsStringToTag
                 (undefined) external _AMSupportDigestSha1 (from libamsupport)
                 (undefined) external _AMSupportDigestSha256 (from libamsupport)
                 (undefined) external _AMSupportDigestSha384 (from libamsupport)
                 (undefined) external _AMSupportEcDsaVerifySignature (from libamsupport)
                 (undefined) external _AMSupportLogFormat (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha1 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha256 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha384 (from libamsupport)
00007ffa193b1210 (__TEXT,__const) non-external (was a private external) _DERAlgorithmIdItemSpecs
00007ffa193b1180 (__TEXT,__const) non-external (was a private external) _DERAttributeTypeAndValueItemSpecs
00007ffa193ac7de (__TEXT,__text) non-external (was a private external) _DERDecodeItem
00007ffa193ac7ea (__TEXT,__text) non-external (was a private external) _DERDecodeItemPartialBufferGetLength
00007ffa193acc56 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqContentInit
00007ffa193acbaf (__TEXT,__text) non-external (was a private external) _DERDecodeSeqInit
00007ffa193acc80 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqNext
00007ffa193b11c0 (__TEXT,__const) non-external (was a private external) _DERExtensionItemSpecs
00007ffa193b0b40 (__TEXT,__const) non-external (was a private external) _DERFDR2DataItemSpecs
00007ffa193b0af0 (__TEXT,__const) non-external (was a private external) _DERFDRCombinedItemSpecs
00007ffa193b0fc0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertItemSpecs
00007ffa193b0f60 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertPropertyItemSpecs
00007ffa193b0f90 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertSignedSectionItemSpecs
00007ffa193b0b90 (__TEXT,__const) non-external (was a private external) _DERFDRItemSpecs
00007ffa193b0dd0 (__TEXT,__const) non-external (was a private external) _DERFDRMetaPropertyItemSpecs
00007ffa193b0d70 (__TEXT,__const) non-external (was a private external) _DERFDRMetadataRecordItemSpecs
00007ffa193b0f00 (__TEXT,__const) non-external (was a private external) _DERFDRMultiCombinedItemSpecs
00007ffa193b0da0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseErrorItemSpecs
00007ffa193b0c40 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseItemSpecs
00007ffa193b0c70 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponsePayloadItemSpecs
00007ffa193b0d10 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseRecordItemSpecs
00007ffa193b0cc0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiSealingResponsePayloadItemSpecs
00007ffa193b0bc0 (__TEXT,__const) non-external (was a private external) _DERFDRTrustObjectItemSpecs
                 (undefined) external _DERImg4DecodeContentFindItemWithTag (from libamsupport)
                 (undefined) external _DERImg4DecodeFindProperty (from libamsupport)
                 (undefined) external _DERImg4DecodeFindPropertyInSequence (from libamsupport)
                 (undefined) external _DERImg4DecodeManifest (from libamsupport)
                 (undefined) external _DERImg4DecodeProperty (from libamsupport)
                 (undefined) external _DERImg4DecodePropertyWithItem (from libamsupport)
00007ffa193b1240 (__TEXT,__const) non-external (was a private external) _DERNumAlgorithmIdItemSpecs
00007ffa193b11b0 (__TEXT,__const) non-external (was a private external) _DERNumAttributeTypeAndValueItemSpecs
00007ffa193b1208 (__TEXT,__const) non-external (was a private external) _DERNumExtensionItemSpecs
00007ffa193b1178 (__TEXT,__const) non-external (was a private external) _DERNumSignedCertCrlItemSpecs
00007ffa193b1280 (__TEXT,__const) non-external (was a private external) _DERNumSubjPubKeyInfoItemSpecs
00007ffa193ad0c7 (__TEXT,__text) non-external (was a private external) _DEROidCompare
00007ffa193ac9ef (__TEXT,__text) non-external (was a private external) _DERParseBitString
00007ffa193aca9e (__TEXT,__text) non-external (was a private external) _DERParseBooleanWithDefault
00007ffa193acad5 (__TEXT,__text) non-external (was a private external) _DERParseInteger
00007ffa193acb3b (__TEXT,__text) non-external (was a private external) _DERParseInteger64
00007ffa193acdba (__TEXT,__text) non-external (was a private external) _DERParseSequenceContentToObject
00007ffa193acd13 (__TEXT,__text) non-external (was a private external) _DERParseSequenceToObject
00007ffa193b1130 (__TEXT,__const) non-external (was a private external) _DERSignedCertCrlItemSpecs
00007ffa193b1250 (__TEXT,__const) non-external (was a private external) _DERSubjPubKeyInfoItemSpecs
00007ffa193b0e80 (__TEXT,__const) non-external (was a private external) _DERSysconfigItemSpecs
00007ffa193b0e00 (__TEXT,__const) non-external (was a private external) _DERSysconfigPayloadItemSpecs
00007ffa193b1020 (__TEXT,__const) non-external (was a private external) _FDRDERTBSCertItemSpecs
                 (undefined) external _Img4DecodeEvaluateDictionaryProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateManifestProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateObjectProperties (from libamsupport)
                 (undefined) external _Img4DecodeGetManifest (from libamsupport)
                 (undefined) external _Img4DecodeGetObjectPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeGetPayload (from libamsupport)
                 (undefined) external _Img4DecodeGetPayloadType (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyBoolean (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeInit (from libamsupport)
                 (undefined) external _Img4DecodeInitManifest (from libamsupport)
                 (undefined) external _Img4DecodePerformManifestTrustEvaluationWithCallbacks (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluatation (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluationWithCallbacks (from libamsupport)
00007ffa193a8ef1 (__TEXT,__text) non-external __AMFDRDecodeCombined
00007ffa193ad0fa (__TEXT,__text) non-external __AMFDRDecodeComputeDigest
00007ffa193a7f87 (__TEXT,__text) non-external __AMFDRDecodeDERFDRItem
00007ffa193a6258 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties
00007ffa193afe77 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.1
00007ffa193aff85 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.10
00007ffa193affa3 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.11
00007ffa193afe95 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.2
00007ffa193afeb3 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.3
00007ffa193afed1 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.4
00007ffa193afeef (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.5
00007ffa193aff0d (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.6
00007ffa193aff2b (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.7
00007ffa193aff49 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.8
00007ffa193aff67 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.9
00007ffa193a6819 (__TEXT,__text) non-external __AMFDRDecodeEvaluateTestStationCertificateProperties
00007ffa193ab606 (__TEXT,__text) non-external __AMFDRDecodeFilterDataInstanceCallback
00007ffa193abf21 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined
00007ffa193b05af (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.1
00007ffa193b05d1 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.2
00007ffa193b05ef (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.3
00007ffa193b061b (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.4
00007ffa193b0639 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.5
00007ffa193aacac (__TEXT,__text) non-external __AMFDRDecodeGetDataInstCallback
00007ffa193a7037 (__TEXT,__text) non-external __AMFDRDecodeGetExpectedManifestHash
00007ffa193a92f0 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData
00007ffa193b040c (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData.cold.1
00007ffa193ab783 (__TEXT,__text) non-external __AMFDRDecodeInstPropertyMatchingWithType
00007ffa193aee90 (__TEXT,__text) non-external __AMFDRDecodeMultiResposeRecords
00007ffa193ae9bd (__TEXT,__text) non-external __AMFDRDecodeMultiSealingResposeRecords
00007ffa193ae111 (__TEXT,__text) non-external __AMFDRDecodeParseExtension
00007ffa193a7071 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback
00007ffa193affe3 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.1
00007ffa193b0001 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.2
00007ffa193b001f (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.3
00007ffa193ade1c (__TEXT,__text) non-external __AMFDRDecodePubKey
00007ffa193ab936 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList
00007ffa193b0555 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.1
00007ffa193b0573 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.2
00007ffa193b0591 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.3
00007ffa193ac543 (__TEXT,__text) non-external __AMFDRDecodeSequenceString
00007ffa193b06cf (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.1
00007ffa193b06ed (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.2
00007ffa193a9982 (__TEXT,__text) non-external __AMFDRDecodeTolerateErrorsForOptions
00007ffa193a9fa2 (__TEXT,__text) non-external __AMFDRDecodeVerifyCertIssuerInternal
00007ffa193a56e7 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain
00007ffa193afd74 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain.cold.1
00007ffa193a667b (__TEXT,__text) non-external __AMFDRDecodeVerifyChainOffline
00007ffa193aba91 (__TEXT,__text) non-external __AMFDRDecodeVerifyData
00007ffa193a6821 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback
00007ffa193affc1 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback.cold.1
00007ffa193aafef (__TEXT,__text) non-external __AMFDRDecodeVerifySealingManifestCallback
00007ffa193ab31d (__TEXT,__text) non-external __AMFDRDecodeVerifySealingRequestCallback
00007ffa193a5ef8 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature
00007ffa193afd9f (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.1
00007ffa193afdbd (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.2
00007ffa193afddc (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.3
00007ffa193afdfb (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.4
00007ffa193afe1a (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.5
00007ffa193afe39 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.6
00007ffa193afe58 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.7
00007ffa193ac1b9 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid
00007ffa193b0657 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.1
00007ffa193b0675 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.2
00007ffa193b0693 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.3
00007ffa193b06b1 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.4
00007ffa193aae56 (__TEXT,__text) non-external __AMFDRDecodeVerifyTrustObject
00007ffa421daba8 (__DATA_CONST,__const) non-external ____oidAppleFDRClientID
00007ffa421dabb8 (__DATA_CONST,__const) non-external ____oidAppleSecureBootCertificateProperties
                 (undefined) external ___bzero (from libSystem)
00007ffa193b1118 (__TEXT,__const) non-external ___oidAppleFDRClientID
00007ffa193b1121 (__TEXT,__const) non-external ___oidAppleSecureBootCertificateProperties
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ffa440f9df8 (__DATA,__data) non-external __dyld_private
00007ffa42fc85b0 (__DATA_DIRTY,__bss) non-external __logHandler
00007ffa193b12ea (__TEXT,__const) non-external __oidAnsip224r1
00007ffa193b12ef (__TEXT,__const) non-external __oidAnsip384r1
00007ffa193b12e2 (__TEXT,__const) non-external __oidEcPrime256v1
00007ffa193b12b4 (__TEXT,__const) non-external __oidEcPubKey
00007ffa193b1290 (__TEXT,__const) non-external __oidRsa
00007ffa193b12cb (__TEXT,__const) non-external __oidSha1
00007ffa193b1299 (__TEXT,__const) non-external __oidSha1Rsa
00007ffa193b12d0 (__TEXT,__const) non-external __oidSha256
00007ffa193b12bb (__TEXT,__const) non-external __oidSha256Ecdsa
00007ffa193b12a2 (__TEXT,__const) non-external __oidSha256Rsa
00007ffa193b12d9 (__TEXT,__const) non-external __oidSha384
00007ffa193b12c3 (__TEXT,__const) non-external __oidSha384Ecdsa
00007ffa193b12ab (__TEXT,__const) non-external __oidSha384Rsa
                 (undefined) external _free (from libSystem)
00007ffa421dab90 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeClientCallback
00007ffa440f9de0 (__DATA,__data) non-external (was a private external) _kAMFDRDecodeEcdsaInfoList
00007ffa421daa90 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP224
00007ffa421daa50 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP256
00007ffa421daa70 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP384
00007ffa421dab20 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationOffline
00007ffa421daab0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha1
00007ffa421daae8 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha384
00007ffa421dab58 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationTestStationSha1
00007ffa421daa20 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha1
00007ffa421daa38 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha384
00007ffa193b0a20 (__TEXT,__const) non-external (was a private external) _kFDRKnownTag
00007ffa193b09e7 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_CRTP
00007ffa193b09e2 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_IM4C
00007ffa193b09b0 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_comb
00007ffa193b09d3 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdr2
00007ffa193b09c4 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdrd
00007ffa193b09ec (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mcmb
00007ffa193b09d8 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mft2
00007ffa193b09b5 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rssl
00007ffa193b09bf (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rvok
00007ffa193b09c9 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_secb
00007ffa193b09ce (__TEXT,__const) non-external (was a private external) _kFDRTagStr_sreq
00007ffa193b09dd (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trpk
00007ffa193b09ba (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trst
                 (undefined) external _kImg4TagStr_IM4M (from libamsupport)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ffa421dac78 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip224r1
00007ffa421dac88 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip384r1
00007ffa421dac68 (__DATA_CONST,__const) non-external (was a private external) _oidEcPrime256v1
00007ffa421dac08 (__DATA_CONST,__const) non-external (was a private external) _oidEcPubKey
00007ffa421dabc8 (__DATA_CONST,__const) non-external (was a private external) _oidRsa
00007ffa421dac38 (__DATA_CONST,__const) non-external (was a private external) _oidSha1
00007ffa421dabd8 (__DATA_CONST,__const) non-external (was a private external) _oidSha1Rsa
00007ffa421dac48 (__DATA_CONST,__const) non-external (was a private external) _oidSha256
00007ffa421dac18 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Ecdsa
00007ffa421dabe8 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Rsa
00007ffa421dac58 (__DATA_CONST,__const) non-external (was a private external) _oidSha384
00007ffa421dac28 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Ecdsa
00007ffa421dabf8 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Rsa
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
