                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
0000000283727ccc (__TEXT,__text) external __crypt_blowfish_rn
0000000283723a00 (__TEXT,__text) external _apr_bucket_alloc
00000002837238b4 (__TEXT,__text) external _apr_bucket_alloc_create
000000028372393c (__TEXT,__text) external _apr_bucket_alloc_create_ex
00000002837239a8 (__TEXT,__text) external _apr_bucket_alloc_destroy
00000002837238a4 (__TEXT,__text) external _apr_bucket_copy_notimpl
00000002837238b0 (__TEXT,__text) external _apr_bucket_destroy_noop
0000000283723af8 (__TEXT,__text) external _apr_bucket_eos_create
0000000283723ae4 (__TEXT,__text) external _apr_bucket_eos_make
0000000283723bd4 (__TEXT,__text) external _apr_bucket_file_create
0000000283723c74 (__TEXT,__text) external _apr_bucket_file_enable_mmap
0000000283723b5c (__TEXT,__text) external _apr_bucket_file_make
0000000283723fd4 (__TEXT,__text) external _apr_bucket_flush_create
0000000283723fc0 (__TEXT,__text) external _apr_bucket_flush_make
0000000283723ab4 (__TEXT,__text) external _apr_bucket_free
00000002837240f8 (__TEXT,__text) external _apr_bucket_heap_create
0000000283724038 (__TEXT,__text) external _apr_bucket_heap_make
0000000283724a74 (__TEXT,__text) external _apr_bucket_immortal_create
0000000283724a60 (__TEXT,__text) external _apr_bucket_immortal_make
0000000283724288 (__TEXT,__text) external _apr_bucket_mmap_create
00000002837241e0 (__TEXT,__text) external _apr_bucket_mmap_make
0000000283724488 (__TEXT,__text) external _apr_bucket_pipe_create
0000000283724470 (__TEXT,__text) external _apr_bucket_pipe_make
000000028372478c (__TEXT,__text) external _apr_bucket_pool_create
0000000283724688 (__TEXT,__text) external _apr_bucket_pool_make
0000000283723884 (__TEXT,__text) external _apr_bucket_setaside_noop
000000028372388c (__TEXT,__text) external _apr_bucket_setaside_notimpl
0000000283724910 (__TEXT,__text) external _apr_bucket_shared_copy
0000000283724944 (__TEXT,__text) external _apr_bucket_shared_destroy
0000000283724958 (__TEXT,__text) external _apr_bucket_shared_make
00000002837248dc (__TEXT,__text) external _apr_bucket_shared_split
000000028372496c (__TEXT,__text) external _apr_bucket_simple_copy
00000002837249c4 (__TEXT,__text) external _apr_bucket_simple_split
0000000283724bb8 (__TEXT,__text) external _apr_bucket_socket_create
0000000283724ba0 (__TEXT,__text) external _apr_bucket_socket_make
0000000283723898 (__TEXT,__text) external _apr_bucket_split_notimpl
0000000283724aec (__TEXT,__text) external _apr_bucket_transient_create
0000000283724ad8 (__TEXT,__text) external _apr_bucket_transient_make
000000029edf5b28 (__AUTH_CONST,__const) external _apr_bucket_type_eos
000000029edf5b60 (__AUTH_CONST,__const) external _apr_bucket_type_file
000000029edf5b98 (__AUTH_CONST,__const) external _apr_bucket_type_flush
000000029edf5bd0 (__AUTH_CONST,__const) external _apr_bucket_type_heap
000000029edf5cb0 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
000000029edf5c08 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
000000029edf5c40 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
000000029edf5c78 (__AUTH_CONST,__const) external _apr_bucket_type_pool
000000029edf5d20 (__AUTH_CONST,__const) external _apr_bucket_type_socket
000000029edf5ce8 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
0000000298052978 (__DATA,__common) external _apr_current_hooking_module
0000000283730090 (__TEXT,__text) external _apr_date_checkmask
00000002837301b8 (__TEXT,__text) external _apr_date_parse_http
0000000283730570 (__TEXT,__text) external _apr_date_parse_rfc
000000028372a928 (__TEXT,__text) external _apr_dbd_check_conn
000000028372a948 (__TEXT,__text) external _apr_dbd_close
000000028372b074 (__TEXT,__text) external _apr_dbd_datum_get
000000028372a938 (__TEXT,__text) external _apr_dbd_error
000000028372aadc (__TEXT,__text) external _apr_dbd_escape
000000028372a840 (__TEXT,__text) external _apr_dbd_get_driver
000000028372aabc (__TEXT,__text) external _apr_dbd_get_entry
000000028372aacc (__TEXT,__text) external _apr_dbd_get_name
000000028372aaa4 (__TEXT,__text) external _apr_dbd_get_row
000000028372a71c (__TEXT,__text) external _apr_dbd_init
000000028372a704 (__TEXT,__text) external _apr_dbd_mutex_lock
000000028372a710 (__TEXT,__text) external _apr_dbd_mutex_unlock
000000028372aa34 (__TEXT,__text) external _apr_dbd_name
000000028372aa3c (__TEXT,__text) external _apr_dbd_native_handle
000000028372aa8c (__TEXT,__text) external _apr_dbd_num_cols
000000028372aa98 (__TEXT,__text) external _apr_dbd_num_tuples
000000028372a954 (__TEXT,__text) external _apr_dbd_open
000000028372a884 (__TEXT,__text) external _apr_dbd_open_ex
000000028372afac (__TEXT,__text) external _apr_dbd_pbquery
000000028372afc8 (__TEXT,__text) external _apr_dbd_pbselect
000000028372aee4 (__TEXT,__text) external _apr_dbd_pquery
000000028372aaf0 (__TEXT,__text) external _apr_dbd_prepare
000000028372af00 (__TEXT,__text) external _apr_dbd_pselect
000000028372afe8 (__TEXT,__text) external _apr_dbd_pvbquery
000000028372b02c (__TEXT,__text) external _apr_dbd_pvbselect
000000028372af20 (__TEXT,__text) external _apr_dbd_pvquery
000000028372af64 (__TEXT,__text) external _apr_dbd_pvselect
000000028372aa5c (__TEXT,__text) external _apr_dbd_query
000000028372aa70 (__TEXT,__text) external _apr_dbd_select
000000028372aa48 (__TEXT,__text) external _apr_dbd_set_dbname
000000029edf5db0 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
000000028372a9cc (__TEXT,__text) external _apr_dbd_transaction_end
000000028372aa18 (__TEXT,__text) external _apr_dbd_transaction_mode_get
000000028372aa24 (__TEXT,__text) external _apr_dbd_transaction_mode_set
000000028372a95c (__TEXT,__text) external _apr_dbd_transaction_start
000000028372b24c (__TEXT,__text) external _apr_dbm_close
000000028372b270 (__TEXT,__text) external _apr_dbm_delete
000000028372b27c (__TEXT,__text) external _apr_dbm_exists
000000028372b258 (__TEXT,__text) external _apr_dbm_fetch
000000028372b288 (__TEXT,__text) external _apr_dbm_firstkey
000000028372b2a0 (__TEXT,__text) external _apr_dbm_freedatum
000000028372b36c (__TEXT,__text) external _apr_dbm_get_usednames
000000028372b2f8 (__TEXT,__text) external _apr_dbm_get_usednames_ex
000000028372b2ac (__TEXT,__text) external _apr_dbm_geterror
000000028372b294 (__TEXT,__text) external _apr_dbm_nextkey
000000028372b1ac (__TEXT,__text) external _apr_dbm_open
000000028372b08c (__TEXT,__text) external _apr_dbm_open_ex
000000028372b264 (__TEXT,__text) external _apr_dbm_store
000000029edf5d58 (__AUTH_CONST,__const) external _apr_dbm_type_sdbm
0000000298052970 (__DATA,__common) external _apr_debug_module_hooks
000000028372d3e4 (__TEXT,__text) external _apr_dynamic_fn_register
000000028372d388 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
0000000298052968 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
0000000298052960 (__DATA,__common) external _apr_hook_debug_current
0000000298052958 (__DATA,__common) external _apr_hook_debug_enabled
000000028372d10c (__TEXT,__text) external _apr_hook_debug_show
000000028372d0c4 (__TEXT,__text) external _apr_hook_deregister_all
0000000298052950 (__DATA,__common) external _apr_hook_global_pool
000000028372cc3c (__TEXT,__text) external _apr_hook_sort_all
000000028372cbe4 (__TEXT,__text) external _apr_hook_sort_register
0000000283736d50 (__TEXT,__text) external _apr_ldap_get_option
0000000283736d10 (__TEXT,__text) external _apr_ldap_info
0000000283736c54 (__TEXT,__text) external _apr_ldap_init
000000028372d468 (__TEXT,__text) external _apr_ldap_is_ldap_url
000000028372d5d8 (__TEXT,__text) external _apr_ldap_is_ldapi_url
000000028372d588 (__TEXT,__text) external _apr_ldap_is_ldaps_url
0000000283737118 (__TEXT,__text) external _apr_ldap_rebind_add
0000000283737084 (__TEXT,__text) external _apr_ldap_rebind_init
0000000283737210 (__TEXT,__text) external _apr_ldap_rebind_remove
0000000283736de0 (__TEXT,__text) external _apr_ldap_set_option
0000000283736c4c (__TEXT,__text) external _apr_ldap_ssl_deinit
0000000283736b80 (__TEXT,__text) external _apr_ldap_ssl_init
000000028372dcd0 (__TEXT,__text) external _apr_ldap_url_parse
000000028372d628 (__TEXT,__text) external _apr_ldap_url_parse_ext
0000000283725628 (__TEXT,__text) external _apr_md4
000000028372553c (__TEXT,__text) external _apr_md4_final
0000000283724da0 (__TEXT,__text) external _apr_md4_init
0000000283724dbc (__TEXT,__text) external _apr_md4_set_xlate
0000000283724e14 (__TEXT,__text) external _apr_md4_update
00000002837259e4 (__TEXT,__text) external _apr_md5
0000000283725a70 (__TEXT,__text) external _apr_md5_encode
00000002837258f0 (__TEXT,__text) external _apr_md5_final
00000002837256b0 (__TEXT,__text) external _apr_md5_init
00000002837256cc (__TEXT,__text) external _apr_md5_set_xlate
0000000283725724 (__TEXT,__text) external _apr_md5_update
000000028372e62c (__TEXT,__text) external _apr_memcache_add
000000028372f07c (__TEXT,__text) external _apr_memcache_add_multget_key
000000028372dd24 (__TEXT,__text) external _apr_memcache_add_server
000000028372e2c0 (__TEXT,__text) external _apr_memcache_create
000000028372ef18 (__TEXT,__text) external _apr_memcache_decr
000000028372eb14 (__TEXT,__text) external _apr_memcache_delete
000000028372dfa4 (__TEXT,__text) external _apr_memcache_disable_server
000000028372df90 (__TEXT,__text) external _apr_memcache_enable_server
000000028372df20 (__TEXT,__text) external _apr_memcache_find_server
000000028372dd5c (__TEXT,__text) external _apr_memcache_find_server_hash
000000028372dd78 (__TEXT,__text) external _apr_memcache_find_server_hash_default
000000028372e674 (__TEXT,__text) external _apr_memcache_getp
000000028372e3b8 (__TEXT,__text) external _apr_memcache_hash
000000028372e32c (__TEXT,__text) external _apr_memcache_hash_crc32
000000028372e370 (__TEXT,__text) external _apr_memcache_hash_default
000000028372ecfc (__TEXT,__text) external _apr_memcache_incr
000000028372f130 (__TEXT,__text) external _apr_memcache_multgetp
000000028372e650 (__TEXT,__text) external _apr_memcache_replace
000000028372dfe8 (__TEXT,__text) external _apr_memcache_server_create
000000028372e410 (__TEXT,__text) external _apr_memcache_set
000000028372f9d4 (__TEXT,__text) external _apr_memcache_stats
000000028372ef30 (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
000000028372d268 (__TEXT,__text) external _apr_optional_hook_add
000000028372d218 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
0000000283726a74 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
000000028372b3f8 (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
0000000283730da0 (__TEXT,__text) external _apr_queue_create
00000002837312fc (__TEXT,__text) external _apr_queue_interrupt_all
00000002837310e4 (__TEXT,__text) external _apr_queue_pop
0000000283730ec0 (__TEXT,__text) external _apr_queue_push
00000002837310dc (__TEXT,__text) external _apr_queue_size
0000000283731358 (__TEXT,__text) external _apr_queue_term
000000028373121c (__TEXT,__text) external _apr_queue_trypop
0000000283731000 (__TEXT,__text) external _apr_queue_trypush
00000002837317c8 (__TEXT,__text) external _apr_reslist_acquire
0000000283731a7c (__TEXT,__text) external _apr_reslist_acquired_count
0000000283731b18 (__TEXT,__text) external _apr_reslist_cleanup_order_set
0000000283731558 (__TEXT,__text) external _apr_reslist_create
00000002837317ac (__TEXT,__text) external _apr_reslist_destroy
0000000283731ab8 (__TEXT,__text) external _apr_reslist_invalidate
00000002837313b8 (__TEXT,__text) external _apr_reslist_maintain
0000000283731984 (__TEXT,__text) external _apr_reslist_release
0000000283731a74 (__TEXT,__text) external _apr_reslist_timeout_set
0000000283732498 (__TEXT,__text) external _apr_rmm_addr_get
0000000283731ef8 (__TEXT,__text) external _apr_rmm_attach
00000002837322b0 (__TEXT,__text) external _apr_rmm_calloc
0000000283731d94 (__TEXT,__text) external _apr_rmm_destroy
0000000283731f70 (__TEXT,__text) external _apr_rmm_detach
00000002837324a4 (__TEXT,__text) external _apr_rmm_free
0000000283731bc8 (__TEXT,__text) external _apr_rmm_init
0000000283731f78 (__TEXT,__text) external _apr_rmm_malloc
000000028373248c (__TEXT,__text) external _apr_rmm_offset_get
0000000283732680 (__TEXT,__text) external _apr_rmm_overhead_get
00000002837323c8 (__TEXT,__text) external _apr_rmm_realloc
000000028372b968 (__TEXT,__text) external _apr_sdbm_close
000000028372bbf8 (__TEXT,__text) external _apr_sdbm_delete
000000028372b9d4 (__TEXT,__text) external _apr_sdbm_fetch
000000028372c07c (__TEXT,__text) external _apr_sdbm_firstkey
000000028372c314 (__TEXT,__text) external _apr_sdbm_lock
000000028372c164 (__TEXT,__text) external _apr_sdbm_nextkey
000000028372b7ac (__TEXT,__text) external _apr_sdbm_open
000000028372bcbc (__TEXT,__text) external _apr_sdbm_rdonly
000000028372bd24 (__TEXT,__text) external _apr_sdbm_store
000000028372c42c (__TEXT,__text) external _apr_sdbm_unlock
0000000283727bb0 (__TEXT,__text) external _apr_sha1_base64
0000000283727acc (__TEXT,__text) external _apr_sha1_final
0000000283726c9c (__TEXT,__text) external _apr_sha1_init
0000000283727ac8 (__TEXT,__text) external _apr_sha1_update
0000000283726cc0 (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
0000000283733738 (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
0000000283734e1c (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
0000000283733228 (__TEXT,__text) external _apr_thread_pool_busy_count
0000000283732690 (__TEXT,__text) external _apr_thread_pool_create
0000000283732c70 (__TEXT,__text) external _apr_thread_pool_destroy
0000000283733238 (__TEXT,__text) external _apr_thread_pool_idle_count
0000000283733260 (__TEXT,__text) external _apr_thread_pool_idle_max_get
0000000283733270 (__TEXT,__text) external _apr_thread_pool_idle_max_set
0000000283733268 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
0000000283733340 (__TEXT,__text) external _apr_thread_pool_idle_wait_set
0000000283732c90 (__TEXT,__text) external _apr_thread_pool_push
0000000283732ef8 (__TEXT,__text) external _apr_thread_pool_schedule
0000000283733218 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
00000002837333fc (__TEXT,__text) external _apr_thread_pool_task_owner_get
0000000283733050 (__TEXT,__text) external _apr_thread_pool_tasks_cancel
0000000283733210 (__TEXT,__text) external _apr_thread_pool_tasks_count
0000000283733248 (__TEXT,__text) external _apr_thread_pool_tasks_high_count
0000000283733240 (__TEXT,__text) external _apr_thread_pool_tasks_run_count
0000000283733350 (__TEXT,__text) external _apr_thread_pool_thread_max_get
0000000283733358 (__TEXT,__text) external _apr_thread_pool_thread_max_set
0000000283733220 (__TEXT,__text) external _apr_thread_pool_threads_count
0000000283733250 (__TEXT,__text) external _apr_thread_pool_threads_high_count
0000000283733258 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
00000002837333e4 (__TEXT,__text) external _apr_thread_pool_threshold_get
00000002837333ec (__TEXT,__text) external _apr_thread_pool_threshold_set
0000000283733044 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
0000000283733c70 (__TEXT,__text) external _apr_uri_parse
000000028373408c (__TEXT,__text) external _apr_uri_parse_hostinfo
00000002837339cc (__TEXT,__text) external _apr_uri_port_of_scheme
0000000283733a24 (__TEXT,__text) external _apr_uri_unparse
000000028372a27c (__TEXT,__text) external _apr_uuid_format
000000028372a108 (__TEXT,__text) external _apr_uuid_get
000000028372a304 (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
0000000283734598 (__TEXT,__text) external _apr_xlate_close
00000002837344a0 (__TEXT,__text) external _apr_xlate_conv_buffer
0000000283734580 (__TEXT,__text) external _apr_xlate_conv_byte
0000000283734194 (__TEXT,__text) external _apr_xlate_open
0000000283734488 (__TEXT,__text) external _apr_xlate_sb_get
00000002837357cc (__TEXT,__text) external _apr_xml_empty_elem
00000002837346e8 (__TEXT,__text) external _apr_xml_insert_uri
0000000283734d5c (__TEXT,__text) external _apr_xml_parse_file
00000002837345b4 (__TEXT,__text) external _apr_xml_parser_create
0000000283734c08 (__TEXT,__text) external _apr_xml_parser_done
0000000283734b9c (__TEXT,__text) external _apr_xml_parser_feed
0000000283734c84 (__TEXT,__text) external _apr_xml_parser_geterror
0000000283734f8c (__TEXT,__text) external _apr_xml_quote_elem
0000000283734e68 (__TEXT,__text) external _apr_xml_quote_string
0000000283735040 (__TEXT,__text) external _apr_xml_to_text
000000028372c8a8 (__TEXT,__text) external _apu__sdbm_chkpage
000000028372c6c0 (__TEXT,__text) external _apu__sdbm_delpair
000000028372c630 (__TEXT,__text) external _apu__sdbm_duppair
000000028372c468 (__TEXT,__text) external _apu__sdbm_fitpair
000000028372c670 (__TEXT,__text) external _apu__sdbm_getnkey
000000028372c524 (__TEXT,__text) external _apu__sdbm_getpair
000000028372c23c (__TEXT,__text) external _apu__sdbm_hash
000000028373a0d0 (__TEXT,__const) external _apu__sdbm_nullitem
000000028372c498 (__TEXT,__text) external _apu__sdbm_putpair
000000028372c79c (__TEXT,__text) external _apu__sdbm_splpage
000000028373371c (__TEXT,__text) external _apu_version
000000028373372c (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _iconv (from libiconv)
                 (undefined) external _iconv_close (from libiconv)
                 (undefined) external _iconv_open (from libiconv)
                 (undefined) external _ldap_bind_s (from LDAP)
                 (undefined) external _ldap_err2string (from LDAP)
                 (undefined) external _ldap_get_option (from LDAP)
                 (undefined) external _ldap_init (from LDAP)
                 (undefined) external _ldap_set_option (from LDAP)
                 (undefined) external _ldap_set_rebind_proc (from LDAP)
                 (undefined) external _ldap_start_tls_s (from LDAP)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _rand (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _sqlite3_bind_blob (from libsqlite3)
                 (undefined) external _sqlite3_bind_double (from libsqlite3)
                 (undefined) external _sqlite3_bind_int (from libsqlite3)
                 (undefined) external _sqlite3_bind_int64 (from libsqlite3)
                 (undefined) external _sqlite3_bind_null (from libsqlite3)
