00000001ac803988 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001ac806350 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001ac80639c (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001ac8027f0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001ac806ba0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001ac806ba0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001ac7f6aa4 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001ac7f6bc8 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001ac7f52b8 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001ac7ef9f4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001ac8048ac (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001ac80492c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001ac7ef544 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:]
00000001ac80475c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.1
00000001ac8047bc (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.2
00000001ac804834 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.3
00000001ac7ef098 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001ac804748 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00000001ac7ef34c (__TEXT,__text) non-external +[SPFilePolicy getAllowedUrls]
00000001ac7fc9a0 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001ac7f7258 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001ac7ed8d4 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001ac7f6668 (__TEXT,__text) non-external +[SPLog downloads]
00000001ac805bf0 (__TEXT,__text) non-external +[SPLog downloads].cold.1
00000001ac7f63e8 (__TEXT,__text) non-external +[SPLog exec]
00000001ac805ba0 (__TEXT,__text) non-external +[SPLog exec].cold.1
00000001ac7f6874 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001ac7f62a8 (__TEXT,__text) non-external +[SPLog generic]
00000001ac805b78 (__TEXT,__text) non-external +[SPLog generic].cold.1
00000001ac7f6348 (__TEXT,__text) non-external +[SPLog kext]
00000001ac805b8c (__TEXT,__text) non-external +[SPLog kext].cold.1
00000001ac7f6488 (__TEXT,__text) non-external +[SPLog measurements]
00000001ac805bb4 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00000001ac7f65c8 (__TEXT,__text) non-external +[SPLog sampling]
00000001ac805bdc (__TEXT,__text) non-external +[SPLog sampling].cold.1
00000001ac7f6868 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001ac7f6528 (__TEXT,__text) non-external +[SPLog signposts]
00000001ac805bc8 (__TEXT,__text) non-external +[SPLog signposts].cold.1
00000001ac7f6708 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001ac805c04 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00000001ac7ff7b4 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001ac806844 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:].cold.1
00000001ac7ff280 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001ac806794 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.1
00000001ac8067ec (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.2
00000001ac7fe770 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001ac8066d8 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001ac7fe5c4 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001ac7fe5b0 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001ac7feb64 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001ac7fe728 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001ac7fe5d8 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001ac801e70 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001ac7ecebc (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00000001ac7eef84 (__TEXT,__text) non-external +[SPScriptScanEvaluation supportsSecureCoding]
00000001ac7eead0 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001ac7ee9f8 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001ac7ee8b0 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001ac7ee73c (__TEXT,__text) non-external -[AKELData init]
00000001ac7eea94 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001ac7ee9bc (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001ac7ee514 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001ac7ee9b4 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001ac803e44 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001ac803d98 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001ac803e58 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001ac803e48 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001ac803dfc (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001ac803e50 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001ac7f4c80 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001ac7f441c (__TEXT,__text) non-external -[BundleData dealloc]
00000001ac8055d0 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001ac7f48e8 (__TEXT,__text) non-external -[BundleData doReload]
00000001ac7f4c54 (__TEXT,__text) non-external -[BundleData forceReload]
00000001ac7f44b8 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001ac7f4400 (__TEXT,__text) non-external -[BundleData init]
00000001ac7f4c60 (__TEXT,__text) non-external -[BundleData isSigned]
00000001ac7f4944 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001ac7f4be8 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001ac7f4608 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001ac80562c (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001ac805670 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001ac7f4c78 (__TEXT,__text) non-external -[BundleData timestamp]
00000001ac7f4c58 (__TEXT,__text) non-external -[BundleData url]
00000001ac7f4c70 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001ac7f4c68 (__TEXT,__text) non-external -[BundleData version]
00000001ac80357c (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001ac803520 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001ac803494 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001ac803530 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001ac8033e4 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001ac803528 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001ac803538 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001ac8029a4 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001ac7f0058 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001ac7effb0 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001ac7eff64 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001ac7efecc (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001ac7eff18 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001ac7f000c (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001ac7effb8 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001ac7eff6c (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001ac7efed4 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001ac7eff20 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001ac7f0014 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001ac7f0004 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001ac7efffc (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001ac801d30 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001ac80184c (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00000001ac801bc8 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001ac800aec (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001ac800bb4 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001ac800f68 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001ac801010 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001ac800e98 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001ac801bf0 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001ac801248 (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00000001ac801a30 (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00000001ac806b3c (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00000001ac800330 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001ac801538 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001ac800e0c (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001ac801bd8 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001ac8017d8 (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00000001ac801768 (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00000001ac800cdc (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001ac800394 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001ac80689c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001ac806914 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001ac806980 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001ac8069c0 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001ac806a00 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001ac806a6c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001ac800314 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001ac801c00 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001ac801abc (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00000001ac801c08 (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00000001ac801c40 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001ac801c88 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00000001ac801360 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001ac801c28 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001ac801200 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001ac801c30 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001ac8012d0 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001ac800a3c (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001ac801be8 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001ac801c80 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001ac801bd0 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001ac801bb0 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001ac801bc0 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001ac801c68 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001ac801318 (__TEXT,__text) non-external -[PolicyScanTarget quarantineFlags]
00000001ac801444 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001ac8015d0 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00000001ac801c60 (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00000001ac801bf8 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001ac801c78 (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00000001ac801c58 (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00000001ac801c50 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00000001ac801c10 (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00000001ac801c48 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001ac801c90 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00000001ac801c38 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001ac801c70 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001ac801ca0 (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00000001ac801c20 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001ac801cec (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00000001ac801158 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001ac800dbc (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001ac800d14 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001ac8010b0 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001ac801620 (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00000001ac801c98 (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00000001ac801c18 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001ac801ba8 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001ac801ce4 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00000001ac801be0 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001ac801bb8 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001ac7eca24 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00000001ac7ec418 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00000001ac7ec9d8 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00000001ac7ec98c (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00000001ac7ec660 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00000001ac7ec58c (__TEXT,__text) non-external -[ProvenanceEntry description]
00000001ac7ec810 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00000001ac7ec49c (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00000001ac7ec85c (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00000001ac7ec9e0 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00000001ac7ec994 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00000001ac7ec818 (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00000001ac7ec864 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00000001ac7ec948 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00000001ac7ec8fc (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00000001ac7ec7cc (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00000001ac7ec8b0 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00000001ac7ec940 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00000001ac7ec8f4 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00000001ac7ec7c4 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00000001ac7ec8a8 (__TEXT,__text) non-external -[ProvenanceEntry url]
00000001ac803d54 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00000001ac803c20 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00000001ac803b6c (__TEXT,__text) non-external -[SPBundleProtection init]
00000001ac803c6c (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00000001ac7f0280 (__TEXT,__text) non-external -[SPCodeEvaluationProxy .cxx_destruct]
00000001ac7f0174 (__TEXT,__text) non-external -[SPCodeEvaluationProxy dealloc]
00000001ac7f00c0 (__TEXT,__text) non-external -[SPCodeEvaluationProxy init]
00000001ac7f01c0 (__TEXT,__text) non-external -[SPCodeEvaluationProxy showXProtectBlockedPrompt:forUser:error:]
00000001ac8045d8 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001ac804564 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001ac80442c (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001ac804378 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001ac804478 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001ac80454c (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001ac8045c8 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001ac8045c0 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001ac804494 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001ac8045d0 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001ac7f6fec (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001ac7f6fcc (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001ac7f6fdc (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001ac7f6de4 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001ac7f6fac (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001ac7f6bd0 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001ac7f68d8 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001ac7f68bc (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001ac7f6fe4 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001ac7f6fb4 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001ac7f6fd4 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001ac7f6fbc (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001ac7f6fc4 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001ac7faad8 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001ac7f981c (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001ac7f9728 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperOverrideForPersistentIdentifier:error:]
00000001ac7f9634 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001ac7fa32c (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00000001ac7f95c8 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001ac7f9358 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001ac7f90ac (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001ac7f925c (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001ac7f9a10 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001ac7f9f00 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00000001ac7fa1e8 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00000001ac7f9cd0 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001ac7f9008 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001ac7f9b04 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001ac7f9fd0 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00000001ac7fa25c (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00000001ac7f95bc (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001ac7fa024 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00000001ac7f9100 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001ac7f90f8 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001ac7f9910 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001ac7fa3fc (__TEXT,__text) non-external -[SPExecutionPolicy setDownloadURL:andDataURL:forURL:]
00000001ac7f9fc4 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00000001ac7f9da0 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00000001ac7fa118 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00000001ac7f912c (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001ac7f9bf8 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001ac7f5f34 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001ac7f5794 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001ac805884 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001ac8058f4 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001ac80596c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001ac8059ac (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001ac805a3c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001ac805aa8 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001ac805b38 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001ac7f6280 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001ac7f602c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00000001ac7f9000 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00000001ac7f8f70 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
