00007ffd189a0968 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffd1892d972 (__TEXT,__text) external _AEADecryptAndExtract
00007ffd1897a1d5 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffd1892d3e8 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffd1897bc35 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffd189256f4 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffd18942724 (__TEXT,__text) external _AEADecryptInPlace
00007ffd1894c260 (__TEXT,__text) external _AEADecryptToFile
00007ffd1896c6cd (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffd1894bcbe (__TEXT,__text) external _AEADecryptToFileChunk
00007ffd1896d3e6 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffd189ab343 (__TEXT,__text) external _AEADecryptToStream
00007ffd189aaafe (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffd1894664b (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffd18938be0 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffd1892b32a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffd18942c75 (__TEXT,__text) external _AEAEncryptInPlace
00007ffd1893d788 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffd1893c9ba (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffd1893cfc0 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffd18942e11 (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffd18943728 (__TEXT,__text) external _AEAKeychainHasItem
00007ffd18943576 (__TEXT,__text) external _AEAKeychainLoadItem
00007ffd18943831 (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffd189430ca (__TEXT,__text) external _AEAKeychainStoreItem
00007ffd189346f4 (__TEXT,__text) external _AEAStreamSign
00007ffd1896f4ea (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffd1896c424 (__TEXT,__text) non-external _BXDiff5Data_free
00007ffd18940b76 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffd1896f4f9 (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffd1895407a (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffd18955250 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffd1895527f (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffd18955534 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffd1895553e (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffd18955547 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffd18955551 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffd189417b9 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffd18941a1b (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffd18940bc8 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffd189418d4 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffd18952050 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffd18951fb7 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffd18951f12 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffd18946848 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffd18946820 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffd18946865 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffd18946c0a (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffd1895cf3b (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffd1895cede (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffd1895cef7 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffd1895f0b0 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffd1895f09c (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffd1895f0a6 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffd189c0f00 (__TEXT,__const) non-external _CKSUMTable
00007ffd189a3bac (__TEXT,__text) non-external _CompressionConsumerProc
00007ffd189a39d8 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffd189a4883 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffd189a3b22 (__TEXT,__text) non-external _CompressionWorkerProc
00007ffd18937f51 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffd18937bbc (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffd189384a0 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffd18938711 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffd189382b1 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffd1893844a (__TEXT,__text) non-external _Digest_SHA256
00007ffd18946f6f (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffd18946c1d (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffd189c0cc0 (__TEXT,__const) non-external _ECC65537_G
00007ffd189527db (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffd18951e34 (__TEXT,__text) non-external _ForkOutputStreamCancel
00007ffd18951e45 (__TEXT,__text) non-external _ForkOutputStreamClose
00007ffd18951b1e (__TEXT,__text) non-external _ForkOutputStreamPWrite
00007ffd18950f66 (__TEXT,__text) non-external _ForkOutputStreamWrite
00007ffd18973fb9 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffd18973520 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffd18936e24 (__TEXT,__text) non-external _HKDFDerive
00007ffd18938a48 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffd189389d6 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffd18938946 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffd189389be (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffd18938b23 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffd18948012 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffd18947dbc (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffd18947f0b (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffd18947ff6 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffd18947d82 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffd189567de (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffd1895649a (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffd189567a7 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffd18956906 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffd18948027 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffd18948647 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffd189485de (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffd189486c4 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffd1895750c (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffd1895744d (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffd18957443 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffd189574be (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffd1895632c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffd18970635 (__TEXT,__text) non-external _InSituStreamCancel
00007ffd189701be (__TEXT,__text) non-external _InSituStreamClose
00007ffd1897036c (__TEXT,__text) non-external _InSituStreamPRead
00007ffd189704bb (__TEXT,__text) non-external _InSituStreamPWrite
00007ffd1897064f (__TEXT,__text) non-external _InSituStreamSimulate
00007ffd18970642 (__TEXT,__text) non-external _InSituTruncate
00007ffd189695b9 (__TEXT,__text) non-external _IntervalStreamCancel
00007ffd189695c6 (__TEXT,__text) non-external _IntervalStreamClose
00007ffd18969529 (__TEXT,__text) non-external _IntervalStreamPRead
00007ffd1896951b (__TEXT,__text) non-external _IntervalStreamRead
00007ffd1896957f (__TEXT,__text) non-external _IntervalStreamSeek
00007ffd18973457 (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffd18972d20 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffd18956106 (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffd189560c5 (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffd18955547 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffd18956322 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffd18955b20 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffd18955ca5 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffd18955c14 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
