0000000225bc2acc (__TEXT,__text) external _CGLGetCurrentContext
0000000225bbe600 (__TEXT,__text) external _glGetBufferParameteri64v
0000000225bbcb2c (__TEXT,__text) external _glGetBufferParameteriv
0000000225bc0d2c (__TEXT,__text) external _glGetBufferParameterivARB
0000000225bbcb4c (__TEXT,__text) external _glGetBufferPointerv
0000000225bc0d4c (__TEXT,__text) external _glGetBufferPointervARB
0000000225bbcad4 (__TEXT,__text) external _glGetBufferSubData
0000000225bc0cd4 (__TEXT,__text) external _glGetBufferSubDataARB
0000000225bb9f18 (__TEXT,__text) external _glGetClipPlane
0000000225bbba60 (__TEXT,__text) external _glGetColorTable
0000000225bc15d8 (__TEXT,__text) external _glGetColorTableEXT
0000000225bbba84 (__TEXT,__text) external _glGetColorTableParameterfv
0000000225bc15fc (__TEXT,__text) external _glGetColorTableParameterfvEXT
0000000225bbbaa4 (__TEXT,__text) external _glGetColorTableParameteriv
0000000225bc161c (__TEXT,__text) external _glGetColorTableParameterivEXT
0000000225bc2a84 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
0000000225bc2a88 (__TEXT,__text) external _glGetCombinerInputParameterivNV
0000000225bc2a8c (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
0000000225bc2a90 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
0000000225bc2aa0 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
0000000225bbc45c (__TEXT,__text) external _glGetCompressedTexImage
0000000225bc0948 (__TEXT,__text) external _glGetCompressedTexImageARB
0000000225bbbc44 (__TEXT,__text) external _glGetConvolutionFilter
0000000225bbbc68 (__TEXT,__text) external _glGetConvolutionParameterfv
0000000225bbbc88 (__TEXT,__text) external _glGetConvolutionParameteriv
0000000225bbfac4 (__TEXT,__text) external _glGetDoublei_v
0000000225bb9f34 (__TEXT,__text) external _glGetDoublev
0000000225bb9f50 (__TEXT,__text) external _glGetError
0000000225bc2a94 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
0000000225bc2a98 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
0000000225bbfaa4 (__TEXT,__text) external _glGetFloati_v
0000000225bb9f64 (__TEXT,__text) external _glGetFloatv
0000000225bbe668 (__TEXT,__text) external _glGetFragDataIndex
0000000225bbdfc8 (__TEXT,__text) external _glGetFragDataLocation
0000000225bc2220 (__TEXT,__text) external _glGetFragDataLocationEXT
0000000225bbd95c (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
0000000225bc1b38 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
0000000225bc0d84 (__TEXT,__text) external _glGetHandleARB
0000000225bbbd28 (__TEXT,__text) external _glGetHistogram
0000000225bbbd50 (__TEXT,__text) external _glGetHistogramParameterfv
0000000225bbbd70 (__TEXT,__text) external _glGetHistogramParameteriv
0000000225bc1118 (__TEXT,__text) external _glGetInfoLogARB
0000000225bbe5e0 (__TEXT,__text) external _glGetInteger64i_v
0000000225bbe504 (__TEXT,__text) external _glGetInteger64v
0000000225bc1d78 (__TEXT,__text) external _glGetIntegerIndexedvEXT
0000000225bbdb38 (__TEXT,__text) external _glGetIntegeri_v
0000000225bb9f80 (__TEXT,__text) external _glGetIntegerv
0000000225bc1484 (__TEXT,__text) external _glGetInternalformativ
0000000225bb9f9c (__TEXT,__text) external _glGetLightfv
0000000225bb9fbc (__TEXT,__text) external _glGetLightiv
0000000225bb9fdc (__TEXT,__text) external _glGetMapdv
0000000225bb9ffc (__TEXT,__text) external _glGetMapfv
0000000225bba01c (__TEXT,__text) external _glGetMapiv
0000000225bba03c (__TEXT,__text) external _glGetMaterialfv
0000000225bba05c (__TEXT,__text) external _glGetMaterialiv
0000000225bbbd90 (__TEXT,__text) external _glGetMinmax
0000000225bbbdb8 (__TEXT,__text) external _glGetMinmaxParameterfv
0000000225bbbdd8 (__TEXT,__text) external _glGetMinmaxParameteriv
0000000225bbe5a4 (__TEXT,__text) external _glGetMultisamplefv
0000000225bc1438 (__TEXT,__text) external _glGetNamedStringARB
0000000225bc1460 (__TEXT,__text) external _glGetNamedStringivARB
0000000225bc23fc (__TEXT,__text) external _glGetObjectLabelEXT
0000000225bc10d8 (__TEXT,__text) external _glGetObjectParameterfvARB
0000000225bc28b0 (__TEXT,__text) external _glGetObjectParameterivAPPLE
0000000225bc10f8 (__TEXT,__text) external _glGetObjectParameterivARB
0000000225bba07c (__TEXT,__text) external _glGetPixelMapfv
0000000225bba098 (__TEXT,__text) external _glGetPixelMapuiv
0000000225bba0b4 (__TEXT,__text) external _glGetPixelMapusv
0000000225bba0d0 (__TEXT,__text) external _glGetPointerv
0000000225bba0ec (__TEXT,__text) external _glGetPolygonStipple
0000000225bbeff0 (__TEXT,__text) external _glGetProgramBinary
0000000225bc0158 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
0000000225bc0178 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
0000000225bbd4d0 (__TEXT,__text) external _glGetProgramInfoLog
0000000225bc0198 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
0000000225bc01b8 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
0000000225bbf158 (__TEXT,__text) external _glGetProgramPipelineInfoLog
0000000225bbf120 (__TEXT,__text) external _glGetProgramPipelineiv
0000000225bbed44 (__TEXT,__text) external _glGetProgramStageiv
0000000225bc01fc (__TEXT,__text) external _glGetProgramStringARB
0000000225bbd468 (__TEXT,__text) external _glGetProgramiv
