000000021ba85aa8 (__DATA,__bss) non-external _A
000000020cec3e90 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
000000020cede1e8 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
000000020cede338 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
000000020cede36c (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
000000020cede1b8 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
000000020cede290 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
000000020cec3e38 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
000000020ced5de8 (__TEXT,__text) external _cmark_init_standard_node_flags
000000020cedaf78 (__TEXT,__text) external _cmark_inline_parser_advance_offset
000000020cedafb0 (__TEXT,__text) external _cmark_inline_parser_get_chunk
000000020cedaf98 (__TEXT,__text) external _cmark_inline_parser_get_column
000000020cedb03c (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
000000020cedb044 (__TEXT,__text) external _cmark_inline_parser_get_line
000000020cedaf88 (__TEXT,__text) external _cmark_inline_parser_get_offset
000000020cedafb8 (__TEXT,__text) external _cmark_inline_parser_in_bracket
000000020cedac34 (__TEXT,__text) external _cmark_inline_parser_is_eof
000000020cedac28 (__TEXT,__text) external _cmark_inline_parser_peek_at
000000020cedabf0 (__TEXT,__text) external _cmark_inline_parser_peek_char
000000020cedfa40 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
000000020cedad10 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
000000020cedad9c (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
000000020cedada0 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
000000020cedfa90 (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
000000020cedaf90 (__TEXT,__text) external _cmark_inline_parser_set_offset
000000020cedac48 (__TEXT,__text) external _cmark_inline_parser_take_while
000000020cedfa68 (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
000000020ced796c (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
000000020ced798c (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
000000020cec3de0 (__TEXT,__text) external _cmark_isalnum
000000020cec3e1c (__TEXT,__text) external _cmark_isalpha
000000020cec3e00 (__TEXT,__text) external _cmark_isdigit
000000020cec3dc4 (__TEXT,__text) external _cmark_ispunct
000000020cec3da8 (__TEXT,__text) external _cmark_isspace
000000020cec71e0 (__TEXT,__text) external _cmark_iter_free
000000020cec72d8 (__TEXT,__text) external _cmark_iter_get_event_type
000000020cec72d0 (__TEXT,__text) external _cmark_iter_get_node
000000020cec72e0 (__TEXT,__text) external _cmark_iter_get_root
000000020cec718c (__TEXT,__text) external _cmark_iter_new
000000020cec71ec (__TEXT,__text) external _cmark_iter_next
000000020cedeff8 (__TEXT,__text) non-external _cmark_iter_next.cold.1
000000020cec72c4 (__TEXT,__text) external _cmark_iter_reset
000000020cec5b80 (__TEXT,__text) external _cmark_list_syntax_extensions
000000020cec8494 (__TEXT,__text) external _cmark_llist_append
000000020cec854c (__TEXT,__text) external _cmark_llist_free
000000020cec84f0 (__TEXT,__text) external _cmark_llist_free_full
000000020ced3a28 (__TEXT,__text) external _cmark_manage_extensions_special_characters
000000020ced2c54 (__TEXT,__text) non-external (was a private external) _cmark_map_free
000000020ced2ad0 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
000000020ced2cc8 (__TEXT,__text) non-external (was a private external) _cmark_map_new
000000020cec2d28 (__TEXT,__text) external _cmark_markdown_to_html
000000020ced74dc (__TEXT,__text) external _cmark_node_append_child
000000020ced5dec (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
000000020ced7538 (__TEXT,__text) non-external (was a private external) _cmark_node_check
000000020ced64ac (__TEXT,__text) external _cmark_node_first_child
000000020ced5fcc (__TEXT,__text) external _cmark_node_free
000000020ced6e70 (__TEXT,__text) external _cmark_node_get_attributes
000000020ced664c (__TEXT,__text) external _cmark_node_get_backtick_count
000000020ced7314 (__TEXT,__text) external _cmark_node_get_end_column
000000020ced7308 (__TEXT,__text) external _cmark_node_get_end_line
000000020ced6998 (__TEXT,__text) external _cmark_node_get_fence_info
000000020ced6b04 (__TEXT,__text) external _cmark_node_get_fenced
000000020ced67cc (__TEXT,__text) external _cmark_node_get_heading_level
000000020ced688c (__TEXT,__text) external _cmark_node_get_list_delim
000000020ced68ec (__TEXT,__text) external _cmark_node_get_list_start
000000020ced6944 (__TEXT,__text) external _cmark_node_get_list_tight
000000020ced682c (__TEXT,__text) external _cmark_node_get_list_type
000000020ced6520 (__TEXT,__text) external _cmark_node_get_literal
000000020ced6fdc (__TEXT,__text) external _cmark_node_get_on_enter
000000020ced7158 (__TEXT,__text) external _cmark_node_get_on_exit
000000020ced72fc (__TEXT,__text) external _cmark_node_get_start_column
000000020ced72f0 (__TEXT,__text) external _cmark_node_get_start_line
000000020ced67a8 (__TEXT,__text) external _cmark_node_get_string_content
000000020ced72d4 (__TEXT,__text) external _cmark_node_get_syntax_extension
000000020ced6cf4 (__TEXT,__text) external _cmark_node_get_title
000000020ced60c4 (__TEXT,__text) external _cmark_node_get_type
000000020ced628c (__TEXT,__text) external _cmark_node_get_type_string
000000020ced6b78 (__TEXT,__text) external _cmark_node_get_url
000000020ced64f4 (__TEXT,__text) external _cmark_node_get_user_data
000000020ced73c8 (__TEXT,__text) external _cmark_node_insert_after
000000020ced734c (__TEXT,__text) external _cmark_node_insert_before
000000020ced64b8 (__TEXT,__text) external _cmark_node_last_child
000000020ced5fbc (__TEXT,__text) external _cmark_node_new
000000020ced5fa4 (__TEXT,__text) external _cmark_node_new_with_ext
000000020ced5fb4 (__TEXT,__text) external _cmark_node_new_with_mem
000000020ced5ee4 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
000000020ced6488 (__TEXT,__text) external _cmark_node_next
000000020ced64c4 (__TEXT,__text) external _cmark_node_nth_child
000000020cec7464 (__TEXT,__text) external _cmark_node_own
000000020ced64a0 (__TEXT,__text) external _cmark_node_parent
000000020ced7480 (__TEXT,__text) external _cmark_node_prepend_child
000000020ced6494 (__TEXT,__text) external _cmark_node_previous
000000020ced7444 (__TEXT,__text) external _cmark_node_replace
000000020ced6f10 (__TEXT,__text) external _cmark_node_set_attributes
000000020ced6a38 (__TEXT,__text) external _cmark_node_set_fence_info
000000020ced6b40 (__TEXT,__text) external _cmark_node_set_fenced
000000020ced67f0 (__TEXT,__text) external _cmark_node_set_heading_level
000000020ced68b0 (__TEXT,__text) external _cmark_node_set_list_delim
000000020ced6910 (__TEXT,__text) external _cmark_node_set_list_start
000000020ced6968 (__TEXT,__text) external _cmark_node_set_list_tight
000000020ced6850 (__TEXT,__text) external _cmark_node_set_list_type
000000020ced6654 (__TEXT,__text) external _cmark_node_set_literal
000000020ced7084 (__TEXT,__text) external _cmark_node_set_on_enter
000000020ced7200 (__TEXT,__text) external _cmark_node_set_on_exit
000000020ced67b0 (__TEXT,__text) external _cmark_node_set_string_content
000000020ced72e0 (__TEXT,__text) external _cmark_node_set_syntax_extension
000000020ced6d9c (__TEXT,__text) external _cmark_node_set_title
000000020ced60d0 (__TEXT,__text) external _cmark_node_set_type
000000020ced6c20 (__TEXT,__text) external _cmark_node_set_url
000000020ced6500 (__TEXT,__text) external _cmark_node_set_user_data
000000020ced6510 (__TEXT,__text) external _cmark_node_set_user_data_free_func
000000020ced7320 (__TEXT,__text) external _cmark_node_unlink
000000020cedaff4 (__TEXT,__text) external _cmark_node_unput
000000020ced4238 (__TEXT,__text) external _cmark_parse_document
000000020ced3aa8 (__TEXT,__text) external _cmark_parse_file
000000020ced79a8 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
000000020cedf3d0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
000000020cedf538 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
000000020cedf560 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
000000020cedf588 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
000000020cedf5b0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
000000020cedf5d8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
000000020cedf600 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
000000020cedf628 (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
000000020cedf650 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
000000020cedf678 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
000000020cedf6a0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
000000020cedf3f8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
000000020cedf420 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
000000020cedf448 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
000000020cedf470 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
000000020cedf498 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
000000020cedf4c0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
000000020cedf4e8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
000000020cedf510 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
000000020ceda958 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
000000020cedf978 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
000000020cedf9a0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
000000020cedf9c8 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
000000020cedf9f0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
000000020cedfa18 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
000000020ceda164 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
000000020cedf6f4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
000000020cedf71c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
000000020cedf744 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
000000020cedf76c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
000000020cedf794 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
000000020cedf7bc (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
000000020cedf7e4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
000000020ced5534 (__TEXT,__text) external _cmark_parser_add_child
000000020ced5618 (__TEXT,__text) external _cmark_parser_advance_offset
000000020ced3718 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
000000020ced39d8 (__TEXT,__text) non-external _cmark_parser_dispose
000000020ced42a0 (__TEXT,__text) external _cmark_parser_feed
000000020ced42a8 (__TEXT,__text) external _cmark_parser_feed_reentrant
000000020ced3d88 (__TEXT,__text) external _cmark_parser_finish
000000020ced394c (__TEXT,__text) external _cmark_parser_free
000000020ced54fc (__TEXT,__text) external _cmark_parser_get_column
000000020ced5504 (__TEXT,__text) external _cmark_parser_get_first_nonspace
000000020ced550c (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
000000020ced5514 (__TEXT,__text) external _cmark_parser_get_indent
000000020ced552c (__TEXT,__text) external _cmark_parser_get_last_line_length
000000020ced54ec (__TEXT,__text) external _cmark_parser_get_line_number
000000020ced54f4 (__TEXT,__text) external _cmark_parser_get_offset
000000020ced5728 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
000000020ced5524 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
000000020ced551c (__TEXT,__text) external _cmark_parser_is_blank
000000020ced3940 (__TEXT,__text) external _cmark_parser_new
000000020ced37d8 (__TEXT,__text) external _cmark_parser_new_with_mem
000000020ced3844 (__TEXT,__text) non-external _cmark_parser_reset
000000020ced5720 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
000000020cec6c28 (__TEXT,__text) external _cmark_plugin_free
000000020cec6bf8 (__TEXT,__text) external _cmark_plugin_new
000000020cec6bbc (__TEXT,__text) external _cmark_plugin_register_syntax_extension
000000020cec6c84 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
000000020ced34e4 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
000000020cedf134 (__TEXT,__text) non-external _cmark_reference_create.cold.1
000000020ced35a8 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
000000020cedf160 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
000000020ced3658 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
000000020ced5d60 (__TEXT,__text) external _cmark_register_node_flag
000000020cedf318 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
000000020cedf348 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
000000021ba857c0 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
000000020cec5a20 (__TEXT,__text) external _cmark_register_plugin
000000020cec5af8 (__TEXT,__text) external _cmark_release_plugins
000000020cec5d30 (__TEXT,__text) non-external (was a private external) _cmark_render
000000020cec5cb0 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
000000020cec5cf4 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
000000020cec1910 (__TEXT,__text) external _cmark_render_commonmark
000000020cec194c (__TEXT,__text) external _cmark_render_commonmark_with_mem
000000020cec2d6c (__TEXT,__text) external _cmark_render_html
000000020cec2d74 (__TEXT,__text) external _cmark_render_html_with_mem
000000020cedef1c (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
000000020cec76c4 (__TEXT,__text) external _cmark_render_latex
000000020cec76f8 (__TEXT,__text) external _cmark_render_latex_with_mem
000000020cec43ac (__TEXT,__text) external _cmark_render_man
000000020cec43e0 (__TEXT,__text) external _cmark_render_man_with_mem
000000020cedbefc (__TEXT,__text) external _cmark_render_plaintext
000000020cedbf38 (__TEXT,__text) external _cmark_render_plaintext_with_mem
000000020cedb400 (__TEXT,__text) external _cmark_render_xml
000000020cedb408 (__TEXT,__text) external _cmark_render_xml_with_mem
000000020ced7700 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
000000021ba85960 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
000000020ced7908 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
000000021ba857c2 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
000000021ba85ab4 (__DATA,__common) external _cmark_strbuf__initbuf
000000020ced2e3c (__TEXT,__text) external _cmark_strbuf_clear
000000020ced3124 (__TEXT,__text) external _cmark_strbuf_cmp
000000020ced305c (__TEXT,__text) external _cmark_strbuf_copy_cstr
000000020cedf108 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
000000020ced30f0 (__TEXT,__text) external _cmark_strbuf_detach
000000020ced324c (__TEXT,__text) external _cmark_strbuf_drop
000000020ced2df0 (__TEXT,__text) external _cmark_strbuf_free
000000020ced2d70 (__TEXT,__text) external _cmark_strbuf_grow
000000020cedf0a8 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
000000020cedf0d4 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
000000020ced2d48 (__TEXT,__text) external _cmark_strbuf_init
000000020ced2de8 (__TEXT,__text) external _cmark_strbuf_len
000000020ced3394 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
000000020ced2fa0 (__TEXT,__text) external _cmark_strbuf_put
000000020ced2f50 (__TEXT,__text) external _cmark_strbuf_putc
000000020ced3014 (__TEXT,__text) external _cmark_strbuf_puts
000000020ced32b0 (__TEXT,__text) external _cmark_strbuf_rtrim
000000020ced2e58 (__TEXT,__text) external _cmark_strbuf_set
000000020ced2efc (__TEXT,__text) external _cmark_strbuf_sets
000000020ced3188 (__TEXT,__text) external _cmark_strbuf_strchr
000000020ced31e0 (__TEXT,__text) external _cmark_strbuf_strrchr
000000020ced30c4 (__TEXT,__text) external _cmark_strbuf_swap
000000020ced330c (__TEXT,__text) external _cmark_strbuf_trim
000000020ced3228 (__TEXT,__text) external _cmark_strbuf_truncate
000000020ced3440 (__TEXT,__text) external _cmark_strbuf_unescape
000000020cec4b64 (__TEXT,__text) external _cmark_syntax_extension_add_node
000000020cedef74 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
000000020cec4a8c (__TEXT,__text) external _cmark_syntax_extension_free
000000020cec4c48 (__TEXT,__text) external _cmark_syntax_extension_get_private
000000020cec4af8 (__TEXT,__text) external _cmark_syntax_extension_new
000000020cec4bec (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
000000020cec4c60 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
000000020cec4bfc (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
000000020cec4bf4 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
000000020cec4bac (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
000000020cec4be4 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
000000020cec4c2c (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
000000020cec4c24 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
000000020cec4bd4 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
000000020cec4c0c (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
000000020cec4c1c (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
000000020cec4bc4 (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
