00000001d6536248 (__DATA,__data) non-external _C
0000000180265644 (__TEXT,__text) external ___assert_rtn
00000001d9289750 (__DATA_DIRTY,__bss) non-external ___atexit
000000018020ed5c (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001d9289758 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
0000000180215798 (__TEXT,__text) external ___b2d_D2A
0000000180235374 (__TEXT,__text) external ___big_delete
00000001802350e0 (__TEXT,__text) external ___big_insert
0000000180235a34 (__TEXT,__text) external ___big_keydata
00000001802356c0 (__TEXT,__text) external ___big_return
0000000180235bb4 (__TEXT,__text) external ___big_split
0000000180268420 (__TEXT,__const) external ___bigtens_D2A
000000018022ff9c (__TEXT,__text) external ___bt_close
0000000180233c30 (__TEXT,__text) external ___bt_cmp
0000000180233cf4 (__TEXT,__text) external ___bt_defcmp
0000000180233d38 (__TEXT,__text) external ___bt_defpfx
0000000180230444 (__TEXT,__text) external ___bt_delete
0000000180230a3c (__TEXT,__text) external ___bt_dleaf
000000018023188c (__TEXT,__text) external ___bt_fd
0000000180232800 (__TEXT,__text) non-external ___bt_first
0000000180231b98 (__TEXT,__text) external ___bt_free
00000001802310d4 (__TEXT,__text) external ___bt_get
0000000180231bc0 (__TEXT,__text) external ___bt_new
00000001802311c8 (__TEXT,__text) external ___bt_open
0000000180230e1c (__TEXT,__text) non-external ___bt_pdelete
0000000180230138 (__TEXT,__text) external ___bt_pgin
00000001802302d0 (__TEXT,__text) external ___bt_pgout
0000000180231c3c (__TEXT,__text) external ___bt_put
0000000180231044 (__TEXT,__text) non-external ___bt_relink
0000000180233a9c (__TEXT,__text) external ___bt_ret
000000018023215c (__TEXT,__text) external ___bt_search
00000001802323a4 (__TEXT,__text) external ___bt_seq
00000001802327a4 (__TEXT,__text) external ___bt_setcur
0000000180232a20 (__TEXT,__text) external ___bt_split
000000018023005c (__TEXT,__text) external ___bt_sync
0000000180236194 (__TEXT,__text) external ___buf_free
0000000180236164 (__TEXT,__text) non-external (was a private external) ___buf_init
00000001d9287238 (__DATA_DIRTY,__data) non-external ___c_locale
00000001802619e8 (__TEXT,__text) non-external ___calc_left_pad
0000000180234bd8 (__TEXT,__text) external ___call_hash
00000001d65366f0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180264b98 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180264bb4 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
000000018021cd9c (__TEXT,__text) non-external (was a private external) ___chk_init
00000001801f209c (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001d92897d8 (__DATA_DIRTY,__common) external ___cleanup
00000001801fe448 (__TEXT,__text) external ___cmp_D2A
0000000180242ecc (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
000000018024308c (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180243204 (__TEXT,__text) external ___collate_equiv_match
000000018020a180 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180242668 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001d6536358 (__DATA,__data) external ___collate_load_error
0000000180210f04 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001d6537cd0 (__DATA,__bss) non-external ___collate_load_tables.cache
00000001802429e0 (__TEXT,__text) external ___collate_lookup
0000000180242724 (__TEXT,__text) external ___collate_lookup_l
0000000180242bb0 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180242abc (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
000000018024351c (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001d6537cd8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001d6537ce0 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180242424 (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180242614 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
0000000180242c90 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
000000018020ed4c (__TEXT,__text) non-external (was a private external) ___confstr_init
0000000180202238 (__TEXT,__text) external ___copybits_D2A
0000000180224ec4 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
000000018022490c (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001d65373b0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001d6538208 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
000000018025b324 (__TEXT,__text) non-external ___cvt
00000001d65381c8 (__DATA,__bss) non-external ___cvt.s
00000001801f2864 (__TEXT,__text) external ___cxa_atexit
0000000180217bb8 (__TEXT,__text) external ___cxa_finalize
0000000180217c00 (__TEXT,__text) external ___cxa_finalize_ranges
0000000180257e20 (__TEXT,__text) external ___cxa_thread_atexit
00000001801fcf94 (__TEXT,__text) external ___d2b_D2A
00000001d9289790 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
0000000180233e68 (__TEXT,__text) non-external ___dberr
0000000180233e48 (__TEXT,__text) external ___dbpanic
000000018023aeb0 (__TEXT,__text) external ___decrement_D2A
00000001d92a1490 (__AUTH,__data) external ___default_hash
000000018025fc68 (__TEXT,__text) external ___default_utx
00000001d65366a0 (__DATA,__data) non-external ___default_utx.once
000000018025fca0 (__TEXT,__text) non-external ___default_utx_init
00000001802363a4 (__TEXT,__text) external ___delpair
0000000180210e5c (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001801fe2e4 (__TEXT,__text) external ___diff_D2A
00000001d9287ec0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00000001801fc13c (__TEXT,__text) external ___dtoa
000000018025fe2c (__TEXT,__text) non-external (was a private external) ___endutxent
00000001d92897e8 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
0000000180257e84 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001d6538160 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
000000018021d39c (__TEXT,__text) non-external (was a private external) ___errstr
00000001802039cc (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180234a70 (__TEXT,__text) external ___expand_table
00000001d6537f68 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001801ff3a8 (__TEXT,__text) external ___fflush
000000018024a17c (__TEXT,__text) external ___fgetwc
000000018024ba0c (__TEXT,__text) non-external (was a private external) ___find_arguments
00000001802354f4 (__TEXT,__text) external ___find_bigpair
0000000180235624 (__TEXT,__text) external ___find_last_page
000000018024cc38 (__TEXT,__text) non-external (was a private external) ___find_warguments
00000001801ed91c (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001802685c0 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
0000000180212a18 (__TEXT,__text) external ___fix_locale_grouping_str
0000000180243a7c (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
000000018024a85c (__TEXT,__text) non-external (was a private external) ___fputwc
00000001801f966c (__TEXT,__text) external ___fread
00000001802378b0 (__TEXT,__text) external ___free_ovflpage
00000001801fd33c (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001801feb64 (__TEXT,__text) non-external ___fts_open
0000000180239b54 (__TEXT,__text) external ___gdtoa
00000001d6538218 (__DATA,__common) external ___gdtoa_locks
0000000180235d58 (__TEXT,__text) external ___get_buf
00000001802440dc (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00000001801f14bc (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00000001801f14dc (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
000000018020f5ac (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180219f28 (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180237324 (__TEXT,__text) external ___get_page
00000001802185a4 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001d9289728 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
0000000180222158 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___getlogin (from libsystem_kernel)
00000001802440fc (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
000000018025ff3c (__TEXT,__text) non-external (was a private external) ___getutxent
0000000180260374 (__TEXT,__text) non-external ___getutxid
000000018021be04 (__TEXT,__text) non-external (was a private external) ___gl_compare
000000018021b8ec (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
000000018021bbf0 (__TEXT,__text) non-external (was a private external) ___gl_globextend
000000018021b098 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
000000018021b9e4 (__TEXT,__text) non-external (was a private external) ___gl_match
000000018021ab4c (__TEXT,__text) non-external ___glob
00000001d9286c68 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
000000018020ee50 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180233e70 (__TEXT,__text) external ___hash_open
0000000180221d1c (__TEXT,__text) external ___hdtoa
00000001801faa58 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180268308 (__TEXT,__const) external ___hexdig_D2A
000000018023ace8 (__TEXT,__text) external ___hexdig_init_D2A
000000018023acec (__TEXT,__text) external ___hexnan_D2A
000000018020038c (__TEXT,__text) external ___hi0bits_D2A
0000000180239b38 (__TEXT,__text) external ___hldtoa
00000001801fdf58 (__TEXT,__text) external ___i2b_D2A
00000001802377f0 (__TEXT,__text) external ___ibitmap
0000000180248f34 (__TEXT,__text) non-external ___inaddr_to_index
0000000180265ec0 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
000000018020316c (__TEXT,__text) external ___increment_D2A
000000018025a668 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180244988 (__TEXT,__text) external ___isctype
0000000180244948 (__TEXT,__text) external ___istype
0000000180244a5c (__TEXT,__text) external ___istype_l
00000001d9287840 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00000001802440cc (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
000000018025b7a4 (__TEXT,__text) external ___ldtoa
000000018022ec7c (__TEXT,__text) external ___libc_init
00000001801fd1b4 (__TEXT,__text) external ___lo0bits_D2A
0000000180203a14 (__TEXT,__text) non-external ___loadevp
00000001d9287230 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
0000000180236374 (__TEXT,__text) external ___log2
00000001d6538238 (__DATA,__common) non-external (was a private external) ___logname
00000001d6536298 (__DATA,__data) non-external (was a private external) ___logname_mutex
00000001802691a8 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001801fe1d8 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
00000001802041e8 (__TEXT,__text) external ___maskrune
00000001802449f4 (__TEXT,__text) external ___maskrune_l
000000018023ae6c (__TEXT,__text) external ___match_D2A
00000001d65363c4 (__DATA,__data) external ___mb_cur_max
00000001d65363c8 (__DATA,__data) external ___mb_sb_limit
0000000180251bc8 (__TEXT,__text) non-external ___mbsconv
0000000180244284 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180264bd0 (__TEXT,__text) external ___memccpy_chk
00000001801f22b4 (__TEXT,__text) external ___memcpy_chk
00000001801f2cbc (__TEXT,__text) external ___memmove_chk
00000001801fb7a4 (__TEXT,__text) external ___memset_chk
0000000180212fb8 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001d6537ce8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
000000018021231c (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001d6537cf8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001801fe0a0 (__TEXT,__text) external ___mult_D2A
00000001801fdea0 (__TEXT,__text) external ___multadd_D2A
0000000180249f0c (__TEXT,__text) non-external ___nls_free_resources
0000000180268c0d (__TEXT,__const) non-external ___nogrouping
0000000180200334 (__TEXT,__text) external ___nrv_alloc_D2A
000000018022b9a4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180212af4 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001d6537d08 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00000001802115a0 (__TEXT,__text) non-external (was a private external) ___open_path_locale
000000018023e8e0 (__TEXT,__text) external ___opendir2
00000001801f2ce4 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
0000000180231acc (__TEXT,__text) external ___ovfl_delete
00000001802318e4 (__TEXT,__text) external ___ovfl_get
00000001802319cc (__TEXT,__text) external ___ovfl_put
000000018020020c (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001d9289738 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001d9289730 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001d9287cc0 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00000001802127cc (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001d6538240 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001d65362d8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001801fdf88 (__TEXT,__text) external ___pow5mult_D2A
0000000180268410 (__TEXT,__const) non-external ___pow5mult_D2A.p05
000000018025ee54 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180266790 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
000000018025dc70 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00000001802665b4 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
000000018025ddb0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00000001802665e0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
000000018025e818 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180266638 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
000000018021f304 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180266664 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
000000018025f51c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180266814 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
000000018025f504 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
000000018025eaa0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
000000018026670c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
000000018025eb6c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180266738 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018021f2c4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180266764 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
000000018025eff8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00000001802667bc (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
000000018025f304 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00000001802667e8 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
000000018021ead0 (__TEXT,__text) non-external (was a private external) ___printf_comp
000000018021f398 (__TEXT,__text) non-external (was a private external) ___printf_exec
00000001802201e0 (__TEXT,__text) non-external (was a private external) ___printf_flush
000000018024e68c (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
000000018021fa60 (__TEXT,__text) non-external (was a private external) ___printf_out
000000018025f460 (__TEXT,__text) non-external (was a private external) ___printf_pad
000000018021f760 (__TEXT,__text) non-external (was a private external) ___printf_puts
000000018025ee9c (__TEXT,__text) non-external (was a private external) ___printf_render_chr
000000018025dc98 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
000000018025de00 (__TEXT,__text) non-external (was a private external) ___printf_render_float
000000018026660c (__TEXT,__text) non-external ___printf_render_float.cold.1
000000018025e848 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
000000018021fb14 (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180266690 (__TEXT,__text) non-external ___printf_render_int.cold.1
00000001802666e0 (__TEXT,__text) non-external ___printf_render_int.cold.2
000000018025f544 (__TEXT,__text) non-external (was a private external) ___printf_render_n
000000018025f50c (__TEXT,__text) non-external (was a private external) ___printf_render_pct
000000018025ead8 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
000000018025eb94 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
000000018021f7cc (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018025f020 (__TEXT,__text) non-external (was a private external) ___printf_render_time
000000018025f32c (__TEXT,__text) non-external (was a private external) ___printf_render_vis
000000018021802c (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001d9287ee0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00000001802374f4 (__TEXT,__text) external ___put_page
0000000180268cf0 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180260640 (__TEXT,__text) non-external (was a private external) ___pututxline
0000000180200404 (__TEXT,__text) external ___quorem_D2A
00000001802156f8 (__TEXT,__text) external ___ratio_D2A
00000001802382b0 (__TEXT,__text) external ___rec_close
00000001802385a0 (__TEXT,__text) external ___rec_delete
00000001802386ec (__TEXT,__text) external ___rec_dleaf
00000001802390c8 (__TEXT,__text) external ___rec_fd
0000000180238b5c (__TEXT,__text) external ___rec_fmap
000000018023891c (__TEXT,__text) external ___rec_fpipe
0000000180238814 (__TEXT,__text) external ___rec_get
00000001802393ec (__TEXT,__text) external ___rec_iput
0000000180238d4c (__TEXT,__text) external ___rec_open
0000000180239120 (__TEXT,__text) external ___rec_put
00000001802399f0 (__TEXT,__text) external ___rec_ret
0000000180239628 (__TEXT,__text) external ___rec_search
00000001802397fc (__TEXT,__text) external ___rec_seq
0000000180238368 (__TEXT,__text) external ___rec_sync
0000000180238c70 (__TEXT,__text) external ___rec_vmap
0000000180238a34 (__TEXT,__text) external ___rec_vpipe
000000018023626c (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180203098 (__TEXT,__text) external ___rshift_D2A
0000000180268164 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
0000000180201f74 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00000001801fd268 (__TEXT,__text) external ___rv_alloc_D2A
00000001801fddb4 (__TEXT,__text) external ___s2b_D2A
00000001d9287848 (__DATA_DIRTY,__data) external ___sF
00000001d9287a10 (__DATA_DIRTY,__data) non-external ___sFX
000000018020e984 (__TEXT,__text) external ___sclose
00000001d9287f30 (__DATA_DIRTY,__bss) non-external ___scounted
00000001d9289778 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
000000018023aee4 (__TEXT,__text) external ___set_ones_D2A
00000001801f1b44 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
0000000180244108 (__TEXT,__text) external ___setonlyClocaleconv
0000000180211818 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001d6537ee8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00000001d6537ef0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180261aa4 (__TEXT,__text) non-external ___setup_vars
000000018025fd08 (__TEXT,__text) non-external (was a private external) ___setutxent
