00000001cb9f3880 (__TEXT,__text) non-external +[Cube initialize]
00000001cba008d4 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00000001cba00770 (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00000001cba009a0 (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00000001cba00888 (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00000001cba00594 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00000001cb9fed88 (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00000001cb933fdc (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00000001cb932b60 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00000001cb934d28 (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00000001cb936a48 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00000001cb9371b0 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00000001cb9371b8 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00000001cb9381b4 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00000001cb9381bc (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001cb9374dc (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001cb938b54 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001cb938b8c (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001cb939038 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001cb93a5f8 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001cb93a8dc (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001cb93a860 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001cb93b334 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001cb934934 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001cb93c5bc (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001cb933878 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001cb9338c4 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001cb93e448 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001cb9435a8 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001cb944b2c (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001cb936714 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001cb935ba4 (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001cb93638c (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001cb936104 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001cb949f68 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001cb949cec (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001cb949ac4 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001cb949970 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001cb9498c8 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001cb949a28 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001cb94984c (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001cb9496b8 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001cb949eb8 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001cb94aa38 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001cb94d1c4 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001cb9518dc (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001cb95215c (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001cb956e28 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001cb935018 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001cb9358d0 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001cb935378 (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001cb9355fc (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001cb9601b0 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001cb9609fc (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001cb95ef0c (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001cb95efa4 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001cb95ee04 (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001cb95ffec (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001cb95ef80 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001cb95eee8 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001cb95ecb8 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001cb95ee74 (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001cb95f16c (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001cb95f38c (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001cb95f46c (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001cb95fae0 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001cb95f240 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001cb95ed5c (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001cb9343c4 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001cb9c69c8 (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001cb9c672c (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001cb9c7714 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001cb9c7a64 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001cb9c64a4 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001cb958384 (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001cb95855c (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001cb958cc4 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001cb958d9c (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001cb958db4 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001cb958b94 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001cb958f10 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001cb9591e4 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001cb959174 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001cb9bae64 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001cb9bae00 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001cb9bad8c (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001cb959f5c (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001cb959ee0 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001cb9ab718 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001cb9ab69c (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001cba157bc (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001cba15724 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001cba176ac (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001cba17614 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001cb7f6eb8 (__TEXT,__text) non-external +[MPAction action]
00000001cb7f6eb0 (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001cb7f96a8 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001cb7f96d8 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001cb7f81f4 (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001cb7f81ec (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001cb7fa380 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001cb7fcc2c (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001cb7fd0f0 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001cb7fd138 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001cb7fd0e8 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001cb7fd558 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001cb7fd5b0 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001cb7fd550 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001cb7fe99c (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001cb7fe944 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001cb7fe93c (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001cb7fe488 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001cb7fe4d8 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001cb7fe480 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001cb7ff720 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001cb7ff6ac (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001cb7ff7fc (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001cb7ffb90 (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001cb7ffb88 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001cb7ffdf0 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001cb7ffde8 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001cb800638 (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001cb800630 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001cb7f7cd4 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001cb7f7ccc (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001cb802e38 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001cb802e2c (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001cb7e67ac (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001cb803830 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001cb803b00 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001cb8039e8 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001cb803cb8 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001cb803c88 (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001cb803cb0 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001cb8056b0 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001cb805644 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001cb82c574 (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001cb82ea14 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001cb82cfc0 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001cb82f1bc (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001cb82bdfc (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001cb82bdb4 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001cb82be44 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001cb82c7d8 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001cb82eea8 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001cb82ef1c (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001cb82c788 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001cb82edc0 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001cb82e7d4 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001cb82e4c0 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001cb82ca84 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001cb82cbcc (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001cb82d12c (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001cb82e350 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001cb82c608 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001cb82bf14 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001cb82be88 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001cb82ec84 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001cb82f3d0 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001cb82c950 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001cb82c2e4 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001cb82e2ac (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001cb82d000 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001cb82cb28 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001cb82dc0c (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001cb82dd20 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001cb82dcb4 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001cb82e984 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001cb82ec98 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001cb82cf00 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001cb82f1a8 (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001cb82d820 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001cb82baf4 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001cb82d21c (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001cb82d384 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001cb82d688 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001cb82f124 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001cb82f2fc (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001cb82c1dc (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001cb82c260 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001cb82c168 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001cb82c368 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001cb82bf7c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001cb82c3f8 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001cb82c064 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001cb82c0f4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001cb82d098 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001cb82da1c (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001cb82c480 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001cb82dd90 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001cb82dedc (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001cb82bd70 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001cb82c9fc (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001cb82c6f0 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001cb82ead4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001cb82c64c (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001cb82dc48 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001cb82f0a0 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001cb82c8ac (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001cb82c028 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001cb82d640 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001cb82e094 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001cb82e140 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001cb82d5fc (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001cb82dfec (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001cb82e270 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001cb82f3ec (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001cb82e5a0 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001cb82df84 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001cb82d4b0 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001cb82d2c8 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001cb82e22c (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001cb82ec08 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001cb82e6b8 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001cb82e608 (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001cb82ee34 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001cb82ea58 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001cb82d894 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001cb82cf44 (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001cb82eb44 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001cb82f2cc (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001cb82eb8c (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001cb82e408 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001cb82d174 (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001cb82c790 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001cb82e88c (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001cb82ed20 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001cb82d558 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001cb82ef90 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001cb82d8fc (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001cb82db64 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001cb82dab8 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001cb82d96c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001cb82e9cc (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001cb82bd38 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001cb82ec70 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001cb82d724 (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001cb82cc74 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001cb82d230 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
