00007ffd04f22ca2 (__TEXT,__text) non-external _Done_iODBC
00007ffd04f2130c (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffd04f22c22 (__TEXT,__text) external _SQLFreeEnv
00007ffd04f22bb1 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffd04f2d4dd (__TEXT,__text) external _SQLFreeHandle
00007ffd04f261da (__TEXT,__text) external _SQLFreeStmt
00007ffd04f25fa9 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffd04f3d35b (__TEXT,__text) non-external _SQLGetConfigMode
00007ffd04f3011d (__TEXT,__text) external _SQLGetConnectAttr
00007ffd04f30626 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffd04f30777 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffd04f3026e (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffd04f2225c (__TEXT,__text) external _SQLGetConnectOption
00007ffd04f22382 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffd04f224a8 (__TEXT,__text) external _SQLGetConnectOptionW
00007ffd04f2b4f6 (__TEXT,__text) external _SQLGetCursorName
00007ffd04f2b657 (__TEXT,__text) external _SQLGetCursorNameA
00007ffd04f2b7b8 (__TEXT,__text) external _SQLGetCursorNameW
00007ffd04f2b2c5 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffd04f20863 (__TEXT,__text) external _SQLGetData
00007ffd04f30b39 (__TEXT,__text) external _SQLGetDescField
00007ffd04f30cb9 (__TEXT,__text) external _SQLGetDescFieldA
00007ffd04f30e39 (__TEXT,__text) external _SQLGetDescFieldW
00007ffd04f308c8 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffd04f3174f (__TEXT,__text) external _SQLGetDescRec
00007ffd04f31901 (__TEXT,__text) external _SQLGetDescRecA
00007ffd04f31ab3 (__TEXT,__text) external _SQLGetDescRecW
00007ffd04f3154c (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffd04f2550c (__TEXT,__text) external _SQLGetDiagField
00007ffd04f255f4 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffd04f256dc (__TEXT,__text) external _SQLGetDiagFieldW
00007ffd04f243d9 (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffd04f2410c (__TEXT,__text) external _SQLGetDiagRec
00007ffd04f241fb (__TEXT,__text) external _SQLGetDiagRecA
00007ffd04f242ea (__TEXT,__text) external _SQLGetDiagRecW
00007ffd04f2390d (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffd04f2dbef (__TEXT,__text) external _SQLGetEnvAttr
00007ffd04f29039 (__TEXT,__text) external _SQLGetFunctions
00007ffd04f28c34 (__TEXT,__text) external _SQLGetInfo
00007ffd04f28d8b (__TEXT,__text) external _SQLGetInfoA
00007ffd04f28ee2 (__TEXT,__text) external _SQLGetInfoW
00007ffd04f2851a (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffd04f40192 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffd04f401cb (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffd04f3fc0a (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffd04f3fe76 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffd04f2e54c (__TEXT,__text) external _SQLGetStmtAttr
00007ffd04f2e6c2 (__TEXT,__text) external _SQLGetStmtAttrA
00007ffd04f2e838 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffd04f2ddad (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffd04f269fc (__TEXT,__text) external _SQLGetStmtOption
00007ffd04f26b39 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffd04f267fd (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffd04f14428 (__TEXT,__text) external _SQLGetTypeInfo
00007ffd04f14552 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffd04f1467c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffd04f14290 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffd04f20c14 (__TEXT,__text) external _SQLMoreResults
00007ffd04f1e704 (__TEXT,__text) external _SQLNativeSql
00007ffd04f1e880 (__TEXT,__text) external _SQLNativeSqlA
00007ffd04f1e9fc (__TEXT,__text) external _SQLNativeSqlW
00007ffd04f1e46f (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffd04f1fda8 (__TEXT,__text) external _SQLNumParams
00007ffd04f2bc05 (__TEXT,__text) external _SQLNumResultCols
00007ffd04f1fb19 (__TEXT,__text) external _SQLParamData
00007ffd04f2a671 (__TEXT,__text) external _SQLParamOptions
00007ffd04f298e8 (__TEXT,__text) external _SQLPrepare
00007ffd04f29a24 (__TEXT,__text) external _SQLPrepareA
00007ffd04f29b60 (__TEXT,__text) external _SQLPrepareW
00007ffd04f296f0 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffd04f17f07 (__TEXT,__text) external _SQLPrimaryKeys
00007ffd04f180d7 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffd04f182a7 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffd04f17ca9 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffd04f18733 (__TEXT,__text) external _SQLProcedureColumns
00007ffd04f1892a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffd04f18b21 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffd04f18477 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffd04f18f76 (__TEXT,__text) external _SQLProcedures
00007ffd04f19146 (__TEXT,__text) external _SQLProceduresA
00007ffd04f19316 (__TEXT,__text) external _SQLProceduresW
00007ffd04f18d18 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffd04f1f88c (__TEXT,__text) external _SQLPutData
00007ffd04f3cad2 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffd04f3cc3a (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffd04f2b919 (__TEXT,__text) external _SQLRowCount
00007ffd04f40204 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffd04f2fb4b (__TEXT,__text) external _SQLSetConnectAttr
00007ffd04f2fe9d (__TEXT,__text) external _SQLSetConnectAttrA
00007ffd04f2ffdd (__TEXT,__text) external _SQLSetConnectAttrW
00007ffd04f2fc8b (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffd04f21adc (__TEXT,__text) external _SQLSetConnectOption
00007ffd04f21c02 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffd04f21d28 (__TEXT,__text) external _SQLSetConnectOptionW
00007ffd04f29e4b (__TEXT,__text) external _SQLSetCursorName
00007ffd04f29f8d (__TEXT,__text) external _SQLSetCursorNameA
00007ffd04f2a0cf (__TEXT,__text) external _SQLSetCursorNameW
00007ffd04f29c9c (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffd04f3114d (__TEXT,__text) external _SQLSetDescField
00007ffd04f312a2 (__TEXT,__text) external _SQLSetDescFieldA
00007ffd04f313f7 (__TEXT,__text) external _SQLSetDescFieldW
00007ffd04f30fb9 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffd04f31c65 (__TEXT,__text) external _SQLSetDescRec
00007ffd04f2d9ff (__TEXT,__text) external _SQLSetEnvAttr
00007ffd04f2db1c (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffd04f40730 (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffd04f40741 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffd04f2aeb8 (__TEXT,__text) external _SQLSetParam
00007ffd04f20ff6 (__TEXT,__text) external _SQLSetPos
00007ffd04f2a97f (__TEXT,__text) external _SQLSetScrollOptions
00007ffd04f2f71c (__TEXT,__text) external _SQLSetStmtAttr
00007ffd04f2f881 (__TEXT,__text) external _SQLSetStmtAttrA
00007ffd04f2f9e6 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffd04f2e9ae (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffd04f26312 (__TEXT,__text) external _SQLSetStmtOption
00007ffd04f266c1 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffd04f2644e (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffd04f14a5a (__TEXT,__text) external _SQLSpecialColumns
00007ffd04f14c47 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffd04f14e34 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffd04f147a6 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffd04f152b6 (__TEXT,__text) external _SQLStatistics
00007ffd04f154b9 (__TEXT,__text) external _SQLStatisticsA
00007ffd04f156bc (__TEXT,__text) external _SQLStatisticsW
00007ffd04f15021 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffd04f19744 (__TEXT,__text) external _SQLTablePrivileges
00007ffd04f19914 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffd04f19ae4 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffd04f194e6 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffd04f15b7b (__TEXT,__text) external _SQLTables
00007ffd04f15d72 (__TEXT,__text) external _SQLTablesA
00007ffd04f15f69 (__TEXT,__text) external _SQLTablesW
00007ffd04f158bf (__TEXT,__text) non-external _SQLTables_Internal
00007ffd04f228c3 (__TEXT,__text) external _SQLTransact
00007ffd04f225ce (__TEXT,__text) non-external _SQLTransact_Internal
00007ffd04f3d446 (__TEXT,__text) non-external _SQLValidDSN
00007ffd04f3d4a5 (__TEXT,__text) non-external _SQLValidDSNW
00007ffd04f3c87d (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffd04f3c928 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffd04f40365 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffd04f40586 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffd04f27732 (__TEXT,__text) non-external _SectSorter
00007ffd04f3d3a8 (__TEXT,__text) non-external _ValidDSN
00007ffd04f3d3fa (__TEXT,__text) non-external _ValidDSNW
00007ffd04f4025b (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffd04f2d8c4 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffd04f1ee00 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffd04f1ee20 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffd04f3e503 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00007ffd04f3f9a1 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffd41a4e630 (__DATA,__common) non-external __iodbc_env_counter
00007ffd04f3ce2c (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffd04f2711a (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffd04f271f2 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffd04f2055d (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffd04f25f56 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffd04f21e4e (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffd04f2bae4 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffd04f261a4 (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffd04f2148b (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffd04f19f1c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffd04f20ea0 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffd04f271a7 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffd04f26e71 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffd41a4e638 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffd04f272be (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffd04f1438d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffd04f143e0 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffd04f3ec1e (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffd04f3def3 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffd04f3e68b (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffd04f3e332 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffd04f3de3d (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffd04f2951a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffd04f3eeea (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffd04f3e5cf (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffd04f29597 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffd04f29410 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffd04f3df24 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffd04f3e5a9 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffd04f1d085 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffd04f3ef1c (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffd04f3e3fc (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffd04f295e3 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffd04f3e789 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffd04f3d075 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffd04f1ce1d (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffd04f26f23 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffd04f27023 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffd04f1cf47 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffd04f1ef50 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffd04f1ef97 (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffd04f1eea6 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffd04f1ee9c (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffd04f1efc8 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffd04f1a18e (__TEXT,__text) non-external __iodbcdm_driverload
00007ffd04f1a955 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffd04f25e6d (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffd04f21a74 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffd04f19d19 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffd04f22ca8 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffd04f1ed0f (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffd04f3d11b (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffd04f1ee4a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffd41a4e5d8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffd04f3f0fa (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffd04f3f03a (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffd04f2bd8d (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffd04f2bd31 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffd04f1eb78 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffd04f19cc0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffd04f4075c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffd04f1cbc0 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffd04f1d279 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffd04f19df3 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffd04f1d1d7 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffd04f22ccb (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffd04f3d0bf (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffd04f1efa1 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffd04f22d33 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffd04f3d2dd (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffd04f3d28d (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffd04f226ad (__TEXT,__text) non-external __iodbcdm_transact
00007ffd40436c40 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffd404378e0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffd40437990 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffd40436d00 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffd40436da0 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffd40437440 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffd40437480 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffd40437150 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffd404374d0 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffd404374f0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffd40437510 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffd40437200 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffd40437540 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffd40437560 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffd40436c10 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffd40436c20 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffd40437120 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffd40437590 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffd404375e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffd40437600 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffd40437610 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffd40437660 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffd40437680 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffd40437700 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffd40437710 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffd40437740 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffd40437760 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffd404377e0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffd40437820 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffd40437830 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffd40437840 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffd40437850 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffd40437870 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffd40437890 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffd404378b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffd404378c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffd40437800 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffd40436d50 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffd40437290 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffd40437240 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffd40437270 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffd40437a20 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffd40437a40 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffd40437b00 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffd404372b0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffd40437140 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffd404372d0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffd40436dd0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffd40436ea0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffd40437b20 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffd40436ec0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffd40436ed0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
