0000000194697554 (__TEXT,__text) non-external +[CalAlarm alarm]
000000019469f428 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
000000019469f8fc (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
000000019469f55c (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
0000000194697e04 (__TEXT,__text) non-external -[CalCalendarItem notes]
000000019469f65c (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
000000019469f6b0 (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
000000019469f7a8 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
0000000194697748 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00000001946a0214 (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
0000000194696ea0 (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
0000000194696dd0 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00000001946a0228 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
0000000194696ea8 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
000000019469ff04 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
0000000194697dfc (__TEXT,__text) non-external -[CalCalendarItem title]
0000000194697dec (__TEXT,__text) non-external -[CalCalendarItem uid]
00000001946a0220 (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
0000000194697e0c (__TEXT,__text) non-external -[CalCalendarItem url]
000000019469c108 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
000000019469a6ac (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
000000019469a6b4 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
0000000194699178 (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00000001946965f8 (__TEXT,__text) non-external -[CalCalendarStore calendars]
0000000194699174 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
0000000194699930 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
000000019469c0f4 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
0000000194699264 (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
0000000194696bc0 (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
000000019469a848 (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
000000019469961c (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
0000000194698eec (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
0000000194698eac (__TEXT,__text) non-external -[CalCalendarStore init]
000000019469af04 (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
0000000194699ddc (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
000000019469a484 (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
000000019469a964 (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
0000000194699948 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
000000019469a0fc (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
000000019469c0fc (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
0000000194699530 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
000000019469936c (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
000000019469d8e4 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
0000000194698658 (__TEXT,__text) non-external -[CalEvent attendees]
0000000194697a94 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
0000000194697b1c (__TEXT,__text) non-external -[CalEvent description]
000000019469d038 (__TEXT,__text) non-external -[CalEvent ekEvent]
000000019469851c (__TEXT,__text) non-external -[CalEvent endDate]
000000019469cfa0 (__TEXT,__text) non-external -[CalEvent init]
0000000194698574 (__TEXT,__text) non-external -[CalEvent isAllDay]
000000019469d734 (__TEXT,__text) non-external -[CalEvent isDetached]
000000019469d040 (__TEXT,__text) non-external -[CalEvent isEqual:]
00000001946984c4 (__TEXT,__text) non-external -[CalEvent location]
000000019469d774 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
0000000194698418 (__TEXT,__text) non-external -[CalEvent occurrence]
00000001946985b4 (__TEXT,__text) non-external -[CalEvent recurrenceRule]
000000019469d03c (__TEXT,__text) non-external -[CalEvent setEKEvent:]
000000019469d8d0 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
0000000194696e3c (__TEXT,__text) non-external -[CalEvent setEndDate:]
0000000194696f14 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
0000000194696eb0 (__TEXT,__text) non-external -[CalEvent setLocation:]
0000000194697080 (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
0000000194696dd8 (__TEXT,__text) non-external -[CalEvent setStartDate:]
000000019469d574 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
0000000194696f60 (__TEXT,__text) non-external -[CalEvent startDate]
000000019469ee80 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
000000019469ed98 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
000000019469ee5c (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
000000019469ec1c (__TEXT,__text) non-external -[CalNthWeekDay description]
000000019469ee6c (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
000000019469ecd8 (__TEXT,__text) non-external -[CalNthWeekDay hash]
000000019469eb7c (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
000000019469ece0 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
000000019469ee74 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
000000019469ee64 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
0000000194698ab0 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00000001946989e0 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
0000000194696afc (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
0000000194698a3c (__TEXT,__text) non-external -[CalPredicate predicate]
00000001946989cc (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00000001946989bc (__TEXT,__text) non-external -[CalPredicate subpredicate]
000000019469f41c (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
000000019469f1b4 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
000000019469ef6c (__TEXT,__text) non-external -[CalRecurrenceEnd description]
000000019469f408 (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
000000019469f3f8 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
000000019469f078 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
000000019469f358 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
000000019469f208 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
000000019469f2b8 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
000000019469f080 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
000000019469f400 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
000000019469f410 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
000000019469ef30 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
000000019469eb70 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
000000019469710c (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
0000000194697334 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
0000000194697198 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
0000000194698920 (__TEXT,__text) non-external -[CalRecurrenceRule description]
000000019469eb5c (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
000000019469eb54 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
000000019469dfa0 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
0000000194696fb8 (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
000000019469d998 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
000000019469db54 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
000000019469da60 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
000000019469779c (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
0000000194697884 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
000000019469d8f8 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
000000019469dc90 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
000000019469de4c (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
000000019469dd58 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
000000019469dfa8 (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00000001946974dc (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
000000019469733c (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00000001946974e4 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
0000000194697190 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
0000000194697168 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
000000019469eb64 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
000000019469e514 (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00000001946a0a3c (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00000001946a03d4 (__TEXT,__text) non-external -[CalTask completedDate]
00000001946a072c (__TEXT,__text) non-external -[CalTask description]
00000001946a0490 (__TEXT,__text) non-external -[CalTask dueDate]
00000001946a0340 (__TEXT,__text) non-external -[CalTask ekReminder]
00000001946a02a8 (__TEXT,__text) non-external -[CalTask init]
00000001946a0348 (__TEXT,__text) non-external -[CalTask isCompleted]
00000001946a0820 (__TEXT,__text) non-external -[CalTask isEqual:]
00000001946a05d8 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00000001946a054c (__TEXT,__text) non-external -[CalTask priority]
00000001946a042c (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00000001946a04e8 (__TEXT,__text) non-external -[CalTask setDueDate:]
00000001946a0344 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00000001946a0a28 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00000001946a0388 (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00000001946a058c (__TEXT,__text) non-external -[CalTask setPriority:]
00000001946a2058 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001946a206c (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00000001946a2084 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001ee8f43e0 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00000001ee8f43e8 (__DATA_CONST,__const) external _CalAlarmActionEmail
00000001ee8f43f0 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00000001ee8f43f8 (__DATA_CONST,__const) external _CalAlarmActionSound
00000001ee8f42a0 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00000001ee8f42c0 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00000001ee8f42a8 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00000001ee8f42b8 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00000001ee8f42c8 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00000001ee8f4298 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00000001ee8f42b0 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00000001ee8f4368 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00000001ee8f4370 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00000001ee8f4378 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00000001ee8f4398 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00000001ee8f4380 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00000001ee8f4388 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00000001ee8f4390 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00000001ee8f43a0 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00000001ee8f43a8 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00000001ee8f4328 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00000001ee8f4310 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00000001946a20a8 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00000001ee8f4350 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00000001ee8f4330 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00000001ee8f4318 (__DATA_CONST,__const) external _CalEventsChangedNotification
00000001ee8f4340 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001ee8f4358 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001ee8f4470 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00000001ee8f4338 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001ee8f4320 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001ee8f4348 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001ee8f4360 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00000001e89b4f28 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001e89b4e38 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001e89b4ed8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001e89b50b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001e89b4e88 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001e89b4f78 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001e89b5018 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001e89b4de8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
00000001e89b5068 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001e89b4fc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00000001e89b5108 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00000001e722fb70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00000001e722fb74 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00000001e722fb78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00000001e722fb64 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00000001e722fb6c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00000001e722fb8c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00000001e722fb90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00000001e722fb68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00000001e722fb7c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00000001e722fb84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00000001e722fb60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001e722fb88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00000001e722fb80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00000001e722fb94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00000001e89b4f50 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001e89b4e60 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001e89b4f00 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001e89b50e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001e89b4eb0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001e89b4fa0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001e89b5040 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001e89b4e10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001e89b5090 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001e89b4ff0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00000001e89b5130 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
