000000000003c1b8 (__DATA,__data) external _NDR_record
000000000000d2d0 (__TEXT,__text) external ___mac_get_pid
000000000000d2f8 (__TEXT,__text) external ___mac_get_proc
000000000000d320 (__TEXT,__text) external ___mac_getfsstat
000000000000d348 (__TEXT,__text) external ___mac_mount
000000000000d370 (__TEXT,__text) external ___mac_set_fd
000000000000d398 (__TEXT,__text) external ___mac_set_file
000000000000d3c0 (__TEXT,__text) external ___mac_set_link
0000000000008a94 (__TEXT,__text) external ___mac_set_proc
00000000000024bc (__TEXT,__text) external ___mac_syscall
000000000000d3e8 (__TEXT,__text) external ___mach_bridge_remote_time
000000000000d410 (__TEXT,__text) external ___mach_eventlink_signal
000000000000d438 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000000000d460 (__TEXT,__text) external ___mach_eventlink_wait_until
000000000000d488 (__TEXT,__text) external ___map_with_linking_np
000000000000d4b0 (__TEXT,__text) external ___memorystatus_available_memory
000000000000d4d8 (__TEXT,__text) external ___microstackshot
000000000000d500 (__TEXT,__text) external ___mkdir_extended
000000000000d528 (__TEXT,__text) external ___mkfifo_extended
0000000000001854 (__TEXT,__text) external ___mmap
0000000000004660 (__TEXT,__text) external ___mprotect
000000000000d550 (__TEXT,__text) external ___msgctl
000000000000d578 (__TEXT,__text) external ___msgrcv_nocancel
000000000000d5a0 (__TEXT,__text) external ___msgsnd_nocancel
000000000000d5c8 (__TEXT,__text) external ___msgsys
0000000000006b34 (__TEXT,__text) external ___msync
000000000000d5f0 (__TEXT,__text) external ___msync_nocancel
00000000000042e0 (__TEXT,__text) external ___munmap
000000000000d618 (__TEXT,__text) external ___nexus_create
000000000000d640 (__TEXT,__text) external ___nexus_deregister
000000000000d668 (__TEXT,__text) external ___nexus_destroy
000000000000d690 (__TEXT,__text) external ___nexus_get_opt
000000000000d6b8 (__TEXT,__text) external ___nexus_open
000000000000d6e0 (__TEXT,__text) external ___nexus_register
000000000000d708 (__TEXT,__text) external ___nexus_set_opt
0000000000001620 (__TEXT,__text) external ___open
00000000000060dc (__TEXT,__text) external ___open_dprotected_np
000000000000c5cc (__TEXT,__text) external ___open_extended
000000000000178c (__TEXT,__text) external ___open_nocancel
000000000000236c (__TEXT,__text) external ___openat
000000000000d730 (__TEXT,__text) external ___openat_dprotected_np
000000000000621c (__TEXT,__text) external ___openat_nocancel
000000000003c260 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000000001a1a0 (__TEXT,__text) external ___os_nexus_flow_add
000000000001a224 (__TEXT,__text) external ___os_nexus_flow_del
000000000001a378 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000000019fc8 (__TEXT,__text) external ___os_nexus_ifattach
000000000001a0e4 (__TEXT,__text) external ___os_nexus_ifdetach
0000000000004794 (__TEXT,__text) external ___persona
0000000000006b5c (__TEXT,__text) external ___pipe
000000000000d758 (__TEXT,__text) external ___poll_nocancel
0000000000007764 (__TEXT,__text) external ___posix_spawn
000000000000d780 (__TEXT,__text) external ___pread_nocancel
000000000000d7a8 (__TEXT,__text) external ___preadv_nocancel
0000000000001ed0 (__TEXT,__text) external ___proc_info
000000000000d7d0 (__TEXT,__text) external ___proc_info_extended_id
0000000000007f2c (__TEXT,__text) external ___process_policy
0000000000006908 (__TEXT,__text) external ___pselect
000000000000d7f8 (__TEXT,__text) external ___pselect_nocancel
0000000000004130 (__TEXT,__text) external ___psynch_cvbroad
0000000000004704 (__TEXT,__text) external ___psynch_cvclrprepost
00000000000053ec (__TEXT,__text) external ___psynch_cvsignal
0000000000004108 (__TEXT,__text) external ___psynch_cvwait
00000000000037fc (__TEXT,__text) external ___psynch_mutexdrop
0000000000003640 (__TEXT,__text) external ___psynch_mutexwait
000000000000d820 (__TEXT,__text) external ___psynch_rw_downgrade
000000000000d848 (__TEXT,__text) external ___psynch_rw_longrdlock
0000000000005ba4 (__TEXT,__text) external ___psynch_rw_rdlock
0000000000005b7c (__TEXT,__text) external ___psynch_rw_unlock
000000000000d870 (__TEXT,__text) external ___psynch_rw_unlock2
000000000000d898 (__TEXT,__text) external ___psynch_rw_upgrade
0000000000005b54 (__TEXT,__text) external ___psynch_rw_wrlock
000000000000d8c0 (__TEXT,__text) external ___psynch_rw_yieldwrlock
000000000000c2c4 (__TEXT,__text) external ___pthread_canceled
00000000000074ec (__TEXT,__text) external ___pthread_chdir
00000000000074c4 (__TEXT,__text) external ___pthread_fchdir
0000000000008a44 (__TEXT,__text) external ___pthread_kill
000000000000d8e8 (__TEXT,__text) external ___pthread_markcancel
00000000000079a0 (__TEXT,__text) external ___pthread_sigmask
0000000000008e6c (__TEXT,__text) external ___ptrace
000000000000d910 (__TEXT,__text) external ___pwrite_nocancel
000000000000d938 (__TEXT,__text) external ___pwritev_nocancel
00000000000029c8 (__TEXT,__text) external ___read_nocancel
000000000000d960 (__TEXT,__text) external ___readv_nocancel
000000000000d988 (__TEXT,__text) external ___reboot
000000000000d9b0 (__TEXT,__text) external ___record_system_event
0000000000004d74 (__TEXT,__text) external ___recvfrom
0000000000004c58 (__TEXT,__text) external ___recvfrom_nocancel
000000000000515c (__TEXT,__text) external ___recvmsg
000000000000d9d8 (__TEXT,__text) external ___recvmsg_nocancel
00000000000406d0 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000000004424 (__TEXT,__text) external ___rename
000000000000da00 (__TEXT,__text) external ___renameat
000000000000da28 (__TEXT,__text) external ___renameatx_np
0000000000004488 (__TEXT,__text) external ___rmdir
000000000000d208 (__TEXT,__text) external ___sandbox_me
000000000000d348 (__TEXT,__text) external ___sandbox_mm
00000000000024bc (__TEXT,__text) external ___sandbox_ms
0000000000008a94 (__TEXT,__text) external ___sandbox_msp
000000000000b1a0 (__TEXT,__text) external ___select
0000000000004c30 (__TEXT,__text) external ___select_nocancel
0000000000009aa8 (__TEXT,__text) external ___sem_open
000000000000da50 (__TEXT,__text) external ___sem_wait_nocancel
000000000000da78 (__TEXT,__text) external ___semctl
000000000000daa0 (__TEXT,__text) external ___semsys
0000000000003f38 (__TEXT,__text) external ___semwait_signal
00000000000079c8 (__TEXT,__text) external ___semwait_signal_nocancel
0000000000006244 (__TEXT,__text) external ___sendmsg
0000000000004ca8 (__TEXT,__text) external ___sendmsg_nocancel
0000000000004d4c (__TEXT,__text) external ___sendto
0000000000004bd4 (__TEXT,__text) external ___sendto_nocancel
0000000000004090 (__TEXT,__text) external ___setattrlist
000000000000bf94 (__TEXT,__text) external ___setlogin
0000000000008588 (__TEXT,__text) external ___setpriority
000000000000dac8 (__TEXT,__text) external ___setregid
000000000000daf0 (__TEXT,__text) external ___setreuid
0000000000003670 (__TEXT,__text) external ___setrlimit
000000000000db18 (__TEXT,__text) external ___setsgroups
0000000000009840 (__TEXT,__text) external ___settid
000000000000db40 (__TEXT,__text) external ___settid_with_pid
000000000000db68 (__TEXT,__text) external ___settimeofday
000000000000db90 (__TEXT,__text) external ___setwgroups
0000000000009b34 (__TEXT,__text) external ___sfi_ctl
000000000000dbb8 (__TEXT,__text) external ___sfi_pidctl
000000000000dbe0 (__TEXT,__text) external ___shared_region_check_np
000000000000dc08 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000000000231c (__TEXT,__text) external ___shm_open
000000000000dc30 (__TEXT,__text) external ___shmctl
000000000000dc58 (__TEXT,__text) external ___shmsys
0000000000006be0 (__TEXT,__text) external ___sigaction
0000000000004018 (__TEXT,__text) external ___sigaltstack
000000000000ba68 (__TEXT,__text) external ___sigreturn
000000000000dc80 (__TEXT,__text) external ___sigsuspend
00000000000079fc (__TEXT,__text) external ___sigsuspend_nocancel
000000000000bab8 (__TEXT,__text) external ___sigwait
0000000000004c80 (__TEXT,__text) external ___socketpair
000000000000dca8 (__TEXT,__text) external ___stack_snapshot_with_config
000000000000eee4 (__TEXT,__text) external ___stat
000000000000600c (__TEXT,__text) external ___stat64_extended
000000000000dcd0 (__TEXT,__text) external ___stat_extended
000000000000ef0c (__TEXT,__text) external ___statfs
0000000000002e00 (__TEXT,__text) external ___syscall
000000000003c230 (__DATA,__common) external ___syscall_logger
0000000000002224 (__TEXT,__text) external ___sysctl
0000000000002430 (__TEXT,__text) external ___sysctlbyname
000000000000dcf8 (__TEXT,__text) external ___telemetry
000000000000a938 (__TEXT,__text) external ___terminate_with_payload
000000000000280c (__TEXT,__text) external ___thread_selfid
000000000000dd20 (__TEXT,__text) external ___thread_selfusage
0000000000002834 (__TEXT,__text) external ___ulock_wait
000000000000dd48 (__TEXT,__text) external ___ulock_wait2
00000000000028f0 (__TEXT,__text) external ___ulock_wake
000000000000dd70 (__TEXT,__text) external ___umask_extended
00000000000047e4 (__TEXT,__text) external ___unlink
0000000000009e68 (__TEXT,__text) external ___unlinkat
000000000000dd98 (__TEXT,__text) external ___vfork
0000000000007928 (__TEXT,__text) external ___wait4
000000000000c5a4 (__TEXT,__text) external ___wait4_nocancel
000000000000de04 (__TEXT,__text) external ___waitid_nocancel
0000000000008ff8 (__TEXT,__text) external ___work_interval_ctl
0000000000002744 (__TEXT,__text) external ___workq_kernreturn
000000000000276c (__TEXT,__text) external ___workq_open
000000000000472c (__TEXT,__text) external ___write_nocancel
000000000000de2c (__TEXT,__text) external ___writev_nocancel
000000000003c224 (__DATA,__common) external __cpu_capabilities
000000000003c228 (__DATA,__common) external __cpu_has_altivec
0000000000040000 (__DATA_DIRTY,__data) external __current_pid
00000000000406a8 (__DATA_DIRTY,__bss) non-external __dlsym
0000000000000cbc (__TEXT,__text) external __exclaves_ctl_trap
000000000000ffe0 (__TEXT,__text) non-external __execve_with_filter
0000000000007a24 (__TEXT,__text) external __exit
00000000000064a4 (__TEXT,__text) external __get_cpu_capabilities
000000000003c248 (__DATA,__bss) non-external __gethostuuid_callback
0000000000013814 (__TEXT,__text) external __getprivatesystemidentifier
000000000001f74c (__TEXT,__text) external __host_page_size
00000000000064a0 (__TEXT,__text) external __init_cpu_capabilities
00000000000208f8 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000000021c9c (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000000022948 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000000021b80 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000000000227d8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000000000aac (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000000000244bc (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00000000000235a8 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000000000b00 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000000021f0c (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000000000ab8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000000021df0 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000000023718 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000000000b0c (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000000022f3c (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000000023320 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000000000af4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
000000000000a370 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
000000000000ad74 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000000000bb4 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000000005c30 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000000003de8 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000000000242e4 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
000000000000c130 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000000022bec (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000000023834 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000000000bc0 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000000023d14 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000000023204 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000000000ae8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000000022590 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000000000adc (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000000024190 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00000000000230a0 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000000002343c (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000000023f54 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000000022028 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000000000ac4 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000000022474 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000000000ad0 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000000000218a4 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000000022144 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000000021a64 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000000004834 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000000000cb0 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000000003398 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
000000000000c010 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000000022358 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000000000226bc (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000000023a70 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000000022d40 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000000023bc0 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000000023e34 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000000000090b8 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000000000ca4 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000000023954 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000000000bcc (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
000000000002bffc (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000000024624 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000000000a64 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000000002477c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000000000a7c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000000001ef8 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000000000aa0 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000000024898 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000000000a94 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000000025748 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000000000a70 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000000024ad8 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000000000252b4 (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000000025bdc (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000000000306d8 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000000022ad0 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000000005998 (__TEXT,__text) external __kernelrpc_thread_policy
00000000000069d8 (__TEXT,__text) external __kernelrpc_thread_policy_set
000000000002e598 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000000000c38c (__TEXT,__text) external __kernelrpc_vm_map
000000000002fab0 (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000000009920 (__TEXT,__text) external __kernelrpc_vm_read
0000000000002fc8 (__TEXT,__text) external __kernelrpc_vm_remap
000000000002fc04 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000000000f444 (__TEXT,__text) non-external __libkernel_bzero
00000000000406a0 (__DATA_DIRTY,__bss) non-external __libkernel_functions
0000000000038000 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
000000000000f4d8 (__TEXT,__text) non-external __libkernel_memmove
000000000000f450 (__TEXT,__text) non-external __libkernel_memset
000000000000f40c (__TEXT,__text) non-external __libkernel_strchr
00000000000064b8 (__TEXT,__text) non-external __libkernel_strcmp
000000000000f8a8 (__TEXT,__text) non-external __libkernel_strcpy
0000000000040008 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
0000000000010118 (__TEXT,__text) non-external __libkernel_strlcpy
000000000000f1e4 (__TEXT,__text) non-external __libkernel_strlen
0000000000040010 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
0000000000031048 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000000001173c (__TEXT,__text) non-external __mach_continuous_time
0000000000039968 (__DATA_CONST,__const) external __mach_errors
0000000000011c44 (__TEXT,__text) external __mach_fork_child
00000000000121d8 (__TEXT,__text) external __mach_snprintf
0000000000012064 (__TEXT,__text) external __mach_vsnprintf
0000000000040058 (__DATA_DIRTY,__common) external __os_alloc_once_table
000000000003c200 (__DATA,__common) external __os_xbs_chrooted
00000000000070b0 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000000000f8dc (__TEXT,__text) non-external __posix_spawn_with_filter
0000000000013818 (__TEXT,__text) external __register_gethostuuid_callback
000000000000f5f0 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000000000f698 (__TEXT,__text) non-external __system_version_compat_open_shim
00000000000406b4 (__DATA_DIRTY,__bss) non-external __task_reply_port
000000000000f1b4 (__TEXT,__text) external __thread_set_tsd_base
0000000000030dc8 (__TEXT,__text) non-external _abort
0000000000030de8 (__TEXT,__text) non-external _abort.561
0000000000030e08 (__TEXT,__text) non-external _abort.563
0000000000030e28 (__TEXT,__text) non-external _abort.580
0000000000030eec (__TEXT,__text) external _abort_with_payload
0000000000030e64 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000000030e48 (__TEXT,__text) external _abort_with_reason
0000000000008b18 (__TEXT,__text) external _accept
000000000000cdd0 (__TEXT,__text) external _accept$NOCANCEL
00000000000015f8 (__TEXT,__text) external _access
000000000000cdf8 (__TEXT,__text) external _accessx_np
000000000000de54 (__TEXT,__text) external _acct
000000000002cf0c (__TEXT,__text) external _act_get_state
000000000002d154 (__TEXT,__text) external _act_set_state
000000000000de7c (__TEXT,__text) external _adjtime
000000000000dea4 (__TEXT,__text) external _aio_cancel
000000000000decc (__TEXT,__text) external _aio_error
000000000000def4 (__TEXT,__text) external _aio_fsync
000000000000df1c (__TEXT,__text) external _aio_read
000000000000df44 (__TEXT,__text) external _aio_return
000000000000df6c (__TEXT,__text) external _aio_suspend
000000000000ce20 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000000000df94 (__TEXT,__text) external _aio_write
000000000000dfbc (__TEXT,__text) external _audit
000000000000ba90 (__TEXT,__text) external _audit_session_join
000000000000b8f8 (__TEXT,__text) external _audit_session_port
0000000000004a94 (__TEXT,__text) external _audit_session_self
000000000000dfe4 (__TEXT,__text) external _auditctl
0000000000009af8 (__TEXT,__text) external _auditon
0000000000007fe0 (__TEXT,__text) external _bind
000000000004001c (__DATA_DIRTY,__common) external _bootstrap_port
000000000000f1c4 (__TEXT,__text) non-external _bzero
0000000000002394 (__TEXT,__text) external _cerror
0000000000001590 (__TEXT,__text) external _cerror_nocancel
00000000000049e0 (__TEXT,__text) external _change_fdguard_np
00000000000024e4 (__TEXT,__text) external _chdir
00000000000084e0 (__TEXT,__text) external _chflags
00000000000044b0 (__TEXT,__text) external _chmod
0000000000007fb8 (__TEXT,__text) external _chown
000000000000e00c (__TEXT,__text) external _chroot
000000000001c438 (__TEXT,__text) external _clock_alarm
000000000001c20c (__TEXT,__text) external _clock_alarm_reply
000000000001c270 (__TEXT,__text) external _clock_get_attributes
0000000000005e28 (__TEXT,__text) external _clock_get_time
000000000001c0b8 (__TEXT,__text) external _clock_set_attributes
000000000001bfa0 (__TEXT,__text) external _clock_set_time
000000000000c2ec (__TEXT,__text) external _clock_sleep
0000000000000c80 (__TEXT,__text) external _clock_sleep_trap
000000000000a224 (__TEXT,__text) external _clonefile
000000000000569c (__TEXT,__text) external _clonefileat
000000000000173c (__TEXT,__text) external _close
0000000000002344 (__TEXT,__text) external _close$NOCANCEL
0000000000018b64 (__TEXT,__text) external _coalition_create
0000000000018c00 (__TEXT,__text) external _coalition_info_debug_info
0000000000018bcc (__TEXT,__text) external _coalition_info_resource_usage
0000000000018c68 (__TEXT,__text) external _coalition_info_set_efficiency
0000000000018c34 (__TEXT,__text) external _coalition_info_set_name
0000000000018ca0 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000000018ba0 (__TEXT,__text) external _coalition_reap
0000000000018b74 (__TEXT,__text) external _coalition_terminate
0000000000004d24 (__TEXT,__text) external _connect
0000000000004bac (__TEXT,__text) external _connect$NOCANCEL
0000000000004d9c (__TEXT,__text) external _connectx
000000000000263c (__TEXT,__text) external _csops
0000000000001568 (__TEXT,__text) external _csops_audittoken
0000000000001648 (__TEXT,__text) external _csr_check
0000000000008e5c (__TEXT,__text) external _csr_get_active_config
0000000000000d1c (__TEXT,__text) external _debug_control_port_for_pid
0000000000018e88 (__TEXT,__text) external _debug_syscall_reject
0000000000018d7c (__TEXT,__text) external _debug_syscall_reject_config
000000000003c1b0 (__DATA,__data) external _denap_boost_assertion_token
000000000000e034 (__TEXT,__text) external _disconnectx
0000000000006f08 (__TEXT,__text) non-external _do_compat
0000000000004e3c (__TEXT,__text) external _dup
0000000000008bf8 (__TEXT,__text) external _dup2
0000000000038e08 (__DATA_CONST,__const) non-external _err_codes_auth
0000000000038c98 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000000039000 (__DATA_CONST,__const) non-external _err_codes_exception
0000000000038cd8 (__DATA_CONST,__const) non-external _err_codes_execd
0000000000038dd8 (__DATA_CONST,__const) non-external _err_codes_io
