00007ff80ccca9c0 (__TEXT,__const) non-external _SHA256_K
00007ff80ccccc00 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff80ccbb380 (__TEXT,__text) non-external _index_cat_helper
00007ff80ccbdab3 (__TEXT,__text) non-external _index_decode
00007ff80ccbddbc (__TEXT,__text) non-external _index_decoder_end
00007ff80ccbd8ab (__TEXT,__text) non-external _index_decoder_init
00007ff80ccbdde1 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff80ccba2ef (__TEXT,__text) non-external _index_encode
00007ff80ccbabcc (__TEXT,__text) non-external _index_encoder_end
00007ff80ccba1d3 (__TEXT,__text) non-external _index_file_size
00007ff80ccbac34 (__TEXT,__text) non-external _index_stream_end
00007ff80ccb4a27 (__TEXT,__text) non-external _index_tree_append
00007ff80ccbabd6 (__TEXT,__text) non-external _index_tree_node_end
00007ff80ccb59a4 (__TEXT,__text) non-external _is_options_valid
00007ff80ccba759 (__TEXT,__text) non-external _iter_set_info
00007ff80ccb9d59 (__TEXT,__text) non-external _length
00007ff80ccb59e5 (__TEXT,__text) non-external _length_encoder_reset
00007ff80ccb5a93 (__TEXT,__text) non-external _length_update_prices
00007ff80ccc0ad5 (__TEXT,__text) non-external _lz_decode
00007ff80ccc0c3d (__TEXT,__text) non-external _lz_decoder_end
00007ff80ccb6b71 (__TEXT,__text) non-external _lz_encode
00007ff80ccbab44 (__TEXT,__text) non-external _lz_encoder_end
00007ff80ccb5c30 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff80ccc0044 (__TEXT,__text) non-external _lz_encoder_update
00007ff80ccc5379 (__TEXT,__text) non-external _lzma2_decode
00007ff80ccc5668 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff80ccc5251 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff80ccb6d54 (__TEXT,__text) non-external _lzma2_encode
00007ff80ccbaba4 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff80ccb556d (__TEXT,__text) non-external _lzma2_encoder_init
00007ff80ccc51d1 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff80ccc6838 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff80ccc6810 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff80ccb490c (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff80ccbca99 (__TEXT,__text) external _lzma_alone_decoder
00007ff80ccbc6c0 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff80ccbb793 (__TEXT,__text) external _lzma_alone_encoder
00007ff80ccbcaf5 (__TEXT,__text) external _lzma_auto_decoder
00007ff80ccbba2d (__TEXT,__text) external _lzma_block_buffer_bound
00007ff80ccbcdc5 (__TEXT,__text) external _lzma_block_buffer_decode
00007ff80ccbba6d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff80ccbadf2 (__TEXT,__text) external _lzma_block_compressed_size
00007ff80ccbd293 (__TEXT,__text) external _lzma_block_decoder
00007ff80ccbcef9 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff80ccbbf33 (__TEXT,__text) external _lzma_block_encoder
00007ff80ccb4ee5 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff80ccbd2e9 (__TEXT,__text) external _lzma_block_header_decode
00007ff80ccb65c5 (__TEXT,__text) external _lzma_block_header_encode
00007ff80ccb4d47 (__TEXT,__text) external _lzma_block_header_size
00007ff80ccbae51 (__TEXT,__text) external _lzma_block_total_size
00007ff80ccb6705 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff80ccb656a (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff80ccbef1e (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff80ccb503b (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff80ccb501d (__TEXT,__text) external _lzma_check_is_supported
00007ff80ccc6970 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff80ccb9f33 (__TEXT,__text) external _lzma_check_size
00007ff80ccc6980 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff80ccb77e1 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff80ccb6010 (__TEXT,__text) external _lzma_code
00007ff80ccb4b0b (__TEXT,__text) external _lzma_crc32
00007ff80ccc6990 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff80ccbef45 (__TEXT,__text) external _lzma_crc64
00007ff80ccc8990 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff80ccc12ce (__TEXT,__text) non-external _lzma_decode
00007ff80ccccb00 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff80ccc5012 (__TEXT,__text) non-external _lzma_decoder_init
00007ff80ccc4d84 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff80ccc4ff4 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff80ccc568d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff80ccc57d5 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff80ccc5976 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff80ccc5806 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff80ccc5a00 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff80ccc5948 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff80ccbbf89 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff80ccbd4ee (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff80ccb448c (__TEXT,__text) external _lzma_easy_encoder
00007ff80ccbbffa (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff80ccb44d5 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff80ccc0eb4 (__TEXT,__text) non-external _lzma_encode
00007ff80ccc0dd0 (__TEXT,__text) non-external _lzma_encoder_init
00007ff80ccbaa58 (__TEXT,__text) external _lzma_end
00007ff80cccab00 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff80ccbd69a (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff80ccbc126 (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff80ccbd7bc (__TEXT,__text) external _lzma_filter_flags_decode
00007ff80ccb677c (__TEXT,__text) external _lzma_filter_flags_encode
00007ff80ccb4e28 (__TEXT,__text) external _lzma_filter_flags_size
00007ff80ccb5e86 (__TEXT,__text) external _lzma_filters_copy
00007ff80ccbc155 (__TEXT,__text) external _lzma_filters_update
00007ff80ccc6946 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff80ccb5e5e (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff80ccbacfd (__TEXT,__text) external _lzma_get_check
00007ff80ccc6940 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff80ccb9f50 (__TEXT,__text) external _lzma_index_append
00007ff80ccba590 (__TEXT,__text) external _lzma_index_block_count
00007ff80ccbd99b (__TEXT,__text) external _lzma_index_buffer_decode
00007ff80ccbc2e4 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff80ccbb15f (__TEXT,__text) external _lzma_index_cat
00007ff80ccbb08a (__TEXT,__text) external _lzma_index_checks
00007ff80ccbd850 (__TEXT,__text) external _lzma_index_decoder
00007ff80ccbb3e4 (__TEXT,__text) external _lzma_index_dup
00007ff80ccbc28e (__TEXT,__text) external _lzma_index_encoder
00007ff80ccba228 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff80ccb493e (__TEXT,__text) external _lzma_index_end
00007ff80ccbb045 (__TEXT,__text) external _lzma_index_file_size
00007ff80ccbdee2 (__TEXT,__text) external _lzma_index_hash_append
00007ff80ccbe038 (__TEXT,__text) external _lzma_index_hash_decode
00007ff80ccbdeae (__TEXT,__text) external _lzma_index_hash_end
00007ff80ccbde34 (__TEXT,__text) external _lzma_index_hash_init
00007ff80ccbdeb8 (__TEXT,__text) external _lzma_index_hash_size
00007ff80ccb4977 (__TEXT,__text) external _lzma_index_init
00007ff80ccba2cf (__TEXT,__text) external _lzma_index_iter_init
00007ff80ccbb652 (__TEXT,__text) external _lzma_index_iter_locate
00007ff80ccba59a (__TEXT,__text) external _lzma_index_iter_next
00007ff80ccbb63b (__TEXT,__text) external _lzma_index_iter_rewind
00007ff80ccbaf19 (__TEXT,__text) external _lzma_index_memusage
00007ff80ccbaf91 (__TEXT,__text) external _lzma_index_memused
00007ff80ccba97f (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff80ccbaefe (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff80ccba9a9 (__TEXT,__text) external _lzma_index_size
00007ff80ccbaffe (__TEXT,__text) external _lzma_index_stream_count
00007ff80ccbb0a3 (__TEXT,__text) external _lzma_index_stream_flags
00007ff80ccbb0fe (__TEXT,__text) external _lzma_index_stream_padding
00007ff80ccbb011 (__TEXT,__text) external _lzma_index_stream_size
00007ff80ccbb007 (__TEXT,__text) external _lzma_index_total_size
00007ff80ccbb080 (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff80ccc093d (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff80ccc0c8d (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff80ccc0c9a (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00007ff80ccb5389 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff80ccbffdc (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff80ccc5240 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff80ccc52fb (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff80ccb5378 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff80ccc51b7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff80ccc530c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff80ccb68f9 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff80ccc1258 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff80ccc5001 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff80ccc50ce (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff80ccc50bb (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff80ccb7130 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff80ccb568c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff80ccc0dbf (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff80ccc0de5 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff80ccb5798 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff80ccc5070 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff80ccb9ef9 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff80ccc0ed1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff80ccb7c7c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff80ccb450c (__TEXT,__text) external _lzma_lzma_preset
00007ff80ccc5105 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff80ccc0e5f (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff80ccbad5f (__TEXT,__text) external _lzma_memlimit_get
00007ff80ccbada6 (__TEXT,__text) external _lzma_memlimit_set
00007ff80ccbad18 (__TEXT,__text) external _lzma_memusage
00007ff80ccc060d (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff80ccc06a1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff80ccc071d (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff80ccc0872 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff80ccb96e7 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff80ccb783f (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff80ccb965c (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff80ccc00c4 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff80ccc02fc (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff80ccc0387 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff80ccc0561 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff80ccc009f (__TEXT,__text) external _lzma_mf_is_supported
00007ff80ccc0ea4 (__TEXT,__text) external _lzma_mode_is_supported
00007ff80ccb489b (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff80ccb5319 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff80ccbaccd (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff80ccbaef4 (__TEXT,__text) external _lzma_physmem
00007ff80ccbd77e (__TEXT,__text) external _lzma_properties_decode
00007ff80ccb68c7 (__TEXT,__text) external _lzma_properties_encode
00007ff80ccb4e79 (__TEXT,__text) external _lzma_properties_size
00007ff80ccbd527 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff80ccbc033 (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff80ccb507c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff80ccbae6c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff80ccbd706 (__TEXT,__text) external _lzma_raw_decoder
00007ff80ccbd6f2 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff80ccbd76a (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff80ccbc227 (__TEXT,__text) external _lzma_raw_encoder
00007ff80ccb5065 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff80ccbc213 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff80ccccb30 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff80ccbfeec (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00007ff80ccbf025 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00007ff80ccca9a0 (__TEXT,__const) non-external _lzma_sha256_init.s
00007ff80ccbf049 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00007ff80ccc6513 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff80ccc64f0 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff80ccc65da (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff80ccc65b7 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff80ccc5a46 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff80ccc62a0 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff80ccc627d (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff80ccc61a1 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff80ccc617e (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff80ccc5f25 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff80ccc5f10 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff80ccc5ef6 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff80ccc66da (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff80ccc66b7 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff80ccc5fe0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff80ccc5f88 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff80ccbc3cc (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff80ccbe3c4 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff80ccbc3f5 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff80ccbec6c (__TEXT,__text) external _lzma_stream_decoder
00007ff80ccbe538 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff80ccb4635 (__TEXT,__text) external _lzma_stream_encoder
00007ff80ccb4728 (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00007ff80ccbb70e (__TEXT,__text) external _lzma_stream_flags_compare
00007ff80ccbed4d (__TEXT,__text) external _lzma_stream_footer_decode
00007ff80ccba9d3 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff80ccbecc7 (__TEXT,__text) external _lzma_stream_header_decode
00007ff80ccb4aad (__TEXT,__text) external _lzma_stream_header_encode
00007ff80ccb4690 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff80ccbacb4 (__TEXT,__text) external _lzma_version_number
00007ff80ccbacbf (__TEXT,__text) external _lzma_version_string
00007ff80ccbedc3 (__TEXT,__text) external _lzma_vli_decode
00007ff80ccb681d (__TEXT,__text) external _lzma_vli_encode
00007ff80ccb4ec6 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007ff80ccb9b18 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff80ccb7a2c (__TEXT,__text) non-external _move_pos
00007ff80ccc61c4 (__TEXT,__text) non-external _powerpc_code
00007ff80ccbf0b1 (__TEXT,__text) non-external _process
00007ff80ccb7a8d (__TEXT,__text) non-external _rc_encode
00007ff80ccc5ba7 (__TEXT,__text) non-external _simple_code
00007ff80ccc5e31 (__TEXT,__text) non-external _simple_coder_end
00007ff80ccc5e5e (__TEXT,__text) non-external _simple_coder_update
00007ff80ccc66fd (__TEXT,__text) non-external _sparc_code
00007ff80ccbe699 (__TEXT,__text) non-external _stream_decode
00007ff80ccbebf4 (__TEXT,__text) non-external _stream_decoder_end
00007ff80ccbec28 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff80ccbec34 (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff80ccb626f (__TEXT,__text) non-external _stream_encode
00007ff80ccc6960 (__TEXT,__const) non-external _stream_encode.convert
00007ff80ccbaab0 (__TEXT,__text) non-external _stream_encoder_end
00007ff80ccb4c47 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00007ff80ccbac4b (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff80ccb523b (__TEXT,__text) non-external _validate_chain
00007ff80ccc5fec (__TEXT,__text) non-external _x86_code
00007ff80ccccbb0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff80ccc5f97 (__TEXT,__text) non-external _x86_coder_init
