0000000237afb9e0 (__TEXT,__text) non-external +[CBOR cborFalse]
0000000237af8e4c (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
0000000237af9448 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
0000000237af9700 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
0000000237af68d0 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
0000000237af68d8 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
0000000237afe3f0 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
0000000237affd58 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
0000000237afbbc0 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
0000000237afa400 (__TEXT,__text) non-external -[CBOR array]
0000000237afa1d4 (__TEXT,__text) non-external -[CBOR boolValue]
0000000237afbb9c (__TEXT,__text) non-external -[CBOR cachedHash]
0000000237af9b50 (__TEXT,__text) non-external -[CBOR copyWithZone:]
0000000237afa350 (__TEXT,__text) non-external -[CBOR data]
0000000237afa500 (__TEXT,__text) non-external -[CBOR date]
0000000237afaae4 (__TEXT,__text) non-external -[CBOR description]
0000000237afa480 (__TEXT,__text) non-external -[CBOR dictionary]
0000000237afa0c4 (__TEXT,__text) non-external -[CBOR doubleValue]
0000000237afbaec (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
0000000237af9f0c (__TEXT,__text) non-external -[CBOR hash]
0000000237af9e60 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
0000000237af9b94 (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
0000000237afa9d8 (__TEXT,__text) non-external -[CBOR isBoolean]
0000000237afa9ec (__TEXT,__text) non-external -[CBOR isDate]
0000000237afaa84 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
0000000237af9f10 (__TEXT,__text) non-external -[CBOR isEqual:]
0000000237afa9c4 (__TEXT,__text) non-external -[CBOR isFloatNumber]
0000000237afa9a8 (__TEXT,__text) non-external -[CBOR isWholeNumber]
0000000237af9fcc (__TEXT,__text) non-external -[CBOR longLongValue]
0000000237afa138 (__TEXT,__text) non-external -[CBOR numeric]
0000000237afbbac (__TEXT,__text) non-external -[CBOR orderedKeys]
0000000237afbba4 (__TEXT,__text) non-external -[CBOR setCachedHash:]
0000000237afbbb4 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
0000000237afbb6c (__TEXT,__text) non-external -[CBOR setTag:]
0000000237afbb80 (__TEXT,__text) non-external -[CBOR setValue:]
0000000237afbb94 (__TEXT,__text) non-external -[CBOR setValueSize:]
0000000237afa254 (__TEXT,__text) non-external -[CBOR string]
0000000237afbb64 (__TEXT,__text) non-external -[CBOR tag]
0000000237afbb5c (__TEXT,__text) non-external -[CBOR type]
0000000237afa040 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
0000000237afbb8c (__TEXT,__text) non-external -[CBOR valueSize]
0000000237afbb78 (__TEXT,__text) non-external -[CBOR value]
0000000237af7898 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
0000000237afd0c8 (__TEXT,__text) non-external -[COSE .cxx_destruct]
0000000237afc4c0 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
0000000237afcb2c (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
0000000237afd098 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
0000000237afd0a8 (__TEXT,__text) non-external -[COSE contentType]
0000000237afc3f4 (__TEXT,__text) non-external -[COSE content]
0000000237afd0a0 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
0000000237afbd90 (__TEXT,__text) non-external -[COSE initWithCBOR:]
0000000237afbc10 (__TEXT,__text) non-external -[COSE initWithData:]
0000000237afbc64 (__TEXT,__text) non-external -[COSE initWithData:type:]
0000000237afc0ac (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
0000000237afd0b8 (__TEXT,__text) non-external -[COSE initializationVector]
0000000237afd0b0 (__TEXT,__text) non-external -[COSE keyIdentifier]
0000000237afd0c0 (__TEXT,__text) non-external -[COSE partialInitializationVector]
0000000237afc2f4 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
0000000237afd090 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
0000000237afd148 (__TEXT,__text) non-external -[COSE setType:]
0000000237afd1cc (__TEXT,__text) non-external -[COSE sourceObject]
0000000237afc488 (__TEXT,__text) non-external -[COSE tag]
0000000237afd088 (__TEXT,__text) non-external -[COSE type]
0000000237afc374 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
0000000237affcb8 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
0000000237aff02c (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
0000000237affc90 (__TEXT,__text) non-external -[COSEKey algorithm]
0000000237affca8 (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
0000000237affb58 (__TEXT,__text) non-external -[COSEKey ecCurveD]
0000000237affa74 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
0000000237affac0 (__TEXT,__text) non-external -[COSEKey ecCurveX]
0000000237affb0c (__TEXT,__text) non-external -[COSEKey ecCurveY]
0000000237afd1cc (__TEXT,__text) non-external -[COSEKey getSource]
0000000237affc98 (__TEXT,__text) non-external -[COSEKey identifier]
0000000237aff5f4 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
0000000237aff794 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
0000000237aff918 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
0000000237afe4b0 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
0000000237afe45c (__TEXT,__text) non-external -[COSEKey initWithData:]
0000000237affc3c (__TEXT,__text) non-external -[COSEKey okpCurveD]
0000000237affba4 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
0000000237affbf0 (__TEXT,__text) non-external -[COSEKey okpCurveX]
0000000237affca0 (__TEXT,__text) non-external -[COSEKey operations]
0000000237affcb0 (__TEXT,__text) non-external -[COSEKey symmetricKey]
0000000237affc88 (__TEXT,__text) non-external -[COSEKey type]
0000000237afe3dc (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
0000000237afe328 (__TEXT,__text) non-external -[COSE_Mac0 description]
0000000237afe148 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
0000000237afde04 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
0000000237afe01c (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
0000000237afe3cc (__TEXT,__text) non-external -[COSE_Mac0 mac]
0000000237afdd20 (__TEXT,__text) non-external -[COSE_Sign1 description]
0000000237afd33c (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
0000000237afd204 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
0000000237afdc6c (__TEXT,__text) non-external -[COSE_Sign1 signature]
0000000237afd524 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
0000000237afd71c (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
0000000237afd9d8 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
0000000237afdb40 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
0000000237afd930 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
0000000237b04f24 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
0000000237b02c80 (__TEXT,__const) external _CBORLibraryVersionNumber
0000000237b02c50 (__TEXT,__const) external _CBORLibraryVersionString
0000000237b02ca8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
0000000237b02ca9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
0000000295b40e08 (__DATA,__data) external _COSEHeaderX509Bag
0000000295b40e10 (__DATA,__data) external _COSEHeaderX509Chain
0000000295b40e20 (__DATA,__data) external _COSEHeaderX509Hash
0000000295b40e28 (__DATA,__data) external _COSEHeaderX509HashSender
0000000295b40e30 (__DATA,__data) external _COSEHeaderX509Uri
0000000295b40e38 (__DATA,__data) external _COSEHeaderX509UriSender
0000000295b40e18 (__DATA,__data) external _COSEHeaderx509ChainSender
0000000299129aa8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
0000000299129af8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
0000000299129be8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
0000000299129b98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
0000000299129b48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
0000000295b409c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
0000000295b409c4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
0000000295b409b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
0000000295b409b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
0000000295b409b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
0000000295b409bc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
0000000295b409d4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
0000000295b409c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
0000000295b409dc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
0000000295b409d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
0000000295b409e4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
0000000295b409e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
0000000295b409e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
0000000295b409d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
0000000295b409cc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
0000000295b40a08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
0000000295b40a14 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
0000000295b409f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
0000000295b409f4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
0000000295b40a0c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
0000000295b40a10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
0000000295b40a00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
0000000295b409f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
0000000295b409fc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
0000000295b40a18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
0000000295b40a04 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
0000000295b409ec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
0000000299129ad0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
0000000299129b20 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
0000000299129c10 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
0000000299129bc0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
0000000299129b70 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000299129eb0 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
000000029bae2f68 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
000000029bae3208 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
000000029bae3300 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000299129980 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029bae33d8 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029bae3060 (__AUTH_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
0000000237b00d78 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029bae2f40 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
000000029bae31a0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
000000029bae3298 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029bae30f0 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029bae3390 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029bae2ff8 (__AUTH_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
000000029bae2ef8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
000000029bae3158 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
000000029bae3250 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000029bae30a8 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000029bae3348 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000029bae2fb0 (__AUTH_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000029bae3420 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
0000000237b00d98 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
0000000237b00f00 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
0000000237b00f38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
0000000237b010e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
0000000237b011b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
0000000237b012a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
0000000237b012f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
000000029bae35b0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
000000029bae3860 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
000000029bae3ca8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
000000029bae3bd8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
000000029bae3678 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
000000029bae3988 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
000000029bae3e10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
000000029bae3c00 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
000000029bae3ae0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
000000029bae3460 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
0000000237b01368 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
0000000237b01380 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
0000000237b01470 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000029bae3548 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
000000029bae34a8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000029bae3550 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
000000029bae37d0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
000000029bae3a50 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
000000029bae3ee8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
000000029bae3c18 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
000000029bae3b48 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
0000000290314bd0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
0000000290314bc8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
000000029bae3568 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
000000029bae3818 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
000000029bae3c60 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
000000029bae3b90 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
000000029bae3a98 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
0000000295b40da8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
0000000295b40d48 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000002903151f0 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
0000000237afcda4 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
0000000237afcf68 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
0000000237af661c (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
0000000237afcd8c (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000237afcd9c (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
0000000290314b48 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
000000029bae2688 (__AUTH_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000237afcec4 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
0000000237afcf1c (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
0000000237ae259c (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
0000000237ae29e0 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
0000000237ae2508 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
0000000237ae2798 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
0000000237ae2798 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
0000000237ae262c (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
0000000237ae0f98 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
0000000237ae3930 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
0000000237af61dc (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
0000000237af41d4 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
0000000237aeb1cc (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
0000000237ae2b54 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
0000000237aeb810 (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
0000000237ae2bf0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
0000000237aeb040 (__TEXT,__text) non-external (was a private external) ___swift_memcpy8_8
0000000237ae383c (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
0000000237aeb1d8 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
0000000237ae2558 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
0000000237ae0fec (__TEXT,__text) non-external (was a private external) ___swift_project_value_buffer
0000000237b02a00 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
0000000237b02c10 (__TEXT,__const) non-external ___unnamed_2
0000000237b02678 (__TEXT,__const) non-external ___unnamed_34
0000000237b01768 (__TEXT,__const) non-external ___unnamed_8
0000000237afa8d8 (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
0000000290314af0 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
