00007ffa1e8ece3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e8d66d6 (__TEXT,__text) external _IORWLockFree
00007ffa1e8d66fd (__TEXT,__text) external _IORWLockRead
00007ffa1e8fb312 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1e8d6725 (__TEXT,__text) external _IORWLockUnlock
00007ffa1e8fb358 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa1e8d6711 (__TEXT,__text) external _IORWLockWrite
00007ffa1e8fb335 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa1e8d652b (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa1e8d6557 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa1e8d6613 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1e8fb286 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa1e8d656d (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1e8fb1fa (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1e8fb21d (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1e8d6643 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1e8fb2a9 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1e8fb2cc (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa1e8d65c1 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1e8fb240 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa1e8fb263 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa1e8d64cf (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa1e8d64eb (__TEXT,__text) external _IORecursiveLockFree
00007ffa1e8d6517 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa1e8d6501 (__TEXT,__text) external _IORecursiveLockLock
00007ffa1e8d6521 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa1e8d650d (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa4193fe90 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa4193fc10 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa41940298 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa419403f8 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa419400e8 (__DATA_CONST,__const) external _IOService_Class
00007ffa4193fcb0 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1e8d3f13 (__TEXT,__text) external _IOSleep
00007ffa4193fd50 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa41942068 (__DATA_CONST,__const) external _IOThread_Class
00007ffa41940558 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa41940708 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa1e8d7086 (__TEXT,__text) external _IOUserServerMain
00007ffa1e8fb625 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1e8fb760 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1e8fb648 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1e8fb66b (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1e8fb68e (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa1e8fb6b1 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1e8fb6d4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1e8fb6f7 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1e8fb71a (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1e8fb73d (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa419409e8 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa419f19c8 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa41940b98 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa1e8ecfd2 (__TEXT,__text) external _MD5Final
00007ffa1e8ecda0 (__TEXT,__text) external _MD5Init
00007ffa1e8ecf5e (__TEXT,__text) non-external _MD5ToDi
00007ffa1e8ecea1 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa41940cf8 (__DATA_CONST,__const) external _OSAction_Class
00007ffa419407a8 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa41941df8 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1e8df24c (__TEXT,__text) external _OSArrayAppendValue
00007ffa1e8def8b (__TEXT,__text) external _OSArrayApply
00007ffa1e8deca3 (__TEXT,__text) external _OSArrayCreate
00007ffa1e8de456 (__TEXT,__text) external _OSArrayGetCount
00007ffa1e8df2da (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1e8df34a (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1e8df280 (__TEXT,__text) external _OSArrayGetValue
00007ffa1e8df23d (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1e8df305 (__TEXT,__text) external _OSArraySetStringValue
00007ffa1e8df410 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1e8df0b6 (__TEXT,__text) external _OSArraySetValue
00007ffa41940ea8 (__DATA_CONST,__const) external _OSArray_Class
00007ffa41940fa0 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa41941098 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa1e8dd426 (__TEXT,__text) external _OSCollectionTypeID
00007ffa1e8fc236 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa1e8dd3ac (__TEXT,__text) external _OSCollectionTypeName
00007ffa1e8fc1f2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa41941190 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1e8e1a42 (__TEXT,__text) external _OSCollectionsInitialize
00007ffa41941288 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1e8dd482 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1e8fc27c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1e8dfc21 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1e8fc6dc (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1e8dfb23 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa1e8de2db (__TEXT,__text) external _OSDataAppendBytes
00007ffa1e8de259 (__TEXT,__text) external _OSDataCreate
00007ffa1e8de208 (__TEXT,__text) external _OSDataGetBytes
00007ffa1e8de1bf (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa1e8de1f7 (__TEXT,__text) external _OSDataGetLength
00007ffa419413e8 (__DATA_CONST,__const) external _OSData_Class
00007ffa1e8de463 (__TEXT,__text) external _OSDictionaryApply
00007ffa1e8de3f5 (__TEXT,__text) external _OSDictionaryCreate
00007ffa1e8de449 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa1e8deab4 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa1e8debc6 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa1e8dea17 (__TEXT,__text) external _OSDictionaryGetValue
00007ffa1e8deb81 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa1e8dec65 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa1e8de71e (__TEXT,__text) external _OSDictionarySetValue
00007ffa419414e0 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa419415d8 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa1e8de393 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1e8de372 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa419416d0 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1e8e026c (__TEXT,__text) external _OSObjectLog
00007ffa1e8dd3e2 (__TEXT,__text) external _OSObjectRelease
00007ffa1e8dd3d7 (__TEXT,__text) external _OSObjectRetain
00007ffa419417c8 (__DATA_CONST,__const) external _OSObject_Class
00007ffa41941978 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1e8d4474 (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1e8dfd4a (__TEXT,__text) external _OSSerializationGetBytes
00007ffa41941a70 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa41941b68 (__DATA_CONST,__const) external _OSSet_Class
00007ffa1e8ddeef (__TEXT,__text) external _OSStringCreate
00007ffa1e8fc32b (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1e8ddeae (__TEXT,__text) external _OSStringGetLength
00007ffa1e8fc308 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00007ffa1e8dde76 (__TEXT,__text) external _OSStringGetStringPtr
00007ffa41941c60 (__DATA_CONST,__const) external _OSString_Class
00007ffa1e8d3f2d (__TEXT,__text) external _OSSynchronizeIO
00007ffa43ab94b0 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1e8d4833 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa1e8ed2a9 (__TEXT,__text) external _SHA1Final
00007ffa1e8ed080 (__TEXT,__text) external _SHA1Init
00007ffa1e8ed23e (__TEXT,__text) non-external _SHA1ToDi
00007ffa1e8ed181 (__TEXT,__text) external _SHA1Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1e8d4e3a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa41941d58 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1e8d5162 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa1e8fadf5 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa1e8fae18 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa1e8d6739 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1e8fb37b (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa1e8fb39e (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa1e8fb3c1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa1e8fb3e4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1e8fb407 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa1e8d598b (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa1e8fb037 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1e8fb05a (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1e8fb07d (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa1e8fb0a0 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa1e8fb0e2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007ffa1e8d5390 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa1e8faea4 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa1e8df262 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa1e8e19e0 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa1e8d4fd6 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa1e8fad8c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa1e8fadaf (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa1e8fadd2 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa1e8df375 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa1e8df3e5 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa1e8df3a0 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa1e8d51ba (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa1e8fae3b (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00007ffa1e8fae5e (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00007ffa1e8df750 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa1e8fc62d (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e8fc650 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e8fc673 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e8fc696 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1e8fc6b9 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa1e8d3a8c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa1e8d3b78 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa1e8d567b (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa1e8d6e6a (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa1e8d4f48 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa1e8d4eaf (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa1e8dfd68 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa1e8fc6ff (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa1e8d52d8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa1e8fae81 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa1e8dd44f (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa1e8fc259 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa1e8dd3ed (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa1e8fc213 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa1e8d2290 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa1e8fac3c (__TEXT,__text) non-external __Z21OSUnserializeXMLparsePv.cold.1
00007ffa1e8de173 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa1e8df44e (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa1e8fc443 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1e8fc466 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1e8fc489 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa1e8fc4ac (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa1e8fc4cf (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa1e8de13f (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa1e8ded5d (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00007ffa1e8fc3b7 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E.cold.1
00007ffa1e8decf7 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00007ffa1e8fc371 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00007ffa1e8fc394 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.2
00007ffa1e8de356 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa1e8df57b (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa1e8fc4f2 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e8fc515 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e8fc538 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e8d683a (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007ffa1e8fb42a (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007ffa1e8fb44d (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007ffa1e8d6e42 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa1e8d62d2 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa1e8f9af2 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa1e8d3990 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa1e8dd228 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa1e8f999c (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa1e8e0eb6 (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1e8fd330 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa1e8fab62 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa1e8f9470 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa1e8f9a38 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa1e8f9bd6 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa1e8f9c1e (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa1e8de0cf (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00007ffa1e8fa24c (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa1e8ede72 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa1e8f1ee6 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa1e8dc2aa (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa1e8fbfb1 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa1e8fbfd4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa1e8fbff7 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa1e8f99f0 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa1e8f1d86 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa1e8d814c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa1e8fbaa6 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa1e8fbac9 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa1e8fbaec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa1e8fbb0f (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa1e8f04cc (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa1e8f1ae8 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa1e8f8e84 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa1e8f9aaa (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa1e8d6b2e (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa1e8fb470 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa1e8fb493 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa1e8fb4b6 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa1e8fb4d9 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa1e8d791f (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa1e8fb8ab (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa1e8fb8ce (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa1e8fb8f1 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa1e8fb914 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa1e8dcc87 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffa1e8fc0a6 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffa1e8fc0c9 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffa1e8fc0ec (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffa1e8fc10f (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffa1e8fc132 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffa1e8fc155 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007ffa1e8fc178 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007ffa43ab9488 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
