00007ffb42ceea88 (__DATA,__bss) non-external _A
00007ffb1f274ebe (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffb1f28a220 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffb1f27c6bf (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffb1f28b520 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffb1f27d140 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffb1f27c7d5 (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffb1f27d445 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffb1f28b620 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffb1f27a45c (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffb1f28ab20 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffb1f27adb8 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffb1f28ac20 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffb1f27b192 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffb1f28ad20 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffb1f27b517 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffb1f28ae20 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffb1f27b7be (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffb1f28af20 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffb1f2789f9 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffb1f279e84 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffb1f28aa20 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffb1f2787ef (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffb1f28a920 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffb1f278395 (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffb1f28a620 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffb1f278705 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffb1f28a820 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffb1f2784d1 (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffb1f28a720 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffb1f277b66 (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffb1f28a420 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffb1f2780e8 (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffb1f28a520 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffb1f27bb98 (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffb1f28b020 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffb1f27c3f7 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffb1f28b420 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffb1f274567 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffb1f27c2b6 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffb1f28b320 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffb1f27c16d (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffb1f28b120 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffb1f2729c4 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffb1f289ee0 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffb1f272bee (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffb1f272c12 (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffb1f289fe0 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffb1f2727dd (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffb1f289de0 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffb1f272c98 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffb1f28a0e0 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffb1f27fe15 (__TEXT,__text) non-external _add_child
00007ffb1f289183 (__TEXT,__text) non-external _add_child.cold.1
00007ffb1f28051f (__TEXT,__text) non-external _add_line
00007ffb1f2891ec (__TEXT,__text) non-external _add_line.cold.1
00007ffb1f285803 (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffb1f288a98 (__TEXT,__text) non-external _alloc_arena_chunk
00007ffb1f288bd3 (__TEXT,__text) non-external _arena_calloc
00007ffb1f288ce2 (__TEXT,__text) non-external _arena_free
00007ffb42ceea48 (__DATA,__bss) non-external _arena_lock
00007ffb42cee880 (__DATA,__data) non-external _arena_once
00007ffb1f288c9a (__TEXT,__text) non-external _arena_realloc
00007ffb1f271e83 (__TEXT,__text) non-external _autolink_delim
00007ffb42cee6d0 (__DATA,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ffb1f270775 (__TEXT,__text) non-external _can_contain
00007ffb1f27310f (__TEXT,__text) non-external _can_contain
00007ffb1f287602 (__TEXT,__text) non-external _can_contain
00007ffb1f271d83 (__TEXT,__text) non-external _check_domain
00007ffb1f285af4 (__TEXT,__text) non-external _chunk_clone
00007ffb1f288aef (__TEXT,__text) external _cmark_arena_pop
00007ffb1f288a47 (__TEXT,__text) external _cmark_arena_push
00007ffb1f288b6d (__TEXT,__text) external _cmark_arena_reset
00007ffb1f286bd0 (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffb1f281e6d (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffb1f281de0 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffb1f281d0d (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffb1f28925e (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffb1f28927f (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffb1f273565 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffb1f289ce0 (__TEXT,__const) non-external _cmark_ctype_class
00007ffb42ce6200 (__DATA,__const) non-external _cmark_entities
00007ffb1f27218f (__TEXT,__text) external _cmark_find_syntax_extension
00007ffb1f27d51d (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffb1f288fe2 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffb1f27d58e (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffb1f288ce8 (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffb1f26f24a (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffb1f27d604 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffb1f2883b8 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffb1f2884a9 (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffb1f2884da (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffb1f288395 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffb1f28845c (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffb1f270587 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffb1f288401 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffb1f28850c (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffb1f288538 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffb1f2883d9 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffb1f28847f (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffb1f270532 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffb1f280667 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffb1f2856c4 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffb1f2856f2 (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffb1f2856df (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffb1f285776 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffb1f285780 (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffb1f2856cd (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffb1f2856fc (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffb1f285400 (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffb1f2853ef (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffb1f2853c7 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffb1f289839 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffb1f2854af (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffb1f285533 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffb1f28553d (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffb1f28987f (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffb1f2856d6 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffb1f285411 (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffb1f28985c (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffb1f281ea0 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffb1f281ec2 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffb1f2704df (__TEXT,__text) external _cmark_isalnum
00007ffb1f270518 (__TEXT,__text) external _cmark_isalpha
00007ffb1f2704fe (__TEXT,__text) external _cmark_isdigit
00007ffb1f2704c5 (__TEXT,__text) external _cmark_ispunct
00007ffb1f2704ab (__TEXT,__text) external _cmark_isspace
00007ffb1f273484 (__TEXT,__text) external _cmark_iter_free
00007ffb1f273552 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffb1f273548 (__TEXT,__text) external _cmark_iter_get_node
00007ffb1f27355b (__TEXT,__text) external _cmark_iter_get_root
00007ffb1f27343c (__TEXT,__text) external _cmark_iter_new
00007ffb1f27348f (__TEXT,__text) external _cmark_iter_next
00007ffb1f288f9c (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffb1f273537 (__TEXT,__text) external _cmark_iter_reset
00007ffb1f272123 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffb1f27446b (__TEXT,__text) external _cmark_llist_append
00007ffb1f2744f8 (__TEXT,__text) external _cmark_llist_free
00007ffb1f2744b5 (__TEXT,__text) external _cmark_llist_free_full
00007ffb1f27e3da (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffb1f27d882 (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffb1f27d70c (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffb1f27d8c8 (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffb1f26f257 (__TEXT,__text) external _cmark_markdown_to_html
00007ffb1f281b0d (__TEXT,__text) external _cmark_node_append_child
00007ffb1f28066d (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffb1f281b63 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffb1f280c5e (__TEXT,__text) external _cmark_node_first_child
00007ffb1f2807fe (__TEXT,__text) external _cmark_node_free
00007ffb1f281508 (__TEXT,__text) external _cmark_node_get_attributes
00007ffb1f280e05 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffb1f28194f (__TEXT,__text) external _cmark_node_get_end_column
00007ffb1f28193e (__TEXT,__text) external _cmark_node_get_end_line
00007ffb1f2810c3 (__TEXT,__text) external _cmark_node_get_fence_info
00007ffb1f281204 (__TEXT,__text) external _cmark_node_get_fenced
00007ffb1f280f53 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffb1f280fe9 (__TEXT,__text) external _cmark_node_get_list_delim
00007ffb1f281034 (__TEXT,__text) external _cmark_node_get_list_start
00007ffb1f28107b (__TEXT,__text) external _cmark_node_get_list_tight
00007ffb1f280f9e (__TEXT,__text) external _cmark_node_get_list_type
00007ffb1f280cf5 (__TEXT,__text) external _cmark_node_get_literal
00007ffb1f281649 (__TEXT,__text) external _cmark_node_get_on_enter
00007ffb1f28179e (__TEXT,__text) external _cmark_node_get_on_exit
00007ffb1f28192d (__TEXT,__text) external _cmark_node_get_start_column
00007ffb1f28191c (__TEXT,__text) external _cmark_node_get_start_line
00007ffb1f280f39 (__TEXT,__text) external _cmark_node_get_string_content
00007ffb1f2818f3 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffb1f2813c1 (__TEXT,__text) external _cmark_node_get_title
00007ffb1f2808dc (__TEXT,__text) external _cmark_node_get_type
00007ffb1f280a70 (__TEXT,__text) external _cmark_node_get_type_string
00007ffb1f28127a (__TEXT,__text) external _cmark_node_get_url
00007ffb1f280cb5 (__TEXT,__text) external _cmark_node_get_user_data
00007ffb1f281a01 (__TEXT,__text) external _cmark_node_insert_after
00007ffb1f281984 (__TEXT,__text) external _cmark_node_insert_before
00007ffb1f280c70 (__TEXT,__text) external _cmark_node_last_child
00007ffb1f2807eb (__TEXT,__text) external _cmark_node_new
00007ffb1f2807cb (__TEXT,__text) external _cmark_node_new_with_ext
00007ffb1f2807df (__TEXT,__text) external _cmark_node_new_with_mem
00007ffb1f280730 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffb1f280c28 (__TEXT,__text) external _cmark_node_next
00007ffb1f280c82 (__TEXT,__text) external _cmark_node_nth_child
00007ffb1f2736fa (__TEXT,__text) external _cmark_node_own
00007ffb1f280c4c (__TEXT,__text) external _cmark_node_parent
00007ffb1f281ab7 (__TEXT,__text) external _cmark_node_prepend_child
00007ffb1f280c3a (__TEXT,__text) external _cmark_node_previous
00007ffb1f281a7e (__TEXT,__text) external _cmark_node_replace
00007ffb1f281590 (__TEXT,__text) external _cmark_node_set_attributes
00007ffb1f28114b (__TEXT,__text) external _cmark_node_set_fence_info
00007ffb1f281240 (__TEXT,__text) external _cmark_node_set_fenced
00007ffb1f280f72 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffb1f281008 (__TEXT,__text) external _cmark_node_set_list_delim
00007ffb1f281053 (__TEXT,__text) external _cmark_node_set_list_start
00007ffb1f28109b (__TEXT,__text) external _cmark_node_set_list_tight
00007ffb1f280fbd (__TEXT,__text) external _cmark_node_set_list_type
00007ffb1f280e0e (__TEXT,__text) external _cmark_node_set_literal
00007ffb1f2816db (__TEXT,__text) external _cmark_node_set_on_enter
00007ffb1f281830 (__TEXT,__text) external _cmark_node_set_on_exit
00007ffb1f280f43 (__TEXT,__text) external _cmark_node_set_string_content
00007ffb1f281905 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffb1f28144c (__TEXT,__text) external _cmark_node_set_title
00007ffb1f2808ee (__TEXT,__text) external _cmark_node_set_type
00007ffb1f281305 (__TEXT,__text) external _cmark_node_set_url
00007ffb1f280cc7 (__TEXT,__text) external _cmark_node_set_user_data
00007ffb1f280cde (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffb1f281960 (__TEXT,__text) external _cmark_node_unlink
00007ffb1f28572d (__TEXT,__text) external _cmark_node_unput
00007ffb1f27eb52 (__TEXT,__text) external _cmark_parse_document
00007ffb1f27e444 (__TEXT,__text) external _cmark_parse_file
00007ffb1f281ee4 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffb1f2892a0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffb1f2893db (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffb1f2893fe (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffb1f289421 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffb1f289444 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffb1f289467 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffb1f28948a (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffb1f2894ad (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffb1f2894d0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffb1f2894f3 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffb1f289516 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffb1f2892c3 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffb1f2892e6 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffb1f289309 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffb1f28932c (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffb1f28934f (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffb1f289372 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffb1f289395 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffb1f2893b8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffb1f2851b6 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffb1f28978a (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffb1f2897ad (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffb1f2897d0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffb1f2897f3 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffb1f289816 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffb1f284ad2 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffb1f28955c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffb1f28957f (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffb1f2895a2 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffb1f2895c5 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffb1f2895e8 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffb1f28960b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffb1f28962e (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffb1f27fe0b (__TEXT,__text) external _cmark_parser_add_child
00007ffb1f27fee3 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffb1f27e100 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffb1f27e3ac (__TEXT,__text) non-external _cmark_parser_dispose
00007ffb1f27eba7 (__TEXT,__text) external _cmark_parser_feed
00007ffb1f27ebb3 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffb1f27e6b2 (__TEXT,__text) external _cmark_parser_finish
00007ffb1f27e32e (__TEXT,__text) external _cmark_parser_free
00007ffb1f27fdca (__TEXT,__text) external _cmark_parser_get_column
00007ffb1f27fdd3 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffb1f27fddc (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffb1f27fde5 (__TEXT,__text) external _cmark_parser_get_indent
00007ffb1f27fe02 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffb1f27fdb8 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffb1f27fdc1 (__TEXT,__text) external _cmark_parser_get_offset
00007ffb1f27ffc6 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffb1f27fdf8 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffb1f27fdee (__TEXT,__text) external _cmark_parser_is_blank
00007ffb1f27e31d (__TEXT,__text) external _cmark_parser_new
00007ffb1f27e1b1 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffb1f27e20a (__TEXT,__text) non-external _cmark_parser_reset
00007ffb1f27ffb9 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffb1f272fcb (__TEXT,__text) external _cmark_plugin_free
00007ffb1f272fab (__TEXT,__text) external _cmark_plugin_new
00007ffb1f272f81 (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffb1f272ffb (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffb1f27df02 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffb1f28908c (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffb1f27dfc9 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffb1f2890ad (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffb1f27e068 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffb1f2805fc (__TEXT,__text) external _cmark_register_node_flag
00007ffb1f289211 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffb1f289236 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffb42cee770 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffb1f272021 (__TEXT,__text) external _cmark_register_plugin
00007ffb1f2720c9 (__TEXT,__text) external _cmark_release_plugins
00007ffb1f272259 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffb1f272210 (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffb1f272239 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffb1f26e058 (__TEXT,__text) external _cmark_render_commonmark
00007ffb1f26e081 (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffb1f26f28c (__TEXT,__text) external _cmark_render_html
00007ffb1f26f299 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffb1f288eeb (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffb1f273904 (__TEXT,__text) external _cmark_render_latex
00007ffb1f273926 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffb1f270970 (__TEXT,__text) external _cmark_render_man
00007ffb1f270992 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffb1f286594 (__TEXT,__text) external _cmark_render_plaintext
00007ffb1f2865bd (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffb1f285b4c (__TEXT,__text) external _cmark_render_xml
00007ffb1f285b59 (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffb1f281ce4 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffb42cee940 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffb1f281e77 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffb42cee780 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffb42ceea94 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffb1f27d9ea (__TEXT,__text) external _cmark_strbuf_clear
00007ffb1f27dc25 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffb1f27db6a (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffb1f28906b (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffb1f27dbef (__TEXT,__text) external _cmark_strbuf_detach
00007ffb1f27dd10 (__TEXT,__text) external _cmark_strbuf_drop
00007ffb1f27d9b4 (__TEXT,__text) external _cmark_strbuf_free
00007ffb1f27d94b (__TEXT,__text) external _cmark_strbuf_grow
00007ffb1f289024 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffb1f289045 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffb1f27d920 (__TEXT,__text) external _cmark_strbuf_init
00007ffb1f27d9ab (__TEXT,__text) external _cmark_strbuf_len
00007ffb1f27ddf1 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffb1f27daf0 (__TEXT,__text) external _cmark_strbuf_put
00007ffb1f27dab6 (__TEXT,__text) external _cmark_strbuf_putc
00007ffb1f27db44 (__TEXT,__text) external _cmark_strbuf_puts
00007ffb1f27dd58 (__TEXT,__text) external _cmark_strbuf_rtrim
