000000018a5ae000 (__TEXT,__const) non-external _A1_Table
000000018a5235a0 (__TEXT,__text) non-external _CacheTable_key_release
000000018a1b5200 (__TEXT,__text) non-external _CacheTable_key_retain
000000018a1b40fc (__TEXT,__text) non-external _CacheTable_setup
000000018a1cb874 (__TEXT,__text) non-external _CacheTable_value_make_nonpurgeable
000000018a1c3910 (__TEXT,__text) non-external _CacheTable_value_make_purgeable
000000018a5235a4 (__TEXT,__text) non-external _CacheTable_value_release
00000001ec394478 (__DATA_DIRTY,__bss) non-external _CalculateNumThreads.cpuCount
000000018a3ecf90 (__TEXT,__text) non-external _ChunkyToPlanar16U
000000018a1b1890 (__TEXT,__text) non-external _ChunkyToPlanar8
000000018a3ed160 (__TEXT,__text) non-external _ChunkyToPlanarF
000000018a3dd984 (__TEXT,__text) non-external _ChunkyToPlanarPass_Print
000000018a3abcbc (__TEXT,__text) non-external _CoefGeneration
000000018a3b4e78 (__TEXT,__text) non-external _CoefGenerationFP16
000000018a3b0af0 (__TEXT,__text) non-external _CoefGenerationVertical
000000018a2407cc (__TEXT,__text) non-external _CoefGenerationVertical_64x16
000000018a3b8ad4 (__TEXT,__text) non-external _CoefGenerationVertical_FP16
000000018a243ca4 (__TEXT,__text) non-external _CoefGeneration_64x16
000000018a2814f4 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGB8888
000000018a274788 (__TEXT,__text) non-external (was a private external) _ColorFill_ARGBFFFF
000000018a1e5484 (__TEXT,__text) non-external (was a private external) _ColorFill_Planar8
000000018a26ed94 (__TEXT,__text) non-external (was a private external) _ColorFill_PlanarF
000000018a3e54a8 (__TEXT,__text) non-external _CompressPassesToLUT
00000001ee252828 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_8to64U_vtbl
00000001ee2527c8 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar128_vtbl
00000001ee2525e8 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar16_vtbl
00000001ee252648 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar24_vtbl
00000001ee252708 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar48_vtbl
00000001ee252768 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanar96_vtbl
00000001ee2526a8 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_LookupTable_Planar8toPlanarF_vtbl
00000001ee252588 (__AUTH_CONST,__const) non-external _CompressPassesToLUT.LUTPass_TableLookup_Planar8_vtbl
000000018a1fb8b0 (__TEXT,__text) non-external _ComputeTileSize
000000018a523640 (__TEXT,__text) non-external _ComputeTileSize.cold.1
000000018a3e1fc4 (__TEXT,__text) non-external _Convert10ToF
000000018a3e1260 (__TEXT,__text) non-external _Convert10toSomethingPass_Print
000000018a3e20d8 (__TEXT,__text) non-external _Convert11ToF
000000018a3e21ec (__TEXT,__text) non-external _Convert12ToF
000000018a3e2300 (__TEXT,__text) non-external _Convert13ToF
000000018a3e2414 (__TEXT,__text) non-external _Convert14ToF
000000018a3e2528 (__TEXT,__text) non-external _Convert15ToF
000000018a1d784c (__TEXT,__text) non-external (was a private external) _Convert16UToF
000000018a3e263c (__TEXT,__text) non-external _Convert17ToF
000000018a3e2750 (__TEXT,__text) non-external _Convert18ToF
000000018a3e2864 (__TEXT,__text) non-external _Convert19ToF
000000018a3dfae0 (__TEXT,__text) non-external _Convert1To8Bit
000000018a3e2978 (__TEXT,__text) non-external _Convert20ToF
000000018a3e2a8c (__TEXT,__text) non-external _Convert21ToF
000000018a3e2ba0 (__TEXT,__text) non-external _Convert22ToF
000000018a3e2cb4 (__TEXT,__text) non-external _Convert23ToF
000000018a3e2dc8 (__TEXT,__text) non-external _Convert24ToF
000000018a3e2edc (__TEXT,__text) non-external _Convert25ToF
000000018a3e2ff0 (__TEXT,__text) non-external _Convert26ToF
000000018a3e3104 (__TEXT,__text) non-external _Convert27ToF
000000018a3e3218 (__TEXT,__text) non-external _Convert28ToF
000000018a3e332c (__TEXT,__text) non-external _Convert29ToF
000000018a3dfbdc (__TEXT,__text) non-external _Convert2To8Bit
000000018a3e3440 (__TEXT,__text) non-external _Convert30ToF
000000018a3e3554 (__TEXT,__text) non-external _Convert31ToF
000000018a3e3668 (__TEXT,__text) non-external _Convert32ToF
000000018a3e0098 (__TEXT,__text) non-external _Convert3To8Bit
000000018a3dfcd8 (__TEXT,__text) non-external _Convert4To8Bit
000000018a3e019c (__TEXT,__text) non-external _Convert5To8Bit
000000018a3e029c (__TEXT,__text) non-external _Convert6To8Bit
000000018a3e03a0 (__TEXT,__text) non-external _Convert7To8Bit
000000018a3dfdd4 (__TEXT,__text) non-external _Convert8To1Bit
000000018a3dfec0 (__TEXT,__text) non-external _Convert8To2Bit
000000018a3e04a4 (__TEXT,__text) non-external _Convert8To3Bit
000000018a3dffac (__TEXT,__text) non-external _Convert8To4Bit
000000018a3e05a8 (__TEXT,__text) non-external _Convert8To5Bit
000000018a3e06ac (__TEXT,__text) non-external _Convert8To6Bit
000000018a3e07b0 (__TEXT,__text) non-external _Convert8To7Bit
000000018a3e1eb0 (__TEXT,__text) non-external _Convert9ToF
000000018a1abd84 (__TEXT,__text) non-external _ConvertByteOrderingToDefault
00000001ee24fb88 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed1_vtbl
00000001ee24fbe8 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed2_vtbl
00000001ee24fc48 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_Planar8toIndexed4_vtbl
00000001ee24fca8 (__AUTH_CONST,__const) non-external _ConvertDirectToIndexed.Convert_TableLookUp_Planar8toIndexed_vtbl
000000018a3e3888 (__TEXT,__text) non-external _ConvertFTo10
000000018a3e3994 (__TEXT,__text) non-external _ConvertFTo11
000000018a3e3aa0 (__TEXT,__text) non-external _ConvertFTo12
000000018a3e3bac (__TEXT,__text) non-external _ConvertFTo13
000000018a3e3cb8 (__TEXT,__text) non-external _ConvertFTo14
000000018a3e3dc4 (__TEXT,__text) non-external _ConvertFTo15
000000018a3e3ed0 (__TEXT,__text) non-external _ConvertFTo17
000000018a3e3fdc (__TEXT,__text) non-external _ConvertFTo18
000000018a3e40e8 (__TEXT,__text) non-external _ConvertFTo19
000000018a3e41f4 (__TEXT,__text) non-external _ConvertFTo20
000000018a3e4300 (__TEXT,__text) non-external _ConvertFTo21
000000018a3e440c (__TEXT,__text) non-external _ConvertFTo22
000000018a3e4518 (__TEXT,__text) non-external _ConvertFTo23
000000018a3e4624 (__TEXT,__text) non-external _ConvertFTo24
000000018a3e4730 (__TEXT,__text) non-external _ConvertFTo25
000000018a3e483c (__TEXT,__text) non-external _ConvertFTo26
000000018a3e4948 (__TEXT,__text) non-external _ConvertFTo27
000000018a3e4a54 (__TEXT,__text) non-external _ConvertFTo28
000000018a3e4b60 (__TEXT,__text) non-external _ConvertFTo29
000000018a3e4c6c (__TEXT,__text) non-external _ConvertFTo30
000000018a3e4d78 (__TEXT,__text) non-external _ConvertFTo31
000000018a3e4e84 (__TEXT,__text) non-external _ConvertFTo32
000000018a3e377c (__TEXT,__text) non-external _ConvertFTo9
000000018a3e5310 (__TEXT,__text) non-external _ConvertFloatToHalf
00000001ee258648 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16Q12_vtbl
00000001ee2586a8 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB16U_vtbl
00000001ee2585e8 (__AUTH_CONST,__const) non-external _ConvertFromCVRGB101010.Convert_CVRGB101010toARGB8888_vtbl
000000018a3e5244 (__TEXT,__text) non-external _ConvertHalfToFloat
000000018a3da924 (__TEXT,__text) non-external _ConvertIndexedToDirect
00000001ee24f8e8 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed1toPlanar8_vtbl
00000001ee24f948 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed2toPlanar8_vtbl
00000001ee24f9a8 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Indexed4toPlanar8_vtbl
00000001ee24fa68 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8ToChunky_vtbl
00000001ee24fb28 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toARGB888_vtbl
00000001ee24fac8 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_Planar8toRGB888_vtbl
00000001ee24fa08 (__AUTH_CONST,__const) non-external _ConvertIndexedToDirect.Convert_TableLookUp_Planar8_vtbl
000000018a1bbd60 (__TEXT,__text) non-external (was a private external) _ConvertPass_Delete
000000018a3730c0 (__TEXT,__text) non-external (was a private external) _ConvertPass_Print
000000018a1bbdf0 (__TEXT,__text) non-external (was a private external) _ConvertPass_StandardDeallocator
00000001ee257568 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16Q12toCVRGB101010_vtbl
00000001ee2575c8 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB16UtoCVRGB101010_vtbl
00000001ee257508 (__AUTH_CONST,__const) non-external _ConvertToCVRGB101010.Convert_ARGB8888toCVRGB101010_vtbl
000000018a3e844c (__TEXT,__text) non-external _ConvertToDestColorSpaceWithCGColorConversionInfo
000000018a3e780c (__TEXT,__text) non-external _ConvertToDestColorSpaceWithCGColorConversionInfo_version1
000000018a3e4f90 (__TEXT,__text) non-external _Convert_12UTo16U
000000018a3da6a8 (__TEXT,__text) non-external (was a private external) _Convert_16Q12to16U
000000018a3da500 (__TEXT,__text) non-external (was a private external) _Convert_16Q12to8
000000018a3da850 (__TEXT,__text) non-external (was a private external) _Convert_16Q12toF
000000018a3e5088 (__TEXT,__text) non-external _Convert_16UTo12U
000000018a3da27c (__TEXT,__text) non-external (was a private external) _Convert_16UToF
000000018a3da0f8 (__TEXT,__text) non-external (was a private external) _Convert_16UToPlanar8
000000018a3da5d4 (__TEXT,__text) non-external (was a private external) _Convert_16Uto16Q12
000000018a3eeb64 (__TEXT,__text) non-external _Convert_420Yp8_Cb8_Cr8ToARGB8888
000000018a3eebb0 (__TEXT,__text) non-external _Convert_420Yp8_CbCr8ToARGB8888
000000018a3eeac4 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB16U
000000018a3eeaa4 (__TEXT,__text) non-external _Convert_422CbYpCrYp16ToARGB8888
000000018a3eea04 (__TEXT,__text) non-external _Convert_422CbYpCrYp8ToARGB8888
000000018a3eeb90 (__TEXT,__text) non-external _Convert_422CbYpCrYp8_AA8ToARGB8888
000000018a3eeb04 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB16Q12
000000018a3eeae4 (__TEXT,__text) non-external _Convert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB8888
000000018a3eebdc (__TEXT,__text) non-external _Convert_422YpCbYpCr8ToARGB8888
000000018a3eea6c (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB16U
000000018a3eea54 (__TEXT,__text) non-external _Convert_444AYpCbCr16ToARGB8888
000000018a3eea3c (__TEXT,__text) non-external _Convert_444AYpCbCr8ToARGB8888
000000018a3eea24 (__TEXT,__text) non-external _Convert_444CbYpCrA8ToARGB8888
000000018a3eeb44 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB16Q12
000000018a3eeb24 (__TEXT,__text) non-external _Convert_444CrYpCb10ToARGB8888
000000018a3eea84 (__TEXT,__text) non-external _Convert_444CrYpCb8ToARGB8888
000000018a1ccaf0 (__TEXT,__text) non-external (was a private external) _Convert_8to16Q12
000000018a3e08b4 (__TEXT,__text) non-external _Convert_ARGB1555toARGB8888
000000018a3e0940 (__TEXT,__text) non-external _Convert_ARGB1555toBGRA8888
000000018a3ee8ec (__TEXT,__text) non-external _Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10
000000018a3ee91c (__TEXT,__text) non-external _Convert_ARGB16Q12To444CrYpCb10
000000018a3ee7c4 (__TEXT,__text) non-external _Convert_ARGB16Q12toCVRGB101010
000000018a3ee8bc (__TEXT,__text) non-external _Convert_ARGB16UTo422CbYpCrYp16
000000018a3ee874 (__TEXT,__text) non-external _Convert_ARGB16UTo444AYpCbCr16
000000018a3da1cc (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UToARGB8888
000000018a5ae598 (__TEXT,__const) non-external _Convert_ARGB16UToARGB8888.black
000000018a3ee7f4 (__TEXT,__text) non-external _Convert_ARGB16UtoCVRGB101010
000000018a3d97c8 (__TEXT,__text) non-external (was a private external) _Convert_ARGB16UtoRGB16U
000000018a3ee934 (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_Cb8_Cr8
000000018a3ee970 (__TEXT,__text) non-external _Convert_ARGB8888To420Yp8_CbCr8
000000018a3ee8a4 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp16
000000018a3ee814 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8
000000018a3ee954 (__TEXT,__text) non-external _Convert_ARGB8888To422CbYpCrYp8_AA8
000000018a3ee8d4 (__TEXT,__text) non-external _Convert_ARGB8888To422CrYpCbYpCbYpCbYpCrYpCrYp10
000000018a3ee98c (__TEXT,__text) non-external _Convert_ARGB8888To422YpCbYpCr8
000000018a3ee85c (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr16
000000018a3ee844 (__TEXT,__text) non-external _Convert_ARGB8888To444AYpCbCr8
000000018a3ee82c (__TEXT,__text) non-external _Convert_ARGB8888To444CbYpCrA8
000000018a3ee904 (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb10
000000018a3ee88c (__TEXT,__text) non-external _Convert_ARGB8888To444CrYpCb8
000000018a3d9ebc (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToARGB16U
000000018a5ae588 (__TEXT,__const) non-external _Convert_ARGB8888ToARGB16U.backColor
000000018a3d9f6c (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888ToRGB16U
000000018a5ae590 (__TEXT,__const) non-external _Convert_ARGB8888ToRGB16U.backColor
000000018a3e0dfc (__TEXT,__text) non-external _Convert_ARGB8888toARGB1555
000000018a3ee7a4 (__TEXT,__text) non-external _Convert_ARGB8888toCVRGB101010
000000018a3e15d4 (__TEXT,__text) non-external _Convert_ARGB8888toRGB101010
000000018a3e0eb0 (__TEXT,__text) non-external _Convert_ARGB8888toRGB565
000000018a3d9780 (__TEXT,__text) non-external (was a private external) _Convert_ARGB8888toRGB888
000000018a3d9810 (__TEXT,__text) non-external (was a private external) _Convert_ARGBFFFFtoRGBFFF
000000018a3dbf10 (__TEXT,__text) non-external _Convert_BGR888toRGB888
000000018a5ae84c (__TEXT,__const) non-external _Convert_BGR888toRGB888.permuteMap
000000018a3e166c (__TEXT,__text) non-external _Convert_BGRA8888toRGB101010
000000018a3e1018 (__TEXT,__text) non-external _Convert_BGRA8888toRGB565
000000018a3d9768 (__TEXT,__text) non-external (was a private external) _Convert_BGRA8888toRGB888
000000018a3ee9c4 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16Q12
000000018a3ee9e4 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB16U
000000018a3ee9a4 (__TEXT,__text) non-external _Convert_CVRGB101010toARGB8888
000000018a3da42c (__TEXT,__text) non-external (was a private external) _Convert_FTo16U
000000018a3da77c (__TEXT,__text) non-external (was a private external) _Convert_Fto16Q12
000000018a3dd420 (__TEXT,__text) non-external _Convert_Indexed1toPlanar8
000000018a3dd7a4 (__TEXT,__text) non-external _Convert_Indexed2toPlanar8
000000018a3dd844 (__TEXT,__text) non-external _Convert_Indexed4toPlanar8
000000018a3e5178 (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16Q12
000000018a1cfcbc (__TEXT,__text) non-external _Convert_Planar16FtoPlanar16U
000000018a1ccdb8 (__TEXT,__text) non-external _Convert_Planar16Q12toPlanar16F
000000018a3e53dc (__TEXT,__text) non-external _Convert_Planar16UtoPlanar16F
000000018a3d9de8 (__TEXT,__text) non-external (was a private external) _Convert_Planar8To16U
000000018a3dda6c (__TEXT,__text) non-external _Convert_Planar8toARGB8888
000000018a3dda8c (__TEXT,__text) non-external _Convert_Planar8toIndexed1
000000018a3ddb48 (__TEXT,__text) non-external _Convert_Planar8toIndexed2
000000018a3ddc04 (__TEXT,__text) non-external _Convert_Planar8toIndexed4
000000018a3da01c (__TEXT,__text) non-external (was a private external) _Convert_Planar8toPlanarF
000000018a3dda50 (__TEXT,__text) non-external _Convert_Planar8toRGB888
000000018a3da350 (__TEXT,__text) non-external (was a private external) _Convert_PlanarFtoPlanar8
000000018a3e12e8 (__TEXT,__text) non-external _Convert_RGB101010toARGB8888
000000018a3e13b0 (__TEXT,__text) non-external _Convert_RGB101010toBGRA8888
000000018a3e1970 (__TEXT,__text) non-external _Convert_RGB101010toRGB16U
000000018a3e1490 (__TEXT,__text) non-external _Convert_RGB101010toRGB888
000000018a3e17b0 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16Q12
000000018a3e1890 (__TEXT,__text) non-external _Convert_RGB101010toRGBA16U
000000018a3e1180 (__TEXT,__text) non-external _Convert_RGB101010toRGBA8888
000000018a3e1c00 (__TEXT,__text) non-external _Convert_RGB101010toRGBAFFFF
000000018a3e1cd8 (__TEXT,__text) non-external _Convert_RGB101010toRGBFFF
000000018a3d9710 (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoARGB16U
000000018a3e1b6c (__TEXT,__text) non-external _Convert_RGB16UtoRGB101010
000000018a1cefbc (__TEXT,__text) non-external (was a private external) _Convert_RGB16UtoRGBA16U
000000018a3e0cac (__TEXT,__text) non-external _Convert_RGB565toABGR8888
000000018a3e0a8c (__TEXT,__text) non-external _Convert_RGB565toARGB8888
000000018a3e0c1c (__TEXT,__text) non-external _Convert_RGB565toBGRA8888
000000018a3e0d70 (__TEXT,__text) non-external _Convert_RGB565toRGB888
000000018a3e0b8c (__TEXT,__text) non-external _Convert_RGB565toRGBA8888
000000018a3d96f0 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toARGB8888
000000018a1c2ff0 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toBGRA8888
000000018a3e171c (__TEXT,__text) non-external _Convert_RGB888toRGB101010
000000018a3e10cc (__TEXT,__text) non-external _Convert_RGB888toRGB565
000000018a1c3e08 (__TEXT,__text) non-external (was a private external) _Convert_RGB888toRGBA8888
000000018a3e1a04 (__TEXT,__text) non-external _Convert_RGBA16Q12toRGB101010
000000018a3e1abc (__TEXT,__text) non-external _Convert_RGBA16UtoRGB101010
000000018a3d97bc (__TEXT,__text) non-external (was a private external) _Convert_RGBA16UtoRGB16U
000000018a3e0a00 (__TEXT,__text) non-external _Convert_RGBA5551toRGBA8888
000000018a3e1524 (__TEXT,__text) non-external _Convert_RGBA8888toRGB101010
000000018a1e4c18 (__TEXT,__text) non-external _Convert_RGBA8888toRGB565
000000018a3d9774 (__TEXT,__text) non-external (was a private external) _Convert_RGBA8888toRGB888
000000018a3e0f64 (__TEXT,__text) non-external _Convert_RGBA8888toRGBA5551
000000018a3e1d6c (__TEXT,__text) non-external _Convert_RGBAFFFFtoRGB101010
000000018a3d9804 (__TEXT,__text) non-external (was a private external) _Convert_RGBAFFFFtoRGBFFF
000000018a3d974c (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoARGBFFFF
000000018a3e1e1c (__TEXT,__text) non-external _Convert_RGBFFFtoRGB101010
000000018a3d9730 (__TEXT,__text) non-external (was a private external) _Convert_RGBFFFtoRGBAFFFF
000000018a2c6fc0 (__TEXT,__text) non-external _Convolve16F_GCDWork
000000018a1c3208 (__TEXT,__text) non-external (was a private external) _CopyImageTilingInfo
000000018a28031c (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGB8888
000000018a273838 (__TEXT,__text) non-external (was a private external) _CopyInPlace_ARGBFFFF
000000018a27ab4c (__TEXT,__text) non-external (was a private external) _CopyInPlace_Planar8
000000018a26dd9c (__TEXT,__text) non-external (was a private external) _CopyInPlace_PlanarF
000000018a1c3b90 (__TEXT,__text) non-external (was a private external) _Copy_Convert
000000018a3e87e8 (__TEXT,__text) non-external _CorrectWithinColorspace
00000001ee257988 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10_vtbl
00000001ee257a48 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16Q12To444CrYpCb10_vtbl
00000001ee2578c8 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo422CbYpCrYp16_vtbl
00000001ee2577a8 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB16UTo444AYpCbCr16_vtbl
00000001ee257aa8 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To420Yp8_Cb8_Cr8_vtbl
00000001ee257b68 (__AUTH_CONST,__const) non-external _CreateARGBtoYpCbCrMatrixPass.Convert_ARGB8888To420Yp8_CbCr8_vtbl
