                 (undefined) external _APP_SANDBOX_READ (from libsystem_sandbox)
00007ff8421194c8 (__DATA,__data) external _CMFSSEAM_DEFAULT
00007ff842117c10 (__DATA,__const) non-external ___block_descriptor_tmp.1
00007ff842118060 (__DATA,__const) non-external ___block_descriptor_tmp.1.251
00007ff8421181d0 (__DATA,__const) non-external ___block_descriptor_tmp.1.318
00007ff842118320 (__DATA,__const) non-external ___block_descriptor_tmp.1.376
00007ff8421185b0 (__DATA,__const) non-external ___block_descriptor_tmp.1.531
00007ff842118a18 (__DATA,__const) non-external ___block_descriptor_tmp.1.719
00007ff8421180c0 (__DATA,__const) non-external ___block_descriptor_tmp.10
00007ff842118150 (__DATA,__const) non-external ___block_descriptor_tmp.10.305
00007ff8421183d0 (__DATA,__const) non-external ___block_descriptor_tmp.10.372
00007ff842118bd0 (__DATA,__const) non-external ___block_descriptor_tmp.10.765
00007ff8421193f0 (__DATA,__const) non-external ___block_descriptor_tmp.108
00007ff842119420 (__DATA,__const) non-external ___block_descriptor_tmp.109
00007ff842118c00 (__DATA,__const) non-external ___block_descriptor_tmp.11
00007ff842119460 (__DATA,__const) non-external ___block_descriptor_tmp.112
00007ff8421188f0 (__DATA,__const) non-external ___block_descriptor_tmp.12
00007ff842118c30 (__DATA,__const) non-external ___block_descriptor_tmp.12.766
00007ff842118920 (__DATA,__const) non-external ___block_descriptor_tmp.13
00007ff842118c60 (__DATA,__const) non-external ___block_descriptor_tmp.13.772
00007ff842118190 (__DATA,__const) non-external ___block_descriptor_tmp.14
00007ff842118c90 (__DATA,__const) non-external ___block_descriptor_tmp.14.771
00007ff842117b20 (__DATA,__const) non-external ___block_descriptor_tmp.148
00007ff842118780 (__DATA,__const) non-external ___block_descriptor_tmp.15
00007ff842118960 (__DATA,__const) non-external ___block_descriptor_tmp.15.588
00007ff842117b50 (__DATA,__const) non-external ___block_descriptor_tmp.152
00007ff8421187b0 (__DATA,__const) non-external ___block_descriptor_tmp.16
00007ff842118cc0 (__DATA,__const) non-external ___block_descriptor_tmp.16.774
00007ff8421187e0 (__DATA,__const) non-external ___block_descriptor_tmp.17
00007ff842118cf0 (__DATA,__const) non-external ___block_descriptor_tmp.17.777
00007ff842117bf0 (__DATA,__const) non-external ___block_descriptor_tmp.175
00007ff842118d20 (__DATA,__const) non-external ___block_descriptor_tmp.18
00007ff842117c30 (__DATA,__const) non-external ___block_descriptor_tmp.2
00007ff8421181f0 (__DATA,__const) non-external ___block_descriptor_tmp.2.320
00007ff8421185e0 (__DATA,__const) non-external ___block_descriptor_tmp.2.532
00007ff842117c90 (__DATA,__const) non-external ___block_descriptor_tmp.24
00007ff842118d50 (__DATA,__const) non-external ___block_descriptor_tmp.24.778
00007ff842118030 (__DATA,__const) non-external ___block_descriptor_tmp.249
00007ff842117cc0 (__DATA,__const) non-external ___block_descriptor_tmp.26
00007ff842117cf0 (__DATA,__const) non-external ___block_descriptor_tmp.28
00007ff842118d80 (__DATA,__const) non-external ___block_descriptor_tmp.28.787
00007ff8421184c0 (__DATA,__const) non-external ___block_descriptor_tmp.29
00007ff842118db0 (__DATA,__const) non-external ___block_descriptor_tmp.29.790
00007ff842117c50 (__DATA,__const) non-external ___block_descriptor_tmp.3
00007ff842118210 (__DATA,__const) non-external ___block_descriptor_tmp.3.323
00007ff842118350 (__DATA,__const) non-external ___block_descriptor_tmp.3.367
00007ff842118610 (__DATA,__const) non-external ___block_descriptor_tmp.3.533
00007ff842118850 (__DATA,__const) non-external ___block_descriptor_tmp.3.596
00007ff842118a48 (__DATA,__const) non-external ___block_descriptor_tmp.3.724
00007ff842117d20 (__DATA,__const) non-external ___block_descriptor_tmp.30
00007ff842118de0 (__DATA,__const) non-external ___block_descriptor_tmp.30.791
00007ff8421180f0 (__DATA,__const) non-external ___block_descriptor_tmp.307
00007ff842117d60 (__DATA,__const) non-external ___block_descriptor_tmp.31
00007ff8421181b0 (__DATA,__const) non-external ___block_descriptor_tmp.313
00007ff842118500 (__DATA,__const) non-external ___block_descriptor_tmp.32
00007ff842117d90 (__DATA,__const) non-external ___block_descriptor_tmp.33
00007ff842118e10 (__DATA,__const) non-external ___block_descriptor_tmp.34
00007ff842117dc0 (__DATA,__const) non-external ___block_descriptor_tmp.35
00007ff842117df0 (__DATA,__const) non-external ___block_descriptor_tmp.36
00007ff842118e40 (__DATA,__const) non-external ___block_descriptor_tmp.36.795
00007ff8421182f0 (__DATA,__const) non-external ___block_descriptor_tmp.360
00007ff842118e70 (__DATA,__const) non-external ___block_descriptor_tmp.37
00007ff842118ea0 (__DATA,__const) non-external ___block_descriptor_tmp.38
00007ff842118ed0 (__DATA,__const) non-external ___block_descriptor_tmp.39
00007ff842118400 (__DATA,__const) non-external ___block_descriptor_tmp.395
00007ff842117c70 (__DATA,__const) non-external ___block_descriptor_tmp.4
00007ff842118230 (__DATA,__const) non-external ___block_descriptor_tmp.4.325
00007ff842118640 (__DATA,__const) non-external ___block_descriptor_tmp.4.534
00007ff842118ab0 (__DATA,__const) non-external ___block_descriptor_tmp.4.739
00007ff842118440 (__DATA,__const) non-external ___block_descriptor_tmp.403
00007ff842118f00 (__DATA,__const) non-external ___block_descriptor_tmp.41
00007ff842118480 (__DATA,__const) non-external ___block_descriptor_tmp.410
00007ff842118f30 (__DATA,__const) non-external ___block_descriptor_tmp.42
00007ff842118f60 (__DATA,__const) non-external ___block_descriptor_tmp.44
00007ff842118f90 (__DATA,__const) non-external ___block_descriptor_tmp.47
00007ff842118540 (__DATA,__const) non-external ___block_descriptor_tmp.473
00007ff842118fc0 (__DATA,__const) non-external ___block_descriptor_tmp.49
00007ff842117b80 (__DATA,__const) non-external ___block_descriptor_tmp.5
00007ff842118260 (__DATA,__const) non-external ___block_descriptor_tmp.5.348
00007ff842118ae0 (__DATA,__const) non-external ___block_descriptor_tmp.5.737
00007ff842118ff0 (__DATA,__const) non-external ___block_descriptor_tmp.50
00007ff842118580 (__DATA,__const) non-external ___block_descriptor_tmp.501
00007ff842119020 (__DATA,__const) non-external ___block_descriptor_tmp.55
00007ff842119050 (__DATA,__const) non-external ___block_descriptor_tmp.56
00007ff842118750 (__DATA,__const) non-external ___block_descriptor_tmp.568
00007ff842119080 (__DATA,__const) non-external ___block_descriptor_tmp.57
00007ff8421190b0 (__DATA,__const) non-external ___block_descriptor_tmp.58
00007ff842118810 (__DATA,__const) non-external ___block_descriptor_tmp.592
00007ff842118290 (__DATA,__const) non-external ___block_descriptor_tmp.6
00007ff842118890 (__DATA,__const) non-external ___block_descriptor_tmp.6.598
00007ff842118b10 (__DATA,__const) non-external ___block_descriptor_tmp.6.748
00007ff8421190e0 (__DATA,__const) non-external ___block_descriptor_tmp.62
00007ff842119110 (__DATA,__const) non-external ___block_descriptor_tmp.63
00007ff842119140 (__DATA,__const) non-external ___block_descriptor_tmp.64
00007ff842118000 (__DATA,__const) non-external ___block_descriptor_tmp.65
00007ff842119170 (__DATA,__const) non-external ___block_descriptor_tmp.65.813
00007ff8421191a0 (__DATA,__const) non-external ___block_descriptor_tmp.66
00007ff842118990 (__DATA,__const) non-external ___block_descriptor_tmp.669
00007ff8421191d0 (__DATA,__const) non-external ___block_descriptor_tmp.67
00007ff8421189b8 (__DATA,__const) non-external ___block_descriptor_tmp.691
00007ff8421182c0 (__DATA,__const) non-external ___block_descriptor_tmp.7
00007ff842118390 (__DATA,__const) non-external ___block_descriptor_tmp.7.377
00007ff842118670 (__DATA,__const) non-external ___block_descriptor_tmp.7.535
00007ff842118b40 (__DATA,__const) non-external ___block_descriptor_tmp.7.762
00007ff8421189e8 (__DATA,__const) non-external ___block_descriptor_tmp.715
00007ff842118a80 (__DATA,__const) non-external ___block_descriptor_tmp.735
00007ff842119200 (__DATA,__const) non-external ___block_descriptor_tmp.79
00007ff842118130 (__DATA,__const) non-external ___block_descriptor_tmp.8
00007ff8421186a0 (__DATA,__const) non-external ___block_descriptor_tmp.8.537
00007ff842118b70 (__DATA,__const) non-external ___block_descriptor_tmp.8.764
00007ff842119230 (__DATA,__const) non-external ___block_descriptor_tmp.81
00007ff842119260 (__DATA,__const) non-external ___block_descriptor_tmp.82
00007ff842119290 (__DATA,__const) non-external ___block_descriptor_tmp.83
00007ff8421192c0 (__DATA,__const) non-external ___block_descriptor_tmp.84
00007ff8421192f0 (__DATA,__const) non-external ___block_descriptor_tmp.88
00007ff842118090 (__DATA,__const) non-external ___block_descriptor_tmp.9
00007ff8421188c0 (__DATA,__const) non-external ___block_descriptor_tmp.9.599
00007ff842118ba0 (__DATA,__const) non-external ___block_descriptor_tmp.9.763
00007ff842119320 (__DATA,__const) non-external ___block_descriptor_tmp.90
00007ff842119350 (__DATA,__const) non-external ___block_descriptor_tmp.91
00007ff842119390 (__DATA,__const) non-external ___block_descriptor_tmp.94
00007ff8421193c0 (__DATA,__const) non-external ___block_descriptor_tmp.97
00007ff842117d40 (__DATA,__const) non-external ___block_literal_global
00007ff842118170 (__DATA,__const) non-external ___block_literal_global.11
00007ff842119440 (__DATA,__const) non-external ___block_literal_global.110
00007ff842118940 (__DATA,__const) non-external ___block_literal_global.14
00007ff842118110 (__DATA,__const) non-external ___block_literal_global.296
00007ff8421184e0 (__DATA,__const) non-external ___block_literal_global.30
00007ff842118520 (__DATA,__const) non-external ___block_literal_global.33
00007ff842118370 (__DATA,__const) non-external ___block_literal_global.366
00007ff842118420 (__DATA,__const) non-external ___block_literal_global.394
00007ff842118870 (__DATA,__const) non-external ___block_literal_global.4
00007ff842118460 (__DATA,__const) non-external ___block_literal_global.402
00007ff8421184a0 (__DATA,__const) non-external ___block_literal_global.409
00007ff842118560 (__DATA,__const) non-external ___block_literal_global.472
00007ff842118830 (__DATA,__const) non-external ___block_literal_global.587
00007ff8421183b0 (__DATA,__const) non-external ___block_literal_global.8
00007ff842119370 (__DATA,__const) non-external ___block_literal_global.832
                 (undefined) external ___bzero (from libsystem_platform)
00007ff80aed4f90 (__TEXT,__text) non-external ___container_acquire_sandbox_extension_block_invoke
00007ff80aeceef5 (__TEXT,__text) non-external ___container_bundle_copy_data_container_block_invoke
00007ff80aece496 (__TEXT,__text) non-external ___container_bundle_copy_data_container_path_block_invoke
00007ff80aed2d2c (__TEXT,__text) non-external ___container_copy_code_signing_info_for_identifier_block_invoke
00007ff80aed4d6b (__TEXT,__text) non-external ___container_copy_from_path_block_invoke
00007ff80aec7564 (__TEXT,__text) non-external ___container_copy_info_block_invoke
00007ff80aed1b21 (__TEXT,__text) non-external ___container_copy_info_value_for_key_block_invoke
00007ff80aec7bd2 (__TEXT,__text) non-external ___container_copy_object_block_invoke
00007ff80aec727b (__TEXT,__text) non-external ___container_copy_path_block_invoke
00007ff80aed4673 (__TEXT,__text) non-external ___container_copy_persona_unique_strings_block_invoke
00007ff80aec7a7a (__TEXT,__text) non-external ___container_copy_sandbox_token_block_invoke
00007ff80aed528a (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke
00007ff80aed5aa6 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_path_by_app_group_identifier_block_invoke_2
00007ff80aecff9e (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_current_user_block_invoke
00007ff80aed00ca (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_for_platform_block_invoke
00007ff80aed0387 (__TEXT,__text) non-external ___container_create_or_lookup_app_group_paths_from_entitlements_4ls_block_invoke
00007ff80aecf0cd (__TEXT,__text) non-external ___container_create_or_lookup_for_current_user_block_invoke
00007ff80aecf232 (__TEXT,__text) non-external ___container_create_or_lookup_for_platform_block_invoke
00007ff80aecda76 (__TEXT,__text) non-external ___container_create_or_lookup_path_block_invoke
00007ff80aecdba4 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_current_user_block_invoke
00007ff80aecdd09 (__TEXT,__text) non-external ___container_create_or_lookup_path_for_platform_block_invoke
00007ff80aecf779 (__TEXT,__text) non-external ___container_create_or_lookup_system_group_paths_block_invoke
00007ff80aed3dc7 (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_path_block_invoke
00007ff80aed3f3d (__TEXT,__text) non-external ___container_create_or_lookup_user_managed_assets_relative_path_block_invoke
00007ff80aed2a91 (__TEXT,__text) non-external ___container_delete_all_container_content_block_invoke
00007ff80aed28e3 (__TEXT,__text) non-external ___container_delete_all_data_container_content_for_current_user_block_invoke
00007ff80aed16bf (__TEXT,__text) non-external ___container_delete_array_of_containers_block_invoke
00007ff80aed1575 (__TEXT,__text) non-external ___container_delete_block_invoke
00007ff80aed406a (__TEXT,__text) non-external ___container_delete_user_managed_assets_block_invoke
00007ff80aed12c3 (__TEXT,__text) non-external ___container_delete_with_class_and_identifier_for_current_user_block_invoke
00007ff80aed25d4 (__TEXT,__text) non-external ___container_disk_usage_block_invoke
00007ff80aed4873 (__TEXT,__text) non-external ___container_flush_container_cache_block_invoke
00007ff80aed4a43 (__TEXT,__text) non-external ___container_flush_persona_cache_block_invoke
00007ff80aeb6fd5 (__TEXT,__text) non-external ___container_frozenset_enumerate_matches_block_invoke
00007ff80aed0890 (__TEXT,__text) non-external ___container_get_all_with_class_for_current_user_block_invoke
00007ff80aed062f (__TEXT,__text) non-external ___container_group_container_identifiers_for_current_user_block_invoke
00007ff80aec20e1 (__TEXT,__text) non-external ___container_internal_get_first_boot_uuid_block_invoke
00007ff80aed2f62 (__TEXT,__text) non-external ___container_invalidate_code_signing_cache_block_invoke
00007ff80aec2642 (__TEXT,__text) non-external ___container_log_handle_for_category_block_invoke
00007ff80aec9787 (__TEXT,__text) non-external ___container_object_separate_from_query
00007ff80aebda56 (__TEXT,__text) non-external ___container_operation_complete_background_tasks_block_invoke
00007ff80aebd15d (__TEXT,__text) non-external ___container_operation_delete_array_block_invoke
00007ff80aebcf40 (__TEXT,__text) non-external ___container_operation_delete_block_invoke
00007ff80aebd6d6 (__TEXT,__text) non-external ___container_operation_delete_reclaim_disk_space_block_invoke
00007ff80aeb9397 (__TEXT,__text) non-external ___container_paths_context_set_class_block_invoke
00007ff80aeb9592 (__TEXT,__text) non-external ___container_paths_context_set_flags_block_invoke
00007ff80aeb9691 (__TEXT,__text) non-external ___container_paths_context_set_persona_unique_string_block_invoke
00007ff80aeb9495 (__TEXT,__text) non-external ___container_paths_context_set_transient_block_invoke
00007ff80aeb97d7 (__TEXT,__text) non-external ___container_paths_context_set_uid_block_invoke
00007ff80aebb8a1 (__TEXT,__text) non-external ___container_paths_copy_container_root_path_for_context_block_invoke
00007ff80aebc5d7 (__TEXT,__text) non-external ___container_paths_copy_uid_home_relative_block_invoke
00007ff80aebbfde (__TEXT,__text) non-external ___container_paths_create_uid_home_relative_block_invoke
00007ff80aeba4e5 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke
00007ff80aebafda (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.23
00007ff80aebb4d4 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.25
00007ff80aebb1d3 (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke.29
00007ff80aebb25c (__TEXT,__text) non-external ___container_paths_enumerate_containers_at_block_invoke_2
00007ff80aecc77b (__TEXT,__text) non-external ___container_perfect_hash_create_block_invoke
00007ff80aed3385 (__TEXT,__text) non-external ___container_perform_data_migration_block_invoke
00007ff80aed359c (__TEXT,__text) non-external ___container_perform_data_migration_for_current_user_block_invoke
00007ff80aed4b76 (__TEXT,__text) non-external ___container_perform_with_client_context_block_invoke
00007ff80aec2466 (__TEXT,__text) non-external ___container_persona_collect_all_ids_block_invoke
00007ff80aed235d (__TEXT,__text) non-external ___container_process_restored_container_block_invoke
00007ff80aecd94e (__TEXT,__text) non-external ___container_pwd_copy_user_home_path_block_invoke
00007ff80aecd1a8 (__TEXT,__text) non-external ___container_pwd_for_name_block_invoke
00007ff80aecd4ea (__TEXT,__text) non-external ___container_pwd_for_uid_block_invoke
00007ff80aec6911 (__TEXT,__text) non-external ___container_query_copy_block_invoke
00007ff80aec5194 (__TEXT,__text) non-external ___container_query_count_results_block_invoke
00007ff80aec6131 (__TEXT,__text) non-external ___container_query_get_single_result_block_invoke
00007ff80aec5f18 (__TEXT,__text) non-external ___container_query_iterate_results_sync_block_invoke
00007ff80aec63b5 (__TEXT,__text) non-external ___container_query_iterate_results_with_identifier_sync_block_invoke
00007ff80aec66ec (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke
00007ff80aec6714 (__TEXT,__text) non-external ___container_query_iterate_results_with_subquery_sync_block_invoke.5
00007ff80aed1dc1 (__TEXT,__text) non-external ___container_recreate_structure_block_invoke
00007ff80aebf7d3 (__TEXT,__text) non-external ___container_references_add_block_invoke
00007ff80aec0fa0 (__TEXT,__text) non-external ___container_references_iterate_by_group_sync_block_invoke
00007ff80aec0423 (__TEXT,__text) non-external ___container_references_iterate_by_owner_sync_block_invoke
00007ff80aebf5a4 (__TEXT,__text) non-external ___container_references_operation_set_flags_block_invoke
00007ff80aec027c (__TEXT,__text) non-external ___container_references_remove_block_invoke
00007ff80aebef23 (__TEXT,__text) non-external ___container_references_set_class_block_invoke
00007ff80aebf379 (__TEXT,__text) non-external ___container_references_set_persona_unique_string_block_invoke
00007ff80aebf256 (__TEXT,__text) non-external ___container_references_set_uid_block_invoke
00007ff80aed1ff1 (__TEXT,__text) non-external ___container_regenerate_uuid_block_invoke
00007ff80aed5be2 (__TEXT,__text) non-external ___container_repair_user_data_block_invoke
00007ff80aed0a29 (__TEXT,__text) non-external ___container_replace_block_invoke
00007ff80aeb77bf (__TEXT,__text) non-external ___container_retry_test_block_invoke
00007ff80aec3932 (__TEXT,__text) non-external ___container_seam_fs_ensure_lazy_loaded_block_invoke
00007ff80aed10a7 (__TEXT,__text) non-external ___container_set_code_signing_info_for_identifier_block_invoke
00007ff80aed30cc (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke
00007ff80aed322d (__TEXT,__text) non-external ___container_set_data_protection_for_current_user_block_invoke_2
00007ff80aed1859 (__TEXT,__text) non-external ___container_set_info_value_block_invoke
00007ff80aeb7971 (__TEXT,__text) non-external ___container_set_test_lock_block_invoke
00007ff80aed3708 (__TEXT,__text) non-external ___container_stage_shared_system_content_block_invoke
00007ff80aecac39 (__TEXT,__text) non-external ___container_string_rom_create_block_invoke
00007ff80aed42b4 (__TEXT,__text) non-external ___container_subdirectories_for_class_block_invoke
00007ff80aecf5a2 (__TEXT,__text) non-external ___container_system_group_path_for_identifier_block_invoke
00007ff80aecf3cd (__TEXT,__text) non-external ___container_system_path_for_identifier_block_invoke
00007ff80aed397c (__TEXT,__text) non-external ___container_user_managed_assets_path_block_invoke
00007ff80aed3c4f (__TEXT,__text) non-external ___container_user_managed_assets_relative_path_block_invoke
00007ff80aebe518 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke
00007ff80aebecc6 (__TEXT,__text) non-external ___container_xpc_create_connection_block_invoke_2
00007ff80aeb5aed (__TEXT,__text) non-external ___container_xpc_decode_create_container_object_array_block_invoke
00007ff80aec1160 (__TEXT,__text) non-external ___container_xpc_send_message_block_invoke
00007ff80aec1973 (__TEXT,__text) non-external ___container_xpc_send_sync_message_block_invoke
00007ff8421189b0 (__DATA,__const) non-external ___containermanager_what
00007ff80aebb656 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ff80aebb680 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ff80aebb1d9 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r48r
00007ff80aebaf25 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r48r56r
00007ff80aeb7043 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ff80aeb5b5d (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ff80aebc3d4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00007ff80aebb66d (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ff80aebb6b8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ff80aebb223 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r48r
00007ff80aebaf81 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r48r56r
00007ff80aeb705a (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ff80aeb5b95 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00007ff80aebc41e (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
                 (undefined) external ___error (from libsystem_kernel)
00007ff842119958 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.notify_token
00007ff842119960 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.onceToken
00007ff842119950 (__DATA,__bss) non-external ___initialize_container_sandbox_extensions.queue
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___strlcpy_chk (from libsystem_c)
00007ff80aec1526 (__TEXT,__text) non-external __block_invoke
00007ff80aece570 (__TEXT,__text) non-external __common_bundle_lookup
00007ff80aed33b3 (__TEXT,__text) non-external __common_perform_data_migration
00007ff80aed39b6 (__TEXT,__text) non-external __common_user_managed_assets_path
00007ff80aebf81a (__TEXT,__text) non-external __container_add_remove
00007ff80aed0ee0 (__TEXT,__text) non-external __container_async_reclaim_disk_space
00007ff8421199a0 (__DATA,__bss) non-external __container_async_reclaim_disk_space.onceToken
00007ff842119998 (__DATA,__bss) non-external __container_async_reclaim_disk_space.queue
00007ff80aec9cac (__TEXT,__text) non-external __container_base64_decode
00007ff80aec1f3c (__TEXT,__text) non-external __container_entitlements_append_strings_to_array
00007ff80aec1fb2 (__TEXT,__text) external __container_init
00007ff80aecddea (__TEXT,__text) non-external __container_legacy_lookup
00007ff80aecf90f (__TEXT,__text) non-external __container_legacy_lookup_multiple
00007ff80aec34d5 (__TEXT,__text) non-external __container_log_replication_enable_to_uid_relative_path
00007ff8421197cc (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.enabled
00007ff8421197c0 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.g_log_hook
00007ff8421197c8 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.lock
00007ff8421194c4 (__DATA,__data) non-external __container_log_replication_enable_to_uid_relative_path.log_fd
00007ff8421197d0 (__DATA,__bss) non-external __container_log_replication_enable_to_uid_relative_path.onceToken
00007ff842117f20 (__DATA,__const) non-external __container_paths_definition_from_type.definitions
00007ff842117e20 (__DATA,__const) non-external __container_paths_get_volume_relative_path._relative_paths
00007ff842117ea0 (__DATA,__const) non-external __container_paths_get_volume_relative_path._transient_relative_paths
00007ff80aebc2e8 (__TEXT,__text) non-external __container_paths_in_reverse_order_from_type_do
00007ff80aebafc8 (__TEXT,__text) non-external __container_paths_passthru_dispatch_async
00007ff80aecd2ff (__TEXT,__text) non-external __container_pwd
00007ff80aec51bc (__TEXT,__text) non-external __container_query_execute
00007ff80aec67af (__TEXT,__text) external __container_query_get_servicing_pid
00007ff80aec4622 (__TEXT,__text) non-external __container_query_log_if_error
00007ff80aec4716 (__TEXT,__text) non-external __container_query_replace_error
00007ff80aec45f0 (__TEXT,__text) non-external __container_query_set_usage_error
00007ff80aec0ffd (__TEXT,__text) external __container_references_get_servicing_pid
00007ff80aebf06b (__TEXT,__text) non-external __container_references_log_if_error
00007ff80aec046f (__TEXT,__text) non-external __container_references_query_execute
00007ff80aebf01f (__TEXT,__text) non-external __container_references_replace_error
00007ff80aebc9d0 (__TEXT,__text) non-external __container_serialize_copy_deserialized_reference_v1
00007ff8421196b8 (__DATA,__bss) non-external __container_xpc_invalidate_shared_connection_after_timeout.onceToken
00007ff8421196b0 (__DATA,__bss) non-external __container_xpc_invalidate_shared_connection_after_timeout.queue
00007ff8421196d0 (__DATA,__bss) non-external __container_xpc_pthread_key_for_client_context.key
00007ff8421196d8 (__DATA,__bss) non-external __container_xpc_pthread_key_for_client_context.onceToken
00007ff8421196c8 (__DATA,__bss) non-external __incomingPreprocessor
                 (undefined) external __os_activity_create (from libsystem_trace)
