00007ffc105493d3 (__TEXT,__text) non-external _Done_iODBC
00007ffc10541eea (__TEXT,__text) external _SQLConnectW
00007ffc105415a9 (__TEXT,__text) non-external _SQLConnect_Internal
00007ffc10566de3 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00007ffc105584e9 (__TEXT,__text) external _SQLCopyDesc
00007ffc1054ddf1 (__TEXT,__text) external _SQLDataSources
00007ffc1054df19 (__TEXT,__text) external _SQLDataSourcesA
00007ffc1054e041 (__TEXT,__text) external _SQLDataSourcesW
00007ffc1054d990 (__TEXT,__text) non-external _SQLDataSources_Internal
00007ffc414966a0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
00007ffc414966c0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
00007ffc414966c8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
00007ffc1055269a (__TEXT,__text) external _SQLDescribeCol
00007ffc10552887 (__TEXT,__text) external _SQLDescribeColA
00007ffc10552a74 (__TEXT,__text) external _SQLDescribeColW
00007ffc105523e8 (__TEXT,__text) non-external _SQLDescribeCol_Internal
00007ffc105466e8 (__TEXT,__text) external _SQLDescribeParam
00007ffc10544a4d (__TEXT,__text) external _SQLDisconnect
00007ffc10543aca (__TEXT,__text) external _SQLDriverConnect
00007ffc10543c6b (__TEXT,__text) external _SQLDriverConnectA
00007ffc10543e0c (__TEXT,__text) external _SQLDriverConnectW
00007ffc10542081 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffc10566e06 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffc10566e29 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffc1054e6aa (__TEXT,__text) external _SQLDrivers
00007ffc1054e7d2 (__TEXT,__text) external _SQLDriversA
00007ffc1054e8fa (__TEXT,__text) external _SQLDriversW
00007ffc1054e290 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffc414966a4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffc414966d0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffc414966d8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffc105592bc (__TEXT,__text) external _SQLEndTran
00007ffc10549d83 (__TEXT,__text) external _SQLError
00007ffc10549e68 (__TEXT,__text) external _SQLErrorA
00007ffc10549f4d (__TEXT,__text) external _SQLErrorW
00007ffc10545c04 (__TEXT,__text) external _SQLExecDirect
00007ffc10545d40 (__TEXT,__text) external _SQLExecDirectA
00007ffc10545e7c (__TEXT,__text) external _SQLExecDirectW
00007ffc105459cc (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffc10545730 (__TEXT,__text) external _SQLExecute
00007ffc10546e06 (__TEXT,__text) external _SQLExtendedFetch
00007ffc10546b6c (__TEXT,__text) external _SQLFetch
00007ffc10559580 (__TEXT,__text) external _SQLFetchScroll
00007ffc105469b4 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffc1053ddb3 (__TEXT,__text) external _SQLForeignKeys
00007ffc1053dfd5 (__TEXT,__text) external _SQLForeignKeysA
00007ffc1053e1f7 (__TEXT,__text) external _SQLForeignKeysW
00007ffc1053da12 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffc10547acb (__TEXT,__text) external _SQLFreeConnect
00007ffc10547a2b (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffc10549353 (__TEXT,__text) external _SQLFreeEnv
00007ffc105492e2 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffc10553ae5 (__TEXT,__text) external _SQLFreeHandle
00007ffc1054c882 (__TEXT,__text) external _SQLFreeStmt
00007ffc1054c651 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffc10563969 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffc10556729 (__TEXT,__text) external _SQLGetConnectAttr
00007ffc10556c22 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffc10556d73 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffc1055687a (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffc10548992 (__TEXT,__text) external _SQLGetConnectOption
00007ffc10548ab8 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffc10548bde (__TEXT,__text) external _SQLGetConnectOptionW
00007ffc10551af5 (__TEXT,__text) external _SQLGetCursorName
00007ffc10551c56 (__TEXT,__text) external _SQLGetCursorNameA
00007ffc10551db7 (__TEXT,__text) external _SQLGetCursorNameW
00007ffc105518bd (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffc10546f8f (__TEXT,__text) external _SQLGetData
00007ffc10557146 (__TEXT,__text) external _SQLGetDescField
00007ffc105572c6 (__TEXT,__text) external _SQLGetDescFieldA
00007ffc10557446 (__TEXT,__text) external _SQLGetDescFieldW
00007ffc10556ec4 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffc10557d56 (__TEXT,__text) external _SQLGetDescRec
00007ffc10557f08 (__TEXT,__text) external _SQLGetDescRecA
00007ffc105580ba (__TEXT,__text) external _SQLGetDescRecW
00007ffc10557b59 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffc1054bbfc (__TEXT,__text) external _SQLGetDiagField
00007ffc1054bce4 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffc1054bdcc (__TEXT,__text) external _SQLGetDiagFieldW
00007ffc1054aaed (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffc1054a820 (__TEXT,__text) external _SQLGetDiagRec
00007ffc1054a90f (__TEXT,__text) external _SQLGetDiagRecA
00007ffc1054a9fe (__TEXT,__text) external _SQLGetDiagRecW
00007ffc1054a032 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffc105541f7 (__TEXT,__text) external _SQLGetEnvAttr
00007ffc1054f636 (__TEXT,__text) external _SQLGetFunctions
00007ffc1054f231 (__TEXT,__text) external _SQLGetInfo
00007ffc1054f388 (__TEXT,__text) external _SQLGetInfoA
00007ffc1054f4df (__TEXT,__text) external _SQLGetInfoW
00007ffc1054eb49 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffc105667f1 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffc1056682a (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffc10566274 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffc105664e0 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffc10554b98 (__TEXT,__text) external _SQLGetStmtAttr
00007ffc10554d0e (__TEXT,__text) external _SQLGetStmtAttrA
00007ffc10554e84 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffc105543b5 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffc1054d0a4 (__TEXT,__text) external _SQLGetStmtOption
00007ffc1054d1e1 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffc1054cea5 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffc1053ab98 (__TEXT,__text) external _SQLGetTypeInfo
00007ffc1053acc2 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffc1053adec (__TEXT,__text) external _SQLGetTypeInfoW
00007ffc1053aa00 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffc1054733a (__TEXT,__text) external _SQLMoreResults
00007ffc10544e38 (__TEXT,__text) external _SQLNativeSql
00007ffc10544fb4 (__TEXT,__text) external _SQLNativeSqlA
00007ffc10545130 (__TEXT,__text) external _SQLNativeSqlW
00007ffc10544bb4 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffc105464d4 (__TEXT,__text) external _SQLNumParams
00007ffc10552204 (__TEXT,__text) external _SQLNumResultCols
00007ffc10546245 (__TEXT,__text) external _SQLParamData
00007ffc10550c69 (__TEXT,__text) external _SQLParamOptions
00007ffc1054fee0 (__TEXT,__text) external _SQLPrepare
00007ffc1055001c (__TEXT,__text) external _SQLPrepareA
00007ffc10550158 (__TEXT,__text) external _SQLPrepareW
00007ffc1054fce8 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffc1053e677 (__TEXT,__text) external _SQLPrimaryKeys
00007ffc1053e847 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffc1053ea17 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffc1053e419 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffc1053eea3 (__TEXT,__text) external _SQLProcedureColumns
00007ffc1053f09a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffc1053f291 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffc1053ebe7 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffc1053f6e6 (__TEXT,__text) external _SQLProcedures
00007ffc1053f8b6 (__TEXT,__text) external _SQLProceduresA
00007ffc1053fa86 (__TEXT,__text) external _SQLProceduresW
00007ffc1053f488 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffc10545fb8 (__TEXT,__text) external _SQLPutData
00007ffc105630e0 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffc10563248 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffc10551f18 (__TEXT,__text) external _SQLRowCount
00007ffc10566863 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffc10556157 (__TEXT,__text) external _SQLSetConnectAttr
00007ffc105564a9 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffc105565e9 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffc10556297 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffc105481f3 (__TEXT,__text) external _SQLSetConnectOption
00007ffc10548319 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffc1054843f (__TEXT,__text) external _SQLSetConnectOptionW
00007ffc10550443 (__TEXT,__text) external _SQLSetCursorName
00007ffc10550585 (__TEXT,__text) external _SQLSetCursorNameA
00007ffc105506c7 (__TEXT,__text) external _SQLSetCursorNameW
00007ffc10550294 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffc1055775a (__TEXT,__text) external _SQLSetDescField
00007ffc105578af (__TEXT,__text) external _SQLSetDescFieldA
00007ffc10557a04 (__TEXT,__text) external _SQLSetDescFieldW
00007ffc105575c6 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffc1055826c (__TEXT,__text) external _SQLSetDescRec
00007ffc10554007 (__TEXT,__text) external _SQLSetEnvAttr
00007ffc10554124 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffc10566d8f (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffc10566da0 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffc105514b0 (__TEXT,__text) external _SQLSetParam
00007ffc1054771a (__TEXT,__text) external _SQLSetPos
00007ffc10550f77 (__TEXT,__text) external _SQLSetScrollOptions
00007ffc10555d28 (__TEXT,__text) external _SQLSetStmtAttr
00007ffc10555e8d (__TEXT,__text) external _SQLSetStmtAttrA
00007ffc10555ff2 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffc10554ffa (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffc1054c9ba (__TEXT,__text) external _SQLSetStmtOption
00007ffc1054cd69 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffc1054caf6 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffc1053b1ca (__TEXT,__text) external _SQLSpecialColumns
00007ffc1053b3b7 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffc1053b5a4 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffc1053af16 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffc1053ba26 (__TEXT,__text) external _SQLStatistics
00007ffc1053bc29 (__TEXT,__text) external _SQLStatisticsA
00007ffc1053be2c (__TEXT,__text) external _SQLStatisticsW
00007ffc1053b791 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffc1053feb4 (__TEXT,__text) external _SQLTablePrivileges
00007ffc10540084 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffc10540254 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffc1053fc56 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffc1053c2eb (__TEXT,__text) external _SQLTables
00007ffc1053c4e2 (__TEXT,__text) external _SQLTablesA
00007ffc1053c6d9 (__TEXT,__text) external _SQLTablesW
00007ffc1053c02f (__TEXT,__text) non-external _SQLTables_Internal
00007ffc10548ff9 (__TEXT,__text) external _SQLTransact
00007ffc10548d04 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffc10563a54 (__TEXT,__text) non-external _SQLValidDSN
00007ffc10563ab3 (__TEXT,__text) non-external _SQLValidDSNW
00007ffc10562e8b (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffc10562f36 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffc105669c4 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffc10566be5 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffc1054dd9f (__TEXT,__text) non-external _SectSorter
00007ffc105639b6 (__TEXT,__text) non-external _ValidDSN
00007ffc10563a08 (__TEXT,__text) non-external _ValidDSNW
00007ffc105668ba (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffc10553ecc (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc10545530 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc10545550 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffc10564b85 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffc41496710 (__DATA,__common) non-external __iodbc_env_counter
00007ffc10563437 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffc1054d7b2 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffc1054d880 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffc10546c89 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffc1054c5fe (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffc10548565 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffc105520e3 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffc1054c84c (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffc10547baa (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffc1054068c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffc105475c4 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffc1054d835 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffc1054d519 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffc41496718 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffc1054d93a (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffc1053aafd (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffc1053ab50 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffc105652bd (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffc105644f4 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffc10564d2b (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffc105649b4 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffc1056444c (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffc1054fb1a (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffc1056559c (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffc10564c5a (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffc1054fb8d (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffc1054fa10 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffc10564525 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffc10564c34 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffc105437e1 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffc105655ce (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffc10564a7e (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffc1054fbd9 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffc10564e29 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffc10563683 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffc10543579 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffc1054d5c7 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffc1054d6c3 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffc105436a3 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffc10545673 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffc105456ba (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffc105455d3 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffc105455c9 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffc105456ec (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffc105408fe (__TEXT,__text) non-external __iodbcdm_driverload
00007ffc105410c0 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffc1054c515 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffc10548188 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffc10540489 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffc105493dc (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffc10545443 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffc10563729 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffc1054557a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffc414966b8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffc105657ac (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffc105656ec (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffc1055238c (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffc10552330 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffc105452ac (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffc10540430 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffc10566dc0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffc1054331c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffc105439d5 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffc10540563 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffc10543933 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffc105493ff (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffc105636cd (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffc105456c4 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffc10549462 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffc105638eb (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffc1056389b (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffc10548de3 (__TEXT,__text) non-external __iodbcdm_transact
00007ffc40285020 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffc40285cc0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffc40285d70 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffc402850e0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffc40285180 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffc40285820 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffc40285860 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffc40285530 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffc402858b0 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffc402858d0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffc402858f0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffc402855e0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffc40285920 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffc40285940 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffc40284ff0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffc40285000 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffc40285500 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffc40285970 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffc402859c0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffc402859e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffc402859f0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffc40285a40 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffc40285a60 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffc40285ae0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffc40285af0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffc40285b20 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffc40285b40 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffc40285bc0 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffc40285c00 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffc40285c10 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffc40285c20 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffc40285c30 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffc40285c50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffc40285c70 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffc40285c90 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffc40285ca0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffc40285be0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffc40285130 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffc40285670 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffc40285620 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffc40285650 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffc40285e00 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffc40285e20 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffc40285ee0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffc40285690 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffc40285520 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffc402856b0 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffc402851b0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffc40285280 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffc40285f00 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffc402852a0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffc402852b0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffc402856d0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffc40285f20 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffc40285f40 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffc40285740 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffc40285710 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffc40285f60 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffc402852d0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffc40285300 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
