                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
000000018c916dd8 (__TEXT,__text) external _BNNSAffineGridSample
000000018c7af9f0 (__TEXT,__text) external _BNNSGraphContextSetWeights
000000018c7af700 (__TEXT,__text) external _BNNSGraphContextSetWorkspaceAllocationCallback_v2
000000018c7b0f50 (__TEXT,__text) external _BNNSGraphDumpIR_v2
000000018c7ae214 (__TEXT,__text) external _BNNSGraphE5Validate
000000018c7ae4e8 (__TEXT,__text) external _BNNSGraphE5ValidateGetSupportedVersion
000000018c696564 (__TEXT,__text) external _BNNSGraphExecute
000000018c7b0b54 (__TEXT,__text) external _BNNSGraphExecute_v2
000000018c696528 (__TEXT,__text) external _BNNSGraphGetArgPosition
000000018c7ac738 (__TEXT,__text) external _BNNSGraphGetArgumentCount
000000018c7ac958 (__TEXT,__text) external _BNNSGraphGetArgumentIntents
000000018c7acbf0 (__TEXT,__text) external _BNNSGraphGetArgumentInterleaveFactors
000000018c7abd70 (__TEXT,__text) external _BNNSGraphGetArgumentNames
000000018c7b05e8 (__TEXT,__text) external _BNNSGraphGetArgumentPosition
000000018c7b1ce4 (__TEXT,__text) external _BNNSGraphGetDebugString
000000018c7aa438 (__TEXT,__text) external _BNNSGraphGetFunctionCount
000000018c7aa600 (__TEXT,__text) external _BNNSGraphGetFunctionNames
000000018c7ac530 (__TEXT,__text) external _BNNSGraphGetInputCount
000000018c695ae4 (__TEXT,__text) external _BNNSGraphGetInputNames
000000018c7aba60 (__TEXT,__text) external _BNNSGraphGetInputNames_v2
000000018c695cd0 (__TEXT,__text) external _BNNSGraphGetNumInputs
000000018c695d08 (__TEXT,__text) external _BNNSGraphGetNumOutputs
000000018c7b1550 (__TEXT,__text) external _BNNSGraphGetOperationCount
000000018c7b194c (__TEXT,__text) external _BNNSGraphGetOperationTypeName
000000018c7ac324 (__TEXT,__text) external _BNNSGraphGetOutputCount
000000018c695c80 (__TEXT,__text) external _BNNSGraphGetOutputNames
000000018c7ac044 (__TEXT,__text) external _BNNSGraphGetOutputNames_v2
000000018c7b1e00 (__TEXT,__text) external _BNNSGraphGetPackageVersion
000000018c7b1534 (__TEXT,__text) external _BNNSGraphGetPerformanceDataSize
000000018c695b34 (__TEXT,__text) external _BNNSGraphGetSize
000000018c7ad414 (__TEXT,__text) external _BNNSGraphGetTensor
000000018c695d40 (__TEXT,__text) external _BNNSGraphGetTensorDescriptor
000000018c7ace90 (__TEXT,__text) external _BNNSGraphGetTensorDescriptor_v2
000000018c7b08b4 (__TEXT,__text) external _BNNSGraphGetUserData
000000018c6964f4 (__TEXT,__text) external _BNNSGraphGetWorkspaceSize
000000018c7b03e4 (__TEXT,__text) external _BNNSGraphGetWorkspaceSize_v2
000000018c7b133c (__TEXT,__text) external _BNNSGraphIRtoDot_v2
000000018c6959d4 (__TEXT,__text) external _BNNSGraphOptionsCreateDefault
000000018c695a14 (__TEXT,__text) external _BNNSGraphOptionsSetDebugInfo
000000018c695abc (__TEXT,__text) external _BNNSGraphOptionsSetDownconvertMode
000000018c695a94 (__TEXT,__text) external _BNNSGraphOptionsSetOptimizationPreference
000000018c695a64 (__TEXT,__text) external _BNNSGraphOptionsSetOutputPath
000000018c695a3c (__TEXT,__text) external _BNNSGraphOptionsSetPredefinedOptimizations
000000018c6959ec (__TEXT,__text) external _BNNSGraphOptionsSetSingleThread
000000018c7adb70 (__TEXT,__text) external _BNNSGraphTensorFillStrides
000000018c916dd4 (__TEXT,__text) external _BNNSGumbelMax
000000018c9209a8 (__TEXT,__text) external _BNNSInitGumbel
000000018c91d418 (__TEXT,__text) external _BNNSLossFilterApplyBackwardBatch
000000018c91cff8 (__TEXT,__text) external _BNNSLossFilterApplyBatch
000000018c915e98 (__TEXT,__text) external _BNNSMatMul
000000018c915dc4 (__TEXT,__text) external _BNNSMatMulWorkspaceSize
000000018c921540 (__TEXT,__text) external _BNNSNDArrayConvolutionSparsify
000000018c921544 (__TEXT,__text) external _BNNSNDArrayConvolutionSparsifySparseCOO
000000018c921524 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsify
000000018c921528 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsifySparseCOO
000000018c921534 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsifySparseCSR
000000018c921550 (__TEXT,__text) external _BNNSNDArrayGetDataSize
000000018c915db0 (__TEXT,__text) external _BNNSNearestNeighborsGetInfo
000000018c915dac (__TEXT,__text) external _BNNSNearestNeighborsLoad
000000018c91ff20 (__TEXT,__text) external _BNNSNormalizationFilterApplyBackwardBatch
000000018c9193b4 (__TEXT,__text) external _BNNSNormalizationFilterApplyBatch
000000018c91c050 (__TEXT,__text) external _BNNSOptimizerStep
000000018c91e9a8 (__TEXT,__text) external _BNNSPermuteFilterApplyBackwardBatch
000000018c920940 (__TEXT,__text) external _BNNSPoolingFilterApplyBackwardBatch
000000018c916728 (__TEXT,__text) external _BNNSPoolingFilterApplyBackwardBatchEx
000000018c91e974 (__TEXT,__text) external _BNNSPoolingFilterApplyBatch
000000018c916278 (__TEXT,__text) external _BNNSPoolingFilterApplyBatchEx
000000018c70dedc (__TEXT,__text) external _BNNSPose384InitFromPointers
000000018c70be18 (__TEXT,__text) external _BNNSPoseExecute
000000018c70b9c4 (__TEXT,__text) external _BNNSPoseInitFromPointers
000000018c918854 (__TEXT,__text) external _BNNSRandomFillCategoricalFloat
000000018c9186d4 (__TEXT,__text) external _BNNSRandomFillNormalFloat
000000018c9183dc (__TEXT,__text) external _BNNSRandomFillUniformFloat
000000018c91855c (__TEXT,__text) external _BNNSRandomFillUniformInt
000000018c9183d4 (__TEXT,__text) external _BNNSRandomGeneratorGetState
000000018c9183d8 (__TEXT,__text) external _BNNSRandomGeneratorSetState
000000018c9183d0 (__TEXT,__text) external _BNNSRandomGeneratorStateSize
000000018c915dc0 (__TEXT,__text) external _BNNSRecommendDataLayoutsContraction
000000018c915dbc (__TEXT,__text) external _BNNSRecommendDataLayoutsMultiHeadAttention
000000018c7aa04c (__TEXT,__text) external _BNNSRepackWeightsFromFile
000000018c7cf730 (__TEXT,__text) external _BNNSSGemvDWS
000000018c7cf30c (__TEXT,__text) external _BNNSSGemvDiscontiguousDWS
000000018c91626c (__TEXT,__text) external _BNNSScatter
000000018c916274 (__TEXT,__text) external _BNNSScatterND
000000018cc68900 (__TEXT,__text) external _BNNSSetNetwork
000000018cbc833c (__TEXT,__text) external _BNNSSetup
000000018c916c7c (__TEXT,__text) external _BNNSShuffle
000000018c917d0c (__TEXT,__text) external _BNNSSparseEmbeddingApplyBackward
000000018c918230 (__TEXT,__text) external _BNNSSparseEmbeddingGetDense
000000018c9180c0 (__TEXT,__text) external _BNNSSparseEmbeddingOptimizerStep
000000018c917994 (__TEXT,__text) external _BNNSSparseGetRepresentation
000000018c917b50 (__TEXT,__text) external _BNNSSparseSetRepresentation
000000018c921554 (__TEXT,__text) external _BNNSTensorGetAllocationSize
000000018c915db4 (__TEXT,__text) external _BNNSTile
000000018c915db8 (__TEXT,__text) external _BNNSTileBackward
000000018c91bbe8 (__TEXT,__text) external _BNNSTranspose
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryContainsKey (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) weak external __ZN3MIL10IROperator4MakeENSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEENS1_10shared_ptrINS1_13unordered_mapIS7_NS8_INS_11IRParameterEEENS1_4hashIS7_EENS1_8equal_toIS7_EENS5_INS1_4pairIKS7_SB_EEEEEEEENS8_INS1_6vectorISB_NS5_ISB_EEEEEENS1_8functionIFNS_16ValidationResultERKNS_11IROperationEEEENSQ_IFNS8_IKNS_7IRValueEEESU_EEE (from MIL)
                 (undefined) weak external __ZN3MIL10MILContext4MakeEv (from MIL)
                 (undefined) weak external __ZN3MIL11IRParameter11MakeTypeSetESt16initializer_listIPKNS_11IRValueTypeEE (from MIL)
                 (undefined) weak external __ZN3MIL11IRParameter4MakeENSt3__110shared_ptrINS1_13unordered_setIPKNS_11IRValueTypeENS1_4hashIS6_EENS1_8equal_toIS6_EENS1_9allocatorIS6_EEEEEE (from MIL)
                 (undefined) weak external __ZN3MIL13ParserOptions4MakeEv (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultC1ENSt3__110shared_ptrIKNS_8LocationEEENS_16ValidationReasonENS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultC1Ev (from MIL)
                 (undefined) weak external __ZN3MIL16ValidationResultD1Ev (from MIL)
                 (undefined) weak external __ZN3MIL17IRTensorValueType10MakeScalarERNS_10MILContextENS_10IRDataTypeE (from MIL)
                 (undefined) weak external __ZN3MIL17IRTensorValueType13MakeWithShapeERNS_10MILContextENS_10IRDataTypeEONSt3__16vectorIPKNS_11IRDimensionENS4_9allocatorIS8_EEEE (from MIL)
                 (undefined) weak external __ZN3MIL18IRUnknownDimension4MakeERNS_10MILContextEb (from MIL)
                 (undefined) weak external __ZN3MIL19IRConstantDimension4MakeERNS_10MILContextEy (from MIL)
                 (undefined) weak external __ZN3MIL4Text20ParseProgramFromFileENSt3__110shared_ptrINS_10MILContextEEERKNS_13ParserOptionsE (from MIL)
                 (undefined) weak external __ZN3MIL7IROpset10RegisterOpEONSt3__110shared_ptrIKNS_10IROperatorEEE (from MIL)
                 (undefined) weak external __ZN3MIL7IROpsetC2Ev (from MIL)
                 (undefined) weak external __ZN3MIL7IROpsetD2Ev (from MIL)
000000018c695700 (__TEXT,__text) external __ZN4bnns12GraphCompileE16BNNSTargetSystemONSt3__110unique_ptrIN3MIL9IRProgramENS1_14default_deleteIS4_EEEENS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEPKNS_12GraphOptionsE
000000018c7a8a8c (__TEXT,__text) external __ZN4bnns12GraphCompileEONSt3__110unique_ptrIN3MIL9IRProgramENS0_14default_deleteIS3_EEEEPKc28bnns_graph_compile_options_t
000000018c7a868c (__TEXT,__text) external __ZN4bnns12GraphCompileERKN3MIL9IRProgramEPKc28bnns_graph_compile_options_t
000000018c547818 (__TEXT,__text) external __ZN4bnns12GraphOptions14DefaultOptionsEv
000000018c547960 (__TEXT,__text) external __ZN4bnns12GraphOptions17set_single_threadEb
000000018c547970 (__TEXT,__text) external __ZN4bnns12GraphOptions23set_generate_debug_infoEb
000000018c547980 (__TEXT,__text) external __ZN4bnns12GraphOptions28set_predefined_optimizationsEj
000000018c547814 (__TEXT,__text) external __ZN4bnns12GraphOptionsD0Ev
000000018c547810 (__TEXT,__text) external __ZN4bnns12GraphOptionsD1Ev
000000018c54780c (__TEXT,__text) external __ZN4bnns12GraphOptionsD2Ev
000000018c7a8d70 (__TEXT,__text) external __ZN4bnns13RepackWeightsEONSt3__110unique_ptrIN3MIL9IRProgramENS0_14default_deleteIS3_EEEE12bnns_graph_t28bnns_graph_compile_options_t
000000018c7a8af8 (__TEXT,__text) external __ZN4bnns13RepackWeightsERKN3MIL9IRProgramE12bnns_graph_t28bnns_graph_compile_options_t
000000018c904e64 (__TEXT,__text) external __ZN4bnns14RegisterOpsetsERN3MIL10MILContextE
000000018c70e458 (__TEXT,__text) external __ZN4bnns15PoseInitFromMILEPvPKN3MIL9IRProgramE
                 (undefined) weak external __ZNK3MIL10IRArgument7GetNameEv (from MIL)
                 (undefined) weak external __ZNK3MIL10IRProperty10AsConstantEv (from MIL)
                 (undefined) weak external __ZNK3MIL10IRProperty13TryAsConstantEv (from MIL)
                 (undefined) weak external __ZNK3MIL10MILContext8GetOpsetERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (from MIL)
                 (undefined) weak external __ZNK3MIL11IRListValue9GetValuesEv (from MIL)
                 (undefined) weak external __ZNK3MIL11IROperation14IsParameterSetERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE (from MIL)
                 (undefined) weak external __ZNK3MIL11IROperation15GetArgumentNameERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEj (from MIL)
                 (undefined) weak external __ZNK3MIL11IROperation16GetParameterTypeERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEj (from MIL)
                 (undefined) weak external __ZNK3MIL11IROperation17GetParameterValueERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEj (from MIL)
                 (undefined) weak external __ZNK3MIL11IROperation19TryGetParameterTypeERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEj (from MIL)
                 (undefined) weak external __ZNK3MIL11IROperation20TryGetParameterValueERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEj (from MIL)
                 (undefined) weak external __ZNK3MIL11IRValueType12AsTensorTypeEv (from MIL)
                 (undefined) weak external __ZNK3MIL11IRValueType18TryCastAsStateTypeEv (from MIL)
                 (undefined) weak external __ZNK3MIL11IRValueType25TryCastAsMemoryLayoutTypeEv (from MIL)
                 (undefined) weak external __ZNK3MIL12IRTupleValue9GetValuesEv (from MIL)
                 (undefined) weak external __ZNK3MIL13IRTensorValue11GetDataViewINS_4Bf16EEENS_4Util4SpanIKT_Lm18446744073709551615EEEv (from MIL)
                 (undefined) weak external __ZNK3MIL13IRTensorValue11GetDataViewINS_4Fp16EEENS_4Util4SpanIKT_Lm18446744073709551615EEEv (from MIL)
                 (undefined) weak external __ZNK3MIL13IRTensorValue11GetDataViewINS_4Int4EEENS_4Util4SpanIKT_Lm18446744073709551615EEEv (from MIL)
                 (undefined) weak external __ZNK3MIL13IRTensorValue11GetDataViewINS_5UInt1EEENS_4Util4SpanIKT_Lm18446744073709551615EEEv (from MIL)
                 (undefined) weak external __ZNK3MIL13IRTensorValue11GetDataViewINS_5UInt2EEENS_4Util4SpanIKT_Lm18446744073709551615EEEv (from MIL)
