00007ff843ad7718 (__DATA,__data) non-external _C
00007ff801dcad08 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff801dcad3f (__TEXT,__text) non-external __GBK_mbrtowc
00007ff801dcae3d (__TEXT,__text) non-external __GBK_mbsinit
00007ff801dcae00 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff801dcb2d0 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff801dcb307 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff801dcb577 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff801dcb3e3 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff801d78499 (__TEXT,__text) external __NSGetArgc
00007ff801d7848c (__TEXT,__text) external __NSGetArgv
00007ff801d71d5d (__TEXT,__text) external __NSGetEnviron
00007ff801d71e06 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff801d77855 (__TEXT,__text) external __NSGetProgname
00007ff843ad98d8 (__DATA,__common) external __PathLocale
00007ff801d96b95 (__TEXT,__text) external __Read_RuneMagi
00007ff801dde8b7 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff801dde904 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff801ddeaed (__TEXT,__text) non-external __UTF2_mbsinit
00007ff801ddeb08 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff801ddea66 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff801ddec74 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff801d9777b (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff801d991a6 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff801dcbc23 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff801d9944a (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff801d99bd5 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff801dcbc3e (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff801d82296 (__TEXT,__text) external ___Balloc_D2A
00007ff801d82461 (__TEXT,__text) external ___Bfree_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff801db35b9 (__TEXT,__text) external ____mb_cur_max
00007ff801db35e7 (__TEXT,__text) external ____mb_cur_max_l
00007ff801d87bc7 (__TEXT,__text) external ____runetype
00007ff801d87bef (__TEXT,__text) external ____runetype_l
00007ff801dcbb23 (__TEXT,__text) external ____tolower
00007ff801dcba73 (__TEXT,__text) external ____tolower_l
00007ff801dcbbfb (__TEXT,__text) external ____toupper
00007ff801dcbb4b (__TEXT,__text) external ____toupper_l
00007ff801df15f5 (__TEXT,__text) non-external (was a private external) ___abort
00007ff801dbe258 (__TEXT,__text) external ___add_ovflpage
00007ff801dbdfc9 (__TEXT,__text) external ___addel
00007ff801d86e48 (__TEXT,__text) external ___any_on_D2A
00007ff801df06ce (__TEXT,__text) external ___assert_rtn
00007ff8438d6848 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff801d93d21 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8438d6850 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff801d9ad82 (__TEXT,__text) external ___b2d_D2A
00007ff801dbc7ee (__TEXT,__text) external ___big_delete
00007ff801dbc534 (__TEXT,__text) external ___big_insert
00007ff801dbce19 (__TEXT,__text) external ___big_keydata
00007ff801dbcabc (__TEXT,__text) external ___big_return
00007ff801dbcf8d (__TEXT,__text) external ___big_split
00007ff801df3c00 (__TEXT,__const) external ___bigtens_D2A
00007ff801db760f (__TEXT,__text) external ___bt_close
00007ff801dbb24e (__TEXT,__text) external ___bt_cmp
00007ff801dbb2ee (__TEXT,__text) external ___bt_defcmp
00007ff801dbb335 (__TEXT,__text) external ___bt_defpfx
00007ff801db7a8a (__TEXT,__text) external ___bt_delete
00007ff801db80da (__TEXT,__text) external ___bt_dleaf
00007ff801db8f10 (__TEXT,__text) external ___bt_fd
00007ff801db9f22 (__TEXT,__text) non-external ___bt_first
00007ff801db92c3 (__TEXT,__text) external ___bt_free
00007ff801db8724 (__TEXT,__text) external ___bt_get
00007ff801db92f4 (__TEXT,__text) external ___bt_new
00007ff801db87fc (__TEXT,__text) external ___bt_open
00007ff801db8496 (__TEXT,__text) non-external ___bt_pdelete
00007ff801db77a9 (__TEXT,__text) external ___bt_pgin
00007ff801db793d (__TEXT,__text) external ___bt_pgout
00007ff801db9347 (__TEXT,__text) external ___bt_put
00007ff801db869b (__TEXT,__text) non-external ___bt_relink
00007ff801dbb09c (__TEXT,__text) external ___bt_ret
00007ff801db98b7 (__TEXT,__text) external ___bt_search
00007ff801db9b10 (__TEXT,__text) external ___bt_seq
00007ff801db9ed8 (__TEXT,__text) external ___bt_setcur
00007ff801dba0f3 (__TEXT,__text) external ___bt_split
00007ff801db7d8e (__TEXT,__text) non-external ___bt_stkacq
00007ff801db76db (__TEXT,__text) external ___bt_sync
00007ff801dbd55e (__TEXT,__text) external ___buf_free
00007ff801dbd526 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff8438d42e8 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff801de957d (__TEXT,__text) non-external ___calc_left_pad
00007ff801dbc108 (__TEXT,__text) external ___call_hash
00007ff843ad7c40 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff801def8e2 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff801def8f4 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff801da2b3e (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff801d778c3 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff801dacfa0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff801dacfc0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff8438d68d0 (__DATA_DIRTY,__common) external ___cleanup
00007ff801d833c4 (__TEXT,__text) external ___cmp_D2A
00007ff801dc926c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff801dc9464 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff801dc9635 (__TEXT,__text) external ___collate_equiv_match
00007ff801d8e79a (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff801dc9a92 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
00007ff801df0f93 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
00007ff801df0fb6 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
00007ff801dc8bbe (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff843ad7830 (__DATA,__data) external ___collate_load_error
00007ff801d95f2e (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff843ad92b0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff801dc85e6 (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff801dc909c (__TEXT,__text) external ___collate_lookup
00007ff801dc8f23 (__TEXT,__text) external ___collate_lookup_l
00007ff801dc915d (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff801dc9cc7 (__TEXT,__text) non-external ___collate_pri_for
00007ff801df0fd9 (__TEXT,__text) non-external ___collate_pri_for.cold.1
00007ff801dca2d7 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff843ad92b8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff843ad92c0 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff801d93d10 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff801d85f1a (__TEXT,__text) external ___copybits_D2A
00007ff801dad847 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff801dad21f (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff843ad8980 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff843ad9868 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff801de2f8f (__TEXT,__text) non-external ___cvt
00007ff843ad97f0 (__DATA,__bss) non-external ___cvt.s
00007ff801d780bb (__TEXT,__text) external ___cxa_atexit
00007ff801d9ccd2 (__TEXT,__text) external ___cxa_finalize
00007ff801d9cd0a (__TEXT,__text) external ___cxa_finalize_ranges
00007ff801ddef0f (__TEXT,__text) external ___cxa_thread_atexit
00007ff801d82174 (__TEXT,__text) external ___d2b_D2A
00007ff8438d6888 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff801dbb41e (__TEXT,__text) non-external ___dberr
00007ff801dbb3f9 (__TEXT,__text) external ___dbpanic
00007ff843ad7740 (__DATA,__data) external ___default_hash
00007ff801de7a27 (__TEXT,__text) external ___default_utx
00007ff843ad7bf0 (__DATA,__data) non-external ___default_utx.once
00007ff801de7a47 (__TEXT,__text) non-external ___default_utx_init
00007ff801dbd768 (__TEXT,__text) external ___delpair
00007ff801d95e9b (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff801d832c3 (__TEXT,__text) external ___diff_D2A
00007ff8438d4fa0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff801d81208 (__TEXT,__text) external ___dtoa
00007ff801de7b6d (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff8438d68e0 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff801ddef7c (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff843ad9788 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff801da319d (__TEXT,__text) non-external (was a private external) ___errstr
00007ff801d87461 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff801dbbfb5 (__TEXT,__text) external ___expand_table
00007ff843ad9580 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff801d84e5e (__TEXT,__text) external ___fflush
00007ff801dd0a21 (__TEXT,__text) external ___fgetwc
00007ff801dd2344 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff801dbc932 (__TEXT,__text) external ___find_bigpair
00007ff801dbca46 (__TEXT,__text) external ___find_last_page
00007ff801dd3434 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff801d71d6a (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff801d97ec9 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff801dca8ad (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff801dd1108 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff801d7e7ce (__TEXT,__text) external ___fread
00007ff801dbeb37 (__TEXT,__text) external ___free_ovflpage
00007ff801d824ac (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff843ad7c44 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff801d83ade (__TEXT,__text) non-external ___fts_open
00007ff801d83d7e (__TEXT,__text) non-external ___fts_open
00007ff801dc0f10 (__TEXT,__text) external ___gdtoa
00007ff843ad98a0 (__DATA,__common) external ___gdtoa_locks
00007ff801dbd11c (__TEXT,__text) external ___get_buf
00007ff801dcae7c (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff801d76b48 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff801d76b6b (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff801d9443e (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff801d9ee02 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff801dbe611 (__TEXT,__text) external ___get_page
00007ff801d9d5f8 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8438d6810 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff801dcae9f (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff801de7c31 (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff801de7f98 (__TEXT,__text) non-external ___getutxid
00007ff801da1cc0 (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff801da16f7 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff801dc50cc (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff801da1a90 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff801da0843 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff801da1803 (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff801d9fc6a (__TEXT,__text) non-external ___glob
00007ff801d9ffda (__TEXT,__text) non-external ___glob
00007ff8438d3d20 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff801d93dd5 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff801dbb42c (__TEXT,__text) external ___hash_open
00007ff801da87d4 (__TEXT,__text) external ___hdtoa
00007ff801d7fcfc (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff801d85d3c (__TEXT,__text) external ___hi0bits_D2A
00007ff801dc0c2d (__TEXT,__text) external ___hldtoa
00007ff801d82f79 (__TEXT,__text) external ___i2b_D2A
00007ff801dbea77 (__TEXT,__text) external ___ibitmap
00007ff801dcf7f0 (__TEXT,__text) non-external ___inaddr_to_index
00007ff801df1155 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff801de2371 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff801dcb75e (__TEXT,__text) external ___isctype
00007ff801dcb6f4 (__TEXT,__text) external ___istype
00007ff801dcb839 (__TEXT,__text) external ___istype_l
00007ff8438d48e8 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff8438d4f90 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff801de33d8 (__TEXT,__text) external ___ldtoa
00007ff801db6669 (__TEXT,__text) external ___libc_init
00007ff801d82395 (__TEXT,__text) external ___lo0bits_D2A
00007ff801d874f7 (__TEXT,__text) non-external ___loadevp
00007ff8438d42e0 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff801dbd74c (__TEXT,__text) external ___log2
00007ff843ad98c0 (__DATA,__common) non-external (was a private external) ___logname
00007ff843ad7770 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff801df4a90 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff801d831e7 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff801d87b75 (__TEXT,__text) external ___maskrune
00007ff801dcb7e4 (__TEXT,__text) external ___maskrune_l
00007ff801dc2157 (__TEXT,__text) external ___match_D2A
00007ff843ad796c (__DATA,__data) external ___mb_cur_max
00007ff843ad7970 (__DATA,__data) external ___mb_sb_limit
00007ff801dd8d52 (__TEXT,__text) non-external ___mbsconv
00007ff801dcb088 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff801def906 (__TEXT,__text) external ___memccpy_chk
00007ff801d77aa8 (__TEXT,__text) external ___memcpy_chk
00007ff801d784a6 (__TEXT,__text) external ___memmove_chk
00007ff801d80955 (__TEXT,__text) external ___memset_chk
00007ff801d983a1 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff843ad92c8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff801d977c8 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff843ad92d8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff801d830a3 (__TEXT,__text) external ___mult_D2A
00007ff801d82ee0 (__TEXT,__text) external ___multadd_D2A
00007ff801dd076d (__TEXT,__text) non-external ___nls_free_resources
00007ff801df42f9 (__TEXT,__const) non-external ___nogrouping
00007ff801d85cf9 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff801db3458 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff801d97f88 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff843ad92e8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff801d963ce (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff801dedfef (__TEXT,__text) external ___opendir2
00007ff801d76f0e (__TEXT,__text) external ___opendir2$INODE64
00007ff801d784b8 (__TEXT,__text) non-external ___opendir_common
00007ff801d786cf (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff801db9209 (__TEXT,__text) external ___ovfl_delete
00007ff801db903f (__TEXT,__text) external ___ovfl_get
00007ff801db911a (__TEXT,__text) external ___ovfl_put
00007ff801d85bf2 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8438d6828 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff8438d6820 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8438d4d78 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff801d97c88 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff843ad98c8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff843ad77b0 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff801d82f9c (__TEXT,__text) external ___pow5mult_D2A
00007ff801df3bf0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff801de6b14 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff801df1a07 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff801de58f6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff801df188b (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff801de59e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff801df18ac (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff801de6528 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff801df18f2 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff801da5ac1 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff801df1913 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff801de7123 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff801df1a75 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff801de7105 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff801de67df (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff801df1996 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff801de6879 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff801df19b9 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff801da5a90 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff801df19e6 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff801de6c66 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff801df1a30 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff801de6f66 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff801df1a51 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff801da51b0 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff801da5b47 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff801da6b8c (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff801dd4a91 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff801da63d4 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff801de7083 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff801da60bb (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff801de6b52 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff801de5910 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff801de5a17 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff801df18cf (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff801de654a (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff801da6459 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff801df1936 (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff801df1959 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff801de713d (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff801de710d (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff801de6807 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff801de6893 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff801da6141 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff801de6c80 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff801de6f80 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff801d9d0a0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8438d4fc0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff801dbe7ad (__TEXT,__text) external ___put_page
00007ff801df443f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff801de81dd (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff801d85daa (__TEXT,__text) external ___quorem_D2A
00007ff801d9acdf (__TEXT,__text) external ___ratio_D2A
00007ff801dbf385 (__TEXT,__text) external ___rec_close
00007ff801dbf67c (__TEXT,__text) external ___rec_delete
00007ff801dbf78c (__TEXT,__text) external ___rec_dleaf
00007ff801dc010f (__TEXT,__text) external ___rec_fd
00007ff801dbfbf3 (__TEXT,__text) external ___rec_fmap
00007ff801dbf985 (__TEXT,__text) external ___rec_fpipe
00007ff801dbf8a1 (__TEXT,__text) external ___rec_get
00007ff801dc042c (__TEXT,__text) external ___rec_iput
00007ff801dbfdc1 (__TEXT,__text) external ___rec_open
00007ff801dc015c (__TEXT,__text) external ___rec_put
00007ff801dc09d0 (__TEXT,__text) external ___rec_ret
00007ff801dc067e (__TEXT,__text) external ___rec_search
00007ff801dc081c (__TEXT,__text) external ___rec_seq
00007ff801dbf444 (__TEXT,__text) external ___rec_sync
