00000001def5bde0 (__TEXT,__text) non-external _DiToMD5
00000001def4b040 (__TEXT,__text) external _OSArrayAppendValue
00000001def4ab9c (__TEXT,__text) external _OSArrayApply
00000001def4ab28 (__TEXT,__text) external _OSArrayCreate
00000001def49ffc (__TEXT,__text) external _OSArrayGetCount
00000001def4b0e8 (__TEXT,__text) external _OSArrayGetStringValue
00000001def4b198 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001def4b074 (__TEXT,__text) external _OSArrayGetValue
00000001def4b038 (__TEXT,__text) external _OSArrayReplaceValue
00000001def4b114 (__TEXT,__text) external _OSArraySetStringValue
00000001def4b2a0 (__TEXT,__text) external _OSArraySetUInt64Value
00000001def4ae4c (__TEXT,__text) external _OSArraySetValue
00000001f1f8dc98 (__AUTH_CONST,__const) external _OSArray_Class
00000001f1f8dd90 (__AUTH_CONST,__const) external _OSBoolean_Class
00000001f1f8de88 (__AUTH_CONST,__const) external _OSBundle_Class
00000001def48b5c (__TEXT,__text) external _OSCollectionTypeID
00000001def6f53c (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001def48a8c (__TEXT,__text) external _OSCollectionTypeName
00000001def6f4e4 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000001f1f8df80 (__AUTH_CONST,__const) external _OSCollection_Class
00000001def4e2e4 (__TEXT,__text) external _OSCollectionsInitialize
00000001f1f8e078 (__AUTH_CONST,__const) external _OSContainer_Class
00000001def48be4 (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001def6f594 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001def4bd54 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001def6fc1c (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001def4bc1c (__TEXT,__text) external _OSCreateSerializationFromObject
00000001def49e1c (__TEXT,__text) external _OSDataAppendBytes
00000001def49d68 (__TEXT,__text) external _OSDataCreate
00000001def6f7a4 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001def49cfc (__TEXT,__text) external _OSDataGetBytes
00000001def49cb0 (__TEXT,__text) external _OSDataGetBytesPtr
00000001def49cec (__TEXT,__text) external _OSDataGetLength
00000001f1f8e1d8 (__AUTH_CONST,__const) external _OSData_Class
00000001def4a008 (__TEXT,__text) external _OSDictionaryApply
00000001def49f7c (__TEXT,__text) external _OSDictionaryCreate
00000001def49ff0 (__TEXT,__text) external _OSDictionaryGetCount
00000001def4a7d8 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001def4a9e0 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001def4a738 (__TEXT,__text) external _OSDictionaryGetValue
00000001def4a95c (__TEXT,__text) external _OSDictionarySetStringValue
00000001def4aaa8 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001def4a360 (__TEXT,__text) external _OSDictionarySetValue
00000001f1f8e2d0 (__AUTH_CONST,__const) external _OSDictionary_Class
00000001f1f8e3c8 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001def49f04 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001def49edc (__TEXT,__text) external _OSNumberGetUInt64Value
00000001f1f8e4c0 (__AUTH_CONST,__const) external _OSNumber_Class
00000001def4c340 (__TEXT,__text) external _OSObjectLog
00000001def48aec (__TEXT,__text) external _OSObjectRelease
00000001def48ac8 (__TEXT,__text) external _OSObjectRetain
00000001f1f8e5b8 (__AUTH_CONST,__const) external _OSObject_Class
00000001f1f8e768 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001def3c494 (__TEXT,__text) external _OSReportWithBacktrace
00000001def4be98 (__TEXT,__text) external _OSSerializationGetBytes
00000001f1f8e860 (__AUTH_CONST,__const) external _OSSerialization_Class
00000001f1f8e958 (__AUTH_CONST,__const) external _OSSet_Class
00000001def49674 (__TEXT,__text) external _OSStringCreate
00000001def6f670 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001def6f69c (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001def6f6c8 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001def4961c (__TEXT,__text) external _OSStringGetLength
00000001def495e0 (__TEXT,__text) external _OSStringGetStringPtr
00000001f1f8ea50 (__AUTH_CONST,__const) external _OSString_Class
00000001def3bf28 (__TEXT,__text) external _OSSynchronizeIO
00000001e98f05c0 (__DATA,__bss) non-external _OSUniqueStrings
00000001def3c87c (__TEXT,__text) external _PE_i_can_has_debugger
00000001def5c2d8 (__TEXT,__text) external _SHA1Final
00000001def5c060 (__TEXT,__text) external _SHA1Init
00000001def5c260 (__TEXT,__text) non-external _SHA1ToDi
00000001def5c188 (__TEXT,__text) external _SHA1Update
00000001def5cdd0 (__TEXT,__text) external _SHA256_Final
00000001def5cd30 (__TEXT,__text) external _SHA256_Init
00000001def70700 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001def5cd80 (__TEXT,__text) external _SHA256_Update
00000001def5ceb4 (__TEXT,__text) external _SHA384_Final
00000001def5ce14 (__TEXT,__text) external _SHA384_Init
00000001def70728 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001def5ce64 (__TEXT,__text) external _SHA384_Update
00000001def5cf98 (__TEXT,__text) external _SHA512_Final
00000001def5cef8 (__TEXT,__text) external _SHA512_Init
00000001def70750 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001def5cf48 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001def3d530 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001def5cfdc (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00000001f1f8eb48 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
00000001e98f0590 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001def3d8a4 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001def6da28 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001def6da54 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001def3f69c (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001def6e21c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001def6e248 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001def6e274 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001def6e2a0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001def6e2cc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001def3e49c (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001def6de28 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001def6de54 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001def6de80 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001def6deac (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001def3dbb0 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001def6db04 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001def4b050 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001def4e274 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001def3d6f8 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001def6d9a4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001def6d9d0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001def6d9fc (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001def4b1c4 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001def4b274 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001def4b1f0 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001def3d904 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001def4b6a0 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001def6fabc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001def6fae8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001def6fb14 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001def6fb40 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001def6fb6c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001def6fb98 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001def3ba80 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001def3bbd4 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001def3def0 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001def6db5c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001def3e070 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001def3fae8 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001def3d664 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001def3d5a8 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001def4beb4 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001def6fc48 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001def3dab4 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001def6daac (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001def6dad8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001def48ba0 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001def6f568 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001def48b10 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001def6f510 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001def3a958 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001def49c48 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001def4b320 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001def6f854 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001def6f880 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001def6f8ac (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001def6f8d8 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001def6f904 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001def49c10 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001def49eb8 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001def4b464 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001def6f930 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001def6f95c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001def6f988 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001def3faa0 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001def3ef44 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001def6c1d0 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001def3b950 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001def3cd50 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001def6d920 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001def48608 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001def6bfe0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001def4d438 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001def71380 (__TEXT,__const) non-external __ZL11yytranslate
00000001def6d684 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001def6b8f4 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001def6c0d0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001def6c328 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001def6c390 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001def499c4 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001def49974 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001def6f6f4 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001def6cb50 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001def5d584 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001def63090 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001def46ed4 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001def6f1f8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001def6f224 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001def6f250 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001def6c068 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001def62e88 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001def411d8 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001def6eaec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001def6eb18 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001def6eb44 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001def6eb70 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001def6006c (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001def62b68 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001def6b1fc (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001def6c168 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001def3f8e4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001def6e42c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001def6e458 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001def6e484 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001def6e4b0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001def40754 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001def6e870 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001def6e89c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001def6e8c8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001def6e8f4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001def47fe4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001def6f32c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001def6f358 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001def6f384 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001def6f3b0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001def6f3dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001def6f408 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001def6f434 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00000001e98f05a8 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001def5d674 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001def69930 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001def6a970 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001def6c138 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001def47f7c (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001def3f780 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001def6e2f8 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001def6e324 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
