000000018042ebbc (__TEXT,__text) external _OSAtomicAdd32
00000001804311e0 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
000000018042c69c (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180431190 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
000000018042c80c (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804311b8 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
000000018042e370 (__TEXT,__text) external __platform_bzero
0000000180430b94 (__TEXT,__text) external __platform_memccpy
000000018042c200 (__TEXT,__text) external __platform_memchr
000000018042c310 (__TEXT,__text) external __platform_memcmp
0000000180430c20 (__TEXT,__text) external __platform_memcmp_zero_aligned8
000000018042e6a0 (__TEXT,__text) external __platform_memmove
000000018042e3d0 (__TEXT,__text) external __platform_memset
000000018042c4a0 (__TEXT,__text) external __platform_memset_pattern16
000000018042c460 (__TEXT,__text) external __platform_memset_pattern4
000000018042c480 (__TEXT,__text) external __platform_memset_pattern8
000000018042e9a0 (__TEXT,__text) external __platform_strchr
000000018042bb90 (__TEXT,__text) external __platform_strcmp
000000018042c198 (__TEXT,__text) external __platform_strcpy
00000001dd5b22a0 (__AUTH_CONST,__const) non-external __platform_string_functions
000000018042cc00 (__TEXT,__text) external __platform_strlcat
000000018042c3e8 (__TEXT,__text) external __platform_strlcpy
000000018042bec0 (__TEXT,__text) external __platform_strlen
000000018042bcf0 (__TEXT,__text) external __platform_strncmp
000000018042c940 (__TEXT,__text) external __platform_strncpy
000000018042be20 (__TEXT,__text) external __platform_strnlen
000000018042c8b8 (__TEXT,__text) external __platform_strstr
0000000180430fcc (__TEXT,__text) non-external (was a private external) __setcontext
000000018042cab4 (__TEXT,__text) external __setjmp
000000018042ea4c (__TEXT,__text) non-external (was a private external) __sigtramp
000000018042ef00 (__TEXT,__text) non-external (was a private external) __sigunaltstack
000000018042ff8c (__TEXT,__text) non-external __simple_asl_connect
000000018042d9fc (__TEXT,__text) non-external __simple_asl_connect_once
000000018042d6c4 (__TEXT,__text) non-external __simple_asl_escape_key
000000018042d738 (__TEXT,__text) non-external __simple_asl_escape_val
000000018043003c (__TEXT,__text) external __simple_asl_get_fd
000000018042e4a4 (__TEXT,__text) non-external (was a private external) __simple_asl_init
000000018042e67c (__TEXT,__text) non-external __simple_asl_init_context
000000018042d440 (__TEXT,__text) external __simple_asl_log
000000018042d4c4 (__TEXT,__text) external __simple_asl_log_prog
000000018042d504 (__TEXT,__text) external __simple_asl_msg_new
000000018042d550 (__TEXT,__text) external __simple_asl_msg_set
000000018042d834 (__TEXT,__text) external __simple_asl_send
0000000180430238 (__TEXT,__text) external __simple_dprintf
000000018042f7b8 (__TEXT,__text) external __simple_esappend
000000018042d694 (__TEXT,__text) external __simple_esprintf
000000018042e2c0 (__TEXT,__text) external __simple_getenv
00000001804303a4 (__TEXT,__text) external __simple_put
00000001804303ac (__TEXT,__text) external __simple_putline
000000018042cc9c (__TEXT,__text) external __simple_salloc
000000018042d798 (__TEXT,__text) external __simple_sappend
000000018042d0bc (__TEXT,__text) external __simple_sfree
000000018042cd48 (__TEXT,__text) external __simple_sprintf
000000018042d800 (__TEXT,__text) external __simple_sresize
000000018042d0ac (__TEXT,__text) external __simple_string
00000001804300d4 (__TEXT,__text) external __simple_vdprintf
000000018042ef38 (__TEXT,__text) external __simple_vesprintf
000000018042cd20 (__TEXT,__text) external __simple_vsprintf
000000018042ea18 (__TEXT,__text) external __spin_lock
00000001804309a0 (__TEXT,__text) external __spin_lock_try
000000018042ea34 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001db86d858 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
000000018042d150 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
000000018042c044 (__TEXT,__text) external _ffs
000000018042c05c (__TEXT,__text) external _ffsl
000000018042c05c (__TEXT,__text) external _ffsll
000000018042c074 (__TEXT,__text) external _fls
000000018042c084 (__TEXT,__text) external _flsl
000000018042c084 (__TEXT,__text) external _flsll
00000001d8fc80b8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180431090 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
000000018042cd80 (__TEXT,__text) non-external _hex
000000018042cbc4 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180430d94 (__TEXT,__text) external _makecontext
0000000180430b90 (__TEXT,__text) non-external (was a private external) _memset
00000001804303f4 (__TEXT,__text) non-external _oct
000000018042ea9c (__TEXT,__text) external _os_lock_lock
000000018042edfc (__TEXT,__text) external _os_lock_trylock
000000018042eacc (__TEXT,__text) external _os_lock_unlock
000000018042f920 (__TEXT,__text) external _os_log_simple_now
000000018042f924 (__TEXT,__text) external _os_log_simple_type_from_asl
0000000180431690 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
000000018042c620 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180431304 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
000000018042c014 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001804312dc (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
000000018042bff0 (__TEXT,__text) external _os_unfair_lock_lock
00000001804309d4 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
000000018042bb00 (__TEXT,__text) external _os_unfair_lock_lock_with_options
000000018042c9c0 (__TEXT,__text) external _os_unfair_lock_trylock
000000018042bb20 (__TEXT,__text) external _os_unfair_lock_unlock
00000001804309ec (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
000000018042bb3c (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180430a00 (__TEXT,__text) external _os_unfair_recursive_lock_owned
000000018042dc48 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
000000018042ca34 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
000000018042bc68 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180430a1c (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
000000018043132c (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180430ec8 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180430f64 (__TEXT,__text) external _setcontext
000000018042cb84 (__TEXT,__text) external _setjmp
000000018042cbb8 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
000000018042cb78 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
000000018042ea18 (__TEXT,__text) external _spin_lock
00000001804309a0 (__TEXT,__text) external _spin_lock_try
000000018042ea34 (__TEXT,__text) external _spin_unlock
0000000180430cd8 (__TEXT,__text) external _swapcontext
000000018043082c (__TEXT,__text) external _sys_cache_control
00000001804308cc (__TEXT,__text) external _sys_dcache_flush
0000000180430878 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
000000018042da68 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001804305b0 (__TEXT,__text) non-external _ydec
