00007ff80ebff4a7 (__TEXT,__text) non-external _Annihilate
00007ff80ec1de12 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80ebf6f63 (__TEXT,__text) non-external _InitializeH6
00007ff80ebf4a64 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80ec0b76f (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80ec139aa (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80ec1395c (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80ec13881 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80ec48dfa (__TEXT,__text) non-external _MapStaticContexts
00007ff80ebf728d (__TEXT,__text) non-external _PrepareH35
00007ff80ebf6fca (__TEXT,__text) non-external _PrepareH4
00007ff80ebf70ee (__TEXT,__text) non-external _PrepareH40
00007ff80ebf70ee (__TEXT,__text) non-external _PrepareH41
00007ff80ebf7186 (__TEXT,__text) non-external _PrepareH42
00007ff80ebf7031 (__TEXT,__text) non-external _PrepareH5
00007ff80ebf7226 (__TEXT,__text) non-external _PrepareH54
00007ff80ebf738f (__TEXT,__text) non-external _PrepareH55
00007ff80ebf7085 (__TEXT,__text) non-external _PrepareH6
00007ff80ebf7441 (__TEXT,__text) non-external _PrepareH65
00007ff80ec09fa9 (__TEXT,__text) non-external _ProcessCommands
00007ff80ec08eb9 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80ec0b963 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80ec0c4a4 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80ec0bea7 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80ec0b6cf (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80ec0aa10 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80ec085e8 (__TEXT,__text) non-external _SaveErrorCode
00007ff80ec2002e (__TEXT,__text) non-external _SetCost
00007ff80ec227b5 (__TEXT,__text) non-external _Shift
00007ff80ebf6ce6 (__TEXT,__text) non-external _ShouldCompress
00007ff80ec41b5a (__TEXT,__text) non-external _ShouldCompress
00007ff80ebfee11 (__TEXT,__text) non-external _ShouldMergeBlock
00007ff80ec4cc80 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80ebff433 (__TEXT,__text) non-external _SortPointers
00007ff80ec4d250 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80ec41db1 (__TEXT,__text) non-external _StoreCommands
00007ff80eca2170 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80eca1f70 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80ec24ed1 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80ec26974 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80ec25f1d (__TEXT,__text) non-external _StoreSymbol
00007ff80ec260d5 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80ec252fc (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80ec271de (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80ebfefa9 (__TEXT,__text) non-external _UpdateBits
00007ff80ebf76c5 (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff80ec1dfce (__TEXT,__text) non-external _UpdateNodes
00007ff80ec0b548 (__TEXT,__text) non-external _WrapRingBuffer
00007ff80ebf79a1 (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff80ec085fc (__TEXT,__text) non-external _WriteRingBuffer
00007ff80ec1de84 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff80ec4d280 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
00007ff80ec6d4f0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff80ec6d400 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff841556140 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80ec0f5aa (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff80eca92d0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff843717d40 (__DATA,__data) non-external __dyld_private
00007ff80eca1750 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff80ec4cf90 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff80eca94d0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff80ec44e6e (__TEXT,__text) non-external (was a private external) __tr_align
00007ff80ebea5c1 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff80ebe8943 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff80ec44d45 (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff80ec4509e (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff80ebe8804 (__TEXT,__text) non-external (was a private external) _adler32
00007ff80ebf15e0 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff80eca9cc0 (__TEXT,__const) non-external _base_dist
00007ff80eca9c40 (__TEXT,__const) non-external _base_length
00007ff80ec4501c (__TEXT,__text) non-external _bi_flush
00007ff80ebebf1b (__TEXT,__text) non-external _bi_windup
00007ff80eca9c20 (__TEXT,__const) non-external _bl_order
00007ff80eca14d0 (__TEXT,__const) non-external _breverse.brev8
00007ff80ec42fc0 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff80ec42ff5 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff80ec431ac (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff80ec430d6 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff80ec43031 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff80ebeaf7c (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff80ec42f49 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff80ec42565 (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff80ec42ed1 (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff80ec42a37 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff80ebebaf2 (__TEXT,__text) non-external _compress_block
00007ff80ebedd22 (__TEXT,__text) external _compression_decode_buffer
00007ff80ebedc1e (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff80ec3bebd (__TEXT,__text) external _compression_encode_buffer
00007ff80ec3bd6b (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff80ebec0db (__TEXT,__text) external _compression_stream_destroy
00007ff80ec10b81 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff80ec10b2b (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff80ec10ae3 (__TEXT,__text) external _compression_stream_get_state_size
00007ff80ec10a61 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff80ebe8240 (__TEXT,__text) external _compression_stream_init
00007ff80ec10a14 (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff80ec10bd7 (__TEXT,__text) external _compression_stream_is_state_valid
00007ff80ebe8e8e (__TEXT,__text) external _compression_stream_process
00007ff80ebee44f (__TEXT,__text) external _compression_stream_reinit
00007ff8415569b0 (__DATA_CONST,__const) non-external _configuration_table
00007ff80ec173c8 (__TEXT,__text) non-external _convert_row_16to8
00007ff80ec17363 (__TEXT,__text) non-external _convert_row_8to16
00007ff80ec170f5 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff80ec16c03 (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff80ec1768a (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff80ec1743e (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff80ec169e4 (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff80ec16e3c (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff80ec1759c (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff80ec174ec (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff80ec17431 (__TEXT,__text) non-external _convert_row_copy16
00007ff80ec15d72 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff80ec15d18 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff80ec16746 (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff80ec16517 (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff80ec15ed4 (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff80ec168b5 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff80ec16631 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff80ec1620a (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff80ec00171 (__TEXT,__text) external _cosl_codec_decode
00007ff80ebff8a6 (__TEXT,__text) external _cosl_codec_encode
00007ff80ec0008b (__TEXT,__text) external _cosl_codec_get_decoded_size
00007ff80ec00aaa (__TEXT,__text) external _cosl_codec_get_id
00007ff80ec0092a (__TEXT,__text) external _cosl_codec_map
00007ff80ec00a62 (__TEXT,__text) external _cosl_codec_unmap
00007ff80ec005c0 (__TEXT,__text) external _cosl_model_create
00007ff80ec006b4 (__TEXT,__text) external _cosl_model_destroy
00007ff80ec006dd (__TEXT,__text) external _cosl_model_save_codec
00007ff80ebff56b (__TEXT,__text) external _cosl_model_update
00007ff80ec2a05f (__TEXT,__text) external _cosmix_codec_decode
00007ff80ec296d1 (__TEXT,__text) external _cosmix_codec_encode
00007ff80ec29f7b (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff80ec2ab45 (__TEXT,__text) external _cosmix_codec_get_id
00007ff80ec2a9b9 (__TEXT,__text) external _cosmix_codec_map
00007ff80ec2aafd (__TEXT,__text) external _cosmix_codec_unmap
00007ff80ec2a5e8 (__TEXT,__text) external _cosmix_model_create
00007ff80ec2a716 (__TEXT,__text) external _cosmix_model_destroy
00007ff80ec2a73f (__TEXT,__text) external _cosmix_model_save_codec
00007ff80ec28fa0 (__TEXT,__text) external _cosmix_model_update
00007ff80ec42240 (__TEXT,__text) non-external (was a private external) _crc32
00007ff80ecaaba0 (__TEXT,__const) non-external _crc32_lut4
00007ff80eca21d0 (__TEXT,__const) non-external _crc_table
00007ff80ec144c1 (__TEXT,__text) non-external _create_rectangle_within_image
00007ff80ec070d9 (__TEXT,__text) non-external (was a private external) _create_thread
00007ff80ebe929d (__TEXT,__text) non-external (was a private external) _deflate
00007ff80ec4aa87 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff80ec4b058 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff80ebebff0 (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff80ebe8406 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff80ec4a7ad (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff80ec4a96a (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff80ec4a935 (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff80ebe86bd (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff80ec4a7d7 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff80ec4a910 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff80ec4aa53 (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff80ecaab40 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff80ec4b415 (__TEXT,__text) non-external _deflate_fast
00007ff80ec4ab94 (__TEXT,__text) non-external _deflate_huff
00007ff80ec4ad0f (__TEXT,__text) non-external _deflate_rle
00007ff80ebe9c7a (__TEXT,__text) non-external _deflate_slow
00007ff80ec4b24d (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff80ec232d1 (__TEXT,__text) non-external _emitMatch
00007ff80eca9bd0 (__TEXT,__const) non-external _extra_blbits
00007ff80eca9b50 (__TEXT,__const) non-external _extra_dbits
00007ff80eca9ad0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff80ebea166 (__TEXT,__text) non-external _fill_window
