00007ffa1877fee0 (__TEXT,__text) external _AMFDRDecodeCertificate
00007ffa1877fd25 (__TEXT,__text) external _AMFDRDecodePublicKey
00007ffa18779c9a (__TEXT,__text) external _AMFDRDecodeSealingRequest
00007ffa1877c6ca (__TEXT,__text) external _AMFDRDecodeTrustEvaluation
00007ffa1877925f (__TEXT,__text) external _AMFDRDecodeTrustObject
00007ffa1877be59 (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuer
00007ffa1877bf94 (__TEXT,__text) external _AMFDRDecodeVerifyCertIssuerNoRevocation
00007ffa1877be68 (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions
00007ffa18782445 (__TEXT,__text) non-external _AMFDRDecodeVerifyCertIssuerWithOptions.cold.1
00007ffa1877b623 (__TEXT,__text) external _AMFDRDecodeVerifyMultiCombinedDataIntegrity
00007ffa1878242a (__TEXT,__text) non-external _AMFDRDecodeVerifyMultiCombinedDataIntegrity.cold.1
00007ffa18779495 (__TEXT,__text) external _AMFDRDecodeVerifySealingManifest
00007ffa1878203e (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.1
00007ffa18782153 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.10
00007ffa18782171 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.11
00007ffa1878218f (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.12
00007ffa187821ad (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.13
00007ffa187821cb (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.14
00007ffa187821e9 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.15
00007ffa18782207 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.16
00007ffa1878205d (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.2
00007ffa1878207e (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.3
00007ffa1878209f (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.4
00007ffa187820bd (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.5
00007ffa187820db (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.6
00007ffa187820f9 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.7
00007ffa18782117 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.8
00007ffa18782135 (__TEXT,__text) non-external _AMFDRDecodeVerifySealingManifest.cold.9
00007ffa18779a4e (__TEXT,__text) external _AMFDRDecodeVerifySealingRequest
00007ffa1877a097 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest
00007ffa18782225 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.1
00007ffa1878233a (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.10
00007ffa18782358 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.11
00007ffa18782376 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.12
00007ffa18782394 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.13
00007ffa187823b2 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.14
00007ffa187823d0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.15
00007ffa187823ee (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.16
00007ffa18782244 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.2
00007ffa18782265 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.3
00007ffa18782286 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.4
00007ffa187822a4 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.5
00007ffa187822c2 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.6
00007ffa187822e0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.7
00007ffa187822fe (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.8
00007ffa1878231c (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.9
00007ffa187776d0 (__TEXT,__text) non-external (was a private external) _AMFDRTagsStringToTag
                 (undefined) external _AMSupportDigestSha1 (from libamsupport)
                 (undefined) external _AMSupportDigestSha256 (from libamsupport)
                 (undefined) external _AMSupportDigestSha384 (from libamsupport)
                 (undefined) external _AMSupportEcDsaVerifySignature (from libamsupport)
                 (undefined) external _AMSupportLogFormat (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha1 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha256 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha384 (from libamsupport)
00007ffa18783210 (__TEXT,__const) non-external (was a private external) _DERAlgorithmIdItemSpecs
00007ffa18783180 (__TEXT,__const) non-external (was a private external) _DERAttributeTypeAndValueItemSpecs
00007ffa1877e7de (__TEXT,__text) non-external (was a private external) _DERDecodeItem
00007ffa1877e7ea (__TEXT,__text) non-external (was a private external) _DERDecodeItemPartialBufferGetLength
00007ffa1877ec56 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqContentInit
00007ffa1877ebaf (__TEXT,__text) non-external (was a private external) _DERDecodeSeqInit
00007ffa1877ec80 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqNext
00007ffa187831c0 (__TEXT,__const) non-external (was a private external) _DERExtensionItemSpecs
00007ffa18782b40 (__TEXT,__const) non-external (was a private external) _DERFDR2DataItemSpecs
00007ffa18782af0 (__TEXT,__const) non-external (was a private external) _DERFDRCombinedItemSpecs
00007ffa18782fc0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertItemSpecs
00007ffa18782f60 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertPropertyItemSpecs
00007ffa18782f90 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertSignedSectionItemSpecs
00007ffa18782b90 (__TEXT,__const) non-external (was a private external) _DERFDRItemSpecs
00007ffa18782dd0 (__TEXT,__const) non-external (was a private external) _DERFDRMetaPropertyItemSpecs
00007ffa18782d70 (__TEXT,__const) non-external (was a private external) _DERFDRMetadataRecordItemSpecs
00007ffa18782f00 (__TEXT,__const) non-external (was a private external) _DERFDRMultiCombinedItemSpecs
00007ffa18782da0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseErrorItemSpecs
00007ffa18782c40 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseItemSpecs
00007ffa18782c70 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponsePayloadItemSpecs
00007ffa18782d10 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseRecordItemSpecs
00007ffa18782cc0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiSealingResponsePayloadItemSpecs
00007ffa18782bc0 (__TEXT,__const) non-external (was a private external) _DERFDRTrustObjectItemSpecs
                 (undefined) external _DERImg4DecodeContentFindItemWithTag (from libamsupport)
                 (undefined) external _DERImg4DecodeFindProperty (from libamsupport)
                 (undefined) external _DERImg4DecodeFindPropertyInSequence (from libamsupport)
                 (undefined) external _DERImg4DecodeManifest (from libamsupport)
                 (undefined) external _DERImg4DecodeProperty (from libamsupport)
                 (undefined) external _DERImg4DecodePropertyWithItem (from libamsupport)
00007ffa18783240 (__TEXT,__const) non-external (was a private external) _DERNumAlgorithmIdItemSpecs
00007ffa187831b0 (__TEXT,__const) non-external (was a private external) _DERNumAttributeTypeAndValueItemSpecs
00007ffa18783208 (__TEXT,__const) non-external (was a private external) _DERNumExtensionItemSpecs
00007ffa18783178 (__TEXT,__const) non-external (was a private external) _DERNumSignedCertCrlItemSpecs
00007ffa18783280 (__TEXT,__const) non-external (was a private external) _DERNumSubjPubKeyInfoItemSpecs
00007ffa1877f0c7 (__TEXT,__text) non-external (was a private external) _DEROidCompare
00007ffa1877e9ef (__TEXT,__text) non-external (was a private external) _DERParseBitString
00007ffa1877ea9e (__TEXT,__text) non-external (was a private external) _DERParseBooleanWithDefault
00007ffa1877ead5 (__TEXT,__text) non-external (was a private external) _DERParseInteger
00007ffa1877eb3b (__TEXT,__text) non-external (was a private external) _DERParseInteger64
00007ffa1877edba (__TEXT,__text) non-external (was a private external) _DERParseSequenceContentToObject
00007ffa1877ed13 (__TEXT,__text) non-external (was a private external) _DERParseSequenceToObject
00007ffa18783130 (__TEXT,__const) non-external (was a private external) _DERSignedCertCrlItemSpecs
00007ffa18783250 (__TEXT,__const) non-external (was a private external) _DERSubjPubKeyInfoItemSpecs
00007ffa18782e80 (__TEXT,__const) non-external (was a private external) _DERSysconfigItemSpecs
00007ffa18782e00 (__TEXT,__const) non-external (was a private external) _DERSysconfigPayloadItemSpecs
00007ffa18783020 (__TEXT,__const) non-external (was a private external) _FDRDERTBSCertItemSpecs
                 (undefined) external _Img4DecodeEvaluateDictionaryProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateManifestProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateObjectProperties (from libamsupport)
                 (undefined) external _Img4DecodeGetManifest (from libamsupport)
                 (undefined) external _Img4DecodeGetObjectPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeGetPayload (from libamsupport)
                 (undefined) external _Img4DecodeGetPayloadType (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyBoolean (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeInit (from libamsupport)
                 (undefined) external _Img4DecodeInitManifest (from libamsupport)
                 (undefined) external _Img4DecodePerformManifestTrustEvaluationWithCallbacks (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluatation (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluationWithCallbacks (from libamsupport)
00007ffa1877aef1 (__TEXT,__text) non-external __AMFDRDecodeCombined
00007ffa1877f0fa (__TEXT,__text) non-external __AMFDRDecodeComputeDigest
00007ffa18779f87 (__TEXT,__text) non-external __AMFDRDecodeDERFDRItem
00007ffa18778258 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties
00007ffa18781e77 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.1
00007ffa18781f85 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.10
00007ffa18781fa3 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.11
00007ffa18781e95 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.2
00007ffa18781eb3 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.3
00007ffa18781ed1 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.4
00007ffa18781eef (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.5
00007ffa18781f0d (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.6
00007ffa18781f2b (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.7
00007ffa18781f49 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.8
00007ffa18781f67 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.9
00007ffa18778819 (__TEXT,__text) non-external __AMFDRDecodeEvaluateTestStationCertificateProperties
00007ffa1877d606 (__TEXT,__text) non-external __AMFDRDecodeFilterDataInstanceCallback
00007ffa1877df21 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined
00007ffa187825af (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.1
00007ffa187825d1 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.2
00007ffa187825ef (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.3
00007ffa1878261b (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.4
00007ffa18782639 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.5
00007ffa1877ccac (__TEXT,__text) non-external __AMFDRDecodeGetDataInstCallback
00007ffa18779037 (__TEXT,__text) non-external __AMFDRDecodeGetExpectedManifestHash
00007ffa1877b2f0 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData
00007ffa1878240c (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData.cold.1
00007ffa1877d783 (__TEXT,__text) non-external __AMFDRDecodeInstPropertyMatchingWithType
00007ffa18780e90 (__TEXT,__text) non-external __AMFDRDecodeMultiResposeRecords
00007ffa187809bd (__TEXT,__text) non-external __AMFDRDecodeMultiSealingResposeRecords
00007ffa18780111 (__TEXT,__text) non-external __AMFDRDecodeParseExtension
00007ffa18779071 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback
00007ffa18781fe3 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.1
00007ffa18782001 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.2
00007ffa1878201f (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.3
00007ffa1877fe1c (__TEXT,__text) non-external __AMFDRDecodePubKey
00007ffa1877d936 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList
00007ffa18782555 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.1
00007ffa18782573 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.2
00007ffa18782591 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.3
00007ffa1877e543 (__TEXT,__text) non-external __AMFDRDecodeSequenceString
00007ffa187826cf (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.1
00007ffa187826ed (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.2
00007ffa1877b982 (__TEXT,__text) non-external __AMFDRDecodeTolerateErrorsForOptions
00007ffa1877bfa2 (__TEXT,__text) non-external __AMFDRDecodeVerifyCertIssuerInternal
00007ffa187776e7 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain
00007ffa18781d74 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain.cold.1
00007ffa1877867b (__TEXT,__text) non-external __AMFDRDecodeVerifyChainOffline
00007ffa1877da91 (__TEXT,__text) non-external __AMFDRDecodeVerifyData
00007ffa18778821 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback
00007ffa18781fc1 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback.cold.1
00007ffa1877cfef (__TEXT,__text) non-external __AMFDRDecodeVerifySealingManifestCallback
00007ffa1877d31d (__TEXT,__text) non-external __AMFDRDecodeVerifySealingRequestCallback
00007ffa18777ef8 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature
00007ffa18781d9f (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.1
00007ffa18781dbd (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.2
00007ffa18781ddc (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.3
00007ffa18781dfb (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.4
00007ffa18781e1a (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.5
00007ffa18781e39 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.6
00007ffa18781e58 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.7
00007ffa1877e1b9 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid
00007ffa18782657 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.1
00007ffa18782675 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.2
00007ffa18782693 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.3
00007ffa187826b1 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.4
00007ffa1877ce56 (__TEXT,__text) non-external __AMFDRDecodeVerifyTrustObject
00007ffa4215a678 (__DATA_CONST,__const) non-external ____oidAppleFDRClientID
00007ffa4215a688 (__DATA_CONST,__const) non-external ____oidAppleSecureBootCertificateProperties
                 (undefined) external ___bzero (from libSystem)
00007ffa18783118 (__TEXT,__const) non-external ___oidAppleFDRClientID
00007ffa18783121 (__TEXT,__const) non-external ___oidAppleSecureBootCertificateProperties
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ffa43b7ef48 (__DATA,__data) non-external __dyld_private
00007ffa42f0c820 (__DATA_DIRTY,__bss) non-external __logHandler
00007ffa187832ea (__TEXT,__const) non-external __oidAnsip224r1
00007ffa187832ef (__TEXT,__const) non-external __oidAnsip384r1
00007ffa187832e2 (__TEXT,__const) non-external __oidEcPrime256v1
00007ffa187832b4 (__TEXT,__const) non-external __oidEcPubKey
00007ffa18783290 (__TEXT,__const) non-external __oidRsa
00007ffa187832cb (__TEXT,__const) non-external __oidSha1
00007ffa18783299 (__TEXT,__const) non-external __oidSha1Rsa
00007ffa187832d0 (__TEXT,__const) non-external __oidSha256
00007ffa187832bb (__TEXT,__const) non-external __oidSha256Ecdsa
00007ffa187832a2 (__TEXT,__const) non-external __oidSha256Rsa
00007ffa187832d9 (__TEXT,__const) non-external __oidSha384
00007ffa187832c3 (__TEXT,__const) non-external __oidSha384Ecdsa
00007ffa187832ab (__TEXT,__const) non-external __oidSha384Rsa
                 (undefined) external _free (from libSystem)
00007ffa4215a660 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeClientCallback
00007ffa43b7ef30 (__DATA,__data) non-external (was a private external) _kAMFDRDecodeEcdsaInfoList
00007ffa4215a560 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP224
00007ffa4215a520 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP256
00007ffa4215a540 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP384
00007ffa4215a5f0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationOffline
00007ffa4215a580 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha1
00007ffa4215a5b8 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha384
00007ffa4215a628 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationTestStationSha1
00007ffa4215a4f0 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha1
00007ffa4215a508 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha384
00007ffa18782a20 (__TEXT,__const) non-external (was a private external) _kFDRKnownTag
00007ffa187829e7 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_CRTP
00007ffa187829e2 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_IM4C
00007ffa187829b0 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_comb
00007ffa187829d3 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdr2
00007ffa187829c4 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdrd
00007ffa187829ec (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mcmb
00007ffa187829d8 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mft2
00007ffa187829b5 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rssl
00007ffa187829bf (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rvok
00007ffa187829c9 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_secb
00007ffa187829ce (__TEXT,__const) non-external (was a private external) _kFDRTagStr_sreq
00007ffa187829dd (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trpk
00007ffa187829ba (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trst
                 (undefined) external _kImg4TagStr_IM4M (from libamsupport)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ffa4215a748 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip224r1
00007ffa4215a758 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip384r1
00007ffa4215a738 (__DATA_CONST,__const) non-external (was a private external) _oidEcPrime256v1
00007ffa4215a6d8 (__DATA_CONST,__const) non-external (was a private external) _oidEcPubKey
00007ffa4215a698 (__DATA_CONST,__const) non-external (was a private external) _oidRsa
00007ffa4215a708 (__DATA_CONST,__const) non-external (was a private external) _oidSha1
00007ffa4215a6a8 (__DATA_CONST,__const) non-external (was a private external) _oidSha1Rsa
00007ffa4215a718 (__DATA_CONST,__const) non-external (was a private external) _oidSha256
00007ffa4215a6e8 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Ecdsa
00007ffa4215a6b8 (__DATA_CONST,__const) non-external (was a private external) _oidSha256Rsa
00007ffa4215a728 (__DATA_CONST,__const) non-external (was a private external) _oidSha384
00007ffa4215a6f8 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Ecdsa
00007ffa4215a6c8 (__DATA_CONST,__const) non-external (was a private external) _oidSha384Rsa
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
