00007ffd014c1ef6 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffd014b2fd5 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffd014b3095 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffd014b30dc (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffd014b303b (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffd014b376c (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffd014b3762 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffd014b3283 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffd014b327b (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffd014b369a (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffd014b33b6 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffd014bd714 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffd014bd5d2 (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffd014bd672 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffd014bd6b9 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffd014bd638 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffd014bd9b9 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffd014bd9b0 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffd014a9d40 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffd014a7477 (__TEXT,__text) external _AAFieldKeySetClear
00007ffd014a7358 (__TEXT,__text) external _AAFieldKeySetClone
00007ffd014a7485 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffd014a6fa0 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffd014a7006 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffd014a7332 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffd014a7a53 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffd014a7a4b (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffd014a7529 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffd014a77a0 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffd014a76d9 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffd014a7954 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffd014a79e7 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffd014a7a62 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffd014c04ee (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffd014c083b (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffd014c9dc1 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffd014b09dc (__TEXT,__text) external _AAHeaderAssign
00007ffd014b0fa2 (__TEXT,__text) external _AAHeaderClear
00007ffd014b0930 (__TEXT,__text) external _AAHeaderClone
00007ffd014b0843 (__TEXT,__text) external _AAHeaderCreate
00007ffd014b0b94 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffd014b0bdb (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffd014b08ea (__TEXT,__text) external _AAHeaderDestroy
00007ffd014b20b0 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffd014b20a6 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffd014b0733 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffd014b06d4 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffd014b1193 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffd014b07c0 (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffd014b1083 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffd014b129b (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffd014b06dc (__TEXT,__text) external _AAHeaderGetFieldType
00007ffd014b0ffe (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffd014b0fc7 (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffd014b209c (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffd014b0c27 (__TEXT,__text) external _AAHeaderRemoveField
00007ffd014b1e90 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffd014b13bd (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffd014b1a4c (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffd014b1816 (__TEXT,__text) external _AAHeaderSetFieldString
00007ffd014b1ca4 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffd014b160f (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffd014c7470 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamClose
00007ffd014c7392 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamOpen
00007ffd014c74b2 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamRead
00007ffd014c0c92 (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffd01471ce5 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffd01472097 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffd01471ed6 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffd01452acc (__TEXT,__text) external _AAPathFilterAddRule
00007ffd01452fd3 (__TEXT,__text) external _AAPathFilterApply
00007ffd014ce1f6 (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffd014ce293 (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffd01452974 (__TEXT,__text) external _AAPathFilterCreate
00007ffd01452a51 (__TEXT,__text) external _AAPathFilterDestroy
00007ffd014a7ad0 (__TEXT,__text) external _AAPathListCreate
00007ffd014a7c66 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffd014a944e (__TEXT,__text) external _AAPathListCreateWithPath
00007ffd014a7c37 (__TEXT,__text) external _AAPathListDestroy
00007ffd014a9922 (__TEXT,__text) external _AAPathListGetNode
00007ffd014a9a58 (__TEXT,__text) external _AAPathListMerge
00007ffd014a9ba2 (__TEXT,__text) external _AAPathListNodeFirst
00007ffd014a97ff (__TEXT,__text) external _AAPathListNodeGetPath
00007ffd014a9bbe (__TEXT,__text) external _AAPathListNodeNext
00007ffd014672b6 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffd014a1f50 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffd0147b15e (__TEXT,__text) external _AARangeInputStreamOpen
00007ffd0146c137 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffd014c0b05 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffd014c0f4d (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffd014c08b7 (__TEXT,__text) external _AATempFileStreamOpen
00007ffd014c08c3 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffd0148edc4 (__TEXT,__text) external _AATempStreamOpen
00007ffd0148edd0 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffd014a0b5b (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffd014a0b65 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffd01456390 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffd0145174a (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffd01451e0f (__TEXT,__text) external _AEAAuthDataClear
00007ffd01451013 (__TEXT,__text) external _AEAAuthDataCreate
00007ffd014510d3 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffd01451079 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffd01451ef2 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffd01451ee8 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffd01451617 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffd0145160f (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffd01451e20 (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffd01451b2b (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffd0149388d (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffd014937d4 (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffd0146b252 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffd01493758 (__TEXT,__text) external _AEAContextDestroy
00007ffd014943b9 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffd01494547 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffd01493c88 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffd01493bc8 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffd01494098 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffd014944e7 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffd01493eb8 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffd014589e7 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffd0145853d (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffd014585b6 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffd014584a7 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffd0144ed71 (__TEXT,__text) external _AEADecryptAndExtract
00007ffd0149bf9c (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffd0144e7e8 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffd0149d9fd (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffd01446988 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffd01463c98 (__TEXT,__text) external _AEADecryptInPlace
00007ffd0146d79e (__TEXT,__text) external _AEADecryptToFile
00007ffd0148e024 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffd0146d1fd (__TEXT,__text) external _AEADecryptToFileChunk
00007ffd0148ed46 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffd014cc9d5 (__TEXT,__text) external _AEADecryptToStream
00007ffd014cc18b (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffd01467b68 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffd0145a0b9 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffd0144c59a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffd014641e3 (__TEXT,__text) external _AEAEncryptInPlace
00007ffd0145eca6 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffd0145deff (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffd0145e505 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffd0146437f (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffd01464c94 (__TEXT,__text) external _AEAKeychainHasItem
00007ffd01464ad8 (__TEXT,__text) external _AEAKeychainLoadItem
00007ffd01464d9d (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffd0146462c (__TEXT,__text) external _AEAKeychainStoreItem
00007ffd01455ae4 (__TEXT,__text) external _AEAStreamSign
00007ffd01490ebc (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffd0148dd79 (__TEXT,__text) non-external _BXDiff5Data_free
00007ffd0146211d (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffd01490ecb (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffd0147561c (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffd01476888 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffd014768b7 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffd01476b4a (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffd01476b54 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffd01476b5d (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffd01476b67 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffd01462d5a (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffd01462fbc (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffd01462167 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffd01462e75 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffd0147362c (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffd01473593 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffd014734f1 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffd01467d68 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffd01467d40 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffd01467d85 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffd01468124 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffd0147e61d (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffd0147e5c0 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffd0147e5d9 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffd01480810 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffd014807fc (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffd01480806 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffd014e1f00 (__TEXT,__const) non-external _CKSUMTable
00007ffd014c518f (__TEXT,__text) non-external _CompressionConsumerProc
00007ffd014c4faf (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffd014c5e85 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffd014c5105 (__TEXT,__text) non-external _CompressionWorkerProc
00007ffd0145934b (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffd01458fdf (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffd0145989c (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffd01459b10 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffd014596ad (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffd01459846 (__TEXT,__text) non-external _Digest_SHA256
00007ffd014684df (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffd01468137 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffd014e1cc0 (__TEXT,__const) non-external _ECC65537_G
00007ffd01473db5 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffd01473432 (__TEXT,__text) non-external _ForkOutputStreamCancel
00007ffd01473443 (__TEXT,__text) non-external _ForkOutputStreamClose
00007ffd01473112 (__TEXT,__text) non-external _ForkOutputStreamPWrite
00007ffd0147249c (__TEXT,__text) non-external _ForkOutputStreamWrite
00007ffd01495927 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffd01494ebb (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffd014582f8 (__TEXT,__text) non-external _HKDFDerive
00007ffd01459ea6 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffd01459e29 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffd01459d63 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffd01459de8 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffd01459ff4 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffd01469575 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffd01469320 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffd0146946f (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffd0146955a (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffd014692e6 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffd01477e14 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffd01477ad0 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffd01477ddd (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffd01477f3c (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffd01469589 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffd01469b99 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffd01469b30 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffd01469c16 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffd01478b32 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffd01478a73 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffd01478a69 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffd01478ae4 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffd01477962 (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffd01491ff1 (__TEXT,__text) non-external _InSituStreamCancel
00007ffd01491b8c (__TEXT,__text) non-external _InSituStreamClose
00007ffd01491d38 (__TEXT,__text) non-external _InSituStreamPRead
00007ffd01491e7f (__TEXT,__text) non-external _InSituStreamPWrite
00007ffd0149200b (__TEXT,__text) non-external _InSituStreamSimulate
00007ffd01491ffe (__TEXT,__text) non-external _InSituTruncate
00007ffd0148aed1 (__TEXT,__text) non-external _IntervalStreamCancel
00007ffd0148aede (__TEXT,__text) non-external _IntervalStreamClose
00007ffd0148ae41 (__TEXT,__text) non-external _IntervalStreamPRead
00007ffd0148ae33 (__TEXT,__text) non-external _IntervalStreamRead
00007ffd0148ae97 (__TEXT,__text) non-external _IntervalStreamSeek
00007ffd01494df2 (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffd014946e0 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffd0147773c (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffd014776fb (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffd01476b5d (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffd01477958 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffd01477150 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffd014772d5 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffd01477244 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffd014773a1 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffd01477430 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffd014774bc (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffd01477281 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
00007ffd0147726a (__TEXT,__text) non-external (was a private external) _MemBufferGetDataSize
00007ffd0147728f (__TEXT,__text) non-external (was a private external) _MemBufferGetFreePtr
00007ffd01477274 (__TEXT,__text) non-external (was a private external) _MemBufferGetFreeSize
