                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000019463efdc (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000019463f034 (__TEXT,__text) external _KClientAddServerMapDeprecated
000000019463f288 (__TEXT,__text) external _KClientAddServiceKey
000000019463eff4 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
000000019463f2d0 (__TEXT,__text) external _KClientDecrypt
000000019463f180 (__TEXT,__text) external _KClientDecryptCompat
000000019463f084 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
000000019463f01c (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
000000019463f03c (__TEXT,__text) external _KClientDeleteServerMapDeprecated
000000019463f06c (__TEXT,__text) external _KClientDeleteSessionDeprecated
000000019463f308 (__TEXT,__text) external _KClientDisposePrincipal
000000019463f200 (__TEXT,__text) external _KClientDisposeSession
000000019463f138 (__TEXT,__text) external _KClientDisposeSessionCompat
000000019463f2c8 (__TEXT,__text) external _KClientEncrypt
000000019463f178 (__TEXT,__text) external _KClientEncryptCompat
000000019463f298 (__TEXT,__text) external _KClientGetAuthenticatorForService
000000019463f2e8 (__TEXT,__text) external _KClientGetCCacheReference
000000019463f208 (__TEXT,__text) external _KClientGetClientPrincipal
000000019463f074 (__TEXT,__text) external _KClientGetCredentialsDeprecated
000000019463f2b8 (__TEXT,__text) external _KClientGetEncryptedServiceReply
000000019463f0a4 (__TEXT,__text) external _KClientGetErrorTextDeprecated
000000019463f250 (__TEXT,__text) external _KClientGetExpirationTime
000000019463f228 (__TEXT,__text) external _KClientGetLocalAddress
000000019463effc (__TEXT,__text) external _KClientGetLocalRealmDeprecated
000000019463f094 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
000000019463f024 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
000000019463f02c (__TEXT,__text) external _KClientGetNthServerDeprecated
000000019463f044 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
000000019463f04c (__TEXT,__text) external _KClientGetNthServerPortDeprecated
000000019463f064 (__TEXT,__text) external _KClientGetNthSessionDeprecated
000000019463f08c (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
000000019463f05c (__TEXT,__text) external _KClientGetNumSessionsDeprecated
000000019463f2c0 (__TEXT,__text) external _KClientGetProtectedServiceReply
000000019463f00c (__TEXT,__text) external _KClientGetRealmDeprecated
000000019463f238 (__TEXT,__text) external _KClientGetRemoteAddress
000000019463f218 (__TEXT,__text) external _KClientGetServerPrincipal
000000019463f280 (__TEXT,__text) external _KClientGetServiceKey
000000019463f248 (__TEXT,__text) external _KClientGetSessionKey
000000019463f170 (__TEXT,__text) external _KClientGetSessionKeyCompat
000000019463f1c8 (__TEXT,__text) external _KClientGetSessionUserNameCompat
000000019463f290 (__TEXT,__text) external _KClientGetTicketForService
000000019463f140 (__TEXT,__text) external _KClientGetTicketForServiceCompat
000000019463f148 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
000000019463f09c (__TEXT,__text) external _KClientGetUserNameDeprecated
000000019463f1e8 (__TEXT,__text) external _KClientGetVersion
000000019463f270 (__TEXT,__text) external _KClientKeyFileLogin
000000019463f260 (__TEXT,__text) external _KClientLogin
000000019463f150 (__TEXT,__text) external _KClientLoginCompat
000000019463f278 (__TEXT,__text) external _KClientLogout
000000019463f160 (__TEXT,__text) external _KClientLogoutCompat
000000019463f1d0 (__TEXT,__text) external _KClientMakeSendAuthCompat
000000019463f1f0 (__TEXT,__text) external _KClientNewClientSession
000000019463f1f8 (__TEXT,__text) external _KClientNewServerSession
000000019463f130 (__TEXT,__text) external _KClientNewSessionCompat
000000019463f268 (__TEXT,__text) external _KClientPasswordLogin
000000019463f158 (__TEXT,__text) external _KClientPasswordLoginCompat
000000019463f2f8 (__TEXT,__text) external _KClientPrincipalToV4String
000000019463f300 (__TEXT,__text) external _KClientPrincipalToV4Triplet
000000019463f2d8 (__TEXT,__text) external _KClientProtectIntegrity
000000019463f188 (__TEXT,__text) external _KClientProtectIntegrityCompat
000000019463f210 (__TEXT,__text) external _KClientSetClientPrincipal
000000019463f258 (__TEXT,__text) external _KClientSetKeyFile
000000019463f230 (__TEXT,__text) external _KClientSetLocalAddress
000000019463f004 (__TEXT,__text) external _KClientSetLocalRealmDeprecated
000000019463f054 (__TEXT,__text) external _KClientSetNthServerPortDeprecated
000000019463f240 (__TEXT,__text) external _KClientSetRemoteAddress
000000019463f220 (__TEXT,__text) external _KClientSetServerPrincipal
000000019463f168 (__TEXT,__text) external _KClientStatusCompat
000000019463f2f0 (__TEXT,__text) external _KClientV4StringToPrincipal
000000019463f2b0 (__TEXT,__text) external _KClientVerifyAuthenticator
000000019463f2a0 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
000000019463f2e0 (__TEXT,__text) external _KClientVerifyIntegrity
000000019463f190 (__TEXT,__text) external _KClientVerifyIntegrityCompat
000000019463f2a8 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
000000019463f1d8 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
000000019463f1e0 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
000000019463f128 (__TEXT,__text) external _KClientVersionCompat
0000000194638fd8 (__TEXT,__text) external _KLAcquireInitialTickets
00000001946391fc (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
0000000194639994 (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
0000000194639114 (__TEXT,__text) external _KLAcquireNewInitialTickets
00000001946399b4 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
0000000194639318 (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
000000019463908c (__TEXT,__text) external _KLAcquireNewTickets
00000001946392a4 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
0000000194638f68 (__TEXT,__text) external _KLAcquireTickets
0000000194639188 (__TEXT,__text) external _KLAcquireTicketsWithPassword
0000000194639498 (__TEXT,__text) external _KLCacheHasValidTickets
000000019463a198 (__TEXT,__text) external _KLCancelAllDialogs
000000019463998c (__TEXT,__text) external _KLChangePassword
000000019463a1a0 (__TEXT,__text) external _KLChangePasswordWithPasswords
000000019463a720 (__TEXT,__text) external _KLComparePrincipal
000000019463a2c0 (__TEXT,__text) external _KLCountKerberosRealms
000000019463a7ec (__TEXT,__text) external _KLCreateLoginOptions
000000019463a40c (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
000000019463a458 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
000000019463a33c (__TEXT,__text) external _KLCreatePrincipalFromString
000000019463a2e8 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
000000019463993c (__TEXT,__text) external _KLDestroyTickets
000000019463aaa0 (__TEXT,__text) external _KLDisposeLoginOptions
000000019463a798 (__TEXT,__text) external _KLDisposePrincipal
000000019463ab04 (__TEXT,__text) external _KLDisposeString
000000019463a1c8 (__TEXT,__text) external _KLFindKerberosRealmByName
0000000194639490 (__TEXT,__text) external _KLGetApplicationOptions
000000019463a1b8 (__TEXT,__text) external _KLGetDefaultLoginOption
000000019463a650 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
000000019463a0fc (__TEXT,__text) external _KLGetErrorString
000000019463a1b0 (__TEXT,__text) external _KLGetIdleCallback
000000019463a2c8 (__TEXT,__text) external _KLGetKerberosDefaultRealm
000000019463a240 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
000000019463a298 (__TEXT,__text) external _KLGetKerberosRealm
000000019463a580 (__TEXT,__text) external _KLGetStringFromPrincipal
000000019463a4a4 (__TEXT,__text) external _KLGetTripletFromPrincipal
000000019463a0f4 (__TEXT,__text) external _KLHandleError
000000019463a2b0 (__TEXT,__text) external _KLInsertKerberosRealm
0000000194639c30 (__TEXT,__text) external _KLLastChangedTime
000000019463a9d0 (__TEXT,__text) external _KLLoginOptionsSetAddressless
000000019463a8d4 (__TEXT,__text) external _KLLoginOptionsSetForwardable
000000019463a928 (__TEXT,__text) external _KLLoginOptionsSetProxiable
000000019463a97c (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
000000019463aa40 (__TEXT,__text) external _KLLoginOptionsSetServiceName
000000019463a880 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
000000019463aa08 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
000000019463a2b8 (__TEXT,__text) external _KLRemoveAllKerberosRealms
000000019463a2a8 (__TEXT,__text) external _KLRemoveKerberosRealm
00000001946399bc (__TEXT,__text) external _KLRenewInitialTickets
0000000194639488 (__TEXT,__text) external _KLSetApplicationOptions
000000019463a1c0 (__TEXT,__text) external _KLSetDefaultLoginOption
000000019463a1a8 (__TEXT,__text) external _KLSetIdleCallback
000000019463a2d8 (__TEXT,__text) external _KLSetKerberosDefaultRealm
000000019463a2e0 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
000000019463a2a0 (__TEXT,__text) external _KLSetKerberosRealm
000000019463a040 (__TEXT,__text) external _KLSetSystemDefaultCache
000000019463999c (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
0000000194639f58 (__TEXT,__text) external _KLTicketExpirationTime
0000000194639e70 (__TEXT,__text) external _KLTicketStartTime
0000000194639c28 (__TEXT,__text) external _KLValidateInitialTickets
00000001946399ac (__TEXT,__text) external _KLVerifyInitialTicketCredentials
00000001946399a4 (__TEXT,__text) external _KLVerifyInitialTickets
000000019463ecc8 (__TEXT,__text) external _KPCreatePreferencesFile
000000019463ecb4 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
000000019463ecac (__TEXT,__text) external _KPGetListOfPreferencesFiles
000000019463eca4 (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
000000019463ecb8 (__TEXT,__text) external _KPPreferencesFileIsReadable
000000019463ecc0 (__TEXT,__text) external _KPPreferencesFileIsWritable
000000019463f1b0 (__TEXT,__text) external _KServerAddKeyCompat
000000019463f1b8 (__TEXT,__text) external _KServerGetKeyCompat
000000019463f1a8 (__TEXT,__text) external _KServerGetReplyTicketCompat
000000019463f1c0 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
000000019463f198 (__TEXT,__text) external _KServerNewSessionCompat
000000019463f1a0 (__TEXT,__text) external _KServerVerifyTicketCompat
000000019463d888 (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001ea120988 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000019463ab44 (__TEXT,__text) external ___KLAllowAutomaticPrompting
000000019463ab34 (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
000000019463ab5c (__TEXT,__text) external ___KLAllowRememberPassword
000000019463abc4 (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
000000019463ab64 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
000000019463ac10 (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
000000019463ac20 (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
000000019463ab94 (__TEXT,__text) external ___KLGetTripletFromPrincipal
000000019463ac38 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
000000019463ac38 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
000000019463ac40 (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
000000019463ac18 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
000000019463ac28 (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
000000019463ab54 (__TEXT,__text) external ___KLPromptMechanism
000000019463ac30 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
000000019463ab20 (__TEXT,__text) external ___KLSetApplicationPrompter
000000019463ab3c (__TEXT,__text) external ___KLSetAutomaticPrompting
000000019463ab28 (__TEXT,__text) external ___KLSetHomeDirectoryAccess
000000019463ab4c (__TEXT,__text) external ___KLSetPromptMechanism
0000000194638874 (__TEXT,__text) external ___KerberosDebugLogLevel
000000019463887c (__TEXT,__text) external ___KerberosDebugPrint
0000000194638884 (__TEXT,__text) external ___KerberosDebugPrintMemory
0000000194638888 (__TEXT,__text) external ___KerberosDebugPrintSession
0000000194638880 (__TEXT,__text) external ___KerberosDebugVAPrint
00000001ea1203b0 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
0000000194634680 (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00000001e67cf580 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00000001e67cf5c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.12
00000001e67cf5a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00000001ef54fe48 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001ef54fe88 (__AUTH_CONST,__const) non-external ___block_literal_global.14
00000001ef54fe68 (__AUTH_CONST,__const) non-external ___block_literal_global.8
                 (undefined) external ___error (from libSystem)
0000000194637c90 (__TEXT,__text) non-external ___error_message_block_invoke
0000000194633b90 (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
00000001946371dc (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
00000001946395ec (__TEXT,__text) non-external _acquireticket_ui
000000019463d0c0 (__TEXT,__text) non-external _add_data_to_buffer
0000000194633ce4 (__TEXT,__text) external _add_error_table
000000019463b7cc (__TEXT,__text) non-external _add_to_list
0000000194640b50 (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
0000000194640c50 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _bzero (from libSystem)
0000000194633cec (__TEXT,__text) external _cc_close
0000000194633cf4 (__TEXT,__text) external _cc_create
0000000194633cfc (__TEXT,__text) external _cc_destroy
0000000194633d04 (__TEXT,__text) external _cc_free_NC_info
0000000194633d0c (__TEXT,__text) external _cc_free_creds
0000000194633d14 (__TEXT,__text) external _cc_free_name
0000000194633d1c (__TEXT,__text) external _cc_free_principal
00000001ed512718 (__AUTH,__data) non-external (was a private external) _cc_functions
0000000194633d24 (__TEXT,__text) external _cc_get_NC_info
0000000194633d2c (__TEXT,__text) external _cc_get_change_time
0000000194633d34 (__TEXT,__text) external _cc_get_cred_version
0000000194633d3c (__TEXT,__text) external _cc_get_name
0000000194633d44 (__TEXT,__text) external _cc_get_principal
0000000194635618 (__TEXT,__text) external _cc_initialize
000000019463686c (__TEXT,__text) non-external _cc_iterator_clone
0000000194634c50 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
0000000194636814 (__TEXT,__text) non-external _cc_iterator_release
0000000194633d4c (__TEXT,__text) external _cc_open
0000000194633d54 (__TEXT,__text) external _cc_remove_cred
0000000194633d5c (__TEXT,__text) external _cc_seq_fetch_NCs_begin
0000000194633d64 (__TEXT,__text) external _cc_seq_fetch_NCs_end
0000000194633d6c (__TEXT,__text) external _cc_seq_fetch_NCs_next
0000000194633d74 (__TEXT,__text) external _cc_seq_fetch_creds_begin
0000000194633d7c (__TEXT,__text) external _cc_seq_fetch_creds_end
0000000194633d84 (__TEXT,__text) external _cc_seq_fetch_creds_next
0000000194633d8c (__TEXT,__text) external _cc_set_principal
0000000194633d94 (__TEXT,__text) external _cc_shutdown
0000000194633d9c (__TEXT,__text) external _cc_store
0000000194636724 (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
000000019463648c (__TEXT,__text) non-external _ccache_compare
00000001946356f4 (__TEXT,__text) non-external _ccache_destroy
00000001ed512780 (__AUTH,__data) non-external _ccache_functions
0000000194636430 (__TEXT,__text) non-external _ccache_get_change_time
0000000194635804 (__TEXT,__text) non-external _ccache_get_credentials_version
000000019463657c (__TEXT,__text) non-external _ccache_get_kdc_time_offset
00000001946363b8 (__TEXT,__text) non-external _ccache_get_last_default_time
0000000194635820 (__TEXT,__text) non-external _ccache_get_name
00000001946358cc (__TEXT,__text) non-external _ccache_get_principal
00000001ed512820 (__AUTH,__data) non-external _ccache_iterator_functions
0000000194636348 (__TEXT,__text) non-external _ccache_lock
0000000194636280 (__TEXT,__text) non-external _ccache_move
0000000194636188 (__TEXT,__text) non-external _ccache_new_credentials_iterator
0000000194634bf0 (__TEXT,__text) non-external (was a private external) _ccache_release
0000000194635fb4 (__TEXT,__text) non-external _ccache_remove_credentials
000000019463576c (__TEXT,__text) non-external _ccache_set_default
0000000194636660 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
0000000194635a20 (__TEXT,__text) non-external _ccache_set_principal
0000000194635b64 (__TEXT,__text) non-external _ccache_store_credentials
0000000194636380 (__TEXT,__text) non-external _ccache_unlock
00000001946367b4 (__TEXT,__text) non-external _ccache_wait_for_change
00000001946367bc (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00000001e67cf638 (__DATA_CONST,__const) non-external _conf_no
00000001e67cf600 (__DATA_CONST,__const) non-external _conf_yes
00000001ea120548 (__DATA,__bss) non-external _context_change_time
00000001946355ec (__TEXT,__text) non-external _context_compare
0000000194635144 (__TEXT,__text) non-external _context_create_ccache
0000000194635284 (__TEXT,__text) non-external _context_create_default_ccache
00000001946353e8 (__TEXT,__text) non-external _context_create_new_ccache
0000000194634e64 (__TEXT,__text) non-external _context_get_change_time
0000000194634ec0 (__TEXT,__text) non-external _context_get_default_ccache_name
00000001946355dc (__TEXT,__text) non-external _context_lock
0000000194635534 (__TEXT,__text) non-external _context_new_ccache_iterator
0000000194634f5c (__TEXT,__text) non-external _context_open_ccache
000000019463505c (__TEXT,__text) non-external _context_open_default_ccache
0000000194634e14 (__TEXT,__text) non-external _context_release
00000001946355e4 (__TEXT,__text) non-external _context_unlock
0000000194635610 (__TEXT,__text) non-external _context_wait_for_change
0000000194634dbc (__TEXT,__text) non-external _create_ccache
0000000194634740 (__TEXT,__text) non-external _cred_compare
0000000194634b84 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00000001ed512700 (__AUTH,__data) non-external (was a private external) _cred_iter_functions
0000000194634750 (__TEXT,__text) non-external (was a private external) _cred_iter_next
0000000194634b8c (__TEXT,__text) non-external _cred_iter_release
00000001946346f4 (__TEXT,__text) non-external _cred_release
00000001ed5126f0 (__AUTH,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
000000019463ecd8 (__TEXT,__text) external _decomp_ticket
000000019463ef04 (__TEXT,__text) external _dest_all_tkts
000000019463eee4 (__TEXT,__text) external _dest_tkt
0000000194637214 (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00000001ea120560 (__DATA,__bss) non-external _do_log
000000019463cbd0 (__TEXT,__text) non-external _dump_profile
000000019463d07c (__TEXT,__text) non-external _dump_profile_to_buffer_cb
000000019463cfc4 (__TEXT,__text) non-external _dump_profile_to_file_cb
0000000194633da4 (__TEXT,__text) external _encode_krb5_as_req
000000019463b85c (__TEXT,__text) non-external _end_list
0000000194637c08 (__TEXT,__text) external _error_message
00000001ea120578 (__DATA,__bss) non-external _error_message.buffer
00000001946416a4 (__TEXT,__text) non-external _error_message.cold.1
00000001ea120570 (__DATA,__bss) non-external _error_message.et_list
00000001ea120568 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
0000000194639cf0 (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00000001ea120980 (__DATA,__bss) non-external _g_cc_change_time
00000001ea1203b8 (__DATA,__data) non-external _g_change_time_mutex
00000001ea120978 (__DATA,__bss) non-external _g_kl_change_time
000000019463ed30 (__TEXT,__text) external _get_ad_tkt
000000019463eda8 (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00000001ea1202d8 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00000001ea1202f0 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00000001ea1202b0 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00000001ea120298 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00000001ea120268 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00000001ea120280 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00000001ea120250 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
                 (undefined) external _gss_display_name (from GSS)
                 (indirect) external _gss_display_name (for _gss_display_name)
                 (undefined) external _gss_display_status (from GSS)
                 (indirect) external _gss_display_status (for _gss_display_status)
                 (undefined) external _gss_duplicate_name (from GSS)
                 (indirect) external _gss_duplicate_name (for _gss_duplicate_name)
                 (undefined) external _gss_export_name (from GSS)
                 (indirect) external _gss_export_name (for _gss_export_name)
                 (undefined) external _gss_export_sec_context (from GSS)
                 (indirect) external _gss_export_sec_context (for _gss_export_sec_context)
                 (undefined) external _gss_get_mic (from GSS)
                 (indirect) external _gss_get_mic (for _gss_get_mic)
0000000194640c94 (__TEXT,__text) external _gss_import_name
                 (undefined) external _gss_import_sec_context (from GSS)
                 (indirect) external _gss_import_sec_context (for _gss_import_sec_context)
                 (undefined) external _gss_indicate_mechs (from GSS)
                 (indirect) external _gss_indicate_mechs (for _gss_indicate_mechs)
                 (undefined) external _gss_init_sec_context (from GSS)
                 (indirect) external _gss_init_sec_context (for _gss_init_sec_context)
                 (undefined) external _gss_inquire_context (from GSS)
                 (indirect) external _gss_inquire_context (for _gss_inquire_context)
                 (undefined) external _gss_inquire_cred (from GSS)
                 (indirect) external _gss_inquire_cred (for _gss_inquire_cred)
                 (undefined) external _gss_inquire_cred_by_mech (from GSS)
