00000001900ec92c (__TEXT,__text) non-external _Annihilate
0000000190185472 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
0000000190185460 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
000000019010995c (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
000000019010bd34 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00000001900ec054 (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
000000019010b3c0 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
000000019010c0f8 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
0000000190107d0c (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00000001900f1e10 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00000001900ec848 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00000001900fb644 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00000001901032f4 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
0000000190102ff0 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
000000019010a41c (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00000001900ec4c0 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
000000019010afbc (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
000000019010b6c4 (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00000001900ec0fc (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
000000019010b620 (__TEXT,__text) non-external _BuildHistograms
0000000190130ed0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
0000000190130fd0 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00000001900e5418 (__TEXT,__text) non-external _ChooseDistanceParams
00000001900ec720 (__TEXT,__text) non-external _CollectGarbagePointers
0000000190127408 (__TEXT,__text) non-external _ComputeDistanceCost
00000001901047f8 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
0000000190128898 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00000001900f4360 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
000000019011064c (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00000001901112dc (__TEXT,__text) non-external _CreateBackwardReferencesNH3
0000000190118dfc (__TEXT,__text) non-external _CreateBackwardReferencesNH35
0000000190111d80 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
0000000190114ee4 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
000000019011602c (__TEXT,__text) non-external _CreateBackwardReferencesNH41
0000000190117170 (__TEXT,__text) non-external _CreateBackwardReferencesNH42
0000000190112bc4 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
0000000190118344 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
0000000190119b80 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
0000000190113d08 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
000000019011a994 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00000001900e64e4 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
0000000190130dc0 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00000001900f654c (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00000001900f450c (__TEXT,__text) non-external _DecodeContextMap
00000001900f6f78 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00000001900f6a5c (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00000001900f3340 (__TEXT,__text) non-external _DecodeMetaBlockLength
00000001900f3874 (__TEXT,__text) non-external _DecodeVarLenUint8
00000001900ebfb8 (__TEXT,__text) non-external _EmitUncompressedMetaBlock
000000019010a8bc (__TEXT,__text) non-external _EncodeContextMap
00000001900e3920 (__TEXT,__text) non-external _EncodeData
0000000190104654 (__TEXT,__text) non-external _EvaluateNode
00000001900e5e48 (__TEXT,__text) non-external _ExtendLastCommand
0000000190151108 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
000000019018e878 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00000001900e5ca8 (__TEXT,__text) non-external _GetBrotliStorage
00000001900e5d18 (__TEXT,__text) non-external _GetHashTable
0000000190127ea8 (__TEXT,__text) non-external _InitBlockSplitterCommand
0000000190128050 (__TEXT,__text) non-external _InitBlockSplitterDistance
0000000190127d04 (__TEXT,__text) non-external _InitBlockSplitterLiteral
0000000190130cc0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00000001901a743c (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
0000000190130c40 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
0000000190103d88 (__TEXT,__text) non-external _InitZopfliCostModel
00000001900e565c (__TEXT,__text) non-external _InitializeH5
00000001900e569c (__TEXT,__text) non-external _InitializeH6
00000001900e37e8 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00000001900f60e0 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00000001900fcc44 (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00000001900fcbf4 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00000001900fcb0c (__TEXT,__text) non-external _LZFSEIBootBufferPushN
0000000190129c78 (__TEXT,__text) non-external _MapStaticContexts
00000001900e59b4 (__TEXT,__text) non-external _PrepareH35
00000001900e56f4 (__TEXT,__text) non-external _PrepareH4
00000001900e5804 (__TEXT,__text) non-external _PrepareH40
00000001900e5804 (__TEXT,__text) non-external _PrepareH41
00000001900e58a0 (__TEXT,__text) non-external _PrepareH42
00000001900e5754 (__TEXT,__text) non-external _PrepareH5
00000001900e5950 (__TEXT,__text) non-external _PrepareH54
00000001900e5ac8 (__TEXT,__text) non-external _PrepareH55
00000001900e57a4 (__TEXT,__text) non-external _PrepareH6
00000001900e5b84 (__TEXT,__text) non-external _PrepareH65
00000001900f49e8 (__TEXT,__text) non-external _ProcessCommands
00000001900f3a24 (__TEXT,__text) non-external _ReadHuffmanCode
00000001900f6234 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00000001900f6c4c (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00000001900f66fc (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00000001900f6040 (__TEXT,__text) non-external _SafeDecodeSymbol
00000001900f5384 (__TEXT,__text) non-external _SafeProcessCommands
00000001900f31e4 (__TEXT,__text) non-external _SaveErrorCode
00000001901059d0 (__TEXT,__text) non-external _SetCost
0000000190107f8c (__TEXT,__text) non-external _Shift
00000001900e5470 (__TEXT,__text) non-external _ShouldCompress
00000001901237b0 (__TEXT,__text) non-external _ShouldCompress
00000001900ec308 (__TEXT,__text) non-external _ShouldMergeBlock
0000000190130dd0 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00000001900ec8a4 (__TEXT,__text) non-external _SortPointers
0000000190131368 (__TEXT,__const) non-external _SortPointers.gaps
000000019012395c (__TEXT,__text) non-external _StoreCommands
00000001901861a0 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
0000000190185fa0 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
000000019010a2e4 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
000000019010baa8 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
000000019010b0a0 (__TEXT,__text) non-external _StoreSymbol
000000019010b22c (__TEXT,__text) non-external _StoreSymbolWithContext
000000019010a6a0 (__TEXT,__text) non-external _StoreTrivialContextMap
000000019010c288 (__TEXT,__text) non-external _StoreVarLenUint8
00000001900ec460 (__TEXT,__text) non-external _UpdateBits
00000001900e5e00 (__TEXT,__text) non-external _UpdateLastProcessedPos
0000000190103f20 (__TEXT,__text) non-external _UpdateNodes
00000001900f5e78 (__TEXT,__text) non-external _WrapRingBuffer
00000001900e608c (__TEXT,__text) non-external _WriteMetaBlockInternal
00000001900f31f8 (__TEXT,__text) non-external _WriteRingBuffer
0000000190103e04 (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001901a7380 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
0000000190151560 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
0000000190151470 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00000001e74f93b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001900f9084 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
000000019018d268 (__TEXT,__const) non-external (was a private external) __dist_code
0000000190185790 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
0000000190131100 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
000000019018d468 (__TEXT,__const) non-external (was a private external) __length_code
00000001901268c4 (__TEXT,__text) non-external (was a private external) __tr_align
00000001900d97f0 (__TEXT,__text) non-external (was a private external) __tr_flush_block
00000001900d7f38 (__TEXT,__text) non-external (was a private external) __tr_init
000000019012677c (__TEXT,__text) non-external (was a private external) __tr_stored_block
0000000190126b38 (__TEXT,__text) non-external (was a private external) __tr_tally
00000001900d7dfc (__TEXT,__text) non-external (was a private external) _adler32
00000001900e0170 (__TEXT,__text) non-external (was a private external) _adler32_vec
000000019018dc20 (__TEXT,__const) non-external _base_dist
000000019018dbac (__TEXT,__const) non-external _base_length
0000000190126aa8 (__TEXT,__text) non-external _bi_flush
00000001900dac0c (__TEXT,__text) non-external _bi_windup
000000019018db98 (__TEXT,__const) non-external _bl_order
0000000190185518 (__TEXT,__const) non-external _breverse.brev8
0000000190124a84 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
0000000190124acc (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
0000000190124ca8 (__TEXT,__text) non-external (was a private external) _brotli_stream_end
0000000190124bd8 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
0000000190124b18 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00000001900d9d40 (__TEXT,__text) non-external _build_tree
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00000001901249e4 (__TEXT,__text) non-external (was a private external) _codecGetFooterID
0000000190124060 (__TEXT,__text) non-external (was a private external) _codecReadHeader
0000000190124948 (__TEXT,__text) non-external (was a private external) _codecResetModel
00000001901244f4 (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00000001900da854 (__TEXT,__text) non-external _compress_block
00000001900dc420 (__TEXT,__text) external _compression_decode_buffer
00000001900dc32c (__TEXT,__text) external _compression_decode_scratch_buffer_size
000000019011dcd0 (__TEXT,__text) external _compression_encode_buffer
000000019011db88 (__TEXT,__text) external _compression_encode_scratch_buffer_size
00000001900dae10 (__TEXT,__text) external _compression_stream_destroy
00000001900fa0b0 (__TEXT,__text) external _compression_stream_get_decode_state_size
00000001900fa060 (__TEXT,__text) external _compression_stream_get_encode_state_size
00000001900fa010 (__TEXT,__text) external _compression_stream_get_state_size
00000001900f9f7c (__TEXT,__text) external _compression_stream_identify_algorithm
00000001900d77c0 (__TEXT,__text) external _compression_stream_init
00000001900f9f3c (__TEXT,__text) external _compression_stream_init_with_state_buffer
00000001900fa100 (__TEXT,__text) external _compression_stream_is_state_valid
00000001900d7f88 (__TEXT,__text) external _compression_stream_process
00000001900dcd80 (__TEXT,__text) external _compression_stream_reinit
00000001ef383ab8 (__AUTH_CONST,__const) non-external _configuration_table
00000001901000c8 (__TEXT,__text) non-external _convert_row_16to8
0000000190100050 (__TEXT,__text) non-external _convert_row_8to16
00000001900ffef0 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00000001900ffbec (__TEXT,__text) non-external _convert_row_GUVtoRGB888
0000000190100378 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
0000000190100148 (__TEXT,__text) non-external _convert_row_RG88toRG
00000001900ffa7c (__TEXT,__text) non-external _convert_row_RGB888toGUV
00000001900ffd84 (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00000001901002c8 (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
0000000190100208 (__TEXT,__text) non-external _convert_row_RGtoRG88
0000000190100140 (__TEXT,__text) non-external _convert_row_copy16
00000001900ff040 (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00000001900fefe0 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00000001900ff8a0 (__TEXT,__text) non-external _convert_rows_from_bayer16
00000001900ff688 (__TEXT,__text) non-external _convert_rows_from_bayer8
00000001900ff218 (__TEXT,__text) non-external _convert_rows_from_quadra8
00000001900ff990 (__TEXT,__text) non-external _convert_rows_to_bayer16
00000001900ff794 (__TEXT,__text) non-external _convert_rows_to_bayer8
00000001900ff458 (__TEXT,__text) non-external _convert_rows_to_quadra8
000000019012dd84 (__TEXT,__text) external _cosl_codec_decode
000000019012d458 (__TEXT,__text) external _cosl_codec_encode
000000019012dc7c (__TEXT,__text) external _cosl_codec_get_decoded_size
000000019012e94c (__TEXT,__text) external _cosl_codec_get_id
000000019012e6ec (__TEXT,__text) external _cosl_codec_map
000000019012e8e8 (__TEXT,__text) external _cosl_codec_unmap
000000019012e270 (__TEXT,__text) external _cosl_model_create
000000019012e3a4 (__TEXT,__text) external _cosl_model_destroy
000000019012e3ec (__TEXT,__text) external _cosl_model_save_codec
000000019012d07c (__TEXT,__text) external _cosl_model_update
000000019010e9dc (__TEXT,__text) external _cosmix_codec_decode
000000019010e0e8 (__TEXT,__text) external _cosmix_codec_encode
000000019010e8ec (__TEXT,__text) external _cosmix_codec_get_decoded_size
000000019010f44c (__TEXT,__text) external _cosmix_codec_get_id
000000019010f298 (__TEXT,__text) external _cosmix_codec_map
000000019010f3ec (__TEXT,__text) external _cosmix_codec_unmap
000000019010eeb0 (__TEXT,__text) external _cosmix_model_create
000000019010efec (__TEXT,__text) external _cosmix_model_destroy
000000019010f034 (__TEXT,__text) external _cosmix_model_save_codec
000000019010db48 (__TEXT,__text) external _cosmix_model_update
0000000190123d84 (__TEXT,__text) non-external (was a private external) _crc32
000000019018eb14 (__TEXT,__const) non-external _crc32_lut4
0000000190186200 (__TEXT,__const) non-external _crc_table
00000001900fd814 (__TEXT,__text) non-external _create_rectangle_within_image
00000001900f1d38 (__TEXT,__text) non-external (was a private external) _create_thread
00000001900d8404 (__TEXT,__text) non-external (was a private external) _deflate
000000019012b6f8 (__TEXT,__text) non-external (was a private external) _deflateBound
000000019012bcac (__TEXT,__text) non-external (was a private external) _deflateCopy
00000001900dad14 (__TEXT,__text) non-external (was a private external) _deflateEnd
00000001900d7984 (__TEXT,__text) non-external (was a private external) _deflateInit2_
000000019012b444 (__TEXT,__text) non-external (was a private external) _deflateInit_
000000019012b5ec (__TEXT,__text) non-external (was a private external) _deflateParams
000000019012b5bc (__TEXT,__text) non-external (was a private external) _deflatePrime
00000001900d7cc0 (__TEXT,__text) non-external (was a private external) _deflateReset
000000019012b460 (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
000000019012b590 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
000000019012b6d4 (__TEXT,__text) non-external (was a private external) _deflateTune
000000019018eac8 (__TEXT,__const) non-external (was a private external) _deflate_copyright
000000019012c0c4 (__TEXT,__text) non-external _deflate_fast
000000019012b7ec (__TEXT,__text) non-external _deflate_huff
000000019012b958 (__TEXT,__text) non-external _deflate_rle
00000001900d8f30 (__TEXT,__text) non-external _deflate_slow
000000019012bf18 (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00000001901088c0 (__TEXT,__text) non-external _emitMatch
000000019018db4c (__TEXT,__const) non-external _extra_blbits
000000019018dad4 (__TEXT,__const) non-external _extra_dbits
000000019018da60 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00000001900d9384 (__TEXT,__text) non-external _fill_window
00000001900dac80 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
000000019012b3e4 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000019018e774 (__TEXT,__const) non-external _getDSymbolFromValue.sym
000000019010f5cc (__TEXT,__text) non-external _getDecoderTable
000000019018dd00 (__TEXT,__const) non-external _getLSymbolFromValue.sym
000000019018de3c (__TEXT,__const) non-external _getMSymbolFromValue.sym
00000001900ff0a4 (__TEXT,__text) non-external (was a private external) _get_conversion_set
0000000190123d78 (__TEXT,__text) non-external (was a private external) _get_crc_table
0000000190102f28 (__TEXT,__text) non-external (was a private external) _get_default_nthreads
00000001900fcf10 (__TEXT,__text) non-external _get_format_bits
00000001900fcd34 (__TEXT,__text) non-external (was a private external) _get_format_bytes_per_pixel
00000001900fcd68 (__TEXT,__text) non-external (was a private external) _get_format_components
00000001900fcdcc (__TEXT,__text) non-external (was a private external) _get_format_convert_at_once
00000001900fd0b4 (__TEXT,__text) non-external _get_format_plane_count
00000001900fcde8 (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
00000001900f81e0 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00000001900f8224 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
0000000190102ee0 (__TEXT,__text) non-external (was a private external) _get_real_time
00000001900f8254 (__TEXT,__text) non-external (was a private external) _get_slice_height
00000001900f8238 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
00000001900fd11c (__TEXT,__text) non-external _header_fetch_from_payload
000000019012642c (__TEXT,__text) non-external _init_block
00000001900fcdfc (__TEXT,__text) non-external (was a private external) _is_format_invalid
