                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018fc7a944 (__TEXT,__text) non-external _alone_decode
000000018fc800bc (__TEXT,__text) non-external _decode_buffer
000000018fc7baa0 (__TEXT,__text) non-external _decoder_find
00000001f070ce58 (__AUTH_CONST,__const) non-external _decoders
000000018fc86674 (__TEXT,__text) non-external _delta_coder_end
000000018fc86898 (__TEXT,__text) non-external _delta_decode
000000018fc86704 (__TEXT,__text) non-external _delta_encode
000000018fc86834 (__TEXT,__text) non-external _delta_encoder_update
000000018fc8cf20 (__TEXT,__const) non-external _delta_optmap
000000018fc72374 (__TEXT,__text) non-external _encoder_find
00000001f070cbf0 (__AUTH_CONST,__const) non-external _encoders
000000018fc88cd0 (__TEXT,__const) non-external _features
000000018fc80dac (__TEXT,__text) non-external _file_info_decode
000000018fc81378 (__TEXT,__text) non-external _file_info_decoder_end
000000018fc813d4 (__TEXT,__text) non-external _file_info_decoder_memconfig
00000001f070cfb8 (__AUTH_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
000000018fc771b8 (__TEXT,__text) non-external _get_literal_price
000000018fc87a64 (__TEXT,__text) non-external _get_options
000000018fc88250 (__TEXT,__text) non-external _get_progress
000000018fc86174 (__TEXT,__text) non-external _get_thread
000000018fc7c448 (__TEXT,__text) non-external _hash_append
000000018fc7e1dc (__TEXT,__text) non-external _hc_find_func
000000018fc872a0 (__TEXT,__text) non-external _ia64_code
000000018fc8f0d0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000018fc78d3c (__TEXT,__text) non-external _index_cat_helper
000000018fc7bdb0 (__TEXT,__text) non-external _index_decode
000000018fc7c08c (__TEXT,__text) non-external _index_decoder_end
000000018fc7c0d0 (__TEXT,__text) non-external _index_decoder_memconfig
000000018fc779bc (__TEXT,__text) non-external _index_encode
000000018fc78294 (__TEXT,__text) non-external _index_encoder_end
000000018fc78310 (__TEXT,__text) non-external _index_stream_end
000000018fc71a58 (__TEXT,__text) non-external _index_tree_append
000000018fc78298 (__TEXT,__text) non-external _index_tree_node_end
000000018fc72b28 (__TEXT,__text) non-external _is_options_valid
000000018fc77de4 (__TEXT,__text) non-external _iter_set_info
000000018fc72b80 (__TEXT,__text) non-external _length_encoder_reset
000000018fc72c68 (__TEXT,__text) non-external _length_update_prices
000000018fc7fe9c (__TEXT,__text) non-external _lz_decode
000000018fc80044 (__TEXT,__text) non-external _lz_decoder_end
000000018fc73eb0 (__TEXT,__text) non-external _lz_encode
000000018fc781cc (__TEXT,__text) non-external _lz_encoder_end
000000018fc72e08 (__TEXT,__text) non-external _lz_encoder_prepare
000000018fc7dfe8 (__TEXT,__text) non-external _lz_encoder_set_out_limit
000000018fc7df70 (__TEXT,__text) non-external _lz_encoder_update
000000018fc7d9c8 (__TEXT,__text) non-external _lzip_decode
000000018fc7de0c (__TEXT,__text) non-external _lzip_decoder_end
000000018fc7de50 (__TEXT,__text) non-external _lzip_decoder_get_check
000000018fc7de58 (__TEXT,__text) non-external _lzip_decoder_memconfig
000000018fc8cea8 (__TEXT,__const) non-external _lzma12_mf_map
000000018fc8ce78 (__TEXT,__const) non-external _lzma12_mode_map
00000001e873e790 (__DATA_CONST,__const) non-external _lzma12_optmap
000000018fc84a64 (__TEXT,__text) non-external _lzma2_decode
000000018fc84d7c (__TEXT,__text) non-external _lzma2_decoder_end
000000018fc848d8 (__TEXT,__text) non-external _lzma2_decoder_init
000000018fc740bc (__TEXT,__text) non-external _lzma2_encode
000000018fc78250 (__TEXT,__text) non-external _lzma2_encoder_end
000000018fc72660 (__TEXT,__text) non-external _lzma2_encoder_init
000000018fc8470c (__TEXT,__text) non-external _lzma2_encoder_options_update
000000018fc88cb8 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
000000018fc88c90 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
000000018fc71910 (__TEXT,__text) non-external (was a private external) _lzma_alloc
000000018fc78458 (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
000000018fc7ac68 (__TEXT,__text) external _lzma_alone_decoder
000000018fc7a844 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
000000018fc79188 (__TEXT,__text) external _lzma_alone_encoder
000000018fc7acd8 (__TEXT,__text) external _lzma_auto_decoder
000000018fc79518 (__TEXT,__text) external _lzma_block_buffer_bound
000000018fc794c8 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
000000018fc7b0a0 (__TEXT,__text) external _lzma_block_buffer_decode
000000018fc79568 (__TEXT,__text) external _lzma_block_buffer_encode
000000018fc78670 (__TEXT,__text) external _lzma_block_compressed_size
000000018fc7b630 (__TEXT,__text) external _lzma_block_decoder
000000018fc7b1e8 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
000000018fc79b3c (__TEXT,__text) external _lzma_block_encoder
000000018fc7204c (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
000000018fc7b69c (__TEXT,__text) external _lzma_block_header_decode
000000018fc7382c (__TEXT,__text) external _lzma_block_header_encode
000000018fc71e40 (__TEXT,__text) external _lzma_block_header_size
000000018fc786e0 (__TEXT,__text) external _lzma_block_total_size
000000018fc797f4 (__TEXT,__text) external _lzma_block_uncomp_encode
000000018fc73990 (__TEXT,__text) external _lzma_block_unpadded_size
000000018fc737b4 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
000000018fc7d76c (__TEXT,__text) non-external (was a private external) _lzma_check_finish
000000018fc721d0 (__TEXT,__text) non-external (was a private external) _lzma_check_init
000000018fc721b0 (__TEXT,__text) external _lzma_check_is_supported
000000018fc88e30 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
000000018fc77694 (__TEXT,__text) external _lzma_check_size
000000018fc88e40 (__TEXT,__const) non-external _lzma_check_size.check_sizes
000000018fc74c88 (__TEXT,__text) non-external (was a private external) _lzma_check_update
000000018fc73278 (__TEXT,__text) external _lzma_code
000000018fc7a2fc (__TEXT,__text) external _lzma_cputhreads
000000018fc71b7c (__TEXT,__text) external _lzma_crc32
000000018fc88e50 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
000000018fc7d7a4 (__TEXT,__text) external _lzma_crc64
000000018fc8ae50 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
000000018fc81620 (__TEXT,__text) non-external _lzma_decode
000000018fc8efd0 (__TEXT,__const) non-external _lzma_decode.next_state
000000018fc84420 (__TEXT,__text) non-external _lzma_decoder_init
000000018fc84178 (__TEXT,__text) non-external _lzma_decoder_reset
000000018fc843fc (__TEXT,__text) non-external _lzma_decoder_uncompressed
000000018fc86568 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
000000018fc866b4 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
000000018fc86884 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
000000018fc866e0 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
000000018fc86934 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
000000018fc8683c (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
000000018fc79bac (__TEXT,__text) external _lzma_easy_buffer_encode
000000018fc7b890 (__TEXT,__text) external _lzma_easy_decoder_memusage
000000018fc715f0 (__TEXT,__text) external _lzma_easy_encoder
000000018fc79c5c (__TEXT,__text) external _lzma_easy_encoder_memusage
000000018fc7165c (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
000000018fc88a9c (__TEXT,__text) non-external _lzma_encode
000000018fc801fc (__TEXT,__text) non-external _lzma_encoder_init
000000018fc780c4 (__TEXT,__text) external _lzma_end
000000018fc8cfd0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
000000018fc80bd0 (__TEXT,__text) external _lzma_file_info_decoder
000000018fc80c58 (__TEXT,__text) non-external _lzma_file_info_decoder_init
000000018fc7ba6c (__TEXT,__text) external _lzma_filter_decoder_is_supported
000000018fc7a088 (__TEXT,__text) external _lzma_filter_encoder_is_supported
000000018fc7bbd0 (__TEXT,__text) external _lzma_filter_flags_decode
000000018fc73a28 (__TEXT,__text) external _lzma_filter_flags_encode
000000018fc71f50 (__TEXT,__text) external _lzma_filter_flags_size
000000018fc730cc (__TEXT,__text) external _lzma_filters_copy
000000018fc78708 (__TEXT,__text) external _lzma_filters_free
000000018fc7a0bc (__TEXT,__text) external _lzma_filters_update
000000018fc88df6 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
000000018fc730a8 (__TEXT,__text) non-external (was a private external) _lzma_free
000000018fc7853c (__TEXT,__text) external _lzma_get_check
000000018fc78514 (__TEXT,__text) external _lzma_get_progress
000000018fc88df0 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
000000018fc776b4 (__TEXT,__text) external _lzma_index_append
000000018fc77bf4 (__TEXT,__text) external _lzma_index_block_count
000000018fc7c1b8 (__TEXT,__text) external _lzma_index_buffer_decode
000000018fc7a36c (__TEXT,__text) external _lzma_index_buffer_encode
000000018fc78b5c (__TEXT,__text) external _lzma_index_cat
000000018fc78a60 (__TEXT,__text) external _lzma_index_checks
000000018fc7c144 (__TEXT,__text) external _lzma_index_decoder
000000018fc7bc90 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
000000018fc78dbc (__TEXT,__text) external _lzma_index_dup
000000018fc7a300 (__TEXT,__text) external _lzma_index_encoder
000000018fc778d0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
000000018fc71940 (__TEXT,__text) external _lzma_index_end
000000018fc789d8 (__TEXT,__text) external _lzma_index_file_size
000000018fc7c398 (__TEXT,__text) external _lzma_index_hash_append
000000018fc7c50c (__TEXT,__text) external _lzma_index_hash_decode
000000018fc7c35c (__TEXT,__text) external _lzma_index_hash_end
000000018fc7c2ec (__TEXT,__text) external _lzma_index_hash_init
000000018fc7c360 (__TEXT,__text) external _lzma_index_hash_size
000000018fc719a4 (__TEXT,__text) external _lzma_index_init
000000018fc779a8 (__TEXT,__text) external _lzma_index_iter_init
000000018fc78ff8 (__TEXT,__text) external _lzma_index_iter_locate
000000018fc77bfc (__TEXT,__text) external _lzma_index_iter_next
000000018fc78fe8 (__TEXT,__text) external _lzma_index_iter_rewind
000000018fc788dc (__TEXT,__text) external _lzma_index_memusage
000000018fc78934 (__TEXT,__text) external _lzma_index_memused
000000018fc77f9c (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
000000018fc788c4 (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
000000018fc77fd8 (__TEXT,__text) external _lzma_index_size
000000018fc78984 (__TEXT,__text) external _lzma_index_stream_count
000000018fc78a8c (__TEXT,__text) external _lzma_index_stream_flags
000000018fc78aec (__TEXT,__text) external _lzma_index_stream_padding
000000018fc78994 (__TEXT,__text) external _lzma_index_stream_size
000000018fc7898c (__TEXT,__text) external _lzma_index_total_size
000000018fc78a58 (__TEXT,__text) external _lzma_index_uncompressed_size
000000018fc7fcfc (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
000000018fc800b0 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
000000018fc72444 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
000000018fc7df0c (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
000000018fc7de98 (__TEXT,__text) external _lzma_lzip_decoder
000000018fc7d88c (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
000000018fc846ec (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
000000018fc848c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
000000018fc849ac (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
000000018fc72430 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
000000018fc846c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
000000018fc849c8 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
000000018fc73bf4 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
000000018fc81588 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
000000018fc8440c (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
000000018fc84588 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
000000018fc84564 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
000000018fc743f4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
000000018fc72780 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
000000018fc801e8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
000000018fc80220 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
000000018fc72920 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
000000018fc84500 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
000000018fc77644 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
000000018fc8083c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
000000018fc751ec (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
000000018fc716a4 (__TEXT,__text) external _lzma_lzma_preset
000000018fc8cfba (__TEXT,__const) non-external _lzma_lzma_preset.depths
000000018fc8cfb0 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
000000018fc845e4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
000000018fc802b8 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
000000018fc80328 (__TEXT,__text) non-external _lzma_lzma_set_out_limit
000000018fc785b8 (__TEXT,__text) external _lzma_memlimit_get
000000018fc78618 (__TEXT,__text) external _lzma_memlimit_set
000000018fc78558 (__TEXT,__text) external _lzma_memusage
000000018fc7e6a0 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
000000018fc7e764 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
000000018fc7e80c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
000000018fc7e9c0 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
000000018fc76e20 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
000000018fc74d64 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
000000018fc76d28 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
000000018fc7e038 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
000000018fc7e2c4 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
000000018fc7e384 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
000000018fc7e5c0 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
000000018fc7e008 (__TEXT,__text) external _lzma_mf_is_supported
000000018fc7c9bc (__TEXT,__text) external _lzma_microlzma_decoder
000000018fc79cb4 (__TEXT,__text) external _lzma_microlzma_encoder
000000018fc80318 (__TEXT,__text) external _lzma_mode_is_supported
000000018fc7a24c (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
000000018fc71898 (__TEXT,__text) non-external (was a private external) _lzma_next_end
000000018fc723a4 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
000000018fc784d8 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
000000018fc80370 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
000000018fc803d0 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
000000018fc807f4 (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
000000018fc805a8 (__TEXT,__text) non-external (was a private external) _lzma_outq_end
000000018fc806a8 (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
000000018fc8048c (__TEXT,__text) non-external (was a private external) _lzma_outq_init
000000018fc8070c (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
000000018fc80350 (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
000000018fc80600 (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
000000018fc80738 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
000000018fc788c0 (__TEXT,__text) external _lzma_physmem
000000018fc7bb80 (__TEXT,__text) external _lzma_properties_decode
000000018fc73bac (__TEXT,__text) external _lzma_properties_encode
000000018fc71fc8 (__TEXT,__text) external _lzma_properties_size
000000018fc7b8e8 (__TEXT,__text) external _lzma_raw_buffer_decode
000000018fc79f7c (__TEXT,__text) external _lzma_raw_buffer_encode
000000018fc72218 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
000000018fc78830 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
000000018fc7bae8 (__TEXT,__text) external _lzma_raw_decoder
000000018fc7bad0 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
000000018fc7bb68 (__TEXT,__text) external _lzma_raw_decoder_memusage
000000018fc7a1c8 (__TEXT,__text) external _lzma_raw_encoder
000000018fc72200 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
000000018fc7a1b0 (__TEXT,__text) external _lzma_raw_encoder_memusage
000000018fc8f020 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
000000018fc847cc (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
000000018fc847a8 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
000000018fc87450 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
000000018fc8742c (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
000000018fc8753c (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
000000018fc87518 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
000000018fc86998 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
000000018fc8727c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
000000018fc87258 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
000000018fc87180 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
000000018fc8715c (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
000000018fc86edc (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
000000018fc86ec4 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
000000018fc86e9c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
000000018fc889a4 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
000000018fc88980 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
000000018fc86fd0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
000000018fc86f6c (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
000000018fc7ef98 (__TEXT,__text) external _lzma_str_from_filters
000000018fc7f3c4 (__TEXT,__text) external _lzma_str_list_filters
000000018fc7eb18 (__TEXT,__text) external _lzma_str_to_filters
000000018fc7a464 (__TEXT,__text) external _lzma_stream_buffer_bound
000000018fc7c834 (__TEXT,__text) external _lzma_stream_buffer_decode
000000018fc7a494 (__TEXT,__text) external _lzma_stream_buffer_encode
000000018fc7d450 (__TEXT,__text) external _lzma_stream_decoder
000000018fc7cdc4 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
000000018fc84dc0 (__TEXT,__text) external _lzma_stream_decoder_mt
000000018fc71798 (__TEXT,__text) external _lzma_stream_encoder
000000018fc8761c (__TEXT,__text) external _lzma_stream_encoder_mt
000000018fc87970 (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
000000018fc790e4 (__TEXT,__text) external _lzma_stream_flags_compare
000000018fc7d574 (__TEXT,__text) external _lzma_stream_footer_decode
000000018fc78010 (__TEXT,__text) external _lzma_stream_footer_encode
000000018fc7d4c4 (__TEXT,__text) external _lzma_stream_header_decode
000000018fc71af4 (__TEXT,__text) external _lzma_stream_header_encode
000000018fc7180c (__TEXT,__text) non-external (was a private external) _lzma_strm_init
000000018fc78778 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
000000018fc78440 (__TEXT,__text) external _lzma_version_number
000000018fc7844c (__TEXT,__text) external _lzma_version_string
000000018fc7d620 (__TEXT,__text) external _lzma_vli_decode
000000018fc73af8 (__TEXT,__text) external _lzma_vli_encode
000000018fc72028 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
000000018fc77284 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
000000018fc7cb44 (__TEXT,__text) non-external _microlzma_decode
000000018fc7cd84 (__TEXT,__text) non-external _microlzma_decoder_end
000000018fc7ca4c (__TEXT,__text) non-external _microlzma_decoder_init
000000018fc79e58 (__TEXT,__text) non-external _microlzma_encode
000000018fc79f3c (__TEXT,__text) non-external _microlzma_encoder_end
000000018fc79d1c (__TEXT,__text) non-external _microlzma_encoder_init
000000018fc80528 (__TEXT,__text) non-external _move_head_to_cache
000000018fc74f68 (__TEXT,__text) non-external _move_pos
000000018fc7eaa0 (__TEXT,__text) non-external _normalize
000000018fc7f938 (__TEXT,__text) non-external _parse_bcj
000000018fc7f948 (__TEXT,__text) non-external _parse_delta
000000018fc7f8c4 (__TEXT,__text) non-external _parse_lzma12
000000018fc7f964 (__TEXT,__text) non-external _parse_options
000000018fc871a4 (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
000000018fc74f9c (__TEXT,__text) non-external _rc_encode
000000018fc85ef0 (__TEXT,__text) non-external _read_output_and_wait
000000018fc81508 (__TEXT,__text) non-external _reverse_seek
000000018fc86af4 (__TEXT,__text) non-external _simple_code
000000018fc86d88 (__TEXT,__text) non-external _simple_coder_end
000000018fc86dd4 (__TEXT,__text) non-external _simple_coder_update
000000018fc889c8 (__TEXT,__text) non-external _sparc_code
000000018fc7f360 (__TEXT,__text) non-external _str_append_str
000000018fc7f7b0 (__TEXT,__text) non-external _str_append_u32
000000018fc8cf38 (__TEXT,__const) non-external _str_append_u32.suffixes
000000018fc7cf38 (__TEXT,__text) non-external _stream_decode
000000018fc850a4 (__TEXT,__text) non-external _stream_decode_mt
000000018fc7d3b8 (__TEXT,__text) non-external _stream_decoder_end
000000018fc7d408 (__TEXT,__text) non-external _stream_decoder_get_check
000000018fc7d410 (__TEXT,__text) non-external _stream_decoder_memconfig
000000018fc85ba0 (__TEXT,__text) non-external _stream_decoder_mt_end
000000018fc85c10 (__TEXT,__text) non-external _stream_decoder_mt_get_check
000000018fc85cc0 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
000000018fc84e2c (__TEXT,__text) non-external _stream_decoder_mt_init
000000018fc85c18 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
000000018fc73530 (__TEXT,__text) non-external _stream_encode
000000018fc88e10 (__TEXT,__const) non-external _stream_encode.convert
000000018fc87b34 (__TEXT,__text) non-external _stream_encode_mt
000000018fc78124 (__TEXT,__text) non-external _stream_encoder_end
000000018fc7a6c0 (__TEXT,__text) non-external _stream_encoder_init
000000018fc881c4 (__TEXT,__text) non-external _stream_encoder_mt_end
000000018fc87690 (__TEXT,__text) non-external _stream_encoder_mt_init
000000018fc88318 (__TEXT,__text) non-external _stream_encoder_mt_update
000000018fc71ca4 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
000000018fc85d88 (__TEXT,__text) non-external _threads_end
000000018fc88404 (__TEXT,__text) non-external _threads_end
000000018fc85e64 (__TEXT,__text) non-external _threads_stop
000000018fc884d8 (__TEXT,__text) non-external _threads_stop
000000018fc783ac (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
000000018fc7836c (__TEXT,__text) non-external (was a private external) _tuklib_physmem
000000018fc86334 (__TEXT,__text) non-external _worker_decoder
000000018fc862e8 (__TEXT,__text) non-external _worker_enable_partial_update
000000018fc88920 (__TEXT,__text) non-external _worker_error
000000018fc885d0 (__TEXT,__text) non-external _worker_start
000000018fc86fd8 (__TEXT,__text) non-external _x86_code
000000018fc8f0a8 (__TEXT,__const) non-external _x86_code.MASK_TO_ALLOWED_STATUS
000000018fc8f0b0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
000000018fc86f74 (__TEXT,__text) non-external _x86_coder_init
