                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80fd0b13a (__TEXT,__text) non-external _au_assemble
00007ff80fd1749d (__TEXT,__text) external _audit_set_class
00007ff80fd17105 (__TEXT,__text) external _audit_set_cond
00007ff80fd17561 (__TEXT,__text) external _audit_set_fsize
00007ff80fd1743b (__TEXT,__text) external _audit_set_kaudit
00007ff80fd174ff (__TEXT,__text) external _audit_set_kmask
00007ff80fd17592 (__TEXT,__text) external _audit_set_pmask
00007ff80fd171d3 (__TEXT,__text) external _audit_set_policy
00007ff80fd1734a (__TEXT,__text) external _audit_set_qctrl
00007ff80fd17251 (__TEXT,__text) external _audit_set_sflags
00007ff80fd1728b (__TEXT,__text) external _audit_set_sflags_mask
00007ff80fd17656 (__TEXT,__text) external _audit_set_stat
00007ff80fd16ae0 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80fd16a0a (__TEXT,__text) external _audit_set_terminal_id
00007ff80fd16b84 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80fd16a3f (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80fd16542 (__TEXT,__text) external _audit_submit
00007ff80fd0a608 (__TEXT,__text) external _audit_token_to_asid
00007ff80fd0a650 (__TEXT,__text) external _audit_token_to_au32
00007ff80fd0a62c (__TEXT,__text) external _audit_token_to_auid
00007ff80fd0a635 (__TEXT,__text) external _audit_token_to_egid
00007ff80fd0a61a (__TEXT,__text) external _audit_token_to_euid
00007ff80fd0a611 (__TEXT,__text) external _audit_token_to_pid
00007ff80fd0a647 (__TEXT,__text) external _audit_token_to_pidversion
00007ff80fd0a63e (__TEXT,__text) external _audit_token_to_rgid
00007ff80fd0a623 (__TEXT,__text) external _audit_token_to_ruid
00007ff80fd16bb9 (__TEXT,__text) external _audit_write
00007ff80fd16e7c (__TEXT,__text) external _audit_write_failure
00007ff80fd16f41 (__TEXT,__text) external _audit_write_failure_ex
00007ff80fd170a3 (__TEXT,__text) external _audit_write_failure_na
00007ff80fd170d4 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80fd17006 (__TEXT,__text) external _audit_write_failure_self
00007ff80fd16d3b (__TEXT,__text) external _audit_write_success
00007ff80fd16db2 (__TEXT,__text) external _audit_write_success_ex
00007ff80fd16e29 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80fd129cb (__TEXT,__text) non-external _be64dec
00007ff80fd19260 (__TEXT,__const) non-external _bsm_domains
00007ff841339b40 (__DATA_CONST,__const) non-external _bsm_errnos
00007ff80fd194e0 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80fd19490 (__TEXT,__const) non-external _bsm_socket_types
00007ff80fd13896 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80fd12e9b (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80fd0bcdd (__TEXT,__text) external _endac
00007ff80fd0b93b (__TEXT,__text) external _endauclass
00007ff80fd0c627 (__TEXT,__text) external _endauevent
00007ff80fd160e5 (__TEXT,__text) external _endauuser
00007ff843e974b8 (__DATA,__bss) non-external _ev_cache
00007ff80fd0cac2 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff80fd0e1a5 (__TEXT,__text) non-external _fetch_arb_tok
00007ff80fd0d317 (__TEXT,__text) non-external _fetch_arg32_tok
00007ff80fd0d38c (__TEXT,__text) non-external _fetch_arg64_tok
00007ff80fd0d401 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff80fd0d4af (__TEXT,__text) non-external _fetch_attr64_tok
00007ff80fd0e221 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff80fd0d5b1 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff80fd0d5b1 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff80fd0d56e (__TEXT,__text) non-external _fetch_exit_tok
00007ff80fd0d631 (__TEXT,__text) non-external _fetch_file_tok
00007ff80fd0cf60 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff80fd0ceb0 (__TEXT,__text) non-external _fetch_header32_tok
00007ff80fd0d169 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff80fd0d0a4 (__TEXT,__text) non-external _fetch_header64_tok
00007ff80fd0e29f (__TEXT,__text) non-external _fetch_identity_tok
00007ff80fd0d716 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff80fd0d77b (__TEXT,__text) non-external _fetch_ip_tok
00007ff80fd0d886 (__TEXT,__text) non-external _fetch_ipc_tok
00007ff80fd0d8c7 (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff80fd0e221 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff80fd0d6a8 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff80fd0d98f (__TEXT,__text) non-external _fetch_process32_tok
00007ff80fd0da8f (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff80fd0dbc2 (__TEXT,__text) non-external _fetch_process64_tok
00007ff80fd0dcd5 (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff80fd0d886 (__TEXT,__text) non-external _fetch_return32_tok
00007ff80fd0de42 (__TEXT,__text) non-external _fetch_return64_tok
00007ff80fd0e004 (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff80fd0df11 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff80fd0df6f (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff80fd0de85 (__TEXT,__text) non-external _fetch_socket_tok
00007ff80fd0e066 (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff80fd0d98f (__TEXT,__text) non-external _fetch_subject32_tok
00007ff80fd0da8f (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff80fd0dbc2 (__TEXT,__text) non-external _fetch_subject64_tok
00007ff80fd0dcd5 (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff80fd0d2d0 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff843e974b0 (__DATA,__bss) non-external _firsttime
00007ff80fd136f6 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff843e96f70 (__DATA,__bss) non-external _fp
00007ff843e97080 (__DATA,__bss) non-external _fp
00007ff843e97190 (__DATA,__bss) non-external _fp
00007ff843e974d0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80fd0bd16 (__TEXT,__text) external _getacdir
00007ff80fd0c2f2 (__TEXT,__text) external _getacexpire
00007ff80fd0bf4e (__TEXT,__text) external _getacfilesz
00007ff80fd0c09e (__TEXT,__text) external _getacflg
00007ff80fd0c25f (__TEXT,__text) external _getachost
00007ff80fd0beeb (__TEXT,__text) external _getacmin
00007ff80fd0c12a (__TEXT,__text) external _getacna
00007ff80fd0c1b6 (__TEXT,__text) external _getacpol
00007ff80fd0c249 (__TEXT,__text) external _getacsflagsmask
00007ff80fd0b6d1 (__TEXT,__text) external _getauclassent
00007ff843e96e78 (__DATA,__bss) non-external _getauclassent.c
00007ff843e96e30 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff843e96e20 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff843e96e90 (__DATA,__bss) non-external _getauclassent.cp
00007ff80fd0b54c (__TEXT,__text) external _getauclassent_r
00007ff80fd0b580 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80fd0b80e (__TEXT,__text) external _getauclassnam
00007ff843e96ee8 (__DATA,__bss) non-external _getauclassnam.c
00007ff843e96ea0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff843e96e98 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80fd0b795 (__TEXT,__text) external _getauclassnam_r
00007ff80fd0b8d6 (__TEXT,__text) external _getauclassnum
00007ff843e96f58 (__DATA,__bss) non-external _getauclassnum.c
00007ff843e96f10 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff843e96f00 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80fd0b874 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80fd0cbda (__TEXT,__text) external _getauditflagsbin
00007ff80fd0cd2f (__TEXT,__text) external _getauditflagschar
00007ff80fd0c714 (__TEXT,__text) external _getauevent
00007ff843e971f8 (__DATA,__bss) non-external _getauevent.e
00007ff843e971c0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff843e971a0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80fd0c660 (__TEXT,__text) external _getauevent_r
00007ff80fd0c86a (__TEXT,__text) external _getauevnam
00007ff843e97278 (__DATA,__bss) non-external _getauevnam.e
00007ff843e97240 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff843e97220 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80fd0c77e (__TEXT,__text) external _getauevnam_r
00007ff80fd0caae (__TEXT,__text) external _getauevnonam
00007ff843e973a0 (__DATA,__bss) non-external _getauevnonam.event
00007ff80fd0ca1c (__TEXT,__text) external _getauevnonam_r
00007ff843e97378 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff843e97398 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff843e97340 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff843e97320 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80fd0c9b0 (__TEXT,__text) external _getauevnum
00007ff843e972f8 (__DATA,__bss) non-external _getauevnum.e
00007ff843e972c0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff843e972a0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80fd0c8d7 (__TEXT,__text) external _getauevnum_r
00007ff80fd16297 (__TEXT,__text) external _getauuserent
00007ff843e97518 (__DATA,__bss) non-external _getauuserent.u
00007ff843e974e0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80fd1611e (__TEXT,__text) external _getauuserent_r
00007ff80fd16152 (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80fd16370 (__TEXT,__text) external _getauusernam
00007ff843e97568 (__DATA,__bss) non-external _getauusernam.u
00007ff843e97530 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80fd16305 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80fd1647a (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80fd0bd9d (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff843e96f80 (__DATA,__bss) non-external _linestr
00007ff843e97090 (__DATA,__bss) non-external _linestr
00007ff843e973b0 (__DATA,__bss) non-external _linestr
00007ff843e97580 (__DATA,__bss) non-external _linestr
00007ff80fd13612 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff843e96bf0 (__DATA,__data) non-external _mutex
00007ff843e96c30 (__DATA,__data) non-external _mutex
00007ff843e96c70 (__DATA,__data) non-external _mutex
00007ff843e96cb0 (__DATA,__data) non-external _mutex
00007ff843e96cf0 (__DATA,__data) non-external _mutex
00007ff843e96d30 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff843e96d80 (__DATA,__bss) non-external _open_desc_table
00007ff80fd12d4c (__TEXT,__text) non-external _print_event
00007ff80fd1336b (__TEXT,__text) non-external _print_group
00007ff80fd13114 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80fd1341e (__TEXT,__text) non-external _print_ipctype
00007ff80fd133ae (__TEXT,__text) non-external _print_mem
00007ff80fd13487 (__TEXT,__text) non-external _print_retval
00007ff80fd12e14 (__TEXT,__text) non-external _print_sec32
00007ff80fd131b4 (__TEXT,__text) non-external _print_sec64
00007ff80fd1323a (__TEXT,__text) non-external _print_string
00007ff80fd129d7 (__TEXT,__text) non-external _print_tok_type
00007ff80fd13328 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80fd0bc41 (__TEXT,__text) external _setac
00007ff80fd0bc69 (__TEXT,__text) non-external _setac_locked
00007ff843e97088 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80fd0b763 (__TEXT,__text) external _setauclass
00007ff80fd0c5f5 (__TEXT,__text) external _setauevent
00007ff80fd160b3 (__TEXT,__text) external _setauuser
00007ff80fd0c4cb (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff843e974c0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
